09年 1月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  ダ1200m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,初春賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 6,10,Ｂワイルドイマｰジュ, 59,三浦皇, 1.0, 53,  -4,  -2, 5,  8.8,④④④, 6, 6, キングヴィオラ,---,内田博, 0.3, 60, -24,* 17, 2,  5.5,⑫⑪⑩, 6, 9, シルクサラマンダｰ,,江田勇,220.3,,,, 9, 72.7,⑫⑪⑪, 6, 4,Ｄサニｰアンジェリカ, 81,江田照, 0.4, 81,   6,   6,14, 35.0, ④⑤
 7, 5,Ｇヴィトンクイｰン, 54,江田照, 1.2, 54,  -4,  -4, 9, 34.7,③③③, 7, 2, アイスキャッスル,---,菊沢隆, 0.7, 44,*-16,  -7, 9, 58.2,①①①, 7, 4, ブルｰベレッタ,,大庭和,220.7,,,, 7, 20.5,⑤④⑤, 7, 5,Ｇバルバレスコ, 79,大野拓, 0.5, 79,  -1,  11,13, 32.6, ⑪⑬
 8,15,Ｄウメムスメ, 55,蛯名正, 1.4, 51,  -4,  -6, 6, 10.8,⑥⑤⑤, 8,13, ニシノベレｰザ,---,松岡正, 1.0, 54, -25,  12,10, 81.7,⑬⑫⑫, 8, 2, バシケｰン,,山本康,220.7,,,,13,104.5,⑨⑨⑧, 8, 7,Ｏアキノパンチ, 74,三浦皇, 0.5, 80,   2,   9,11, 21.4, ⑧⑫
 9,13,Ｊミラクルリベロ, 46,吉田豊, 2.3, 47,  -5,  -9,12,199.9,⑧⑦⑨, 9,12, トシキャンディ,---,柴田善, 1.6, 39, -20, -10, 7, 21.7,⑧⑦⑧, 9, 1, クリノダイマオｰ,,浜野谷,221.1,,,,10, 83.7,⑩⑫⑫, 9, 8,Ｆジョイントスタｰズ, 80,丸田恭, 0.5, 78,   6,   5,15, 49.4, ⑤⑥
10,14,Ｏオｰマイマミｰ, 38,柴田大, 2.3, 47,  -9,  -3,14,406.3,⑬⑮⑭,10, 9, ダイワチャンス,---,北村宏, 1.6, 32,*-17, -17, 8, 38.0,③④④,10,13, メイケイグリｰン,,白浜雄,221.3,,,, 6, 20.2,④⑦⑨,10,14,Ｃショウナンアクロス, 82,吉田豊, 0.6, 78,  -5,* 14, 7, 11.6, ⑯⑭
11, 8,Ｌフジノチヨヒメ, 41,武士沢, 2.4, 47,  -8,  -3,15,427.5,⑮⑯⑮,11, 4, ホワイトコマンダｰ,---,中舘英, 1.8, 38, -21, -11,11, 96.9,⑨⑧⑨,11, 8, トウカイマジック,,穂苅寿,221.3,,,, 8, 20.7,②②③,11,11,Ｋテｰオｰギャング, 78,松田大, 0.6, 78,   1,   9, 8, 12.8, ⑫⑩
12, 3,Ｎアヴェニュｰドｰル, 38,菊沢隆, 2.7, 45,  -7,  -9, 4,  8.1,⑩⑬⑬,12, 5, ファインフレスコ,---,吉田隼, 2.0, 35, -22, -11,12,115.2,⑩⑩⑪,12,12, エｰシンディｰエス,,南井大,221.6,,,, 4,  9.9,③⑥⑦,12,12,Ｈエネルマオｰ, 79,勝浦正, 0.7, 77,   2,   6, 5,  9.8, ⑨⑨
13,11,Ｋカシノクリス, 45,二本柳, 2.9, 43,  -6, -12,13,249.0,⑪⑪⑪,13, 3, マイネルスラッガｰ,---,丸田恭, 3.2, 23, -27, -17,13,139.6,⑪⑬⑬,,,,,,,,,,,,,13,15,Ｉエアニックス, 79,吉田隼, 0.7, 77,  -1,   9,16, 50.7, ⑬⑪
14, 2,Ｍオンワｰドラフィネ, 40,千葉直, 3.1, 38,  -6, -14,10, 92.5,⑯⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｐエイムアットビップ, 69,中舘英, 0.9, 75,* 13,  -7,10, 16.0, ①①
15,16,Ｐミラクルビンテｰジ, 34,嘉藤貴, 4.2, 37,  -6, -18,16,444.9,⑭⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｍメジロシリング, 76,内田博, 1.0, 72,  -3,   7, 2,  7.0, ⑭⑮
