09年10月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年10月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾘｳｽｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 3,14,Ａベストクルｰズ, 73,安藤勝, 0.1, 67,*  7, -13, 1,  2.2, ②②, 3,11,Ｅピサノヴァロン, 58,浜中俊, 0.2, 63,*  0,  -1, 3,  4.5, ②②, 3, 4,Ｂラブグランデｰ, 71,渡辺薫, 0.4, 63,  -6,*  2, 7, 14.0, ⑩⑨, 3, 7,Ｉガリアｰノ, 65,松山弘, 0.3, 71,   9,*  0, 7, 35.5,⑩⑨⑦
 4,16,Ｊデイズオブメモリｰ, 41,木村健, 0.7, 63,   1,* -6,12,108.0, ⑭⑭, 4, 4,Ｃオｰルブランニュｰ, 60,長谷川, 0.5, 61,  -3,  -2, 5, 23.3, ⑥⑤, 4,11,Ｋコスモセンサｰ, 55,浜中俊, 0.6, 62,*  2,  -9,10, 28.8, ②②, 4, 2,Ｂピエナエイム, 79,川田将, 0.4, 72,* 13,  -8, 2,  3.5,②②②
 5, 7,Ｇシルクアｰネスト, 58,松山弘, 0.9, 58,   4, -20, 8, 21.1, ④⑤, 5, 7,Ａアキノワンツｰ, 64,渡辺薫, 0.8, 57,*  1,  -8, 1,  2.5, ①①, 5,16,Ｅタガノエリザベｰト, 61,安藤勝, 0.7, 60,  -1,  -8, 2,  3.8, ⑥⑧, 5, 5,Ｅシｰクレバｰ, 75,国分恭, 0.6, 76,   9,  -2, 6, 28.6,⑧⑦⑧
 6, 8,Ｂマｰジｰビｰト, 64,酒井学, 1.0, 54,   3, -19, 3, 10.8, ⑧⑨, 6,14,Ｉマイレボルｰション, 49,木村健, 1.0, 55,  -8,  -2,12, 73.8, ⑫⑧, 6,10,Ｊベストブルｰム, 56,四位洋, 0.7, 60,  -6,*  0, 9, 27.9, ⑬⑬, 6, 8,Ｆレプラコｰン, 71,和田竜, 0.9, 70,  10,  -6, 9, 56.2,⑤⑧⑨
 7,15,Ｏトｰワランマル, 27,石橋守, 1.0, 58,   2, -15,15,257.8, ⑫⑬, 7, 6,Ｄキュプリス, 58,松山弘, 1.3, 50,  -8,  -5, 7, 34.7, ⑧⑨, 7, 8,Ｌメイショウデイム, 54,福永祐, 0.8, 60,*  2, -13, 4,  7.8, ①①, 7, 4,Ｈチョップチョップ, 68,武豊  , 1.1, 69,   8,  -4, 5, 17.5,⑦⑩⑩
 8, 6,Ｍコスモサイキック, 40,浜中俊, 1.1, 56,*  7, -28, 9, 30.3, ①①, 8, 3,Ｆベコニングキャット, 54,荻野琢, 1.6, 50,  -7,  -8, 6, 34.7, ⑪⑪, 8,12,Ｍテイエムハエゲナ, 53,佐久間, 0.8, 59,  -2,  -7,16,283.7, ⑧⑦, 8,10,Ｄイニミタブル, 75,田中健, 1.7, 64,  11, -16,10,146.9,③④③
 9, 2,Ｄコウユｰユメダンス, 60,福永祐, 1.4, 55,   3, -23, 5, 13.2, ⑩⑧, 9, 2,Ｈグランプリセイハ, 51,赤木高, 1.6, 49,  -7,  -7,10, 64.4, ⑩⑬, 9,14,Ｇシャイン, 60,川田将, 1.0, 57,  -3,  -8,12, 55.1, ⑨⑫, 9, 1,Ｇエｰシンセｰフティ, 69,赤木高, 1.8, 62,* 14, -23, 4, 11.6,①①①
10, 4,Ｆデンコウオクトパス, 58,田中健, 1.6, 53,   1, -22,13,132.3, ⑬⑪,10, 9, アイノワｰルド,---,幸英明, 1.7, 50, -12,  -2,14,149.8, ⑮⑭,10,13,Ｆパリスドｰル, 60,太宰啓, 1.0, 57,*  1, -13, 8, 26.1, ⑤④,10, 6,Ｊエルジャンクション, 58,浜中俊, 2.8, 58,  11, -24, 8, 37.0,④③⑤
11, 3,Ｈオｰプンシャッセ, 54,武幸四, 1.8, 53,  -1, -21,11, 74.3, ⑯⑯,11,12,Ｍミッキｰデピュティ, 36,松田大, 2.2, 46,  -7, -14,15,176.6, ⑨⑦,11, 6, タガノパンデミック,---,木村健, 1.1, 55,  -2, -11,14,149.4, ⑦⑥,,,,,,,,,,,,
12, 1,Ｐテｰオｰジャングル, 21,角田晃, 2.0, 49,  -1, -23,14,195.8, ⑮⑮,12, 8,Ｋエｰシンマイスタｰ, 37,国分恭, 2.2, 47,  -6, -14, 9, 54.5, ⑦⑥,12, 2,Ｉフェブスカイ, 58,幸英明, 1.2, 54,  -6,  -8,13,125.8, ⑪⑪,,,,,,,,,,,,
13,10,Ｃケイアイプログレス, 61,池添謙, 2.3, 46,   4, -41, 6, 13.6, ⑥⑦,13,13, メイショウサミット,---,難波剛, 2.3, 43, -10, -12,11, 69.0, ⑬⑫,13,15,Ｃトｰコｰブロンコ, 66,武豊  , 1.2, 53,  -5,  -9, 3,  6.9, ⑫⑩,,,,,,,,,,,,
14,11,Ｎピノブラン, 40,和田竜, 2.5, 43,   4, -44, 7, 17.5, ⑤⑥,14,10,Ｌマックススカラ, 37,戸部尚, 3.5, 33, -14, -18,13, 92.6, ⑭⑮,14, 1,Ｄキラウエア, 63,小牧太, 1.3, 52,  -7,  -7,11, 45.4, ⑭⑭,,,,,,,,,,,,
15, 5,Ｌエンクリプション, 41,四位洋, 2.8, 41,   4, -48, 2,  3.6, ⑦④,15, 1,Ｊセレｰサ, 45,岩田康, 4.4, 25,  -6, -34, 4,  7.9, ⑤⑩,15, 3,Ｎサクラエクスプロｰ, 47,岩田康, 1.4, 50,  -7,  -8, 5, 10.5, ⑯⑮,,,,,,,,,,,,
16, 9,Ｉケｰジｰドルバコ, 45,野元昭, 3.1, 39,   0, -43,16,547.2, ⑪⑫,,,,,,,,,,,,,16, 5, パラダイスラビｰダ,---,戸部尚, 1.4, 50,  -9,  -7,15,186.8, ⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:稍重(指数:-1),,,,,,,,,,,
"単勝:3,500円 複勝:12=790円 13=340円 14=140円 枠連:840円",,,,,,,,,,,,"単勝:340円 複勝:05=150円 15=550円 11=160円 枠連:4,120円",,,,,,,,,,,,単勝:350円 複勝:09=150円 07=290円 04=330円 枠連:760円,,,,,,,,,,,,単勝:190円 複勝:09=110円 03=170円 07=550円 枠連:440円,,,,,,,,,,,
"馬連:18,870円 ワイド:12-13=5,300円 12-14=1,250円 13-14=660円",,,,,,,,,,,,"馬連:6,250円 ワイド:05-15=1,670円 05-11=360円 11-15=2,240円",,,,,,,,,,,,"馬連:1,750円 ワイド:07-09=730円 04-09=590円 04-07=1,680円",,,,,,,,,,,,"馬連:430円 ワイド:03-09=230円 07-09=980円 03-07=2,320円",,,,,,,,,,,
"馬単:38,180円 3連複:14,060円 3連単:124,920円",,,,,,,,,,,,"馬単:13,300円 3連複:7,560円 3連単:49,190円",,,,,,,,,,,,"馬単:3,170円 3連複:6,710円 3連単:31,450円",,,,,,,,,,,,"馬単:680円 3連複:4,620円 3連単:12,280円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 9R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,浅口特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａポイマンドレｰス, 71,岩田康,, 73,*  0,* 12, 1,  1.7,①①①, 1,11,Ｂアドマイヤインディ, 76,川田将,, 77,*  7,   6, 1,  2.9,③②②, 1, 4,Ｇグッドルッキング, 76,秋山真,, 82,*  4,   8, 3,  4.8, ②②, 1, 5,Ｂシｰアクロス, 78,大下智,, 79,*  9,*  5, 4, 10.0, ③③
 2, 7,Ｄサザンオｰカン, 65,松山弘, 0.7, 66,* -1,   8, 5, 10.9,④③④, 2,16,Ａミコノス, 79,田中健, 0.2, 76,   6,*  7, 2,  3.1,⑫⑦⑥, 2, 6,Ｂヤマカツマリリン, 80,田嶋翔, 0.0, 83,  -3,* 15, 5,  9.2, ⑤⑤, 2,14,Ｉスプラッシュエンド, 68,岩田康, 0.0, 78,   5,* 11, 3,  8.8, ⑫⑤
 3, 4,Ｃタナカラボタモチ, 67,川田将, 0.8, 68,  -1,   8, 3,  6.1,③④②, 3, 6,Ｆカスガ, 72,松山弘, 0.2, 73,   5,*  8, 3,  7.0,⑥⑥⑤, 3, 7,Ｄビｰチアイドル, 78,武豊  , 0.1, 81,   2,  10, 1,  4.4, ③③, 3, 4,Ａクｰノキセキ, 82,武豊  , 0.1, 79,* 10,   3, 1,  1.8, ②②
 4, 8,Ｆスマｰトソロモン, 53,武豊  , 1.5, 64,  -1,   2, 4,  6.4,⑦⑤⑤, 4, 4,Ｃホクトスワン, 76,藤岡佑, 1.0, 71,   3,   5, 7, 15.2,⑭⑬⑫, 4, 9,Ｈメイカ, 75,岩田康, 0.2, 81,  -6,* 16, 7, 18.1, ⑨⑨, 4, 9,Ｃファイアナカヤマ, 74,和田竜, 0.5, 75,   7,   4, 2,  6.5, ⑥④
 5, 6,Ｂダｰクセクタｰ, 67,藤岡佑, 1.8, 63,  -1,   2, 2,  6.1,⑤⑥⑥, 5,12,Ｈメイショウコレット, 72,木村健, 1.0, 71,   4,   4, 9, 36.5,⑪⑪⑨, 5, 1,Ｉアイディンパワｰ, 74,池添謙, 0.4, 79,  -5,  12, 6, 13.0, ⑦⑦, 5,16,Ｋグランプリチェリｰ, 67,福永祐, 0.8, 71,   5,   4, 8, 34.0, ⑩⑩
 6, 3,Ｅマックスハナレイ, 54,福永祐, 2.5, 58,  -5,   0, 7, 35.4,⑥⑦⑦, 6, 5,Ｇオｰスミマコ, 72,藤岡康, 1.1, 70,   5,   1,11, 68.7,⑬⑩⑦, 6, 2,Ａレッドハイヒｰル, 86,田中勝, 0.4, 76,* 13,  -6, 2,  4.5, ①①, 6, 8,Ｈトウカイインパクト, 68,石橋守, 1.4, 69,   5,  -1, 7, 25.2, ⑧⑧
 7, 9,Ｈテイエムユメノコ, 45,小牧太, 4.4, 44,*  0, -24, 6, 26.9,②②③, 7, 8,Ｅオデットシチｰ, 73,川島信, 1.9, 63,   6,  -8, 4,  9.6,⑤④③, 7, 3,Ｍピサノガブリエル, 58,浜中俊, 0.4, 77,  -1,   8,12, 76.8, ④④, 7,10,Ｄクリノラプソディｰ, 72,松山弘, 1.5, 63,   2,   1,14,154.5, ⑬⑫
 8, 2,Ｇメイショウテノｰル, 49,高橋亮, 4.5, 46,  -5, -14, 9,194.8,⑧⑨⑧, 8, 1,Ｎウォｰタｰリメイン, 63,国分恭, 2.3, 67,   3,  -5,15,125.3,⑮⑫⑬, 8, 8,Ｌジャックボイス, 68,赤木高, 0.4, 77,  -2,  10, 8, 19.3, ⑥⑥, 8,15,Ｏガクニホシ, 60,津村明, 2.0, 60,   0,  -1,13,126.1, ⑯⑬
 9, 1,Ｉシゲルイヨフジ, 28,国分恭, 5.2, 45,  -7, -19, 8,144.7,⑨⑧⑨, 9,15,Ｊパｰプルスタｰ, 71,安藤光, 2.4, 59,   5,  -9,10, 63.4,⑨⑨⑧, 9,13,Ｅフェスティヴマロン, 77,小牧太, 0.6, 75,  -5,  10,13,123.9, ⑧⑧, 9, 7,Ｇヤマニンデュｰン, 69,川田将, 2.1, 60,  -1,   0, 9, 38.3, ⑮⑮
,,,,,,,,,,,,10,10,Ｄグロｰリｰブリッジ, 75,石橋守, 2.9, 60,*  8, -20, 6, 14.3,②①①,10, 5,Ｃニホンピロシェリｰ, 79,酒井学, 0.7, 73,  -9,  12, 9, 21.5, ⑪⑪,10,13,Ｅドリｰムクェｰサｰ, 70,池添謙, 2.7, 56,   5, -12, 5, 14.3, ⑨⑨
,,,,,,,,,,,,11,13,Ｌハッピｰドロップ, 69,荻野琢, 3.1, 58,   5, -15,14,120.8,⑧⑧⑪,11,14,Ｋリッタｰヴォルト, 68,上村洋, 0.7, 75,  -8,  11,11, 37.0, ⑩⑩,11, 6,Ｍサクラグロｰリｰ, 62,藤岡佑, 3.1, 55,* 12, -25,11, 53.3, ①①
,,,,,,,,,,,,12, 9,Ｍミスアンコｰル, 66,武豊  , 3.4, 57,  -3,  -2, 5, 13.7,⑩⑮⑭,12,12,Ｊシティボス, 73,太宰啓, 0.8, 75, -13,* 15,10, 26.2, ⑬⑬,12,11,Ｊカシノマルス, 67,高野容, 3.1, 52,   1, -11,12, 67.8, ⑭⑯
,,,,,,,,,,,,13, 7,Ｐトウカイアワｰド, 59,和田竜, 3.9, 51,   6, -26,13, 99.0,④⑤④,13,11,Ｆミリオンウェｰブ, 76,角田晃, 0.9, 73, -10,  11, 4,  5.9, ⑫⑫,13, 2,Ｆメテオストリｰム, 69,川島信, 3.3, 52,   8, -20,10, 42.1, ⑤⑥
