06年10月 1日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年10月 1日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.1,,,,,■ 7R  芝1500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.9,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2.0,,,,
 9, 7,Ｉエプソムキララ, 42,四位洋, 1.8, 31,*-19,  -7, 6, 28.6,③②④, 9,13,Ｉブラックレガシｰ, 42,五十嵐, 2.1, 39,  -3, -22, 9, 72.4,⑪⑦⑦, 9, 5,Ｄリブレメンテ, 64,鈴来直, 1.6, 66,* 12, -12, 5,  7.5,②②②, 8, 1, タッチブレイブ,---,山口竜, 1.4, 48, -10,  -1, 8, 63.2, ⑪⑪
10,12,Ｊビｰトボックス, 39,鈴来直, 1.8, 30, -22,  -2,14,407.7,⑪⑥⑨,10,10,Ｍクロスバラｰド, 36,鈴来直, 2.2, 37,  -6, -18,12,307.3,⑬⑫⑪,10,14,Ｈトラッドスキｰム, 60,菊沢隆, 1.8, 61,   7,  -8, 6, 14.2,⑧⑥⑥, 9, 9,Ｅネバｰチェンジ, 55,武幸四, 1.4, 51,* 11, -21, 5, 13.0, ②③
11, 8,Ｋゴｰルデンシャイン, 38,松田大, 1.9, 28, -23,  -1,12,172.2,⑪⑧⑨,11, 7,Ｌツカサオウカ, 37,菊沢隆, 2.7, 34,  -2, -29, 7, 28.0,⑧⑦⑦,11, 4,Ｉトｰヨｰコジｰン, 59,藤田伸, 2.2, 55,   8, -16, 4,  6.2,⑥⑥⑪,11,10, カザグルマ,---,千葉津, 1.7, 45,   9, -24, 6, 26.2, ④⑤
12,13,Ｇトｰアノマイ, 45,柴原央, 2.0, 28, -23,  -2, 9, 53.2,⑬⑧⑫,12, 8,Ｄアドルフイモン, 53,千葉直, 3.8, 25,  -2, -44, 6, 25.3,①③⑪,12, 1,Ｌノボワｰルド, 54,的場勇, 2.6, 47,   8, -26,12, 85.8,③④⑥,,,,,,,,,,,,
13, 9,Ｍマジックキングダム, 32,山口竜, 2.0, 26, -26,   4,10,143.4,⑩⑫⑫,13,12,Ｊアグリシチｰ, 40,黛弘人, 4.5, 23,  -9, -39,13,363.6,⑧⑬⑬,13,11,Ｆアドライナｰ, 62,黛弘人, 2.9, 42,   2, -22,14,312.4,⑫⑪⑬,,,,,,,,,,,,
14,11,Ｌヤマニンプロロｰグ, 37,塚田祥, 2.1, 22, -22, -10,11,165.8,⑦④⑥,,,,,,,,,,,,,14,13,Ｍアサクサバンザイ, 50,山口竜, 4.3, 31,   6, -45,11, 64.1,⑥⑨⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+20 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,
"単勝:260円 複勝:01=120円 06=190円 03=110円 枠連:1,280円",,,,,,,,,,,,"単勝:640円 複勝:01=210円 04=150円 11=470円 枠連:1,380円",,,,,,,,,,,,"単勝:6,200円 複勝:03=1,540円 10=160円 09=870円 枠連:820円",,,,,,,,,,,,"単勝:620円 複勝:03=190円 08=210円 11=1,350円 枠連:1,280円",,,,,,,,,,,
"馬連:1,510円 ワイド:01-06=450円 01-03=130円 03-06=340円",,,,,,,,,,,,"馬連:1,410円 ワイド:01-04=510円 01-11=1,610円 04-11=770円",,,,,,,,,,,,"馬連:11,800円 ワイド:03-10=3,070円 03-09=12,340円 09-10=2,580円",,,,,,,,,,,,"馬連:1,760円 ワイド:03-08=580円 03-11=4,140円 08-11=3,860円",,,,,,,,,,,
"馬単:2,180円 3連複:800円",,,,,,,,,,,,"馬単:2,990円 3連複:7,970円",,,,,,,,,,,,"馬単:26,570円 3連複:112,240円",,,,,,,,,,,,"馬単:3,870円 3連複:40,070円 3連単:129,670円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.7,,,,,■ 5R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,,■11R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STV賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｉヘンメイレン, 42,的場勇,, 60,  -6,*  5, 6, 42.6,⑥⑤④, 1, 4,Ａアイアムドラマ, 64,大野拓,, 61,* -6,*  8, 1,  2.5,②②①, 1, 6,Ａノｰスベアハｰト, 70,大野拓,, 69,  -9,* 15, 1,  2.9,④⑥③, 1, 3,Ａコマノルカン, 81,本田優,, 77,  10,  10, 2,  5.1, ⑤⑤
 2, 9,Ａメイショウルイｰズ, 68,柴山雄, 0.1, 61,* -4,*  4, 1,  2.5,④④③, 2,12,Ｇピエナテンイヤｰズ, 50,小林徹, 0.2, 62,  -6,*  9, 5, 10.4,⑤④④, 2, 2,Ｂランキング, 67,藤田伸, 0.3, 62,* -6,  10, 3,  4.2,①①①, 2, 6,Ｅフサイチバルドル, 74,武幸四, 0.2, 80,  -4,* 21, 3,  6.4, ⑫⑧
 3, 8,Ｂトｰセンウイスパｰ, 59,塚田祥, 0.1, 59,* -4,   2, 3,  4.5,②②②, 3, 5,Ｄダイワアスカロン, 52,菊沢隆, 0.4, 62,  -8,* 10, 3,  7.3,⑧⑦⑥, 3, 9,Ｄツルマルロｰレル, 63,松田大, 0.4, 67,  -9,* 15, 4,  8.2,⑩⑧⑤, 3,14,Ｍクラシカルウィｰク, 63,梶晃啓, 0.3, 76,  -9,* 21,12, 42.2, ⑭⑩
 4, 2,Ｅベルモントピッコロ, 52,田辺裕, 0.6, 57,  -6,   3, 5, 15.7,⑥⑥④, 4, 6,Ｊヤマカツアｰサｰ, 44,本田優, 0.4, 57,  -6,   6, 9, 54.1,⑤④④, 4, 8,Ｊタイインテンスリｰ, 57,柴山雄, 0.6, 59,* -8,   9, 8, 48.2,⑥③②, 4, 2,Ｄテイエムロマンス, 76,山口竜, 0.3, 69,* 20,  -5, 7, 15.7, ①①
 5, 1,Ｃミステリｰ, 58,藤田伸, 0.7, 57,  -7,   3, 2,  2.6,⑧⑥⑦, 5,11,Ｆメイショウカレン, 51,武幸四, 0.4, 56,* -6,   4, 2,  4.3,④③③, 5, 3,Ｃアグネスハッピｰ, 65,武幸四, 0.7, 59,* -7,   9, 2,  3.6,④③③, 5, 4,Ｈクイｰンアイリス, 72,松田大, 0.5, 69,   2,  10, 4,  7.1, ⑦⑥
 6, 6,Ｆギブミｰアチャンス, 45,小林徹, 1.3, 51,  -8,  -1,11,179.1,⑫⑨⑦, 5,10,Ｈマイネルマズラｰ, 48,柴原央, 0.4, 61,  -7,*  9, 8, 18.3,⑦⑥⑥, 6, 7,Ｉアｰリｰオｰタム, 57,須貝尚, 1.1, 57,  -9,   9, 6, 12.5,⑦⑧⑦, 6, 1,Ｉケイエスアイ, 70,小林徹, 0.5, 75, -15,* 25,10, 26.9, ⑮⑮
 7,10,Ｍフィルドｰル, 35,山口竜, 1.7, 46,  -8,  -5,10, 97.4,⑪⑨⑨, 7, 2, マチカネヒカル,---,塚田祥, 1.4, 47, -14,   5, 4,  8.9,⑫⑬⑩, 7,10,Ｋキラウエアシチｰ, 52,菊沢隆, 1.4, 54, -10,   8,10, 72.7,⑪⑫⑨, 7,16,Ｇアドマイヤディｰノ, 72,柴山雄, 0.6, 66,  12,   0, 1,  3.3, ④③
 8, 3,Ｌシンセイヘイロ, 37,鈴来直, 1.9, 44,  -8,  -7,13,258.5,⑨⑨⑨, 8,14,Ｉオｰスミクロフネ, 45,的場勇, 1.7, 38, -10, -11,11, 66.1,②⑦⑩, 8,12,Ｈアリマエクセレント, 57,五十嵐, 1.4, 52, -11,   7, 9, 49.2,⑪⑫⑫, 8, 8,Ｌメイショウモア, 67,藤田伸, 0.9, 59,   1,   3, 6, 14.4, ⑦⑧
 9, 7,Ｄノｰメイク, 53,本田優, 2.1, 41,* -3, -17, 4, 12.0,①①①, 9, 7,Ｃフサイチマジック, 55,四位洋, 1.7, 42, -11,  -3, 7, 13.5,⑬⑩⑥, 9,11,Ｇウインフィエｰロ, 57,塚田祥, 1.7, 46,  -8,  -1,11, 91.4,⑦⑥⑦, 9, 5,Ｊマイネルガッチャ, 69,小島太, 0.9, 60,  -2,   6,11, 37.3, ⑨⑩
10,12,Ｋブルｰアジサイ, 37,五十嵐, 2.5, 38,* -4, -20, 8, 93.0,③②⑥,10,13,Ｅコスモセグレト, 51,梶晃啓, 2.0, 38,* -6, -24, 6, 12.6,①①②,10, 4,Ｍキングオブパルメ, 44,小原義, 2.0, 46, -10,   1,12,128.5,⑬⑪⑪,10,11,Ｂオリエントヒｰロｰ, 80,田辺裕, 1.0, 58,  -6,   7,14, 47.6, ⑫⑭
11, 5,Ｊフレンチアガサ, 41,大野拓, 3.5, 31, -14, -14, 9, 94.4,⑨⑫⑫,11, 8,Ｍレオマインド,-29,川島信, 2.1, 39,  -9, -12,13,216.5,⑧⑨⑨,11, 5,Ｅオペラボイス, 62,黛弘人, 2.1, 42,* -9,  -6, 7, 45.6,②③⑬,11,15,Ｋメイプルロｰド, 68,芹沢純, 1.2, 56,  -3,   4, 9, 24.5, ⑪⑩
12,13,Ｇクレヨン, 43,黛弘人, 4.4, 25, -16, -19,12,219.8,⑫⑬⑬,12, 1,Ｌケイエスヨシキ, 34,松田大, 2.2, 37, -11,  -9,12,130.1,⑩⑪⑬,12,13,Ｆシルクユニコｰン, 59,川島信, 2.2, 44,* -7,  -7, 5, 10.3,③②⑤,12, 7,Ｎセイウンドｰバｰ, 61,五十嵐, 1.3, 61, -24,* 22,13, 44.0, ⑯⑯
13, 4,Ｈレディフォルツァ, 42,武幸四, 5.0, 18,  -6, -40, 7, 48.6,④⑥⑪,13, 3,Ｋダブルマイル, 40,柴山雄, 2.5, 37, -11, -14,10, 61.2,⑩⑪⑫,13, 1,Ｌゴジョウゲン, 45,田辺裕, 2.4, 43,  -9,  -5,13,320.5,⑦⑧⑨,13,10,Ｆライトニングボｰル, 73,菊沢隆, 1.3, 53,  -2,   0, 5, 11.1, ⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｃブライティアアイ, 79,竹之下, 1.4, 54,   5,  -7, 8, 19.7, ⑥⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｏスリｰリクエスト, 50,塚田祥, 1.5, 52,* 15, -23,16,215.4, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｐサクラカンパネラ, 49,的場勇, 1.5, 53,  12, -17,15, 64.7, ③④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-2),,,,,,,,,,,
"単勝:4,260円 複勝:11=380円 09=120円 08=150円 枠連:2,030円",,,,,,,,,,,,単勝:250円 複勝:04=130円 12=230円 05=190円 枠連:360円,,,,,,,,,,,,単勝:290円 複勝:06=130円 02=170円 09=180円 枠連:620円,,,,,,,,,,,,"単勝:510円 複勝:03=240円 06=200円 14=1,010円 枠連:800円",,,,,,,,,,,
"馬連:3,090円 ワイド:09-11=1,160円 08-11=1,530円 08-09=180円",,,,,,,,,,,,"馬連:1,360円 ワイド:04-12=530円 04-05=330円 05-12=1,030円",,,,,,,,,,,,馬連:690円 ワイド:02-06=330円 06-09=350円 02-09=650円,,,,,,,,,,,,"馬連:1,270円 ワイド:03-06=630円 03-14=4,820円 06-14=4,210円",,,,,,,,,,,
"馬単:12,220円 3連複:3,150円",,,,,,,,,,,,"馬単:2,070円 3連複:2,290円",,,,,,,,,,,,"馬単:1,140円 3連複:1,760円",,,,,,,,,,,,"馬単:2,350円 3連複:32,170円 3連単:125,160円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.4,,,,,■ 6R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,,■ 9R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,,■12R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,釧路湿原特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂケイアイカルディナ, 60,大野拓,, 67,*  2,*  2, 1,  3.3, ②②, 1, 5,Ｂトレノトマト, 65,藤田伸,, 72,*  0,*  8, 1,  2.6, ①①, 1,14,Ｃミラクルレイザｰ, 69,武幸四,, 70,  -1,  14, 2,  5.3,⑩⑩⑦, 1,13,Ｍオフィシャル, 50,川島雅,, 64,  -3,* 10,11, 92.3,⑫⑪⑦
 2, 2,Ａリキアイファイト, 60,松田大, 0.2, 66,*  1,*  2, 2,  3.7, ②③, 2,11,Ｇメイショウシラヌイ, 56,芹沢純, 0.3, 67,*  0,   6, 7, 13.7, ②②, 2,13,Ａギｰニョ, 72,藤田伸, 0.1, 62,   0,   7, 1,  1.7,⑧③④, 2,11,Ｉナスケンウインド, 56,菊沢隆, 0.1, 66,   0,*  6,13,236.4,⑩⑩③
 3,12,Ｇコルサトウショウ, 46,本田優, 0.4, 62,   0,   1, 5,  9.4, ④③, 3, 3,Ｄマイネルヴェッカｰ, 64,大野拓, 0.7, 59,  -6,   4, 3,  7.1, ④④, 3, 3,Ｉジョニｰノデンゴン, 60,服部茂, 0.1, 72,  -4,* 17, 8, 28.4,⑩⑪⑩, 3, 2,Ｂグラスギャロップ, 67,川島信, 0.2, 64,   3,   0, 1,  3.9,④④③
 4,11,Ｃスリｰフォｰトラン, 55,小林徹, 0.9, 53,*  4,  -7, 3,  4.8, ①①, 4, 9,Ｃライトザファイアｰ, 64,塚田祥, 0.7, 60,  -9,   6, 6, 11.1, ⑦⑧, 4, 4,Ｇスマｰトブレｰド, 64,芹沢純, 0.2, 62,   1,   6,11, 67.5,④③③, 4, 7,Ｄキクノハヤテ, 65,梶晃啓, 0.3, 64,*  4,  -4, 2,  4.7,③②①
 5, 6,Ｅアルファチャングミ, 54,的場勇, 1.2, 47,  -6,  -5, 7, 22.5, ⑤⑥, 5,12,Ａフリｰダムホｰク, 67,菊沢隆, 0.8, 58,* -2,   1, 4,  7.5, ③②, 5,12,Ｆスｰパｰキャノン, 66,大野拓, 0.2, 57,* -1,   3, 6, 23.4,①③④, 5,12,Ｃリスティアプロトス, 66,鈴来直, 0.3, 62,   1,   2, 6, 11.8,⑧⑦⑥
 6, 1,Ｄユキノサンシャイン, 54,川島信, 1.5, 45,  -5,  -7, 4,  6.3, ⑤⑤, 6, 6,Ｊマンボカｰニバル, 54,柴山雄, 0.8, 61, -13,*  9, 8, 19.4, ⑩⑩, 6, 5,Ｄホットカフェ, 68,小島太, 0.3, 56,  -1,   3, 3,  6.5,②③⑥, 6, 9,Ｊティラノサウルス, 55,黛弘人, 1.0, 57,   0,  -4,10, 37.6,⑧⑦⑩
 7,10,Ｈアイノヤマト, 44,黛弘人, 1.6, 44, -24,*  2,10, 81.0, ⑪⑩, 7,10,Ｌデピュティジャパン, 51,鈴来直, 0.9, 58,  -8,   5,12,127.4, ⑦⑧, 7, 6,Ｅレディティアラ, 68,松田大, 0.3, 62,  -1,   8, 4, 12.2,⑧⑧⑦, 7, 5,Ｆリアルテｰスト, 58,的場勇, 1.2, 55,   1,  -7, 3,  4.8,⑦⑦⑦
 8, 5,Ｌメイショウクレア, 30,武幸四, 1.6, 45, -18,   0, 9, 54.9, ⑩⑩, 8, 4,Ｅジｰティｰピｰチ, 60,小林徹, 1.0, 56,  -5,   1, 5,  9.3, ④⑤, 8, 7,Ｋビッグシャトル, 53,塚田祥, 0.5, 61,  -7,  12,12,126.7,⑫⑬⑬, 8, 8,Ａシルクデュエリスト, 72,塚田祥, 1.3, 51,  -6,   2, 5,  8.7,⑬⑬⑪
 9, 7,Ｊフサイチハヤト, 40,塚田祥, 1.8, 39, -11,  -8, 8, 39.6, ⑦⑧, 9, 8,Ｆサウンドスピリット, 60,本田優, 1.1, 54,  -6,   1, 2,  5.2, ⑥⑥, 9, 1,Ｊヤマカツダンサｰ, 60,菊沢隆, 0.6, 60,  -5,  10, 5, 21.8,⑫⑫⑫, 9, 4,Ｅクラリオンコｰル, 61,五十嵐, 1.8, 52,*  4, -18, 4,  5.7,②②⑤
10, 3,Ｋオンワｰドビギン, 30,服部茂, 1.8, 41, -10,  -7,12,252.4, ⑦⑥,10, 1,Ｋカラッチオラ, 54,五十嵐, 1.3, 53, -16,   6,11, 68.0, ⑪⑩,10, 2,Ｈニシノブラッサム, 60,田辺裕, 0.6, 57,  -1,   3, 7, 24.5,④⑧⑦,10, 6,Ｈフジヤマホｰク, 57,藤田伸, 2.4, 44,  -4, -12, 7, 17.5,⑪⑫⑪
11, 9,Ｆシックスポケット, 48,五十嵐, 2.3, 36, -26,  -2, 6, 10.2, ⑫⑫,11, 7,Ｈドリｰムシｰカｰ, 55,柴原央, 1.3, 53, -16,   6,10, 50.9, ⑪⑫,11, 8,Ｂマイネルブラジリエ, 69,的場勇, 0.8, 53,*  2, -11, 9, 40.7,⑦①①,11, 3,Ｇオリオンザクロノス, 58,大野拓, 2.6, 44,*  4, -28, 9, 23.4,①①②
12, 4,Ｉウェルスビュｰロウ, 41,梶晃啓, 2.5, 34, -10, -14,11,168.8, ⑦⑨,12, 2,Ｉサウスバトルマン, 54,田辺裕, 1.4, 50,  -8,  -1, 9, 22.6, ⑦⑦,12,10,Ｍビジンサン, 52,山口竜, 0.9, 56,*  3,  -9,10, 56.2,②②②,12, 1,Ｋスペシャリスト, 54,柴原央, 2.7, 44,   3, -24, 8, 17.6,④④⑦
,,,,,,,,,,,,,,,,,,,,,,,,13, 9,Ｎスパンゴｰルド, 47,五十嵐, 1.3, 68, -15,* 21,13,133.5,⑭⑭⑭,13,10,Ｌサンレイコマンド, 52,松田大, 3.4, 38,   2, -32,12,111.6,④④⑪
,,,,,,,,,,,,,,,,,,,,,,,,14,11,Ｌクリゼイア, 53,黛弘人, 1.3, 51,* -1, -14,14,173.5,④③⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-4),,,,,,,,,,,
単勝:330円 複勝:08=130円 02=160円 12=190円 枠連:770円,,,,,,,,,,,,単勝:260円 複勝:05=130円 11=380円 03=210円 枠連:610円,,,,,,,,,,,,単勝:530円 複勝:14=150円 13=100円 03=430円 枠連:420円,,,,,,,,,,,,"単勝:9,230円 複勝:13=1,510円 11=3,950円 02=180円 枠連:9,300円",,,,,,,,,,,
