06年 3月18日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 3月18日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.8,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1400m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.5,,,,,■10R  芝2000m 4歳上1600万 ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0.6,,,,
 9, 7,Ｃクイッククイック, 55,武英智, 3.3, 25, -10, -22, 4, 10.1,⑤②⑤, 9, 9, マンオブレジェンド,,今村康, 3.6,,,,14,371.5,⑨⑧⑨, 9, 5, カルディｰノ,---,川原正, 1.8, 51, -15,   5,12,517.0, ⑩⑩, 9, 4,Ｋダイタクアルビン, 74,石橋守, 0.7, 57,* -9,  11, 9, 57.3,④③④
10, 5,Ｊキングメモリｰ, 35,北村友, 4.4, 14, -16, -27, 9, 69.5,⑥⑧⑩,10, 2, ニシノジュエリｰ,,宇田登, 4.1,,,, 8, 43.4,⑩⑩⑩,10, 4,Ｈフィンマックｰル, 61,四位洋, 1.8, 47,  -7,  -5, 7, 22.4, ⑤⑤,10,10,Ｇストロングドン, 79,小原義, 0.8, 66, -16,* 19,11,129.1,⑩⑪⑪
,,,,,,,,,,,,11,11, ライブリトレジャｰ,,白浜雄, 4.4,,,, 7, 29.9,⑬⑪⑫,11, 3,Ｉアレクシオス, 58,生野賢, 1.9, 49, -15,   3, 4, 11.6, ⑩⑩,11, 9,Ｉファイトクラブ, 77,池添謙, 1.0, 62, -12,  16, 5, 16.4,⑧⑩⑨
,,,,,,,,,,,,12,10, エフジｰストロング,,平沢健, 4.4,,,,13,283.3,⑩⑪⑪,12, 2,Ｆテイエムヒビキ, 63,小牧太, 2.0, 45,  -7,  -7, 9,102.2, ⑤⑤,,,,,,,,,,,,
,,,,,,,,,,,,13, 8, メイショウピュｰマ,,嘉堂信, 5.0,,,,11,210.6,⑫⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 1, マイティｰビｰム,,岩崎祐, 5.7,,,,10,132.2,⑭⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:重(指数:-9),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:稍重(指数:1),,,,,,,,,,,
単勝:190円 複勝:02=100円 08=120円 06=190円 枠連:150円,,,,,,,,,,,,"単勝:310円 複勝:04=180円 03=520円 12=390円 枠連:4,850円",,,,,,,,,,,,単勝:270円 複勝:12=120円 10=110円 01=580円 枠連:180円,,,,,,,,,,,,"単勝:7,020円 複勝:07=1,060円 05=120円 02=340円 枠連:1,000円",,,,,,,,,,,
馬連:260円 ワイド:02-08=130円 02-06=270円 06-08=410円,,,,,,,,,,,,"馬連:3,810円 ワイド:03-04=910円 04-12=690円 03-12=2,770円",,,,,,,,,,,,"馬連:240円 ワイド:10-12=150円 01-12=1,470円 01-10=1,790円",,,,,,,,,,,,"馬連:6,950円 ワイド:05-07=1,850円 02-07=8,660円 02-05=570円",,,,,,,,,,,
馬単:460円 3連複:650円,,,,,,,,,,,,"馬単:5,880円 3連複:10,300円",,,,,,,,,,,,"馬単:590円 3連複:4,080円",,,,,,,,,,,,"馬単:23,770円 3連複:21,340円 3連単:180,280円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.2,,,,,■ 5R  芝2000m 3 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,,■11R  芝2000m 3 歳ｵｰﾌﾟﾝ 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,若葉ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃアンクルストロング, 54,安藤勝,, 56,  -1,  -6, 3,  4.1, ③④, 1, 7, アエロｰザ,---,安藤勝,, 76, -46,* 38, 2,  3.8,③③⑤, 1, 7,Ｄタマモコンチェルト, 65,四位洋,, 69,* -6,* 13, 2,  4.4,②①①, 1, 7,Ａフサイチジャンク, 75,武豊  ,, 75,  -2,* 14, 1,  1.4,⑧⑨⑦
 2, 7,Ｊアグネスホンジン, 33,吉原寛, 0.2, 53,*  0, -11,10, 76.4, ②①, 2, 9, プレザントシｰズン,---,吉原寛, 0.4, 54,*-44,* 27, 5, 11.1,②②①, 2,11,Ａスナｰクエベレスト, 66,川原正, 0.0, 70,  -7,* 14, 5, 22.6,④③①, 2, 9,Ｃキャプテンベガ, 70,安藤勝, 0.1, 71,  -1,* 10, 2,  3.4,⑤⑤④
 3,14,Ｈイイデカミノヤマ, 39,生野賢, 0.3, 50, -16,*  5, 9, 73.0, ⑪⑩, 3, 1, シンメイジュピタｰ,---,佐藤哲, 1.1, 41, -47,  23, 9, 51.0,⑥⑤⑤, 3, 3,Ｂグランドパルファン, 65,和田竜, 0.4, 65,  -8,  12, 3,  4.6,⑤③④, 3, 5,Ｉトｰセンシャナオｰ, 42,吉原寛, 0.1, 68,*  2,   3, 8,272.0,②②①
 4, 4,Ｄスズカゲスト, 52,渡辺薫, 0.3, 50, -15,*  4, 1,  2.8, ⑪⑩, 4,13, レスタｰパｰソン,---,池添謙, 1.2, 32, -45,  18,10, 58.6,③③①, 4, 2,Ｃニシノウラシマ, 65,小牧太, 1.4, 52,  -7,   1, 4,  5.2,②③④, 4, 8,Ｂトップオブツヨシ, 74,池添謙, 0.4, 64,   0,   2, 3, 10.6,④③③
 5, 5,Ｂタキオンシチｰ, 55,四位洋, 0.4, 52,  -4,  -7, 4,  8.6, ⑥④, 5, 4, キｰゴｰスルｰ,---,内田浩, 1.3, 12,*-43,  10,11, 97.1,①①①, 5, 6,Ｉトムプロスペリティ, 54,渡辺薫, 1.6, 52,  -9,   3, 7, 33.1,⑨⑥⑥, 5, 6,Ｆショウナンサザン, 61,幸英明, 0.7, 58,*  2,  -7, 7, 72.3,①①①
 6,13,Ｆマヤノモノノケヒメ, 47,池添謙, 0.7, 47,  -9,  -5,11,109.1, ⑨⑧, 6,12, トウカイメガミ,---,幸英明, 1.6, 34, -49,  21, 6, 11.2,⑧⑧⑨, 6, 5,Ｇトウショウコｰラル, 58,池添謙, 1.7, 50, -10,   3, 6, 31.5,⑤⑥⑦, 6, 4,Ｅオｰスミタキオン, 64,和田竜, 0.9, 59,  -2,   0, 6, 56.8,⑥⑦⑧
 7,11,Ａウインドスウェル, 55,幸英明, 0.8, 46,  -7,  -8, 5, 17.2, ⑥⑦, 7, 3, ゴｰトゥザノｰス,---,川原正, 1.6, 43, -51,  25, 7, 29.3,⑩⑪⑪, 7, 4,Ｋセゾンインチｰフ, 49,金折知, 1.7, 53, -12,   7,10, 93.9,⑨⑩⑩, 7, 3,Ｇサクラオｰルイン, 61,四位洋, 0.9, 58,   0,  -4, 5, 25.1,⑨⑤④
 8, 1, セレスブルック,---,川原正, 0.8, 49,*  1, -16, 2,  3.1, ①①, 8,16, ヤマカツダンサｰ,---,高田潤, 1.7, 16, -47,  15,12, 99.0,⑥⑦⑤, 8, 8,Ｈクイｰンアイリス, 57,松田大, 1.8, 52, -11,   5,11,142.4,⑨⑩⑦, 8, 1,Ｄニシノロドリゲス, 65,岩田康, 1.1, 55,   0,  -7, 4, 17.5,③③④
 9,10,Ｅシゲルキタハマ, 49,本田優, 0.8, 49,*  0, -15, 7, 29.6, ③①, 9, 5, メジロマシュｰズ,---,松田大, 1.7, 40, -51,  24, 1,  2.5,⑭⑪⑪, 9,10,Ｊケイエスジェネラス, 50,難波剛, 2.0, 47,  -9,  -1, 8, 42.1,⑦⑥⑦, 9,10,Ｊミシックキョウト, 37,秋山真, 1.2, 57,  -4,   0, 9,330.3,⑩⑩⑩
10, 6,Ｉメイショウイゴッソ, 36,飯田祐, 1.3, 38, -15,  -6,13,178.9, ⑩⑫,10,14, メルシｰブロッコ,---,石橋守, 1.9,  6, -46,   9, 8, 36.6,③⑤④,10, 1,Ｆマルタカテンビｰ, 61,小坂忠, 2.4, 45, -11,  -1, 9, 65.2,⑦⑨⑩,10, 2,Ｈオクトパス, 58,東川公, 1.7, 48,  -3, -10,10,340.3,⑥⑦⑨
11,12, コスモチェｰロ,---,岩田康, 1.4, 38,  -9, -14, 6, 22.8, ⑧⑧,11, 8, タイキアレグレット,---,難波剛, 2.0, 11, -49,  13,13,104.9,⑧⑧⑧,11, 9,Ｅサンキングロウ, 65,岩田康, 2.4, 41,* -6, -12, 1,  2.2,①①①,,,,,,,,,,,,
12, 3,Ｇケイアイオラクル, 40,和田竜, 2.0, 33,  -3, -24, 8, 35.4, ③⑥,12,11, ヤマカツジェット,---,秋山真, 2.2, 25, -52,  18,16,193.4,⑭⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
13, 2, ハイクオリティ,---,佐藤哲, 2.4, 24, -26,  -6,12,113.4, ⑭⑭,13,15, スズカバｰディｰ,---,武豊  , 3.3, -8, -54,   6, 4,  7.6,⑯⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,
14, 8,Ｋセレスダｰリング, 33,古川吉, 2.7, 22, -23, -12,14,556.0, ⑬⑬,14, 2, ピトレスク,---,田島裕, 3.5,-19, -49,  -8,14,165.5,⑩⑧⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,10, アルゴ,---,岩田康, 3.9,-19, -54,  -3, 3,  7.3,⑬⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 6, クリスタルサンデｰ,---,本田優, 4.7,-35, -50, -23,15,176.6,⑩⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-31 ﾚｰｽｱｶﾞﾘ指数:+32 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:重(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:2),,,,,,,,,,,
"単勝:410円 複勝:09=160円 07=1,420円 14=1,260円 枠連:8,120円",,,,,,,,,,,,"単勝:380円 複勝:07=170円 09=340円 01=950円 枠連:1,140円",,,,,,,,,,,,"単勝:440円 複勝:07=180円 11=340円 03=160円 枠連:2,380円",,,,,,,,,,,,"単勝:140円 複勝:07=100円 09=110円 05=1,710円 枠連:160円",,,,,,,,,,,
"馬連:9,290円 ワイド:07-09=2,130円 09-14=2,170円 07-14=15,180円",,,,,,,,,,,,"馬連:1,990円 ワイド:07-09=900円 01-07=2,040円 01-09=4,450円",,,,,,,,,,,,"馬連:3,530円 ワイド:07-11=1,150円 03-07=410円 03-11=900円",,,,,,,,,,,,"馬連:170円 ワイド:07-09=130円 05-07=2,680円 05-09=6,010円",,,,,,,,,,,
"馬単:14,360円 3連複:92,080円",,,,,,,,,,,,"馬単:3,230円 3連複:12,830円",,,,,,,,,,,,"馬単:6,260円 3連複:4,270円",,,,,,,,,,,,"馬単:230円 3連複:9,520円 3連単:19,520円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,,■ 6R  ダ1200m 3 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.7,,,,,■ 9R  ダ1400m 4歳上1000万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0.9,,,,,■12R  ダ1800m 4歳上1000万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,伊丹特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｄリトルイライザ, 51,柴原央,, 51,  -9,  -3, 3,  6.4, ④④, 1, 6,Ａヒトリムスメ, 68,安藤勝,, 60,*  0,  -2, 1,  2.4, ①①, 1, 7,Ｆクリアｰザコｰスト, 73,岩田康,, 73,* -5,  16, 6, 30.9, ①①, 1, 8,Ｂメイショウホウオウ, 76,幸英明,, 79,*  1,  17, 2,  3.3,③③①
 2, 6,Ｆサンキンレタｰ, 48,秋山真, 0.0, 52, -11,*  0, 7, 21.5, ⑦⑤, 2, 4,Ｆデヒアサウンド, 54,佐藤哲, 0.5, 56, -17,*  9, 6, 18.8, ⑨⑨, 2, 4,Ｂウォｰタｰヘンリｰ, 80,武豊  , 0.2, 79, -13,* 24, 1,  1.7, ⑩⑩, 2,11,Ａコスモアブソルｰト, 78,岩田康, 0.4, 78,  -1,  18, 1,  2.7,⑧⑦⑤
 3, 8,Ａキラｰストリｰト, 56,武豊  , 0.1, 52, -15,*  4, 2,  3.0, ⑬⑪, 3,10,Ｄナリタジュｰン, 62,岩田康, 0.5, 55,  -4,  -3, 3,  5.0, ③②, 3,10,Ｃエイシンロンバｰド, 76,安藤勝, 0.4, 69,  -6,  14, 3,  8.0, ②②, 3,13,Ｃラバグルｰト, 74,吉原寛, 0.5, 73,   0,  14, 3,  6.5,⑤③④
 4, 9,Ｂシックスポケット, 52,小牧太, 0.2, 50,* -8,  -6, 5, 15.8, ③②, 4, 1,Ｇミヤビダンサｰ, 51,東川公, 0.8, 51, -11,   0, 8, 43.4, ⑦⑧, 4, 8,Ｅビッグクラウン, 73,秋山真, 0.8, 63,  -9,  13, 2,  3.3, ④⑤, 4,10,Ｊフミノトップヘイロ, 70,本田優, 1.0, 75,  -6,* 20,14, 99.7,⑬⑪⑩
 5, 7,Ｋディンティｰベス, 40,川原正, 0.5, 49, -18,*  4,13,261.9, ⑮⑬, 5, 3,Ｊブラックソフィア, 46,北村友, 0.9, 49, -22,*  6, 9,139.7, ⑩⑩, 5, 3,Ｊフォｰカルフィギア, 63,幸英明, 1.0, 62, -10,  13, 7, 49.3, ⑥⑦, 5, 6,Ｋユメノシルシ, 69,四位洋, 1.2, 66,*  1,   5, 6, 19.0,②①①
 6,16, ベレッツァ,---,田島裕, 0.8, 44, -11,  -8, 4,  8.3, ⑦⑤, 6, 9,Ｃケイティクラシｰ, 62,吉原寛, 1.0, 49,  -9,  -4, 5, 10.2, ⑤⑤, 6, 2,Ａアサクサソネット, 82,川原正, 1.1, 61, -10,  12, 4, 10.8, ⑥⑦, 6, 2,Ｉアウトオブサイト, 71,池添謙, 1.2, 66,*  1,   6, 4,  7.5,①①①
 7,12,Ｈシルクルｰセント, 42,渡辺薫, 0.9, 43,  -9, -11, 8, 22.2, ⑥⑤, 7, 5,Ｂエアデュシェス, 63,武豊  , 1.0, 50, -12,  -1, 2,  3.8, ⑧⑤, 7, 9,Ｉビッグホワイト, 65,石橋守, 1.2, 60,  -8,   8, 8, 54.9, ④②, 7,16,Ｆインペリアルパワｰ, 72,佐藤哲, 1.2, 74,  -7,* 21, 8, 31.5,⑪⑭⑭
 8,10,Ｌチャｰムクロス, 37,小原義, 0.9, 43, -15,  -4,15,291.4, ⑪⑪, 8, 8,Ｅチアズガディス, 59,池添謙, 1.3, 45,  -8,  -8, 7, 29.1, ⑤⑤, 8,11,Ｄマンジュデンコウベ, 74,四位洋, 1.2, 61, -12,  13, 5, 17.8, ⑨⑦, 8, 1,Ｍサンライズボクサｰ, 66,和田竜, 1.3, 66,  -1,   8,10, 57.5,③⑤⑥
 9, 1,Ｅフジヤマサクラ, 51,吉原寛, 0.9, 42,* -7, -14,10,139.2, ②②, 9, 2,Ｈチャｰミｰフラワｰ, 51,秋山真, 1.5, 42,  -4, -14,10,184.2, ④④, 9, 1,Ｈアイシｰスズカ, 67,小牧太, 1.2, 65, -16,  18,10,120.6, ⑪⑪, 9,14,Ｅチｰフシャトｰ, 74,小坂忠, 1.4, 68,  -4,  13, 7, 29.6,⑨⑨⑧
10, 3,Ｃフｰガフェスタ, 52,本田優, 1.2, 40, -13, -10, 1,  2.6, ⑨⑧,10, 7,Ｉディｰプアイ, 51,本田優, 2.1, 33,* -2, -22, 4,  6.5, ①②,10, 5,Ｇファンドリワｰルド, 72,佐藤哲, 1.8, 52, -10,   4,11,280.6, ⑥⑤,10, 9,Ｄメイショウペリンゲ, 74,北村友, 1.5, 61,  -3,   5,11, 63.8,⑤⑤⑥
11, 5,Ｊルスナイクノイチ, 40,飯田祐, 1.7, 34, -13, -15,12,206.5, ⑨⑩,,,,,,,,,,,,,11, 6,Ｋバルタバス, 57,和田竜, 3.5, 30,* -6, -18, 9, 86.1, ②②,11, 5,Ｐスカイリュウマ, 62,高橋亮, 1.5, 73,  -8,* 19,16,236.0,⑯⑯⑩
12, 2,Ｇホネマデアイシテ, 45,幸英明, 2.0, 31,* -6, -26, 6, 19.1, ①①,,,,,,,,,,,,,,,,,,,,,,,,,12,15,Ｎトシザショｰマ, 65,生野賢, 1.7, 63,  -3,   7, 5, 13.4,⑤⑦⑧
13,15,Ｉキャットストリｰト, 41,東川公, 2.6, 25, -14, -22,11,184.9, ⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,,13, 7,Ｇエストレｰア, 72,千田輝, 1.7, 68,  -7,  16, 9, 43.8,⑭⑮⑭
14,14,Ｍトップアスタｰ, 29,和田竜, 3.4, 18, -19, -24,14,277.0, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｈビッグアｰチ, 72,川原正, 1.7, 67,  -7,  15,15,140.5,⑪⑫⑭
15, 4,Ｎプラチナマリン, 19,岩田康, 4.1,  9,  -9, -43, 9, 55.7, ④⑧,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｌリリｰハンタｰ, 68,石橋守, 1.9, 65,  -6,  12,13, 99.2,⑮⑫⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｏリュウヨウ, 63,小牧太, 1.9, 63,  -5,  10,12, 76.5,⑩⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:重(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+21 馬場:重(指数:-11),,,,,,,,,,,
"単勝:640円 複勝:11=180円 06=380円 08=150円 枠連:2,780円",,,,,,,,,,,,"単勝:240円 複勝:06=130円 04=310円 10=160円 枠連:1,420円",,,,,,,,,,,,"単勝:3,090円 複勝:07=480円 04=110円 10=210円 枠連:1,380円",,,,,,,,,,,,単勝:330円 複勝:08=130円 11=120円 13=170円 枠連:410円,,,,,,,,,,,
"馬連:4,830円 ワイド:06-11=1,260円 08-11=400円 06-08=910円",,,,,,,,,,,,"馬連:1,840円 ワイド:04-06=600円 06-10=210円 04-10=770円",,,,,,,,,,,,"馬連:1,900円 ワイド:04-07=720円 07-10=1,870円 04-10=320円",,,,,,,,,,,,馬連:390円 ワイド:08-11=180円 08-13=410円 11-13=250円,,,,,,,,,,,
"馬単:9,910円 3連複:6,110円",,,,,,,,,,,,"馬単:2,890円 3連複:1,950円",,,,,,,,,,,,"馬単:7,440円 3連複:3,420円 3連単:34,800円",,,,,,,,,,,,"馬単:890円 3連複:900円 3連単:3,340円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
