06年11月26日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年11月26日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3.5,,,,,■10R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,
 2, 4,Ｈトｰセンマキシマム, 37,柴田善, 1.3, 58,  -1,* -2, 2, 14.3, ③④, 2, 6,Ｂピサノデイラニ, 75,武豊  , 0.2, 70,   8,  -1, 2,  2.7, ⑥③, 2,13,Ｎセイウンマル, 62,松岡正, 0.0, 71,*  1,  12,10, 20.4, ③②, 2, 3,Ｇアサクサゼットキ, 75,菊沢隆, 0.1, 83,  -5,* 28, 3,  4.9, ⑩⑩
 3, 5,Ｂユウコン, 52,北村宏, 1.4, 55,  -4,*  2, 4, 34.4, ⑩⑧, 3,10,Ｃニシノテンカ, 68,後藤浩, 0.7, 64,   5,   0, 7, 44.7, ⑫⑪, 3, 9,Ｂケンコウヘイロｰ, 74,藤田伸, 0.0, 70,*  1,  11, 9, 20.3, ①①, 3, 2,Ａヒカルベガ, 89,横山典, 0.2, 70,*  1,  16, 2,  4.6, ③①
 4, 2,Ｎヘルバｰスト, -5,岩田康, 2.6, 44,  -7,  -5, 9, 85.2, ⑬⑪, 4, 5,Ｆラインストｰム, 65,安藤勝, 0.8, 64,   7,  -5, 5, 19.2, ⑥⑥, 4,12,Ｉゴｰルドオアシス, 69,蛯名正, 0.1, 76,  -6,* 19, 2,  3.9, ⑫⑪, 4, 4,Ｈカイシュウタキオン, 74,蛯名正, 0.3, 79,  -6,* 27,11, 22.3, ⑩⑫
 5, 8,Ｃギルティストライク, 45,蛯名正, 3.0, 44,*  0, -21, 3, 22.9, ③②, 5, 8,Ａジャドｰル, 77,横山典, 0.9, 63,   7,  -5, 1,  2.1, ⑥⑦, 5, 8,Ｆウォｰタｰオｰレ, 72,田中勝, 0.2, 71,  -3,  14, 7, 16.0, ⑨⑨, 5, 6,Ｄグレｰトバルサｰ, 77,後藤浩, 0.3, 80,  -7,* 28, 6, 16.3, ⑭⑭
 6,12,Ｅマイネルファヴｰル, 38,柴山雄, 3.0, 42,  -6, -12, 7, 47.1, ⑨⑩, 6,16,Ｎアクセルホッパｰ, 48,大庭和, 0.9, 60,  -3,* 11,11,104.9, ⑯⑯, 6, 7,Ａヒカルアルタイル, 75,後藤浩, 0.5, 71,  -7,* 16, 1,  3.2, ⑮⑮, 6,10,Ｅジェイウォｰク, 75,吉田豊, 0.4, 70,  -1,  18, 5,  9.9, ⑤④
 7,15,Ｉトウショウヒルズ, 31,安藤勝, 3.3, 42,*  1, -25, 6, 44.9, ②②, 7,14,Ｅシベリアンバｰド, 67,田中勝, 1.1, 63,* 10, -13, 6, 28.4, ①①, 7,10,Ｃコリントシチｰ, 74,吉田豊, 0.5, 65,  -2,  10, 3,  8.0, ⑥⑤, 7,11,Ｆシルクダッシュ, 75,岩田康, 0.5, 69,  -3,  19, 9, 22.0, ⑧⑦
 8,11,Ｌコスモライゼン, 24,的場勇, 3.3, 37,  -8, -14,15,455.8, ⑩⑪, 8,15, オペラダンディ,---,福永祐, 1.4, 58,   4,  -6,15,298.8, ⑨⑪, 8,14,Ｏエンゲルジｰク, 60,ジレ  , 0.5, 67,  -3,  12,14, 87.9, ⑨⑨, 8, 7,Ｃミヤビキララ, 80,安藤勝, 0.7, 64,  -3,  14, 4,  8.8, ③④
 9, 9,Ｐバトルフィｰスト,-100,黛弘人, 3.3, 37,  -5, -19,16,488.8, ⑦⑥, 9,11,Ｋハイソサエティｰ, 52,デット, 1.5, 59,*  9, -15, 3,  6.0, ④③, 9, 6,Ｇトウショウヴォイス, 71,北村宏, 0.6, 67,  -6,  13,13, 72.1, ⑫⑪, 9, 8,Ｊバルバレスコ, 72,江田照, 0.7, 67,  -4,  18, 8, 18.1, ⑧⑦
10, 1,Ｄニｰマルクイック, 40,藤田伸, 3.4, 40,* -1, -24, 5, 40.3, ③④,10, 2,Ｄニｰドルポイント, 68,ルメｰ, 1.5, 59,* 10, -16, 4, 15.0, ②②,10, 4,Ｊマリットチャｰジ, 67,小野次, 0.6, 66,  -5,  13,12, 58.6, ⑫⑪,10, 1,Ｌコパノスイジン, 67,ルメｰ, 0.8, 63,  -3,  14,13, 38.5, ⑦⑦
11,10,Ｆマルタカフィンガｰ, 37,福永祐, 3.6, 38,  -3, -22, 8, 71.9, ⑦⑥,11, 1,Ｉリワｰドアルビオン, 53,勝浦正, 1.6, 57,   6, -11,14,268.1, ⑨⑩,11,11,Ｌレッドバｰスピン, 64,ルメｰ, 0.9, 60,  -2,   6, 8, 17.2, ⑥⑤,11,14,Ｉジｰンハンタｰ, 74,福永祐, 0.9, 63,  -5,  16,10, 22.1, ⑩⑩
12, 7,Ｇスパイナルコｰド, 37,江田照, 3.8, 36,  -7, -17,10,250.5, ⑬⑪,12, 7,Ｈエｰシンメインリｰ, 54,柴山雄, 1.6, 57,   7, -12,13,200.3, ⑨⑦,12,15,Ｋレオアンナ, 64,大野拓, 1.2, 56,*  0,   1,11, 34.0, ③④,12,12,Ｋセプタｰレイン, 69,柴田善, 1.0, 59,  -2,   8,12, 22.3, ⑤④
13,13,Ｍキタサンアイ, 16,津村明, 5.1, 28, -12, -24,14,441.5, ⑯⑮,13,12, モエレゼネラリスト,---,五十嵐, 1.9, 53,  -1,  -2,16,702.1, ⑮⑮,13, 5,Ｈインサイダｰ, 69,勝浦正, 1.3, 57,  -5,   6, 4,  9.9, ⑨⑪,13, 5,Ｏシンボリデビル, 57,鈴来直, 1.1, 61,  -7,  16,14,129.3, ⑭⑭
14,14,Ｋマキノスマップ, 24,菊沢隆, 5.9, 24,  -9, -36,13,397.6, ⑫⑭,14, 3,Ｌパンプアップ, 50,松岡正, 2.1, 52,   5, -14,12,152.6, ⑬⑪,14, 1,Ｄラブリネスオブパリ, 74,岩田康, 1.3, 55,*  1,  -2, 6, 13.0, ②②,14,15,Ｎブラストサンデｰ, 60,五十嵐, 2.1, 51,*  1, -14,15,131.6, ②②
15, 3,Ｏコスモトランセンド,-36,佐藤聖, 6.4,  9, -16, -33,11,310.7, ⑮⑯,15,13,Ｊオリエンタルカｰン, 53,柴田善, 2.3, 52,*  9, -23,10,100.5, ③③,15,16,Ｍアルフィエｰレ, 63,津村明, 2.3, 49,  -2,  -8,15, 99.8, ⑥⑤,15,13,Ｍエアデルソｰル, 62,デット, 2.2, 48,*  1, -15, 7, 16.6, ①②
16,16,Ｊスマｰトアングル, 28,吉田隼, 8.5,-18,  -5, -68,12,358.5, ⑥⑧,16, 9,Ｍゴｰルデンジュビリ, 49,藤田伸, 4.3, 36,   7, -38, 9, 79.0, ④⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:+14 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-1),,,,,,,,,,,
単勝:100円 複勝:06=100円 04=140円 05=180円 枠連:330円,,,,,,,,,,,,"単勝:5,680円 複勝:04=770円 06=160円 10=760円 枠連:4,300円",,,,,,,,,,,,"単勝:1,160円 複勝:03=480円 13=570円 09=580円 枠連:9,290円",,,,,,,,,,,,単勝:450円 複勝:09=180円 03=140円 02=160円 枠連:480円,,,,,,,,,,,
馬連:340円 ワイド:04-06=160円 05-06=220円 04-05=580円,,,,,,,,,,,,"馬連:6,940円 ワイド:04-06=1,860円 04-10=5,980円 06-10=1,640円",,,,,,,,,,,,"馬連:15,460円 ワイド:03-13=4,030円 03-09=3,170円 09-13=4,830円",,,,,,,,,,,,"馬連:1,290円 ワイド:03-09=440円 02-09=490円 02-03=310円",,,,,,,,,,,
馬単:380円 3連複:720円,,,,,,,,,,,,"馬単:23,670円 3連複:44,620円",,,,,,,,,,,,"馬単:28,660円 3連複:90,220円 3連単:462,360円",,,,,,,,,,,,"馬単:2,520円 3連複:1,460円 3連単:8,400円",,,,,,,,,,,
■ 3R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.7,,,,,■ 6R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.9,,,,,■ 9R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｷｬﾋﾟﾀﾙｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂメダイヨン, 56,後藤浩,, 76,   7,*  8, 3,  4.9, ⑤③, 1,13,Ａメジロスカイレイ, 79,ルメｰ,, 85,   4,* 24, 1,  3.5,⑨⑩⑨, 1, 4,Ａエアシェイディ,101,安藤勝,, 86, -10,* 33, 1,  1.6, ⑨⑩,,,,,,,,,,,,
 2,16,Ａテイクマイアイズ, 65,岩田康, 0.8, 63,   5,  -1, 2,  3.8, ⑤⑤, 2, 1,Ｂブラックアルタイル, 73,北村宏, 0.4, 78,*  5,* 13, 5,  7.5,⑦⑦④, 2,10,Ｃブラックバｰスピン, 87,田中勝, 0.1, 76,  -6,  26, 2,  3.8, ④④,,,,,,,,,,,,
 3, 4,Ｆフランシｰル, 34,吉田隼, 0.8, 60,  -1,*  4, 6, 20.0, ⑪⑪, 3, 4,Ｄサクラキングダム, 72,岩田康, 0.5, 77,*  6,  10, 3,  5.6,⑤⑤④, 3, 8,Ｆアルビレオ, 81,岩田康, 0.2, 74,  -8,  26, 5, 20.0, ⑥⑥,,,,,,,,,,,,
 4, 9,Ｃエタｰナルフラワｰ, 54,田中勝, 0.9, 61,   2,   0, 4, 14.0, ⑧⑨, 4,17,Ｊナスノハツカゼ, 65,安藤勝, 0.7, 77,   2,* 16, 2,  4.0,⑬⑬⑬, 4,13,Ｈダンスインザモア, 79,蛯名正, 0.3, 80, -11,* 31, 7, 36.7, ⑨⑩,,,,,,,,,,,,
 5,12,Ｄノｰリプライ, 53,柴田善, 1.0, 64,*  9, -11, 1,  2.0, ②①, 5, 2,Ｈダイワグラム, 65,後藤浩, 1.2, 69,*  4,   2, 7, 24.3,⑨⑦⑦, 5, 5,Ｄマイネルモルゲン, 85,吉田隼, 0.4, 65,  -5,  18, 4, 16.9, ③③,,,,,,,,,,,,
 6, 8,Ｇディｰアｰルボｰイ, 29,江田照, 1.4, 54,   4,  -9, 7, 32.4, ⑧⑤, 6, 5,Ｅユメロマン, 68,田中勝, 1.2, 70,   4,   4, 6, 15.3,⑪⑩⑨, 6, 7,Ｍグランリｰオ, 70,柴田善, 0.5, 63,*  3,   5, 8, 38.0, ②②,,,,,,,,,,,,
 7, 7,Ｅシュウザンゴｰルド, 36,北村宏, 1.4, 53,   1,  -6, 5, 15.7, ⑪⑨, 7,16,Ｏシャラポワ, 57,五十嵐, 1.3, 71,   2,  10,15,143.8,⑱⑯⑯, 7, 3,Ｋアスクジュビリｰ, 76,横山典, 0.6, 62,  -6,  17, 9, 44.8, ④④,,,,,,,,,,,,
 8,11,Ｊコアレスタイガｰ, 20,福永祐, 2.0, 46,   4, -18, 9, 96.4, ⑦⑤, 8,11,Ｃサクラマジェスティ, 72,蛯名正, 1.5, 65,*  5,  -6, 4,  6.9,⑤⑤④, 8, 6,Ｌロｰドフラッグ, 73,武士沢, 0.7, 62,*  3,   0,14,321.0, ①①,,,,,,,,,,,,
 9, 3,Ｈサンデイルック, 29,柴山雄, 2.1, 47, -14,*  3, 8, 63.4, ⑰⑰, 9, 6,Ｎカンファｰマックス, 59,吉田隼, 1.6, 64,   3,  -3,11, 63.0,⑦⑦⑨, 9,12,Ｂブラックカフェ, 88,デット, 0.7, 69, -12,  26, 3, 11.9, ⑬⑬,,,,,,,,,,,,
10,15,Ｎアプロｰズビコｰ, -6,的場勇, 2.6, 39, -14,  -8,10,103.4, ⑯⑯,10,14,Ｇニチリンタカラ, 66,藤田伸, 1.6, 64,*  7, -10, 9, 36.1,④③②,10,11,Ｇスクｰルボｰイ, 80,小野次, 0.8, 61,  -9,  18,10, 48.3, ⑥⑧,,,,,,,,,,,,
11,17,Ｐボニｰデルウエスト,-44,高橋智, 2.8, 37,   7, -36,17,998.6, ②③,11, 7,Ｍゼンノホワイト, 60,柴田善, 1.7, 67,   2,   4,13, 76.8,⑮⑬⑯,11, 1,Ｉマイネルソロモン, 78,柴山雄, 0.8, 60,  -8,  17, 6, 34.3, ⑥⑥,,,,,,,,,,,,
12, 6,Ｉクロスナビゲｰタｰ, 22,郷原洋, 3.2, 34,  -5, -25,12,196.9, ⑧⑫,12,10,Ｐアイアイボタン, 56,吉田豊, 1.8, 65,*  5,  -7,16,231.3,⑬⑬⑦,12, 9,Ｊトップオブワｰルド, 78,ジレ  , 1.3, 57, -14,  20,11, 87.5, ⑭⑭,,,,,,,,,,,,
13,14,Ｑカズサスマｰト,-64,穂苅寿, 3.6, 26,   5, -45,13,304.7, ②⑤,13,18,Ｉエアクラマン, 65,武豊  , 1.9, 63,   2,  -3,10, 45.7,⑯⑯⑬,13,14,Ｅシアトルユｰ, 83,菊沢隆, 1.4, 52, -11,  13,13,297.5, ⑨⑩,,,,,,,,,,,,
14, 5,Ｌアントレウエルス, 16,高山太, 3.7, 25, -10, -26,16,510.3, ⑭⑮,14, 3,Ｌランナｰズハイ, 61,横山典, 4.0, 45,*  7, -48, 8, 25.8,①①①,14, 2,Ｎナイキアヘッド, 70,藤田伸, 2.1, 49, -10,   0,12,289.6, ⑨⑧,,,,,,,,,,,,
15, 1,Ｍテゾｰロ,  2,蛯名正, 3.7, 26,  -9, -28,15,457.7, ⑭⑭,15, 9,Ｒモエレタマモクロス, 44,石橋脩, 4.1, 45,*  7, -49,17,352.9,②②②,,,,,,,,,,,,,,,,,,,,,,,,
16, 2,Ｋランナｰズデヒア, 17,松岡正, 4.2, 19,  -4, -42,11,140.5, ⑪⑫,16,15,Ｑシベリアンハンタｰ, 45,松岡正, 4.8, 39,  -2, -33,18,359.8,⑯⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
17,10,Ｏアイファｰアンゼン,-13,西田雄, 5.0, 11,*  9, -73,14,326.1, ①②,17,12,Ｋジュンノホｰプ, 65,竹之下, 6.8, 22,   2, -76,12, 65.8,⑪⑩⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 8,Ｆフｰフｰ, 67,村田一,10.2,-66,   4, ---,14, 80.5,③④⑨,,,,,,,,,,,,,,,,,,,,,,,,
