06年 9月 2日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 9月 2日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15.3,,,,,■ 4R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.8,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.6,,,,,■10R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,
 9,10,Ｅアトラスリｰド, 52,鮫島良, 3.1,-45, -29, -25, 8, 44.3, ⑩⑨, 9, 3,Ｎトライアンファル,-17,鮫島克, 1.9, 33,  -7, -16, 9, 93.3, ⑨⑩, 9,12,Ｈゴｰルデンラダｰ, 46,赤木高, 1.5, 44,* -4, -16,10, 43.6,⑤⑤⑥, 9, 3,Ｏフィｰルドルｰキｰ, 64,上村洋, 1.3, 64,*  4,   6, 4, 12.9,③②⑥
10, 8,Ｋロｰレルハンタｰ,-56,田中学, 3.4,-42, -25, -29,11,287.2, ⑨⑨,10, 9,Ｍエンゼルトップ, -6,菊地昇, 2.1, 34, -15, -13,14,438.9, ⑫⑩,10, 8,Ｇビッグベスト, 53,和田竜, 1.5, 44,* -3, -17, 5,  9.2,②③③,10, 9,Ａタマモドン, 77,佐藤哲, 1.4, 68,  -1,  13,11, 31.4,⑬⑬⑪
11, 1,Ｇボンバｰヘッド, 46,野元昭, 5.7,-88, -34, -62, 7, 25.6, ⑪⑪,11,12,Ｋポラリスシチｰ, 34,幸英明, 2.1, 33,   0, -23, 4, 11.4, ④⑥,11,14,Ｌボｰンホルム, 43,田中克, 2.4, 30,  -8, -27,11, 60.6,⑩⑧⑪,11,13,Ｋカシノバズライト, 70,上野翔, 1.5, 62,   1,   7, 9, 18.8,⑥⑧⑧
,,,,,,,,,,,,12,11,Ｂステップロケット, 48,福永祐, 2.3, 32,   1, -26, 1,  1.6, ④⑦,12, 7,Ｉサケダイスキ, 46,幸英明, 2.7, 31,* -3, -36, 4,  9.1,①③⑥,12, 1,Ｇサンエムウラノス, 74,田村太, 1.6, 61,   0,   7,15,110.1,⑩⑨⑨
,,,,,,,,,,,,13,10,Ｇサンレイグラス, 38,北村友, 2.4,  9, -24, -12,13,310.1, ⑬⑬,13,15,Ｏニチリンタロｰ, 33,小林久, 2.8, 29, -11, -20,15,403.2,⑮⑭⑬,13, 8,Ｉホシシャトル, 71,小池隆, 2.0, 56,  -1,   3, 8, 17.7,⑨⑨⑨
,,,,,,,,,,,,14, 5,Ｊシズカチャン, 35,上村洋, 3.2,-21, -26, -17,10,196.1, ⑭⑭,14, 1,Ｎヴァリアントソウル, 38,太宰啓, 3.2, 26, -11, -27,14,203.2,⑮⑭⑬,14, 5,Ｌビクトリアメｰク, 69,野元昭, 2.4, 54,  -1,   0,13, 77.9,⑩⑨⑪
,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｍロｰレルウェルシュ, 39,上野翔, 3.3, 22,  -7, -42, 9, 37.5,⑤⑧⑮,15,14,Ｎサクセスドマｰニ, 66,福永祐, 2.5, 56,   1,   1, 6, 16.5,⑫⑨⑪
,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｐランドゼット,  6,黒岩悠, 3.8, 23, -13, -33,16,445.5,⑫⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-6),,,,,,,,,,,
単勝:600円 複勝:05=190円 04=110円 02=260円 枠連:630円,,,,,,,,,,,,"単勝:1,720円 複勝:07=500円 02=540円 06=240円 枠連:4,400円",,,,,,,,,,,,"単勝:500円 複勝:06=200円 02=1,600円 09=170円 枠連:13,730円",,,,,,,,,,,,"単勝:1,730円 複勝:07=400円 06=450円 02=380円 枠連:5,810円",,,,,,,,,,,
馬連:710円 ワイド:04-05=320円 02-05=980円 02-04=400円,,,,,,,,,,,,"馬連:9,660円 ワイド:02-07=3,330円 06-07=940円 02-06=1,600円",,,,,,,,,,,,"馬連:21,720円 ワイド:02-06=4,990円 06-09=450円 02-09=3,260円",,,,,,,,,,,,"馬連:5,540円 ワイド:06-07=1,740円 02-07=2,530円 02-06=2,320円",,,,,,,,,,,
"馬単:1,970円 3連複:2,340円",,,,,,,,,,,,"馬単:25,390円 3連複:19,090円",,,,,,,,,,,,"馬単:41,840円 3連複:30,970円",,,,,,,,,,,,"馬単:12,920円 3連複:32,770円 3連単:210,460円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.4,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,,■ 8R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.8,,,,,■11R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａアマノチェリｰラン, 61,川田将,, 69,* -3,*  9, 2,  2.7, ①①, 1, 1,Ａシルクロックスタｰ, 57,石橋守,, 56,  -1,* -3, 1,  1.5,⑤④⑤, 1, 6,Ｅガラディナｰ, 62,熊沢重,, 63,*  6,  -6, 3,  5.9,⑤③②, 1, 7,Ａマヤノスタｰダム, 74,池添謙,, 76,  -7,* 21, 2,  4.1,⑥⑤⑧
 2, 6,Ｆコアレスリｰヴァ, 43,上村洋, 0.1, 64,* -6,*  8, 9,146.0, ②②, 2, 2,Ｅナムラキャラバン, 50,川田将, 0.5, 52,  -2,  -6, 4, 11.3,⑥⑦⑤, 2,11,Ｇイチバンサクラ, 59,中村将, 0.0, 56,  -4,*  6, 6,  9.8,⑫⑬⑫, 2, 4,Ｇサンアントニオ, 63,鮫島克, 0.1, 61,* -5,  10,11, 29.7,①①①
 3,10,Ｇベビｰフェイス, 42,畑端省, 0.5, 58,  -6,   5, 8, 68.4, ③③, 3,11,Ｂデンコウニンジャ, 52,幸英明, 0.6, 51,  -1,  -9, 6, 18.7,⑨④②, 3,12,Ｄシルクホｰムラン, 62,田嶋翔, 0.1, 61,   3,  -2, 7, 12.4,⑨⑦④, 3,10,Ｄオグリホット, 70,筒井勇, 0.1, 64,* -7,  13, 8, 20.0,②②②
 4, 5,Ｄラインストｰム, 54,福永祐, 0.6, 54,  -9,   3, 4,  8.9, ③③, 4,14,Ｊハギノグランハｰト, 45,鮫島克, 0.7, 50,  -3,  -6, 8, 34.4,⑪⑧⑤, 4,13,Ｃサンキンレタｰ, 64,鮫島良, 0.3, 57,*  4,  -9, 1,  3.4,③④④, 4, 6,Ｍワンパクメロ, 58,川田将, 0.3, 64,  -9,* 15,13, 43.4,⑥⑤⑥
 5, 2,Ｃクロオビ, 58,渡辺薫, 0.6, 53,  -8,   2, 3,  6.8, ③③, 5, 6,Ｃジャストスリｰ, 52,鮫島良, 1.0, 48,* -1, -15, 2,  7.6,②②②, 5,14,Ｎドナパッション, 51,田中学, 0.3, 55,  -5,*  6,14,253.6,⑭⑭⑬, 5, 9,Ｎサントニｰビン, 58,幸英明, 0.4, 62,  -5,  12,10, 29.5,③③⑥
 6, 9,Ｂウィルビｰキング, 58,幸英明, 1.2, 42, -11,  -5, 1,  2.3, ⑥⑥, 6,15,Ｉシャリバン, 46,内田浩, 1.2, 45,  -8,* -3, 9, 77.1,⑬⑩⑨, 6,10,Ｉホｰマンラブリｰ, 59,飯田祐, 0.4, 56,   2,  -6, 9, 27.9,⑦⑦④, 6, 5,Ｋシルバｰガル, 62,小坂忠, 0.4, 62,  -5,  12,15, 88.5,⑨③③
 7, 4,Ｅデュｰクラウド, 43,熊沢重, 1.2, 46, -16,   3, 7, 36.8, ⑧⑥, 7, 8,Ｇグランドタイガｰ, 49,吉永護, 1.5, 44,  -2, -17, 5, 16.6,②④⑧, 7, 5,Ｌオナｰリｰブ, 52,鮫島克, 0.6, 56,*  5, -15, 8, 25.0,②②①, 7,14,Ｃテイエムブライトン, 71,太宰啓, 0.5, 60, -10,  13, 5, 11.3,⑨⑩⑧
 8, 7,Ｉキｰポジション, 39,太宰啓, 1.5, 37, -14,  -6, 5, 10.3, ⑦⑧, 8, 9,Ｈニホンピロブリナｰ, 48,赤木高, 1.6, 44,*  0, -20, 7, 23.4,①①①, 8, 8,Ａコパノフロスティ, 68,川田将, 0.6, 54,   0,  -5, 2,  4.6,⑦⑩⑦, 8,13,Ｂクラクエンスキｰ, 71,和田竜, 0.5, 61,  -6,  12, 1,  2.7,⑥⑤③
 9, 8,Ｈシンワヘイロｰ, 39,鮫島克, 2.2, 30, -19, -12, 6, 31.2, ⑧⑨, 9, 4,Ｄアザンクｰル, 50,和田竜, 1.9, 42,*  0, -23, 3, 10.5,②②②, 9, 4,Ｂワイエムサチ, 66,内田浩, 0.7, 58,*  7, -14, 4,  7.6,①①②, 9,12,Ｉロングヘラクレス, 62,田嶋翔, 0.6, 59,  -6,  11, 9, 28.1,④⑤③
10, 3,Ｊバイオレットピｰス,-88,赤木高, 2.4, 27, -22, -12,10,171.6, ⑩⑩,10,10,Ｍアストラット, 26,上村洋, 3.2, 33, -12, -16,12,121.3,⑫⑬⑬,10, 1,Ｈアルテシア, 59,幸英明, 1.1, 53,   2, -11, 5,  9.8,⑨⑨⑩,10, 2,Ｅサンライズヤマト, 68,鮫島良, 0.7, 53,  -8,   7, 3,  9.9,④⑤⑧
,,,,,,,,,,,,11, 5,Ｎミュジックセリエル, 14,中村将, 3.6, 28,  -9, -26,13,143.9,⑩⑪⑪,11,15,Ｊマチカネハナサソウ, 58,渡辺薫, 1.2, 51,   0,  -7,13, 68.6,⑫⑪⑩,11, 1,Ｊメイショウハヤボシ, 62,佐藤哲, 0.8, 59,  -8,  12,12, 36.5,⑪⑪⑫
,,,,,,,,,,,,12,12,Ｋグランドストｰム, 40,菊地昇, 4.9, 23,  -6, -42,15,287.0,⑥⑨⑩,12, 7,Ｆユニバｰサルピｰス, 61,田中克, 2.0, 43,  -2, -15,10, 38.1,⑨⑫⑭,12,16,Ｆゴｰルドルパン, 67,福永祐, 0.8, 59,  -8,  12, 4, 10.6,⑬⑪⑪
,,,,,,,,,,,,13, 7, ワンダｰペレアｰル,---,角田晃, 5.0, 23,  -9, -38,11, 99.6,⑮⑪⑪,13, 2,Ｋビッグワンドリｰム, 53,船曳文, 2.1, 44,   2, -23,12, 56.0,⑤⑤⑦,13,11,Ｈクラシックロｰズ, 63,上村洋, 0.8, 60,  -9,  14, 7, 18.1,⑪⑪⑫
,,,,,,,,,,,,14, 3,Ｆドンコルレオｰネ, 49,小池隆, 5.5, 11, -14, -33,10, 89.7,⑭⑮⑭,14, 9,Ｏバｰジニアリｰル, 40,北村友, 2.3, 40,  -8, -10,15,274.8,⑮⑮⑮,14, 3,Ｌアドマイヤミラクル, 58,田中学, 1.1, 52, -13,  10, 6, 16.6,⑭⑭⑮
,,,,,,,,,,,,15,13,Ｌメイショウコルドン, 37,佐藤哲, 8.0,-34, -13, -59,14,167.6,⑥⑭⑮,15, 3,Ｍキタノフラワｰ, 52,福永祐, 4.2, 32,   3, -42,11, 54.7,④⑤⑦,15,15,Ｏシゲルシンキガイ, 54,中村将, 1.2, 48, -12,   7,14, 84.9,⑭⑭⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｐトｰタチス, 53,上野翔, 1.6, 48, -12,   8,16, 98.3,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-6),,,,,,,,,,,
"単勝:270円 複勝:01=140円 06=2,080円 10=1,010円 枠連:12,540円",,,,,,,,,,,,単勝:150円 複勝:01=100円 02=250円 11=260円 枠連:700円,,,,,,,,,,,,"単勝:590円 複勝:06=220円 11=330円 12=420円 枠連:2,010円",,,,,,,,,,,,"単勝:410円 複勝:07=190円 04=860円 10=540円 枠連:2,360円",,,,,,,,,,,
"馬連:10,420円 ワイド:01-06=2,610円 01-10=1,970円 06-10=15,880円",,,,,,,,,,,,"馬連:820円 ワイド:01-02=360円 01-11=350円 02-11=2,100円",,,,,,,,,,,,"馬連:3,020円 ワイド:06-11=1,160円 06-12=1,180円 11-12=1,640円",,,,,,,,,,,,"馬連:6,630円 ワイド:04-07=2,350円 07-10=1,710円 04-10=8,190円",,,,,,,,,,,
"馬単:13,800円 3連複:85,700円",,,,,,,,,,,,"馬単:1,110円 3連複:3,090円",,,,,,,,,,,,"馬単:5,450円 3連複:13,570円",,,,,,,,,,,,"馬単:8,530円 3連複:36,660円 3連単:171,430円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.4,,,,,■ 9R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.5,,,,,■12R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,別府特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1, ブロｰドキャスタｰ,,西谷誠,,,,, 3,  6.1,①①①, 1, 5,Ｂカシノロイヤル, 69,中谷雄,, 77,*  9,*  4, 2,  4.1, ②②, 1,10,Ａマッチメイト, 79,和田竜,, 73,*  4,  12, 1,  2.6, ②①, 1, 4,Ｇゼンノゴウシュウ, 69,川田将,, 76,*  4,  11, 4,  6.9, ③②
 2, 2, ニホンピロブレイブ,,白浜雄, 2.3,,,, 1,  1.8,②②②, 2,13,Ａエイユｰキャメロン, 73,田中克, 0.1, 66,  -1,*  9, 1,  2.4, ⑥③, 2, 2,Ｂマンテンハット, 79,佐久間, 0.0, 77,   4,  15, 5,  7.9, ④④, 2, 7,Ａタニノバロン, 82,鮫島克, 0.0, 72,*  6,   7, 2,  3.4, ①①
 3, 8, ダイゴシラギク,,小坂忠, 3.0,,,, 5, 12.0,⑤③③, 3, 6,Ｆビオンディｰナ, 49,川田将, 0.6, 70,* 11,  -7, 5,  8.5, ①①, 3, 6,Ｇスｰパｰワシントン, 69,鮫島克, 0.1, 76,  -5,* 19, 2,  4.2, ⑦⑥, 3, 8,Ｄタムロスタｰディ, 69,佐藤哲, 0.2, 70,  -1,  10, 6, 19.5, ⑦⑦
 4,11, ゼンノソロモン,,北沢伸, 4.2,,,, 2,  5.2,④⑤⑤, 4,14,Ｅインナｰヴィジョン, 51,池添謙, 0.9, 56,  -1,  -1, 8, 41.7, ⑥⑦, 4, 9,Ｃアンティｰクコイン, 77,福永祐, 0.3, 74,  -4,  18, 3,  4.9, ⑦⑧, 4,10,Ｐアグネスプロトン, 55,田中克, 0.3, 71,  -8,* 14,16,159.1, ⑮⑨
 5, 5, サンサンシャイン,,林満明, 5.3,,,, 6, 12.6,③④④, 5, 1,Ｃエタｰナルサｰガ, 57,福永祐, 1.0, 53, -12,*  9, 3,  6.0, ⑮⑫, 5,11,Ｉヒシアスカ, 64,渡辺薫, 0.4, 67,*  7,   5, 8, 30.0, ①②, 5, 6,Ｃメイショウヨシヒサ, 73,石橋守, 0.4, 68,  -7,* 13, 3,  5.2, ⑮⑮
 6,10, スズカザゴｰルド,,南井大, 6.1,,,,10, 91.8,⑥⑥⑥, 6,10,Ｍアグネスカッシｰト, 38,上村洋, 1.1, 56,   4,  -8, 4,  8.4, ④⑤, 6, 4,Ｄシｰジョリｰ, 72,太宰啓, 0.4, 74,  -7,* 19, 9, 32.3, ⑨⑨, 6, 3,Ｍユキｰナ, 63,鮫島良, 0.5, 63,  -1,   5, 7, 27.4, ⑦⑤
 7, 4, マイゴッドウェｰブ,,岩崎祐, 6.5,,,,11,113.1,⑩⑩⑩, 7, 9,Ｇケイタッチ, 48,幸英明, 1.4, 53,*  6, -14, 7, 23.9, ③③, 7, 7,Ｅエｰティｰホｰオｰ, 70,田嶋翔, 1.0, 58,  -1,   4, 6, 24.3, ⑥⑥, 7, 9,Ｅファインテイオｰ, 69,幸英明, 0.6, 69, -12,* 18, 5, 17.1, ⑱⑰
 8, 6, シンライ,,黒岩悠, 6.7,,,, 7, 43.6,⑧⑦⑦, 8,11,Ｄオｰスミシルク, 53,和田竜, 1.4, 48,  -1,  -8, 6, 19.0, ⑥⑦, 8, 8,Ｋキンシタイガｰ, 49,角田晃, 1.2, 56,  -9,   8,11,181.9, ⑨⑨, 8, 5,Ｂインプレッション, 77,福永祐, 0.6, 66,  -4,  10, 1,  3.2, ⑪⑨
 9, 7, メイショウピュｰマ,,嘉堂信, 7.1,,,, 4, 11.6,⑪⑪⑪, 9,18, ステルスシャドウ,---,太宰啓, 1.6, 44,  -4,  -8, 9, 44.7, ⑨⑨, 9, 1,Ｊラブイズゴｰルド, 60,幸英明, 1.4, 53,   3,  -5, 7, 27.2, ④④, 9,12,Ｉマッキｰバクシン, 64,野元昭, 0.7, 58,*  3,  -1,13, 74.3, ③⑤
10, 3, メイショウワグナｰ,,仲田雅, 9.1,,,, 9, 70.6,⑥⑧⑧,10, 3,Ｋブルｰヴァｰジニア, 42,上野翔, 1.7, 44, -22,*  4,12,178.1, ⑯⑮,10, 3,Ｆマルカシリウス, 69,石橋守, 1.4, 52,*  4, -10, 4,  7.5, ②②,10,13,Ｌニシノマｰメイド, 63,渡辺薫, 0.8, 57,  -1,   1, 8, 34.8, ⑦⑨
11,12, スリｰエリシオ,,佐久間, 9.3,,,,12,119.3,⑧⑧⑧,11, 2,Ｌミキノミュｰズ, 42,熊沢重, 1.8, 44,   3, -18,10, 54.4, ④⑥,11, 5,Ｈシアトルビュｰティ, 68,鮫島良, 1.6, 49,  -7,   1,10, 69.0, ⑨⑪,11, 1,Ｈレジェンダロッサ, 66,上村洋, 1.1, 55,  -2,   1, 9, 35.6, ⑪⑮
12, 9, タマモブライト,,石山繁,11.4,,,, 8, 67.0,⑫⑫⑫,12, 7,Ｉメイショウハナビ, 44,石橋守, 1.8, 41,  -4, -11,13,180.0, ⑨⑫,,,,,,,,,,,,,12,17,Ｎユウゼｰタ, 63,太宰啓, 1.2, 53,  -2,  -1,11, 50.1, ⑪⑬
,,,,,,,,,,,,13, 8,Ｈグラスジェイド, 46,中村将, 2.4, 30,  -5, -22,14,221.2, ⑨⑨,,,,,,,,,,,,,13,11,Ｆルスナイプリンス, 69,飯田祐, 1.4, 51,  -9,   2,10, 36.6, ⑰⑱
,,,,,,,,,,,,14,17,Ｎミッドナイトスタｰ, 37,野元昭, 2.4, 33,  -7, -18,15,388.8, ⑬⑫,,,,,,,,,,,,,14,15,Ｒエイシンアバロン, 46,上野翔, 1.4, 45,  -1,  -9,17,242.2, ⑦⑦
,,,,,,,,,,,,15,12,Ｐナムラスキャット, 31,鮫島良, 2.6, 29,  -4, -24,16,437.4, ⑨⑨,,,,,,,,,,,,,15, 2,Ｑヤマカツウェｰブ, 51,田中学, 1.5, 45,*  3, -13,18,316.3, ③②
,,,,,,,,,,,,16, 4,Ｊテイエムアメジスト, 42,赤木高, 3.0, 13, -22, -13,11,159.5, ⑰⑰,,,,,,,,,,,,,16,14,Ｏテイエムヒビキ, 55,和田竜, 1.6, 44,   1, -13,12, 66.9, ③⑨
,,,,,,,,,,,,17,16,Ｏテイエムアプロｰズ, 32,北村友, 3.1, 23, -10, -28,18,577.5, ⑬⑮,,,,,,,,,,,,,17,16,Ｊエリモフィナｰレ, 64,熊沢重, 1.6, 44,  -4,  -8,15,135.2, ⑪⑬
,,,,,,,,,,,,18,15,Ｑマイティｰマドンナ, -8,内田浩, 4.4,-39, -22, -34,17,563.8, ⑰⑱,,,,,,,,,,,,,18,18,Ｋセフティバｰニング, 64,中村将, 1.7, 41,*  3, -19,14, 90.5, ②②
