06年 9月23日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 9月23日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.1,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.8,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.1,,,,
 9, 8,Ｉスピｰディワンダｰ,  3,塚田祥, 2.3, 26, -15, -21, 8, 84.8, ⑦⑧, 9, 9,Ｋレディシｰクエンス, 40,塚田祥, 3.9, 34,  -9, -22,10, 98.4,⑦⑩⑩, 9, 6,Ｈシルクロゼット, 45,小原義, 2.9, 38, -14,  -3, 8,149.8,⑧⑨⑨, 9, 8,Ｆアドマイヤウイナｰ, 64,柴山雄, 1.6, 58,*  9, -26, 5, 13.4,③③④
,,,,,,,,,,,,10, 8,Ｆニチリンカチドキ, 47,川島信, 4.1, 33,  -4, -30, 8, 51.1,③④⑧,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,13,Ｊジェイドヴィジョン, 41,梶晃啓, 5.0, 10,  -5, -36, 9, 69.2,③⑥⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12,12,Ｃディｰエスザホｰプ, 53,四位洋,11.4,11.4---, -12, -87, 3, 10.8,⑩⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-4),,,,,,,,,,,
単勝:210円 複勝:07=110円 03=120円 04=410円 枠連:220円,,,,,,,,,,,,"単勝:570円 複勝:11=130円 04=260円 07=100円 枠連:1,720円",,,,,,,,,,,,単勝:780円 複勝:08=170円 03=110円 07=140円 枠連:210円,,,,,,,,,,,,"単勝:4,820円 複勝:03=950円 01=210円 02=420円 枠連:11,460円",,,,,,,,,,,
馬連:290円 ワイド:03-07=150円 04-07=580円 03-04=760円,,,,,,,,,,,,"馬連:2,980円 ワイド:04-11=790円 07-11=200円 04-07=410円",,,,,,,,,,,,馬連:600円 ワイド:03-08=250円 07-08=380円 03-07=180円,,,,,,,,,,,,"馬連:11,100円 ワイド:01-03=2,210円 02-03=2,450円 01-02=800円",,,,,,,,,,,
"馬単:530円 3連複:1,430円",,,,,,,,,,,,"馬単:5,280円 3連複:1,310円",,,,,,,,,,,,"馬単:1,610円 3連複:690円",,,,,,,,,,,,"馬単:30,320円 3連複:12,620円 3連単:126,120円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.7,,,,,■ 5R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.0,,,,,■ 8R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.0,,,,,■11R  芝1200m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,おおぞら特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｈクレバｰドラゴン, 21,竹之下,, 54,   7,*-18,10,119.7,⑩⑨⑤, 1, 3,Ａパｰプルカフェ, 68,小島太,, 67,*  4,* -2, 4, 10.4,②①①, 1, 9,Ｂスクリｰマｰ, 66,藤田伸,, 68,*  7,  -2, 2,  3.6, ②②, 1, 6,Ｂアドマイヤドレス, 76,芹沢純,, 78,   3,  14, 3,  5.7, ⑧⑦
 2, 2,Ｄワイルドコンコルド, 41,梶晃啓, 0.2, 51,* 18, -46, 5, 16.0,②②②, 2, 2,Ｃゴｰルドシュｰズ, 58,藤岡佑, 0.3, 66,*  4,  -2, 6, 16.0,③③③, 2,10,Ｃキシュウマドンナ, 65,四位洋, 0.3, 61,   4,  -3, 4,  7.6, ③③, 2, 1,Ｊフミノサチヒメ, 67,四位洋, 0.1, 75,   4,  11, 7, 11.1, ⑥④
 3, 5,Ｊトｰアノマイ,-29,柴原央, 0.4, 50,   4,*-20, 9,114.0,⑨⑩⑨, 3, 4,Ｆトゥルｰビュｰティ, 54,菊沢隆, 0.3, 66,   2,*  3, 9, 45.5,⑥⑦⑤, 3, 1,Ｇムソウ, 56,大野拓, 0.3, 59,   3,  -4, 9, 94.5, ③③, 3, 2,Ｅチリエｰジェ, 75,河北通, 0.2, 75,   0,  14, 2,  5.6, ⑪⑨
 4, 1,Ｆドリｰムサンデｰ, 38,川島信, 0.7, 46,* 18, -53, 1,  2.8,①①①, 4,10,Ｉシルクエンゲｰジ, 44,小原義, 0.6, 62,   2,  -2,11, 95.4,⑥⑦⑤, 4, 3,Ｄスズカロｰズマリｰ, 64,芹沢純, 0.3, 60,   4,  -3, 1,  2.3, ③⑤, 4,12,Ｇヤマニンパンテｰル, 68,藤田伸, 0.4, 70,   3,   8, 5,  7.0, ⑧⑨
 5, 7,Ｉシｰガｰル, 14,柴山雄, 0.8, 46,  10, -38, 8, 78.3,⑦⑦⑧, 5, 7,Ｌトウカイロｰレル, 39,的場勇, 0.8, 57,*  3, -13,12,220.8,①②②, 5, 7,Ｅヤマニンパルファン, 58,小島太, 0.4, 53,  -2,* -2, 6, 25.6, ⑥⑥, 5,14,Ｃミスティラブ, 76,藤岡佑, 0.4, 74, -12,* 22, 8, 17.4, ⑮⑭
 6, 3,Ｂシャドウブルｰス, 47,藤田伸, 0.8, 46,  15, -47, 2,  3.2,③③③, 6, 1,Ｋヘヴンリｰビｰナス, 40,松田大, 0.8, 59,   0,*  0, 8, 28.3,⑭⑪⑧, 6, 6,Ａビバグリｰン, 67,川島信, 0.5, 64,*  9,  -8, 3,  3.6, ①①, 6, 8,Ｈクイｰンアイリス, 68,松田大, 0.5, 69,  -2,  11, 4,  6.5, ⑫⑫
 7, 9,Ｃエネルクルｰ, 45,小林徹, 0.9, 46,  10, -40, 7, 47.6,⑦⑦④, 7,13,Ｂプレインボイス, 63,四位洋, 0.9, 59,   3,  -8, 2,  2.8,⑥⑤⑤, 7, 4,Ｈエイシンサンバレｰ, 54,柴山雄, 0.5, 55,   0,  -2, 5, 20.9, ⑥⑥, 7,16,Ｆナイススマｰトワン, 69,的場勇, 0.5, 65,* 15,  -6, 9, 27.8, ③②
 8, 6,Ａマイネルドナｰル, 55,武幸四, 0.9, 46,  12, -43, 3,  4.0,⑤⑤⑤, 8, 8,Ｇタネノエンプレス, 50,大野拓, 1.1, 53,  -1,  -6, 7, 18.1,⑩⑪⑧, 8, 5,Ｉアミフジハナザカリ, 52,田辺裕, 0.7, 51,  -5,* -1, 7, 67.7, ⑨⑧, 8, 3,Ｉケイエスアイ, 67,小林徹, 0.6, 67,  -2,   9,12, 38.0, ⑫⑫
 9,10,Ｇノｰスリヴァｰ, 34,菊沢隆, 2.4, 35,  14, -70, 4,  5.8,③④⑤, 9,12,Ｈビｰミングフェイス, 45,武幸四, 1.2, 55,*  4, -15,10, 76.5,⑤③④, 9, 8,Ｊルミナスカラｰ, 42,古川吉, 1.7, 39,  -4, -13, 8, 80.9, ⑧⑨, 9, 4,Ｎスプリングボｰド, 63,鈴来直, 0.6, 69,  -8,  16,14, 73.6, ⑭⑭
10, 8,Ｅコデマリ, 40,的場勇, 3.0, 15,  10, -76, 6, 20.2,⑤⑤⑨,10, 5,Ｊフィｰユドノワｰル, 40,塚田祥, 1.6, 47,  -2, -12, 5, 10.6,⑩⑬⑫,,,,,,,,,,,,,10, 7,Ａテイエムロマンス, 83,千田輝, 0.7, 61,* 19, -12, 6,  9.5, ①①
,,,,,,,,,,,,11,14,Ｅエメラルドシティ, 57,柴山雄, 2.1, 45,   2, -24, 1,  2.5,⑬⑦⑪,,,,,,,,,,,,,11,11,Ｄブランシュネｰジュ, 75,武幸四, 0.8, 62,   3,   2, 1,  5.5, ⑧⑨
,,,,,,,,,,,,12, 9,Ｍダンシングドミニア, 35,川島信, 2.2, 44,*  4, -29,14,357.6,③⑤⑧,,,,,,,,,,,,,12,10,Ｋセイントリｰプレア, 67,古川吉, 0.8, 60,  12,  -7,10, 30.3, ④④
,,,,,,,,,,,,13,11,Ｄツルギセイコｰ, 58,藤田伸, 2.4, 41,   1, -28, 3,  9.8,⑨⑩⑬,,,,,,,,,,,,,13,15,Ｍデアテンビｰ, 64,柴原央, 1.0, 57,   9,  -7,11, 33.4, ⑤⑦
,,,,,,,,,,,,14, 6,Ｎパディントン,-76,黛弘人, 5.6,-23, -10, -58,13,353.4,⑩⑭⑭,,,,,,,,,,,,,14,13,Ｏマドンナブラボｰ, 60,高井彰, 1.1, 61, -18,* 17,16,196.5, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｐシナｰラ, 59,川島信, 1.7, 47,   6, -15,13, 68.5, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｌアｰスシャｰプ, 65,安部幸, 2.1, 45,* 19, -33,15, 78.7, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+20 ﾚｰｽｱｶﾞﾘ指数:-19 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-3),,,,,,,,,,,
"単勝:11,970円 複勝:04=1,740円 02=540円 05=1,820円 枠連:17,680円",,,,,,,,,,,,"単勝:1,040円 複勝:03=300円 02=370円 04=770円 枠連:2,950円",,,,,,,,,,,,"単勝:360円 複勝:09=160円 10=200円 01=1,510円 枠連:1,070円",,,,,,,,,,,,"単勝:570円 複勝:06=210円 01=410円 02=240円 枠連:1,070円",,,,,,,,,,,
"馬連:33,610円 ワイド:02-04=9,110円 04-05=15,610円 02-05=8,850円",,,,,,,,,,,,"馬連:3,710円 ワイド:02-03=750円 03-04=2,180円 02-04=2,280円",,,,,,,,,,,,"馬連:1,020円 ワイド:09-10=330円 01-09=2,620円 01-10=3,770円",,,,,,,,,,,,"馬連:4,180円 ワイド:01-06=1,310円 02-06=750円 01-02=940円",,,,,,,,,,,
"馬単:94,430円 3連複:245,570円",,,,,,,,,,,,"馬単:6,490円 3連複:22,360円",,,,,,,,,,,,"馬単:1,460円 3連複:10,960円",,,,,,,,,,,,"馬単:6,980円 3連複:6,610円 3連単:44,160円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,,■ 6R  芝1500m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.7,,,,,■ 9R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.8,,,,,■12R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｸﾞﾘｰﾝﾁｬﾝﾈﾙｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａペプチドジャスミン, 60,武英智,, 69,* -2,*  6, 1,  2.9, ①①, 1, 7,Ｂコアレスストｰム, 60,四位洋,, 62,   2,*  0, 4,  6.8,②⑤④, 1, 6,Ｂメテオグロｰリｰ, 63,塚田祥,, 68,  -3,* 11, 2,  4.8,⑥⑦④, 1, 1,Ｃアドマイヤカンナ, 73,芹沢純,, 75,  13,* -3, 4,  5.8,⑤⑧④
 2,10,Ｇユキノサンシャイン, 46,川島信, 0.6, 59,  -5,   2, 7, 17.5, ③②, 2, 1,Ｄフミノスタｰダム, 58,芹沢純, 0.1, 62,*  5,  -7, 1,  2.2,①①①, 2,10,Ａドラマチックテナｰ, 70,藤田伸, 0.1, 68,   0,   6, 1,  1.4,④③③, 2, 5,Ｂサクラオリオン, 77,藤田伸, 0.2, 73,  16,  -9, 1,  2.7,⑦④③
 3, 5,Ｆプラナグリｰン, 46,柴山雄, 0.7, 58,  -8,*  3, 6, 11.2, ⑤⑤, 3,11,Ｇエアドミンゴ, 51,藤田伸, 0.1, 61,*  4,  -5, 2,  6.2,⑩③③, 3, 1,Ｃグラスギャロップ, 61,川島信, 0.1, 68,  -1,   8, 4, 13.8,⑦⑥④, 3, 4,Ｄフェスティヴナイト, 70,柴原央, 0.3, 72,  16,  -9, 3,  4.9,⑥⑦④
 4, 2,Ｂアイトサクラ, 52,田辺裕, 0.8, 55,  -5,  -1, 4,  7.5, ③②, 4, 9,Ａライフブリｰズ, 68,藤岡佑, 0.2, 58,   0,* -2, 5,  8.9,⑥⑦⑦, 4, 4,Ｇカオリエスペランサ, 56,大野拓, 1.0, 58,  -1,  -3, 6, 30.5,④⑤⑦, 4, 2,Ｅオグリホット, 70,安部幸, 0.4, 70,* 17, -16, 5,  8.5,①②②
 5, 6,Ｄキシュウレグルス, 50,四位洋, 1.4, 46, -11,  -3, 5,  7.8, ⑦⑨, 5, 4,Ｅヘヴンリｰブルｰ, 54,菊沢隆, 0.6, 53,  -1,  -7, 6,  9.7,⑥⑨⑩, 5, 9,Ｄギャラクシｰキッド, 60,鈴来直, 1.1, 58,   0,  -5, 3, 12.6,③③④, 5, 6,Ａエイシンシテンノｰ, 78,武幸四, 0.5, 69,* 18, -19, 2,  4.4,②①①
 6,11,Ｊザッツアメｰジング, 41,大野拓, 1.6, 41,  -7,  -9, 9, 60.7, ⑤⑥, 6, 8,Ｉバンダムラッシュ, 47,鈴来直, 0.6, 51,  -5,*  0,12,114.6,⑭⑬⑫, 6, 5,Ｆスズカイｰグル, 56,黛弘人, 1.3, 53,*  1, -12,10,149.0,②①①, 6, 8,Ｈモンブランカフェ, 64,小島太, 1.2, 62,  16, -24, 7, 22.6,⑦④⑧
 7, 1,Ｅコアレスビジョン, 49,藤田伸, 1.7, 42, -11,  -6, 2,  4.7, ⑦⑥, 7,14,Ｃミヤマリンドウ, 59,柴山雄, 0.7, 52,   0, -10, 3,  6.3,⑩⑦⑥, 7, 8,Ｈトｰセンマウンテン, 55,加藤士, 1.3, 59,  -4,   1, 8, 71.5,⑧⑧⑧, 7, 3,Ｉマイネルガルニエ, 56,宮崎光, 1.5, 59,  16, -29, 9, 65.3,③④④
 8, 8,Ｈハトル, 44,芹沢純, 1.8, 41, -13,  -6, 8, 29.3, ⑦⑧, 8, 2,Ｈレディフライト, 49,的場勇, 0.7, 48,  -2, -10,11, 94.2,⑥⑨⑦, 8, 2,Ｉゲイリｰアイトｰン, 54,的場勇, 1.6, 54,  -7,   0, 9,147.2,⑨⑨⑨, 8, 9,Ｇセブンスアンコｰル, 65,松田大, 1.7, 55,  13, -28, 8, 29.9,⑨⑧⑧
 9, 4,Ｃイｰグルホｰク, 50,千葉直, 1.9, 37,* -5, -14,11, 99.2, ②②, 9, 3,Ｋコスモセドナ, 45,梶晃啓, 0.8, 46,  -6,  -5,14,166.0,⑥⑬⑫, 9, 7,Ｅプリモレディ, 59,四位洋, 1.6, 57,  -6,   2, 5, 17.6,⑨⑩⑨, 9, 7,Ｆスマｰトブレｰド, 67,柴山雄, 2.4, 50,* 17, -44, 6, 13.3,③③⑦
10, 7,Ｉアンクルマックス, 43,的場勇, 1.9, 37, -16,  -7,12,136.9, ⑩⑩,10,12,Ｊエプソムフクムスメ, 46,柴原央, 1.1, 48,*  5, -22,10, 94.1,②②②,10, 3,Ｊフェｰヴ, 54,藤岡佑, 2.7, 45,*  3, -24, 7, 49.1,①②②,,,,,,,,,,,,
11, 9,Ｋチャｰムスタｰ, 40,塚田祥, 2.4, 32, -34,   1, 3,  4.8, ⑫⑪,11,13,Ｆカオリソフィｰ, 53,大野拓, 1.2, 44,*  2, -23, 9, 57.1,②③④,,,,,,,,,,,,,,,,,,,,,,,,
12,12,Ｌマリｰロｰズ, 32,菊沢隆, 3.7, 14, -18, -22,10, 97.8, ⑪⑪,12, 5,Ｍコランダムシチｰ, 40,武幸四, 1.3, 44,   2, -20, 8, 45.8,②⑤⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13, 6,Ｌジャイアンツオナｰ, 43,松田大, 1.4, 42,  -3, -16,13,162.4,⑫⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,10, レコルダｰレ,---,塚田祥, 1.7, 36,  -3, -23, 7, 27.9,⑫⑨⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-4),,,,,,,,,,,
単勝:290円 複勝:03=160円 10=360円 05=270円 枠連:650円,,,,,,,,,,,,単勝:680円 複勝:07=220円 01=130円 11=190円 枠連:640円,,,,,,,,,,,,単勝:480円 複勝:06=130円 10=100円 01=160円 枠連:250円,,,,,,,,,,,,単勝:580円 複勝:01=180円 05=120円 04=170円 枠連:710円,,,,,,,,,,,
"馬連:2,580円 ワイド:03-10=920円 03-05=700円 05-10=2,160円",,,,,,,,,,,,馬連:960円 ワイド:01-07=340円 07-11=730円 01-11=310円,,,,,,,,,,,,馬連:310円 ワイド:06-10=170円 01-06=480円 01-10=250円,,,,,,,,,,,,馬連:670円 ワイド:01-05=300円 01-04=470円 04-05=270円,,,,,,,,,,,
"馬単:4,870円 3連複:7,170円",,,,,,,,,,,,"馬単:2,470円 3連複:1,970円",,,,,,,,,,,,"馬単:960円 3連複:600円 3連単:4,340円",,,,,,,,,,,,"馬単:1,710円 3連複:980円 3連単:6,310円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
