06年 5月 7日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 5月 7日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.5,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.5,,,,,■ 7R  芝2000m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,,■10R  芝1000m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 4, 2,Ｊマイティマイン, 30,南田雅, 1.2, 46, -14,   3,10,121.5,⑧⑧⑧, 4,14,Ｅコスモヘルシャフト, 44,菊沢隆, 0.1, 55,  -4,  -1, 8, 20.7, ⑨⑧, 4, 6,Ｇエイプリルウインド, 52,赤木高, 0.2, 70, -24,  30, 4,  5.5, ④④, 4,14,Ｊヤマニンパンテｰル, 65,長谷川, 0.2, 69,  -4,* 13, 8, 15.0, ⑧⑧
 5, 5,Ｅマイネルジュネス, 46,長谷川, 1.2, 43, -12,  -1, 5, 10.7,⑤⑤⑤, 5, 8,Ｌウォｰタｰネバダ, 29,武士沢, 0.4, 50,* -1, -12,12, 83.1, ①②, 5, 4,Ａリキサンポイント, 70,野元昭, 0.3, 48,*-21,  21, 1,  3.1, ①①, 5,13,Ｌタイキエンデバｰ, 64,田中博, 0.3, 66,   2,   5,11, 30.0, ③③
 6, 4,Ｉフェアリｰドリｰム, 31,高山太, 1.4, 44, -15,   2,12,419.0,⑩⑧⑧, 6,16,Ｂナモンワンダｰ, 51,木幡初, 0.4, 51,  -2,  -8, 7, 13.4, ⑤⑤, 6, 1,Ｃマイネルスパｰダ, 63,長谷川, 0.6, 48, -24,  23, 3,  4.4, ④④, 6, 7,Ｈレイズアンドコｰル, 67,赤木高, 0.3, 65,*  9,  -1, 4, 12.5, ①①
 7,11,Ｆロｰドオブワン, 44,吉田隼, 1.5, 38, -12,  -7, 6, 49.2,④④④, 7, 7,Ｈパルマロｰザ, 39,小池隆, 0.6, 48,  -3, -12, 2,  4.8, ④③, 7, 2,Ｂスノｰバロック, 64,橋本美, 0.7, 49, -25,  24, 5,  9.1, ⑥⑥, 7, 3,Ｃケイアイボイジャｰ, 73,勝浦正, 0.4, 66,  -4,  10, 1,  2.4, ⑧⑦
 8, 8,Ｋリップタイド, 20,中舘英, 1.5, 39,*-10,  -9, 8, 62.8,②②②, 8, 4,Ｊエキサイトバイオ, 31,鮫島良, 0.7, 44, -12,* -1, 9, 29.8, ⑭⑭,,,,,,,,,,,,, 8, 6,Ａプライムアクトレス, 78,菊沢隆, 0.5, 63,*  7,  -2, 5, 13.0, ②②
 9,10,Ｇニシノフラッシュ, 41,村田一, 1.9, 37, -13,  -7, 9,105.4,⑪⑤⑤, 9,10, ラヴリｰビコｰ,---,加藤士, 0.9, 45,  -7,  -8,10, 37.2, ⑫⑩,,,,,,,,,,,,, 9, 5,Ｍファイトザパワｰ, 64,北村浩, 0.6, 63,  -4,   7,13, 57.3, ⑧⑧
10, 7,Ｄトｰセンアニラ, 47,丹内祐, 2.1, 37, -18,  -1, 7, 56.2,⑫⑪⑪,10,11,Ｉカオリソフィｰ, 39,小島太, 1.0, 40,  -5, -18,11, 55.5, ⑥⑤,,,,,,,,,,,,,10,16,Ｎケイエスストロング, 63,松田大, 0.7, 61,  -7,   8,16,149.2, ⑪⑪
11,13, ティリブルティｰト,---,鮫島良, 2.4, 34, -19,  -2, 4,  6.4,⑧⑫⑫,11, 1,Ａチアズビｰラヴド, 54,大野拓, 1.0, 40,* -3, -23, 6, 10.0, ②①,,,,,,,,,,,,,11, 8,Ｄエイワンタッチ, 70,中谷雄, 0.8, 60,  -8,   9, 6, 14.0, ⑬⑬
12, 9,Ｈジェイケイスマイル, 31,西田雄, 3.3, 26, -15, -15,11,382.9,⑤⑩⑩,12, 2, メアリｰステラ,---,村田一, 1.0, 43, -12,  -1, 1,  4.2, ⑯⑯,,,,,,,,,,,,,12,11,Ｏスプリングレアル, 60,石橋脩, 0.8, 58,   1,   0,12, 49.0, ③⑤
,,,,,,,,,,,,13, 5,Ｇエイシンファイン, 40,赤木高, 1.3, 39, -12,  -7,13,142.6, ⑭⑮,,,,,,,,,,,,,13,10,Ｅメジロモｰガン, 70,村田一, 0.8, 60, -10,  10, 7, 14.2, ⑮⑮
,,,,,,,,,,,,14,13,Ｋメイリｰロルフェイ, 30,南田雅, 1.4, 39,  -5, -19,16,326.0, ⑫⑩,,,,,,,,,,,,,14,15,Ｐビッグスマッシュ, 60,大西直, 1.0, 57, -13,  10,15,120.3, ⑯⑯
,,,,,,,,,,,,15, 6, アンバｰプリンス,---,佐藤聖, 1.5, 33,  -9, -20,15,192.4, ⑩⑩,,,,,,,,,,,,,15, 1,Ｂメタルスタｰ, 74,中舘英, 1.1, 53,  -2,  -2, 3,  7.8, ⑦⑧
