06年12月16日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年12月16日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.5,,,,,■ 4R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.7,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
10, 7, フィｰルドジェニｰ,---,菊沢隆, 3.5, 32,  -5, -26, 8, 47.7,⑦⑥⑥,10, 3,Ｌトウショウトリック, 41,大庭和, 2.1, 54, -10,   8,13,412.9,⑪⑬⑬,,,,,,,,,,,,,10, 8,Ｋマイネソｰサリス, 77,佐藤哲, 0.8, 77,  -2,  24,11, 52.9,⑪⑬⑬
11, 1, サンマルアタック,---,石橋脩, 3.6, 32, -12, -16,13,235.9,⑩⑪⑪,11, 1,Ｉカオリエスペランサ, 53,田辺裕, 2.2, 49,  -6,   1, 9, 75.0,⑧⑦⑨,,,,,,,,,,,,,11, 4,Ｍマルタｰズヒｰト, 76,鮫島良, 0.9, 74,  -4,  22,15,241.5,⑭⑬⑭
12,11, ドヴォルザｰク,---,川島信, 3.9, 31, -16, -12,12,221.0,⑭⑫⑫,12,11,Ｋライブリチチカカ, 45,村田一, 2.9, 45, -11,   3,14,503.6,⑮⑭⑭,,,,,,,,,,,,,12,12,Ｈロフティｰエイム, 79,石橋脩, 0.9, 63,   5,   5, 6, 19.6,③③④
13,13, ケンロクタカオｰ,---,野元昭, 6.1,  3, -21, -24,14,249.5,⑬⑭⑭,13,13,Ｍパレスソルジャｰ, 39,南田雅, 3.5, 41,  -9,  -6,16,619.3,⑧⑪⑪,,,,,,,,,,,,,13, 7,Ｌスプリングドリュｰ, 77,中舘英, 0.9, 70,  -1,  18, 9, 42.0,⑬⑩⑫
14, 3, ゴッドテンユウ,---,鮫島良, 6.8,-13, -19, -36,11,164.9,⑫⑬⑬,14, 9,Ｐサムソンゴｰゴｰ, 33,芹沢純, 4.0, 41,  -9, -12,15,561.9,⑧⑪⑪,,,,,,,,,,,,,14, 1,Ｉメジロトンキニｰズ, 79,塚田祥, 1.1, 73,  -5,  22,12, 58.1,⑮⑮⑮
,,,,,,,,,,,,15, 7,Ｇナリアガリ, 54,中舘英, 5.9, 28, -29,   5,10, 85.3,⑯⑮⑮,,,,,,,,,,,,,15, 9,Ｏスルｰレｰト, 74,芹沢純, 1.7, 60,*  8, -19,14,131.2,①①②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:稍重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+29 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-6),,,,,,,,,,,
