06年 1月28日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 1月28日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(抽) 馬齢,,,,,,,,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1600m 3 歳500万(混) 馬齢,,,,,,,,,,,,■10R  芝2400m 4歳上1000万(混) 別定,,,,,,,,,,,
 9, 3,Ｄミヤギブレイド, 50,石橋脩, 2.0, 43, -11,  -6, 7, 27.2,⑪⑫⑫, 9,11, ダイワゼウス,,平沢健, 5.2,,,, 7, 38.0,③⑥⑥, 9, 7,Ｈユｰセイシアトル, 55,田中勝, 0.7, 59,  -6,   5, 6, 16.1,⑩⑩⑨, 9, 2,Ｋユｰワキングストン, 68,横山義, 1.4, 66,   4,   1,12,237.3,⑦⑦⑨
10, 8,Ｃケイアイカルディナ, 53,柴田善, 2.1, 44,  -5, -13, 3,  5.6,⑤⑤⑤,10, 5, ミラクルコジｰン,,仲田  , 5.5,,,,13,174.7,⑩⑫⑫,10, 1,Ｊジャスミンフレイズ, 50,大野  , 3.6, 25,  -7, -26, 9,250.1,⑥⑥⑦,10, 7,Ｈエタｰナルスマイル, 72,吉田隼, 1.4, 68,   3,   6, 9, 95.0,⑫⑫⑫
11, 5,Ｋコスモフィリオ, 34,勝浦  , 2.4, 40,  -9, -11,10,236.4,⑧⑨⑪,11,14, ミヤコザムライ,,柴田未, 6.0,,,, 9,100.6,⑤③⑥,,,,,,,,,,,,,11, 5,Ｌマイネルモンシェリ, 63,江田照, 1.5, 64,* 10, -17,10,176.9,①①①
12, 9,Ｌミツアキファイヤｰ, 32,郷原  , 3.9, 28, -10, -23,13,377.1,⑪⑫⑫,12, 4, サントリック,,林    , 8.8,,,,11,138.1,④⑧⑨,,,,,,,,,,,,,12, 9,Ｉハクリュウタケフジ, 72,松岡  , 1.8, 63,   5,  -7,11,193.7,⑨⑦⑧
13,12,Ｉエマｰジェンシｰ, 38,田中剛, 6.0, 10,  -8, -47,11,273.5,⑬⑨⑧,13,13, トウジンポインタｰ,,金折  , 8.9,,,,10,113.9,⑬⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,12, シルクリバティｰン,,菊池憲,13.4,,,,14,262.8,⑬⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:5),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-3),,,,,,,,,,,
"単勝:270円 複勝:07=130円 06=240円 10=270円 枠連:1,080円",,,,,,,,,,,,単勝:460円 複勝:09=140円 07=410円 10=110円 枠連:550円,,,,,,,,,,,,"単勝:1,080円 複勝:09=320円 06=480円 02=180円 枠連:5,980円",,,,,,,,,,,,"単勝:850円 複勝:08=230円 03=150円 12=430円 枠連:1,240円",,,,,,,,,,,
"馬連:1,100円 ワイド:06-07=430円 07-10=520円 06-10=790円",,,,,,,,,,,,"馬連:4,840円 ワイド:07-09=1,330円 09-10=210円 07-10=820円",,,,,,,,,,,,"馬連:10,290円 ワイド:06-09=2,240円 02-09=840円 02-06=1,350円",,,,,,,,,,,,"馬連:1,200円 ワイド:03-08=410円 08-12=1,620円 03-12=940円",,,,,,,,,,,
"馬単:1,690円 3連複:2,550円",,,,,,,,,,,,"馬単:8,730円 3連複:2,120円",,,,,,,,,,,,"馬単:21,550円 3連複:15,570円",,,,,,,,,,,,"馬単:3,470円 3連複:5,160円 3連単:30,880円",,,,,,,,,,,
■ 2R  ダ2100m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 5R  ダ1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 4歳上500万 別定,,,,,,,,,,,,■11R  芝1600m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京新聞杯 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｉタマモステイタス, 49,吉田豊,, 57, -10,*  8,10, 50.5,⑭⑯⑬, 1, 2, エルブランコ,---,柴田善,, 51,  -4,  -6, 2,  2.4,④③④, 1,10,Ｆエアデルソｰル, 66,武豊  ,, 68,* -4,  11, 2,  5.3,②②②, 1,10,Ｊフジサイレンス, 84,江田照,, 87,   1,* 25,11, 51.8,⑬⑬⑩
 2,14,Ｈベルベットボクサｰ, 50,勝浦  , 0.0, 55,  -8,*  4, 7, 19.0,⑧⑦⑦, 2, 5, カヤドｰノアｰル,---,田中勝, 0.2, 50, -10,*  0,11, 97.7,⑩⑦⑥, 2, 4,Ｈバレンソｰル, 64,大野  , 0.0, 69,  -9,* 15, 3,  5.4,④⑤⑦, 2,16,Ｂオレハマッテルゼ, 91,柴田善, 0.0, 83,*  7,  16, 2,  5.0,⑤②②
 3, 4,Ｅマイネルプロメッサ, 51,石橋脩, 0.3, 52,  -7,  -3, 4,  6.3,③⑦④, 3, 7, パドレビエント,---,後藤浩, 0.3, 50,* -2, -11, 3,  6.3,②②②, 3,16,Ｇホクセツコマチ, 64,小野  , 0.3, 66,  -5,  10, 9, 30.9,⑥③③, 3, 3,Ｃインセンティブガイ, 90,ペリエ, 0.1, 81,   5,  17, 1,  4.5,②④④
 4, 2,Ｇインベスタｰ, 50,松岡  , 0.3, 52,  -9,*  2, 3,  4.6,⑫⑪⑫, 4,10, エムオｰフラワｰ,---,吉田隼, 0.9, 40, -12,  -7, 9, 64.4,③⑥⑦, 4,11,Ｎマルタラヴ, 52,石橋脩, 0.5, 65,  -6,   8, 8, 16.2,⑦⑧③, 4, 1,Ａアルビレオ, 94,四位  , 0.1, 81,   4,  18, 3,  6.0,②④④
 5,13,Ｐマイネルイディオス,-120,佐藤哲, 0.4, 52,  -8,   0, 9, 36.0,⑫⑦⑦, 5, 8, アゴヒゲイッポン,---,大野  , 1.0, 40,  -6, -16, 8, 55.1,④③④, 5, 3,Ｅプレンティスピｰド, 67,鈴木慶, 0.5, 64, -10,* 12,12, 62.0,⑮⑭⑫, 5, 4,Ｋペニｰホイッスル, 82,後藤浩, 0.2, 82,   3,  19, 8, 13.0,⑥⑧⑦
 6,11,Ｄカザックシチｰ, 52,北村宏, 0.6, 49,* -6,  -8, 8, 22.2,③③③, 6, 3, ストロングレパｰド,---,北村宏, 1.3, 40, -13,  -7, 6, 21.8,⑦⑩⑨, 6, 1,Ｊオンワｰドマリオン, 63,高山太, 0.6, 64,  -9,* 12, 7, 15.9,⑩⑨⑫, 6, 6,Ｅキングストレイル, 87,北村宏, 0.3, 81,   3,  19, 4,  7.1,⑩⑧⑦
 7, 5,Ｃマイネルコレドｰル, 52,後藤浩, 0.7, 49,  -7,  -6, 5,  8.2,⑯④④, 7, 6, クチベニ,---,郷原  , 1.7, 36, -11, -14, 7, 31.5,⑩⑦⑦, 7,14,Ａグリｰンヒルヒット, 69,後藤浩, 0.8, 58,* -2,   2, 6,  9.4,①①①, 7, 5,Ｉマイネルレコルト, 84,松岡  , 0.5, 81,   5,  16, 7, 12.5,⑥⑦⑦
 8, 6,Ｎレオヴァｰサス, 28,江田照, 0.8, 47,* -5, -11,11, 53.1,②②②, 8,12, タケデンスイング,---,宗像  , 2.0, 35,  -3, -26, 5, 20.3,⑥③③, 8,15,Ｋカウンタｰブラスト, 62,バルジ, 0.8, 61,  -6,   6,10, 44.2,⑧⑤③, 8,15,Ｄキネティクス, 89,木幡  , 0.6, 79,  -2,* 22, 9, 15.2,⑪⑪⑬
 9, 9,Ａシルクスタｰシップ, 54,村田  , 0.9, 50,  -8,  -6, 6, 14.6,⑦⑪⑦, 9, 9, アグネスホンジン,---,四位  , 2.1, 32,* -3, -30, 1,  2.3,①①①, 9,13,Ｂヒカルマチェンドラ, 68,柴山  , 0.9, 61,  -7,   7, 4,  7.3,⑩⑨⑦, 9, 2,Ｎイヤダイヤダ, 78,バルジ, 0.7, 69,*  6,   4,13, 65.9,①①②
10, 7,Ｆクｰルビスティｰ, 50,柴山  , 1.0, 49,  -8,  -6, 1,  3.8,⑤⑩⑦,10,11, タケショウニシキ,---,松岡  , 2.5, 26, -14, -18,10, 69.2,⑧⑦⑩,10, 2,Ｃスマｰトギルド, 68,柴田善, 0.9, 61,  -7,   7, 1,  3.5,⑩⑨⑦,10, 9,Ｍグランリｰオ, 81,柴山  , 0.8, 71,*  8,   2, 6, 12.5,②②①
11, 3,Ｋネヴァｰアゲイン, 41,吉田隼, 1.5, 40,* -7, -19,12, 75.3,①①①,11, 1, チャンピオンリング,---,吉田豊, 3.6, 16, -27, -12, 4, 16.9,⑨⑪⑪,11, 5,Ｍシルクアグレッシヴ, 54,吉田豊, 1.2, 57,  -7,   4,11, 55.9,⑬⑨⑦,11,12,Ｆウインラディウス, 86,田中勝, 1.1, 76,   1,  17,10, 16.3,⑯⑬⑬
12, 1,Ｌリリｰスナイパｰ, 41,大野  , 1.6, 41, -11,  -8,14,376.1,⑪⑬⑭,12, 4, カムイコタン,---,小林淳, 3.8, 15, -27, -13,12,192.7,⑫⑫⑪,12, 6,Ｉレオベルリン, 64,吉田隼, 1.6, 49, -11,   2,16,397.9,⑬⑭⑮,12, 8,Ｈハッピｰトゥモロｰ, 84,川島信, 1.1, 69,  -2,  14,12, 61.7,⑥⑪⑬
13,12,Ｂランナｰズハイ, 53,丹内  , 1.6, 40,  -9, -13, 2,  4.3,⑤④⑦,,,,,,,,,,,,,13, 7,Ｄダンシングママ, 67,江田照, 1.7, 50,  -5,  -3, 5,  7.8,②③③,13,11,Ｏマイネルソロモン, 76,佐藤哲, 1.2, 68,  -4,  15,14, 99.6,⑬⑬⑯
14,16,Ｊサクラプライム, 47,バルジ, 1.8, 42,  -7, -16,13,110.2,⑧④④,,,,,,,,,,,,,14, 9,Ｌアイファｰユウホウ, 57,川島信, 1.9, 48,  -9,   0,15,273.2,⑧⑨⑫,14, 7,Ｐヤマノブリザｰド, 76,菊沢徳, 1.4, 65,   0,   7,15,353.2,⑬⑬⑫
15, 8,Ｍドレックセル, 32,小林淳, 3.1, 33, -11, -19,16,418.5,⑧⑬⑮,,,,,,,,,,,,,15,12,Ｏニシノハナカザリ, 50,勝浦  , 2.1, 48, -13,   3,14,263.9,⑯⑯⑯,15,14,Ｌバアゼルキング, 81,吉田豊, 1.5, 60,   0,   2,16,389.4,⑥⑧⑩
16,10,Ｏチョウカイタｰフ, 10,小野  , 5.0, 21, -11, -36,15,408.0,⑮⑬⑮,,,,,,,,,,,,,16, 8, エイダイサイレンス,---,丹内  , 3.5, 28,  -8, -19,13,182.7,④⑤⑦,16,13,Ｇメイショウオウテ, 84,武豊  , 2.8, 41,   5, -25, 5, 10.0,⑪④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-3),,,,,,,,,,,
"単勝:5,050円 複勝:15=1,010円 14=390円 04=250円 枠連:7,460円",,,,,,,,,,,,"単勝:240円 複勝:02=130円 05=1,500円 07=200円 枠連:2,430円",,,,,,,,,,,,"単勝:530円 複勝:10=250円 04=210円 16=720円 枠連:1,820円",,,,,,,,,,,,"単勝:5,180円 複勝:10=910円 16=180円 03=180円 枠連:1,780円",,,,,,,,,,,
"馬連:24,790円 ワイド:14-15=5,630円 04-15=4,670円 04-14=1,530円",,,,,,,,,,,,"馬連:11,560円 ワイド:02-05=3,000円 02-07=360円 05-07=4,910円",,,,,,,,,,,,"馬連:2,090円 ワイド:04-10=910円 10-16=2,100円 04-16=1,930円",,,,,,,,,,,,"馬連:15,020円 ワイド:10-16=3,630円 03-10=4,010円 03-16=520円",,,,,,,,,,,
"馬単:56,410円 3連複:49,510円",,,,,,,,,,,,"馬単:17,480円 3連複:16,180円",,,,,,,,,,,,"馬単:4,150円 3連複:20,180円",,,,,,,,,,,,"馬単:46,240円 3連複:27,260円 3連単:302,380円",,,,,,,,,,,
■ 3R  ダ1600m 3 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 6R  芝2000m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1400m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■12R  ダ1400m 4歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｸﾛｯｶｽｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｆサウンドバイト, 43,武豊  ,, 59,* -3,*  0, 2,  3.6,①①①, 1, 5, トｰセンプレミアム,---,バルジ,, 45, -52,* 24, 2,  3.9,④③③, 1, 2,Ａアドマイヤカリブ, 81,武豊  ,, 83,   4,* 18, 1,  1.5,④④③, 1, 4,Ｆセイウンプレジャｰ, 73,武豊  ,, 78,*  4,  12, 3,  4.3,②③②
 2,13,Ａクレヨンルｰジュ, 54,田中勝, 0.0, 59,* -6,*  4, 1,  2.8,③②③, 2, 8, ラムセス,---,後藤浩, 0.1, 42, -52,  23, 4,  4.8,⑤⑤③, 2, 1,Ｆステキシンスケクン, 67,ペリエ, 0.0, 82,*  8,  12, 2,  4.9,①①①, 2, 8,Ｂユノナゲット, 77,四位  , 0.0, 78,  -1,* 18, 2,  3.3,⑤⑦⑦
 3, 6,Ｈジェンハオサイマ, 40,柴山  , 1.1, 50,* -4,  -9, 6, 20.6,②②②, 3, 2, ネｰミングライツ,---,柴山  , 0.4, 40, -54,  23, 3,  4.3,⑥⑥⑥, 3, 9,Ｃユｰワハリケｰン, 73,柴山  , 0.5, 75,*  6,   7, 5, 17.0,②②②, 3, 1,Ｃタマモドン, 75,柴山  , 0.1, 78,  -4,* 22, 6, 14.5,⑮⑮⑮
 4, 2,Ｄエｰグルドゥｰス, 47,菊沢徳, 1.8, 44, -10,  -7, 5,  9.8,⑨⑦⑧, 4, 4, セイウンエポック,---,佐藤哲, 0.4, 18,*-51,  15, 1,  3.4,①①①, 4, 7,Ｅダンスフォｰウィン, 67,田中勝, 0.8, 72,  -1,  12, 3,  5.3,⑥⑥⑥, 4,12,Ｏシャドウハｰツ, 66,バルジ, 0.2, 75,   2,  12, 4, 12.9,⑤④⑤
 5, 5,Ｂチェイスバニヤン, 53,吉田隼, 2.4, 36, -10, -16, 4,  9.1,③④⑥, 5, 6, ヘイロｰマジック,---,大野  , 0.6, 36, -58,* 22, 7, 33.9,⑧⑧⑧, 5, 6,Ｇスピンオフ, 65,松岡  , 0.8, 73,  -5,* 18, 7, 46.2,⑧⑧⑧, 5,13,Ｉデジデｰリオ, 71,丹内  , 0.3, 74,  -2,  15,14,161.2,⑬⑬⑩
 6,11,Ｊフレアリングクイン, 35,高山太, 2.6, 39, -12, -12,10, 73.6,⑫⑫⑨, 6, 3, マイネルマズラｰ,---,ペリエ, 0.6, 26, -53,  16, 6, 10.8,③③③, 6, 5,Ｄダイワティグリス, 67,柴田善, 1.1, 70,   1,   7, 4, 16.3,⑤⑤⑤, 6, 9,Ｈニシノイワイザケ, 72,木幡  , 0.3, 75,  -3,* 18, 8, 45.2,⑪⑪⑬
 7, 4,Ｇトｰホウメボン, 41,後藤浩, 2.8, 37, -14, -10, 9, 64.7,⑭⑭⑬, 7, 1, リｰドインアゲｰム,---,松岡  , 1.8,-12, -55,   0, 8, 44.7,⑦⑥⑥, 7, 4,Ｉリネンヤクシン, 50,南田  , 1.4, 63,  -2,   4, 8,190.6,⑥⑥⑥, 7, 5,Ｅナゲットニュｰズ, 74,田中勝, 0.6, 72,   0,  11,12, 89.9,⑨⑦⑦
 8,10,Ｅバイカルリッチ, 46,四位  , 2.8, 36,  -6, -22,11,154.8,⑤④④, 8, 7, ジョｰハｰトビｰト,---,武豊  , 2.1,-20,*-52, -10, 5,  8.4,②②②, 8, 3,Ｈスリｰセブンスピン, 59,吉田隼, 1.8, 57,   4, -10, 6, 39.9,②③③, 8,10,Ｄスタｰエフェクト, 75,松岡  , 0.7, 70,  -1,  11, 7, 39.6,⑦⑦⑦
 9, 7,Ｃエプソムフクムスメ, 50,北村宏, 3.0, 34,  -7, -23, 7, 31.7,⑤④⑤,,,,,,,,,,,,, 9, 8,Ｂキョクイチテキサス, 74,勝浦  , 2.2, 53,  -9,   1, 9,224.0,⑨⑨⑨, 9,14,Ｌカネマサデュｰク, 70,田中剛, 1.0, 69,  -2,  10,10, 77.5,⑪⑪⑩
10,14,Ｉフジファレノプシス, 40,柴田善, 3.1, 34, -13, -14, 8, 39.4,⑬⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,10,11,Ｍレオニダス, 68,吉永  , 1.1, 67,   2,   3, 5, 13.8,④④⑤
11,12,Ｌビｰビｰリワｰド, 27,丹内  , 3.7, 27, -14, -21,16,508.6,⑪⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,11,15,Ｇクｰルキャスケｰド, 72,大野  , 1.2, 65,  -4,   7,11, 88.5,⑬⑬⑩
12,15,Ｋリネンミリオネア, 31,江田照, 4.0, 27, -12, -25,13,372.6,⑨⑨⑨,,,,,,,,,,,,,,,,,,,,,,,,,12, 6,Ａエイワショウグン, 80,柴田善, 1.3, 66,*  3,   1, 1,  2.7,⑦④②
13, 3,Ｐビュｰティジュン, 16,郷原  , 4.1, 26, -13, -23,12,345.8,⑯⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,,13, 7,Ｋコウジンアルス, 70,水出  , 1.6, 60,*  2,  -4, 9, 65.5,①②②
14, 9,Ｎトｰセンオマｰジュ, 24,バルジ, 4.2, 25,  -8, -33, 3,  3.9,⑧⑦⑥,,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｎダンシングホｰク, 67,柴田未, 1.9, 59,*  5,  -8,13,138.6,②①①
15, 1,Ｍスズハイビスカス, 25,勝浦  , 5.5, 14, -12, -40,15,414.0,⑦⑨⑨,,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｐトップアサティス, 57,江田照, 2.8, 54, -15,   9,16,247.6,⑮⑯⑯
16, 8,Ｏアラビックリｰダｰ, 22,大野  , 5.6, 12, -19, -32,14,412.8,⑮⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｊブランディｰグラス, 70,南田  , 5.2, 24,  -4, -31,15,242.9,⑩⑦⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-37 ﾚｰｽｱｶﾞﾘ指数:+30 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:4),,,,,,,,,,,
単勝:360円 複勝:16=140円 13=130円 06=300円 枠連:490円,,,,,,,,,,,,単勝:390円 複勝:05=150円 08=180円 02=140円 枠連:0円,,,,,,,,,,,,単勝:150円 複勝:02=110円 01=140円 09=240円 枠連:320円,,,,,,,,,,,,単勝:430円 複勝:04=210円 08=150円 01=330円 枠連:890円,,,,,,,,,,,
"馬連:590円 ワイド:13-16=250円 06-16=1,030円 06-13=600円",,,,,,,,,,,,"馬連:1,080円 ワイド:05-08=400円 02-05=360円 02-08=310円",,,,,,,,,,,,馬連:310円 ワイド:01-02=160円 02-09=360円 01-09=730円,,,,,,,,,,,,馬連:850円 ワイド:04-08=370円 01-04=920円 01-08=660円,,,,,,,,,,,
"馬単:1,290円 3連複:3,380円",,,,,,,,,,,,"馬単:2,110円 3連複:1,260円",,,,,,,,,,,,"馬単:450円 3連複:1,160円 3連単:2,650円",,,,,,,,,,,,"馬単:1,880円 3連複:2,610円 3連単:12,670円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
