06年 3月 4日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 3月 4日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-12.2,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,,■ 7R  ダ1000m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,,■10R  ダ1700m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-0.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 6,12,Ｆヤマニンアルテミス, 44,二本柳, 1.1, 42,  -8,  -9,10, 29.1, ⑨⑧, 6, 5,Ｉナムラシゲコ, 63,太宰啓, 0.9, 61,  -1,   2, 6, 12.5, ⑨⑨, 6, 5,Ｎナムラユｰラシア, 58,大野拓, 0.7, 52, -15,  11,15,167.9,⑦⑦⑥, 6, 6,Ｉサウスポｰル, 74,角田晃, 0.7, 67,* 18, -23, 4,  7.7,②①①
 7,15,Ｇプリヴェｰリング, 43,佐藤聖, 1.1, 40,  -8, -11,16,539.6, ⑨⑧, 7, 2,Ｌバｰニングキャット, 54,吉田隼, 1.0, 58,   1,  -2,13,152.5, ⑦⑦, 7, 9,Ｊマイネルナタｰレ, 62,塚田祥, 1.2, 49, -16,  10,11, 60.7,⑫⑬⑨, 7, 3,Ｇロｰドグランディス, 74,野元昭, 0.7, 67,  13, -13, 6, 18.3,⑪⑥⑦
 8, 2,Ｋフェアレスジュエル, 32,大野拓, 1.4, 34, -14, -10,12, 62.6, ⑬⑬, 8, 4,Ｋエクスエトワｰル, 60,塚田祥, 1.3, 57,   7,  -9,10, 32.8, ③④, 8, 6,Ｍホワイトドラゴン, 59,芹沢純, 1.2, 51, -14,  11,14,164.2,⑭⑪⑨, 8, 4,Ｋコウエイマｰブル, 71,和田竜, 0.8, 68,  12, -12, 5, 10.7,④⑥④
 9, 5,Ｈダブルアップ, 42,中舘英, 1.4, 43,   3, -19, 5, 16.3, ③⑤, 9, 1,Ｆグリｰンヒルヒット, 67,赤木高, 1.3, 55,  -1,  -2, 5, 11.5, ⑨⑩, 9,16,Ｇダンツサクラ, 66,赤木高, 1.2, 53, -14,  12, 8, 30.5,⑮⑬⑨, 9,10,Ｌビッグタイガｰ, 71,赤木高, 0.9, 66,   9,  -8,13, 38.3,⑧⑫⑬
10, 3,Ｉサクセスストｰリｰ, 40,中谷雄, 1.4, 35, -16,  -7, 6, 17.1, ⑭⑮,10, 6,Ｍミッドキャロル, 52,二本柳, 1.4, 49, -14,   5,12,113.4, ⑬⑬,10,10,Ｈケイエスジェネラス, 64,難波剛, 1.4, 43, -13,   6, 6, 23.4,⑧⑪⑭,10, 9,Ｅメイショウアカシ, 75,武幸四, 0.9, 66,  10, -11, 9, 26.3,⑭⑩⑨
11, 8,Ｂアサヒダケ, 50,赤木高, 1.5, 38,  -3, -16, 4,  8.1, ⑥⑧,11, 7,Ｄエイシンシグマ, 68,上野翔, 1.5, 58,* 12, -15, 8, 25.5, ②②,11,15,Ｅマイネシャロｰナ, 68,吉田隼, 1.4, 43, -16,   7,12, 71.1,⑫⑬⑭,11, 2,Ｄヤマニンスプラウト, 75,田嶋翔, 1.0, 66,  10, -11,12, 37.5,⑪⑫⑨
12, 6,Ｊグレｰトセイウン, 40,畑端省, 1.7, 39,   2, -21, 9, 26.1, ③④,12,12,Ｐチアフルパｰトナｰ, 46,長谷川, 1.5, 52,  -4,  -2,14,259.9, ⑪⑫,12,13,Ｐラダマンテス, 54,生野賢, 1.5, 37,*-11,  -3,10, 39.1,②②⑥,12,14,Ｐクリソプレｰズ, 64,生野賢, 1.2, 63,  11, -15,11, 36.9,⑩⑩⑨
13, 9,Ｍスリｰマスコット, 30,田嶋翔, 1.8, 29, -20,  -8,14,274.4, ⑯⑯,13, 9,Ｂペイルロｰズ, 71,田中博, 1.5, 42, -26,* 10, 7, 13.6, ⑯⑯,13,12,Ｃレディティアラ, 71,松田大, 1.7, 38, -13,   0, 7, 24.5,⑩⑦⑨,13,16,Ｃストロングドン, 76,小原義, 1.2, 61,  14, -22,16,190.6,⑥②④
14, 1,Ｐセルリアンパルム,  1,塚田祥, 1.9, 27, -17, -13,15,294.3, ⑭⑭,14,16,Ｊパｰクリｰアケコ, 63,野元昭, 1.7, 52,   2,  -8,16,552.1, ⑦⑦,14, 3,Ｋダンシングミラクル, 62,上野翔, 1.9, 35, -17,   1,16,240.2,⑮⑬⑭,14, 1,Ｆバンブｰライカルト, 75,芹沢純, 1.5, 60,  13, -25, 8, 23.2,②⑥④
15, 4,Ｏバツグン,  4,野元昭, 2.2, 28,  -9, -19,13,210.9, ⑫⑫,15,11,Ｏサンドティアラ, 48,田嶋翔, 1.9, 42, -20,   4,11, 69.7, ⑮⑮,15,11,Ｌキングバッハ, 62,中舘英, 3.0, 18, -12, -23, 9, 33.6,②⑤⑨,15, 7,Ｍケイアイヴェニス, 68,鹿戸雄, 1.7, 56,   7, -16,14, 91.0,⑪⑮⑯
16,11,Ｌメイショウクラマ, 32,武幸四, 2.4, 26,  -8, -22, 2,  3.9, ⑨⑪,16,14,Ｎフロｰレスティアラ, 49,宇都英, 2.2, 41, -12,  -4,15,479.0, ⑬⑬,16, 4,Ｂオイワケウコン, 71,丹内祐, 3.0, 15,*-13, -27, 4,  5.5,②②④,16,15,Ｏシェリｰル, 66,鮫島良, 3.5, 32,  14, -59,10, 28.7,①②⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:+16 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-6),,,,,,,,,,,
"単勝:1,780円 複勝:10=570円 14=150円 07=480円 枠連:3,130円",,,,,,,,,,,,"単勝:2,670円 複勝:10=480円 03=120円 08=260円 枠連:740円",,,,,,,,,,,,"単勝:540円 複勝:01=200円 08=240円 02=1,660円 枠連:640円",,,,,,,,,,,,単勝:350円 複勝:05=160円 12=440円 11=140円 枠連:470円,,,,,,,,,,,
"馬連:2,640円 ワイド:10-14=1,420円 07-10=4,090円 07-14=1,540円",,,,,,,,,,,,"馬連:2,580円 ワイド:03-10=760円 08-10=1,860円 03-08=420円",,,,,,,,,,,,"馬連:1,510円 ワイド:01-08=690円 01-02=2,700円 02-08=5,050円",,,,,,,,,,,,"馬連:3,870円 ワイド:05-12=1,340円 05-11=380円 11-12=1,120円",,,,,,,,,,,
"馬単:5,810円 3連複:13,940円",,,,,,,,,,,,"馬単:7,630円 3連複:6,140円",,,,,,,,,,,,"馬単:2,810円 3連複:23,080円",,,,,,,,,,,,"馬単:6,170円 3連複:4,370円 3連単:28,730円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.3,,,,,■ 6R  ダ1700m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2.0,,,,,■ 9R  芝1800m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,,■12R  芝1200m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,あざみ賞,,,,,,,,,,,,鞍ｹ池特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂサｰユウジｰン, 56,和田竜,, 61,* -7,*  7, 1,  1.6,①①①, 1, 4,Ａスマｰトストリｰム, 70,赤木高,, 73,   2,* 11, 2,  3.7,⑦⑤⑤, 1, 1,Ａマイネルポライト, 67,角田晃,, 70,*-20,* 24, 2,  4.0,③④④, 1, 8,Ｂサンライズアタック, 76,和田竜,, 74,   7,   6, 2,  3.9, ⑦④
 2, 5,Ｊアッパｰクラス, 25,太宰啓, 1.0, 56, -12,*  7, 5, 17.8,⑩⑨⑥, 2,10,Ｃメディアミックス, 66,太宰啓, 0.0, 73,*  4,*  7, 4,  8.2,③④③, 2, 9,Ｄエイシンチョｰテン, 64,中舘英, 0.0, 66,*-18,  21, 1,  2.0,①①①, 2,13,Ｋダンスオブサロメ, 61,角田晃, 0.3, 64,  -7,* 15, 8, 24.2, ⑬⑬
 3,12,Ｆタイインテンスリｰ, 44,中谷雄, 1.0, 52,* -8,  -1, 8, 28.3,⑥③②, 3, 8,Ｅトｰセンマウンテン, 62,加藤士, 0.9, 67,  -1,*  7, 3,  7.1,⑭⑬⑩, 3, 6,Ｂマナｰハウス, 66,武幸四, 0.4, 67, -23,* 24, 3,  5.5,⑤⑤⑤, 3, 6,Ｆサイキョウワｰルド, 68,中舘英, 0.4, 68,  12,  -5, 1,  3.0, ④④
 4, 4,Ｈマヤノハクビ, 28,塚田祥, 1.1, 48, -10,  -2, 9, 37.1,④⑤④, 4, 1,Ｂバンダムロッシ, 67,中谷雄, 1.1, 65,   1,   3, 1,  3.4,⑨⑧⑥, 4, 8,Ｃオｰスミタキオン, 66,和田竜, 0.4, 57,*-19,  17, 5,  9.8,②②②, 4,15,Ａセイシュンジダイ, 78,赤木高, 0.4, 59, -16,* 21, 5, 16.1, ⑯⑮
 5,11,Ｇトップオブダンス, 31,武幸四, 1.9, 43,* -8, -10, 4,  8.9,③③②, 5, 5,Ｄウリエル, 64,丹内祐, 1.1, 63,*  5,  -7, 9, 22.6,⑯①①, 5, 7,Ｆマイネルバシリコス, 50,橋本美, 0.5, 54,*-19,  15, 6, 25.8,④②②, 5, 4,Ｇアドマイヤソニック, 65,二本柳, 0.5, 63,   4,   1,16,263.7, ⑧⑧
 6, 2,Ｃサンワｰドビジュｰ, 53,吉田隼, 2.4, 38, -12, -10,10, 44.3,⑦⑦⑥, 6, 7,Ｌコメットサンサン, 55,塚田祥, 1.4, 60,  -1,  -1,13,129.2,⑬⑧⑥, 6, 5,Ｅトップオブサンデｰ, 63,赤木高, 1.0, 54, -24,  18, 4,  6.7,⑦⑦⑥, 6, 5,Ｈミスズブライト, 63,生野賢, 0.5, 63,   8,  -4, 7, 19.2, ⑤⑦
