06年 3月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 3月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.9,,,,,■ 7R  ダ1000m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,,■10R  芝1200m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,
 2,14,Ｇサンレイコマンド, 48,幸英明, 0.0, 55,* -6,*  0, 2,  4.1,③①①, 2,10,Ｇリスティアエナｰ, 64,中舘英, 0.1, 57,* -7,   4, 1,  3.4,③②②, 2, 6,Ｃパントマイミスト, 68,武幸四, 0.3, 69, -10,* 17, 6, 19.6,④③③, 2, 5,Ａワンマンシャチョウ, 76,川田将, 0.0, 69,*  2,   5, 1,  2.2,②②①
 3, 9,Ｂタイインテンスリｰ, 51,中谷雄, 0.1, 55,  -7,*  1, 7, 12.8,⑤⑤③, 3, 5,Ｋチャッティｰギャル, 58,丹内祐, 0.6, 50,* -8,  -1,10, 35.9,②②②, 3,13,Ｂマイティｰサンダｰ, 70,鮫島良, 0.8, 58, -11,  10, 3,  8.5,④③③, 3, 4,Ｄガラディナｰ, 68,藤岡佑, 0.0, 70,*  1,   8,11, 50.3,③④⑤
 4, 5,Ｄオｰシャンビュｰ, 50,鮫島良, 1.1, 45, -12,  -5, 4,  6.3,⑪⑨⑨, 4, 2,Ｈキｰステｰジ, 62,上野翔, 0.7, 51, -11,   2, 4,  7.4,⑧⑨⑨, 4,14,Ｄフジタカモニュマン, 66,野元昭, 1.0, 59, -10,  11, 5, 16.0,⑦⑥⑤, 4, 3,Ｅヤマカツピレネｰ, 68,田嶋翔, 0.1, 71,  -1,  11, 6, 18.5,⑦⑧⑥
 5, 6,Ｃコスモハバネｰロ, 50,柴山雄, 1.2, 47,  -9,  -6, 1,  3.7,⑦⑧⑧, 5, 3,Ｍテイエムハナフブキ, 54,芹沢純, 0.7, 51,* -6,  -2,14,104.5,①①①, 5, 7,Ｎハギノトリオンフォ, 22,幸英明, 1.1, 58, -10,  10, 9, 27.7,④⑥⑦, 4,13,Ｇアｰバンエスケｰプ, 66,柴山雄, 0.1, 70,  -1,  11, 4, 10.9,⑩⑧⑥
 6, 2,Ｌサｰガキャスケｰド, 37,村田一, 1.2, 49, -13,*  1,12,137.3,⑯⑬⑩, 6, 7,Ｊハネダキセキ, 61,石橋脩, 0.8, 55, -12,*  6, 8, 30.7,⑭⑬⑬, 6, 8,Ｆバブルサウンド, 64,嘉藤貴, 1.2, 57, -11,  10, 4, 15.3,⑩⑥⑦, 6, 6,Ｌランドフラッグ, 64,高橋亮, 0.2, 70,  -2,* 13,12, 99.7,⑩⑪⑨
 7,10,Ｈヒルノラポストｰル, 47,西田雄, 1.7, 42,  -7, -14,11,109.8,⑤⑤⑤, 7, 9,Ｏコスモソング, 51,柴山雄, 0.8, 56, -12,*  7,13, 89.0,⑮⑭⑭, 7, 3,Ｇバスタｰヒリュウ, 63,村田一, 1.4, 56, -12,  10,10, 50.6,⑬⑪⑪, 7,10,Ｆスズサンシャイン, 67,村田一, 0.2, 70,  -4,* 17,10, 44.9,⑭⑬⑬
 8,16,Ａテイエムパンサｰ, 52,上野翔, 2.1, 36,  -9, -19, 3,  6.0,⑦⑤⑤, 8,14,Ｂエイダイダンツ, 67,岩崎祐, 0.8, 50,* -7,  -2, 2,  3.6,③④④, 8, 5,Ｈネバｰエンディング, 62,丹内祐, 1.4, 51, -10,   5, 2,  4.9,③③⑤, 8,12,Ｈマイハッピｰクロス, 65,中舘英, 0.3, 66,*  2,   2, 2,  4.2,③②①
 9,11,Ｍワンダｰアイアン, 27,小島太, 2.6, 35, -17,  -9,13,245.4,⑩⑮⑮, 9, 6,Ｎベルモントセレブ, 53,二本柳, 0.9, 50,  -8,  -2, 9, 35.6,⑥⑤④, 9, 2,Ｌトウショウシュｰト, 58,大野拓, 1.4, 52, -13,   7,13,173.5,⑪⑨⑦, 9, 2,Ｎロングヘラクレス, 62,渡辺薫, 0.5, 67,  -3,  10, 5, 15.0,⑩⑪⑪
10, 4,Ｉマイティｰキラｰ, 46,内田浩, 2.9, 31,* -5, -29, 8, 17.2,①①③,10, 4,Ｆニシノジャンヌ, 64,吉田隼, 0.9, 47,  -9,  -3,12, 66.0,③⑤④,10,11,Ｅラヴォラトｰレ, 65,佐藤聖, 1.5, 51, -13,   7, 7, 23.6,⑦⑪⑩,10,15,Ｉツキノオウジャ, 65,石橋脩, 0.6, 66,  -4,  11, 9, 37.6,⑯⑬⑬
11,15, スラムダンク,---,芹沢純, 2.9, 33, -12, -17, 9, 61.4,⑪⑩⑫,11, 1,Ｄシャイニンブルｰ, 65,村田一, 1.1, 54, -14,*  7, 6, 14.0,⑪⑮⑮,11, 4,Ｍツルギフェロン, 53,小島太, 1.8, 51, -15,   9,14,284.7,⑭⑬⑫,11,17,Ｋトｰセンエｰル, 65,上野翔, 1.1, 59,  -4,   3, 7, 20.7,⑭⑬⑬
