06年 6月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 6月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.2,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.2,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4.6,,,,
 5, 4,Ｇフサイチサルサ, 30,秋山真, 1.2, 37, -22,   1, 4, 15.2,⑩⑥⑦, 5, 6, ヴィヴァｰチェ,---,四位洋, 1.0, 43,   1, -16, 6, 24.6, ④④, 5, 5,Ｄジェイケイワンダｰ, 60,菊沢隆, 1.1, 58,  -7,   8, 7, 26.5,⑤④⑤, 5, 6,Ｆテンケイ, 79,塚田祥, 1.6, 75,   5,  11, 6, 55.0,⑦⑦⑤
 6, 7,Ｈヤクモボｰイ, 29,郷原洋, 1.2, 34,*-21,  -2, 9, 89.0,⑧③④, 6, 7, カネスマスキュリン,---,藤岡佑, 1.2, 38, -10, -11, 9, 28.2, ⑦⑦, 6, 6,Ｃエランセ, 60,芹沢純, 1.1, 63, -10,* 14, 2,  3.4,⑤⑨⑨, 6, 7,Ｃモンテタイウン, 84,四位洋, 1.7, 75,   7,  10, 4, 12.1,⑤⑤⑤
 7, 6,Ｃウレシイ, 41,木幡初, 1.4, 36, -24,   1, 7, 39.6,⑩⑨⑦, 7, 4, デヴィッドバロｰズ,---,柴山雄, 1.6, 41,*  4, -24, 8, 26.9, ②③, 7, 7,Ｅライトモｰション, 56,塚田祥, 1.3, 52,  -8,   5, 5, 17.9,⑤④③, 7, 5,Ｇトシザボス, 71,津村明, 2.4, 65,   8,   0, 5, 53.2,④③④
 8,10,Ｉスキンファクシ, 27,鹿戸雄, 1.7, 33, -25,   0, 8, 81.4,⑫⑫⑩, 8, 1, コスモプチデモン,---,鹿戸雄, 1.9, 31, -18, -13,11, 78.6, ⑩⑨, 8, 1, スイｰツカレント,---,山口竜, 2.0, 47,  -6,  -3, 9,151.1,⑨③⑤,,,,,,,,,,,,
 9, 2, スリｰクリプト,---,小林徹, 3.0, 22, -23, -14, 6, 20.8,⑥⑨⑨, 9, 8, ハｰヴァｰド,---,須貝尚, 2.5, 21, -16, -20,10, 31.9, ⑩⑨, 9, 9,Ｈスカイルミエｰル, 49,小林徹, 2.6, 44,  -7,  -7, 8,105.5,③④⑧,,,,,,,,,,,,
10, 5,Ｊワンダｰクロユリ, 25,柴原央, 3.0, 22, -24, -14,13,348.3,⑥⑨⑫,10, 3, キｰランナｰ,---,小林徹, 2.8,-17, -25, -17,12,107.8, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
11, 1,Ｋナムラウイナｰ,  8,武幸四, 3.2, 12, -21, -20,11,112.1,③⑤⑥,11, 2, セレスクラｰジュ,---,横山典, 2.9, 18, -13, -26, 1,  2.5, ⑧⑧,,,,,,,,,,,,,,,,,,,,,,,,
12,13, マグマメイン,---,佐藤哲, 3.4, 11, -23, -19, 5, 19.6,⑨⑧⑩,12,12, ヴァンクｰルリオン,---,黛弘人, 3.3, -6, -16, -30, 5, 10.2, ⑨⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-19 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+16 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:2),,,,,,,,,,,
"単勝:130円 複勝:09=120円 12=2,410円 03=210円 枠連:780円",,,,,,,,,,,,単勝:350円 複勝:11=150円 05=220円 09=650円 枠連:570円,,,,,,,,,,,,"単勝:450円 複勝:03=150円 04=280円 02=120円 枠連:4,060円",,,,,,,,,,,,単勝:310円 複勝:01=150円 02=200円 枠連:0円,,,,,,,,,,,
"馬連:8,810円 ワイド:09-12=3,700円 03-09=290円 03-12=8,340円",,,,,,,,,,,,"馬連:1,240円 ワイド:05-11=470円 09-11=2,660円 05-09=3,140円",,,,,,,,,,,,"馬連:3,350円 ワイド:03-04=900円 02-03=220円 02-04=470円",,,,,,,,,,,,馬連:600円 ワイド:01-02=160円 01-03=120円 02-03=150円,,,,,,,,,,,
"馬単:10,210円 3連複:16,620円",,,,,,,,,,,,"馬単:2,340円 3連複:11,000円",,,,,,,,,,,,"馬単:4,850円 3連複:1,780円",,,,,,,,,,,,"馬単:910円 3連複:190円 3連単:1,640円",,,,,,,,,,,
■ 3R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,,■ 6R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2.5,,,,,■ 9R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-9.2,,,,,■12R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,潮騒特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｈプリティｰキャット, 48,北村友,, 60,  -2,   1, 8, 20.0, ③②, 1, 1,Ａラブリネスオブパリ, 75,藤田伸,, 74,*  3,  12, 1,  2.7,①①①, 1,10,Ｂエアニックス, 63,四位洋,, 73,*  9,   2, 1,  2.9, ②②, 1, 3,Ａレオニダス, 77,武幸四,, 79,   7,* 15, 2,  4.9, ⑤④
 2, 9,Ｎジｰカップマリｰ, 15,池添謙, 0.5, 59, -14,*  9,10, 80.3, ⑨⑨, 2, 6,Ｅロｰリｰポｰリｰ, 62,山口竜, 0.1, 75,*  1,* 13, 5, 11.0,⑥③③, 2, 4,Ａスパｰクチャット, 63,横山典, 0.1, 66,   3,*  4, 3,  5.0, ③③, 2, 4,Ｃモエレフィｰルド, 71,四位洋, 0.2, 76,   8,  10, 6, 10.8, ③③
 3,10,Ｋコンドルウイング, 35,四位洋, 0.7, 51,  -8,   0, 3,  8.0, ⑥⑥, 3, 4,Ｃランタナ, 66,池添謙, 0.2, 76,   0,* 15, 3,  6.1,⑧⑥④, 3, 8,Ｊシルクルフラン, 24,鹿戸雄, 0.3, 65,   4,   2, 9, 62.3, ③⑤, 3, 8,Ｉサムソンハッピｰ, 59,藤岡佑, 0.4, 72,   4,* 12, 9, 42.2, ⑧⑦
 4,12,Ｌルスナイエｰス, 29,佐藤哲, 0.7, 51,  -8,   0,15,172.8, ⑥⑥, 4, 7,Ｂシュウザンアイ, 70,横山典, 0.3, 72,*  2,  11, 2,  2.9,④②②, 4, 7,Ｅアドマイヤレオン, 57,池添謙, 0.3, 63,   1,*  4, 4,  5.6, ⑥⑤, 4, 2,Ｅエアアドニス, 70,柴山雄, 0.6, 72,   9,   5, 8, 37.2, ③④
 5, 6,Ｉゴｰルドシュｰズ, 48,柴山雄, 0.9, 54, -22,* 11,14,139.9, ⑬⑫, 5, 3,Ｆスズカブルｰム, 59,塚田祥, 1.2, 60,  -2,   5, 9, 47.1,④⑥⑥, 5, 5,Ｄエイワンタッチ, 60,藤田伸, 0.4, 62,   0,*  5, 2,  3.1, ⑦⑦, 5, 6,Ｂタイクロｰサ, 73,池添謙, 0.7, 74,* 14,  -2, 4,  7.9, ②②
 6,14,Ｆタイトリスト, 49,藤岡佑, 0.9, 50, -14,   3, 9, 22.7, ⑨⑪, 6, 9,Ｇリスティアエナｰ, 59,木幡初, 1.7, 57,  -1,   2, 4, 10.7,⑦⑥⑤, 6, 1,Ｇテンエイキララ, 54,黛弘人, 0.6, 58,   4,  -6, 7, 28.7, ③③, 6, 7,Ｇヤマトサクセス, 69,柴原央, 1.0, 64,   7,   0, 5,  9.3, ⑤④
 7, 3,Ｄマンダリンリリｰ, 50,塚田祥, 1.0, 44, -18,   1, 6, 13.2, ⑨⑨, 7, 5,Ｉサンゴノウミヲ, 56,柴原央, 2.4, 52,  -3,  -1, 8, 39.7,⑨⑨⑨, 7, 2,Ｆウインクルグラス, 55,北村友, 0.7, 53,  -4,   0,10,128.0, ⑨⑧, 7, 1,Ｈミスタｰケビン, 65,横山典, 1.4, 67,* 17, -15, 1,  2.0, ①①
 8,13,Ｅエプソムバクシン, 49,黛弘人, 1.1, 40,  -8,  -9,12, 97.6, ⑥⑥, 8, 2,Ｈキｰステｰジ, 57,小林徹, 3.0, 49,*  1, -14, 7, 18.4,②③⑥, 8, 3,Ｈラドランデンジャｰ, 53,長谷川, 0.8, 55,  -2,   0, 8, 37.2, ⑨⑧, 8, 9,Ｄナカヤマバスタｰ, 70,木幡初, 1.8, 52,   7, -12, 3,  7.7, ⑤⑦
 9,15,Ｊテイエムオｰカン, 46,千田輝, 1.1, 43,  -2, -12,11, 90.5, ⑤④, 9, 8,Ｄレテ, 62,藤岡佑, 3.0, 49,   1, -13, 6, 12.1,②③⑧, 9, 6,Ｃコスモワイズマン, 62,郷原洋, 0.9, 52,  -1,  -4, 5, 15.0, ⑦⑧, 9, 5,Ｆカネスベネフィット, 70,津村明, 1.9, 49,   1,  -8, 7, 26.1, ⑨⑨
10, 8,Ｃプリキュアアズサ, 53,津村明, 1.1, 43,*  4, -18, 2,  4.3, ②①,,,,,,,,,,,,,10, 9,Ｉビｰビｰカルネ, 50,塚田祥, 1.1, 52,*  8, -19, 6, 17.9, ①①,,,,,,,,,,,,
11, 4,Ｍダンツイスカ, 23,長谷川, 1.2, 46, -21,   5,13,124.4, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12, 7,Ｂアグネスマジカル, 53,藤田伸, 1.2, 42,   0, -15, 5, 11.1, ③④,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13, 1,Ｇトｰセンレジェンド, 48,横山典, 1.2, 43,*  5, -19, 1,  2.4, ①②,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14, 2,Ａホワイトポイント, 58,小林徹, 3.7,-27, -28, -25, 7, 17.9, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,
"単勝:2,000円 複勝:11=890円 09=1,360円 10=260円 枠連:1,300円",,,,,,,,,,,,"単勝:270円 複勝:01=150円 06=250円 04=240円 枠連:1,410円",,,,,,,,,,,,"単勝:290円 複勝:10=130円 04=180円 08=1,090円 枠連:600円",,,,,,,,,,,,"単勝:490円 複勝:03=190円 04=330円 08=830円 枠連:2,330円",,,,,,,,,,,
"馬連:58,390円 ワイド:09-11=11,900円 10-11=3,270円 09-10=7,970円",,,,,,,,,,,,"馬連:1,460円 ワイド:01-06=520円 01-04=470円 04-06=1,200円",,,,,,,,,,,,"馬連:780円 ワイド:04-10=390円 08-10=5,330円 04-08=6,350円",,,,,,,,,,,,"馬連:2,030円 ワイド:03-04=690円 03-08=1,760円 04-08=3,300円",,,,,,,,,,,
"馬単:179,460円 3連複:152,620円",,,,,,,,,,,,"馬単:2,050円 3連複:2,430円",,,,,,,,,,,,"馬単:1,290円 3連複:19,070円 3連単:69,830円",,,,,,,,,,,,"馬単:3,500円 3連複:19,590円 3連単:68,590円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
