06年 7月22日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 7月22日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.1,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6.1,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,,,,,
11, 7,Ｊレスポンスシチｰ, 33,柴原央, 2.6, 28, -12, -20, 6, 53.1, ⑪⑪,,,,,,,,,,,,,11, 7,Ｂマチカネミノリ, 78,北村宏, 3.9, 45,  -5, -13, 2,  5.8,⑩⑦⑩,,,,,,,,,,,,
12, 5,Ｌシゲルシンジラ, 30,小林徹, 3.6, 18,  -8, -31,12,293.1, ⑨⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+16 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+21 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+19 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,
単勝:160円 複勝:04=100円 12=150円 06=130円 枠連:570円,,,,,,,,,,,,単勝:300円 複勝:03=130円 04=110円 06=190円 枠連:410円,,,,,,,,,,,,"単勝:1,090円 複勝:01=150円 09=100円 03=190円 枠連:560円",,,,,,,,,,,,単勝:790円 複勝:06=270円 05=150円 枠連:0円,,,,,,,,,,,
馬連:490円 ワイド:04-12=180円 04-06=150円 06-12=420円,,,,,,,,,,,,馬連:350円 ワイド:03-04=180円 03-06=460円 04-06=340円,,,,,,,,,,,,馬連:490円 ワイド:01-09=210円 01-03=640円 03-09=240円,,,,,,,,,,,,馬連:800円 ワイド:05-06=220円 02-06=240円 02-05=110円,,,,,,,,,,,
馬単:630円 3連複:540円,,,,,,,,,,,,馬単:820円 3連複:850円,,,,,,,,,,,,"馬単:2,080円 3連複:1,050円",,,,,,,,,,,,"馬単:2,410円 3連複:330円 3連単:4,850円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.5,,,,,■ 5R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.3,,,,,■ 8R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2.2,,,,,■11R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,駒ｹ岳特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｃトｰセンレジェンド, 49,横山典,, 64, -14,* 13, 1,  3.5,⑨⑩⑦, 1, 3,Ｄシンゲン, 61,藤田伸,, 61,* -7,*  8, 1,  1.5,①①①, 1, 6,Ｃマイハッピｰクロス, 75,角田晃,, 72, -16,* 27, 3,  3.7,⑧⑦④, 1, 1,Ｄミンナシアワセ, 63,藤岡佑,, 66,   4,*  0, 5, 11.8,⑤③②
 2,10,Ｂハルカッコ, 51,千田輝, 0.1, 49,* -6,  -3, 6,  9.2,①①①, 2, 2,Ｋロｰリエビレッジ, 44,菊沢隆, 0.5, 54,* -8,   4,11,129.9,②②②, 2, 4,Ｂエイシンサリヴァン, 76,藤田伸, 0.1, 55,*-12,  16, 1,  3.4,①①①, 2, 6,Ｆグッドバニラ, 60,横山典, 0.6, 60,   0,*  1, 1,  2.6,⑩⑪⑧
 3, 2,Ｉマイネミニケリｰ, 35,柴山雄, 0.4, 61, -15,* 12, 7, 12.3,⑫⑫⑪, 3, 1,Ｉマイネルマズラｰ, 46,木幡初, 0.7, 53,* -9,   4, 6, 20.7,⑥⑤③, 3, 8,Ａミヤコノカｰン, 77,木幡初, 0.2, 61, -15,  21, 4,  4.5,⑥④④, 3,11,Ｃブルｰフェアプレｰ, 63,古川吉, 0.6, 60,   2,* -1, 3,  5.1,⑨⑧⑤
 4, 7,Ｄフジファレノプシス, 46,木幡初, 0.5, 46,  -8,  -3, 2,  5.5,③④②, 4, 6,Ｎアルクラハ, 35,五十嵐, 0.8, 52, -10,   4, 9, 97.2,⑧⑤③, 4, 3,Ｅロングヘラクレス, 64,武幸四, 0.5, 48,*-13,  12, 7, 50.7,③②②, 4, 3,Ｇスズカブルｰム, 59,津村明, 0.9, 62,*  7, -11, 7, 20.6,①①①
 5,11,Ｅハトル, 42,武幸四, 0.6, 47, -10,   0, 8, 14.4,⑧⑦⑤, 5,10,Ｅヒｰロｰルンタ, 56,小林徹, 1.0, 50, -11,   2, 7, 40.5,⑥⑧⑥, 5, 1,Ｄビッグタキオン, 67,津村明, 0.6, 46, -17,  13, 5, 10.5,⑤④④, 5, 4,Ｌサンゴノウミヲ, 52,柴原央, 1.1, 61,*  7, -12, 9, 42.8,②②②
 6,12,Ｈトゥルｰビュｰティ, 40,藤田伸, 0.7, 44,  -8,  -4, 4,  6.3,⑤④②, 6, 7,Ｌフサイチマジック, 40,武幸四, 1.2, 56, -16,* 11,10, 97.3,⑯⑮⑭, 6, 5,Ｇコスモスパングル, 60,藤岡佑, 0.7, 51, -16,  16, 8,114.5,⑦⑦⑧, 6, 2,Ｋアネモスダダ, 56,菊沢隆, 1.1, 59,   3,  -5,10, 83.9,⑧⑧⑤
 7,13,Ａハギノミネルバ, 53,古川吉, 1.2, 41,* -7, -10, 3,  6.1,③②②, 7,12,Ｈケンブリッジケン, 47,芹沢純, 1.5, 46, -14,   2,13,164.2,⑮⑭⑪, 7, 2,Ｈキングアｰサｰ, 59,横山典, 0.7, 42, -16,  10, 2,  3.5,③④④, 7, 7,Ｂサムタイム, 64,藤田伸, 1.2, 59,   5, -10, 2,  3.7,⑥③④
 8, 9,Ｆラストカレス, 40,北村友, 1.2, 39, -10,  -8,10, 40.1,⑤⑥⑦, 8,15,Ｇメイショウナタリｰ, 50,黛弘人, 1.5, 40, -13,  -3,16,312.7,⑪⑪⑪, 8, 7,Ｆマイネルアルドｰレ, 64,柴山雄, 3.1,-34,*-13, -26, 6, 17.9,②②②, 8,13,Ｈニシノユメヲミセテ, 59,北村宏, 1.5, 56,   3,  -9, 8, 24.3,⑩⑧⑧
 9, 5,Ｇグランドミュｰズ, 40,安藤勝, 1.3, 41, -12,  -4, 5,  9.0,⑩⑨⑦, 9,16,Ｂスナｰクチトセオｰ, 61,柴原央, 1.6, 41, -12,  -3, 5, 16.4,⑫⑪⑩,,,,,,,,,,,,, 9, 9,Ｊタケデンビリｰブ, 57,的場勇, 1.5, 54,  -1,  -5,13,244.0,⑬⑫⑧
10, 8,Ｊフサイチサルサ, 35,秋山真, 1.6, 40, -14,  -2, 9, 26.3,⑩⑩⑫,10,11,Ａラッキｰジンクス, 63,秋山真, 1.6, 39,* -9,  -9, 2,  5.7,⑤⑤⑥,,,,,,,,,,,,,10,10,Ｅアブソルｰトダンス, 61,柴山雄, 2.1, 52,   5, -17, 6, 16.2,④③⑤
11, 4,Ｋグラム, 34,藤岡佑, 1.7, 38, -11,  -8,11, 53.8,⑤⑧⑩,11,13,Ｆコスモベリュｰムト, 52,鹿戸雄, 1.9, 36, -11, -11, 4, 14.4,⑧⑧⑥,,,,,,,,,,,,,11,12,Ｍムギワラボウシ, 51,鹿戸雄, 2.1, 51,   1, -10,12,159.8,⑩⑫⑫
12, 6,Ｌダンスブルｰム, 33,鹿戸雄, 3.1, 13,* -7, -29,12,132.8,②②⑤,12,14,Ｊビッグベアシチｰ, 45,柴山雄, 2.2, 36,* -8, -21, 8, 83.8,②②⑥,,,,,,,,,,,,,12, 8,Ａトｰアセンヒメ, 65,小林徹, 3.3, 43,   4, -28, 4,  9.0,⑥⑦⑫
13, 1, ベルベットフロｰラ,---,小林徹, 6.1,-41, -21, -32,13,299.1,⑬⑬⑬,13, 9,Ｍピｰスオブスマイル, 37,武英智, 2.3, 37,* -7, -24,15,251.4,②②③,,,,,,,,,,,,,13, 5,Ｉデュｰクタイフｰン, 58,黛弘人, 3.5, 39,   4, -33,11,113.5,②③⑧
,,,,,,,,,,,,14, 8,Ｃブラックレガシｰ, 61,四位洋, 2.8, 32, -11, -23, 3,  6.8,⑧⑩⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 4,Ｐトｰホｰレジェンド, 28,郷原洋, 3.7, 17, -13, -31,12,153.8,⑫⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 5,Ｏアロｰレイラ, 29,北村友, 4.0,  5, -17, -31,14,203.4,⑫⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,
単勝:350円 複勝:03=160円 10=250円 02=260円 枠連:880円,,,,,,,,,,,,"単勝:150円 複勝:03=120円 02=1,070円 01=380円 枠連:1,040円",,,,,,,,,,,,単勝:370円 複勝:06=120円 04=120円 08=140円 枠連:0円,,,,,,,,,,,,"単勝:1,180円 複勝:01=280円 06=140円 11=170円 枠連:940円",,,,,,,,,,,
"馬連:1,340円 ワイド:03-10=580円 02-03=880円 02-10=1,640円",,,,,,,,,,,,"馬連:6,330円 ワイド:02-03=1,980円 01-03=570円 01-02=9,600円",,,,,,,,,,,,馬連:560円 ワイド:04-06=180円 06-08=240円 04-08=190円,,,,,,,,,,,,"馬連:1,900円 ワイド:01-06=670円 01-11=1,030円 06-11=310円",,,,,,,,,,,
"馬単:2,310円 3連複:6,280円",,,,,,,,,,,,"馬単:8,650円 3連複:20,180円",,,,,,,,,,,,"馬単:1,160円 3連複:500円",,,,,,,,,,,,"馬単:5,350円 3連複:2,960円 3連単:23,720円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.4,,,,,■ 6R  ダ2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7.5,,,,,■ 9R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.0,,,,,■12R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,立待岬特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｃノｰスベアハｰト, 53,藤岡佑,, 64,  -8,* 13, 3,  5.3,⑦⑥⑥, 1, 7,Ｃアウトオブサイト, 61,北村友,, 63,*  2,  -3, 1,  3.4,①①①, 1, 7,Ｄエアニックス, 77,四位洋,, 81,* 11,  11, 3,  7.4, ①①, 1, 3,Ｄドリｰミｰオペラ, 70,横山典,, 76,   9,*  5, 1,  3.6,⑤⑤⑤
 2, 3,Ｅエドノスキｰ, 43,五十嵐, 0.4, 59,* -3,   0, 5, 17.5,①①①, 2, 3,Ｂクリスタルバッハ, 61,藤田伸, 0.5, 63,   2,  -2, 2,  3.9,③③②, 2, 2,Ｃブランシュネｰジュ, 78,安藤勝, 0.3, 79,   2,* 16, 5,  8.9, ⑤⑥, 2, 5,Ｈアドマイヤカスタム, 65,五十嵐, 0.0, 76,* 11,   2, 6,  9.5,②②③
 3, 4,Ａレイジングザバｰ, 54,藤田伸, 1.2, 53,* -4,  -5, 1,  2.3,②②②, 3,10,Ｈトウショウコｰラル, 54,北村宏, 0.5, 63,   2,  -2, 8, 22.4,⑥③②, 3, 8,Ａブリリアントグレイ, 84,角田晃, 0.5, 75,   0,  14, 2,  2.9, ⑤④, 3, 9,Ａアグネスチャンス, 81,秋山真, 0.1, 71,*  8,  -1, 3,  4.6,②②③
 4, 6,Ｂサンレイマック, 53,武英智, 1.2, 53,* -5,  -4, 2,  3.6,③③③, 4, 9,Ｇスズカフロｰラ, 55,芹沢純, 0.9, 58,  -1,*  0, 9, 53.4,⑧⑦⑤, 4, 1,Ｆサクラプログレス, 71,小島太, 0.6, 70,   8,   5, 6, 13.2, ②②, 4, 8,Ｂタケカワルキュｰレ, 78,安藤勝, 0.2, 74,* 11,  -2, 4,  6.2,②②②
 5, 2,Ｄパブリッシャｰ, 46,安藤勝, 1.5, 52,  -6,  -4, 4,  6.6,⑤④③, 5, 4,Ｅマイネルコレドｰル, 57,五十嵐, 1.0, 57,  -1,  -4, 5,  8.7,⑥⑤⑤, 5, 9,Ｂタイキミュｰズ, 82,藤岡佑, 0.6, 70,   8,   5, 1,  2.8, ②②, 5, 6,Ｋバンブｰユｰロ, 58,武幸四, 0.4, 66,   5,*  2, 9, 66.8,⑩⑧⑧
 6,10,Ｈメジロクロフォｰド, 36,木幡初, 1.6, 51,  -6,  -5, 6, 20.8,⑦④③, 6, 8,Ｉリネンメイン, 54,郷原洋, 1.0, 60,   0,*  0,10, 59.6,⑧⑦⑦, 6, 4,Ｈシセイヒカリ, 69,武幸四, 0.6, 72,   2,  11, 4,  8.8, ⑤⑥, 6, 2,Ｉサワッディ, 63,菊沢隆, 0.5, 68,* 11, -11,10,122.2,①①①
 7, 9,Ｊカナハラインプレス, 28,黛弘人, 2.6, 42, -13,  -6,12,529.6,⑪⑩⑨, 7, 6,Ｆカオリエスペランサ, 55,吉永護, 1.2, 58,*  3, -12, 3,  5.0,②②②, 7, 3,Ｅエアアドニス, 73,柴山雄, 0.6, 75,  -3,* 16, 8, 23.3, ⑧⑧, 7, 4,Ｅワイアットアｰプ, 69,北村宏, 0.6, 69,   9,  -4, 5,  6.9,⑦⑤⑤
 8, 8,Ｇメジャｰタイトル, 37,北村友, 2.7, 40, -10, -12,11,126.6,⑨⑧⑦, 8, 2,Ｄヴイトゥリｰ, 57,木幡初, 2.2, 52,   1, -13, 7, 16.8,③⑤⑦, 8,10,Ｇストロベリｰドｰル, 69,菊沢隆, 1.3, 60,  -6,   8, 7, 22.3, ⑩⑧, 8, 7,Ｆモンブランカフェ, 67,小島太, 0.7, 63,   7,  -7, 7, 14.6,⑤⑤⑤
 9,11,Ｉプリンセススピカ, 36,小林徹, 3.3, 37,  -7, -20, 9, 73.5,⑤⑥⑦, 9, 1,Ａサンライズタイム, 62,秋山真, 2.3, 52,  -1, -10, 4,  5.5,③⑨⑨, 9, 6,Ｊメイショウオブラ, 63,藤田伸, 1.5, 55,   6,  -7, 9, 46.1, ②④, 9, 1,Ｃアグネストレジャｰ, 74,藤田伸, 0.8, 65,   6,  -1, 2,  4.3,⑪⑩⑧
10, 1,Ｌキングメモリｰ, 12,長谷川, 3.6, 36, -10, -17, 7, 28.1,③⑨⑨,10, 5,Ｊマイネルイディオス, 54,四位洋,18.8,-99, -29, -86, 6, 13.6,⑩⑩⑩,10, 5,Ｉスリｰリクエスト, 63,武英智, 1.8, 51,  -5,  -1,10,177.7, ⑧⑧,10,10,Ｊクリノセレブオｰ, 60,山口竜, 1.0, 64,   8,  -6,11,179.4,⑦⑧⑧
11, 7,Ｆケイエスヨシキ, 41,松田大, 3.6, 36, -11, -15,10, 80.7,⑩⑩⑨,,,,,,,,,,,,,,,,,,,,,,,,,11,11,Ｇマイネルマグナｰト, 66,小林徹, 1.8, 55,   6, -15, 8, 43.3,⑨⑩⑪
12,12,Ｋレグルスシチｰ, 25,柴山雄, 3.8, 35, -13, -13, 8, 60.4,⑫⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,
"単勝:530円 複勝:05=160円 03=390円 04=110円 枠連:3,210円",,,,,,,,,,,,単勝:340円 複勝:07=170円 03=160円 10=390円 枠連:580円,,,,,,,,,,,,"単勝:740円 複勝:07=230円 02=340円 08=160円 枠連:1,040円",,,,,,,,,,,,"単勝:360円 複勝:03=170円 05=240円 09=170円 枠連:2,270円",,,,,,,,,,,
"馬連:5,540円 ワイド:03-05=1,750円 04-05=260円 03-04=740円",,,,,,,,,,,,"馬連:660円 ワイド:03-07=260円 07-10=1,260円 03-10=1,130円",,,,,,,,,,,,"馬連:2,560円 ワイド:02-07=810円 07-08=540円 02-08=590円",,,,,,,,,,,,"馬連:2,230円 ワイド:03-05=890円 03-09=530円 05-09=800円",,,,,,,,,,,
"馬単:9,050円 3連複:2,980円",,,,,,,,,,,,"馬単:1,410円 3連複:4,410円",,,,,,,,,,,,"馬単:5,860円 3連複:3,060円 3連単:25,320円",,,,,,,,,,,,"馬単:4,010円 3連複:4,920円 3連単:25,960円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
