06年 6月 4日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 6月 4日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝2000m 3 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9.0,,,,,■ 4R  芝2800m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1700m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.7,,,,,■10R  芝2500m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.7,,,,
11, 9,Ｅメイショウガラシャ, 45,池添謙, 1.4, 45, -10,  -6, 8, 21.6,⑮⑪⑪,11,13,Ｄフィｰルドユウキ, 55,池添謙, 1.2, 54, -20,* 11, 6, 15.1, ⑰⑰,11,16,Ｆダノンヒｰロｰ, 66,北村友, 1.2, 56,*  6, -17,12, 85.2,⑮⑤④,11, 3,Ｌエレスサｰル, 73,熊沢重, 0.8, 67,* 11,   2, 4,  7.7, ③③
12, 5,Ｇホッコｰラブリｰ, 43,川原正, 1.9, 42, -12,  -8,11, 93.4,⑩⑭⑫,12, 5,Ｍフォレストジャガｰ, 40,幸英明, 1.3, 46,   1, -11,10, 32.6, ④④,12,14,Ｋタイクｰン, 62,上野翔, 1.9, 49,   3, -20, 7, 45.4,⑨⑩⑫,12, 7,Ｉフラワリングバンク, 77,赤木高, 0.8, 67,   8,   5,11, 44.4, ⑥⑨
13, 1,Ｊテイエムラブリｰ, 40,和田竜, 2.0, 39,* -4, -21, 9, 36.4,③③④,13,11,Ｌイブキスピカ, 42,服部剛, 1.5, 43,   1, -14,15,179.2, ④⑧,13, 6,Ｈリアルトブリッジ, 65,西田雄, 1.9, 53,   2,  -9,15,210.0,⑭⑰⑯,13,11,Ｒスタｰエルドラｰド, 68,小原義, 0.9, 61,   7,   0,17,115.6, ⑤⑤
14,15,Ｏアラビアンホワイト, 23,長谷川, 2.0, 40, -10, -11,16,526.0,⑩⑪⑫,14,15,Ｊレディフォルツァ, 47,松田大, 1.5, 44, -10,  -3,14,113.4, ⑬⑭,14, 2,Ｅミスタｰジャガｰ, 67,石山繁, 2.2, 50,   4, -19, 6, 39.5,⑦⑭⑭,14,12,Ｄロｰランジェネルｰ, 80,長谷川, 0.9, 67,  -1,  11,12, 49.6, ⑪⑭
15, 7,Ｍパピｰラブ, 34,渡辺薫, 2.1, 40, -10, -11,14,331.8,⑬⑬⑫,15,17,Ｒレインボｰルイス, 13,北村友, 1.5, 41, -19,   1,17,440.8, ⑯⑮,15,12,Ｒシゲルアラムシャ, 40,田村太, 2.8, 42,   1, -28,17,374.9,⑩⑭⑯,15, 4,Ｍショｰストッパｰ, 73,古川吉, 0.9, 63,  -7,  11,15,104.0, ⑮⑯
16,14,Ｉワンダｰランナｰ, 41,秋山真, 5.5, 15, -15, -37,12,125.0,⑨⑯⑯,16,10,Ｏカゼノテイオｰ, 39,芹沢純, 1.5, 44, -12,  -2,11, 62.6, ⑭⑮,16,17,Ｐレイゴｰルド, 54,幸英明, 2.8, 45,*  8, -37,17,374.9,③⑤⑩,16, 9,Ｆエネルマオｰ, 78,和田竜, 0.9, 65,   2,   7, 9, 31.8, ⑨⑪
,,,,,,,,,,,,17, 2,Ｋチョウスキスキ, 47,太宰啓, 1.7, 40,  -2, -14, 9, 25.1, ⑨⑧,17, 4,Ｑセゾンインチｰフ, 41,金折知, 4.4, 35,   6, -56,16,297.6,④⑩⑭,17, 8,Ｐサンドクリｰク, 68,西田雄, 1.3, 59,  -8,  10,18,119.7, ⑰⑰
,,,,,,,,,,,,18,18,Ｐトｰブトップレディ, 32,古川吉, 2.0, 40, -30,*  7,18,637.5, ⑱⑱,18,18,Ｏフジノシノプシス, 56,内田浩, 5.4, 26,*  9, -79,14,202.5,②④⑦,18, 5,Ｑイｰグルスウォｰド, 68,武幸四, 1.4, 58, -13,  12,16,112.2, ⑱⑱
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-4),,,,,,,,,,,
"単勝:980円 複勝:04=330円 13=220円 03=6,110円 枠連:3,570円",,,,,,,,,,,,"単勝:440円 複勝:08=230円 09=320円 06=4,040円 枠連:950円",,,,,,,,,,,,単勝:460円 複勝:11=140円 03=110円 10=690円 枠連:300円,,,,,,,,,,,,"単勝:1,200円 複勝:13=350円 17=2,300円 01=250円 枠連:1,190円",,,,,,,,,,,
"馬連:3,440円 ワイド:04-13=1,080円 03-04=14,890円 03-13=15,800円",,,,,,,,,,,,"馬連:2,340円 ワイド:08-09=1,020円 06-08=14,600円 06-09=20,810円",,,,,,,,,,,,"馬連:280円 ワイド:03-11=200円 10-11=2,650円 03-10=1,650円",,,,,,,,,,,,"馬連:71,010円 ワイド:13-17=13,530円 01-13=1,610円 01-17=13,580円",,,,,,,,,,,
"馬単:7,030円 3連複:93,660円",,,,,,,,,,,,"馬単:3,380円 3連複:170,780円",,,,,,,,,,,,"馬単:1,100円 3連複:5,520円",,,,,,,,,,,,"馬単:94,100円 3連複:181,270円 3連単:1,200,150円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.7,,,,,■ 6R  芝1800m 3 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,,■ 9R  芝1200m 3 歳1000万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.9,,,,,■12R  ダ1700m 4歳上1000万(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-5.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,あじさいｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａフロｰラルジュノｰ, 67,田嶋翔,, 67,*  3,*  3, 4, 11.5, ③③, 1, 5,Ａハンドレッドスコア, 76,長谷川,, 74,  -8,* 21, 1,  2.2,⑬⑨⑧, 1, 6,Ｃナンヨｰノサガ, 72,武幸四,, 84,  14,  10, 3,  7.4, ③③,14, 7,Ｂゴッドセンド, 71,川田将, 0.0, 68,* -1,  11, 4,  7.8,⑩①①
 2, 6, アシゲノキラメキ,---,幸英明, 0.8, 56, -11,*  4, 8, 87.9, ⑫⑩, 2, 8,Ｃミスティックリバｰ, 70,ボス  , 0.1, 78,  -9,* 22, 2,  4.3,⑮⑬⑤, 2,14,Ａマリンフェスタ, 74,川田将, 0.2, 86,* 21,   0, 1,  1.8, ②①, 1, 5,Ｄノボリハウツｰ, 70,川原正,, 74,  -4,* 16,11, 87.3,④⑤④
 3,13,Ｄメディアスナイパｰ, 54,小林徹, 1.0, 55,  -1,  -4, 3,  5.6, ④④, 3,11,Ｉドレスコｰド, 54,赤木高, 0.5, 56,  -5,   7, 4,  8.8,⑤④③, 3,13,Ｎフィｰルドカイザｰ, 54,秋山真, 0.4, 71,   3,* 14, 6, 23.7, ⑩⑩, 2, 9,Ｆフィｰルドルｰキｰ, 68,幸英明, 0.4, 64,* -2,   9, 1,  2.2,②②②
 4, 3,Ｃキャラメルボックス, 63,中舘英, 1.2, 55,* 10, -14, 2,  2.7, ①①, 4, 7,Ｅアスカノヒミコ, 61,渡辺薫, 0.5, 58,  -6,  10,10, 39.2,⑦⑧⑧, 4, 8,Ｈプレザントウインド, 63,赤木高, 0.6, 68,  -3,* 17, 4,  9.4, ⑬⑬, 3, 4,Ｃトｰセンマエストロ, 71,角田晃, 0.4, 73,  -6,* 17, 2,  5.2,⑩⑫⑬
 5, 2,Ｇコランダムシチｰ, 34,北村友, 1.3, 49,  -6,  -7,12,141.6, ⑥⑥, 5, 9,Ｋテイエムミゴテカ, 52,和田竜, 0.6, 54,  -5,   5, 8, 37.6,③④⑤, 5,10,Ｂモエレフィｰルド, 72,本田優, 0.6, 72,  11,   4, 5, 11.6, ⑤⑤, 4, 8,Ｇハウンドコップ, 68,池添謙, 0.8, 60,  -3,   7, 5,  8.8,⑫⑤④
 6, 1, サンクリストバル,---,佐藤友, 1.4, 51,  -1,  -9, 5, 12.0, ④④, 6, 3,Ｎメイショウマボンヌ, 49,酒井学, 0.7, 53,  -5,   4,16,367.2,⑤④③, 6, 4,Ｏファンドリコンドル, 44,熊沢重, 0.7, 66,  -2,* 14,13, 67.5, ⑬⑭, 5, 6,Ｉナカヤマスナイパｰ, 67,秋山真, 0.8, 66,  -6,* 14, 8, 42.1,⑧⑫⑩
 7, 7,Ｅキングシェｰバｰ, 43,北村浩, 1.7, 46,  -8,  -8, 7, 86.7, ⑦⑦, 7,15,Ｐシャラポワ, 46,秋山真, 0.7, 58,  -8,  11, 9, 38.7,⑮⑪⑪, 7, 1,Ｉマルカシリウス, 61,池添謙, 0.9, 70,  14,  -4, 2,  6.6, ③③, 6,15,Ｅタマモガルチ, 70,中舘英, 1.0, 60,  -5,   8, 3,  6.5,⑧⑨⑦
 8, 4,Ｉヒルクライム, 26,太宰啓, 1.8, 45,  -8,  -9, 6, 26.4, ⑦⑦, 8,12,Ｂコスモプラチナ, 73,川田将, 0.8, 50,* -3,  -3, 3,  5.9,②①①, 8,15,Ｅシティボス, 68,川原正, 0.9, 65,   5,   5,14, 70.1, ⑦⑧, 7, 3,Ｎグレイトアロｰ, 60,河北通, 1.1, 58,  -5,   7, 9, 52.7,④⑨⑩
 9,14, マルタカホｰク,---,小坂忠, 1.9, 41, -32,*  6,16,403.3, ⑯⑯, 9,14,Ｏスズカフロｰラ, 48,芹沢純, 1.1, 48,  -5,  -1,12,141.3,⑨④⑤, 9, 2,Ｊツルミトゥインクル, 59,和田竜, 1.0, 64,   6,   2,11, 46.4, ⑦⑥, 8,12,Ｈサンエムテイオｰ, 67,ボス  , 1.1, 57,  -4,   6,10, 78.8,④⑤⑦
10, 5,Ｊワンダｰヘクタｰ, 25,野元昭, 2.1, 42,  -9, -11,14,225.0, ⑦⑦,10, 1,Ｆブラックチｰタｰ, 61,鮫島良, 1.1, 48, -11,   6, 6, 16.7,⑫⑬⑬,10, 7,Ｍフサイチダイナソｰ, 56,ボス  , 1.3, 58,   3,   1, 7, 34.0, ⑩⑩, 9,14,Ｍカシノコｰルミｰ, 60,西原玲, 1.1, 55,* -2,   3,15,158.0,②②②
11,10,Ｈウェｰブマジック, 32,川原正, 2.4, 38,  -8, -15,11,113.7, ⑦⑩,11, 6,Ｇオグリシルク, 60,佐藤友, 1.2, 57, -14,  15, 7, 31.3,⑬⑯⑯,11,12,Ｌトップアｰチ, 56,太宰啓, 1.6, 54,   3,  -4,12, 52.2, ⑩⑫,10,13,Ａスタｰマｰケット, 73,鮫島良, 1.2, 53,  -4,   3, 7, 28.4,⑫⑤④
12,16, ナムラタキオン,---,中村将, 2.7, 30, -20, -12, 9, 97.7, ⑬⑬,12, 4,Ｌルスナイクノイチ, 50,飯田祐, 1.4, 45,  -8,   1,15,330.4,⑨⑪⑪,12, 5,Ｇスマイリングルｰラ, 64,鮫島良, 1.6, 55,  -5,   4,15, 84.9, ⑮⑭,11,10,Ｋイエロｰポケット, 66,熊沢重, 1.6, 55,  -8,   7,14,136.7,⑭⑭⑭
13,11,Ｆサンエムワダッチ, 34,田村太, 2.9, 27, -24, -12,10, 99.0, ⑭⑮,13,13,Ｊアドラｰブルキス, 52,川原正, 1.4, 47, -11,   5,13,175.7,⑨⑮⑬,13, 3,Ｆアインカチヌキ, 67,長谷川, 1.8, 62,* 21, -24, 9, 39.0, ①②,12,11,Ｌパリスゼンショウ, 61,渡辺薫, 1.7, 51,  -5,   3,12,105.5,⑦⑪⑩
