06年 6月18日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 6月18日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.2,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.2,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.8,,,,
 7, 1,Ｆナムラキャラバン, 42,小林徹, 1.4, 49,   2, -13, 8, 28.7, ④④, 7, 7, シンワスタｰコウジ,---,藤岡佑, 2.7, 31, -24,  -4, 7, 70.3, ⑦⑦, 7,11,Ｇマルタラヴ, 59,横山典, 1.9, 48,   6, -23, 7, 11.7,④⑤⑤, 7,10,Ａトップオブサンデｰ, 74,横山典, 0.7, 64,   2,   6, 4,  7.4,⑦⑤④
 8, 3,Ｉプリンセスチケット, 37,黛弘人, 1.7, 39, -24,  -2,12,244.3, ⑩⑩, 8, 3, モデスティｰ,---,横山典, 3.3, 22, -32,  -6, 6, 33.0, ⑧⑧, 8, 9,Ｌジャンボルビｰ, 42,鈴来直, 2.1, 46,   3, -20,12,407.3,⑨⑨⑩, 8, 2,Ｆスｰパｰキャノン, 65,菊沢隆, 0.9, 60,*  5,  -1,10, 59.9,①①①
 9,11,Ｋミツアキタッチ, 30,郷原洋, 1.8, 40, -26,   1,11,217.8, ⑪⑪, 9, 8, ドリｰムオンタｰフ,---,菊沢隆, 6.7,-85, -33, -56, 9,160.6, ⑨⑨, 9, 2,Ｊスタッテン, 57,菊沢隆, 2.2, 44,   0, -17,10, 87.7,⑨⑪⑩, 9, 3,Ｉヒシダブリン, 60,武幸四, 1.1, 61,   1,   5, 8, 56.8,⑦⑨⑦
10,10,Ｅハロｰマイラブ, 43,津村明, 1.9, 43,*  5, -21, 4, 12.0, ②③,,,,,,,,,,,,,10, 4,Ｂスズカシャトル, 65,藤岡佑, 3.2, 39,*  8, -39, 1,  2.7,①②②,10, 8,Ｈマイネルガルニエ, 61,鈴来直, 1.5, 59,  -2,   6,11, 81.5,⑩⑪⑪
11, 6,Ｊフサイチマジック, 31,柴山雄, 1.9, 43,   1, -17, 7, 23.7, ⑤⑥,,,,,,,,,,,,,11, 1,Ｉメイショウンジャロ, 57,藤田伸, 5.5, 26,   5, -56, 8, 19.3,④⑤⑨,11,11,Ｃサクラランサｰ, 71,藤岡佑, 1.9, 57,   4, -12, 1,  2.7,⑤③⑦
12,12, ブルｰムトウショウ,---,古川吉, 2.5, 32, -24,  -7,10, 84.9, ⑪⑫,,,,,,,,,,,,,12, 8,Ｅチョウカイシャトル, 62,木幡初, 8.3,-12,   6, -84, 4,  8.4,②③⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+14 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+15 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-2),,,,,,,,,,,
"単勝:1,740円 複勝:04=490円 05=410円 02=160円 枠連:15,290円",,,,,,,,,,,,"単勝:1,080円 複勝:04=160円 06=280円 05=110円 枠連:11,560円",,,,,,,,,,,,"単勝:1,020円 複勝:10=300円 07=230円 06=260円 枠連:2,860円",,,,,,,,,,,,"単勝:1,160円 複勝:04=310円 09=180円 05=430円 枠連:1,700円",,,,,,,,,,,
"馬連:18,100円 ワイド:04-05=2,980円 02-04=850円 02-05=870円",,,,,,,,,,,,"馬連:6,250円 ワイド:04-06=1,050円 04-05=180円 05-06=410円",,,,,,,,,,,,"馬連:6,740円 ワイド:07-10=2,050円 06-10=1,250円 06-07=750円",,,,,,,,,,,,"馬連:2,370円 ワイド:04-09=820円 04-05=1,800円 05-09=890円",,,,,,,,,,,
"馬単:45,300円 3連複:17,120円",,,,,,,,,,,,"馬単:15,960円 3連複:1,600円",,,,,,,,,,,,"馬単:15,580円 3連複:17,510円",,,,,,,,,,,,"馬単:5,700円 3連複:8,120円 3連単:49,750円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■ 6R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,,■ 9R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.1,,,,,■12R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,基坂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｃマルブツランナｰ, 52,本田優,, 65,  -4,*  8, 2,  2.9,④④④, 1, 7,Ｃメジロカｰル, 64,藤田伸,, 61, -20,  21, 1,  1.7,③③③, 1, 9,Ｂマイノチカラ, 67,藤岡佑,, 68,*  0,   8, 8, 18.0, ③②, 1,12,Ａダンスオブサロメ, 78,秋山真,, 82,  13,   8, 1,  2.9, ③②
 2, 2,Ａサンライズヴァトｰ, 61,秋山真, 0.5, 60,  -3,   2, 3,  4.4,③③②, 2, 1,Ｂロｰリｰポｰリｰ, 64,横山典, 0.2, 62, -22,* 23, 2,  5.2,⑤⑥⑤, 2,11,Ｆステキナブロンコ, 61,木幡初, 0.2, 70, -11,* 16,10, 27.4, ⑫⑪, 2, 8,Ｉメイショウアモｰレ, 61,武幸四, 0.3, 70,  -1,* 17, 8, 22.5, ⑨⑨
 3,10,Ｅラストトレジャｰ, 45,藤田伸, 0.6, 60,  -5,   4, 6, 15.6,⑥⑤⑤, 3, 2,Ｄリスティアエナｰ, 60,木幡初, 0.3, 56, -20,  19, 3,  5.5,③④④, 3,15,Ｅクイｰンアイリス, 63,松田大, 0.2, 67,  -6,* 11, 7, 17.9, ⑩⑦, 3, 2,Ｇアイラブマキシマム, 64,菊沢隆, 0.4, 71,   5,  10, 4,  9.2, ⑦⑥
 4, 6,Ｄジェットバニヤン, 45,菊沢隆, 1.1, 55,* -1,  -7, 5, 11.7,①①①, 4, 4,Ａシルクストレイン, 71,菊沢隆, 0.8, 44,*-19,  12, 4,  5.8,②②②, 4, 4,Ｌチアズガディス, 54,藤田伸, 0.2, 61,*  3,   1, 6, 16.6, ①①, 4, 1,Ｂレッドビｰムシチｰ, 70,藤田伸, 0.6, 73,  13,  -1, 2,  3.3, ③③
 5,11,Ｂレイジングザバｰ, 54,小野次, 1.4, 52,* -2,  -8, 1,  2.8,②②②, 5, 6,Ｇキタノジャジャウマ, 49,郷原洋, 1.0, 43, -20,  13, 7, 78.7,⑤④⑤, 5,10,Ｍアドマイヤソニック, 54,柴原央, 0.4, 64,  -9,* 11,14, 40.5, ⑫⑪, 5, 4,Ｃファインテイオｰ, 69,長谷川, 0.9, 62,  -6,* 12, 3,  7.3, ⑪⑩
 6, 9,Ｋサンタナシチｰ, 30,木幡初, 1.5, 54,  -8,   1, 7, 43.0,⑧⑨⑦, 6, 5,Ｆベルグラｰノ, 55,藤岡佑, 1.2, 41, -22,  12, 5, 16.2,⑧⑥⑦, 6,14,Ａエイワンタッチ, 70,塚田祥, 0.4, 58,  -6,   5, 1,  2.8, ⑥④, 6,11,Ｈニュｰエスサンデｰ, 63,木幡初, 0.9, 64,   8,  -1, 9, 23.8, ⑤⑤
 7, 3,Ｊキングダム, 35,山口竜, 1.7, 51,  -5,  -6,11,211.2,⑦⑤⑥, 7, 3,Ｅグランドホイッスル, 59,津村明, 1.7, 36, -23,   9, 6, 32.3,⑦⑧⑧, 7, 1,Ｈコスモライトアップ, 59,秋山真, 0.6, 58,  -4,   4, 9, 19.1, ⑥⑦, 7, 7,Ｋピクシｰストｰン, 55,山口竜, 1.2, 56,   2,  -2, 6, 13.0, ⑧⑥
 8, 8,Ｆメイショウナタリｰ, 41,古川吉, 1.9, 50,  -6,  -6, 8, 56.6,⑧⑧⑦, 8, 8,Ｈジェンハオサイマ, 49,塚田祥, 1.9, 34,*-21,   1, 8,101.3,①①①, 8, 7,Ｏトップカレント, 49,鈴来直, 0.6, 58,  -4,   4,13, 39.1, ⑥⑦, 8, 9, コンテ,---,小野望, 1.6, 56, -16,  10,12,130.1, ⑫⑫
 9, 7,Ｇミロンガ, 40,柴山雄, 2.9, 42,  -8, -11, 4,  9.8,⑧⑨⑪,,,,,,,,,,,,, 9, 5,Ｎフロｰレスティアラ, 51,本田優, 0.7, 53,*  2,  -4,15, 93.1, ②②, 9, 6,Ｆラドランデンジャｰ, 66,津村明, 1.8, 50,  -3,  -4,10, 58.2, ⑩⑩
10, 1,Ｉラピッドファイヤｰ, 39,塚田祥, 3.7, 33, -10, -20,10,122.4,⑪⑨⑨,,,,,,,,,,,,,10, 2,Ｃバトルハｰトオｰ, 65,山口竜, 0.8, 56, -12,   8, 3,  6.8, ⑭⑭,10, 5,Ｊポンテペルレ, 56,小野次, 1.8, 52,  10, -16,11, 75.9, ⑤⑥
11, 5,Ｈサンデｰリバｰ, 40,郷原洋, 4.9, 26,  -5, -36, 9, 61.6,④⑤⑨,,,,,,,,,,,,,11, 8,Ｊマグナムカフェ, 59,黛弘人, 0.8, 50,  -9,   2,11, 34.2, ⑪⑪,11, 3,Ｅテンカジョウ, 67,本田優, 1.9, 57,* 18, -25, 5, 12.5, ①①
,,,,,,,,,,,,,,,,,,,,,,,,12,13,Ｋアリババシチｰ, 58,小林徹, 0.8, 52,  -5,   0, 4,  8.0, ⑥⑦,12,10,Ｄムｰランルｰジュ, 67,藤岡佑, 1.9, 56,* 16, -23, 7, 13.5, ②③
,,,,,,,,,,,,,,,,,,,,,,,,13, 6,Ｉヤマニンペルセウス, 59,菊沢隆, 0.9, 56, -15,  10,12, 38.5, ⑮⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,12,Ｄノボワｰルド, 63,柴山雄, 1.0, 48,  -4,  -5, 5, 13.5, ⑤④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｇアスカスマイル, 60,長谷川, 1.3, 45,  -2, -11, 2,  5.8, ③④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-26 ﾚｰｽｱｶﾞﾘ指数:+28 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-1),,,,,,,,,,,
単勝:290円 複勝:04=160円 02=180円 10=300円 枠連:740円,,,,,,,,,,,,単勝:170円 複勝:07=100円 01=120円 02=130円 枠連:0円,,,,,,,,,,,,"単勝:1,800円 複勝:09=630円 11=660円 15=620円 枠連:7,310円",,,,,,,,,,,,"単勝:290円 複勝:12=140円 08=470円 02=270円 枠連:1,110円",,,,,,,,,,,
馬連:780円 ワイド:02-04=340円 04-10=920円 02-10=880円,,,,,,,,,,,,馬連:380円 ワイド:01-07=170円 02-07=160円 01-02=240円,,,,,,,,,,,,"馬連:14,280円 ワイド:09-11=4,570円 09-15=3,750円 11-15=3,260円",,,,,,,,,,,,"馬連:2,930円 ワイド:08-12=1,160円 02-12=670円 02-08=2,550円",,,,,,,,,,,
"馬単:1,360円 3連複:2,940円",,,,,,,,,,,,馬単:600円 3連複:400円,,,,,,,,,,,,"馬単:28,340円 3連複:78,070円 3連単:473,020円",,,,,,,,,,,,"馬単:5,220円 3連複:8,710円 3連単:51,000円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
