06年 3月25日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 3月25日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.0,,,,,■ 7R  ダ1800m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1.7,,,,,■10R  芝1200m 4歳上1000万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2.7,,,,
10,11,Ｊフミモエｰス, 43,田面木, 1.4, 39,*-10, -10,12,130.9,②②①,10, 6,Ｐパナックス, 28,岩部純, 1.8, 28, -30,   6,15,513.7,⑯⑯⑰,10,12,Ｊソリッドラヴ, 60,勝浦正, 1.8, 56,  -6,   5, 7, 23.3,⑨⑨⑨,10,12,Ｍアグネスヒット, 60,デムｰ, 0.5, 61,  -5,   8,11, 57.6, ④⑥
11, 1,Ｃネガイヲコメテ, 50,後藤浩, 2.4, 29, -12, -16, 4,  7.9,⑥④④,11, 2,Ｆピュアリクエスト, 46,藤田伸, 1.8, 21, -27,  -3, 8, 43.3,⑧⑧⑦,11, 7,Ｍアクトジロｰ, 46,木幡初, 2.3, 49,  -4,  -4, 8, 30.3,③④⑤,11,10,Ｇエアカエサル, 68,江田照, 0.6, 63, -23,* 23,12, 59.7, ⑬⑬
12, 2,Ｂカンファｰプレス, 52,津村明, 2.5, 28, -15, -14,11, 95.7,⑦⑪⑫,12, 9,Ｍバイタルサイン, 32,津村明, 2.0, 18, -29,  -4,13,424.0,⑩⑩⑦,12, 8,Ｃファイアｰバレｰ, 68,的場勇, 2.3, 47,  -9,   0,11,162.2,⑧⑪⑬,12, 8,Ｌバクシンスペシャル, 62,木幡初, 0.8, 58, -15,  13,13,126.7, ⑩⑩
13, 5, コスモボス,---,的場文, 4.5, 11, -15, -30,13,153.1,⑬⑫⑬,13, 4,Ｌウエスタンフォルス, 34,郷原洋, 2.0, 21, -29,   0,14,429.5,⑪⑭⑫,13, 1,Ｌゴジョウゲン, 51,五十嵐, 3.7, 36,  -7, -14,12,311.3,⑥⑨⑩,13,11,Ｄグラスウェｰブ, 72,勝浦正, 1.0, 53,  -8,   4, 5, 17.9, ⑦⑧
,,,,,,,,,,,,14,12,Ｊグレｰトハｰベスト, 37,蛯名正, 2.5, 10, -26, -15,12,310.8,⑥⑥⑤,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,10,Ｎスパイシｰガｰル, 32,田中剛, 2.5,  7, -25, -18,16,626.6,④④⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,14,Ｅグランドヴィｰナス, 48,五十嵐, 2.5, 16, -32,  -1,10,256.9,⑰⑰⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,15,Ｋオエドニホンバシ, 35,勝浦正, 2.7,  8, -27, -17,17,633.5,⑨⑧⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-4),,,,,,,,,,,
"単勝:2,150円 複勝:04=710円 07=780円 12=1,120円 枠連:12,060円",,,,,,,,,,,,"単勝:1,060円 複勝:13=200円 03=110円 17=110円 枠連:1,510円",,,,,,,,,,,,単勝:250円 複勝:09=130円 10=280円 06=190円 枠連:650円,,,,,,,,,,,,"単勝:1,970円 複勝:09=440円 01=190円 02=570円 枠連:3,690円",,,,,,,,,,,
"馬連:23,280円 ワイド:04-07=5,130円 04-12=6,160円 07-12=8,880円",,,,,,,,,,,,"馬連:1,350円 ワイド:03-13=390円 13-17=330円 03-17=150円",,,,,,,,,,,,"馬連:1,340円 ワイド:09-10=480円 06-09=350円 06-10=990円",,,,,,,,,,,,"馬連:3,310円 ワイド:01-09=1,350円 02-09=3,450円 01-02=1,220円",,,,,,,,,,,
"馬単:54,360円 3連複:253,470円",,,,,,,,,,,,"馬単:3,450円 3連複:760円",,,,,,,,,,,,"馬単:2,020円 3連複:2,590円",,,,,,,,,,,,"馬単:9,200円 3連複:18,240円 3連単:132,840円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,,■ 5R  ダ1800m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.4,,,,,■ 8R  芝3350m 4歳上ｵｰﾌﾟﾝ 別定,,,,,,,,,,,,■11R  芝2500m 4歳上ｵｰﾌﾟﾝ 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾍﾟｶﾞｻｽｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,日経賞 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａファウンテンビｰト, 62,吉田豊,, 67,* -3,*  7, 3,  6.3, ①①, 1,11,Ｄモンヴェｰル, 63,蛯名正,, 63,*-12,  15, 4, 11.9,②①①, 1, 5, テレジェニック,,金子光,,,,, 6, 10.5,⑩⑧⑦, 1, 3,Ａリンカｰン, 93,横山典,, 90,   6,* 25, 1,  1.8,⑥⑤⑤
 2,11,Ｂエプソムメサイア, 58,田中勝, 0.7, 59,  -8,*  5, 2,  3.2, ⑥④, 2, 6,Ｅロトブルｰスタｰ, 63,千葉直, 0.4, 57, -15,  12, 5, 22.2,④④③, 2, 1, カラジ,,スコッ, 0.5,,,, 4,  5.7,⑧⑥④, 2,13,Ｄストラタジェム, 89,デムｰ, 0.2, 90,   3,* 28, 6, 21.3,⑬⑨⑪
 3, 3,Ｊキッズアルタイル, 16,藤田伸, 0.8, 58,* -4,   0, 4,  6.4, ②②, 3,13,Ｂカナハラグロリア, 67,勝浦正, 0.6, 57, -13,  12, 2,  6.8,③④④, 3, 7, マイネルオｰパｰ,,宗像徹, 0.6,,,, 2,  4.4,⑤⑤④, 3, 5,Ｊブルｰトルネｰド, 75,蛯名正, 0.2, 81,*  6,  18, 8, 54.8,③③②
 4, 8,Ｃキラライットウセイ, 49,勝浦正, 0.9, 56, -10,*  5, 6, 29.0, ⑧⑧, 4, 7,Ａアクシオン, 68,柴田善, 0.6, 62, -16,* 17, 1,  1.5,⑦⑦⑥, 4, 8, アインオｰセン,,リデル, 1.0,,,, 3,  5.7,⑤③①, 4, 4,Ｂトウショウナイト, 92,武士沢, 0.3, 85,   4,  23, 4, 10.0,⑧⑦⑧
 5,12, ヒカルラブハｰト,---,横山典, 0.9, 57,* -4,  -1, 1,  2.1, ②②, 5, 9,Ｈヒシハイグレｰド, 54,田中勝, 0.8, 56, -14,  12, 7, 25.9,④⑥④, 5, 4, ストｰムセイコｰ,,穂苅寿, 1.2,,,,13,175.4,③③①, 5, 1,Ｈユキノサンロイヤル, 81,小野次, 0.4, 83,   5,  21, 9, 78.7,⑦⑦⑥
 6, 4,Ｅソニックオｰ, 40,吉永護, 1.5, 51,  -8,  -3, 8, 82.7, ⑥④, 6,12, シナノシャンハイ,---,的場文, 1.1, 48,*-12,   4, 8, 31.8,⑧①①, 6, 9, スｰパｰヒｰロｰ,,五十嵐, 2.1,,,,10, 76.2,⑪⑫⑩, 6,11,Ｆヴィｰタロｰザ, 87,松岡正, 0.5, 82,   3,  21, 7, 32.3,⑩⑨⑧
 7, 5,Ｆトッチンコボ, 35,岩部純, 1.8, 48,  -7,  -7,12,229.3, ④④, 7, 4,Ｆヤクモキャット, 56,デムｰ, 1.2, 60, -19,* 18, 6, 25.5,⑬⑬⑩, 7, 6, パレスチャンピオン,,浜野谷, 2.3,,,, 7, 11.2,①①①, 7, 9,Ｋコスモオｰスティン, 74,勝浦正, 0.5, 74,*  6,  10,10, 93.5,①①①
 8, 2,Ｈリュウアポロン, 33,伊藤直, 2.0, 44, -10,  -6, 9,128.9, ⑧⑨, 8, 2,Ｊクロスビスティｰ, 49,江田照, 1.3, 53, -17,  12,10, 46.7,⑩⑨⑨, 8, 2, メジロアｰビン,,嘉堂信, 2.4,,,,11,100.0,⑬⑬⑪, 8, 6,Ｅコスモバルク, 88,五十嵐, 0.6, 74,*  6,  11, 2,  5.3,②②②
 9,10,Ｇブラックテンエイ, 33,大庭和, 2.0, 45,  -7,  -9,11,207.0, ④④, 9, 5,Ｋアサクサバンザイ, 48,菊沢隆, 1.3, 50, -16,  10,11, 46.9,⑧⑦⑥, 9,12, マｰロス,,ダｰデ, 2.4,,,, 9, 33.2,⑨⑨⑧, 9, 2,Ｌゴｰウィズウィンド, 71,北村宏, 0.7, 73,*  6,  11,11,268.7,⑤③④
10, 7,Ｄカネショウサンデｰ, 45,小林淳, 2.1, 43, -10,  -7, 7, 47.4, ⑧⑩,10, 3,Ｃサンワｰドピラｰ, 63,藤田伸, 2.1, 41, -17,   5, 3,  8.7,⑩⑨⑩,10, 3, コネクトフォｰ,,横山義, 2.6,,,, 8, 15.0,⑪⑩⑧,10, 7,Ｃフサイチアウステル, 91,藤田伸, 1.3, 65,   4,   4, 3,  5.6,④⑤⑥
11, 1, アドルフイモン,---,小野次, 2.3, 40, -19,  -1, 5, 16.8, ⑫⑫,11, 8,Ｇエヒテンヴィｰゼ, 56,五十嵐, 2.4, 38, -17,   2, 9, 35.0,⑩⑨⑩,11,11, フォンテラ,,ラプト, 3.0,,,, 1,  3.9,②②④,11,12,Ｉウエノマルクン, 77,鈴木啓, 1.5, 68,   3,   9,12,340.9,⑪⑬⑫
12,13,Ｉロｰランフェルド, 22,武士沢, 2.9, 35, -14, -12,13,398.1, ⑪⑪,12, 1,Ｉスズカミンクス, 50,津村明, 2.5, 36, -18,   1,12,360.3,④⑨⑩,12,10, キャピタルゲイン,,田中剛, 3.4,,,,12,110.0,⑤⑪⑪,12, 8,Ｇホオキパウェｰブ, 84,後藤浩, 1.8, 65,   4,   4, 5, 11.1,⑫⑨⑧
13, 9, オｰラワｰルド,---,北村宏, 3.5, 27, -19, -13,10,193.7, ⑫⑬,13,10, モルフェワルツ,---,小林淳, 3.5, 21,*-12, -18,13,535.6,①①⑥,13,13, アンジュドゥボモン,,テリア, 9.2,,,, 5,  9.8,③⑦⑪,13,10,Ｍエリモシャルマン, 64,柴田善, 2.6, 50,   3,  -9,13,356.2,⑧⑨⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+20 馬場:稍重(指数:-5),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:96 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-4),,,,,,,,,,,
単勝:630円 複勝:06=150円 11=130円 03=190円 枠連:580円,,,,,,,,,,,,"単勝:1,190円 複勝:11=310円 06=400円 13=270円 枠連:690円",,,,,,,,,,,,"単勝:1,050円 複勝:05=240円 01=190円 07=170円 枠連:3,910円",,,,,,,,,,,,"単勝:180円 複勝:03=120円 13=410円 05=860円 枠連:1,050円",,,,,,,,,,,
馬連:540円 ワイド:06-11=220円 03-06=590円 03-11=460円,,,,,,,,,,,,"馬連:9,440円 ワイド:06-11=2,360円 11-13=1,150円 06-13=1,500円",,,,,,,,,,,,"馬連:3,060円 ワイド:01-05=900円 05-07=560円 01-07=470円",,,,,,,,,,,,"馬連:1,220円 ワイド:03-13=490円 03-05=1,240円 05-13=4,250円",,,,,,,,,,,
"馬単:1,780円 3連複:1,420円",,,,,,,,,,,,"馬単:18,680円 3連複:17,570円",,,,,,,,,,,,"馬単:6,730円 3連複:2,740円",,,,,,,,,,,,"馬単:1,700円 3連複:8,980円 3連単:37,650円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.1,,,,,■ 6R  ダ1200m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4.5,,,,,■ 9R  芝1800m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,,■12R  ダ1800m 4歳上1000万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,山桜賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｄアイアムマイネル, 52,横山典,, 51, -11,*  2, 3,  5.6,⑥⑤⑤, 1, 1,Ａウエスタンウッズ, 83,的場勇,, 79,*  8,*  8, 1,  1.5, ①①, 1, 4,Ｃパッシングマｰク, 59,蛯名正,, 63, -22,* 22, 5, 15.4,③③③, 1, 4,Ｋウエスタンリジ, 66,小野次,, 69,*  1,   8,10, 97.9,②①①
 2, 5,Ｃシンボリタイタン, 52,江田照, 0.2, 51, -13,*  3, 2,  3.3,⑧⑧⑥, 2, 9,Ｂドリｰムソニック, 73,蛯名正, 1.2, 68,   3,   3, 3,  7.9, ⑤④, 2, 7,Ａフェラｰリファイブ, 70,横山典, 0.2, 59, -22,  20, 1,  1.3,④④④, 2, 3,Ｅエドノドリｰム, 71,吉田豊, 0.0, 72,  -2,* 12, 6, 28.1,⑨⑧⑤
 3, 9,Ｇマイネルマキシマム, 37,郷原洋, 0.4, 44,*-10,  -5, 9,127.1,③②④, 3,11,Ｋセンスオブアｰト, 49,松岡正, 1.8, 63,*  6,  -5,10,140.6, ②②, 3, 5,Ｄミストラルクルｰズ, 58,藤田伸, 0.2, 64, -24,* 23, 2,  7.0,⑤⑤⑤, 3, 1,Ｈカネマサデュｰク, 70,北村宏, 0.2, 72,  -3,* 13,16,489.3,⑬⑬⑧
 4, 2, ダイワグラム,---,後藤浩, 0.5, 44,*-10,  -6, 4,  8.8,③②①, 4, 4,Ｄホシノペンタゴン, 69,藤田伸, 1.9, 61,   4,  -5, 2,  5.5, ③③, 4, 1,Ｆスｰパｰキャノン, 56,柴田善, 0.2, 47,*-19,  12, 8,124.7,①①①, 4, 2,Ｃチザルピｰノ, 74,デムｰ, 0.2, 67,   0,   8, 3,  5.3,②③③
 5, 7,Ｉオリオンザピラテス, 28,田中博, 0.6, 40,*-11,  -8,11,432.8,②②①, 5, 2,Ｅバニヤンゴスペル, 67,柴田善, 1.9, 60,   2,  -2, 6, 19.6, ⑥⑥, 5, 6,Ｅダイワバゼラｰド, 57,デムｰ, 0.5, 55, -24,  19, 4, 14.7,⑥⑤⑤, 5,12,Ｍパレスドン, 62,江田照, 0.3, 65,*  1,   4,14,205.8,①①①
 6, 4,Ｅニシノフラッシュ, 49,的場勇, 0.8, 43, -16,  -1, 7, 57.3,⑩⑨⑧, 6,14,Ｊゲイリｰビリｰブ, 53,北村宏, 2.0, 58,   0,  -2,13,540.8, ⑦⑧, 6, 2,Ｈゴｰルデンミシエロ, 48,田中勝, 0.5, 41,*-19,   9, 6, 17.8,②②②, 6, 9,Ａセクシｰシュｰズ, 79,横山典, 0.3, 70,  -4,* 13, 2,  4.3,⑮⑭⑬
 7, 1,Ｂコスモハンブルグ, 54,田中勝, 1.0, 45, -16,   1, 5, 13.4,⑩⑪⑩, 7, 6,Ｈゴｰルドザボｰガｰ, 57,五十嵐, 2.1, 57,  -4,   2, 5, 17.8, ⑩⑨, 7, 3,Ｂダノンウイングス, 68,後藤浩, 0.6, 48, -24,  17, 3,  8.2,⑥⑤⑤, 7,15,Ｆダブルブラザｰ, 71,小林淳, 0.7, 64,  -2,   7, 7, 29.1,⑬⑩⑧
 8, 6,Ｈカナハラグレｰス, 37,五十嵐, 1.2, 36,* -9, -14,10,280.6,①①①, 8,10,Ｉリネンドン, 56,江田照, 2.3, 55,  -5,  -1,14,586.0, ⑩⑨, 8, 8,Ｇブラックランナｰ, 50,吉田豊, 0.8, 47, -25,  17, 7, 44.2,⑧⑧⑧, 8, 8,Ｂデイフラッシュ, 76,藤田伸, 0.7, 62,  -1,   4, 1,  1.8,⑥③⑤
 9,11,Ａディレットｰレ, 61,五十嵐, 1.5, 36, -12, -11, 1,  2.2,⑥⑥⑥, 9, 7,Ｃリブレメンテ, 70,津村明, 2.4, 51,  -7,   0, 4, 12.9, ⑫⑫,,,,,,,,,,,,, 9,16,Ｄデジデｰリオ, 72,五十嵐, 0.9, 61,  -1,   3, 4, 17.3,⑨⑧⑧
10, 8,Ｆニシノセイバｰ, 39,小林淳, 2.1, 29, -12, -16, 8, 57.8,③⑥⑧,10, 5,Ｇトウショウクリｰム, 63,水出大, 2.8, 47,  -2, -11,11,218.6, ⑦⑦,,,,,,,,,,,,,10,10,Ｊロｰランスパイス, 67,勝浦正, 1.3, 56,   0,  -3,11,103.1,④③③
11,10, ネゴシエｰション,---,柴田善, 3.6, 16, -14, -27, 6, 16.4,⑧⑨⑪,11,13,Ｍニシノカイシンゲキ, 41,勝浦正, 3.0, 49,   4, -15, 8, 50.2, ③④,,,,,,,,,,,,,11,13,Ｇシトラスブリｰズ, 70,松岡正, 1.3, 60,  -4,   5, 8, 33.6,⑮⑮⑬
,,,,,,,,,,,,12, 8,Ｆメジロタｰキッシュ, 64,吉田豊, 3.6, 36, -22,   3, 7, 21.7, ⑭⑭,,,,,,,,,,,,,12, 5,Ｌグリシｰナ, 64,五十嵐, 1.8, 51,  -1,  -7,13,132.7,④③⑤
,,,,,,,,,,,,13, 3, エプソムミｰティア,---,的場文, 3.6, 39, -11,  -7,12,510.2, ⑬⑬,,,,,,,,,,,,,13,14,Ｉヒカルアルタイル, 70,田中勝, 1.8, 51,  -2,  -4, 5, 18.0,⑨⑩⑬
,,,,,,,,,,,,14,12,Ｌスズノメガミ, 48,デムｰ, 3.6, 42,  -1, -16, 9, 71.9, ⑨⑨,,,,,,,,,,,,,14, 7,Ｐダンツタイタン, 56,的場文, 1.9, 52,  -2,  -4, 9, 87.8,⑫⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｏニジノカナタヘ, 61,的場勇, 2.0, 49,  -6,  -3,15,325.5,⑧⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 6,Ｎモエレエスポワｰル, 61,柴田善, 2.7, 39,   0, -16,12,112.3,⑥③⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-19 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:稍重(指数:-4),,,,,,,,,,,
"単勝:560円 複勝:03=190円 05=140円 09=1,250円 枠連:790円",,,,,,,,,,,,"単勝:150円 複勝:01=120円 09=190円 11=2,200円 枠連:620円",,,,,,,,,,,,"単勝:1,540円 複勝:04=250円 07=110円 05=150円 枠連:0円",,,,,,,,,,,,"単勝:9,790円 複勝:04=2,050円 03=610円 01=7,260円 枠連:64,780円",,,,,,,,,,,
"馬連:790円 ワイド:03-05=280円 03-09=3,090円 05-09=2,600円",,,,,,,,,,,,"馬連:490円 ワイド:01-09=250円 01-11=2,950円 09-11=8,880円",,,,,,,,,,,,馬連:940円 ワイド:04-07=320円 04-05=830円 05-07=160円,,,,,,,,,,,,"馬連:52,080円 ワイド:03-04=10,730円 01-04=49,930円 01-03=28,430円",,,,,,,,,,,
"馬単:1,820円 3連複:12,080円",,,,,,,,,,,,"馬単:700円 3連複:18,750円",,,,,,,,,,,,"馬単:2,660円 3連複:1,170円 3連単:12,320円",,,,,,,,,,,,"馬単:144,530円 3連複:517,010円 3連単:2,973,160円",,,,,,,,,,,
