06年 1月29日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 1月29日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 4R  芝2930m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3 歳500万(混) 馬齢,,,,,,,,,,,,■10R  芝2400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松籟ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 4, 8,Ｃワイズユｰス, 56,川島信, 0.4, 53, -14,*  6, 5, 10.8,②⑥⑨, 4,14,Ｆアドマイヤミラクル, 48,池添  , 1.2, 53,*  5, -19, 3,  5.4,③③③, 4,11,Ｆカネマサスピｰディ, 62,川島信, 0.2, 72,  -1,* 13, 8, 28.9,⑪⑨⑨, 4,10,Ｆヤマニンシュクル, 83,四位  , 0.1, 89,   1,  27, 2,  4.9,⑧⑦⑥
 5, 2,Ｌウォｰクライ, 31,岩田  , 0.5, 49,*-12,   1, 6, 14.2,④⑤④, 5, 6,Ｂエリモブラスト, 60,渡辺薫, 1.3, 52,   3, -17, 2,  4.1,⑦⑥⑥, 5, 5,Ｂオナｰチェイサｰ, 66,高田  , 0.5, 65,*  5,  -7, 2,  4.6,②②②, 5, 6,Ｇディアデラノビア, 83,武豊  , 0.4, 91,  -6,* 33, 1,  3.0,⑮⑮⑭
 6, 6,Ｇウインカｰムネス, 48,ペリエ, 0.6, 49, -13,   2, 7, 15.3,⑥⑥⑤, 6, 8,Ｄトウカイワンダｰ, 54,本田  , 1.4, 50,   0, -14, 6, 18.1,⑩⑧⑥, 6, 6,Ｅマックスチャンプ, 62,岩田  , 0.5, 66,  -1,  10, 3,  4.7,⑧⑨⑨, 6,14,Ａレクレドｰル, 96,ペリエ, 0.4, 82,   0,  24, 3,  5.6,⑥⑤⑥
 7, 5,Ｅドンプライマシｰ, 53,熊沢  , 0.7, 48, -14,   2, 4,  9.8,⑤⑥⑧, 7, 7,Ｈブルｰマタドｰル, 39,ペリエ, 1.5, 49,  -1, -14, 7, 36.0,⑩⑩⑩, 7, 2,Ｊアグネスモナク, 55,松永  , 0.7, 62,*  5, -10,11, 55.7,①①①, 7, 5,Ｃスナｰクスズラン, 85,岡部誠, 0.5, 83,  -4,  26,13,161.9,⑪⑩⑪
 8, 4,Ｆロフティソル, 51,岡部誠, 0.7, 48, -13,   1,10, 86.7,⑨⑥⑤, 8, 5,Ｅフォレストジャガｰ, 48,幸    , 2.2, 40,*  6, -37, 9, 53.0,②②②, 8, 3,Ｈフォグサイド, 57,熊沢  , 0.8, 62,   3,  -7, 5, 11.3,⑤④③, 8, 9,Ｍオｰスミハルカ, 76,川島信, 0.6, 87,   1,  29, 6, 11.5,⑦⑩⑪
 9, 9,Ｉチキリスラッガｰ, 40,松永  , 0.7, 51, -15,*  5,11,154.6,⑩⑩⑪, 9, 1,Ｉテイエムピュアデｰ, 38,菊地昇, 2.6, 33,*  7, -45,13,307.2,①①①, 9, 8,Ｄアグネスハット, 63,長谷川, 1.0, 59,   2,  -9, 9, 30.4,④④⑥, 9, 2,Ｈトｰセンハピネス, 80,幸    , 0.6, 72,*  1,  15, 8, 33.3,②③③
10,12,Ａカネトシスティｰブ, 59,秋山  , 0.8, 43,*-11,  -4, 3,  7.7,⑥②⑤,10, 9,Ｊクリノブリザｰド, 27,上村  , 2.7, 30,  -1, -33,10, 55.9,⑥⑧⑪,10, 1,Ｇマイネノビア, 61,上野翔, 1.4, 52,*  2, -19, 6, 15.8,②②③,10,16,Ｐアンブロワｰズ, 71,池添  , 0.7, 75,   1,  15,10, 34.4,⑤⑤③
11, 1,Ｍエｰケｰリｰプ, 19,池添  , 0.8, 50, -15,   4, 9, 60.5,⑬⑩⑨,11,10,Ｋヒミノエリカ, 23,小坂  , 3.5, 21,  -6, -36,14,772.3,⑬⑭⑭,11, 9,Ｉサムライワｰルド, 55,藤田  , 4.2, 30,  -9, -25, 7, 17.7,⑩⑪⑪,11,15,Ｌレンドフェリｰチェ, 76,長谷川, 0.8, 81,  -9,* 28,14,174.3,⑯⑯⑯
12,10,Ｊルスナイレッド, 36,石山  , 2.7, 29, -16, -12,13,393.5,⑪⑬⑫,12, 3,Ｌダンシングフロｰラ, 21,秋山  , 4.0, 14,   4, -60,11,140.0,③③⑥,,,,,,,,,,,,,12,11,Ｋアドマイヤメガミ, 79,石橋守, 1.0, 71,  -4,  18,11, 62.7,⑬⑫⑪
13, 3,Ｋスバルファイト, 32,四位  , 2.8, 27, -16, -13,12,247.3,⑪⑩⑫,13,12,Ｍカルメンリング,  9,長谷川, 4.0, 15,  -6, -46,12,296.6,⑫⑬⑫,,,,,,,,,,,,,13, 8,Ｄアズマサンダｰス, 84,秋山  , 1.2, 70,   0,  14, 7, 11.8,⑩⑨⑧
,,,,,,,,,,,,14, 4,Ｎブルｰエルフィン, -3,松永  , 4.2, 12,  -4, -51, 8, 40.0,⑨⑪⑫,,,,,,,,,,,,,14, 1,Ｊオｰゴンサンデｰ, 79,上村  , 1.3, 64,  -1,   9,12, 67.7,⑧⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｉマルタｰズヒｰト, 80,熊沢  , 1.4, 60,*  3,   1,15,262.7,②②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｎヴィフォルテ, 73,渡辺薫, 2.1, 54,  -7,   5,16,282.5,⑪⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:良(指数:-2),,,,,,,,,,,
単勝:170円 複勝:07=120円 11=150円 13=530円 枠連:420円,,,,,,,,,,,,"単勝:1,170円 複勝:02=230円 11=130円 13=190円 枠連:1,010円",,,,,,,,,,,,"単勝:260円 複勝:10=170円 04=300円 07=1,100円 枠連:940円",,,,,,,,,,,,"単勝:680円 複勝:12=220円 04=310円 13=840円 枠連:1,730円",,,,,,,,,,,
"馬連:530円 ワイド:07-11=240円 07-13=1,080円 11-13=2,750円",,,,,,,,,,,,馬連:900円 ワイド:02-11=370円 02-13=910円 11-13=430円,,,,,,,,,,,,"馬連:980円 ワイド:04-10=440円 07-10=1,910円 04-07=3,270円",,,,,,,,,,,,"馬連:1,410円 ワイド:04-12=1,110円 12-13=2,980円 04-13=3,670円",,,,,,,,,,,
"馬単:720円 3連複:5,280円",,,,,,,,,,,,"馬単:2,830円 3連複:2,340円",,,,,,,,,,,,"馬単:1,610円 3連複:10,820円",,,,,,,,,,,,"馬単:3,020円 3連複:22,750円 3連単:52,700円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利 馬齢,,,,,,,,,,,,■ 6R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  ダ1400m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■12R  ダ1400m 4歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾊﾞｲｵﾚｯﾄｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂマｰベラスチｰフ, 51,渡辺薫,, 55,  -9,   2, 3,  5.4,③③②, 1, 4, シロキタベガ,---,藤田  ,, 63,* -5,*  6, 4,  8.7,③②②, 1, 6,Ｃエイシンセイテン, 64,ペリエ,, 77,*  3,* 10, 4,  7.5,①①①, 1, 2,Ｊアンクルリｰサム, 69,四位  ,, 88,   4,* 20, 4,  7.6,⑥⑤④
 2, 4,Ｈウォｰタｰトリトン, 31,菊地昇, 0.0, 54,* -8,   0, 9, 51.3,①①①, 2, 5, ソングオブウインド,---,武豊  , 0.2, 62,  -9,* 12, 1,  2.0,⑨⑥④, 2, 5,Ｂタガノエスペランサ, 64,本田  , 0.3, 75,   1,* 10, 3,  6.4,⑤④②, 2, 4,Ｆヤマノサンデｰズ, 75,上野翔, 0.6, 78,*  5,  10, 8, 27.8,②②②
 3,10,Ｃチャンプイズヒア, 48,岡部誠, 0.1, 54, -10,   2, 4,  5.4,⑥③③, 3, 9, ペケジェイ,---,四位  , 1.2, 52,* -4,  -8, 6, 16.8,②①①, 3, 7,Ｄセイウンワキタツ, 61,松永  , 0.3, 76,   0,* 11, 2,  3.5,④④④, 3,13,Ａエイシンブｰン, 83,武豊  , 1.0, 78,*  5,   8, 2,  5.0,②②②
 4, 7,Ｍヴィｰトヴァンクル,-20,四位  , 0.4, 55, -16,*  6, 2,  4.3,⑩⑩⑨, 4,11, ファイブアロｰ,---,ペリエ, 1.9, 48, -11,  -1, 2,  4.4,⑧⑦⑦, 4, 3,Ｆテンエイヤシャオｰ, 55,池添  , 1.6, 61,  -2,   1, 6, 22.6,⑥⑥⑥, 4, 3,Ｉサイボｰグ, 69,上村  , 1.4, 74,*  6,   3, 3,  6.3,①①①
 5, 8,Ｄオブジディアン, 45,長谷川, 0.6, 50, -15,   1, 6, 14.4,⑨⑨⑥, 5, 2, ロｰレルウェルシュ,---,熊沢  , 2.5, 42,* -5, -19, 3,  7.6,④②③, 5, 4,Ｅコクシムソウ, 61,岩田  , 1.7, 58,   1,  -4, 5, 20.1,③②④, 5, 7,Ｃコレデイイノダ, 76,池添  , 1.4, 73,   2,   8, 5, 13.8,⑤⑥⑧
 6, 1,Ａワンダｰリディア, 53,植野  , 0.7, 46,* -9,  -6, 1,  3.1,②②③, 6, 1, コランダムシチｰ,---,上野翔, 3.2, 35, -12, -17,12,104.8,⑥⑦⑦, 6, 2, シティボス,---,大山真, 1.9, 57,  -2,  -2, 7,110.6,⑥⑥⑥, 6, 1,Ｍトｰホウハヤテ, 64,渡辺薫, 1.4, 74,  -2,* 14,14,255.4,⑪⑫⑪
