06年 4月15日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 4月15日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.5,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.2,,,,,■ 7R  ダ1200m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-0.7,,,,,■10R  ダ1200m 4歳上ｵｰﾌﾟﾝ 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0.4,,,,
,,,,,,,,,,,, 9, 3,Ｉヒシフォｰカス, 16,柴田善, 5.0, 19, -19, -18, 8,145.2,⑩⑩⑩, 9, 5,Ｅコングレス, 66,北村宏, 0.8, 56,  -3,   0, 5,  9.5, ⑬⑫, 9, 4,Ｈマサアンビション, 81,田中勝, 1.4, 74,   1,  13, 7, 43.8, ⑧⑨
,,,,,,,,,,,,10, 2, アイアムコノテイド,---,江田照, 6.1,  6, -17, -33, 9,205.8,⑧⑨⑨,10, 2,Ｊシルクコンプリｰト, 60,嘉藤貴, 0.9, 56,   0,  -4,13,150.1, ⑩⑨,10, 9,Ｇポジティヴトライ, 82,左海誠, 1.6, 73,   1,  11, 9,115.6, ⑧⑦
,,,,,,,,,,,,,,,,,,,,,,,,11,12,Ｆカウンタｰブラスト, 64,小島太, 1.2, 48,  -1,  -8,11, 62.6, ⑩⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12, 9,Ｍリブレメンテ, 55,横山典, 1.3, 53,   4, -11, 6, 11.3, ⑥⑦,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13, 7,Ｌシャｰクブロｰド, 56,左海誠, 1.3, 51,  -3,  -5,14,183.3, ⑬⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,14,Ｎシルクマニフェスト, 54,小林淳, 1.4, 52,   6, -14,12, 99.2, ⑤⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:稍重(指数:-6),,,,,,,,,,,
単勝:180円 複勝:06=100円 04=100円 05=170円 枠連:0円,,,,,,,,,,,,単勝:220円 複勝:10=120円 08=200円 05=170円 枠連:490円,,,,,,,,,,,,"単勝:570円 複勝:01=210円 13=390円 08=200円 枠連:4,910円",,,,,,,,,,,,"単勝:250円 複勝:07=120円 02=330円 03=130円 枠連:1,990円",,,,,,,,,,,
馬連:110円 ワイド:04-06=100円 05-06=220円 04-05=250円,,,,,,,,,,,,馬連:910円 ワイド:08-10=350円 05-10=310円 05-08=580円,,,,,,,,,,,,"馬連:4,870円 ワイド:01-13=1,510円 01-08=640円 08-13=1,250円",,,,,,,,,,,,"馬連:1,830円 ワイド:02-07=670円 03-07=190円 02-03=780円",,,,,,,,,,,
馬単:230円 3連複:330円,,,,,,,,,,,,"馬単:1,400円 3連複:1,700円",,,,,,,,,,,,"馬単:9,490円 3連複:8,940円",,,,,,,,,,,,"馬単:3,170円 3連複:2,200円 3連単:13,380円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.3,,,,,■ 5R  芝2200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.3,,,,,■ 8R  芝1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,,■11R  芝4250m 4歳上ｵｰﾌﾟﾝ 定量,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,桜草特別,,,,,,,,,,,,中山ｸﾞﾗﾝﾄﾞｼﾞｬﾝﾌﾟ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂサクセスガｰウィン, 56,藤田伸,, 64,*-12,* 14, 1,  1.6,③③③, 1,10,Ｆシャラポワ, 45,藤田伸,, 53,*  3,*-21, 3,  6.3,⑤③②, 1, 5,Ｂサチノスイｰティｰ, 66,鈴来直,, 79,  10,*  9, 4,  7.7, ③④, 1,14, カラジ,,スコッ,,,,, 2,  3.2,④②①
 2, 3,Ｅアリマプラウド, 42,和田竜, 0.2, 60,*-11,* 11, 4, 17.4,②①①, 2, 4,Ｄマイネルアントス, 48,佐藤哲, 0.4, 50,*  4, -27, 7, 34.9,⑨③①, 2, 2,Ｃクリムゾンルｰジュ, 64,左海誠, 0.2, 76,  10,   6, 2,  2.9, ③③, 2, 8, テイエムドラゴン,,白浜雄, 0.0,,,, 1,  2.3,⑤②②
 3, 8,Ｃアドリアシチｰ, 44,勝浦正, 0.9, 52, -12,   6, 3, 13.2,④④④, 3, 8,Ｃロットバルト, 52,江田照, 0.4, 50,   0,*-18, 8, 34.9,⑪⑨⑧, 3, 7,Ｄタイセイハニｰ, 62,柴田善, 0.3, 76,* 15,   0, 3,  5.9, ①①, 3, 7, テレジェニック,,金子光, 1.1,,,, 3, 11.3,⑥⑤④
 4, 2,Ａショウナンアガトス, 57,吉田豊, 1.0, 49,*-11,   4, 2,  2.6,①①①, 4, 5,Ａピックアウト, 59,北村宏, 0.6, 48,   2, -26, 6, 22.5,⑦⑥④, 4, 6,Ａサウスティｰダ, 66,横山典, 0.5, 73,* 15,  -4, 1,  1.9, ①①, 4,11, メルシｰエイタイム,,出津孝, 1.9,,,, 4, 13.7,⑨⑦⑥
 5, 5,Ｉウィンディｰタイム, 34,江田照, 2.7, 34, -13, -10, 6, 50.3,④④④, 5, 3, ダブルマイル,---,吉田豊, 1.3, 42,  -1, -27, 9, 39.2,⑪⑫⑨, 5, 3,Ｅケイアイフォｰユｰ, 56,佐藤哲, 0.7, 68,   7,   1, 5, 29.9, ⑤⑤, 5, 4, メジロアｰビン,,嘉堂信, 2.4,,,,13,112.2,⑫⑪⑨
 6, 7,Ｆミツバシｰケンス, 39,松岡正, 2.8, 33, -13, -11, 7, 77.0,④④④, 6, 2,Ｅサンライズダンス, 47,田中勝, 1.3, 40,*  2, -38, 4, 10.1,⑥⑥⑥, 6, 1,Ｆシゲルサンダｰアイ, 45,吉田豊, 1.4, 56,   5,  -8, 6, 49.5, ⑤⑥, 6, 1, ロｰレルデフィｰ,,浜野谷, 2.7,,,,15,132.7,③②⑤
 7, 4,Ｈタマモアテンション, 37,津村明, 3.1, 29, -15, -12, 8,179.1,⑦⑦⑦, 7,13,Ｊマチカネミノリ, 33,横山典, 1.4, 37,*  4, -42, 2,  4.3,④③⑦, 7, 4,Ｇジャスミンフレイズ, 31,松岡正, 2.3, 38,  -9,  -8, 7,108.1, ⑦⑦, 7,10, マイネルオｰパｰ,,宗像徹, 2.7,,,, 6, 17.0,⑨⑩⑦
 8,10,Ｄニシノフラッシュ, 43,佐藤哲, 3.4, 30, -16, -10, 5, 30.3,⑩⑨⑨, 8, 6,Ｋスパイシｰガｰル,  7,田中剛, 1.7, 36,   0, -38,11,239.7,⑨⑨⑨,,,,,,,,,,,,, 8,13, メジロオｰモンド,,林満明, 3.0,,,, 5, 15.9,①①②
 9, 9,Ｇハセノオリヒメ, 37,左海誠, 4.1, 21, -14, -20, 9,192.7,⑦⑦⑧, 9,12,Ｂバｰチャルフォトン, 53,柴田善, 2.0, 32,*  4, -53, 1,  1.8,③②④,,,,,,,,,,,,, 9, 3, マｰロス,,ダｰデ, 3.1,,,,12, 82.1,⑧⑦⑦
10, 1,Ｊシュレッタｰ, 32,黛弘人, 4.3, 18, -18, -20,10,528.8,⑦⑨⑩,10, 1,Ｈコスモベリュｰムト, 40,勝浦正, 2.2, 30,*  5, -57, 5, 17.9,①①②,,,,,,,,,,,,,10, 2, マイネルユニバｰス,,平沢健, 3.3,,,,14,112.3,⑫⑬⑪
,,,,,,,,,,,,11, 7,Ｇダイワアロンダイト, 42,津村明, 2.4, 27,  -2, -47,12,315.5,⑧⑪⑪,,,,,,,,,,,,,11,12, アインオｰセン,,リデル, 3.4,,,,11, 47.6,⑨⑦⑨
,,,,,,,,,,,,12,11,Ｉアプロｰズライト, 37,黛弘人, 7.3,-26,  -1, ---,10,163.7,②⑧⑫,,,,,,,,,,,,,12, 5, メジロベイシンガｰ,,山本康, 4.5,,,, 8, 21.3,⑦⑫⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 6, アズマビヨンド,,高田潤, 6.3,,,, 9, 24.0,⑭⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+21 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-17 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,
"単勝:160円 複勝:06=110円 03=270円 08=230円 枠連:1,190円",,,,,,,,,,,,"単勝:630円 複勝:10=280円 04=630円 08=630円 枠連:3,150円",,,,,,,,,,,,単勝:770円 複勝:05=240円 02=170円 枠連:0円,,,,,,,,,,,,単勝:320円 複勝:14=130円 08=120円 07=220円 枠連:410円,,,,,,,,,,,
"馬連:1,260円 ワイド:03-06=390円 06-08=400円 03-08=1,050円",,,,,,,,,,,,"馬連:11,450円 ワイド:04-10=2,440円 08-10=1,860円 04-08=3,510円",,,,,,,,,,,,馬連:930円 ワイド:02-05=280円 05-07=420円 02-07=260円,,,,,,,,,,,,馬連:460円 ワイド:08-14=230円 07-14=490円 07-08=480円,,,,,,,,,,,
"馬単:1,500円 3連複:2,940円",,,,,,,,,,,,"馬単:19,640円 3連複:47,990円",,,,,,,,,,,,"馬単:2,190円 3連複:1,120円",,,,,,,,,,,,"馬単:1,200円 3連複:1,360円 3連単:5,040円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,,■ 6R  芝1600m 4歳上1000万(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0.6,,,,,■ 9R  芝1600m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1.6,,,,,■12R  ダ1800m 4歳上1000万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,舞浜特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａミサトアロｰ, 53,津村明,, 58,*  7, -11, 8, 40.2, ①①, 1, 7,Ｄプリモスタｰ, 73,藤田伸,, 65,*-11,  16, 2,  4.1,①①①, 1,10,Ｃアイリッシュホｰク, 70,横山典,, 76,   7,   8, 1,  2.3,⑨⑦⑦, 1, 5,Ｅオｰロブライト, 72,佐藤哲,, 73,* 13,  -6,12, 72.6,①①①
 2, 3,Ｈレインボｰデザイア, 38,田中勝, 0.0, 59,*  8, -10, 2,  3.8, ①①, 2, 4,Ｂサイレントアスク, 76,横山典, 0.0, 65,*-11,  16, 1,  1.5,③①①, 2, 8,Ｆダイワレキシントン, 69,北村宏, 0.3, 72,   6,   5, 2,  5.7,⑦⑦⑦, 2,14,Ｌハウンドコップ, 62,横山典, 0.4, 70,  10,  -5, 4,  6.5,②②②
 3, 7,Ｅオンワｰドリリカ, 41,江田照, 0.1, 57,   5,  -8, 7, 19.1, ④④, 3, 5,Ａギミｰシェルタｰ, 77,柴田善, 0.1, 67, -14,  19, 3,  4.5,④③③, 3, 1,Ｇマイネコンテッサ, 68,松岡正, 0.4, 72,   3,* 10, 3,  7.2,⑩⑪⑩, 3,11,Ｈナカヤマスナイパｰ, 70,松岡正, 0.8, 68,   4,*  3,11, 45.4,⑬⑫⑪
 4, 5,Ｄカシノロイヤル, 48,吉永護, 0.1, 58,   7, -10, 5, 14.1, ③③, 4, 2,Ｃヤマニントゥドロワ, 74,田中博, 0.7, 59, -22,* 18, 4, 18.6,⑦⑦⑥, 4, 9,Ｋフレッチアドｰロ, 60,左海誠, 0.4, 70,   6,   4, 6, 15.3,⑦⑦⑨, 4,12,Ｃエドノドリｰム, 73,和田竜, 0.9, 67,   5,  -1, 3,  6.3,⑨⑨⑧
 5,10, トｰセンレジェンド,---,横山典, 0.3, 53,  -4,* -2, 1,  3.3, ⑧⑧, 5, 1,Ｅデュアルライフ, 65,北村宏, 0.7, 58, -17,  16, 5, 43.1,⑥⑥⑥, 5,11,Ａシルクストレイン, 75,田中勝, 0.5, 70,   9,  -2, 7, 16.4,④④④, 5,13,Ｄカネマサデュｰク, 72,北村宏, 1.0, 66,   5,  -1, 8, 16.7,⑫⑪⑩
 6, 2,Ｆカナハラグレｰス, 41,柴田善, 0.4, 51,  -4,* -3, 6, 17.6, ⑧⑨, 6, 6,Ｆニジノカナタヘ, 56,松岡正, 1.1, 44, -13,   2, 6, 94.4,①③③, 6, 2,Ｅホシノペンタゴン, 69,小林淳, 0.5, 69,   9,  -2, 9, 27.6,②④⑥, 6, 7,Ｉシャコｰミリオン, 69,藤田伸, 1.1, 67,   6,  -3, 2,  6.0,⑩⑨⑥
 7,11,Ｃカズサハｰト, 52,勝浦正, 0.4, 53,   2,  -9, 4,  4.5, ⑥⑥, 7, 3,Ｇスコｰピオンリジイ, 42,小林淳, 1.4, 41, -15,   2, 7,167.0,⑤⑤⑤, 7, 7,Ｂムｰンフェイズ, 71,勝浦正, 0.5, 70,   2,   8, 4,  9.4,⑩⑪⑩, 7, 2,Ｆヤマノサップ, 71,勝浦正, 1.4, 62,   7,  -8, 9, 16.8,⑥⑥⑧
 8, 1,Ｂパッションルンバ, 52,藤田伸, 0.7, 51,   5, -14, 3,  4.1, ④④,,,,,,,,,,,,, 8, 5,Ｌベイリｰフ, 59,津村明, 0.6, 66,* 10, -10,13,155.6,②①①, 8,10,Ｇグランドハリケｰン, 71,吉永護, 1.4, 63,   3,  -2, 7,  8.7,⑬⑬⑬
 9, 9,Ｉオンワｰドアリア, 33,郷原洋, 1.5, 40,  -5, -13, 9,180.7, ⑩⑩,,,,,,,,,,,,, 9, 4,Ｄナムラシｰザｰ, 70,和田竜, 0.6, 69,  -1,* 13, 8, 24.2,⑩⑭⑫, 9, 6,Ａスマｰトカイザｰ, 76,田中勝, 1.9, 60,   7, -14, 6,  8.5,⑦⑥④
10, 8,Ｇプリヴェｰリング, 40,黛弘人, 1.6, 38,  -1, -20,10,296.6, ⑦⑦,,,,,,,,,,,,,10,14,Ｎエプソムブリッジ, 49,江田照, 0.7, 68,* 12, -10,14,461.6,①①①,10, 4,Ｂリッチスマイル, 74,柴田善, 2.4, 55,   8, -21, 1,  4.7,⑤④④
11, 6,Ｊグリュックフェｰ, 18,田中博, 4.5,  4, -14, -37,11,345.9, ⑪⑪,,,,,,,,,,,,,11, 3,Ｉサクラトライアンフ, 64,藤田伸, 0.8, 67,   9,  -7, 5, 11.3,④④④,11, 3,Ｎダンツタイタン, 57,左海誠, 2.6, 53,   7, -18,13, 76.3,⑦⑧⑪
,,,,,,,,,,,,,,,,,,,,,,,,12,13,Ｍメジロコルセア, 55,吉田豊, 0.9, 66,   1,   6,10, 29.4,⑭⑬⑫,12, 9,Ｊユメノシルシ, 68,吉田豊, 3.1, 50,  11, -31, 5,  8.4,②②③
,,,,,,,,,,,,,,,,,,,,,,,,13,12,Ｈラドランデンジャｰ, 67,柴田善, 1.0, 64,* 10, -11,12, 42.6,④③③,13, 1,Ｋパレスドン, 65,江田照, 3.2, 49,   9, -29,10, 23.3,④④⑥
,,,,,,,,,,,,,,,,,,,,,,,,14, 6,Ｊコクサイトップラヴ, 60,田中剛, 2.5, 44,   5, -25,11, 30.8,⑩⑩⑫,14, 8,Ｍミシシッピｰハｰト, 61,田中剛, 4.9, 37,   1, -31,14,255.1,⑩⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+19 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:-4),,,,,,,,,,,
"単勝:4,020円 複勝:04=840円 03=230円 07=580円 枠連:7,980円",,,,,,,,,,,,単勝:410円 複勝:07=140円 04=110円 枠連:0円,,,,,,,,,,,,単勝:230円 複勝:10=120円 08=150円 01=180円 枠連:400円,,,,,,,,,,,,"単勝:7,260円 複勝:05=2,040円 14=300円 11=1,080円 枠連:1,650円",,,,,,,,,,,
"馬連:6,970円 ワイド:03-04=2,130円 04-07=4,370円 03-07=970円",,,,,,,,,,,,馬連:220円 ワイド:04-07=110円 05-07=130円 04-05=120円,,,,,,,,,,,,馬連:650円 ワイド:08-10=240円 01-10=320円 01-08=640円,,,,,,,,,,,,"馬連:40,780円 ワイド:05-14=9,890円 05-11=23,890円 11-14=4,880円",,,,,,,,,,,
"馬単:20,790円 3連複:22,380円",,,,,,,,,,,,馬単:710円 3連複:160円,,,,,,,,,,,,"馬単:1,090円 3連複:1,260円 3連単:4,060円",,,,,,,,,,,,"馬単:100,360円 3連複:373,530円 3連単:2,673,430円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
