06年 7月 9日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 7月 9日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.2,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,巴賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂタマモヘヴン, 52,黛弘人,, 54,  -4,*  0, 4,  9.1, ⑦⑤, 1, 6, ウインボｰルド,---,藤田伸,, 57,* -1,* -5, 3,  6.0,④②②, 1, 5,Ａハセノダンディ, 72,塚田祥,, 77,*  5,* 10, 3,  5.6,②②①, 1,11,Ｃモノポｰル, 82,木幡初,, 81,  12,   7,10, 57.0,③③②
 2,10,Ｃワンモアチャンプ, 50,四位洋, 0.1, 60,   4,  -4, 2,  2.9, ③③, 2, 3, セントラルカフェ,---,武幸四, 0.1, 56,* -2,* -5, 1,  1.7,⑤④③, 2, 6,Ｂインスパイアリング, 69,長谷川, 0.8, 71,   4,*  7, 2,  3.7,④④③, 2, 2,Ａエリモハリアｰ, 86,安藤勝, 0.0, 83,  11,  12, 1,  2.2,⑤⑤⑤
 3, 8,Ｇツルマルケン, 47,柴山雄, 0.3, 52,  -8,*  2, 5, 14.4, ⑪⑧, 3,13, マンハッタンスカイ,---,柴山雄, 0.3, 53,  -3,* -5, 4, 13.2,⑧⑤③, 3, 8,Ｃホｰマンブラヴォｰ, 69,藤田伸, 1.9, 64,   6,  -5, 1,  1.8,②③②, 3,14,Ｆブルｰトルネｰド, 80,秋山真, 0.0, 81,* 14,   4, 3,  6.2,②②②
 4,12,Ａセクシｰクィｰン, 66,菊沢隆, 0.6, 63,* 10, -13, 1,  2.6, ①①, 4, 2, ハストラング,---,四位洋, 0.5, 50,  -5,* -5,10,114.0,⑪⑨⑦, 4, 3,Ｉツルガオカアサヒ, 51,鹿戸雄, 2.2, 60,   3,  -2, 9, 81.5,⑥⑥⑤, 4,12,Ｅシェイクマイハｰト, 81,柴山雄, 0.2, 79,   6,* 16, 7, 21.3,⑩⑩⑦
 5, 4,Ｊホワイトポイント, 44,津村明, 0.8, 50,   2, -10, 7, 31.0, ④③, 5,11, キンショｰジェット,---,藤岡佑, 0.8, 47,  -3, -13,12,156.0,②⑤⑥, 5, 9,Ｈデルマジュピタｰ, 55,秋山真, 2.3, 58,  -1,   3, 8, 54.3,⑥⑨⑨, 5, 1,Ｇストｰミｰカフェ, 79,四位洋, 0.3, 79,* 18,  -7, 2,  4.9,①①①
 6, 1,Ｄカズサハｰト, 48,木幡初, 0.9, 50, -16,*  1, 8, 32.7, ⑫⑫, 6, 5, メジャｰオブラヴ,---,長谷川, 1.6, 38,  -7, -17, 5, 30.2,⑬⑫⑫, 6, 2,Ｆレオシュガｰ, 57,藤岡佑, 2.6, 56,   0,  -2, 5, 22.7,④⑦⑦, 6,13,Ｉセフティｰエンペラ, 76,長谷川, 0.3, 79,  11,   8, 5, 14.1,⑤⑤⑤
 7, 6,Ｈハシリタガｰル, 46,塚田祥, 1.0, 51,*  6, -16, 9, 37.4, ②②, 7, 1, ヤマノブルｰグラス,---,塚田祥, 1.8, 33,  -5, -29, 8, 41.4,⑥⑤⑦, 7, 7,Ｄウリエル, 60,武幸四, 2.7, 57,   4,  -9, 6, 46.3,⑧⑤⑤, 7, 8,Ｄアスクジュビリｰ, 81,横山典, 0.4, 77,   6,* 14, 6, 15.6,⑩⑩⑫
 8, 7,Ｉアンクルマックス, 46,芹沢純, 1.0, 44,  -5,  -7,10, 52.9, ⑨⑧, 8, 9, プレｰザヒｰロｰ,---,松田大, 2.0, 34,* -1, -34, 9,110.2,②①①, 8, 1,Ｅワｰルドレコｰド, 59,四位洋, 2.8, 56,*  6, -16, 4,  7.4,①①④, 8, 9,Ｈコスモテナシャス, 77,藤岡佑, 0.5, 75,   8,   9,11, 58.6,⑧⑧⑦
 9, 3,Ｋヒカルファンタジｰ, 43,鹿戸雄, 1.6, 38,  -5, -13,11,224.0, ⑨⑧, 9,10, マイネルピｰク,---,木幡初, 2.3, 31,  -5, -32, 7, 37.6,⑩⑨⑩, 9,10,Ｇキラウエアシチｰ, 56,木幡初, 3.5, 50,   1, -12, 7, 47.3,⑨⑦⑦, 9, 3,Ｂマチカネメニモミヨ, 84,藤田伸, 0.5, 77,   9,   9, 4,  7.5,⑧⑧⑦
10, 2,Ｅタイセイルｰラｰ, 48,藤岡佑, 1.8, 39,   3, -20, 3,  6.1, ④⑤,10, 8, エネルクルｰ,---,鈴来直, 2.4, 30,  -5, -32,13,190.1,⑪⑨⑪,10, 4,Ｊカモンネイチャ, 48,菊沢隆, 4.0, 45,  -2, -13,10,112.0,⑨⑨⑩,10, 6,Ｌロｰドフラッグ, 74,武幸四, 0.6, 74,  12,  -2,12, 63.2,③③④
11,11,Ｆアグネスマジカル, 47,藤田伸, 2.3, 32,   1, -24, 6, 16.1, ④⑤,11, 4, グロｰリｰバッハ,---,安藤勝, 2.5, 30,  -7, -30, 6, 36.3,⑨⑫⑫,,,,,,,,,,,,,11, 4,Ｊマイネソｰサリス, 76,津村明, 0.7, 75,   6,  11, 9, 45.8,⑩⑩⑪
12, 9,Ｌブルｰムトウショウ, 27,古川吉, 3.1, 21,  -4, -29,12,301.5, ⑧⑪,12, 7, スプリングタイド,---,秋山真, 2.7, 28,  -2, -42,11,123.4,⑥⑤⑦,,,,,,,,,,,,,12, 7,Ｎモエレエスポワｰル, 60,山口竜, 0.7, 73,  10,   1,13, 88.5,⑤⑤⑦
,,,,,,,,,,,,13,12, レッドベリル,---,横山典, 3.6, 22,* -1, -58, 2,  4.0,①②③,,,,,,,,,,,,,13,10,Ｋトウカイハッスル, 75,菊沢隆, 0.7, 73,   4,* 13, 8, 42.7,⑬⑭⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 5,Ｍホウザングラマｰ, 71,塚田祥, 1.1, 69,   7,   3,14,279.3,⑬⑩⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+15 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:4),,,,,,,,,,,
単勝:910円 複勝:05=210円 10=140円 08=320円 枠連:830円,,,,,,,,,,,,単勝:600円 複勝:06=150円 03=110円 13=230円 枠連:580円,,,,,,,,,,,,"単勝:560円 複勝:05=140円 06=120円 08=110円 枠連:1,490円",,,,,,,,,,,,"単勝:5,700円 複勝:11=1,000円 02=120円 14=190円 枠連:1,660円",,,,,,,,,,,
"馬連:1,150円 ワイド:05-10=390円 05-08=1,430円 08-10=490円",,,,,,,,,,,,馬連:560円 ワイド:03-06=260円 06-13=960円 03-13=430円,,,,,,,,,,,,"馬連:1,310円 ワイド:05-06=350円 05-08=180円 06-08=140円",,,,,,,,,,,,"馬連:6,320円 ワイド:02-11=1,810円 11-14=3,640円 02-14=230円",,,,,,,,,,,
"馬単:3,420円 3連複:3,590円",,,,,,,,,,,,"馬単:1,840円 3連複:1,590円",,,,,,,,,,,,"馬単:2,670円 3連複:480円",,,,,,,,,,,,"馬単:21,830円 3連複:9,470円 3連単:113,720円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,,■ 6R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.3,,,,,■ 9R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6.4,,,,,■12R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,陸奥湾特別,,,,,,,,,,,,竜飛崎特別,,,,,,,,,,
