06年 8月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 8月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.2,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,
 9, 6,Ｇカシノチｰフ, 32,小林久, 1.6, 42,  -6, -13, 6, 30.3, ⑦⑧, 9, 9, キシュウヒマワリ,---,菊地昇, 0.9, 39, -11, -12,11,146.4, ⑨⑦, 9,10,Ａシｰドリｰム, 66,岩田康, 0.9, 37, -10, -11, 2,  3.7,⑦⑥⑥, 9, 3,Ｊハナマル, 68,小牧太, 1.5, 62,   4,   3,11, 66.0, ③④
10,11,Ｉマッキｰパシオン, 30,赤木高, 1.8, 36, -18,  -9, 8, 76.6, ⑩⑩,10, 4, ツルミアリエル,---,和田竜, 0.9, 38, -29,*  5,10, 54.7, ⑬⑫,10,12,Ｎファインステｰジ, 37,中谷雄, 1.0, 37, -14,  -5,15,234.4,⑩⑩⑧,10, 1,Ｅエｰティｰホｰオｰ, 70,田嶋翔, 1.5, 61,   3,   4, 7, 15.6, ⑤④
11, 9,Ｊヨドノシルフィｰド,  5,池添謙, 4.1, -8, -39, -31,10,166.5, ⑪⑪,11, 1, ロｰランドナルド,---,小牧太, 1.9, 21,  -9, -32, 4, 13.3, ⑥⑦,11,16,Ｍノボリブライアン, 37,上野翔, 1.0, 35, -10, -18,12,119.0,⑤④②,11, 7,Ｉマヤノガニｰシュ, 70,上村洋, 1.7, 55,  -3,   2,10, 56.6, ⑧⑩
,,,,,,,,,,,,12, 2, アラビアシチｰ,---,上野翔, 2.0, 19,  -8, -35, 7, 40.5, ④④,12, 8,Ｆガチャガチャ, 49,田中学, 1.1, 35, -13,  -8, 6, 25.7,⑧⑨⑧,,,,,,,,,,,,
,,,,,,,,,,,,13,11, フジノイチヒメ,---,佐藤哲, 2.5, 14, -22, -26,12,155.6, ⑫⑬,13,14,Ｈニホンピロアｰマｰ, 45,内田浩, 1.2, 34, -14,  -8,13,120.8,⑩⑩⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,11,Ｉグレｰトカイウン, 44,野元昭, 1.3, 34, -16,  -5,14,158.7,⑭⑫⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｇクリｰンスウィｰプ, 47,鮫島良, 1.4, 33, -12, -16, 9, 53.8,⑤⑦⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｋウィズインシｰズ, 40,赤木高, 6.4, 6.4---, -25, -64,11, 77.0,⑯⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-7),,,,,,,,,,,
単勝:510円 複勝:10=150円 08=110円 02=190円 枠連:470円,,,,,,,,,,,,"単勝:3,710円 複勝:07=1,010円 08=200円 06=850円 枠連:4,690円",,,,,,,,,,,,"単勝:23,790円 複勝:05=4,570円 15=260円 01=360円 枠連:860円",,,,,,,,,,,,"単勝:2,610円 複勝:11=590円 06=200円 08=350円 枠連:2,810円",,,,,,,,,,,
馬連:490円 ワイド:08-10=230円 02-10=530円 02-08=310円,,,,,,,,,,,,"馬連:7,100円 ワイド:07-08=2,030円 06-07=8,650円 06-08=2,180円",,,,,,,,,,,,"馬連:53,470円 ワイド:05-15=12,920円 01-05=19,320円 01-15=1,340円",,,,,,,,,,,,"馬連:7,550円 ワイド:06-11=2,030円 08-11=2,760円 06-08=770円",,,,,,,,,,,
"馬単:1,420円 3連複:1,010円",,,,,,,,,,,,"馬単:25,890円 3連複:42,010円",,,,,,,,,,,,"馬単:183,670円 3連複:207,920円",,,,,,,,,,,,"馬単:17,860円 3連複:19,340円 3連単:184,060円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.9,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,,■ 8R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.1,,,,,■11R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌｪﾆｯｸｽ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａエイユｰミュｰズ, 65,太宰啓,, 62,*  2,* -3, 1,  2.9, ①①, 1, 8,Ｄアイノグレゴリｰ, 51,幸英明,, 59,*-10,*  8, 3,  5.8,①①①, 1, 8,Ｅレッドスポｰツカｰ, 63,上村洋,, 70,*  9,   0, 6, 16.7, ①①, 1, 9,Ｄシルバｰストｰン, 63,福永祐,, 80,   2,* 15, 2,  4.0, ③③
 2,14, サンエムパｰム,---,熊沢重, 0.4, 51,  -6,* -2, 6, 15.3, ⑦⑥, 2,15,Ｃチェリｰロビン, 55,高橋亮, 0.1, 58,*-11,*  8, 2,  3.7,②②②, 2, 3,Ａテイエムノブシオｰ, 69,小牧太, 0.2, 60,   0,*  4, 1,  2.7, ⑧⑥, 2,13,Ａシャルマンレｰヌ, 79,熊沢重, 0.1, 79,*  7,  11, 1,  1.8, ①②
 3, 8,Ｄフレンチミステリｰ, 55,鮫島良, 0.5, 51,  -3,  -6, 3,  5.1, ④③, 3, 6,Ａサンライズボンバｰ, 60,高野容, 0.2, 60, -13,*  9, 1,  2.2,④④③, 3,10,Ｇプリティカウガｰル, 58,鮫島克, 0.3, 67,* 10,  -3, 3,  6.7, ②②, 3, 3,Ｈスｰサンライダｰ, 49,和田竜, 0.2, 74,*  6,   9, 3,  6.3, ②①
 4, 6,Ｊシゲルジコバイバイ, 40,小牧太, 1.2, 43,  -4, -12,12,175.3, ⑥⑥, 4, 9,Ｇハギノグランハｰト, 44,鮫島良, 1.3, 42, -14,  -1, 7, 22.0,⑫⑦⑤, 4,11,Ｈレジｰナガｰル, 57,佐藤哲, 0.4, 67,   9,  -2, 7, 18.0, ③③, 4, 7,Ｅマルカラボンバ, 58,石橋守, 1.2, 56,   2,  -4, 5, 13.8, ③④
 5,10,Ｅキタサンキングオｰ, 52,赤木高, 1.3, 46,*  1, -16, 4,  7.4, ②②, 5, 1,Ｂストロングパワｰ, 56,田中克, 1.8, 36, -15,  -4, 4,  9.1,⑥⑨⑦, 5, 7,Ｄダイショウティアラ, 64,幸英明, 0.6, 63,   8,  -3, 2,  3.6, ⑤③, 5,10,Ｆマルノパイオニア, 56,佐藤哲, 1.4, 56,  -4,   2, 6, 37.7, ⑥⑤
 6,11,Ｂフォレストジャガｰ, 60,中村将, 1.3, 36, -12, -10, 2,  3.3, ⑧⑨, 6,12,Ｅマジックポｰ, 48,小牧太, 2.0, 36,*-12,  -9, 9, 47.3,⑫④⑤, 6,12,Ｎキｰレタｰ, 48,太宰啓, 0.8, 54,   0,  -2,11, 82.5, ⑧⑩, 6, 5, トｰコｰオリンポス,---,田中学, 1.8, 46,  -7,  -4, 9, 87.6, ⑥⑤
 7,12,Ｉシゲルシサンカブ, 42,飯田祐, 1.4, 39, -19,  -4,14,374.8, ⑫⑩, 7, 4,Ｈザカロッサル, 43,船曳文, 2.0, 34, -16,  -5,12,116.4,⑦⑪⑨, 7, 4,Ｃハｰトランカスタｰ, 66,福永祐, 1.0, 52,   1,  -6, 5,  8.4, ⑦⑥, 7, 2, フジヤマロマン,---,小牧太, 2.0, 47, -12,   1, 7, 40.5, ⑧⑧
 8, 1,Ｃヴァｰツラフ, 56,岩田康, 1.5, 40,  -2, -16, 5, 10.6, ④③, 8, 3,Ｊメイショウコルドン, 34,橋本美, 2.0, 38, -16,  -1,13,199.2,⑨⑬⑩, 8, 2,Ｉフジノシノプシス, 56,和田竜, 1.1, 54, -14,*  5,10, 74.6, ⑫⑪, 8,12, カシノサムライ,---,川野幸, 2.6, 34, -15,  -8,11,146.9, ⑨⑨
 9, 5,Ｇヤマニンビアンカ, 48,酒井学, 1.6, 39, -25,* -2, 8, 54.2, ⑬⑫, 9,14,Ｆアグネスダリア, 46,上村洋, 2.7, 34,*-11, -17, 5, 19.4,④③④, 9, 1,Ｌバトルフリｰ, 51,上野翔, 1.2, 46,  -6,  -4,14,222.1, ⑩⑧, 9,11,Ｇアインファスタｰ, 53,内田浩, 3.0, 33,   1, -27, 8, 48.5, ⑤⑦
10, 9,Ｌガストシチｰ, 19,菊地昇, 1.9, 32, -11, -15, 9, 99.9, ⑧⑧,10,13,Ｋテイエムファイト, 34,佐久間, 3.5, 25,*-12, -23,14,203.3,⑨④⑧,10,14,Ｍイサミステルス, 49,田中克, 1.3, 50,   3, -10, 9, 45.4, ⑥⑧,10, 6,Ｃエｰシンオｰムズ, 65,野元昭, 3.4, 27, -16, -18, 4,  8.2, ⑩⑩
11, 4,Ｋエイシンヴォｰン, 38,上野翔, 2.4, 26, -17, -18,11,142.2, ⑪⑫,11, 7,Ｍポンデアスｰカル, 24,岩田康, 4.1,  7, -13, -27, 6, 20.7,⑦⑦⑩,11, 5,Ｋメイショウタカナミ, 51,船曳文, 1.8, 45, -22,   1,13,105.0, ⑬⑬,11, 4, シゲルイメエラ,---,鮫島克, 3.6, 24, -25, -12,10,137.1, ⑪⑪
12, 7,Ｆスｰパｰペガサス, 51,鮫島克, 2.4, 32,  -1, -26, 7, 16.3, ③③,12, 2,Ｉセイカシチフクジン, 42,熊沢重, 4.2, 14, -16, -23, 8, 26.4,⑫⑫⑩,12, 9,Ｂメイショウリオン, 69,岩田康, 2.1, 25, -31,*  6, 4,  7.9, ⑭⑭,,,,,,,,,,,,
13,13,Ｈミッドナイトスタｰ, 48,田中克, 3.0, 19, -13, -26,10,130.7, ⑩⑪,13, 5,Ｌシルクアウロｰラ, 25,金折知, 4.8, -1, -18, -25,11,111.4,⑪⑭⑬,13,13,Ｆディアブロシチｰ, 60,中村将, 2.3, 43,   8, -23,12, 89.3, ③⑤,,,,,,,,,,,,
14, 3, ビｰナスフィｰト,---,橋本美, 6.5,-44, -23, -54,13,305.3, ⑬⑭,14,11,Ｏスズカスイングベガ,  7,田村太, 5.3,-28, -19, -31,15,234.1,⑮⑭⑮,14, 6,Ｊシンボリドジャｰス, 52,田中学, 3.5, 26, -12, -21, 8, 40.7, ⑪⑫,,,,,,,,,,,,
,,,,,,,,,,,,15,10,Ｎメモリｰプリモ, 16,上野翔, 6.4,-70, -15, -48,10, 87.1,②⑨⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-6),,,,,,,,,,,
"単勝:290円 複勝:02=160円 14=470円 08=200円 枠連:2,200円",,,,,,,,,,,,単勝:580円 複勝:08=140円 15=130円 06=110円 枠連:810円,,,,,,,,,,,,"単勝:1,670円 複勝:08=360円 03=140円 10=190円 枠連:320円",,,,,,,,,,,,単勝:400円 複勝:09=140円 13=110円 03=150円 枠連:350円,,,,,,,,,,,
"馬連:2,450円 ワイド:02-14=980円 02-08=270円 08-14=1,510円",,,,,,,,,,,,"馬連:1,220円 ワイド:08-15=310円 06-08=210円 06-15=160円",,,,,,,,,,,,"馬連:2,330円 ワイド:03-08=730円 08-10=1,340円 03-10=470円",,,,,,,,,,,,馬連:350円 ワイド:09-13=150円 03-09=330円 03-13=230円,,,,,,,,,,,
"馬単:3,650円 3連複:3,510円",,,,,,,,,,,,"馬単:2,420円 3連複:570円",,,,,,,,,,,,"馬単:5,800円 3連複:4,220円",,,,,,,,,,,,"馬単:850円 3連複:450円 3連単:2,680円",,,,,,,,,,,
■ 3R  芝2900m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 6R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,,■ 9R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.2,,,,,■12R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾀｲﾗﾝﾄﾞｶｯﾌﾟ,,,,,,,,,,,,ﾏﾗﾔﾝRAT,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3, ノボリハウツｰ,,西谷誠,,,,, 5, 11.2,②②②, 1,16,Ｄモｰニングドレス, 56,田中克,, 71,*  8,   3, 5,  8.3, ②②, 1, 4,Ｅサイレンスゴｰルド, 66,福永祐,, 68,  -3,* 16, 2,  3.9,⑧⑨⑥, 1, 1,Ｉテイエムザエックス, 63,橋本美,, 65,*-17,* 22, 4,  9.4,①①①
 2, 9, コウエイトライ,,小坂忠, 0.0,,,, 1,  2.4,①①①, 2, 4,Ａエイユｰキャメロン, 65,野元昭, 0.1, 72,*  9,   3, 2,  3.3, ②①, 2, 5,Ａワンダフルキャスト, 73,岩田康, 0.1, 66,  -2,* 11, 3,  4.3,⑨⑦⑦, 2, 5,Ｂトｰセンマエストロ, 71,赤木高, 0.2, 65,*-16,  22, 2,  2.8,④②②
 3, 1, タニノコザック,,北沢伸, 0.8,,,, 3,  5.5,④③③, 3,10,Ｌブルｰミングデイズ, 37,福永祐, 0.2, 75,  -2,* 12, 9, 45.2, ⑥⑥, 3, 6,Ｄラストクルセイダｰ, 67,金折知, 0.3, 60,  -3,   3, 6, 13.5,⑨⑤④, 3, 9,Ａダノンシャトル, 74,福永祐, 0.3, 67, -18,* 24, 1,  2.8,⑤⑤⑤
 4, 4, タニノエタニティ,,熊沢重, 1.2,,,, 2,  3.3,②③③, 4,17,Ｅカシノロイヤル, 54,中谷雄, 0.6, 62,*  6,  -2, 6, 24.8, ④④, 4,10,Ｂエイシンチャンドラ, 72,和田竜, 0.4, 58,*  1,  -4, 1,  3.2,③②②, 4, 2,Ｊトウカイフラッグ, 62,幸英明, 0.3, 64,*-17,  22, 3,  8.4,③④③
 5, 7, ワンダｰタフネス,,高野容, 2.3,,,, 9, 45.0,⑧⑦⑥, 5, 3,Ｃビコｰソフィア, 56,佐藤哲, 1.0, 55,   5,  -6, 3,  6.4, ⑤⑤, 5, 9,Ｊサンアントニオ, 61,小牧太, 0.6, 56,  -1,  -4, 8, 30.8,⑤④④, 5, 8,Ｅシルクホｰムラン, 66,田嶋翔, 0.8, 60, -19,  21,12, 59.2,⑤⑨⑦
 6, 5, ヤシャボサツ,,白浜雄, 3.5,,,, 4, 10.8,⑥⑤⑤, 6, 7,Ｎシゲルカイケハイ, 34,和田竜, 1.2, 52,  -2,  -3,10, 46.1, ⑥⑦, 6, 3,Ｉナムラカブラヤ, 63,太宰啓, 1.0, 51,  -5,  -3,10, 73.5,⑤⑦⑨, 6,10,Ｆタガノコマンダｰ, 65,飯田祐, 1.0, 57, -19,  20, 7, 20.1,⑧⑨⑦
 7, 8, ダイナミックゴｰル,,石山繁, 3.6,,,, 7, 27.2,⑨⑧⑧, 7,15,Ｆケイタッチ, 52,岩田康, 1.2, 52,   0,  -5, 4,  7.0, ⑥⑦, 7, 7,Ｃヘラクレスバイオ, 69,池添謙, 1.2, 49,*  1, -17, 4,  5.3,②②①, 7,12,Ｍパワｰラン, 54,太宰啓, 1.3, 59, -22,  22,13,122.6,⑫⑬⑪
 8, 2, シｰグロｰリアス,,菊地昇, 3.9,,,, 8, 37.2,⑤⑤⑥, 8,11,Ｍユウタｰジェンヌ, 36,渡辺薫, 1.3, 50,  -2,  -5,14, 96.1, ⑥⑦, 8, 8,Ｇダノンビクトリｰ, 65,幸英明, 1.3, 52,  -3,  -4, 5, 10.9,⑦⑨⑨, 8,11,Ｈダブルデュｰス, 64,中村将, 1.4, 43, -19,  12, 8, 27.7,⑤⑤⑥
 9, 6, サンワｰドラン,,白坂聡,10.1,,,, 6, 12.2,⑦⑨⑨, 9,14,Ｇワンダｰノンブｰレ, 50,田村太, 1.5, 47, -17,   3,16,131.5, ⑬⑪, 9, 1,Ｈシルククリムゾン, 63,石山繁, 1.3, 47,*  1, -20, 9, 63.0,①①②, 9, 4,Ｇワンダｰプロ, 65,渡辺薫, 1.6, 40,*-18,   7,11, 56.6,②②③
,,,,,,,,,,,,10, 9,Ｊエイシンテンダネス, 43,中村将, 1.7, 45, -21,*  4,15,117.5, ⑭⑬,10, 2,Ｆリアルトブリッジ, 65,橋本美, 1.7, 47,   0, -16, 7, 28.9,③⑤⑧,10, 7,Ｋエランセ, 62,熊沢重, 1.9, 41, -18,   9, 9, 28.9,⑩⑤⑨
,,,,,,,,,,,,11, 2,Ｂケンエンデバｰ, 58,鮫島克, 1.9, 43,* 11, -26, 1,  3.1, ①②,,,,,,,,,,,,,11, 3,Ｌアラタマサモンズ, 59,小牧太, 2.3, 38, -19,   8,10, 34.4,⑩⑨⑫
,,,,,,,,,,,,12, 5,Ｐコトノハ, 26,赤木高, 2.1, 41, -25,   4,11, 55.4, ⑯⑰,,,,,,,,,,,,,12,13,Ｄテンガロンハット, 67,岩田康, 2.4, 39, -17,   3, 6, 17.0,⑧⑤⑨
,,,,,,,,,,,,13, 6, チャｰムパｰトナｰ,---,鮫島良, 2.1, 40, -27,*  5,12, 86.1, ⑰⑮,,,,,,,,,,,,,13, 6,Ｃタイキカムイ, 69,和田竜, 2.7, 36, -19,   4, 5, 14.1,⑫⑨⑫
,,,,,,,,,,,,14,18,Ｈエイシンオｰドリｰ, 48,小牧太, 2.2, 38, -21,   0,13, 88.4, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 8,Ｋハマノビジン, 41,船曳文, 2.2, 34,  -8, -16,17,153.9, ⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,13,Ｏラガｰスマイル, 32,高野容, 2.3, 35, -10, -12, 8, 39.1, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,12,Ｉサンレイグラス, 44,幸英明, 2.4, 34, -12, -12,18,191.3, ⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 1, シｰタトウショウ,---,池添謙, 3.9,  1, -28, -20, 7, 37.6, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-25 ﾚｰｽｱｶﾞﾘ指数:+29 馬場:良(指数:-10),,,,,,,,,,,
"単勝:1,120円 複勝:03=190円 09=110円 01=180円 枠連:890円",,,,,,,,,,,,単勝:830円 複勝:16=270円 04=150円 10=980円 枠連:550円,,,,,,,,,,,,単勝:390円 複勝:04=140円 05=150円 06=270円 枠連:740円,,,,,,,,,,,,"単勝:940円 複勝:01=200円 05=120円 09=120円 枠連:1,740円",,,,,,,,,,,
"馬連:1,020円 ワイド:03-09=350円 01-03=430円 01-09=250円",,,,,,,,,,,,"馬連:1,190円 ワイド:04-16=490円 10-16=3,720円 04-10=2,260円",,,,,,,,,,,,馬連:760円 ワイド:04-05=300円 04-06=840円 05-06=830円,,,,,,,,,,,,"馬連:1,820円 ワイド:01-05=540円 01-09=390円 05-09=170円",,,,,,,,,,,
"馬単:2,770円 3連複:1,360円",,,,,,,,,,,,"馬単:2,780円 3連複:11,010円",,,,,,,,,,,,"馬単:1,470円 3連複:2,280円 3連単:10,190円",,,,,,,,,,,,"馬単:3,920円 3連複:1,100円 3連単:9,650円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
