06年 3月26日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 3月26日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.0,,,,,■ 4R  ダ1000m 4歳上500万(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4.2,,,,,■ 7R  芝1800m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2.5,,,,,■10R  芝2500m 4歳上1000万 ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-0.8,,,,
 9, 2, ホブノブ,---,岩田康, 2.2, 40, -12,  -9, 3,  6.5,⑦⑨⑨, 9, 7,Ｂルネッサンスフェア, 71,船曳文, 1.2, 49,  -3,  -9, 6, 13.9, ③③, 9,10,Ｊロｰテクロイツ, 62,芹沢純, 0.7, 64,   3,  -3, 3,  7.1,⑮⑦⑥, 9,13,Ｌイブキトレッキング, 69,佐藤哲, 0.7, 73,  -9,* 25,11, 63.2,⑮⑮⑫
10,13,Ｉマルノチルドレン, 31,丹内祐, 2.3, 39, -18,  -3,14,347.7,⑭⑭⑭,10, 5,Ｉエプソムヌｰヴェル, 56,二本柳, 1.2, 50,  -2,  -7,10, 95.5, ③⑤,10, 8,Ｄランスオブグリｰン, 65,岩田康, 0.7, 63,   3,  -3, 6, 19.0,⑧⑦⑨,10,16,Ｈイエス, 74,安部幸, 0.9, 62,  -8,  17,10, 46.9,⑫⑩⑫
11, 3,Ｊケイコラララ, 24,安部幸, 2.6, 37, -13, -12,11,174.4,⑩⑪⑪,11,11,Ｇパｰクリｰアケコ, 63,吉田隼, 1.3, 46,  -9,  -5,11,204.8, ⑧⑧,11,13,Ｃメイショウハヤボシ, 65,佐藤哲, 0.9, 61,   2,  -3,13, 81.8,⑪⑪⑪,11,14,Ｊアスカヘイロｰ, 71,小原義, 1.2, 57, -10,  14,15,241.7,⑫⑭⑮
12, 8,Ｈザカロッサル, 35,船曳文, 2.6, 34, -16, -10,12,228.7,⑫⑫⑬,,,,,,,,,,,,,12,11,Ｍナンゴクライデン, 56,中舘英, 1.0, 60,  -1,   2, 9, 23.9,⑭⑭⑭,12,15,Ｋオｰプンエアｰ, 70,江田照, 1.2, 53,  -4,   4, 9, 43.2,④④⑤
13, 7, プレイズハンタｰ,---,藤岡佑, 4.3, 23, -12, -30, 6, 31.9,⑦⑨⑨,,,,,,,,,,,,,13,16,Ｅキクノリゲル, 65,北村友, 1.2, 55,  -3,  -3,15,153.6,⑫⑭⑭,13, 7,Ｉナイトサンタンダｰ, 74,赤木高, 1.2, 52,  -8,   9,13,158.9,⑨⑩⑫
14,14, リュウミラクル,---,中舘英, 4.8, 18, -10, -38, 8, 57.1,⑤⑤⑧,,,,,,,,,,,,,14,15,Ａシルクストレイン, 74,田中勝, 1.4, 56,   3, -13, 1,  2.8,⑧⑦⑥,14, 1,Ｃロｰドグランディス, 78,野元昭, 1.4, 50,  -5,   2, 7, 24.9,⑥④⑤
,,,,,,,,,,,,,,,,,,,,,,,,15, 9,Ｏマイネルセネタｰ, 50,四位洋, 1.7, 53,*  7, -24, 7, 20.2,②②②,15, 5,Ｏトレジャｰハンタｰ, 67,小牧太, 2.3, 36,  -5, -12,16,272.9,⑥④⑨
,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｎケｰジｰエリシオ, 55,幸英明, 1.8, 50,   3, -19,14,153.1,⑥⑦⑨,16, 8,Ｐアロハスピリッツ, 64,二本柳, 4.7, 15, -14, -26,14,206.4,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:-6),,,,,,,,,,,
単勝:340円 複勝:01=120円 06=110円 04=170円 枠連:270円,,,,,,,,,,,,単勝:380円 複勝:10=150円 01=140円 02=520円 枠連:560円,,,,,,,,,,,,"単勝:430円 複勝:07=210円 12=560円 01=280円 枠連:1,930円",,,,,,,,,,,,"単勝:1,970円 複勝:04=610円 09=350円 03=650円 枠連:1,340円",,,,,,,,,,,
馬連:300円 ワイド:01-06=140円 01-04=370円 04-06=310円,,,,,,,,,,,,"馬連:560円 ワイド:01-10=210円 02-10=1,490円 01-02=1,060円",,,,,,,,,,,,"馬連:6,040円 ワイド:07-12=1,650円 01-07=870円 01-12=2,780円",,,,,,,,,,,,"馬連:9,120円 ワイド:04-09=2,540円 03-04=2,770円 03-09=2,570円",,,,,,,,,,,
馬単:810円 3連複:700円,,,,,,,,,,,,"馬単:1,180円 3連複:4,000円",,,,,,,,,,,,"馬単:8,890円 3連複:16,270円",,,,,,,,,,,,"馬単:22,160円 3連複:45,970円 3連単:360,550円",,,,,,,,,,,
■ 2R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.4,,,,,■ 5R  ダ1700m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3.0,,,,,■ 8R  ダ1700m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.0,,,,,■11R  芝1200m 4歳上ｵｰﾌﾟﾝ 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高松宮記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｃクリノハッピｰデイ, 58,デムｰ,, 58, -16,* 16, 6,  9.6, ⑬⑬, 1,11,Ｃアグネスクラウン, 65,藤岡佑,, 64,*-12,* 14, 1,  2.4,③①①, 1,10,Ａセフティｰロｰレル, 69,河北通,, 64, -12,* 16, 2,  4.4,⑨⑥⑥, 1,11,Ｄオレハマッテルゼ, 88,柴田善,, 90,   3,  25, 4,  9.3, ⑤⑤
 2,14,Ｄリッカアリアラ, 57,田中勝, 0.1, 58, -12,* 12, 4,  6.6, ⑪⑩, 2, 7,Ｉエランセ, 58,中舘英, 0.2, 60,*-12,  12,11, 63.4,②①①, 2, 2,Ｂエスケｰアパッチ, 68,野元昭, 0.1, 66, -14,* 18, 5,  8.3,⑪⑩⑨, 2,14,Ｂラインクラフト, 91,福永祐, 0.0, 90,   5,  24, 2,  4.7, ⑤⑤
 3, 5,Ｂゴッドスマイルユｰ, 59,福永祐, 0.1, 57, -14,* 13, 5,  8.2, ⑫⑫, 3,12,Ｆパリスゼンショウ, 62,内田博, 0.2, 62, -13,* 14, 3,  4.7,⑤④⑤, 3, 4,Ｄキクノエンブレム, 65,岩田康, 0.3, 56,*-10,   8, 3,  6.6,⑭③②, 3,13,Ｃシｰイズトウショウ, 89,池添謙, 0.3, 82,*  6,  17, 3,  7.0, ③④
 4,16,Ｑマシロンガｰル, 34,藤岡佑, 0.3, 55,  -9,   6,13, 76.0, ⑧⑨, 4, 5,Ｊカシノバズライト, 57,塚田祥, 0.3, 62, -17,* 16, 8, 33.9,③⑧⑧, 4,15,Ｊラクリマ, 60,赤木高, 0.4, 54, -10,   8, 9, 35.5,③④④, 4, 3,Ａプリサイスマシｰン, 92,岩田康, 0.3, 83,*  6,  17, 7, 20.4, ③②
 5,10, オルガス,---,四位洋, 0.4, 55,   1,  -8,12, 57.1, ③①, 5, 8,Ｄニシノガルｰダ, 63,田辺裕, 0.4, 61, -14,* 14, 9, 55.8,⑤⑥⑤, 5,12,Ｇウインルミエｰル, 62,内田博, 0.5, 53,* -9,   5, 6, 15.8,①①①, 5, 6,Ｍネイティヴハｰト, 83,内田博, 0.3, 86,  -5,* 28,11, 28.4, ⑫⑬
 6, 3,Ａキラｰスマイル, 64,中舘英, 0.5, 57,*  7, -13, 3,  6.0, ①①, 6, 6,Ｅホッカイアムレット, 62,池添謙, 0.8, 51,*-13,   8, 5, 15.4,⑧④④, 6, 7,Ｅダイシンチャンス, 63,太宰啓, 0.5, 65, -17,* 20, 4,  7.3,⑮⑮⑮, 6, 9,Ｅシンボリグラン, 87,デムｰ, 0.4, 87,  -8,* 30, 1,  3.3, ⑯⑮
 7,12,Ｆタイキブラスト, 54,岩田康, 0.5, 54,  -4,  -2, 2,  4.7, ⑦⑦, 7,10,Ｂファインスティｰル, 65,赤木高, 0.8, 53, -13,  10, 2,  4.6,⑧⑥⑦, 7,11,Ｆゼットアカデミｰ, 63,田中克, 0.7, 50, -13,   7,12, 94.6,⑤⑥⑥, 7, 7,Ｉリミットレスビッド, 85,田中勝, 0.4, 83,  -2,  23, 5, 14.1, ⑨⑧
 8, 2,Ｎコアレスソニック, 39,安部幸, 0.7, 52,   2, -11,14,143.8, ③④, 8,15,Ａマルカケセラセラ, 66,福永祐, 1.1, 48,*-12,   4, 4,  6.9,①①①, 8, 5,Ｍダノンヒｰロｰ, 53,北村友, 1.0, 50, -16,   9, 8, 19.5,⑪⑭⑭, 8,17,Ｋゴｰルデンキャスト, 85,小牧太, 0.5, 80,   0,  20,18,105.7, ⑧⑧
 9, 8,Ｊカンドｰレ, 47,塚田祥, 0.9, 45,*  2, -18, 9, 30.5, ③④, 9,14,Ｎパワｰクルセダｰ, 54,田中勝, 1.3, 53, -17,  12,13,111.8,⑪⑨⑨, 9, 8,Ｌレオベルリン, 54,佐藤聖, 1.1, 44, -12,   1,14,161.0,③④⑤, 9,16,Ｌタマモホットプレイ, 84,渡辺薫, 0.6, 81, -10,* 28, 8, 20.8, ⑰⑱
10,18,Ｈマキハタシュｰタｰ, 52,小牧太, 0.9, 44, -19,   6, 8, 24.7, ⑭⑭,10, 2,Ｋバアゼルロｰズ, 57,北村浩, 1.4, 52, -18,  12,12, 80.0,⑪⑨⑩,10,13,Ｃハッスルシチｰ, 67,中舘英, 1.3, 49, -14,   7, 1,  2.8,⑬⑫⑫,10,10,Ｐカネツテンビｰ, 82,江田照, 0.7, 78,  -5,  22,10, 24.9, ⑫⑪
11, 7,Ｇフラワｰパス, 53,柴山雄, 0.9, 46, -11,  -2,10, 47.8, ⑩⑩,11,13,Ｇシルクトリガｰ, 61,吉田稔, 1.6, 53, -20,  13,10, 62.0,⑬⑬⑫,11, 9,Ｎバクシンシンボル, 52,安部幸, 1.4, 46, -14,   5,15,212.8,⑦⑩⑫,11, 8,Ｑブルｰショットガン, 80,藤岡佑, 0.7, 76,  -4,  20,15, 48.2, ⑨⑪
12,13,Ｏプラナグリｰン, 37,柴田善, 1.1, 43,  -8,  -8,11, 51.4, ⑧⑧,12, 4,Ｍゴｰルデンボｰル, 56,船曳文, 2.0, 39, -20,   4,14,118.1,⑤⑨⑩,12, 6,Ｈヒｰリングヴォイス, 61,船曳文, 1.4, 46, -16,   5,10, 72.6,⑨⑫⑩,12,12,Ｊギャラントアロｰ, 85,幸英明, 0.8, 72,*  9,   6,13, 29.7, ①①
13, 9,Ｍスノｰウィンドウ, 41,丹内祐, 1.2, 36, -22,   1,18,540.1, ⑮⑮,13, 1,Ｈリキアイナスノオｰ, 60,四位洋, 2.1, 42, -18,   6, 6, 20.4,⑬⑫⑫,13, 1,Ｉコメットサンサン, 61,塚田祥, 1.4, 44, -14,   2,13,124.2,⑤⑧⑧,13, 4,Ｈマルカキセキ, 86,吉田稔, 0.8, 75,  -2,  17, 6, 17.1, ⑨⑧
14, 6,Ｉクリｰンスウィｰプ, 48,内田博, 1.3, 44,*  5, -24, 7, 10.0, ①①,14, 3,Ｏシルクロゼット, 50,小原義, 2.3, 43, -21,   9,15,226.5,⑮⑭⑭,14,14,Ｋタマモピｰカブｰ, 59,藤岡佑, 1.6, 43, -13,   1, 7, 16.1,⑦⑧⑩,14,15,Ｏウインクリュｰガｰ, 82,中舘英, 0.8, 76,  -7,  22,17, 72.6, ⑭⑮
15,15,Ｌエアイｰリス, 44,吉田隼, 1.4, 32, -22,  -2,17,391.8, ⑮⑮,15, 9,Ｌカンファｰマックス, 57,岩田康, 2.6, 41, -22,   8, 7, 33.8,⑩⑮⑮,15, 3,Ｏナイトカラノテガミ, 45,田中勝, 2.0, 37,* -9,  -9,11, 93.5,①①②,15,18,Ｆコパノフウジン, 87,佐藤哲, 0.9, 71,*  8,   7,12, 29.5, ②②
16, 1,Ｅヒシワンスモア, 54,池添謙, 1.7, 29, -27,   1, 1,  4.2, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｒキｰンランドスワン, 79,四位洋, 0.9, 76, -10,  23,14, 40.3, ⑰⑮
17, 4,Ｐユニゾン, 34,幸英明, 2.1, 30,   0, -32,15,187.7, ⑥⑥,,,,,,,,,,,,,,,,,,,,,,,,,17, 5,Ｎマイネルアルビオン, 82,柴山雄, 1.0, 73,  -6,  19, 9, 23.6, ⑭⑬
18,17,Ｋセフティｰマッハ, 44,須貝尚, 3.0,  9, -20, -25,16,252.8, ⑮⑰,,,,,,,,,,,,,,,,,,,,,,,,,18, 2,Ｇトウショウギア, 86,赤木高, 1.2, 66,   1,   8,16, 66.6, ⑦⑦
ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+20 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:101 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-5),,,,,,,,,,,
"単勝:960円 複勝:11=300円 14=250円 05=250円 枠連:1,170円",,,,,,,,,,,,単勝:240円 複勝:11=140円 07=950円 12=170円 枠連:700円,,,,,,,,,,,,"単勝:440円 複勝:10=220円 02=220円 04=260円 枠連:1,900円",,,,,,,,,,,,"単勝:930円 複勝:11=260円 14=210円 13=260円 枠連:1,150円",,,,,,,,,,,
"馬連:4,640円 ワイド:11-14=1,290円 05-11=1,540円 05-14=1,120円",,,,,,,,,,,,"馬連:4,150円 ワイド:07-11=1,980円 11-12=310円 07-12=2,950円",,,,,,,,,,,,"馬連:1,900円 ワイド:02-10=560円 04-10=900円 02-04=890円",,,,,,,,,,,,"馬連:2,290円 ワイド:11-14=900円 11-13=1,110円 13-14=760円",,,,,,,,,,,
"馬単:9,800円 3連複:10,020円",,,,,,,,,,,,"馬単:5,010円 3連複:7,330円",,,,,,,,,,,,"馬単:3,270円 3連複:4,730円",,,,,,,,,,,,"馬単:5,550円 3連複:5,240円 3連単:36,620円",,,,,,,,,,,
■ 3R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,,■ 6R  ダ1000m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■ 9R  芝1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.4,,,,,■12R  ダ1700m 4歳上1000万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,はなのき賞,,,,,,,,,,,,伊勢特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａアグネスツイスタｰ, 59,岩田康,, 66, -18,* 21, 1,  3.3,⑪⑪⑪, 1,12,Ｆゴｰルドイモン, 66,太宰啓,, 70,   0,*  8, 4, 11.3, ⑤⑤, 1, 1,Ｏフサイチダイナソｰ, 30,デムｰ,, 66,   4,   0,12, 52.1, ⑩⑥, 1, 4,Ｃセトノシェｰバｰ, 77,佐藤哲,, 72,   1,  10, 4,  7.3,⑦⑥④
 2, 3, ヒカルユメハナビ,---,四位洋, 0.2, 65, -19,* 21, 9, 37.4,⑫⑫⑪, 2, 8,Ａマルタｰズフィアｰ, 79,吉田隼, 0.3, 65,*  4,   0, 2,  3.4, ②②, 2, 4,Ｋシルクドラグｰン, 47,江田照, 0.0, 65,   7,  -3, 5, 17.0, ⑤④, 2, 3,Ｐハウンドコップ, 62,池添謙, 0.2, 68,*  3,   5, 9, 35.7,②①①
 3, 7,Ｃエレガンスボｰイ, 53,幸英明, 0.4, 49,*-14,   8, 2,  4.2,③④②, 3, 7,Ｌスマｰトエッジ, 52,柴山雄, 0.3, 65,  -2,*  5,11, 69.0, ⑦⑦, 3, 3,Ｈタガノアルサルディ, 52,田嶋翔, 0.0, 62,  -7,* 11,11, 51.5, ⑯⑮, 3,11,Ｄタマモガルチ, 73,吉田稔, 0.3, 68,   1,   8,11, 44.8,⑧⑥⑧
 4, 1,Ｇアグネスグレイス, 49,渡辺薫, 0.6, 43,*-13,   2, 8, 20.4,①①①, 4,13,Ｐハッピイアスリｰト, 22,小島太, 0.3, 67,*  6,  -2,12, 92.1, ①①, 4, 9,Ｄプリムロｰズヒル, 59,幸英明, 0.1, 64,* 10,  -8, 1,  2.8, ②②, 4, 6,Ｂユノナゲット, 77,田中勝, 0.3, 72,  -2,* 13, 1,  2.9,⑪⑭⑮
 5,12,Ｋクリティカルライト, 28,福永祐, 0.6, 51, -17,  11,10, 45.1,⑤⑨⑥, 5,10,Ｉドルフィンゴｰルド, 60,内田博, 0.5, 64,   3,   0, 5, 12.9, ②③, 5, 5, マルノサプライズ,---,太宰啓, 0.2, 60,  -1,*  1,16,279.4, ⑫⑫, 5,12,Ｆサクラギャラクシｰ, 72,四位洋, 0.3, 74,  -2,* 14, 2,  4.6,⑮⑭⑪
 6,14,Ｅビクトリｰフラッグ, 52,中舘英, 0.8, 43,*-15,   3, 3,  4.6,⑦⑥④, 6,14,Ｄフジノヘイロｰ, 68,四位洋, 0.8, 57,  -9,*  5, 7, 19.7, ⑫⑪, 6,11,Ｆアグネスカｰン, 57,渡辺薫, 0.2, 61,  -1,*  1, 4, 16.0, ⑫⑩, 6, 7,Ｅサテライトキャノン, 72,芹沢純, 0.4, 67,*  2,   4, 8, 23.9,③①①
 7,10,Ｂマｰカッシン, 54,田中勝, 1.0, 42, -17,   5, 5, 11.1,⑩⑨⑧, 7, 2,Ｂアドマイヤレオン, 70,福永祐, 0.9, 56,  -9,   4, 1,  2.4, ⑫⑪, 7,14,Ａジェントルルｰラｰ, 67,柴山雄, 0.2, 62,   9,  -8, 2,  3.1, ④④, 7,13,Ｍセフティパラダイス, 65,河北通, 0.5, 68,  -1,   9,16,132.0,⑭⑩⑪
 8, 9, エイプリルウインド,---,赤木高, 1.2, 45, -20,   9, 4,  9.7,⑬⑬⑬, 8,15,Ｅライズサウンド, 67,丹内祐, 1.0, 54,  -1,  -4, 6, 17.2, ⑤⑧, 8,18,Ｌジェルクルキバ, 46,小牧太, 0.3, 59,   2,  -3,17,322.6, ⑩⑩, 8,16,Ｊカミノヤマボｰイ, 67,野元昭, 0.6, 67,  -1,   8,14, 89.6,⑮⑩⑨
 9,15,Ｊコスモラナップ, 34,柴田善, 1.3, 33, -18,  -3, 6, 13.9,⑧⑧⑧, 9, 9,Ｎバトルハｰトオｰ, 46,田辺裕, 1.0, 59,   3,  -5,13,132.9, ②③, 9, 8,Ｅソニックベロシティ, 59,芹沢純, 0.5, 56,   6, -10, 7, 26.1, ⑧⑨, 9,10,Ｇデポジットブック, 72,赤木高, 0.8, 63,*  3,   1, 3,  6.2,⑧①①
10, 8, サクセスバルブエナ,---,内田博, 1.5, 40, -21,   8,12, 48.7,⑱⑭⑰,10, 5,Ｊグランプリスパｰク, 55,小牧太, 1.4, 49, -16,   4,14,156.4, ⑯⑮,10, 7,Ｂマイネルガッチャ, 64,内田博, 0.7, 52,  -4,  -3, 3,  4.8, ⑮⑬,10, 9,Ａビュｰティフルアイ, 77,岩田康, 0.8, 65,  -2,   8, 5,  8.6,⑪⑭⑮
11,18,Ｄマイネルファッシノ, 52,デムｰ, 1.5, 44, -23,  11, 7, 19.6,⑯⑰⑮,11, 4,Ｇパｰプルコブラ, 62,吉田稔, 1.4, 49, -13,   1, 8, 27.6, ⑭⑭,11,17, センゲンゴロｰ,---,吉田稔, 0.9, 47,  -6,  -5,14,160.0, ⑯⑯,11, 5,Ｋツルマルフェロｰ, 67,小牧太, 0.9, 64,   0,   4,10, 44.3,⑩⑩⑪
12, 6,Ｍドレックセル, 21,加藤士, 1.6, 30,*-14, -10,16,257.1,⑤④④,12, 6,Ｈホクザンアスリｰト, 60,野元昭, 1.5, 47, -14,   1,15,290.4, ⑭⑮,12, 2,Ｊカゼノアルペジオ, 49,須貝尚, 0.9, 53,* 14, -23,10, 43.7, ①①,12, 8,Ｏサニｰネイティブ, 63,幸英明, 1.3, 60,   2,  -2,13, 83.0,⑬⑥⑤
13,13, シｰコンチェルト,---,黒岩悠, 1.8, 36, -22,   5,18,596.4,⑮⑯⑮,13,11,Ｃフサイチアシュラ, 69,塚田祥, 1.5, 46,  -9,  -4, 3,  7.6, ⑩⑪,13,15,Ｉサルトリｰガｰル, 52,田中克, 1.1, 47,   7, -20,13, 54.1, ⑤⑥,13,14,Ｎグリンガレット, 65,柴田善, 1.7, 54,   2,  -6, 7, 18.6,④⑥⑨
