06年 2月11日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 2月11日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万 別定,,,,,,,,,,,,■10R  芝1800m 4歳上500万(牝) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:7,180円 3連複:14,970円",,,,,,,,,,,,"馬単:26,130円 3連複:26,870円",,,,,,,,,,,,"馬単:2,440円 3連複:5,670円",,,,,,,,,,,,"馬単:1,320円 3連複:2,640円 3連単:9,230円",,,,,,,,,,,
■ 2R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 5R  ダ1000m 4歳上500万(混) 別定,,,,,,,,,,,,■ 8R  芝2600m 4歳上500万(混) 別定,,,,,,,,,,,,■11R  ダ1700m 4歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,和布刈特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａリトルブレイブ, 63,生野  ,, 60,  -3,*  2, 3,  5.8,⑤⑤②, 1, 5,Ａマルタカシャイン, 68,小林慎,, 68,   1,*  5, 3,  6.4,⑤⑤③, 1,15,Ｌマチカネウマジルシ, 62,川田  ,, 69,*  6,  -1,11, 34.2,①①①, 1, 4,Ｆスズカジョリｰズ, 70,角田  ,, 83,   4,* 21, 4,  6.9,⑭⑭⑭
 2, 9,Ｃパｰプルカフェ, 51,小島一, 0.1, 58, -15,* 23, 1,  3.1,⑭⑭⑫, 2, 1,Ｅブリｰジｰウッズ, 64,中舘  , 0.1, 70,*  9,  -1, 1,  2.3,③①①, 2, 3,Ｏアグネスハット, 57,内田浩, 0.0, 72,   5,   4,14,110.9,③⑤④, 2,12,Ｉウインプログレス, 67,川田  , 0.8, 78,   7,   8,13, 73.8,⑩⑦④
 3, 6,Ｄミルキｰウェイ, 47,和田  , 0.3, 59,  -4,*  4, 5,  8.8,⑧⑦⑤, 3,10,Ｂタケデンバトル, 66,加藤士, 0.5, 57,  -4,*  1, 7, 18.1,⑧⑦⑦, 3,14,Ｋドリｰムパｰトナｰ, 63,高橋智, 0.1, 72,   4,*  5, 8, 19.4,⑨⑥④, 3, 6,Ｏスパイラルリング, 60,鹿戸  , 0.8, 76,   7,   8, 7, 17.7,⑦⑦⑧
 4, 1,Ｅギブミｰアチャンス, 42,モンテ, 0.6, 55,*  0, -10, 6, 10.5,②④②, 4, 7,Ｄスウィｰトデジャヴ, 65,ルメｰ, 0.5, 62,   6,  -3, 2,  4.6,①③⑤, 4, 2,Ｃテイエムサッカｰ, 70,和田  , 0.1, 70,*  6,  -1, 6,  8.8,④②②, 4,14,Ａテイエムヤマトオｰ, 75,和田  , 1.0, 75,   8,   5, 2,  4.5,⑤④④
 5, 2,Ｈユメノティアラ, 39,佐藤哲, 1.0, 50,*  2, -19,11, 62.6,③①①, 5, 4,Ｋタケデンイｰグル, 54,赤木  , 0.5, 65,*  8,  -3,10, 52.8,①②②, 5, 7,Ｊパｰプルファルコン, 65,中舘  , 0.1, 73,   3,* 10, 4,  7.4,⑫⑪⑧, 5, 9,Ｂセトノシェｰバｰ, 74,内田浩, 1.1, 74,   8,   4, 8, 27.8,⑤④④
 6, 3,Ｆパフィｰダンス, 40,藤岡  , 1.0, 50,  -3, -10, 4,  6.7,⑥⑤⑤, 6, 6,Ｆアルファキャスパｰ, 63,田辺  , 0.6, 59,  -2,   1, 6, 11.1,⑧⑦⑦, 6,13,Ａダンツトレジャｰ, 77,津村  , 0.5, 67,   2,*  5, 1,  3.5,⑨⑪⑩, 6, 1,Ｊタマモガルチ, 66,柴原  , 1.1, 75,   5,   9,12, 49.4,⑩⑫⑪
 7, 4,Ｇサンキンレタｰ, 40,中舘  , 1.0, 50,*  1, -17, 2,  4.7,④②②, 7, 9,Ｇベルモントボｰジｰ, 59,二本柳, 0.6, 63,   6,  -3, 5, 10.0,③③③, 7,16,Ｂチョウノゾミ, 74,鮫島良, 0.7, 62,   2,  -5, 2,  5.5,⑦⑥⑥, 7,11,Ｇクリアヴィジョン, 68,ルメｰ, 1.1, 74,   5,   9, 5, 14.5,⑬⑫⑪
