06年11月 4日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年11月 4日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.2,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,
 9, 3,Ｈモンテグリｰン, 35,藤田伸, 3.4, 24,  -4, -35, 5, 23.7, ②②, 9, 1, オンワｰドグｰト,---,高山太, 2.0, 32, -16,  -9,12,106.5, ⑫⑪, 9,10,Ｂバリオン, 65,横山典, 1.2, 51, -14,   8, 1,  1.8, ⑩⑨, 9, 1,Ｅスピｰドタッチ, 75,北村宏, 1.7, 55,   1,  -2, 6, 26.7, ⑦⑦
,,,,,,,,,,,,10, 3, ロｰドルシファｰ,---,後藤浩, 2.6, 29,  -9, -24, 2,  4.3, ⑤⑤,10, 2,Ｊアラメダキング, 45,柴田善, 1.5, 44, -11,   1, 6, 48.7, ②③,10, 8,Ｊマイネデセｰル, 55,小野次, 1.8, 54,  -4,   2, 9, 74.1, ⑨⑨
,,,,,,,,,,,,11, 5, マキノスマップ,---,菊沢隆, 2.6, 28, -21,  -9,14,179.1, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12,14, ロｰドヴァルナ,---,北村宏, 3.0, 25, -16, -18, 7, 33.7, ⑦⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13, 4, ランナｰズデヒア,---,吉田豊, 3.9, 18,* -7, -39, 8, 51.7, ②②,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 7, クリスタルキッズ,---,松岡正, 4.9,  6, -18, -35,13,129.8, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-3),,,,,,,,,,,
"単勝:140円 複勝:08=110円 07=390円 09=650円 枠連:1,150円",,,,,,,,,,,,単勝:170円 複勝:12=120円 10=880円 13=260円 枠連:540円,,,,,,,,,,,,"単勝:590円 複勝:04=250円 03=230円 09=760円 枠連:2,380円",,,,,,,,,,,,単勝:170円 複勝:10=110円 03=220円 07=220円 枠連:740円,,,,,,,,,,,
"馬連:1,330円 ワイド:07-08=550円 08-09=700円 07-09=4,080円",,,,,,,,,,,,"馬連:6,590円 ワイド:10-12=1,960円 12-13=490円 10-13=7,570円",,,,,,,,,,,,"馬連:2,630円 ワイド:03-04=760円 04-09=2,990円 03-09=1,700円",,,,,,,,,,,,"馬連:790円 ワイド:03-10=310円 07-10=320円 03-07=1,000円",,,,,,,,,,,
"馬単:1,610円 3連複:6,380円",,,,,,,,,,,,"馬単:8,980円 3連複:24,540円",,,,,,,,,,,,"馬単:4,630円 3連複:21,180円",,,,,,,,,,,,"馬単:1,080円 3連複:1,820円 3連単:5,050円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.8,,,,,■ 5R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  芝3300m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,秋陽ｼﾞｬﾝﾌﾟS,,,,,,,,,,,,ﾌﾞﾗｼﾞﾙｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｃタニノウィンザｰ, 51,柴田善,, 55,* -9,*  4, 4,  6.3,③④③, 1, 5, コウヨウアイリｰン,---,菊沢隆,, 52,*-19,* 12,10, 27.5, ④③, 1, 4, メルシｰエイタイム,,小坂忠,,,,, 2,  3.4,⑦⑦⑥, 1, 8,Ａダイワインディアナ, 84,北村宏,, 82,*  3,* 17,11, 22.3, ③③
 2, 8,Ｈマイネルアラジン, 32,松岡正, 0.2, 55, -11,*  5, 6, 22.0,⑤⑦⑤, 2,11, ミカノレディｰ,---,蛯名正, 0.2, 42,*-16,   4, 3,  7.5, ②②, 2, 6, アグネスハット,,田中剛, 0.8,,,, 1,  2.7,④④⑤, 2, 5,Ｂアントニオマグナム, 83,藤田伸, 0.1, 79,*  4,  14, 5,  8.1, ①①
 3, 7,Ａマイネルステルス, 56,勝浦正, 0.3, 47,* -8,  -3, 1,  2.6,②②②, 3,12, ジョウノパンジｰ,---,田中勝, 0.3, 51, -22,* 14, 7, 18.6, ⑪⑪, 3, 2, シャフツベリｰ,,穂苅寿, 1.2,,,, 3,  5.8,⑥⑤②, 3,14,Ｐホウショウルビｰ, 68,後藤浩, 0.1, 82,   3,* 17, 1,  4.9, ⑤③
 4, 3,Ｄトウカイカントリｰ, 37,蛯名正, 0.5, 46, -10,  -1, 2,  3.1,⑤④⑤, 4, 3, コスモパッション,---,長谷川, 0.5, 47, -23,* 12,14,103.3, ⑬⑪, 4, 9, ハイヤｰザンヘブン,,宗像徹, 1.4,,,, 5, 12.7,②②②, 4, 7,Ｈワキノカイザｰ, 79,柴田善, 0.8, 73,   0,  13, 2,  5.1, ⑧⑧
 5, 2,Ｂマイネルランペｰジ, 53,藤田伸, 0.6, 43, -10,  -4, 3,  5.1,③②③, 5, 6, バトルマドカ,---,柴田善, 0.5, 58, -28,* 20, 5, 16.7, ⑱⑰, 5, 7, ジェイケイテイオｰ,,平沢健, 1.5,,,,10, 41.3,⑧⑧⑧, 5,15,Ｏモエレアドミラル, 71,小島太, 0.9, 70,   1,  11, 3,  7.1, ⑥⑥
 6, 5,Ｅケイコバラカ, 35,田中勝, 0.7, 40,* -7, -10, 7, 98.3,①①①, 6,13, ホリデイオンアイス,---,藤田伸, 0.5, 38,*-18,   3, 1,  2.5, ③③, 6, 5, マチカネビシャモン,,水出大, 1.8,,,,14,179.7,⑫⑬⑫, 6, 4,Ｊサクラティガｰ, 77,石神深, 1.0, 72,  -5,* 15,13, 66.6, ⑮⑮
 7, 1,Ｇニチリンサンカ, 32,菊沢隆, 0.8, 41, -11,  -4, 8,147.0,⑦⑥⑤, 7, 1, マイネレプリｰク,---,北村宏, 0.7, 36, -20,   3, 4,  7.8, ⑦⑥, 7, 3, フラップジャック,,山本康, 1.8,,,, 9, 38.2,④⑤⑦, 7,16,Ｋキｰプザフェイス, 76,横山典, 1.1, 65,*  4,   5, 7, 13.0, ②②
,,,,,,,,,,,, 8, 9, トミケンルビｰ,---,イネス, 0.8, 34, -20,   1,11, 39.6, ④⑥, 8,10, キャピタルゲイン,,蓑島靖, 1.8,,,,13,130.9,⑩⑬⑭, 8, 2,Ｄスタｰオブニルス, 82,田中勝, 1.2, 67,   0,   9, 9, 17.1, ⑧⑧
,,,,,,,,,,,, 9,15, ゼンシンゼンレイ,---,江田照, 0.8, 34,*-19,   0,12, 69.6, ④③, 9,13, ランドブラザｰ,,嘉堂信, 2.0,,,, 7, 25.4,⑭⑨⑧, 9,12,Ｆセトノシェｰバｰ, 80,蛯名正, 1.4, 61,*  3,   3, 4,  7.2, ③③
,,,,,,,,,,,,10,16, キｰプアンドゴｰ,---,横山典, 1.0, 37, -25,   7, 6, 17.8, ⑮⑭,10,11, ブレｰブティック,,浜野谷, 2.1,,,, 4,  7.6,③③①,10,11,Ｎヒカリアイ, 74,郷原洋, 1.4, 65,  -3,   9,10, 20.9, ⑬⑪
,,,,,,,,,,,,11,18, アイアムラブリｰ,---,松岡正, 1.2, 31, -20,  -5, 9, 24.4, ⑦⑥,11,14, ジャガｰ,,金子光, 2.2,,,, 6, 18.2,⑩⑫⑫,11, 1,Ｉポジティヴトライ, 77,菊沢隆, 1.4, 63,  -3,   9,15,142.7, ⑪⑪
,,,,,,,,,,,,12, 4, クラックコｰド,---,後藤浩, 1.2, 30, -22,  -2, 2,  4.6, ⑨⑨,12,12, リキアイガイセン,,沢昭典, 2.8,,,,12, 81.6,⑫⑨⑩,12, 3,Ｌラガｰリｰダｰ, 75,田中剛, 1.5, 62,   0,   6,14,121.4, ⑧⑧
,,,,,,,,,,,,13,10, ペブルスショウリ,---,田面木, 1.4, 28, -25,   1,15,135.3, ⑬⑭,13, 1, ホリディオンワｰド,,江田勇, 3.3,,,,11, 74.2,⑨⑨⑩,13,10,Ｇバロンカラノテガミ, 80,勝浦正, 1.7, 58,   1,   1, 6, 12.9, ⑥⑥
,,,,,,,,,,,,14, 7, ナイスプレゼンタｰ,---,吉田豊, 1.5, 26,*-16, -16, 8, 20.7, ①①,14, 8, カナハラコマンダｰ,,柴田未, 5.5,,,, 8, 34.8,①①②,14,13,Ｅシベリアンメドウ, 80,吉田豊, 1.7, 58,  -4,   5,12, 22.6, ⑬⑪
,,,,,,,,,,,,15,14, ジェニｰサンサン,---,勝浦正, 1.6, 27, -28,   3,16,175.8, ⑯⑰,,,,,,,,,,,,,15, 6,Ｃアテスト, 82,松岡正, 2.0, 56,  -2,   3, 8, 13.3, ⑪⑪
,,,,,,,,,,,,16,17, マルタカロｰズ,---,石神深, 2.2, -1, -21, -19,13, 74.8, ⑨⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 8, ベルモントポケット,---,水出大, 2.5,-24, -24, -22,17,201.2, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 2, ボニｰデルウエスト,---,小野次, 3.2,-40, -26, -25,18,230.7, ⑯⑭,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-4),,,,,,,,,,,
単勝:630円 複勝:06=180円 08=450円 07=140円 枠連:0円,,,,,,,,,,,,"単勝:2,750円 複勝:05=830円 11=260円 12=440円 枠連:1,760円",,,,,,,,,,,,単勝:340円 複勝:04=150円 06=130円 02=150円 枠連:570円,,,,,,,,,,,,"単勝:2,230円 複勝:08=630円 05=330円 14=240円 枠連:1,280円",,,,,,,,,,,
"馬連:4,890円 ワイド:06-08=830円 06-07=230円 07-08=750円",,,,,,,,,,,,"馬連:5,400円 ワイド:05-11=1,920円 05-12=5,350円 11-12=1,940円",,,,,,,,,,,,馬連:630円 ワイド:04-06=290円 02-04=390円 02-06=340円,,,,,,,,,,,,"馬連:10,840円 ワイド:05-08=3,200円 08-14=2,790円 05-14=1,120円",,,,,,,,,,,
"馬単:8,480円 3連複:2,400円",,,,,,,,,,,,"馬単:12,460円 3連複:43,730円",,,,,,,,,,,,"馬単:1,390円 3連複:870円",,,,,,,,,,,,"馬単:24,070円 3連複:23,840円 3連単:198,100円",,,,,,,,,,,
■ 3R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.8,,,,,■ 6R  ダ1300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,,■ 9R  芝1800m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.5,,,,,■12R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,百日草特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂヤマノミライ, 57,吉田豊,, 58, -10,* 14, 8, 27.0, ⑫⑫, 1, 5,Ａチョウカイキセキ, 72,横山典,, 73,*  7,   5, 1,  2.6, ①①, 1, 8,Ｃアサクサキングス, 55,横山典,, 79,*  4,* 14, 1,  2.4,②②②, 1, 9,Ｇマルタカハｰモニｰ, 71,蛯名正,, 65,* -7,  20, 9, 38.7,②②②
 2, 9,Ｄフィｰルフィット, 55,蛯名正, 0.1, 61,  -4,*  4, 1,  3.6, ⑨⑤, 2, 6,Ｍガイアレｰサｰ, 45,長谷川, 0.1, 73,*  4,*  7,11, 62.3, ③②, 2, 5,Ｅサンツェッペリン, 48,松岡正, 0.1, 77,   3,* 16, 5, 11.1,④③③, 2, 5,Ｅアサクサゼットキ, 77,菊沢隆, 0.0, 68,  -9,  23, 1,  3.5,④④③
 3,13,Ｅエタｰナルフラワｰ, 52,柴田善, 0.4, 58,*  0,  -5, 5, 10.7, ②②, 3, 4,Ｃプリンコックス, 63,柴田善, 0.4, 71,   0,*  9, 6, 17.1, ⑨⑦, 3, 6,Ｄマイネルブリアｰ, 48,後藤浩, 1.2, 63,   0,   5, 7, 19.3,⑧⑧⑧, 3, 3,Ａオｰルピュｰル, 82,横山典, 0.1, 76, -12,* 30, 2,  3.6,⑩⑧⑨
 4, 3,Ｊライカｰト, 38,松岡正, 0.6, 52,  -5,  -2, 3,  4.2, ⑦⑨, 4, 1,Ｂゴｰゴｰゴｰ, 65,田中勝, 0.5, 69,   1,   6, 2,  2.9, ⑤⑤, 4, 4,Ｆマイディアサン, 45,蛯名正, 1.5, 60,   4,  -7, 3,  5.4,②③③, 4, 7,Ｊアグネスパウエル, 65,北村宏, 0.1, 68,  -9,  24, 8, 33.8,④④⑤
 5, 5,Ａゲラウトマイウエイ, 58,横山典, 0.7, 53,* -2,  -8, 2,  4.1, ⑤③, 5, 2,Ｈアグネスリュウ, 58,後藤浩, 1.2, 62,  -5,   6, 7, 23.5, ⑩⑩, 5, 3,Ｂフィｰルドウイナｰ, 59,柴田善, 1.9, 55,   2, -10, 2,  3.8,⑤③⑤, 5, 1,Ｃアクレイム, 77,藤田伸, 0.2, 69, -11,  25, 5,  8.5,⑧⑧⑧
 6, 8,Ｃケイアイフェザｰ, 56,後藤浩, 0.7, 54,*  1, -11, 6, 12.0, ①①, 6, 3,Ｅショウナンドライヴ, 63,吉田豊, 1.3, 62,  -7,*  7, 5, 14.4, ⑪⑪, 6, 1,Ａディｰエスボランチ, 59,勝浦正, 2.1, 52,   1, -12, 6, 12.5,⑤⑥⑤, 6, 4,Ｈユキノアサカゼ, 70,後藤浩, 0.2, 75, -13,* 29, 7, 20.7,⑧⑩⑩
 7, 6,Ｋレディモモ, 36,勝浦正, 1.0, 46,  -7,  -5,10, 41.3, ⑨⑪, 7,11,Ｆケイウンヘイロｰ, 61,郷原洋, 1.4, 56,*  4,  -6,12, 80.0, ③②, 7, 7, ゴｰルデンジュビリ,---,藤田伸, 2.2, 51,   1, -14, 4,  8.0,⑤⑥⑤, 7, 2,Ｄピサノパテック, 77,柴田善, 0.2, 67, -10,  24, 3,  4.5,④⑥⑤
 8,11,Ｍヤマニンノベリスト, 22,田中勝, 1.3, 42,  -6, -11,12, 63.0, ⑨⑨, 8, 7,Ｌレディフェザｰ, 55,勝浦正, 1.4, 60,  -6,   5,13,232.6, ⑫⑪, 8, 2,Ｇピンクバンサｰ, 29,イネス, 2.3, 51,*  4, -21, 8, 28.3,①①①, 8, 8,Ｆアフリカンビｰト, 72,イネス, 0.5, 54,* -6,  10, 4,  6.2,①①①
 9,10,Ｈレパティヌｰル, 39,菊沢隆, 1.4, 42,  -3, -17,11, 49.8, ⑦⑤, 9,10,Ｊエプソムメサイア, 56,江田照, 1.5, 57,  -3,   1, 9, 54.5, ⑦⑨,,,,,,,,,,,,, 9, 6,Ｂエイシンサリヴァン, 78,吉田豊, 0.8, 52,  -9,  11, 6, 12.7,②②③
10,12,Ｇスイｰトスティッチ, 40,郷原洋, 1.5, 38, -11,  -8,13,166.3, ⑫⑫,10, 9,Ｉトワイニングイモン, 57,南田雅, 1.7, 56,  -7,   4, 8, 26.9, ⑫⑬,,,,,,,,,,,,,10,10,Ｉマイネルレジオ, 66,勝浦正, 1.2, 48, -10,   8,10,107.8,⑦⑥⑤
11, 4,Ｆテッシュｰヒカリ, 51,江田照, 1.6, 39,  -3, -21, 9, 34.8, ③⑤,11, 8,Ｄバウンシングボマｰ, 63,松岡正, 1.7, 52,*  5, -10, 3,  5.9, ②②,,,,,,,,,,,,,,,,,,,,,,,,
12, 1,Ｉフラッシュダンス, 39,北村宏, 1.7, 38,* -2, -24, 4,  7.1, ③③,12,12,Ｇキラライットウセイ, 61,蛯名正, 1.9, 51,   2,  -8, 4, 11.8, ⑤⑤,,,,,,,,,,,,,,,,,,,,,,,,
13, 7,Ｌサンバリズム, 36,藤田伸, 1.8, 36,  -3, -24, 7, 22.8, ⑤⑤,13,13,Ｋコスモワイズマン, 56,小野次, 2.0, 50,  -1,  -6,10, 60.7, ⑦⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+20 馬場:良(指数:-4),,,,,,,,,,,
"単勝:2,700円 複勝:02=500円 09=150円 13=250円 枠連:3,200円",,,,,,,,,,,,"単勝:260円 複勝:05=140円 06=1,110円 04=350円 枠連:5,500円",,,,,,,,,,,,単勝:240円 複勝:08=130円 05=240円 06=350円 枠連:0円,,,,,,,,,,,,"単勝:3,870円 複勝:09=750円 05=160円 03=160円 枠連:5,400円",,,,,,,,,,,
"馬連:4,460円 ワイド:02-09=1,400円 02-13=2,530円 09-13=620円",,,,,,,,,,,,"馬連:9,950円 ワイド:05-06=2,540円 04-05=670円 04-06=10,270円",,,,,,,,,,,,"馬連:1,280円 ワイド:05-08=460円 06-08=770円 05-06=1,950円",,,,,,,,,,,,"馬連:8,250円 ワイド:05-09=2,260円 03-09=2,250円 03-05=290円",,,,,,,,,,,
"馬単:11,850円 3連複:11,250円",,,,,,,,,,,,"馬単:13,660円 3連複:37,990円",,,,,,,,,,,,"馬単:1,920円 3連複:6,860円 3連単:25,940円",,,,,,,,,,,,"馬単:21,750円 3連複:10,910円 3連単:113,050円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
