06年12月 9日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年12月 9日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.6,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,,■10R  芝1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.8,,,,
11,15,Ｎベルモントダッシュ, 20,小島太, 2.1, 34, -13, -12,12,117.6, ⑨⑪,12, 7, チアズパンサｰ,---,永島太, 3.8,-56, -45, -13,12,114.8,⑪⑫⑩,12,15,Ｍキングオブパンサｰ, 48,柴原央, 1.8, 50,  -3,  -4,13, 95.1,⑮⑮⑮,12, 9,Ｄトップコメット, 66,渡辺薫, 0.9, 53,  -3,  -3, 9, 22.8, ⑩⑪
13, 3,Ｉリンガスフリｰト, 38,西田雄, 2.2, 35, -11, -12,14,159.6, ⑨⑨,,,,,,,,,,,,,13,13,Ｅヒカルラブハｰト, 61,大野拓, 2.3, 45,   0, -16, 9, 31.4,⑩⑪⑪,13, 5,Ｃロッキｰノホウセキ, 67,塚田祥, 1.0, 51,  -3,  -5, 8, 17.2, ⑩⑪
14,10,Ｍキャットムｰン, 23,田中克, 3.0, 23, -22, -15,16,389.9, ⑭⑮,,,,,,,,,,,,,14,14,Ｋラスカルシチｰ, 58,石橋脩, 2.3, 49,*  5, -23,10, 57.2,①①②,14,10, シャインハｰト,---,永島太, 1.6, 41,  -9,  -8,14,153.1, ⑭⑬
15,14,Ｐキャットニップ,  5,塚田祥, 3.2, 22, -26, -13,15,342.7, ⑯⑯,,,,,,,,,,,,,15, 9,Ｎドレックセル, 47,菊沢隆, 3.0, 42,  -1, -20,14,104.2,⑬⑬⑪,15,12, シンメイジョアｰ,---,石橋脩, 2.3, 34,   4, -31,12, 86.3, ④④
16, 7,Ｏメモリｰアパティア, 13,古川吉, 3.4, 22,   0, -31,11, 94.3, ④⑦,,,,,,,,,,,,,,,,,,,,,,,,,16, 6, エフテｰパンサｰ,---,中谷雄, 2.4, 31, -18, -11,16,368.2, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-29 ﾚｰｽｱｶﾞﾘ指数:+30 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:1),,,,,,,,,,,
単勝:320円 複勝:04=120円 02=130円 11=220円 枠連:530円,,,,,,,,,,,,単勝:360円 複勝:09=160円 01=150円 10=670円 枠連:520円,,,,,,,,,,,,"単勝:490円 複勝:03=180円 04=550円 12=390円 枠連:3,850円",,,,,,,,,,,,"単勝:1,710円 複勝:16=340円 13=170円 04=260円 枠連:1,500円",,,,,,,,,,,
馬連:450円 ワイド:02-04=220円 04-11=500円 02-11=630円,,,,,,,,,,,,"馬連:550円 ワイド:01-09=260円 09-10=1,790円 01-10=2,330円",,,,,,,,,,,,"馬連:4,180円 ワイド:03-04=1,720円 03-12=990円 04-12=3,390円",,,,,,,,,,,,"馬連:2,750円 ワイド:13-16=970円 04-16=2,170円 04-13=690円",,,,,,,,,,,
"馬単:960円 3連複:1,270円",,,,,,,,,,,,"馬単:1,100円 3連複:6,430円",,,,,,,,,,,,"馬単:6,600円 3連複:14,120円",,,,,,,,,,,,"馬単:7,710円 3連複:8,270円 3連単:60,950円",,,,,,,,,,,
■ 2R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.0,,,,,■ 5R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.3,,,,,■ 8R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.2,,,,,■11R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,豊明特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａドラマチックテナｰ, 67,中舘英,, 70,   2,*  8, 1,  1.8,⑨⑦④, 1, 9,Ｆニットウサラン, 63,赤木高,, 63,* -6,  10, 3,  5.3,①①①, 1, 5,Ｂトウショウカレッジ, 73,松田大,, 78,*  6,  11, 2,  4.9, ③③, 1,13,Ｊアグネスラック, 65,鮫島良,, 67,* -9,  23, 5,  9.4,②②②
 2,14,Ｇクイッククイック, 57,田中克, 0.3, 66,*  3,   0,11, 73.9,③③②, 2, 8,Ｅエイダイタカラブネ, 65,石橋脩, 0.0, 63,* -6,  10, 7, 15.3,②②②, 2,18,Ｃパパラチア, 71,北村友, 0.0, 74,*  4,  10, 3,  9.1, ③③, 2, 6,Ｉピｰスオブラヴ, 65,塚田祥, 0.1, 66,*-10,  23,11, 59.1,②③③
 3, 4,Ｂアドマイヤミラクル, 64,柴山雄, 0.6, 65,   2,   4, 2,  3.2,⑫⑧⑥, 3, 2,Ｂパｰフェクトマッチ, 70,塚田祥, 0.2, 67, -10,* 16, 1,  2.8,⑧⑧⑧, 3, 4,Ａフュノンガルウ, 77,郷原洋, 0.2, 76,   1,* 13, 1,  3.5, ⑦⑥, 3,10,Ｇカネトシツヨシオｰ, 68,石橋脩, 0.2, 65,*-10,  23, 3,  5.3,⑦⑥③
 4, 3,Ｊトｰセンマウンテン, 53,加藤士, 0.7, 62,  -1,*  8,12, 84.9,⑭⑬⑪, 4, 7,Ｉイチバンサクラ, 55,中舘英, 0.6, 59,  -9,  10, 6,  9.6,⑪⑦⑦, 4, 3,Ｄトッケンショウブ, 71,柴原央, 0.2, 73,*  6,   8, 8, 17.6, ③③, 4, 2,Ａカフェベネチアン, 77,菊沢隆, 0.3, 66, -12,  24, 1,  3.2,⑦⑨⑨
 5, 6,Ｅアルスボヘミアン, 58,菊沢隆, 0.8, 65,*  6,  -5, 3, 11.2,②①①, 5, 6,Ａマヤラブハｰト, 70,小林徹, 0.6, 56,  -7,   8, 4,  8.2,⑤④④, 5, 8,Ｇミスズブライト, 67,塚田祥, 0.3, 68,*  7,   4, 6, 11.4, ②②, 5, 1,Ｆナスノストロｰク, 69,赤木高, 0.4, 74, -16,* 30, 4,  5.9,⑫⑫⑩
 6,10,Ｃジェネスタキオン, 61,大野拓, 0.9, 60,   0,   1, 5, 15.3,⑨⑧⑥, 6,12,Ｄメイショウルイｰズ, 65,柴山雄, 0.8, 62, -12,* 14, 5,  8.8,⑬⑫⑫, 6, 1,Ｅブｰケティアラ, 70,津村明, 0.4, 72,  -4,* 14,12, 31.5, ⑫⑨, 6,14,Ｄホシノプレゼント, 70,生野賢, 0.4, 56,* -8,  15, 6, 13.1,①①①
 7, 9,Ｋモンプランス, 52,塚田祥, 1.5, 56,  -1,  -2, 6, 25.2,⑬⑪⑩, 7,10,Ｇマイネエムロｰド, 61,佐藤聖, 0.8, 55, -11,   8,10,101.1,⑪⑧⑨, 7, 2,Ｍセフティｰフリｰズ, 62,佐藤聖, 0.6, 62,  -1,   5,16, 73.9, ⑦⑥, 7, 4,Ｋロｰレルオスカｰ, 64,小坂忠, 0.4, 79, -17,* 33,13, 99.7,⑭⑭⑬
 8,12,Ｌメイショウシンゲツ, 50,北村友, 1.7, 54,   2, -10,13,212.7,⑥④⑤, 8, 1,Ｈポンテペルレ, 60,大野拓, 1.2, 53, -12,   9, 8, 16.8,⑧⑫⑨, 8, 6,Ｌライフゴｰズオン, 63,西田雄, 0.8, 64,  -3,   8,10, 24.2, ⑫⑬, 8, 3,Ｃマイネルバシリコス, 71,松田大, 0.5, 69, -15,  27, 7, 20.8,⑪⑪⑩
 9,11,Ｆヒシカｰド, 57,鮫島良, 2.4, 51,*  5, -20, 7, 32.6,①②②, 9, 5,Ｊミスフェイスフル, 53,北村友, 1.2, 46,* -7,  -2, 9, 50.0,②②③, 9,14,Ｆスズカエルムス, 69,田島裕, 0.8, 66,  -8,* 13,13, 34.1, ⑮⑬, 9, 7,Ｅロｰドグランディス, 70,小林徹, 0.6, 55,*-10,  17, 8, 28.3,④⑥③
10, 7,Ｉオピニオンシチｰ, 54,田嶋翔, 2.5, 49,   0, -11,10, 70.3,⑨⑪⑫,10, 4,Ｍクインリボｰ, 34,郷原洋, 1.3, 48,  -7,   1,11,141.9,⑤④④,10,17,Ｈアドマイヤダｰリン, 66,柴山雄, 0.8, 65,  -5,  10, 4,  9.3, ⑭⑬,10, 8,Ｈメイショウアカシ, 65,芹沢純, 0.8, 51,*-10,  14,12, 66.1,⑨⑥③
11, 5,Ｄタツシャンハイ, 60,赤木高, 2.5, 50,   3, -16, 9, 55.5,⑥④⑥,11, 3,Ｋクイックマリ, 50,田中克, 1.6, 44, -11,   1,13,274.6,④⑧⑨,11,13,Ｋステキナブロンコ, 63,鈴来直, 0.9, 65, -10,* 13,15, 49.0, ⑰⑰,11,11,Ｂグランオマｰジュ, 74,中舘英, 1.0, 49,*-10,   9, 2,  4.6,⑥③③
12,13, ハッピｰヘイロｰ,---,芹沢純, 3.5, 42,  -1, -18, 4, 14.0,⑧⑬⑭,12,13,Ｃヒシシンエイ, 66,菊沢隆, 1.6, 46,  -7,  -2, 2,  5.0,⑧④④,12, 7,Ｏサクラチェリｰ, 59,高橋亮, 0.9, 58,*  9,  -5, 7, 17.2, ①①,12, 5,Ｍシンワインザダｰク, 62,津村明, 1.2, 52, -16,  20,10, 45.6,⑬⑬⑬
13, 1,Ｈラドランデンジャｰ, 55,津村明, 3.7, 40,   2, -28, 8, 55.1,④④⑥,13,11,Ｌシルクルフラン, 48,田面木, 4.5,  2,  -9, -26,12,183.1,⑤⑧⑬,13,15,Ｊブライティアベスト, 64,石橋脩, 1.1, 56,   3,  -2, 9, 19.1, ⑥⑧,13,12,Ｎブルｰフェアプレｰ, 38,古川吉, 1.6, 44, -14,   9,14,226.9,⑩⑩⑩
14, 8,Ｍクリスタルハｰト, 47,南井大, 4.5, 35,   1, -32,14,221.3,④⑩⑫,,,,,,,,,,,,,14, 9, サダムポラリス,---,鮫島良, 1.3, 51,  -1,  -3,17, 87.0, ⑨⑨,14, 9,Ｌカイシュウムサシ, 64,大野拓, 1.6, 48,*-10,   0, 9, 28.6,④③③
,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｎアドマイヤソニック, 61,菊沢隆, 1.5, 51,  -8,   2,14, 36.8, ⑮⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｉホウライナポレオン, 65,田中克, 2.1, 41,  -2, -17, 5, 11.2, ⑨⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,12,Ｐビクトリｰユｰゴウ, 58,大野拓, 2.6, 35,  -2, -24,11, 28.4, ⑨⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,10,Ｑアインイチバン, 10,千葉直, 2.8, 29, -29,  -1,18,326.1, ⑱⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:稍重(指数:0),,,,,,,,,,,
"単勝:180円 複勝:02=110円 14=700円 04=120円 枠連:1,160円",,,,,,,,,,,,"単勝:530円 複勝:09=180円 08=330円 02=160円 枠連:2,180円",,,,,,,,,,,,単勝:490円 複勝:05=170円 18=260円 04=140円 枠連:970円,,,,,,,,,,,,"単勝:940円 複勝:13=340円 06=1,440円 10=220円 枠連:5,540円",,,,,,,,,,,
"馬連:5,510円 ワイド:02-14=1,260円 02-04=140円 04-14=1,610円",,,,,,,,,,,,"馬連:2,660円 ワイド:08-09=890円 02-09=500円 02-08=960円",,,,,,,,,,,,"馬連:2,340円 ワイド:05-18=810円 04-05=320円 04-18=610円",,,,,,,,,,,,"馬連:22,610円 ワイド:06-13=4,190円 10-13=1,100円 06-10=5,290円",,,,,,,,,,,
"馬単:7,120円 3連複:3,040円",,,,,,,,,,,,"馬単:5,080円 3連複:4,380円",,,,,,,,,,,,"馬単:4,710円 3連複:2,570円",,,,,,,,,,,,"馬単:45,790円 3連複:60,900円 3連単:395,130円",,,,,,,,,,,
■ 3R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,,■ 6R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7.4,,,,,■ 9R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.3,,,,,■12R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鳴海特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａキｰレタｰ, 68,飯田祐,, 67,  -1,*  6, 1,  3.9, ⑧⑧, 1, 1,Ｎハｰドムｰン, 45,西田雄,, 72,   6,   5,10, 47.4, ③③, 1, 6,Ａトラベルシチｰ, 67,塚田祥,, 72,   2,* 10, 1,  1.7,④⑤④, 1, 1,Ｄバンブｰウエファ, 67,柴山雄,, 83,* 11,*  8, 3,  5.3,②①①
 2,13,Ｅトレトレジョリ, 63,石橋脩, 0.1, 67,   4,   2, 2,  4.6, ⑥④, 2, 3,Ｍウインカスケｰド, 51,津村明, 0.0, 70,* 11,   2, 9, 35.3, ①①, 2,12,Ｋブルルイ, 55,芹沢純, 0.5, 71,*  5,   4, 7, 20.0,③③②, 2,12,Ｃブレイズワン, 67,芹沢純, 0.3, 78,   8,* 11, 7, 18.6,⑧⑧⑤
 3, 4,Ｈメイショウマンテン, 59,古川吉, 0.3, 66,* 12,  -5,11, 71.6, ①①, 3, 8,Ｌフォワｰドダンサｰ, 52,中舘英, 0.2, 69,   3,   5,12, 55.7, ⑥⑥, 3, 5,Ｂクリティカルライト, 63,菊沢隆, 0.6, 69,   2,*  8, 4,  8.0,⑧⑥⑥, 3,18,Ｂフルヴィクトリｰ, 72,赤木高, 0.7, 74,*  9,   2, 4,  5.7,⑤④④
 4, 7,Ｆアルファルド, 63,中舘英, 0.4, 63,  -2,   3, 4,  5.7, ⑨⑩, 4, 6,Ｇバクシンハヤブサ, 58,田嶋翔, 0.2, 68,*  8,   2, 3,  8.6, ②②, 4, 1,Ｄナカヤマスナイパｰ, 61,岩部純, 0.8, 68,   2,   7, 2,  7.2,⑪⑦⑥, 4, 5,Ｆアンドレルノｰトル, 65,石橋脩, 0.8, 73,   7,   5, 5, 12.8,⑩⑨⑨
 5, 9,Ｉジｰティｰピｰチ, 56,橋本美, 0.4, 64,   7,  -3, 8, 17.8, ④②, 5,13,Ａブラックバッカラ, 63,大野拓, 0.5, 64,  -5,*  7, 6, 16.2, ⑧⑧, 5, 4,Ｅグランドタイガｰ, 61,大野拓, 1.1, 63,   1,   3, 3,  7.9,⑥⑦⑥, 5, 4,Ｅダンツサクラ, 66,北村友, 0.9, 71,   6,*  7,11, 42.1,⑬⑪⑪
 6, 3,Ｃイクエイタｰ, 67,中谷雄, 0.5, 62,   2,  -1, 9, 25.2, ⑥⑥, 6,12,Ｂコアレスパレｰド, 62,赤木高, 0.6, 66, -13,* 11, 5, 12.3, ⑭⑬, 6,10,Ｉセイザンコズウェイ, 55,中舘英, 1.2, 66,*  6,  -4, 8, 40.7,②②②, 6,11,Ｉモンブランカフェ, 64,小島太, 0.9, 72,*  9,  -1, 8, 27.2,⑦④⑤
 7,15,Ｄトップアクトレス, 65,田中克, 0.5, 61,   4,  -4, 6, 12.3, ④⑥, 7, 9,Ｐアラタマハｰバｰ, 36,高井彰, 0.7, 62,  -5,   5,15,236.0, ⑧⑧, 7,13,Ｍリキアイノキセキ, 47,西田雄, 1.2, 64,   0,   6,13,288.2,⑨⑩⑨, 7, 9,Ｈダンスオｰルナイト, 64,中舘英, 1.1, 69,   4,*  7, 6, 17.9,⑭⑭⑭
 8, 1,Ｌサウンドバイト, 48,菊沢隆, 0.5, 62,  -2,   2,12, 72.5, ⑨⑧, 8,15,Ｋカシノエスケイプ, 53,佐藤聖, 0.7, 60,  -6,   4, 7, 19.8, ⑧⑧, 8, 9,Ｇメイショウダンケン, 60,北村友, 1.4, 60,  -2,   5,11, 77.3,⑬⑪⑩, 8,10,Ｌレオシャｰプ, 62,大野拓, 1.1, 69,*  9,  -4, 9, 30.2,③④⑤
 9, 6,Ｊシノワｰルド, 51,高山太, 0.6, 60,  -7,   4, 7, 16.0, ⑪⑫, 9, 2,Ｅオｰトセレブ, 59,渡辺薫, 0.8, 58,   6,  -3, 1,  2.1, ③③, 9, 2,Ｆダイシンチャンス, 60,飯田祐, 2.0, 57,  -3,   4, 6, 19.6,⑭⑬⑬, 9,15,Ｏニシノカエデマル, 58,古川吉, 1.2, 68,*  9,  -5,13, 64.1,⑥④⑤
10, 8,Ｋシゲルサンダｰアイ, 48,小原義, 0.7, 57, -20,* 11,15,158.6, ⑭⑭,10,16,Ｈサクラシリウス, 56,石橋脩, 0.9, 58,   0,   0,13, 60.8, ⑦⑦,10,11,Ｈワｰルドレコｰド, 57,石橋脩, 2.1, 57,  -1,  -1, 5, 13.6,⑫⑪⑩,10,14,Ａコウエイマｰブル, 75,菊沢隆, 1.2, 68,   6,   2, 2,  4.3,⑪⑪⑪
11,12,Ｎロｰランセレス, 38,塚田祥, 1.0, 53, -12,   3,13, 85.1, ⑬⑬,11, 7,Ｃレオマジック, 62,柴山雄, 0.9, 60, -13,*  8, 2,  5.0, ⑭⑮,11, 8,Ｌカイパｰベルト, 54,赤木高, 2.4, 56,*  6, -15,12, 77.6,①①①,11, 6,Ｊトウカイマｰチ, 64,西田雄, 1.3, 66,   5,   2,10, 30.6,⑪⑭⑪
12,14,Ｏエプソムセイレｰン, 31,柴山雄, 1.1, 52, -21,*  8,14,141.1, ⑮⑮,12, 5,Ｄアグネスカラット, 61,北村友, 1.0, 55, -11,   4,14, 61.1, ⑫⑫,12,14,Ｊアリマエクセレント, 55,渡辺薫, 2.5, 55,   4, -13,10, 47.7,⑥④⑤,12, 8,Ｎツルマルロｰズ, 60,松田大, 1.5, 64,   3,   4,12, 45.0,⑯⑰⑯
13,10,Ｂフロｰラルジュノｰ, 68,田嶋翔, 1.2, 56,*  9, -12, 3,  5.1, ②②,13, 4,Ｆムソウ, 58,田中克, 1.2, 50,   4,  -7, 8, 29.1, ⑤⑤,13, 3,Ｃフサイチエｰシック, 62,永島太, 2.6, 53,   2, -10, 9, 47.2,④⑦⑩,13, 3,Ｒビッグシャトル, 51,津村明, 1.6, 63,   4,   1,15,153.4,⑰⑯⑮
14, 2,Ｍウエスタンランラン, 40,佐藤聖, 1.7, 45,  -7,  -9,10, 34.1, ⑪⑪,14,10,Ｊデライトホｰラｰ, 55,飯田祐, 1.6, 48,  -5,  -4, 4,  9.3, ⑧⑪,14, 7,Ｎゼットシｰマ, 46,田中克, 5.4, 31,  -8, -23,14,294.3,⑨⑭⑭,14,16,Ｋオリオンオンサイト, 62,鮫島良, 1.7, 63,* 10, -16, 1,  3.6,③③②
15,11,Ｇリンガスゲｰム, 60,西田雄, 1.7, 50,*  9, -17, 5, 11.0, ②④,15,11,Ｉサンレイコマンド, 56,難波剛, 1.6, 49,  -9,  -1,11, 48.7, ⑫⑬,,,,,,,,,,,,,15, 7,Ｑケイジｰウォリア, 53,郷原洋, 1.7, 62,   7,  -8,16,159.2,⑮⑨⑨
