06年 7月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 7月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.8,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.6,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-4.5,,,,
 9,13,Ｊアロマクイｰン, 30,橋本美, 1.2, 45, -11,  -1,15,307.6, ⑦⑦,,,,,,,,,,,,, 9,10,Ｇドリｰムゲッタｰ, 64,渡辺薫, 2.1, 44, -12,  -3, 7, 15.5, ⑧⑩, 9, 1,Ｈモノポライザｰ, 70,上村洋, 0.9, 63, -19,  23, 8, 39.2, ⑨⑧
10,14,Ｈアドミラビリス, 42,上村洋, 1.4, 40, -16,  -2,14,151.1, ⑩⑩,,,,,,,,,,,,,10, 5,Ｉワンダｰデビル, 57,上野翔, 2.5, 37, -15,  -7,13,114.2, ⑪⑩,,,,,,,,,,,,
11, 1,Ｋマイネルピッキオ, 24,熊沢重, 1.5, 38, -19,   0,12, 87.1, ⑫⑫,,,,,,,,,,,,,11, 7,Ｌプレミアシチｰ, 52,佐久間, 2.5, 40, -20,  -2,14,178.2, ⑬⑫,,,,,,,,,,,,
12, 5,Ｌアトラクティヴ, 20,畑端省, 1.6, 37, -14,  -7,10, 71.5, ⑧⑦,,,,,,,,,,,,,12, 9,Ｍホｰマンティアラ, 51,飯田祐, 2.5, 40, -21,  -1,10, 85.3, ⑭⑫,,,,,,,,,,,,
13, 8,Ｃエイシンイチズ, 54,赤木高, 1.6, 40, -19,   1, 3,  6.6, ⑫⑬,,,,,,,,,,,,,13, 8,Ｎノｰブルハｰモニｰ, 42,赤木高, 2.7, 35, -18,  -7,11,106.9, ⑫⑫,,,,,,,,,,,,
14, 9,Ｏカシノダンク,-16,幸英明, 2.1, 30, -29,   0,11, 74.4, ⑮⑮,,,,,,,,,,,,,14,14,Ｋヨシブリザｰド, 53,熊沢重, 2.8, 38,  -7, -13,12,107.6, ⑦⑦,,,,,,,,,,,,
15, 4,Ｍシルクイグニション, 15,石橋守, 2.3, 30, -21, -11,13,116.7, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:稍重(指数:-7),,,,,,,,,,,
単勝:840円 複勝:06=270円 03=240円 15=660円 枠連:700円,,,,,,,,,,,,単勝:180円 複勝:05=120円 07=310円 枠連:0円,,,,,,,,,,,,単勝:330円 複勝:12=130円 13=180円 04=130円 枠連:870円,,,,,,,,,,,,"単勝:810円 複勝:03=200円 02=200円 05=120円 枠連:2,460円",,,,,,,,,,,
"馬連:2,550円 ワイド:03-06=1,000円 06-15=2,880円 03-15=2,030円",,,,,,,,,,,,馬連:670円 ワイド:05-07=230円 04-05=150円 04-07=420円,,,,,,,,,,,,"馬連:1,520円 ワイド:12-13=410円 04-12=250円 04-13=480円",,,,,,,,,,,,"馬連:2,800円 ワイド:02-03=780円 03-05=290円 02-05=360円",,,,,,,,,,,
"馬単:5,050円 3連複:21,510円",,,,,,,,,,,,馬単:880円 3連複:760円,,,,,,,,,,,,"馬単:2,240円 3連複:1,490円",,,,,,,,,,,,"馬単:5,800円 3連複:1,530円 3連単:16,270円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.4,,,,,■ 5R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.4,,,,,■ 8R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.8,,,,,■11R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,英彦山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａコウエイノホシ, 61,田中克,, 59,  -9,* 12, 3,  5.3,⑪⑦⑦, 1, 8,Ｅオドゥｰルゲラン, 53,中村将,, 54, -10,*  7, 3,  9.4,⑭⑬⑦, 1,10,Ｃナナヨｰティアラ, 66,和田竜,, 71,  -2,  13, 5,  7.7, ④③, 1, 9,Ｃケｰジｰツヨシ, 69,佐藤哲,, 67,  -2,*  8, 3,  6.4,⑥⑤②
 2, 2,Ｉウォｰタｰトリック, 43,高橋亮, 0.4, 59,  -4,*  3, 7, 22.4,⑤④⑤, 2, 1,Ａサクラインザダｰク, 69,武豊  , 0.2, 54,* -3,  -7, 1,  1.5,②②①, 2, 3,Ｆゼンノゴウシュウ, 63,小牧太, 0.1, 68,   0,  10, 3,  5.0, ③②, 2, 5,Ｇスノｰバロック, 62,幸英明, 0.2, 62,  -6,*  8,10, 62.4,⑪⑧⑥
 3, 6,Ｂサンライズボンバｰ, 56,高野容, 0.5, 58,  -4,*  2, 1,  2.3,⑤④②, 3, 5,Ｋテイエムエｰス, 42,佐久間, 0.3, 52,  -5,* -2,10, 79.5,⑫⑤④, 3, 6,Ｅメイショウブンゴ, 63,幸英明, 0.1, 71,  -5,* 14, 2,  4.3, ⑨⑧, 3,11,Ｆヨドノテイオｰ, 65,川田将, 0.5, 53,* -3,  -4, 2,  4.7,③②②
 4, 9,Ｈダイショウジェット, 43,武豊  , 1.0, 54,* -3,  -4, 4,  6.6,②②①, 4,11,Ｂエレガンスボｰイ, 65,川田将, 0.5, 48,* -4, -10, 2,  5.2,③③③, 4, 9,Ｄホワイトペッパｰ, 65,川田将, 0.3, 63,  -4,   9, 6, 10.3, ⑥⑥, 4, 2,Ｊアキノレッドスタｰ, 60,福永祐, 0.5, 53,* -3,  -4, 7, 23.0,②②①
 5,12,Ｅドンコルレオｰネ, 44,小池隆, 1.4, 51,* -3,  -8,12,109.1,②②②, 5, 6,Ｃアドマイヤタキオン, 58,福永祐, 0.7, 47,  -7,* -4, 4, 10.5,⑫⑪⑩, 5, 5,Ｇニホンピロリビエラ, 61,川島信, 0.6, 58,  -4,   5, 1,  3.6, ⑥⑧, 5, 8,Ｈランドフラッグ, 61,高橋亮, 0.6, 59,  -3,   2,12,122.3,⑩⑧⑥
 6,13,Ｋナムラガリレオ, 41,熊沢重, 2.0, 46,  -5, -11, 9, 37.2,④④⑥, 6,18,Ｈセフティグランプリ, 50,幸英明, 0.9, 45,  -5, -13,12, 97.0,⑤④④, 6, 1,Ｉプレシャスドロップ, 54,飯田祐, 0.7, 52,*  1,  -5, 9, 61.9, ①①, 6,14,Ｂフェスティブドラマ, 76,渡辺薫, 0.6, 52,* -3,  -4, 6, 18.2,④④②
 7,15,Ｇレｰスオブスタｰズ, 44,福永祐, 2.4, 42,  -9,  -8, 2,  4.3,⑪⑩⑩, 7, 2,Ｊカシノオウジャ, 44,和田竜, 1.2, 41,  -7, -11,11, 89.1,⑨⑪⑭, 7, 8,Ａメイショウモア, 68,中村将, 0.8, 50,  -4,  -2, 7, 12.9, ④③, 7, 4,Ｅアグネスヘルメス, 65,熊沢重, 0.7, 55,  -2,  -2, 5, 17.2,⑤⑤⑥
 8, 3,Ｄコｰドテレグラム, 44,小牧太, 2.8, 39,  -8, -14, 6, 22.3,⑦⑦⑧, 8,14,Ｎチョウビジン, 35,太宰啓, 1.2, 43,  -7, -13,13,129.3,⑨⑩⑥, 8, 7,Ｊエクスキュｰション, 52,高野容, 0.8, 60, -18,* 16,10, 63.2, ⑩⑩, 8, 6, ワンパクメロ,---,権藤学, 0.8, 55,  -8,   3, 9, 59.2,⑪⑫⑨
 9, 8,Ｌディｰダッシュ, 38,中村将, 3.0, 36,* -4, -26,15,266.9,①①②, 9,13,Ｉアフェランドラ, 45,金折知, 1.2, 42,  -5, -16, 6, 30.7,⑪⑤⑦, 9, 4,Ｈマイネルウェルス, 59,福永祐, 1.2, 44,  -6,  -6, 8, 18.2, ⑥⑥, 9,10,Ａトｰセンシャナオｰ, 79,武豊  , 1.0, 46,* -3, -12, 1,  1.9,①①②
10, 7,Ｆライブリシュロム, 44,石橋守, 3.2, 36,  -8, -18, 5, 21.1,⑦⑦⑧,10,15,Ｍオｰエスレディｰ, 37,小原義, 1.4, 39,  -9, -10,17,449.0,⑭⑮⑮,10, 2,Ｂホウライナポレオン, 67,田中克, 1.2, 46,*  1, -13, 4,  6.4, ②③,10, 1,Ｉニホンピロザプラウ, 60,北村浩, 1.0, 56,  -6,   2,13,131.4,⑧⑫⑬
11,11,Ｃエタｰナルサｰガ, 45,幸英明, 3.4, 34, -11, -14,11, 77.7,⑬⑬⑫,11,12,Ｆヒルノラポストｰル, 53,高野容, 1.4, 39,  -8, -13, 8, 60.6,⑦⑬⑫,,,,,,,,,,,,,11, 7,Ｌバンブｰジｰコ, 55,和田竜, 1.1, 52,  -5,  -2,11,101.7,⑪⑪⑨
12, 4,Ｎチュウワクイｰン, 32,鮫島克, 3.7, 32, -10, -18,13,188.7,⑭⑬⑫,12, 7,Ｐペプチドラアｰジャ, 33,高井彰, 1.7, 36, -13,  -5,16,307.3,⑱⑰⑯,,,,,,,,,,,,,12, 3,Ｄメジロラガマフィン, 69,赤木高, 1.3, 48,  -3, -10, 4,  8.2,⑦⑦⑨
13, 5,Ｊメイケイハンタｰ, 42,上野翔, 3.9, 28, -10, -24, 8, 34.0,⑩⑩⑩,13,16,Ｄフィｰルドユウキ, 57,小牧太, 1.7, 37,* -2, -31, 5, 24.2,①①②,,,,,,,,,,,,,13,13,Ｋシルキｰパフュｰム, 58,上村洋, 1.6, 45,  -3, -13, 8, 45.5,⑧⑧⑨
14,10,Ｍドリｰムステｰジ, 36,赤木高, 4.3, 28, -10, -24,14,257.8,⑮⑬⑮,14,10,Ｌヒシアニマ, 41,田嶋翔, 2.1, 33,  -6, -28, 9, 66.8,③⑤⑪,,,,,,,,,,,,,14,12, ユウワプラチナ,---,鮫島克, 3.8, 24, -15, -25,14,133.8,⑭⑭⑭
15,14,Ｏエイシンテンドｰ, 31,和田竜, 5.4, 22,  -9, -37,10, 69.0,⑦⑩⑫,15, 9,Ｏパシスタ, 34,小林久, 2.5, 29,  -5, -35,14,136.4,⑦⑤⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,17,Ｑエプソムセブン, 26,石山繁, 2.9, 27, -12, -26,18,502.8,⑯⑯⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 4,Ｇトシザフジ, 50,鮫島良, 3.7, 21,  -6, -54, 7, 35.1,⑤⑤⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 3,Ｒタマモセレナｰデ,-55,田中克, 4.3, -5, -18, -39,15,166.0,⑰⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:-6),,,,,,,,,,,
"単勝:530円 複勝:01=180円 02=470円 06=130円 枠連:3,030円",,,,,,,,,,,,"単勝:940円 複勝:08=220円 01=110円 05=1,150円 枠連:560円",,,,,,,,,,,,単勝:770円 複勝:10=220円 03=210円 06=170円 枠連:940円,,,,,,,,,,,,"単勝:640円 複勝:09=240円 05=1,020円 11=190円 枠連:2,010円",,,,,,,,,,,
"馬連:5,880円 ワイド:01-02=1,430円 01-06=280円 02-06=750円",,,,,,,,,,,,"馬連:610円 ワイド:01-08=300円 05-08=6,860円 01-05=1,840円",,,,,,,,,,,,"馬連:1,970円 ワイド:03-10=680円 06-10=570円 03-06=460円",,,,,,,,,,,,"馬連:11,380円 ワイド:05-09=3,270円 09-11=660円 05-11=2,210円",,,,,,,,,,,
"馬単:10,550円 3連複:3,860円",,,,,,,,,,,,"馬単:1,820円 3連複:11,260円",,,,,,,,,,,,"馬単:4,620円 3連複:2,780円",,,,,,,,,,,,"馬単:23,020円 3連複:19,120円 3連単:129,240円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,,■ 9R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4.2,,,,,■12R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,天草特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3, タニノコザック,,北沢伸,,,,, 2,  3.6,③①①, 1,10,Ｂタニノバロン, 56,鮫島克,, 77,*  7,*  9, 2,  2.9, ①①, 1,11,Ｍセルリアングルｰヴ, 65,小池隆,, 71,   3,* 12,15, 99.4,⑭⑭⑫, 1,13,Ｏホエｰルシャｰク, 45,武豊  ,, 78,   3,* 15, 4,  7.2,⑥⑤④
 2, 4, シャンディムｰン,,白坂聡, 0.6,,,,10, 68.2,④④③, 2,15,Ｄマッチメイト, 54,石橋守, 0.6, 67,  -3,*  9, 3,  6.9, ⑤③, 2, 7,Ｊルポルタｰジュ, 67,渡辺薫, 0.2, 74,   6,*  8,12, 61.3,⑪⑨⑦, 2, 5,Ａスパイラルリング, 69,橋本美, 0.2, 77,   1,* 17, 1,  2.8,⑨⑦⑤
 3, 5, マイティｰビｰム,,黒岩悠, 1.6,,,, 3,  6.1,⑥⑥⑥, 3, 5,Ａサンライズヤマト, 56,武豊  , 0.8, 63,  -3,   5, 1,  2.7, ⑤③, 3, 2,Ｃマヤノポペット, 74,上村洋, 0.3, 75,   8,   6, 1,  3.9,⑥④④, 3,10,Ｂニットウサラン, 66,幸英明, 0.4, 73,  -1,* 16, 3,  7.2,⑨⑩⑦
 4,11, サイファ,,今村康, 1.7,,,, 9, 41.7,⑤⑤⑤, 4,11,Ｈマッキｰバクシン, 49,野元昭, 1.0, 57,*  4,  -4, 8, 41.2, ②②, 4, 1,Ｋアクトウエル, 67,中村将, 0.3, 72,   4,*  9,14, 80.1,⑮⑭⑨, 4, 4,Ｅペケジェイ, 57,川田将, 1.1, 66,   0,   5, 5,  9.5,⑤⑥⑤
 5, 9, インペリアルナイト,,金折知, 2.1,,,, 4,  7.0,②②②, 5, 2,Ｉコッパミジン, 49,小牧太, 1.0, 60,  -6,   5, 5, 12.2, ⑨⑥, 5, 8,Ａメイショウエイシ, 75,飯田祐, 0.8, 69,*  8,  -2, 2,  4.6,③②②, 5, 1,Ｆワイエムサチ, 56,内田浩, 1.1, 68,*  5,   2, 8, 17.9,①①①
 6, 6, センティｰレ,,林満明, 2.3,,,, 7, 31.9,①②③, 6, 9,Ｎシｰアリア, 42,太宰啓, 1.2, 58, -14,* 10,14,143.5, ⑬⑫, 6, 6,Ｎイブキサブデュｰ, 64,武豊  , 0.8, 71,   8,   1, 4,  7.7,⑥④⑤, 6, 8,Ｄシルクホｰムラン, 58,田嶋翔, 1.1, 71,  -1,  12, 6, 13.5,⑪⑪⑩
 7,10, バリトンヴォイス,,岩崎祐, 2.5,,,, 8, 32.8,⑥⑦⑦, 7,18,Ｇメイショウイゴッソ, 50,田村太, 1.2, 56, -19,* 11,17,195.5, ⑮⑫, 7, 5,Ｈリュウヨウ, 68,川島信, 0.8, 68,   7,   0, 8, 17.2,⑤④⑤, 7,11,Ｋキッスアンドライド, 50,石橋守, 1.3, 64,*  3,  -1, 2,  5.0,④②②
 8, 8, メイショウピュｰマ,,嘉堂信, 2.6,,,, 1,  3.2,⑧⑦⑦, 8, 8,Ｆシｰワンダフル, 51,中村将, 1.6, 46, -18,   4, 7, 25.8, ⑬⑫, 8,10,Ｉビュｰティフルアイ, 67,生野賢, 0.8, 68,   5,   4, 9, 18.9,⑬⑫⑫, 8,15,Ｇツルミベレイザ, 55,和田竜, 1.3, 71,  -4,  14, 9, 24.9,⑮⑮⑩
 9, 1, トップリｰダｰ,,石山繁, 2.8,,,,11, 77.1,⑨⑨⑦, 9,14,Ｐシュンキチ, 41,赤木高, 1.6, 47,  -3,  -7,11, 66.4, ⑤⑧, 9, 3,Ｌマダムチェロキｰ, 65,内田浩, 1.0, 68,   7,   1,11, 38.8,⑪⑨⑦, 9,12,Ｉメイショウグレイス, 52,福永祐, 2.5, 58,   1,  -5,10, 28.7,⑥⑦⑨
10, 7, ピｰニョリブロ,,高田潤, 6.1,,,, 5,  8.0,⑩⑩⑩,10, 3,Ｏエイシンオｰドリｰ, 42,川島信, 1.7, 45,*  0, -11,12, 85.3, ③③,10, 4,Ｄホシシャトル, 73,福永祐, 1.5, 62,*  8, -10, 3,  5.5,②②①,10, 9,Ｎフサイチシルヴィ, 47,小林久, 2.5, 59,  -2,   1,13, 98.7,⑬⑬⑭
,,,,,,,,,,,,11, 6,Ｋカネスザブレｰブン, 44,中谷雄, 2.0, 41, -10,  -7, 9, 54.8, ⑪⑩,11, 9,Ｇチアズアビリティｰ, 70,鮫島良, 1.8, 59,   5,  -6, 5,  9.7,⑨⑫⑫,11, 6,Ｈヘイロｰフジ, 52,飯田祐, 2.8, 52,*  3, -15,11, 37.8,②②②
,,,,,,,,,,,,12,17,Ｌワンダｰキャン, 43,鮫島良, 2.1, 39, -18,  -1,13,109.0, ⑮⑮,12,14,Ｆカシノコｰルミｰ, 71,西原玲, 2.0, 58,   5, -10,13, 73.6,⑥⑨⑫,12, 7,Ｌサカイヤオｰセリナ, 50,赤木高, 2.8, 57,  -2,  -3,14,166.7,⑪⑪⑩
,,,,,,,,,,,,13,13,Ｑルンバラプソディ, 31,和田竜, 2.2, 38,  -8, -11,10, 61.2, ⑩⑩,13,13,Ｅユウカｰジナル, 71,金折知, 2.2, 56,   6, -14, 6, 13.6,③④⑨,13, 3,Ｍマルモクイｰン, 48,小牧太, 2.9, 56,  -2,  -3,15,170.2,⑭⑬⑮
,,,,,,,,,,,,14,12,Ｊアケｰディア, 48,幸英明, 2.8, 33,*  0, -28,15,150.4, ③⑥,14,12,Ｏワｰキングボｰイ, 62,熊沢重, 2.2, 56,   6, -14, 7, 14.4,⑨④⑨,14, 2,Ｊシゲルユウボウカブ, 50,鮫島良, 3.4, 47,*  2, -20,12, 69.1,②④⑦
,,,,,,,,,,,,15, 4,Ｅアロｰラヴィｰン, 52,熊沢重, 2.9, 31,  -3, -27, 6, 18.0, ⑤⑧,15,15,Ｂフミノラピス, 74,川田将, 2.5, 55,*  8, -20,10, 27.2,①①②,15,14,Ｃニシノマｰメイド, 58,太宰啓, 3.5, 48,  -1, -15, 7, 17.6,⑧⑨⑩
,,,,,,,,,,,,16, 7,Ｍプリンセスバイオ, 43,田中克, 3.1, 24, -22, -15,16,155.8, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,16,Ｒシゲルオシメガイ, 22,上野翔, 3.1, 23, -23, -15,18,331.1, ⑰⑱,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 1,Ｃピノグリｰジョ, 55,上村洋, 3.8,  0, -13, -31, 4, 11.0, ⑫⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+20 馬場:重(指数:-9),,,,,,,,,,,
"単勝:360円 複勝:03=160円 04=1,260円 05=190円 枠連:7,370円",,,,,,,,,,,,単勝:290円 複勝:10=120円 15=170円 05=110円 枠連:910円,,,,,,,,,,,,"単勝:9,940円 複勝:11=2,930円 07=1,900円 02=180円 枠連:5,820円",,,,,,,,,,,,単勝:720円 複勝:13=250円 05=130円 10=180円 枠連:820円,,,,,,,,,,,
"馬連:10,580円 ワイド:03-04=2,120円 03-05=340円 04-05=2,820円",,,,,,,,,,,,"馬連:1,170円 ワイド:10-15=380円 05-10=180円 05-15=340円",,,,,,,,,,,,"馬連:197,160円 ワイド:07-11=40,700円 02-11=7,850円 02-07=3,410円",,,,,,,,,,,,"馬連:1,460円 ワイド:05-13=540円 10-13=1,080円 05-10=380円",,,,,,,,,,,
