06年 4月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 4月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.8,,,,,■ 7R  芝1800m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-0.2,,,,,■10R  芝1600m 4歳上1000万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2.7,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+23 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-6),,,,,,,,,,,
"単勝:4,460円 複勝:03=1,180円 05=880円 09=180円 枠連:25,280円",,,,,,,,,,,,単勝:170円 複勝:07=110円 06=210円 09=270円 枠連:480円,,,,,,,,,,,,単勝:270円 複勝:15=130円 13=330円 11=130円 枠連:840円,,,,,,,,,,,,"単勝:1,440円 複勝:05=310円 08=130円 04=110円 枠連:2,520円",,,,,,,,,,,
"馬連:31,510円 ワイド:03-05=6,250円 03-09=1,770円 05-09=1,400円",,,,,,,,,,,,"馬連:620円 ワイド:06-07=270円 07-09=390円 06-09=1,030円",,,,,,,,,,,,"馬連:1,270円 ワイド:13-15=670円 11-15=240円 11-13=580円",,,,,,,,,,,,"馬連:2,640円 ワイド:05-08=840円 04-05=440円 04-08=190円",,,,,,,,,,,
"馬単:77,310円 3連複:37,190円",,,,,,,,,,,,"馬単:910円 3連複:2,200円",,,,,,,,,,,,"馬単:2,010円 3連複:1,410円",,,,,,,,,,,,"馬単:5,850円 3連複:1,530円 3連単:14,460円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.1,,,,,■ 5R  芝2500m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8.4,,,,,■ 8R  ダ1200m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0.8,,,,,■11R  ダ1800m 4歳上1600万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,韓国馬事会杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａマイネエムロｰド, 56,勝浦正,, 52,  -9,*  1, 5, 10.4,⑤④④, 1, 2,Ａソニックルｰラｰ, 55,蛯名正,, 60, -11,* 11, 1,  1.8,⑤④③, 1, 4,Ｄイチライタッチ, 65,黛弘人,, 71,* -1,*  9, 7, 16.2, ②②, 1, 7,Ｂフィｰルドルｰジュ, 83,柴田善,, 88,   2,* 26, 2,  3.9,⑩⑨⑧
 2, 3,Ｃジェネスタキオン, 53,柴田善, 0.0, 51,  -8,  -1, 1,  1.7,③①③, 2,10,Ｄチャンピオンリング, 45,田中剛, 0.4, 50, -11,   3, 5, 27.0,③③③, 2,12,Ａケンコウヘイロｰ, 72,田中博, 0.3, 68,* -2,   7, 6,  8.6, ③③,12,13,Ａタイキヴァンベｰル, 85,蛯名正, 0.1, 85,   3,* 22, 1,  2.8,⑦⑥④
 3, 8,Ｂショウナンバラｰド, 54,吉田豊, 0.1, 50,* -8,  -3, 3,  5.7,②①①, 3, 8,Ｃマイネルオルペウス, 48,勝浦正, 0.4, 49,*-11,   2, 7, 31.1,①①①, 3, 2,Ｃエｰピｰゴンタ, 66,田中勝, 0.7, 67,*  3,   2, 2,  4.5, ①①, 2, 3,Ｉダンスウイザｰド, 77,津村明, 0.3, 83,   2,  22,12, 47.0,⑦⑥④
 4, 7,Ｅケンブリッジマイア, 42,田中勝, 0.4, 48,* -8,  -6, 2,  5.1,①①①, 4,12,Ｋダイワロｰンスタｰ, 29,北村宏, 0.5, 47,*-11,   0, 4, 11.3,①①①, 4, 8,Ｇコングレス, 63,北村宏, 0.9, 65,  -8,*  9, 5,  7.2, ⑦⑤, 3,12,Ｋカオリノｰブル, 75,田中剛, 0.5, 77,*  6,  13,10, 34.0,①①①
 5, 4,Ｆガイアレインボｰ, 37,小林淳, 0.9, 44,  -9,  -8, 7, 99.8,⑤④⑤, 5, 4,Ｇモルフェタｰントゥ, 39,小林淳, 0.6, 48, -11,   2, 8, 31.2,③④③, 5, 1,Ｈリンクスクイン, 61,石崎隆, 1.2, 61,  -9,   7, 3,  6.5, ⑨⑩, 4, 9,Ｅサウンドザビｰチ, 79,勝浦正, 0.7, 78,   1,  20, 8, 26.6,⑨⑪⑬
 6, 1,Ｄミュｰジカルボイス, 46,横山典, 1.6, 39, -10, -13, 6, 19.4,③⑥⑥, 6,11,Ｆマイネルアントス, 44,池田鉄, 0.7, 50, -13,   5,11,164.7,⑦⑦⑦, 6, 3,Ｆシルクエレメント, 65,吉田豊, 1.3, 60,  -8,   5, 4,  6.9, ⑦⑥, 5,11,Ｍベルｰガ, 74,松岡正, 0.8, 79,   1,  19, 5, 15.7,⑬⑪⑨
 7, 2,Ｇアイオブザジャガｰ, 29,北村宏, 1.6, 40, -13,  -7, 8,112.0,⑧⑧⑧, 7, 3,Ｅタケノフェロｰ, 44,千葉直, 0.8, 45, -15,   3, 6, 28.5,⑦⑦⑦, 7, 5,Ｊベンツノホシ, 59,小林淳, 1.4, 58, -10,   6,10, 44.8, ⑨⑩, 6, 8,Ｈマイネルマリク, 77,池田鉄, 1.0, 77,   2,  17,11, 45.3,⑩⑪⑨
 8, 5, サクラキセキ,---,蛯名正, 2.4, 33, -11, -19, 4,  7.8,⑦⑦⑦, 8, 6,Ｂスマｰトスパイラル, 50,藤田伸, 0.9, 43, -11,  -3, 3,  5.1,⑤④③, 8, 9,Ｅコクハク, 65,津村明, 1.6, 55,  -7,   0, 8, 33.7, ④④, 7, 2,Ｃタイラントシチｰ, 82,藤田伸, 1.3, 70,   4,   8, 3,  4.7,③②②
,,,,,,,,,,,, 9, 7,Ｈヤクモボｰイ, 36,郷原洋, 1.1, 43, -13,   0, 9, 73.0,⑨⑦⑦, 9,11,Ｂキョウエイシンファ, 72,的場勇, 1.8, 52,  -8,  -2, 1,  3.3, ⑤⑥, 8, 6,Ｄアイファｰフクオｰ, 82,石崎隆, 1.5, 69,   4,   7, 4,  9.5,⑤④④
,,,,,,,,,,,,10, 1,Ｉノボプレゼンス, 33,丹内祐, 1.3, 41, -16,   0,12,170.2,⑪⑩⑩,10, 7,Ｋナウシカトウショウ, 58,横山典, 2.0, 52, -15,   4,11, 49.4, ⑫⑫, 9,14,Ｇマチカネウソブキ, 78,吉田豊, 1.5, 69,   2,  11, 7, 22.3,⑩⑨⑫
,,,,,,,,,,,,11, 9,Ｊサムライショウグン, 32,横山典, 2.0, 32, -15,  -9, 2,  4.1,⑨⑩⑪,11, 6,Ｉキスミｰクイック, 61,勝浦正, 2.5, 48,  -9,  -5, 9, 38.2, ⑨⑨,10, 1,Ｌヴィフォルテ, 75,田中勝, 2.3, 61,*  5,  -2,13,100.5,②②②
,,,,,,,,,,,,12, 5,Ｌグレイトエリナ, 24,石崎隆, 2.5, 26, -15, -16,10,112.3,⑪⑩⑪,12,10,Ｌマイネマスカレｰド, 48,松岡正, 2.8, 43,  -7, -11,12, 53.3, ⑤⑧,11, 4,Ｊスズジャパン, 76,後藤浩, 2.8, 58,   2,  -2, 9, 29.4,⑤⑥④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｆラドランファｰマ, 78,横山典, 3.2, 58,  -2,   4, 6, 19.4,⑭⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 5,Ｎユキノアメｰジング, 71,北村宏, 4.0, 43,   3, -15,14,135.8,③④⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:良(指数:-4),,,,,,,,,,,
"単勝:1,040円 複勝:06=180円 03=110円 08=150円 枠連:0円",,,,,,,,,,,,単勝:180円 複勝:02=120円 10=440円 08=490円 枠連:360円,,,,,,,,,,,,"単勝:1,620円 複勝:04=540円 12=370円 02=230円 枠連:3,220円",,,,,,,,,,,,"単勝:390円 複勝:07=220円 03=910円 12=940円 枠連:3,740円",,,,,,,,,,,
馬連:730円 ワイド:03-06=250円 06-08=520円 03-08=190円,,,,,,,,,,,,"馬連:1,850円 ワイド:02-10=740円 02-08=690円 08-10=3,270円",,,,,,,,,,,,"馬連:6,860円 ワイド:04-12=1,920円 02-04=1,260円 02-12=760円",,,,,,,,,,,,"馬連:10,180円 ワイド:03-07=2,640円 07-12=2,850円 03-12=12,760円",,,,,,,,,,,
"馬単:2,280円 3連複:870円",,,,,,,,,,,,"馬単:2,710円 3連複:6,710円",,,,,,,,,,,,"馬単:13,370円 3連複:8,530円",,,,,,,,,,,,"馬単:13,820円 3連複:71,780円 3連単:318,330円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6.3,,,,,■ 6R  ダ1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,,■ 9R  芝2000m 3 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.9,,,,,■12R  ダ1200m 4歳上1000万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾐﾓｻﾞ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃアイアイスピｰチ, 53,蛯名正,, 61,* -3,   2, 2,  3.0, ①①, 1,11,Ｄセレスダイナミック, 61,柴田善,, 65,* -1,   4, 4,  6.0, ②②, 1,11,Ｈマイネサンサン, 53,吉田豊,, 77, -11,* 25, 7, 46.0,⑪⑩⑦, 1, 6,Ｎマグネティックマン, 65,松岡正,, 73,  -3,  13, 9, 59.3, ⑦④
 2, 1,Ａジェイケイボストン, 65,北村宏, 0.0, 61,* -3,   2, 1,  2.7, ①①, 2, 8,Ｂリキアイカザン, 65,的場勇, 0.3, 58,* -1,  -2, 5, 10.5, ①①, 2, 8,Ｅノンコ, 61,蛯名正, 0.0, 63,  -5,  11, 2,  4.0,③③③, 2, 3,Ｆベルモントサンダｰ, 71,石崎隆, 0.1, 72, -10,* 17, 7, 22.9, ⑭⑫
 3, 4, インザムｰンライト,---,津村明, 0.6, 49, -18,*  8, 5, 26.2, ⑧⑧, 3, 2,Ｅテンザンモビｰル, 60,吉田豊, 0.3, 64, -14,* 13, 3,  5.6, ⑪⑩, 3, 2,Ａハネダテンシ, 73,後藤浩, 0.1, 63,  -5,  11, 1,  1.8,③④④, 3, 5,Ｅリワｰドパットン, 75,勝浦正, 0.1, 69,*  0,   9, 5, 13.0, ②③
 4, 3,Ｂウエルアウェイ, 60,後藤浩, 0.7, 54,* -2,  -6, 3,  4.5, ①①, 4, 1,Ｆビｰボｰン, 59,北村宏, 0.5, 61, -13,* 10, 9, 57.5, ⑩⑨, 4, 4,Ｃバトルサクヤビメ, 62,小林淳, 0.2, 62,  -6,  11, 6, 18.5,⑤⑤⑥, 4, 8,Ｄスタｰオブニルス, 75,菊沢隆, 0.1, 70,*  0,   9, 4,  8.8, ②①
 5, 9,Ｄエアサシカイア, 48,藤田伸, 0.9, 51,  -9,  -2, 4,  4.5, ⑤④, 5, 4,Ｃウイニングヒット, 62,後藤浩, 0.5, 60,  -9,   6, 6, 14.9, ⑤④, 5, 9,Ｂストｰルンブライド, 69,藤田伸, 0.3, 61,  -7,  11, 3,  7.1,⑦⑤④, 5, 7,Ｈウセル, 70,江田照, 0.3, 69, -12,* 17,10, 80.9, ⑮⑮
 6, 2,Ｅナンヨｰノアイ, 44,松岡正, 1.0, 50, -11,  -1, 6, 34.5, ⑥④, 6, 7,Ａアサクサブラボｰ, 65,藤田伸, 0.6, 58,  -5,   2, 1,  3.0, ④④, 6, 1,Ｊハｰトフルドリｰム, 42,北村宏, 0.8, 53,  -7,   5,11,167.1,⑦⑦⑦, 6,10,Ｉマリットチャｰジ, 70,田中勝, 0.4, 69,  -8,  13, 8, 36.0, ⑫⑧
 7, 6,Ｆカワキタブラッサム, 34,小林淳, 1.0, 48, -11,  -1, 9,203.8, ⑥⑦, 7,10,Ｇフレンチシェフ, 58,横山典, 0.7, 56,* -1,  -2, 2,  3.2, ②②, 7, 3,Ｄマイラヴユアラヴ, 61,松岡正, 1.1, 45,* -4,  -9, 8, 58.4,①①①, 7,12,Ａタイキコナン, 80,横山典, 0.6, 62,  -2,   6, 1,  1.7, ④⑦
 8, 7, メイプルプレミアム,---,石崎隆, 2.7, 28, -24,  -6, 7, 62.4, ⑨⑨, 8, 9,Ｉダノンエトランゼル, 55,田中勝, 1.1, 53, -10,   1, 8, 40.9, ⑦⑦, 8,10,Ｋメイプルラブチャン, 38,石崎隆, 1.3, 49, -11,   5,10,102.4,⑩⑩⑩, 8,13,Ｇキャンディッド, 71,的場勇, 0.6, 63, -16,* 16,12,149.4, ⑯⑯
 9, 5, コアレスカレント,---,勝浦正, 2.8, 31,  -8, -22, 8, 70.5, ④④, 9, 3,Ｊスズカイｰグル, 51,津村明, 1.3, 49, -17,   4,11,230.3, ⑫⑫, 9, 5,Ｆサウンドバイト, 56,田中勝, 1.5, 44,  -9,  -3, 9, 75.9,⑦⑧⑨, 9,14,Ｃタｰタンフィｰルズ, 76,丹内祐, 0.7, 61,  -5,   6, 3,  7.6, ⑧⑧
,,,,,,,,,,,,10,12,Ｈレオアスカ, 56,松岡正, 1.5, 48,  -9,  -3, 7, 28.0, ⑤④,10, 6,Ｉウエスタンミリオン, 43,柴田善, 2.1, 31,* -4, -24, 4,  9.4,②①①,10, 2,Ｂスペシャルストック, 76,吉田豊, 1.1, 57,  -2,   1, 6, 13.9, ④④
,,,,,,,,,,,,11, 5,Ｌラッキｰチカラオｰ, 41,丹内祐, 2.2, 37, -12,  -9,12,475.7, ⑨⑪,11, 7,Ｇシャドウビｰチ, 56,横山典, 5.0, -7,  -9, -55, 5, 16.6,⑥⑧⑪,11, 9,Ｏコウジンアルス, 62,吉永護, 1.2, 56,  -1,  -1,11, 85.8, ④④
,,,,,,,,,,,,12, 6,Ｋスパイシｰ, 49,吉永護, 2.3, 38, -10, -10,10, 63.2, ⑦⑦,,,,,,,,,,,,,12, 1,Ｍチアズマックス, 67,津村明, 1.3, 53,  -5,   0,15,194.2, ⑧⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 4,Ｐマチカネバテレン, 57,田中博, 1.3, 51,*  0,  -6,14,169.5, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,Ｋニシノイワイザケ, 69,池田鉄, 1.3, 56,  -9,   5,16,284.2, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｌコリントシチｰ, 67,鈴来直, 1.5, 51,  -5,   0,13,167.7, ⑧⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｊシャドウハｰツ, 69,蛯名正, 2.0, 45,  -4,  -6, 2,  7.3, ⑧⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-3),,,,,,,,,,,
単勝:300円 複勝:08=120円 01=130円 04=390円 枠連:200円,,,,,,,,,,,,単勝:600円 複勝:11=240円 08=250円 02=190円 枠連:600円,,,,,,,,,,,,"単勝:4,600円 複勝:11=490円 08=140円 02=110円 枠連:4,510円",,,,,,,,,,,,"単勝:5,930円 複勝:06=1,280円 03=580円 05=420円 枠連:5,920円",,,,,,,,,,,
馬連:320円 ワイド:01-08=170円 04-08=900円 01-04=850円,,,,,,,,,,,,"馬連:4,210円 ワイド:08-11=1,130円 02-11=760円 02-08=730円",,,,,,,,,,,,"馬連:7,620円 ワイド:08-11=2,050円 02-11=910円 02-08=190円",,,,,,,,,,,,"馬連:39,340円 ワイド:03-06=7,660円 05-06=6,260円 03-05=2,420円",,,,,,,,,,,
"馬単:820円 3連複:2,030円",,,,,,,,,,,,"馬単:8,290円 3連複:5,960円",,,,,,,,,,,,"馬単:22,800円 3連複:2,850円 3連単:57,920円",,,,,,,,,,,,"馬単:95,000円 3連複:109,250円 3連単:797,860円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
