06年 1月28日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 1月28日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  芝1200m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万(混) 別定,,,,,,,,,,,,■10R  芝2000m 4歳上500万 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 2R  芝1200m 3 歳未勝利 馬齢,,,,,,,,,,,,■ 5R  ダ1700m 4歳上500万 別定,,,,,,,,,,,,■ 8R  芝2600m 4歳上500万(混) 別定,,,,,,,,,,,,■11R  芝2000m 4歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,壇之浦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｄカノヤザミラクル, 54,小牧太,, 62,  -7,*  8, 4,  6.5,⑦⑤⑤, 1, 5,Ａホｰマンブラヴォｰ, 70,中舘  ,, 72,*  4,*  6, 1,  2.7,①①①, 1, 2,Ｃシルクマイスタｰ, 68,藤岡  ,, 72,  -4,* 18, 2,  4.2,⑥⑨⑤, 1, 3,Ｅゴｰジャスディナｰ, 76,ルメｰ,, 86,*  4,* 24, 2,  4.5,②③④
 2,15,Ｂサクラマテンロウ, 56,小島一, 0.2, 54,  -9,*  3, 5,  7.8,④⑤⑤, 2,14,Ｊステラバスク, 60,小牧太, 0.6, 67,*  4,   1, 2,  4.3,②②②, 2, 1,Ｍメジロハスラｰ, 58,鮫島克, 0.1, 67,  -2,  10, 8, 20.0,③④②, 2, 6,Ｄマルイチクエスト, 78,藤岡  , 0.1, 83,*  5,* 20, 3,  4.6,①①①
 3, 1,Ａキラｰスマイル, 59,中舘  , 0.2, 64,* 10, -10, 1,  3.2,①①①, 3, 6,Ｋタヤスワカシオ, 57,田辺  , 1.0, 65,   0,*  4, 8, 28.9,⑦⑧⑦, 3, 8,Ｇダイタクドルチェ, 65,ルメｰ, 0.4, 67,  -4,* 13, 6,  8.9,⑩⑪⑩, 3,12,Ａサンレイジャスパｰ, 79,難波  , 0.4, 82,   2,* 21, 1,  3.2,⑦⑤④
 4,10,Ｆハッスルガｰル, 46,松永  , 0.3, 56, -13,* 10, 9, 24.4,⑦⑧⑦, 4,15,Ｏモダンアｰティスト, 46,藤岡  , 1.2, 63,   1,   0,10, 32.3,⑥⑤⑤, 4, 4,Ｈドリｰムパｰトナｰ, 65,高橋智, 0.4, 63,  -3,   7, 4,  8.2,⑥⑥⑥, 4,15,Ｋダンツタイガｰ, 65,鮫島克, 1.0, 72,*  4,   9, 6, 12.8,④③②
 5, 3,Ｃダンディｰサウンド, 54,加藤士, 0.4, 53,* -1,  -8, 3,  6.1,③③③, 5, 1,Ｌニシノワカガシラ, 57,北村浩, 1.4, 61,  -2,   1, 6, 21.8,⑬⑪⑧, 5, 6,Ｅアグネスメリット, 68,鮫島良, 0.4, 61,  -6,   8,11, 54.8,⑩⑨⑥, 5,11,Ｇコアレスパティオ, 75,中舘  , 1.0, 75,   1,  15, 4,  9.0,⑩⑦⑥
 6,16,Ｊメイショウドｰバｰ, 33,武幸  , 0.5, 56,   0,  -6, 7, 14.0,④③③, 6,13,Ｂメディアミックス, 68,太宰  , 1.4, 61,   2,  -3, 3,  4.5,③③③, 6, 3,Ｉイナズマロｰレル, 65,小牧太, 0.7, 57,* -1,  -3, 3,  5.0,①①①, 6, 2,Ｂセヴンスバｰド, 79,高橋智, 1.0, 76,   0,  17, 5,  9.1,⑮⑩⑥
 7,11,Ｇセントレアボス, 41,津村  , 1.0, 42, -11,  -6,11, 85.4,④⑦⑦, 7, 3,Ｄショｰトロｰブス, 66,二本柳, 1.6, 60,   0,  -2, 5, 16.8,⑩⑤⑤, 7,16,Ｌマイネルナタｰレ, 64,津村  , 0.8, 60,  -7,   9,13, 90.2,⑯⑬⑩, 7, 5,Ｆモノトｰン, 75,大西  , 1.1, 75,  -1,  18, 7, 19.4,⑩⑬⑬
 8,12,Ｈマドンナブラボｰ, 37,鮫島良, 1.1, 38, -18,  -1,10, 43.9,⑪⑨⑨, 8, 9,Ｅイソノサクセス, 66,川田  , 2.0, 54,   0,  -8, 4,  9.0,⑤⑤⑧, 8, 7,Ｆゲイリｰバｰド, 66,川田  , 1.0, 59,  -6,   8,10, 49.3,⑬⑭⑭, 8,13,Ｊウインプレジｰル, 70,二本柳, 1.4, 72,  -1,  14,15,174.9,⑬⑬⑨
 9, 2,Ｋマイティｰキラｰ, 29,内田浩, 1.1, 49,*  6, -21, 2,  4.8,②②②, 9, 2,Ｇシンボリタイガｰス, 62,嘉藤  , 2.1, 56,   2, -10,13, 47.5,④③③, 9, 5,Ｎサイクルシチｰ, 56,加藤士, 1.0, 51,* -3,  -8,12, 66.2,②②②, 9, 1,Ｃメイショウアカシ, 78,松永  , 1.4, 69,   0,  11, 8, 24.1,⑨⑩⑨
10, 8,Ｅトウカイベスト, 48,芹沢  , 1.1, 41, -16,   0, 6, 12.4,⑨⑨⑩,10, 7,Ｆフジノヘイロｰ, 64,鹿戸  , 2.2, 55,  -1,  -6,12, 46.9,⑩⑨⑩,10,10,Ａヤマニンアジャスト, 72,田辺  , 1.0, 59,  -4,   4, 5,  8.7,⑫⑪⑩,10, 9,Ｈアポロイレヴン, 71,生野  , 1.6, 70,  -2,  14, 9, 44.3,⑬⑮⑬
11, 9,Ｉスリｰオペレｰタｰ, 37,田嶋翔, 1.1, 42, -18,   2,16,364.0,⑪⑪⑪,11, 4,Ｈサンライズシンバ, 61,柴原  , 2.5, 54,  -3,  -4,11, 35.9,⑦⑮⑫,11,13,Ｄバトルフエルテ, 68,太宰  , 1.1, 55,  -3,  -2, 1,  3.9,⑥⑥⑥,11, 8,Ｎタニノコザック, 55,武幸  , 1.8, 63,   0,   6,11, 47.7,⑫⑩⑫
