06年 6月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 6月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.3,,,,,■ 4R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.7,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.5,,,,
 9, 2,Ｇクリオネビコｰ, 46,石橋守, 2.8, 34, -11, -17,10,147.2,⑥⑩⑨, 9, 9, ヤマカツブルックス,,植野貴, 1.8,,,, 5,  8.1,⑧⑧⑨, 9, 9,Ｂトウカイルナ, 73,川原正, 1.0, 76,  14,   0, 1,  2.6, ⑪⑪, 9,12,Ｋルポルタｰジュ, 63,高橋亮, 1.3, 68,   4,   4,15,178.1,⑬⑬⑬
10, 5, レビュｰスコｰプ,---,船曳文, 5.3,-36, -13, -42, 9, 93.2,③⑩⑩,10, 5, テイエムアラムシャ,,出津孝, 1.9,,,, 8, 36.3,①②④,10, 8,Ｇマコトジョワイユｰ, 68,岩田康, 1.1, 74,   6,* 16, 9, 38.8, ⑯⑰,10, 4,Ｉヒｰロｰアンセム, 67,渡辺薫, 1.4, 69,* 10, -10,11, 44.4,①①①
11,12,Ｈシｰアリア, 42,橋本美, 5.6,-40, -12, -44,12,285.2,⑧⑩⑩,11,14, リキアイガイセン,,南井大, 2.0,,,, 9, 38.8,⑬⑩⑩,11,11,Ｋメジロラガマフィン, 65,熊沢重, 1.2, 75,  20, -15, 8, 26.6, ⑤④,11, 8,Ｍマンジュデンコウベ, 58,熊沢重, 1.6, 66,   4,   1,14, 86.1,⑬⑬⑩
12, 8,Ｊサンゴタｰル, 38,上野翔, 7.7, 7.7---, -12, -68,14,419.1,②⑦⑫,12, 1, エイシンボストン,,西谷誠, 2.7,,,, 3,  6.4,⑪⑫⑪,12, 5,Ｎキシュウロｰズ, 57,幸英明, 1.3, 72,   9,   5,13,128.6, ⑭⑭,12, 6,Ｈミッキｰシャｰマン, 67,川原正, 1.8, 64,   2,   3,12, 45.2,⑮⑯⑮
13,10,Ｃクｰドゥフｰドル, 52,福永祐,13.5,13.5---, -13, ---, 4,  6.7,⑬⑬⑫,13,12, ハギノヴァルカン,,仲田雅, 2.7,,,,13,134.2,⑭⑭⑭,13,14,Ｌテイエムヨカオゴ, 64,菊地昇, 1.4, 71,   8,   7,15,323.1, ⑯⑯,13,14,Ｏリュウヨウ, 57,川島信, 3.1, 55,*  9, -24,16,362.0,③③④
,,,,,,,,,,,,14, 2, チップインバｰディ,,村山明, 3.4,,,,14,181.7,⑩⑬⑬,14,12,Ｉテイエムハナフブキ, 66,小牧太, 1.7, 69,  15, -13,12, 77.9, ⑨⑨,14,10,Ｐコメディアデラルテ, 52,幸英明, 3.2, 55,   8, -22, 5,  9.8,⑥⑥⑤
,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｐルスナイクノイチ, 49,飯田祐, 1.8, 66,  20, -27,17,499.0, ③④,15, 5,Ｎフミノシンタ, 57,石橋守, 3.4, 53,*  9, -26,13, 84.8,③③⑤
,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｏギフテッドラブ, 54,太宰啓, 2.2, 63,  15, -22,16,434.7, ⑦⑨,16,13,Ｄイブキサブデュｰ, 72,赤木高, 5.2, 41,   6, -37,10, 31.0,⑧⑨⑮
,,,,,,,,,,,,,,,,,,,,,,,,17, 6,Ｑユウアイラ, 46,赤木高, 2.5, 59,  18, -34,14,225.5, ⑤⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:稍重(指数:-7),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+15 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:稍重(指数:-7),,,,,,,,,,,
"単勝:1,100円 複勝:06=220円 07=150円 04=120円 枠連:2,460円",,,,,,,,,,,,"単勝:1,550円 複勝:08=370円 03=160円 04=1,020円 枠連:630円",,,,,,,,,,,,"単勝:1,280円 複勝:16=330円 01=320円 15=250円 枠連:960円",,,,,,,,,,,,単勝:400円 複勝:15=180円 02=660円 01=140円 枠連:590円,,,,,,,,,,,
"馬連:2,200円 ワイド:06-07=770円 04-06=590円 04-07=320円",,,,,,,,,,,,"馬連:2,430円 ワイド:03-08=920円 04-08=8,690円 03-04=2,400円",,,,,,,,,,,,"馬連:4,810円 ワイド:01-16=1,920円 15-16=1,550円 01-15=1,290円",,,,,,,,,,,,"馬連:7,130円 ワイド:02-15=2,090円 01-15=340円 01-02=1,470円",,,,,,,,,,,
"馬単:4,750円 3連複:1,870円",,,,,,,,,,,,"馬単:6,960円 3連複:42,710円",,,,,,,,,,,,"馬単:10,800円 3連複:10,210円",,,,,,,,,,,,"馬単:9,670円 3連複:6,110円 3連単:46,790円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.6,,,,,■ 5R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.7,,,,,■11R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安芸ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｅアシゲノキラメキ, 53,幸英明,, 63,* -1,*  0, 2,  3.0, ②③, 1, 6, トｰセンラピュタ,---,ボス  ,, 68,  -3,*  7, 2,  2.6, ③③, 1,15,Ａソウルサバイヴァｰ, 75,太宰啓,, 71,*  2,   6, 1,  3.2,③②②, 1,11,Ａジョイフルハｰト, 90,武豊  ,,100,* 11,* 22, 1,  1.5, ①①
 2, 6,Ａタニノバロン, 62,福永祐, 0.1, 62,*  0,  -2, 1,  2.6, ②②, 2, 5, アドマイヤデュｰク,---,武豊  , 0.2, 61,* -1,   1, 1,  2.5, ②②, 2,10,Ｆマルブツフジ, 65,武豊  , 0.1, 70,   0,*  7, 3,  3.8,⑧④③, 2, 4,Ｉビｰビｰバｰニング, 75,池添謙, 0.9, 85,*  9,  15,10,115.2, ②②
 3, 1,Ｄメダルハンタｰ, 53,岩田康, 0.2, 60,  -2,* -1, 3,  5.6, ④③, 3, 8, テンザンコノハナ,---,角田晃, 0.6, 53,*  0,  -7, 3,  5.0, ①①, 3, 2,Ｃワキノエクセル, 70,小牧太, 0.2, 71,  -1,*  9, 2,  3.6,⑩⑧⑦, 3,12,Ｆトｰセンザオｰ, 77,角田晃, 1.2, 85,   1,  19, 7, 42.1, ⑩⑨
 4,14,Ｈピｰスプロテクタｰ, 44,川原正, 0.3, 59,  -2,  -2,11,163.6, ④③, 4, 4, マルカラボンバ,---,福永祐, 0.6, 58,  -8,   4, 4,  7.1, ④④, 4,14,Ｌラガｰペガサス, 59,和田竜, 0.2, 70,*  2,   3, 9, 89.8,②②①, 4, 1,Ｅボｰドスウィｰパｰ, 78,川原正, 1.3, 87,  -4,* 23, 9, 58.5, ⑭⑬
 5,16,Ｂパレストップガン, 58,田嶋翔, 0.5, 54,  -6,*  0, 7, 36.3, ⑧⑦, 5, 3, キズナ,---,内田浩, 1.1, 50, -11,   1, 8, 97.0, ⑥⑥, 5,12,Ｅタマモコンチェルト, 67,福永祐, 0.2, 70,*  1,   5, 5, 18.7,④④④, 5, 7,Ｇビッグシャｰク, 77,和田竜, 1.4, 81,   1,  17, 8, 57.1, ⑩⑨
 6, 5,Ｆトップコｰナｰ, 52,小坂忠, 0.6, 55,  -3,  -4, 4,  5.8, ④⑥, 6, 2, ニホンピロマナツ,---,和田竜, 1.3, 45, -10,  -4, 6, 31.7, ④⑥, 6, 5,Ｈサンライズボクサｰ, 64,佐藤哲, 0.5, 68,   0,   5, 8, 30.2,⑥⑧⑦, 6,13,Ｂケｰジｰアジュデ, 86,石橋守, 1.4, 79,   5,  14, 3,  6.3, ⑥⑦
 7, 8,Ｊプルｰヴドメリト, 42,赤木高, 0.8, 50,  -9,* -1, 5, 15.6, ⑩⑨, 7, 1, エｰシンジｰスｰツ,---,小牧太, 1.4, 47, -16,   2, 7, 34.7, ⑧⑧, 7, 1,Ｇタガノマイラバｰ, 64,角田晃, 0.8, 67,  -4,*  8,12,144.5,⑬⑭⑬, 7, 2,Ｈモエレソｰブラッズ, 75,岩田康, 1.5, 76,   5,  12, 5, 22.8, ⑥⑤
 8, 9,Ｃシゲルキタハマ, 56,熊沢重, 1.0, 54,*  1, -12, 6, 24.0, ①①, 8, 7, ヴィンテｰジライン,---,川島信, 2.3, 35,  -8, -22, 5, 21.2, ⑥④, 8, 9,Ｋブルｰフェアプレｰ, 62,中村将, 1.0, 61,  -3,   2,10, 93.1,⑧⑩⑩, 8, 6,Ｃオフィサｰ, 82,ボス  , 1.6, 83,  -5,* 22, 2,  4.8, ⑭⑯
 9,11,Ｇスプリングザスパ, 48,ボス  , 1.7, 40, -15,  -4, 8, 81.8, ⑭⑭,,,,,,,,,,,,, 9,13,Ｂホウシュウムサシ, 72,岩田康, 1.1, 62,   0,  -2, 4,  5.2,⑥⑦⑥, 9,14,Ｄカリスマサンキセキ, 81,福永祐, 1.6, 75,   8,   9, 4, 15.3, ④②
10, 4,Ｉブルｰアジサイ, 43,中村将, 1.8, 37,  -9, -14,10, 99.7, ⑧⑩,,,,,,,,,,,,,10,11,Ｊクリノシシマル, 63,鮫島良, 1.1, 61,  -4,   2,11,102.1,⑩⑫⑩,10,10,Ｐナリタフロンテアｰ, 67,小牧太, 1.8, 72,   8,   7,11,128.1, ④⑤
11, 2, ラガｰトップキング,---,池添謙, 2.4, 35, -18,  -8,12,189.7, ⑮⑮,,,,,,,,,,,,,11, 7,Ｉゼンノマルビナス, 63,赤木高, 1.8, 55,   0, -10, 7, 25.3,④④⑦,11, 5,Ｏサンマルアンサｰ, 68,渡辺薫, 1.8, 76,  -1,  15,14,381.4, ⑫⑫
12,10,Ｋフミノフリｰダム, 42,角田晃, 2.5, 34,  -5, -21,13,243.7, ⑦⑦,,,,,,,,,,,,,12, 6,Ｎパワｰクレスト, 55,高橋亮, 2.2, 55,  -5,  -4,13,238.1,⑯⑯⑭,12, 8,Ｍメイショウフクヒメ, 73,佐藤哲, 1.9, 75,  -3,  16,16,422.6, ⑬⑬
13, 3,Ｍジェイケイカｰソン, 36,渡辺薫, 2.9, 28, -10, -21,15,625.0, ⑩⑪,,,,,,,,,,,,,13, 3,Ｍバアゼルロｰズ, 56,北村浩, 2.3, 54,  -4,  -7,15,364.7,⑬⑭⑭,13, 3,Ｊサンライズビｰト, 75,幸英明, 1.9, 76,  -4,  17,12,310.6, ⑭⑬
14,15,Ｎキクノシャイン, 35,野元昭, 3.2, 26, -12, -22,14,525.9, ⑫⑫,,,,,,,,,,,,,14, 4,Ｏトムプロスペリティ, 55,野元昭, 2.3, 54,  -2,  -8,14,306.3,⑬⑫⑩,14, 9,Ｌケイアイメルヘン, 74,熊沢重, 2.0, 71,   5,   9, 6, 41.1, ⑥⑦
15, 7,Ｌモルゲンシチｰ, 40,佐藤哲, 3.7, 22, -13, -26, 9, 92.6, ⑬⑫,,,,,,,,,,,,,15,16,Ｐワイエムサチ, 47,内田浩, 2.5, 50,*  2, -19,16,609.7,①①④,15,16,Ｎバリオス, 69,野元昭, 2.3, 66,* 10,   0,13,374.6, ②②
,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｄシロキタベガ, 67,熊沢重, 2.7, 49,  -3, -13, 6, 24.3,⑫⑩⑭,16,15,Ｋナリタキセキボｰイ, 74,内田浩, 2.5, 64,   4,   4,15,392.3, ⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:稍重(指数:-8),,,,,,,,,,,
単勝:300円 複勝:12=130円 06=110円 01=150円 枠連:260円,,,,,,,,,,,,単勝:260円 複勝:06=120円 05=110円 08=150円 枠連:0円,,,,,,,,,,,,単勝:320円 複勝:15=120円 10=160円 02=140円 枠連:830円,,,,,,,,,,,,"単勝:150円 複勝:11=120円 04=1,120円 12=510円 枠連:3,480円",,,,,,,,,,,
馬連:410円 ワイド:06-12=180円 01-12=310円 01-06=240円,,,,,,,,,,,,馬連:260円 ワイド:05-06=140円 06-08=190円 05-08=230円,,,,,,,,,,,,馬連:950円 ワイド:10-15=370円 02-15=210円 02-10=320円,,,,,,,,,,,,"馬連:5,090円 ワイド:04-11=1,780円 11-12=750円 04-12=11,970円",,,,,,,,,,,
馬単:840円 3連複:850円,,,,,,,,,,,,馬単:550円 3連複:300円,,,,,,,,,,,,"馬単:1,820円 3連複:960円",,,,,,,,,,,,"馬単:6,350円 3連複:31,800円 3連単:95,940円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,,■ 6R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,,■ 9R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2.5,,,,,■12R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,洛南特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂビッグポパイ, 53,和田竜,, 64,* -4,*  5, 1,  2.7, ②②, 1, 2,Ａアドマイヤラン, 69,岩田康,, 77,   7,* 10, 2,  3.2,⑭⑮⑫, 1,12,Ａスズカフェニックス, 92,武豊  ,, 97,*  7,* 22, 1,  1.1, ②②, 1, 4,Ｈガｰネットスタｰ, 62,小牧太,, 74,*  8,   2, 7, 12.5, ①①
 2, 5, タガノサイクロン,---,池添謙, 0.2, 73, -14,* 15, 5,  8.5, ⑪⑩, 2, 7, オウケンライダｰ,---,幸英明, 0.0, 80,   8,*  7,10,142.4,⑱⑮⑥, 2, 1,Ｄビッグカポネ, 74,和田竜, 0.8, 78,*  5,  11, 2, 10.6, ③③, 2, 1,Ａコスモラヴアゲイン, 71,佐藤哲, 0.2, 67,  -2,* 10, 3,  5.5, ⑨⑨
 3,11,Ｄサンライズバクシン, 50,岩田康, 0.5, 58,* -6,   2, 2,  4.3, ③③, 3, 8,Ｃショウケイ, 60,池添謙, 0.2, 75,  10,  -1, 3,  4.8,⑨⑤⑥, 3,14,Ｂマイネエストレヤ, 77,幸英明, 1.4, 69,*  6,   3, 5, 26.3, ③③, 3,12,Ｂヒョウタンジマ, 70,角田晃, 0.2, 68,   0,*  7, 2,  5.4, ⑥⑦
 4, 8,Ｃマルブツクロフネ, 51,鮫島良, 0.7, 53,  -8,   0, 4,  8.0, ④④, 4,12,Ｂゲイルバニヤン, 61,武豊  , 0.3, 74,* 11,  -5, 1,  2.6,③③②, 4, 7,Ｉメモリｰセレソン, 62,角田晃, 1.4, 70,   4,   6,12,236.4, ⑥③, 4,15,Ｇナイスヴァレｰ, 63,和田竜, 0.2, 68,   3,   3, 9, 20.9, ④④
 5, 2,Ｈシゲルトッピダカ, 40,川島信, 0.9, 49,* -6,  -4,14,245.4, ①①, 5, 9,Ｆタガノエンブレス, 49,小原義, 0.3, 74,   8,   2, 6, 33.8,⑪⑨⑧, 5,10, オグリホット,---,筒井勇, 1.5, 75,  -5,* 17,13,260.7, ⑮⑭, 5, 5,Ｃシンシアｰ, 68,池添謙, 0.3, 68,   2,   4, 1,  4.8, ⑥④
 6,14,Ｉケイエスゴｰウェイ, 40,幸英明, 0.9, 54,  -9,   2, 9, 73.1, ⑥⑥, 6,10,Ｌフェスティブドラマ, 42,渡辺薫, 0.3, 74,  10,  -2, 9, 56.5,⑤⑤④, 6,13,Ｆエイシンインパｰル, 68,小牧太, 1.5, 74,  -1,  13, 4, 16.6, ⑪⑨, 6, 7,Ｌニホンピロリビエラ, 61,熊沢重, 0.9, 58,   2,  -5, 8, 15.4, ⑥⑦
 7,12,Ａブライアンズイｰラ, 53,福永祐, 1.0, 51,  -8,   0, 3,  4.3, ④④, 7,17,Ｅアグネスネクタル, 51,上村洋, 0.4, 73,   7,*  4, 4,  5.6,⑭⑬⑫, 7,11,Ｊコスモルビｰ, 61,赤木高, 1.7, 63,   2,   2, 7, 65.5, ⑥⑧, 7,13,Ｊクラクエンキャット, 61,鮫島良, 1.1, 50,  -5,  -4,12, 58.1, ⑨⑩
 8, 4,Ｅウォｰタｰトリック, 45,高橋亮, 1.0, 53,  -9,   2,10, 77.0, ⑥⑥, 8, 5,Ｄリリｰカｰネギｰ, 56,赤木高, 0.6, 70,* 11, -10,14,246.2,①①①, 8, 8,Ｋトｰワライアン, 59,田嶋翔, 1.8, 68,  -2,  10, 9,127.0, ⑬⑪, 8, 3,Ｄプリンセスゴｰルド, 65,福永祐, 1.1, 52,  -7,   1, 4,  6.1, ⑭⑭
 9, 7,Ｇスリｰオペレｰタｰ, 41,菊地昇, 2.0, 41, -11,  -6, 8, 54.9, ⑧⑧, 9, 4,Ｑセルリアンラオウ, 30,北村浩, 1.2, 64,   8, -12,13,228.8,⑤⑨⑧, 9, 2,Ｅロｰドマｰシャル, 68,岩田康, 1.9, 61,   3,  -1, 6, 32.2, ⑥⑥, 9,16,Ｍサクラチェリｰ, 59,高橋亮, 1.2, 57,*  9, -16, 5,  8.0, ②②
10,10,Ｆブルｰノｰザｰ, 42,ボス  , 2.3, 38, -14,  -5,11, 98.3, ⑪⑩,10,18,Ｈマイネルクｰゲル, 45,太宰啓, 1.4, 62,   8, -15,17,435.5,⑪⑨⑩,10,15,Ｃセイウンビバｰチェ, 76,福永祐, 2.0, 60,*  8,  -9, 3, 14.2, ①①,10,11,Ｆトップステイ, 64,赤木高, 1.2, 50,  -6,  -3, 6,  8.9, ⑫⑫
11,16,Ｋクリノライアン, 33,中村将, 2.3, 36, -13, -10,15,303.3, ⑧⑧,11, 6,Ｋジョプリンガｰル, 43,小牧太, 1.6, 60,   7, -15, 7, 38.8,⑨⑨⑮,11, 9,Ｎドリｰムシｰカｰ, 45,生野賢, 2.1, 61,   0,   3,10,141.8, ⑨⑨,11, 2,Ｎテイエムヌｰボｰ, 57,野元昭, 1.3, 49,  -7,  -2,15,251.5, ⑫⑫
12, 6, ナムラスピｰド,---,川原正, 2.4, 42, -22,   3,13,160.8, ⑯⑭,12, 1,Ｇアルゴ, 48,ボス  , 1.7, 59,   8, -19, 8, 52.1,⑤⑧⑫,12, 4,Ｇバルタバス, 65,川島信, 2.2, 61,  -2,   4,14,413.5, ⑨⑪,12, 6,Ｐセイヴィングス, 50,菊地昇, 1.3, 51,   3, -14,11, 41.2, ④④
13, 3,Ｌサンケイパルチｰダ, 33,佐藤哲, 2.5, 37, -12,  -9,12,128.8, ⑩⑩,13,11,Ｊハリキリゴｰルド, 44,熊沢重, 1.9, 58,* 10, -28, 5, 21.9,②②④,13, 5,Ｌメイショウハヤボシ, 58,佐藤哲, 2.4, 57,  -3,   2, 8, 97.7, ⑪⑪,13, 9,Ｅバブルファンタジｰ, 64,上村洋, 1.5, 46,  -9,  -4,10, 32.0, ⑭⑮
14, 9, シンコｰダイヤ,---,小牧太, 2.9, 33, -17,  -7,16,376.5, ⑬⑬,14,13,Ｏウィズミｰダｰリン, 37,川原正, 2.3, 54,   4, -18,15,370.1,⑯⑰⑰,14, 3,Ｈテｰオｰキング, 63,菊地昇, 2.6, 53,   4, -13,11,144.2, ③⑥,14,10,Ｏタマモピｰカブｰ, 51,川原正, 1.6, 46, -16,   3,14,249.0, ⑯⑯
15,15, ヤマカツグラマン,---,武豊  , 3.7, 29, -21, -10, 6, 13.0, ⑮⑭,15,14,Ｎエプソムフォルテ, 38,小池隆, 2.4, 53,* 10, -36,18,639.9,⑤③③,15, 6,Ｍドリカムジャガｰ, 55,川原正, 3.1, 46,  -7,  -4,15,511.9, ⑭⑮,15,14,Ｋハッスルガｰル, 61,幸英明, 1.8, 44,*  6, -25,16,282.8, ③③
16,13,Ｊスピリットファイタ, 40,熊沢重, 3.8, 29, -18, -15, 7, 43.6, ⑬⑯,16,15,Ｐテイエムルパン, 33,金折知, 2.7, 51,   1, -16,16,383.7,⑯⑱⑱,,,,,,,,,,,,,16, 8,Ｉルスナイプリンス, 62,飯田祐, 2.1, 37,  -4, -18,13,162.3, ⑨⑩
,,,,,,,,,,,,17,16,Ｉサニｰストレイン, 45,野元昭, 2.8, 50,   6, -31,11,187.8,⑪⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 3,Ｍハンタｰヴァレｰ, 38,石橋守, 6.5, -3,   9, -96,12,201.8,④⑤⑩,,,,,,,,,,,,,,,,,,,,,,,,
