06年 9月10日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 9月10日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.2,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.7,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,,■10R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-11.0,,,,
,,,,,,,,,,,,16, 1,Ｏウィナｰズステｰジ, 28,菊沢隆, 2.2, 34, -19,  -6,16,399.6, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-4),,,,,,,,,,,
単勝:990円 複勝:07=210円 10=120円 05=600円 枠連:960円,,,,,,,,,,,,"単勝:1,640円 複勝:04=350円 11=120円 05=230円 枠連:440円",,,,,,,,,,,,"単勝:1,090円 複勝:04=260円 08=190円 01=140円 枠連:3,320円",,,,,,,,,,,,"単勝:200円 複勝:05=110円 01=320円 06=150円 枠連:1,610円",,,,,,,,,,,
"馬連:1,170円 ワイド:07-10=450円 05-07=1,970円 05-10=1,030円",,,,,,,,,,,,"馬連:1,440円 ワイド:04-11=540円 04-05=2,020円 05-11=370円",,,,,,,,,,,,"馬連:3,980円 ワイド:04-08=1,360円 01-04=680円 01-08=390円",,,,,,,,,,,,"馬連:1,390円 ワイド:01-05=480円 05-06=190円 01-06=890円",,,,,,,,,,,
"馬単:3,450円 3連複:8,210円",,,,,,,,,,,,"馬単:4,350円 3連複:3,800円",,,,,,,,,,,,"馬単:7,960円 3連複:3,290円",,,,,,,,,,,,"馬単:2,210円 3連複:1,700円 3連単:9,350円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.6,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,,■11R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UHB賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂディｰプスマｰト, 61,川島信,, 68,*  0,*  4, 2,  2.5, ②②, 1, 1, フサイチオフトラ,---,藤田伸,, 58,*-37,* 27, 2,  2.5,①①①, 1, 4,Ａディｰプウイング, 75,藤田伸,, 66,* -2,  10, 1,  1.9,①①①, 1, 7,Ｄダブルタイトル, 71,柴山雄,, 73,* -2,  14, 6,  8.5, ②②
 2, 8,Ａジュエリｰクイｰン, 69,武幸四, 0.1, 67,  -4,*  6, 1,  1.9, ④③, 2, 7, フライングアップル,---,塚田祥, 0.5, 40,*-39,  20, 1,  2.1,⑤②②, 2, 1,Ｂクｰルビスティｰ, 73,松田大, 0.1, 66,* -2,  10, 3,  6.2,②②②, 2, 2,Ｆサクラプログレス, 69,小島太, 0.1, 72,  -5,  16, 5,  8.3, ④③
 3, 7,Ｃプリキュアアズサ, 47,藤田伸, 0.5, 59,*  0,  -1, 3,  7.1, ①①, 3, 2, ドリｰムサンデｰ,---,川島信, 0.8, 33, -38,  18, 3,  6.6,③⑤③, 3, 3,Ｇハンシンテイオｰ, 56,藤岡佑, 0.5, 66,  -1,  11, 7, 31.3,④④③, 3, 1,Ａフサイチバルドル, 78,武幸四, 0.3, 67,  -5,  13, 4,  7.2, ④③
 4, 9,Ｌラインウィット, 26,柴山雄, 0.9, 54,  -8,   0, 7, 45.1, ⑦⑤, 4, 4, ロイヤルメルヘン,---,五十嵐, 2.1,  1, -38,   1, 5, 36.1,⑤⑤⑤, 4, 5,Ｈタニノディキディキ, 51,五十嵐, 0.5, 68,  -5,* 13, 5, 11.8,⑦⑥⑥, 4,11,Ｌメイプルロｰド, 66,芹沢純, 0.4, 66,  -7,  13, 9, 38.8, ⑥③
 5,12,Ｇダッシュアゲン, 38,津村明, 1.2, 48,* -2,  -8,12,384.5, ③③, 5, 8, ノボスコｰピオ,---,菊沢隆, 2.3,-19, -39,  -3, 8, 67.6,⑦⑤⑤, 5, 2,Ｆシルククロノグラフ, 60,古川吉, 0.8, 63,  -2,   9, 8, 70.4,⑥⑥③, 5,12,Ｉヤマニンパンテｰル, 68,塚田祥, 0.4, 69, -11,* 17, 7, 14.0, ⑧⑧
 6, 3,Ｆオｰブシュプレｰム, 42,菊沢隆, 1.5, 45,  -9,  -5, 4, 17.5, ⑦⑧, 6, 6, サンタキング,---,武英智, 2.3,-19, -39,  -3, 7, 62.3,⑧⑤⑤, 6, 6,Ｃスウィｰプアロング, 67,塚田祥, 0.9, 54,  -2,   0, 2,  3.5,③③③, 6, 8,Ｇセイントリｰプレア, 68,松田大, 0.4, 63,*  0,   7,11, 82.7, ①①
 7,10,Ｈキャットストリｰト, 37,松田大, 1.6, 43,  -6,  -8, 8, 51.3, ⑥⑦, 7, 3, トｰアノマイ,---,柴原央, 2.5,-34,*-35,  -9, 6, 37.9,②②⑤, 7, 8,Ｅハイタイド, 63,武幸四, 1.3, 54,  -2,   0, 4,  8.5,⑤⑤⑥, 7, 3,Ｋケイエスアイ, 66,小林徹, 0.4, 71, -14,* 20,10, 40.7, ⑩⑪
 8, 1,Ｅザッツアメｰジング, 45,塚田祥, 2.0, 36,  -5, -14, 6, 30.1, ④⑤, 8, 5, ヤマニンプロロｰグ,---,藤岡佑, 2.8,-47,*-35, -14, 4,  7.4,③②③, 8, 7,Ｄカネマサスピｰディ, 66,川島信, 2.4, 48,  -4,  -8, 6, 28.7,⑧⑧⑧, 8, 9,Ｊリガｰドシチｰ, 67,藤岡佑, 0.7, 58,  -3,   5, 3,  6.2, ③③
 9, 6,Ｋオンワｰドアビエス, 32,梶晃啓, 2.2, 36, -15,  -8, 9,128.7, ⑨⑨,,,,,,,,,,,,,,,,,,,,,,,,, 9, 5,Ｈデアテンビｰ, 68,柴原央, 0.7, 63, -14,  16, 8, 38.1, ⑩⑨
10, 5,Ｄメイショウエンドラ, 46,藤岡佑, 2.4, 33, -15, -10, 5, 29.0, ⑨⑩,,,,,,,,,,,,,,,,,,,,,,,,,10,10,Ｃタイセイアトム, 73,川島信, 0.8, 54,  -8,   5, 1,  2.9, ⑥③
11, 4,Ｉロｰズロック, 36,古川吉, 3.0, 28, -22, -12,10,200.2, ⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,11, 4,Ｅセイウンドｰバｰ, 71,五十嵐, 0.8, 56, -13,  10, 2,  4.6, ⑧⑨
12, 2,Ｊオワラアワｰド, 33,的場勇, 3.0, 26, -23, -13,11,287.2, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-24 ﾚｰｽｱｶﾞﾘ指数:+31 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-4),,,,,,,,,,,
単勝:250円 複勝:11=110円 08=100円 07=130円 枠連:150円,,,,,,,,,,,,単勝:250円 複勝:01=100円 07=110円 02=120円 枠連:0円,,,,,,,,,,,,単勝:190円 複勝:04=140円 01=190円 03=380円 枠連:0円,,,,,,,,,,,,"単勝:850円 複勝:07=310円 02=250円 01=260円 枠連:5,880円",,,,,,,,,,,
馬連:170円 ワイド:08-11=130円 07-11=280円 07-08=220円,,,,,,,,,,,,馬連:220円 ワイド:01-07=120円 01-02=190円 02-07=180円,,,,,,,,,,,,"馬連:560円 ワイド:01-04=320円 03-04=770円 01-03=1,530円",,,,,,,,,,,,"馬連:3,520円 ワイド:02-07=1,010円 01-07=1,130円 01-02=930円",,,,,,,,,,,
馬単:580円 3連複:410円,,,,,,,,,,,,馬単:520円 3連複:350円,,,,,,,,,,,,"馬単:900円 3連複:3,760円",,,,,,,,,,,,"馬単:8,020円 3連複:8,630円 3連単:53,830円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,,■ 6R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.5,,,,,■ 9R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,,■12R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北斗賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａエバンジェリスト, 57,塚田祥,, 64,* -5,*  6, 2,  4.4,③②①, 1, 6,Ｈクニノヤマト, 50,武幸四,, 61,   3,* -5,10, 69.2,⑪⑧④, 1, 7,Ｂサクラカンパネラ, 65,的場勇,, 69,*  9,   1, 7, 13.9, ②②, 1,12,Ｉダｰクマタｰ, 72,五十嵐,, 81,*  5,* 15, 1,  2.6,③③②
 2, 9,Ｊロｰランラムズ, 35,武幸四, 0.4, 60,* -4,   3, 5, 12.7,②①②, 2, 8,Ｆクリティカルライト, 57,藤田伸, 0.0, 60,*  8, -15, 2,  4.1,②②①, 2, 8,Ｆコペルニクス, 59,藤田伸, 0.2, 67,   2,   4, 2,  4.0, ③③, 2, 4,Ｅアサクササイレン, 74,柴原央, 0.6, 76,   4,  11, 6, 13.4,⑦④③
 3, 6,Ｄスズノテンカ, 51,須貝尚, 0.6, 59,* -5,   3, 3,  4.8,③③③, 3, 3,Ｅカツホマレ, 57,川島信, 0.1, 59,   5,* -9, 7, 13.7,⑧⑥④, 3, 1,Ｃトレノトマト, 64,五十嵐, 0.4, 65,  -7,*  8, 6, 11.8, ⑨⑥, 3, 5,Ｇブイアタッカｰ, 73,須貝尚, 0.8, 72,   2,   9, 5, 13.0,⑥④⑤
 4, 4,Ｅスズカゲスト, 47,津村明, 1.6, 53, -11,*  4, 4,  5.7,⑫⑨⑦, 4, 7,Ａメイショウチュラ, 63,藤岡佑, 0.2, 58,*  7, -15, 4,  5.6,④④③, 4, 2,Ｋエレガンストラッド, 35,梶晃啓, 0.8, 61, -11,*  8,10,217.8, ⑩⑨, 4, 7,Ｂバトルハｰトオｰ, 76,川島信, 0.8, 75,   4,  10,10, 25.4,⑦④⑦
 5, 7,Ｃキングトップダンス, 53,藤田伸, 1.8, 47,  -9,  -2, 1,  2.9,⑨⑥⑥, 5, 4,Ｉセフティグランプリ, 44,柴原央, 0.9, 51,*  6, -26, 8, 34.2,④④④, 5, 5,Ｈスプリントシチｰ, 57,千葉直, 0.8, 58,  -6,   3, 8, 17.5, ⑦⑧, 5, 9,Ｃコパノカチドキ, 75,藤田伸, 0.9, 70,*  4,   4, 2,  3.4,②②①
 6, 8,Ｈケイアイシュンライ, 41,高井彰, 2.0, 48, -11,   0, 8, 30.6,⑧⑨⑨, 6,10,Ｏウレシイ, 35,菊沢隆, 1.0, 50,   2, -17, 9, 51.2,⑬⑪⑧, 6, 9,Ｊスマｰトフレンズ, 43,藤岡佑, 0.9, 57,  -1,  -1, 4,  9.4, ⑤⑤, 6, 6,Ｄセクシｰシュｰズ, 74,菊沢隆, 1.0, 76,   2,* 12, 9, 23.7,⑪⑫⑦
 7,11,Ｋアドマイヤレグルス, 25,柴山雄, 2.2, 47, -12,   1,10, 49.2,⑪⑫⑩, 7, 2,Ｂクｰルカリッジ, 59,五十嵐, 1.0, 49,   2, -17, 1,  3.2,⑮⑪⑧, 7,10,Ｉリニモスタｰ, 45,塚田祥, 1.1, 53, -15,   4,11,246.5, ⑪⑨, 7,10,Ｊバリｰバｰン, 70,芹沢純, 1.5, 69,   3,   5, 4, 12.0,⑪⑨⑥
 8, 2, シルバｰストリｰク,---,藤岡佑, 2.3, 43, -10,  -4,11, 54.2,⑨⑦⑧, 8,12,Ｊチアズゲイリｰ, 44,芹沢純, 1.3, 47,   1, -20,14,207.5,⑬⑪⑫, 8, 6,Ｇアルファキャスパｰ, 57,田辺裕, 1.3, 54,  -5,  -1, 9, 20.0, ⑦⑨, 8, 2,Ｌオｰロブライト, 67,田辺裕, 1.8, 66,*  6,  -4, 3,  9.9,①①③
 9, 5,Ｇナムラシラユリ, 46,武英智, 2.4, 42,* -5, -14, 9, 39.1,①③④, 9, 1,Ｇセシルブルｰス, 56,塚田祥, 1.4, 44,   2, -27, 3,  5.4,⑧⑧⑧, 9, 4,Ｅクレバｰジェフリｰ, 60,武幸四, 1.4, 50,   3,  -9, 5,  9.9, ③④, 9,13,Ｆバルバロ, 73,柴山雄, 1.8, 63,   3,  -2, 7, 14.4,⑤④⑦
10,12,Ｉタマモシャイン, 37,五十嵐, 2.7, 40,  -6, -15,12, 57.3,⑤⑤⑤,10,13,Ｋブラックナイト, 43,田辺裕, 1.7, 44,   2, -27,11,100.4,⑩⑪⑪,10,11,Ｄエｰピｰゴンタ, 61,菊沢隆, 1.8, 47,  -3,  -7, 3,  4.3, ⑥⑥,10, 1,Ｋワンダｰホｰプ, 68,小林徹, 1.8, 67,   3,   2,11, 35.5,⑨⑨⑩
11, 1,Ｆジｰティｰハング, 46,菊沢隆, 3.0, 37, -11,  -9, 7, 22.4,⑤⑨⑪,11,15,Ｌダンスグランドゥ, 38,荻野要, 1.8, 43,*  7, -41,15,447.8,③③⑦,11, 3,Ａバンロｰゼ, 80,川島信, 2.3, 38,* 10, -23, 1,  3.4, ①①,11,11,Ｍウォｰタｰゴｰラン, 58,武幸四, 2.6, 61,   2,  -4,12, 62.0,⑨⑪⑫
12, 3,Ｂピノグリｰジョ, 54,松田大, 5.0,  5, -10, -31, 6, 15.4,⑤⑦⑫,12, 5,Ｄゼットクレヴァ, 59,津村明, 2.3, 38,*  8, -52, 5, 10.3,①①②,,,,,,,,,,,,,12, 3,Ｈハセノダンディ, 72,塚田祥, 3.1, 56,   4, -13, 8, 22.2,④④⑩
,,,,,,,,,,,,13,11,Ｃオｰベルヴィリエ, 59,的場勇, 3.0, 34,   0, -47, 6, 12.9,⑫⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 9,Ｍリキアイグレイト, 36,松田大, 5.0, -4,   5, -83,12,156.3,⑦⑥⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,14,Ｎアイノキセキ, 35,小林徹, 7.7,-63,   3, ---,13,168.2,④⑧⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-3),,,,,,,,,,,
"単勝:440円 複勝:10=200円 09=330円 06=170円 枠連:2,470円",,,,,,,,,,,,"単勝:6,920円 複勝:06=910円 08=160円 03=290円 枠連:890円",,,,,,,,,,,,"単勝:1,390円 複勝:07=340円 08=180円 01=330円 枠連:1,090円",,,,,,,,,,,,単勝:260円 複勝:12=140円 04=350円 05=300円 枠連:840円,,,,,,,,,,,
"馬連:2,310円 ワイド:09-10=740円 06-10=370円 06-09=790円",,,,,,,,,,,,"馬連:8,960円 ワイド:06-08=1,790円 03-06=4,190円 03-08=720円",,,,,,,,,,,,"馬連:2,300円 ワイド:07-08=840円 01-07=1,190円 01-08=710円",,,,,,,,,,,,"馬連:2,470円 ワイド:04-12=850円 05-12=670円 04-05=2,160円",,,,,,,,,,,
"馬単:3,900円 3連複:3,220円",,,,,,,,,,,,"馬単:26,060円 3連複:30,260円",,,,,,,,,,,,"馬単:4,800円 3連複:4,340円 3連単:26,450円",,,,,,,,,,,,"馬単:3,260円 3連複:7,610円 3連単:36,920円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
