06年 4月16日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 4月16日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.7,,,,,■ 4R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■ 7R  ダ1200m 4歳上500万(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2.3,,,,,■10R  芝1600m 4歳上1600万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3.1,,,,
 3, 7,Ｅグランドミュｰズ, 44,岩田康, 1.2, 47, -11,* -1, 6, 22.8,⑨⑨⑧, 3, 4,Ａトｰヨｰコジｰン, 65,横山典, 0.9, 62,   2,  -1, 1,  1.3, ⑤⑤, 3, 5,Ｅゼットコマンダｰ, 56,池添謙, 0.2, 72, -19,* 23, 6, 14.8,⑤⑤⑤, 3, 6,Ｌフサイチジャンク, 75,岩田康, 0.4, 94,  10,* 27, 2,  5.6,⑬⑩⑨
 4, 6,Ｉフレッシュチェリｰ, 29,小牧太, 1.4, 45,  -8,  -8, 8,128.9,⑦⑦⑥, 4, 9,Ｈリワｰドアロン, 52,江田照, 1.0, 61,   2,  -2, 9, 57.3, ⑤⑤, 4, 1,Ｄマイネルファｰマ, 60,柴田善, 0.2, 61, -17,  20, 5, 12.8,③③⑤, 4,15,Ａアドマイヤムｰン, 86,武豊  , 0.5, 93,   9,* 27, 1,  2.2,⑮⑫⑫
 5, 5,Ｈセラフ, 36,池添謙, 1.6, 44,  -8, -10, 7, 72.5,⑧⑦⑥, 5,12,Ｂフレッシュブラッド, 61,藤田伸, 1.0, 62,   4,  -4, 5, 17.0, ③②, 5, 4,Ｃダイワバゼラｰド, 60,安藤勝, 0.4, 60, -19,  20, 3, 11.4,⑥⑤④, 5, 1,Ｅフサイチリシャｰル, 83,福永祐, 0.6, 90,* 17,   6, 3,  7.2,②②①
 6, 2,Ｄダイワベルタ, 45,的場勇, 1.9, 39,  -6, -21, 5, 14.5,③④③, 6,11,Ｉスズカイｰグル, 52,岩田康, 1.1, 60,   0,  -1,11, 70.0, ⑨⑧, 6, 3,Ｆソレックス, 43,藤田伸, 0.5, 49,*-15,  11, 4, 12.3,①①①, 6,12,Ｆサクラメガワンダｰ, 81,内田博, 0.6, 93,   7,* 30, 4,  8.7,⑯⑮⑬
 7, 8,Ｆラフィｰク, 43,武豊  , 1.9, 41,* -3, -23, 2,  3.9,①①①, 7,13, キョウエイプルｰト,---,内田博, 1.2, 59,   3,  -5, 7, 28.2, ⑤⑤,,,,,,,,,,,,, 7,16,Ｊジャリスコライト, 76,横山典, 0.7, 90,  12,  18, 5, 13.6,⑩⑥⑥
 8, 3,Ｂワイルドオｰキッド, 49,後藤浩, 3.2, 32,* -4, -34, 4, 12.3,④③③, 8, 8,Ｃニシノインピッシュ, 57,北村宏, 1.3, 56,   2,  -5,12, 72.0, ⑤⑩,,,,,,,,,,,,, 8,13,Ｂインテレット, 86,後藤浩, 0.8, 88,  12,  16,13, 60.3,⑪⑥⑥
 9, 1,Ｇサムシングオｰルド, 37,田中勝, 4.1, 24,  -7, -36, 9,177.1,⑤⑥⑨, 9,14, ワイエスハッスル,---,納谷和, 1.4, 57,   0,  -4,13, 98.9, ⑨⑧,,,,,,,,,,,,, 9,10,Ｐトウショウシロッコ, 67,吉田豊, 0.9, 88,  10,  18,18,221.3,⑬⑩⑨
,,,,,,,,,,,,10, 5,Ｊシャンフェン, 51,後藤浩, 1.5, 57,*  5, -10, 6, 24.9, ②②,,,,,,,,,,,,,10,14,Ｉスｰパｰホｰネット, 77,四位洋, 1.3, 86,   6,  22, 9, 33.5,⑱⑰⑮
,,,,,,,,,,,,11, 7,Ｋアドマイヤダッシュ, 51,田中勝, 1.5, 54,  -8,*  2, 2, 11.6, ⑫⑪,,,,,,,,,,,,,11, 3,Ｑナイアガラ, 64,小牧太, 1.3, 83,  14,   4,12, 52.2,④⑤④
,,,,,,,,,,,,12, 1,Ｌミズサワゲンキ, 48,的場勇, 2.1, 43, -13,  -2,14,318.7, ⑬⑬,,,,,,,,,,,,,12,11,Ｃステキシンスケクン, 85,藤田伸, 1.5, 79,* 18,  -9, 8, 33.0,①①②
,,,,,,,,,,,,13, 6,Ｅマイネルグリッツァ, 56,小牧太, 2.9, 38, -13,  -7, 8, 46.9, ⑭⑬,,,,,,,,,,,,,13, 4,Ｏキャプテンベガ, 70,安藤勝, 1.6, 80,  12,   4, 7, 19.3,⑧⑥⑥
,,,,,,,,,,,,14,10, ホウヨウサイト,---,柴田善, 3.2, 36,  -7, -16,10, 64.4, ⑪⑫,,,,,,,,,,,,,14,18,Ｒニシノアンサｰ, 62,菊沢隆, 2.1, 73,* 16, -14,17,210.4,③③④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 8,Ｎダイアモンドヘッド, 72,北村宏, 2.3, 72,   8,   3,14,144.2,⑪⑮⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17,Ｋディｰプエアｰ, 76,池添謙, 2.4, 70,   9,  -2,15,160.0,⑤⑫⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 7,Ｈショウナンタキオン, 78,田中勝, 2.4, 74,   5,   7,11, 47.3,⑰⑱⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 9,Ｍゴウゴウキリシマ, 75,中舘英, 2.7, 68,   9,  -6,16,195.3,⑦⑫⑬
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:97 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-1),,,,,,,,,,,
単勝:160円 複勝:04=110円 09=160円 07=350円 枠連:160円,,,,,,,,,,,,"単勝:1,220円 複勝:15=200円 02=290円 04=110円 枠連:6,380円",,,,,,,,,,,,単勝:190円 複勝:06=110円 02=120円 枠連:0円,,,,,,,,,,,,"単勝:1,450円 複勝:05=430円 02=760円 06=260円 枠連:1,000円",,,,,,,,,,,
馬連:430円 ワイド:04-09=220円 04-07=550円 07-09=730円,,,,,,,,,,,,"馬連:5,130円 ワイド:02-15=1,260円 04-15=410円 02-04=410円",,,,,,,,,,,,馬連:190円 ワイド:02-06=120円 05-06=260円 02-05=340円,,,,,,,,,,,,"馬連:13,980円 ワイド:02-05=3,290円 05-06=1,380円 02-06=3,000円",,,,,,,,,,,
"馬単:670円 3連複:1,670円",,,,,,,,,,,,"馬単:12,850円 3連複:1,880円",,,,,,,,,,,,馬単:360円 3連複:520円,,,,,,,,,,,,"馬単:29,670円 3連複:34,700円 3連単:273,310円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,,■ 6R  ダ1800m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.8,,,,,■ 9R  芝1800m 4歳上1000万 ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0.3,,,,,■12R  ダ1200m 4歳上1000万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,野島崎特別,,,,,,,,,,,,鹿島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａルルドウォｰタｰ, 57,岩田康,, 67,* 10,  -7, 1,  3.5, ①①, 1, 6,Ｇダｰクマタｰ, 61,武豊  ,, 70,*  3,*  5, 3,  7.0,②①①, 1,11,Ｄヤマニンメルベイユ, 76,柴田善,, 82,* 13,   5, 4,  7.3,②②②, 1, 3,Ａノｰザンキッズ, 80,岩田康,, 86,   2,* 21, 8, 17.6, ③②
 2, 4, ファイトスタｰ,---,内田博, 0.7, 56,  -1,* -4, 2,  3.8, ④③, 2, 8,Ｂオンワｰドウシワカ, 68,北村宏, 0.1, 72,   1,*  8, 8, 25.4,⑮⑧③, 2, 4,Ｂロフティｰエイム, 84,藤田伸, 0.1, 80,   8,  12, 2,  3.6,⑨⑧⑦, 2,11,Ｄバｰズアイ, 77,柴田善, 0.6, 77,*  5,  12, 6, 14.2, ①①
 3,10,Ｂシュピルマン, 47,北村宏, 1.0, 55,*  6, -13, 5,  6.8, ②②, 3,14,Ａマイネルギルト, 71,安藤勝, 0.4, 67,   2,   3, 2,  4.4,⑧⑤⑤, 3, 3,Ａスプリングドリュｰ, 84,岩田康, 0.2, 78,   7,  12,10, 33.2,⑩⑩⑨, 3, 9,Ｎシャドウハｰツ, 66,田中勝, 0.9, 77,  -7,  20,11, 87.1, ⑩⑦
 4, 9,Ｄオｰブシュプレｰム, 45,四位洋, 1.6, 46,  -1, -13, 3,  5.0, ④④, 4, 2,Ｃラヴサンシャイン, 67,土谷智, 0.5, 70,   2,   4, 1,  2.4,⑩⑧③, 4, 1,Ｋショウナンパレス, 69,福永祐, 0.3, 74,   8,   5,11, 64.7,⑥⑤⑦, 4, 5,Ｃグロｰバルボンバｰ, 79,福永祐, 0.9, 75,  -5,  18, 4,  6.9, ⑧⑨
 5, 6,Ｈグラスキッド, 20,的場勇, 1.7, 42,  -5, -12, 9, 66.5, ⑥⑥, 5, 7,Ｋサンデｰコバン, 58,吉田豊, 0.8, 64,   2,   1, 9, 34.1,⑥⑤⑦, 5,12,Ｈヤナギムシ, 73,岩部純, 0.4, 74,   9,   2, 5, 14.9,⑥⑤④, 5, 7,Ｉツタンカｰメン, 76,武豊  , 1.1, 75, -15,* 25, 2,  4.0, ⑬⑬
 6, 7,Ｅアフリｰトバッハ, 41,藤田伸, 2.0, 41,  -4, -14, 8, 23.4, ⑥⑦, 6,16,Ｈヨシリマｰカブル, 60,大庭和, 1.0, 64,   0,   2,15,318.7,⑦⑩⑧, 6, 2,Ｇレイルバｰド, 73,内田博, 0.4, 76,   1,* 19, 9, 28.3,⑬⑭⑭, 6,15,Ｅタイキコナン, 77,横山典, 1.1, 73,  -6,  17, 3,  5.3, ⑧⑨
 7, 3,Ｆディｰエスブリッツ, 40,福永祐, 2.2, 39,  -6, -14, 7, 22.0, ⑧⑦, 7,12,Ｊオリエンタルバｰド, 58,藤田伸, 1.2, 62,*  4,  -6,11, 84.4,④①①, 7,13,Ｌオｰトゼウス, 68,後藤浩, 0.5, 75,* 12,  -1, 6, 17.0,③③③, 7,16,Ｆアｰマメント, 77,後藤浩, 1.2, 72,   1,  10, 9, 26.0, ⑤④
 8, 1,Ｃネイチャｰガイド, 46,武豊  , 2.4, 39,   3, -24, 6, 12.2, ③④, 8,10,Ｅキングバッハ, 62,津村明, 1.3, 60,  -3,   3,14,225.0,⑬⑭⑫, 8,14,Ｍアチｰブフィｰト, 65,田中勝, 0.6, 69,   4,   6,15,216.0,⑩⑩⑪, 8, 4,Ｐニシノイワイザケ, 63,大庭和, 1.2, 73, -10,  20,15,148.0, ⑪⑪
 9, 2,Ｇデザｰトフラワｰ, 37,菊沢隆, 2.6, 33, -12, -13,10, 95.5, ⑨⑨, 9, 4,Ｄレオシュガｰ, 65,池添謙, 1.8, 60,  -4,   4,10, 69.9,⑯⑯⑫, 9, 9,Ｃファインセラ, 78,横山典, 0.6, 75,  10,   0, 1,  2.8,⑤⑤④, 9,12,Ｊブルｰチェイサｰ, 72,北村宏, 1.4, 68,   1,   8,14,141.7, ⑤⑥
10, 8, ベストオブゴｰルド,---,横山典, 2.7, 30, -20,* -6, 4,  5.9, ⑩⑩,10,13,Ｆシャコｰサクセス, 62,横山典, 1.8, 59,  -1,  -3, 7, 17.5,⑪⑪⑧,10, 8,Ｏマルタカキラリｰ, 58,吉田豊, 0.6, 69,* 11, -10,13,101.8,①①①,10,14,Ｏコウジンアルス, 65,小島太, 1.5, 67,   2,   6,13,114.1, ③④
,,,,,,,,,,,,11, 1,Ｐネヴァｰトルネｰド, 37,岩田康, 1.8, 57,  -1,  -3, 6, 16.0,⑧⑪⑫,11,15,Ｉホシノプレゼント, 73,武豊  , 0.6, 75,   9,   6, 3,  7.1,⑥⑧⑨,11,13,Ｇウエスタンウッズ, 77,的場勇, 1.8, 63,  -2,   6, 1,  3.8, ⑦⑦
,,,,,,,,,,,,12,11,Ｉコンフロント, 58,内田博, 2.2, 52,*  4, -15, 4,  7.1,③①⑥,12, 7,Ｆダイワブレスイング, 75,北村宏, 0.6, 72,   4,  10, 7, 21.0,⑫⑫⑫,12, 6,Ｋフルブラスト, 72,内田博, 1.9, 61,*  3,   1, 7, 16.9, ②②
,,,,,,,,,,,,13, 3,Ｎジュリアスアロｰ, 53,小牧太, 2.2, 54,  -3,  -3,16,445.1,⑬⑭⑮,13,10,Ｊヤマニンアロンディ, 70,津村明, 0.7, 71,   3,  10,14,103.3,⑭⑬⑫,13, 8,Ｍグラスウェｰブ, 69,池添謙, 2.4, 58, -11,   9,12, 88.6, ⑪⑫
,,,,,,,,,,,,14, 9,Ｌグルメジャパン, 55,柴田善, 2.6, 50,   2, -18,12, 85.8,④⑤⑧,14, 6,Ｎマイネルジェム, 63,小牧太, 0.8, 69,* 10,  -7,12, 77.6,③③④,14, 1,Ｌイチライタッチ, 69,四位洋, 2.6, 58, -19,  14,10, 73.9, ⑮⑭
,,,,,,,,,,,,15,15,Ｏカネスマスタピｰス, 49,後藤浩, 2.8, 49,  -2, -11,13,162.3,⑪⑬⑮,15, 5,Ｅアドマイヤダンサｰ, 75,四位洋, 3.4, 42,  -2, -20, 8, 22.6,⑮⑮⑮,15, 2,Ｂケイアイハクスイ, 80,藤田伸, 3.5, 46, -16,   3, 5,  7.6, ⑭⑭
,,,,,,,,,,,,16, 5,Ｍコンフリクト, 54,田中勝, 4.9, 31,*  4, -41, 5, 10.8,①①⑧,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+15 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+20 馬場:稍重(指数:-4),,,,,,,,,,,
単勝:350円 複勝:05=130円 04=160円 10=170円 枠連:770円,,,,,,,,,,,,"単勝:700円 複勝:06=230円 08=460円 14=170円 枠連:2,470円",,,,,,,,,,,,単勝:730円 複勝:11=230円 04=160円 03=790円 枠連:690円,,,,,,,,,,,,"単勝:1,760円 複勝:03=600円 11=370円 09=1,530円 枠連:8,190円",,,,,,,,,,,
馬連:730円 ワイド:04-05=300円 05-10=400円 04-10=530円,,,,,,,,,,,,"馬連:9,710円 ワイド:06-08=2,490円 06-14=770円 08-14=1,050円",,,,,,,,,,,,"馬連:890円 ワイド:04-11=450円 03-11=2,940円 03-04=1,550円",,,,,,,,,,,,"馬連:10,850円 ワイド:03-11=2,880円 03-09=10,060円 09-11=6,270円",,,,,,,,,,,
