06年12月24日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年12月24日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2500m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.2,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａマイネルアワグラス, 70,柴田善,, 52,* -8,* -2, 1,  2.8,③②②, 1, 3,Ｃトｰセンブレイク, 67,横山典,, 79,* 13,   3, 3,  4.6, ②②, 1, 8,Ｋタガノサイクロン, 76,池添謙,, 76,   7,* 14, 2,  5.3,⑭⑭⑬,,,,,,,,,,,,
 2, 3,Ｃシャドウブルｰス, 64,ペリエ, 0.2, 50,* -8,* -3, 3,  5.6,③⑥⑤, 2,12,Ｂスティリスタ, 70,ペリエ, 0.1, 73,   7,*  8, 1,  2.3, ⑥⑥, 2, 1,Ｂタイキヴァンベｰル, 80,蛯名正, 0.1, 78,  10,*  8, 4, 12.6,⑨⑦④,,,,,,,,,,,,
 3, 1,Ｂダイワルビア, 66,田中勝, 0.3, 49,* -8,  -4, 2,  2.9,⑧②④, 3, 5,Ｄケイアイハクスイ, 63,内田博, 0.7, 64,   0,*  8, 4,  9.9, ⑫⑪, 3, 9,Ｉウインレガｰト, 78,木幡初, 0.3, 74,   6,* 10,14,172.3,⑮⑭⑨,,,,,,,,,,,,
 4, 9,Ｈテイクザホｰク, 43,武豊  , 0.3, 49,* -7,  -5, 7, 21.4,②②②, 4, 8,Ｍボストンキコウシ, 53,田中勝, 0.8, 71,* 13,  -4,13,213.9, ②③, 4,16,Ｄサンデｰストリｰム, 80,田中勝, 0.3, 77,* 14,  -3, 6, 19.4,③③①,,,,,,,,,,,,
 5, 2,Ｐマケテタマルカ, 20,池添謙, 0.4, 48,* -7,  -7, 9, 31.7,①①①, 5,13,Ａソロタｰン, 78,武豊  , 0.9, 73,* 15,  -7, 2,  3.3, ①①, 5, 2,Ｃスマｰトストリｰム, 80,武幸四, 1.2, 68,   9,  -3, 9, 31.5,⑥⑦⑥,,,,,,,,,,,,
 6,11,Ｇアロハスタイル, 46,内田博, 0.5, 50, -10,* -3, 5, 14.8,⑯⑨⑤, 6,15,Ｅミサトアロｰ, 61,池添謙, 1.0, 63,   5,   1, 6, 22.4, ⑦⑦, 6, 4,Ｆスズカジョリｰズ, 79,鈴来直, 1.3, 66,   8,  -2, 8, 30.4,⑪⑩⑨,,,,,,,,,,,,
 7, 7,Ｋドンアドヴァイタ, 38,五十嵐, 0.6, 48, -10,  -3,12,184.6,⑨⑨⑧, 7, 4,Ｉマルタラヴ, 55,岩田康, 1.1, 60,   2,   2, 9, 63.6, ⑨⑦, 7,10,Ｊイブロン, 77,内田博, 1.5, 68,   9,  -3, 3,  8.1,⑨⑩⑮,,,,,,,,,,,,
 8,10,Ｏハイドパｰク, 28,岩田康, 0.6, 48, -10,  -3, 4, 11.6,⑨⑨⑨, 8,14,Ｊメイルリヒト, 55,勝浦正, 1.7, 58,   9,  -9,10,101.1, ④⑤, 8, 3,Ｇサヨウナラ, 79,小野次, 1.5, 65,   9,  -6,10, 43.0,⑥⑦⑧,,,,,,,,,,,,
 9, 6,Ｆベルタリド, 51,吉田豊, 0.6, 48, -11,* -2,10, 78.9,⑪⑫⑨, 9, 2,Ｇリヒタｰ, 58,五十嵐, 1.8, 58,  10, -11, 7, 57.7, ④④, 9,11,Ｈケイパブルバイオ, 79,服部剛, 1.7, 64,   5,  -1,15,174.3,⑮⑯⑪,,,,,,,,,,,,
10, 4,Ｅスタｰマップ, 56,横山典, 1.9, 38,  -9, -17, 6, 18.7,⑥⑦⑦,10,11,Ｆダノンエトランゼル, 59,加藤士, 1.8, 53,  -3,   1, 8, 61.5, ⑮⑮,10, 7,Ｌメジロオｰエン, 75,吉田豊, 1.9, 61,   8,  -8,11, 58.9,⑪⑩⑪,,,,,,,,,,,,
11,12,Ｎハワイアンボｰイ, 31,小野次, 2.2, 36, -12, -14,11,157.3,⑪⑬⑬,11, 7,Ｋスマｰトアンサｰ, 53,武士沢, 2.0, 51,  -1,  -3,16,309.1, ⑫⑬,11,12,Ｅバトルハｰトオｰ, 80,岩田康, 2.0, 61,  10, -14,12, 76.2,④④④,,,,,,,,,,,,
12,16,Ｊトウショウヒルズ, 39,小林淳, 2.5, 33,  -9, -22,13,244.5,⑥⑦⑨,12,16,Ｌダイワブレｰド, 53,安藤勝, 2.0, 52,   2,  -6, 5, 16.9, ⑨⑦,12,14,Ａトラストジュゲム, 84,ペリエ, 2.0, 66,* 16, -20, 1,  1.9,①①②,,,,,,,,,,,,
13,15,Ｄタカラトゥルｰ, 58,蛯名正, 2.8, 30,* -8, -28, 8, 23.2,⑤②⑨,13, 6,Ｏミヨノインパクト, 44,郷原洋, 2.1, 51,   2,  -7,14,261.4, ⑨⑫,13, 5,Ｎメイショウホウオウ, 74,勝浦正, 2.1, 63,  11, -13, 5, 13.4,⑤④⑥,,,,,,,,,,,,
14, 5,Ｌバトルフィｰスト, 35,郷原洋, 3.1, 32, -17, -13,16,465.8,⑮⑯⑯,14, 9,Ｈエフテｰコンコルド, 57,小野次, 2.9, 43,   3, -16,11,103.4, ⑧⑩,14,13,Ｍカオリノｰブル, 75,吉永護, 2.8, 58,* 14, -27, 7, 20.0,②②③,,,,,,,,,,,,
15,13,Ｍフライングドクタｰ, 32,木幡初, 3.3, 29, -15, -18,15,456.7,⑪⑭⑮,15, 1,Ｐマッキｰシェｰバｰ, 44,武幸四, 3.0, 46, -10,  -5,12,121.9, ⑯⑯,15,15,Ｐトｰヨｰエｰピｰ, 53,郷原洋, 2.8, 54,   6, -15,16,379.3,⑬⑬⑮,,,,,,,,,,,,
16,14,Ｉサンデイルック, 42,武士沢, 3.3, 29, -15, -18,14,402.9,⑭⑭⑭,16,10,Ｎピアｰズフォンテン, 50,木幡初, 4.8, 27,   0, -32,15,307.4, ⑫⑬,16, 6,Ｏエミリア, 72,二本柳, 4.4, 46,  10, -34,13, 77.1,⑥⑥⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+15 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,
単勝:280円 複勝:08=120円 03=130円 01=120円 枠連:550円,,,,,,,,,,,,単勝:460円 複勝:03=140円 12=110円 05=180円 枠連:410円,,,,,,,,,,,,"単勝:530円 複勝:08=230円 01=370円 09=3,410円 枠連:1,760円",,,,,,,,,,,,,,,,,,,,,,,
馬連:640円 ワイド:03-08=220円 01-08=190円 01-03=230円,,,,,,,,,,,,馬連:420円 ワイド:03-12=200円 03-05=480円 05-12=350円,,,,,,,,,,,,"馬連:2,420円 ワイド:01-08=900円 08-09=12,510円 01-09=12,870円",,,,,,,,,,,,,,,,,,,,,,,
"馬単:1,020円 3連複:510円",,,,,,,,,,,,"馬単:1,080円 3連複:900円",,,,,,,,,,,,"馬単:4,340円 3連複:140,740円 3連単:509,430円",,,,,,,,,,,,,,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.1,,,,,■ 6R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2.1,,,,,■ 9R  芝2500m 3歳上ｵｰﾌﾟﾝ(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ﾎｰﾌﾟﾌﾙｽﾃｰｸｽ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂマイネルヘンリｰ, 58,岩田康,, 53, -10,*  4, 5,  9.0,⑦⑦⑦, 1,13,Ｏニュｰビギニング, 36,武豊  ,, 69,   5,*  9, 2,  5.0,⑮⑫⑫, 1, 4,Ａディｰプインパクト,106,武豊  ,,108,   7,* 38, 1,  1.2,⑫⑪⑩,,,,,,,,,,,,
 2,16,Ｃセントラルカフェ, 56,武幸四, 0.0, 47,* -7,  -6, 1,  2.9,②②②, 2, 9,Ｃサンツェッペリン, 66,五十嵐, 0.2, 67,   8,*  0,10, 30.8,⑫⑨⑧, 2, 1,Ｋポップロック, 86,ペリエ, 0.5, 83,  10,  20, 6, 31.1,③④④,,,,,,,,,,,,
 3, 1,Ｇコンジキノシシオウ, 45,蛯名正, 0.1, 44,* -6,  -9, 2,  3.9,①①①, 3, 3,Ｎコｰナｰストｰン, 46,蛯名正, 0.3, 66,   9,  -4,12,101.8,⑧⑧⑥, 3, 5,Ｂダイワメジャｰ, 98,安藤勝, 0.6, 79,* 11,  16, 3, 15.1,②②②,,,,,,,,,,,,
 4,11,Ｒスズガバナンス,-15,ペリエ, 0.5, 43, -10,  -6, 8, 60.1,⑦⑦⑦, 4, 7,Ａクルサｰド, 75,岩田康, 0.5, 64,  10,  -9, 1,  3.5,⑦⑦⑥, 4, 3,Ｄドリｰムパスポｰト, 95,内田博, 0.6, 82,   9,  21, 2, 13.1,⑧⑦⑦,,,,,,,,,,,,
 5,12,Ｄアレドラバン, 56,柴田善, 0.5, 41,  -8, -10, 4,  8.3,④④④, 5,14,Ｇマイネルアナハイム, 60,勝浦正, 0.7, 64,   8,  -5, 9, 21.9,⑪⑨⑨, 5, 8,Ｇメイショウサムソン, 89,石橋守, 0.8, 76,* 10,  13, 4, 21.4,③②②,,,,,,,,,,,,
 6, 8,Ｎトウショウデュｰク, 21,伊藤直, 0.6, 46, -13,   0,13,214.9,⑩⑫⑭, 6,10,Ｅダイレクトキャッチ, 63,安藤勝, 0.8, 61,   6,  -4, 8, 13.2,⑨⑫⑫, 6, 2,Ｍデルタブルｰス, 85,岩田康, 0.8, 78,  10,  16, 9, 39.0,③④④,,,,,,,,,,,,
 7,17,Ｉエネルクルｰ, 40,五十嵐, 0.7, 47, -14,   0,14,256.8,⑭⑭⑩, 7, 5,Ｌヒカルオオゾラ, 54,ペリエ, 0.9, 61,* 16, -30, 3,  5.7,②②②, 7, 9,Ｅトウショウナイト, 95,武士沢, 0.9, 77,  10,  16,10, 73.9,⑦⑥④,,,,,,,,,,,,
 8, 7,Ｋロｰランデザｰト, 34,安藤勝, 0.9, 52, -18,*  8, 7, 18.4,⑰⑰⑰, 8, 4,Ｉセンギョウシュフ, 57,田中勝, 1.0, 59,   8, -12,13,147.7,⑨⑨⑨, 8,12,Ｌアドマイヤフジ, 85,武幸四, 0.9, 86,   7,  26,12,131.4,⑪⑫⑫,,,,,,,,,,,,
 9, 4,Ｐモリノカントリｰ, 15,木幡初, 0.9, 40, -13,  -4,16,302.8,⑫⑫⑪, 9,15,Ｂブラックオリｰブ, 72,吉田豊, 1.1, 59,  14, -27, 4,  7.5,⑤④②, 9,10,Ｆアドマイヤメイン, 92,柴田善, 0.9, 76,* 14,   0, 7, 35.4,①①①,,,,,,,,,,,,
10,10,Ｅマイネルステルス, 54,武豊  , 1.1, 37,* -7, -22, 6,  9.3,②②②,10, 8,Ｈカレンナサクラ, 58,武士沢, 1.2, 57,   4,  -6,14,177.3,⑬⑭⑭,10, 6,Ｃスイｰプトウショウ, 97,池添謙, 1.0, 88,   6,  28, 5, 29.6,⑬⑬⑫,,,,,,,,,,,,
11, 3,Ａラｰドロランダム, 68,内田博, 1.2, 50, -20,*  8, 3,  5.0,⑱⑱⑱,11,12,Ｆコスモグルミット, 62,柴田善, 1.2, 58,  12, -24, 5,  9.8,⑥⑥④,11, 7,Ｉコスモバルク, 88,五十嵐, 1.3, 74,   8,  14, 8, 36.4,⑨⑨⑦,,,,,,,,,,,,
11,15,Ｊコパノライジン, 34,村田一, 1.2, 35, -10, -16,11,155.6,⑦⑦⑦,12, 2,Ｄインパｰフェクト, 66,内田博, 1.5, 57,  15, -33, 6, 11.2,③④④,12,11,Ｊスウィフトカレント, 86,横山典, 1.4, 87,   3,  29,11, 92.0,⑭⑭⑭,,,,,,,,,,,,
13,18,Ｆバｰニングラブ, 50,石橋守, 1.2, 35,  -9, -19,12,200.6,④⑥⑤,13, 6,Ｋダノンデインヒル, 54,横山典, 1.6, 54,   4, -12, 7, 12.2,⑬⑭⑮,13,13,Ｈウインジェネラｰレ, 89,蛯名正, 1.7, 70,   8,  10,13,209.9,⑩⑩⑦,,,,,,,,,,,,
14, 5,Ｈデルマアン, 44,池添謙, 1.2, 38, -15,  -4,10,100.2,⑭⑯⑭,14, 1,Ｊニシノプライド, 56,武幸四, 3.6, 41,* 19, -79,11, 71.1,①①①,14,14,Ｎトｰセンシャナオｰ, 79,勝浦正, 2.1, 69,   8,   0,14,218.2,⑥⑧⑩,,,,,,,,,,,,
15, 9,Ｏカジュアルヒノデ, 19,勝浦正, 1.3, 34, -12, -13,15,290.9,⑩⑩⑪,15,11,Ｍゴｰルデンジュビリ, 51,小野次, 4.0, 39,* 15, -74,15,331.2,③③⑪,,,,,,,,,,,,,,,,,,,,,,,,
16,14,Ｑアストラルレイ, 10,小林淳, 1.5, 32, -12, -16,18,716.1,⑫⑩⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,13,Ｌエｰブサフロン, 31,田中勝, 1.6, 35,  -8, -27, 9, 87.2,④④⑤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18, 2,Ｍネオプラネット, 29,武士沢, 2.6, 24, -14, -28,17,326.1,⑯⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:98 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-3),,,,,,,,,,,,,,,,,,,,,,,
"単勝:900円 複勝:06=210円 16=140円 01=160円 枠連:1,330円",,,,,,,,,,,,"単勝:500円 複勝:13=270円 09=710円 03=3,030円 枠連:5,200円",,,,,,,,,,,,"単勝:120円 複勝:04=100円 01=360円 05=230円 枠連:1,000円",,,,,,,,,,,,,,,,,,,,,,,
"馬連:1,420円 ワイド:06-16=560円 01-06=670円 01-16=340円",,,,,,,,,,,,"馬連:17,310円 ワイド:09-13=4,760円 03-13=9,200円 03-09=23,020円",,,,,,,,,,,,"馬連:1,070円 ワイド:01-04=570円 04-05=330円 01-05=1,840円",,,,,,,,,,,,,,,,,,,,,,,
"馬単:3,590円 3連複:1,890円",,,,,,,,,,,,"馬単:27,530円 3連複:341,730円",,,,,,,,,,,,"馬単:1,210円 3連複:2,890円 3連単:9,680円",,,,,,,,,,,,,,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
