05年10月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年10月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  芝3170m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(牝) 別定,,,,,,,,,,,,■10R  芝1200m 3歳上1000万(混) 別定,,,,,,,,,,,
 9,14,Ｃエイシングレｰス, 43,野元  , 2.6, 34,   2, -30, 7, 44.6,③④③,,,,,,,,,,,,, 9,12,Ｈプレミアシスタｰズ, 54,中村将, 1.0, 58,  -8,   5,12,151.8,⑫⑪⑪, 9,14,Ｅメダｰリア, 76,藤岡  , 0.9, 86,* 27, -10,15,147.8,①①①
10, 3,Ｈパレルモ, 36,秋山  , 2.9, 28,  -9, -22,10, 94.3,⑫⑫⑫,,,,,,,,,,,,,10, 1,Ｄセンティｰレ, 61,太宰  , 1.1, 54,* -1,  -7, 6, 20.4,①①①,10,15,Ｎマヤノジャハｰン, 71,長谷川, 1.0, 73,  -6,* 22, 9, 37.0,⑱⑱⑱
11, 7,Ｆカシノカオリ, 40,鮫島良, 2.9, 25,  -8, -27, 9, 76.1,⑩⑨⑨,,,,,,,,,,,,,11,11,Ｊカミングトゥルｰ, 52,松永  , 1.3, 59,  -9,   6,11, 71.1,⑪⑫⑫,11,12,Ｏメニｰアワｰド, 68,赤木  , 1.0, 75,   0,  16,16,155.1,⑫⑭⑭
12,11,Ｎシュンカ, -2,川田  , 3.8, 15, -13, -30,13,221.8,⑬⑬⑬,,,,,,,,,,,,,12, 8,Ｌウエディングメリｰ, 49,安田  , 2.8, 40,  -4, -17, 9, 48.4,⑦⑥⑦,12,10,Ｌステキプレゼント, 73,生野  , 1.1, 78,* 20,  -6,10, 55.7,②②②
13,12,Ｍオウミシンザン, 15,高田  , 4.3, 13, -11, -34,14,419.0,⑬⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,13, 9,Ｇメイショウジャコウ, 76,川田  , 1.2, 75,  14,  -2,18,375.4,②⑤⑤
14, 9,Ｉブラックカイザｰ, 35,川島信, 4.4, 15,   0, -46, 8, 49.1,⑤⑤⑤,,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｋスリｰロケット, 74,渡辺薫, 1.2, 75,  14,  -2, 8, 34.2,⑤⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｒファンドリワｰルド, 64,松田  , 1.3, 69,  -2,  13,17,362.8,⑮⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17,Ｈビッグスマッシュ, 75,本田  , 1.5, 67,  -2,   9,11, 61.1,⑯⑮⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18,Ｑケイエススタｰ, 65,松永  , 1.6, 64,   7,  -3,13, 83.4,⑪⑨⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 8,Ｉマコッチャン, 75,熊沢  , 1.9, 63,  11,  -9,14,122.4,⑫⑦⑧
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:重(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:82 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-3),,,,,,,,,,,
"単勝:710円 複勝:05=210円 01=290円 02=190円 枠連:3,670円",,,,,,,,,,,,単勝:370円 複勝:05=130円 11=160円 06=140円 枠連:460円,,,,,,,,,,,,"単勝:330円 複勝:04=130円 06=540円 07=120円 枠連:1,780円",,,,,,,,,,,,"単勝:750円 複勝:02=240円 01=200円 06=230円 枠連:2,070円",,,,,,,,,,,
"馬連:3,570円 ワイド:01-05=1,110円 02-05=650円 01-02=810円",,,,,,,,,,,,馬連:990円 ワイド:05-11=440円 05-06=330円 06-11=510円,,,,,,,,,,,,"馬連:5,740円 ワイド:04-06=1,530円 04-07=170円 06-07=1,320円",,,,,,,,,,,,"馬連:1,800円 ワイド:01-02=870円 02-06=940円 01-06=890円",,,,,,,,,,,
"馬単:6,140円 3連複:5,420円",,,,,,,,,,,,"馬単:1,920円 3連複:1,230円",,,,,,,,,,,,"馬単:9,370円 3連複:3,880円",,,,,,,,,,,,"馬単:3,850円 3連複:3,940円 3連単:23,440円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 5R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1400m 3歳上500万(混) 別定,,,,,,,,,,,,■11R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京都大賞典 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂリメインオブザサン, 47,赤木  ,, 56,* -2,  -7, 3,  9.9,③③③, 1, 7, フォルテピアノ,---,小牧太,, 67,*  1,*  2, 1,  1.4,①①①, 1, 8,Ｇグレイシアブルｰ, 70,長谷川,, 80,  -6,* 21, 2,  5.5,⑬⑫⑨, 1, 6,Ａリンカｰン, 97,武豊  ,,100,*  5,* 30, 1,  1.7,⑤⑤⑤
 2, 5,Ａタニノベリｰニ, 52,武豊  , 0.4, 53,  -6,* -6, 1,  1.6,⑩⑨⑥, 2, 2, メイショウブルドｰ,---,武幸  , 0.3, 65,  -1,*  2, 2,  6.2,③③②, 2, 9,Ｃサイキョウワｰルド, 76,藤岡  , 0.0, 74,  -1,  13, 3,  6.2,③⑥⑥, 2,12,Ｌコイントス, 77,藤岡  , 0.1, 91,*  6,  24, 9, 42.5,②②②
 3, 4,Ｃキンショｰハヤテ, 45,長谷川, 0.4, 49,* -2, -16, 4, 11.7,①②①, 3, 1, ナリタジュｰン,---,松永  , 0.5, 63,  -4,*  3, 5, 16.0,⑦⑥③, 3,14,Ｊミスズブライト, 66,生野  , 0.1, 71,*  2,   7,11, 98.8,②②②, 3, 5,Ｃファストタテヤマ, 87,武幸  , 0.6, 88,   4,  24, 6, 20.1,⑧⑥⑥
 4, 2,Ｈビｰオブザバン, 39,秋山  , 0.5, 49,* -3, -13, 2,  3.8,③③④, 4, 5, トウケイアトラント,---,高橋亮, 1.3, 55,  -2,  -6, 4, 16.0,③③③, 4, 4,Ｌシンシアｰ, 64,上村  , 0.2, 73,  -1,  12, 4, 11.0,⑧⑧⑥, 4, 8,Ｋマｰブルチｰフ, 78,熊沢  , 0.8, 79,*  5,  16,11, 75.8,③④③
 5, 6,Ｋプレシャスピクセル, 26,松永  , 0.5, 52,  -8,* -3,12,293.4,⑫⑪⑧, 5, 6, トキメキパｰトナｰ,---,藤岡  , 2.0, 47,  -5, -11, 3,  6.8,⑤⑥⑤, 5, 2,Ｂセイシュンジダイ, 77,武豊  , 0.3, 83, -16,* 31, 1,  1.9,⑱⑱⑮, 5, 1,Ｂサクラセンチュリｰ, 90,佐藤哲, 0.8, 88,   4,  23, 2,  4.6,⑪⑨⑥
 6, 1,Ｆオｰシャンビュｰ, 42,鮫島良, 0.7, 44,  -9,  -9, 9, 80.5,⑨⑩⑧, 6, 9, コスミックパワｰ,---,秋山  , 2.6, 42,  -8, -11,12,151.7,⑨⑧⑧, 6,10,Ｎスズカエルムス, 64,田島裕, 0.3, 73,  -6,  17,12,100.9,⑨⑩⑪, 6, 2,Ｉビッグゴｰルド, 80,和田  , 1.0, 72,*  7,   7, 3,  7.8,①①①
 7, 8,Ｉテイエムオｰディン, 32,内田利, 0.9, 45,  -8,  -9, 5, 15.1,⑩⑪⑫, 7,12, イブキゴルゴ,---,本田  , 2.6, 42,  -3, -18,10, 68.6,⑥③⑤, 7,15,Ｅプリンセスルシｰタ, 75,鮫島良, 0.3, 67,*  0,   6, 7, 28.5,③③③, 7,11,Ｈダディｰズドリｰム, 81,高田  , 1.2, 76,   3,  18, 8, 23.3,⑧⑨⑩
 8,11,Ｌニシノセイバｰ, 23,田島裕, 1.1, 42,  -5, -18, 8, 78.8,⑦⑥⑧, 8, 4, ウィズインシｰズ,---,小坂  , 3.0, 38, -10, -13, 7, 45.1,⑨⑩⑨, 8, 3,Ｐライム, 49,本田  , 0.5, 67,*  1,   5,13,107.6,③③③, 8,10,Ｇマイソｰルサウンド, 83,本田  , 1.2, 75,*  7,   9, 5, 20.0,③③③
 9,12,Ｇミラクルゲッタｰ, 42,和田  , 1.2, 41,  -4, -21, 7, 55.3,⑥⑥⑥, 9, 3, クリオネビコｰ,---,鮫島良, 3.2, 33, -13, -15,11,126.9,⑪⑪⑩, 9,12,Ｍドリｰムゲッタｰ, 64,小林徹, 0.5, 65,*  5,   0,14,165.5,①①①, 9, 4,Ｊテンジンムサシ, 80,吉田豊, 1.2, 73,   3,  14,10, 73.7,⑥⑥⑥
10,10,Ｅウォｰタｰフロント, 42,吉田豊, 1.5, 37,* -1, -32,11,145.0,①①②,10, 8, チャｰムオペラ,---,和田  , 5.8, 11,* -1, -53, 8, 56.5,②②⑤,10,13,Ｑセレスクラブ, 40,和田  , 0.6, 66,  -1,   6, 9, 61.1,③⑥⑥,10, 3,Ｆサザンツイスタｰ, 83,小牧太, 1.3, 83,   1,  22,12,108.3,⑧⑪⑫
11, 3,Ｄジョプリンガｰル, 44,小牧太, 1.6, 34,* -4, -31, 6, 30.6,⑤③④,11,11, エイシンヴォｰン,---,熊沢  , 6.3,  3, -29, -21, 6, 33.6,⑫⑫⑫,11,17,Ｆエイシンインパｰル, 74,渡辺薫, 0.6, 67,  -4,   9, 6, 14.3,⑩⑧⑨,11, 9,Ｅチャクラ, 83,赤木  , 1.3, 79,   2,  19, 7, 22.3,⑫⑪⑩
12, 7,Ｊサンライズボンバｰ, 30,川田  , 1.8, 31,  -8, -27,10, 94.0,⑦⑧⑧,12,10, トｰホウデュｰク,---,川田  , 6.5,  2, -10, -50, 9, 62.4,⑧⑧⑪,12,16,Ａシアトルビュｰティ, 83,川田  , 0.7, 63,*  1,   1, 5, 13.7,⑦③③,12, 7,Ｄボｰンキング, 86,秋山  , 1.4, 73,   4,  12, 4, 14.1,⑦⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,13,11,Ｄストｰンブリッジ, 75,秋山  , 0.8, 64,  -6,   9,10, 83.3,⑪⑪⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,18,Ｈニホンピロラナ, 69,上野翔, 1.0, 60, -12,  11,15,199.8,⑭⑭⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｋレｰシングホステス, 65,高井  , 1.2, 55, -13,   9,16,204.3,⑭⑭⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 5,Ｏキｰツヨイ, 62,赤木  , 1.2, 64, -19,* 20,17,243.4,⑰⑰⑱,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 1,Ｉメイショウブンゴ, 67,武幸  , 1.5, 53,  -9,   3, 8, 29.7,⑪⑫⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 7,Ｒチェリッシュザラブ, 28,小牧太, 2.3, 44, -14,  -1,18,350.1,⑭⑯⑰,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:97 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-3),,,,,,,,,,,
単勝:990円 複勝:09=170円 05=110円 04=210円 枠連:560円,,,,,,,,,,,,単勝:140円 複勝:07=110円 02=150円 01=200円 枠連:440円,,,,,,,,,,,,"単勝:550円 複勝:08=190円 09=200円 14=1,750円 枠連:1,370円",,,,,,,,,,,,単勝:170円 複勝:06=120円 12=540円 05=380円 枠連:960円,,,,,,,,,,,
馬連:630円 ワイド:05-09=280円 04-09=830円 04-05=270円,,,,,,,,,,,,馬連:450円 ワイド:02-07=200円 01-07=360円 01-02=700円,,,,,,,,,,,,"馬連:1,360円 ワイド:08-09=470円 08-14=4,980円 09-14=6,470円",,,,,,,,,,,,"馬連:2,870円 ワイド:06-12=930円 05-06=650円 05-12=3,650円",,,,,,,,,,,
"馬単:2,030円 3連複:1,300円",,,,,,,,,,,,"馬単:610円 3連複:1,290円",,,,,,,,,,,,"馬単:2,570円 3連複:36,670円",,,,,,,,,,,,"馬単:3,380円 3連複:11,150円 3連単:45,740円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利 馬齢,,,,,,,,,,,,■ 6R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1400m 2 歳500万(牝) 馬齢,,,,,,,,,,,,■12R  ダ1800m 3歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,りんどう賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｍシルクヒュｰジ, 34,長谷川,, 67,*  7,  -6,12,164.0,①①①, 1, 8, オｰスミタキオン,---,和田  ,, 41, -42,* 15, 3,  3.8,⑥⑤⑤, 1, 8,Ｄクリノスペシャル, 57,上村  ,, 66,   5,* -1, 3,  8.4,⑧⑦⑦, 1, 2,Ｅウェルバランス, 71,小牧太,, 81,*  8,* 10, 1,  2.4,③③②
 2,14,Ａホエｰルシャｰク, 67,武豊  , 0.5, 60,   3,  -6, 1,  1.4,⑦④④, 2, 3, テンシノゴｰルド,---,小牧太, 0.0, 41, -42,* 15, 2,  3.4,⑧⑦⑦, 2,11,Ｅマルカアイチャン, 55,松永  , 0.0, 66,   6,  -3, 5, 10.7,⑥⑥⑥, 2, 1,Ｇエアワイクリフ, 68,武豊  , 0.6, 76,*  8,   2, 2,  3.8,①①①
 3, 7,Ｂシュンゴウ, 61,酒井学, 0.5, 61,*  4,  -7, 2,  6.2,②②③, 3, 2, アペリティフ,---,佐藤哲, 0.1, 35, -41,  12, 6, 54.5,④④③, 3, 3,Ｂユキノチャンプ, 59,須貝  , 0.2, 62,   2,* -1, 8, 29.5,⑩⑨⑨, 3, 3,Ｊワｰルドサンボｰイ, 65,石橋守, 0.9, 76,   7,   3, 8, 24.0,⑤⑥④
 4,11,Ｊメインステイ, 40,松永  , 0.7, 57,  -1,* -4, 6, 25.8,⑧⑥⑥, 4, 4, キャプテンベガ,---,武豊  , 0.2, 37, -43,  14, 1,  1.9,⑦⑦⑦, 4, 4,Ａコスモルビｰ, 66,武豊  , 0.2, 63,   1,*  1, 1,  1.9,⑧⑨⑨, 4, 7,Ｃインペリアルパワｰ, 74,橋本美, 0.9, 75,   7,   4, 6, 13.2,⑨⑥⑦
 5, 9, アンバｰレイク,---,内田浩, 0.8, 56,  -3,* -3,11,152.3,⑬⑪⑩, 5, 1, シロキタスピｰド,---,熊沢  , 0.5, 14,*-39,   1, 7, 86.8,①①①, 5, 5,Ｉプラチナロｰズ, 49,和田  , 0.3, 62,   7,  -9, 4,  8.7,⑤④③, 5, 5,Ｄメイショウエイシ, 72,飯田  , 1.1, 73,*  8,  -2, 3,  6.7,②②②
 6, 2,Ｄアグネスクｰル, 54,鮫島良, 1.0, 52,   2, -13, 3, 14.0,④④④, 6, 6, タニノバロン,---,松永  , 0.6, 16, -41,   4, 4,  9.2,③③③, 6, 2,Ｇエイシンラブリｰ, 54,赤木  , 0.5, 59,   8, -13, 6, 15.6,②④③, 6, 4,Ａノボリハウツｰ, 77,鮫島良, 1.6, 67,   4,  -3, 5,  9.7,⑦⑨⑦
 7, 6,Ｃヒシプラウド, 55,武幸  , 1.0, 56,*  5, -13, 4, 17.6,②②②, 7, 7, シゲルカイノセ,---,小原  , 0.7, 11,*-40,   0, 8, 95.1,④②②, 7,10,Ｈエイシンチャｰム, 50,秋山  , 0.7, 57,   9, -18, 9, 42.4,②③③, 7, 6,Ｆワンダｰホｰプ, 70,熊沢  , 1.7, 69,   6,  -2, 7, 23.7,⑦⑥⑦
 8, 5,Ｅメイショウハｰデス, 53,川田  , 1.0, 52,   0, -10, 5, 20.5,④⑥⑦, 8, 5, デンコウアカシ,---,安田  , 0.9, 13, -43,   3, 5, 52.7,①⑤⑤, 8, 9,Ｃフォｰナインミダス, 58,小牧太, 0.7, 57,* 10, -20, 7, 18.4,②②②, 8,10,Ｂジョｰアルデバラン, 74,上野翔, 1.8, 65,   6,  -7, 9, 40.7,⑤③④
 9, 3,Ｋマチカネピラミッド, 37,藤岡  , 1.1, 51,  -3,  -8, 7, 27.4,⑧⑩⑩,,,,,,,,,,,,, 9, 1,Ｆイサミサクラサクラ, 55,本田  , 1.0, 51,   5, -17, 2,  5.0,⑥⑦⑦, 9, 8,Ｈタマモゴｰアップ, 67,和田  , 2.0, 66,   7,  -7, 4,  8.3,③③⑥
10,10,Ｈシャンハイラック, 42,佐藤哲, 1.1, 51,  -8,* -1, 8, 29.2,⑫⑬⑬,,,,,,,,,,,,,10, 6, ロｰズストｰム,---,平瀬  , 1.1, 49,   0, -12,10,119.4,⑩⑪⑪,10, 9,Ｉバンブｰシンバ, 65,佐藤哲, 3.4, 56,   5, -16,10,112.6,⑨⑩⑩
11,15,Ｇヒカリユｰ, 42,渡辺薫, 1.4, 48,  -5,  -7,13,419.9,⑪⑪⑫,,,,,,,,,,,,,11, 7, モエレソシアル,---,内田利, 1.3, 48,* 10, -29,11,142.2,①①①,,,,,,,,,,,,
12, 8,Ｉメイショウザロｰド, 41,飯田  , 2.0, 43,  -1, -17,10,126.4,⑧⑥⑦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13, 4,Ｆヒロデリアル, 48,小坂  , 2.0, 44,   1, -19, 9, 34.6,④⑥⑦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,13,Ｌタカオバルク, 36,野元  , 2.4, 37, -10, -12,14,424.3,⑬⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12,Ｎアキノバイタル, 21,荻野  , 4.1, 19, -10, -29,15,610.8,⑬⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-28 ﾚｰｽｱｶﾞﾘ指数:+20 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-3),,,,,,,,,,,
"単勝:16,400円 複勝:01=1,940円 14=100円 07=150円 枠連:6,630円",,,,,,,,,,,,単勝:380円 複勝:08=150円 03=140円 02=520円 枠連:0円,,,,,,,,,,,,"単勝:840円 複勝:08=290円 11=350円 03=650円 枠連:1,590円",,,,,,,,,,,,単勝:240円 複勝:02=130円 01=150円 03=390円 枠連:390円,,,,,,,,,,,
"馬連:8,090円 ワイド:01-14=2,220円 01-07=5,770円 07-14=170円",,,,,,,,,,,,"馬連:470円 ワイド:03-08=170円 02-08=1,030円 02-03=940円",,,,,,,,,,,,"馬連:3,640円 ワイド:08-11=1,170円 03-08=3,270円 03-11=3,340円",,,,,,,,,,,,"馬連:390円 ワイド:01-02=200円 02-03=900円 01-03=1,230円",,,,,,,,,,,
"馬単:41,200円 3連複:10,480円",,,,,,,,,,,,"馬単:980円 3連複:3,060円",,,,,,,,,,,,"馬単:7,820円 3連複:31,660円 3連単:155,640円",,,,,,,,,,,,"馬単:710円 3連複:2,210円 3連単:7,030円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
