05年12月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年12月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(父) 馬齢,,,,,,,,,,,,■ 4R  芝1800m 2 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  芝1200m 2 歳500万(混) 馬齢,,,,,,,,,,,
 9, 5,Ｈコスモシャドウ, 30,江田照, 1.9, 37, -12, -12,10,125.7,⑧⑧⑧, 9, 8,Ｏパホｰマンスロｰド, 15,長谷川, 1.5, 49,  -7,  -5,13,224.8,⑩⑫⑪, 9, 4, スマｰトルｰチェ,---,吉田豊, 1.0, 23,*-27,  -1, 3, 11.5,②②②, 9, 7,Ｊオリオンザブレイブ, 52,小林淳, 0.8, 52, -13,   3,14,212.0,⑪⑫⑩
10, 9,Ｃプリンセスマッハ, 39,柴田未, 2.0, 33, -24,* -2, 7, 41.5,⑭⑬⑫,10,14,Ｌエアイｰリス, 19,小林淳, 2.1, 43,  -4, -19,14,297.5,⑥⑥⑥,10, 8, ジェイケイボストン,---,江田照, 1.0, 25, -29,   2, 8, 30.6,③③③,10,13,Ｉアリマエクセレント, 55,田中勝, 0.8, 51,  -8,  -1, 7, 15.2,⑦⑦⑦
11, 8,Ｄブルｰアジサイ, 39,小林淳, 2.0, 37,  -7, -18, 4, 27.9,⑤④④,11,10,Ｊガイアレインボｰ, 24,村田  , 2.4, 40,  -8, -15, 8, 80.2,⑬⑭⑭,11,10, メジログレイブス,---,長谷川, 1.2, 23, -35,   6, 5, 16.9,⑧⑨⑧,11,12,Ｋリンガスベガ, 52,柴田善, 0.8, 51, -11,   2, 8, 17.2,⑬⑩⑩
12, 2,Ｍジュンノホｰプ, -5,津村  , 2.1, 32, -17, -11,12,323.0,⑫⑪⑪,12, 2,Ｍシルクプレアデス, 18,丹内  , 2.6, 33,  -7, -24, 9,107.8,⑪⑨⑪,12,11, アドマイヤセナ,---,柴田善, 1.3, 22, -35,   7, 2,  3.8,⑩⑩⑫,12, 2, ジェルクルキバ,---,津村  , 1.0, 46,  -7,  -6,13,176.4,③④⑤
13, 7,Ｉゼネラルビスティｰ, 29,丹内  , 2.2, 30, -25,  -5,13,334.6,⑬⑬⑫,13, 9,Ｎエルファンタジヤ, 18,津村  , 2.7, 34, -12, -16,15,493.3,⑯⑯⑮,13,12, コスモオキシジェン,---,丹内  , 1.5, 14, -31,  -5,11,101.5,⑤⑤⑥,13,14,Ｃシルクラズベリｰ, 58,江田照, 1.3, 41,  -5, -12,11, 31.6,⑤④③
14, 6,Ｋアミフジツイスタｰ, 18,岩部  , 2.7, 27, -17, -15,14,595.8,⑩⑪⑫,14,13,Ｋリネンミリオネア, 19,江田照, 2.8, 34,  -9, -19,12,203.7,⑬⑭⑯,14,13, ヤマノラスベガス,---,石崎隆, 2.2, 10, -38,  -1,13,213.5,⑩⑬⑭,14,16,Ｈケイコアデｰジョ, 56,藤田  , 1.4, 42, -18,  -1,10, 29.4,⑯⑭⑬
,,,,,,,,,,,,15,16,Ｆエプソムフクムスメ, 52,デザｰ, 3.3, 26,* -1, -42, 7, 15.9,③③⑦,15,15, キョクイチヴィル,---,吉田隼, 3.3, -8, -47,  -9,15,244.9,⑮⑮⑮,15, 8,Ｌキラネリス, 50,丹内  , 1.4, 40, -12,  -7,12, 64.1,⑦⑩⑩
,,,,,,,,,,,,16, 3,Ｐサンマルセイコｰ, 14,吉田隼, 3.4, 25,  -8, -37,16,563.5,⑨⑨⑧,,,,,,,,,,,,,16, 9,Ｎビｰボｰン, 44,吉田豊, 1.8, 32, -15, -11,16,235.9,⑪⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+24 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-3),,,,,,,,,,,
"単勝:130円 複勝:11=110円 13=620円 01=1,520円 枠連:300円",,,,,,,,,,,,"単勝:610円 複勝:01=180円 12=150円 07=180円 枠連:1,200円",,,,,,,,,,,,"単勝:1,430円 複勝:07=520円 02=1,640円 09=730円 枠連:3,840円",,,,,,,,,,,,"単勝:1,260円 複勝:04=340円 05=200円 01=220円 枠連:1,250円",,,,,,,,,,,
"馬連:1,570円 ワイド:11-13=770円 01-11=1,810円 01-13=16,490円",,,,,,,,,,,,馬連:930円 ワイド:01-12=430円 01-07=600円 07-12=440円,,,,,,,,,,,,"馬連:41,720円 ワイド:02-07=9,120円 07-09=3,850円 02-09=10,610円",,,,,,,,,,,,"馬連:1,970円 ワイド:04-05=620円 01-04=830円 01-05=680円",,,,,,,,,,,
"馬単:1,870円 3連複:34,100円",,,,,,,,,,,,"馬単:2,660円 3連複:1,900円",,,,,,,,,,,,"馬単:83,920円 3連複:159,890円",,,,,,,,,,,,"馬単:4,360円 3連複:4,190円 3連単:24,450円",,,,,,,,,,,
■ 2R  ダ1200m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 5R  芝2880m 4歳上未勝利 定量,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万(混) 別定,,,,,,,,,,,,■11R  ダ1800m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,師走ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｇジャスミンフレイズ, 30,大野  ,, 53,* -1,  -9, 5,  8.0,①①①, 1, 7, ダンシンリボルバｰ,,金子光,,,,, 1,  1.9,③②①, 1, 6,Ｌリュウセイドラゴン, 57,柴田善,, 76,*  3,  11, 5, 15.2,①①①, 1, 3,Ａタイキエニグマ, 87,横山典,, 89,  10,  21, 1,  1.8,⑤③③
 2, 6,Ａアイアムマイネル, 39,横山典, 0.1, 52,  -5,* -4, 4,  7.7,⑥⑥⑤, 2, 5, レオスタｰライト,,浜野谷, 0.2,,,, 2,  3.4,⑥③③, 2,10,Ｂケイアイスカイ, 74,横山典, 0.0, 76,*  0,  13, 2,  3.6,②②②, 2, 7,Ｃベラｰジオ, 85,藤田  , 0.0, 91,  10,* 24, 2,  3.2,⑥⑥⑥
 3, 8,Ｂリネンパｰシャン, 39,江田照, 0.8, 45,  -4, -12, 3,  4.8,④⑤⑤, 3,13, ノアティアラ,,村山  , 0.8,,,,13,246.1,⑫⑧⑥, 3, 1,Ｃセイウンタイヨウ, 72,藤田  , 0.5, 71,  -4,  12, 3,  5.9,⑧⑧⑦, 3, 6,Ｇオｰガストバイオ, 80,田中勝, 1.5, 77,  11,   6, 4, 17.1,③③④
 4,15,Ｅショウナンバラｰド, 33,吉田豊, 0.8, 45,  -9,  -8, 2,  4.2,⑨⑩⑧, 4, 3, トｰセンデルマｰレ,,五十雄, 1.0,,,, 4, 10.4,⑤⑤⑤, 4, 8,Ｏシルキｰオメガ, 45,石崎隆, 1.1, 65, -14,* 16,11, 87.0,⑮⑮⑭, 4, 4,Ｆダイワバンディット, 80,北村宏, 1.6, 77,  15,  -4, 5, 18.4,②②②
 5,12,Ｎミネノグロｰリｰ, 11,吉田隼, 1.1, 39, -13,  -9,15,136.2,⑪⑪⑨, 5,14, トウキュウリンド,,植野  , 1.5,,,, 8, 30.1,②③③, 5,13,Ｍパレスドン, 54,江田照, 1.3, 62,  -4,   4,14,174.8,⑩⑧⑨, 5, 2,Ｂカイトヒルウインド, 87,デザｰ, 1.9, 78,* 19,  -8, 3,  5.0,①①①
 6,14,Ｆオｰセイコ, 31,丹内  , 1.2, 37, -19,* -4,13, 60.5,⑭⑭⑫, 6, 4, モエレタマモクロス,,矢原  , 2.0,,,, 3,  8.8,①①②, 6, 4,Ｆプレンティスピｰド, 66,鈴木慶, 1.4, 59, -22,* 18,13,150.9,⑯⑯⑮, 6, 5,Ｅシンメイレグルス, 81,長谷川, 2.0, 73,   8,   5, 6, 21.6,⑦⑦⑦
 7, 5,Ｏコスモプリムロｰズ,  5,田中勝, 1.2, 38, -16,  -5, 9, 41.7,⑫⑬⑫, 7,10, ニシノラヴ,,宇田  , 2.5,,,, 7, 25.2,⑪⑧⑨, 7,15,Ｈエドワｰズシチｰ, 63,小林淳, 1.5, 61, -12,  10,12,134.0,⑭⑬⑫, 7, 1,Ｄイサオヒｰト, 81,吉田豊, 2.3, 73,  11,   0, 7, 35.8,④③④
 8, 4,Ｃカネスキングオｰ, 37,柴田善, 1.2, 42,* -2, -17, 1,  4.0,④②②, 8, 6, イチバンタイソウシ,,宗像  , 2.7,,,, 6, 20.8,⑩⑩⑩, 8,12,Ａドリｰムスペクタｰ, 74,田中勝, 1.5, 62,  -1,   1, 1,  2.1,⑥⑤⑦,,,,,,,,,,,,
 9,13,Ｊプライドボｰイ, 28,津村  , 1.3, 36, -13, -11, 6, 10.1,⑩⑪⑫, 9, 2, ミラクルコジｰン,,柴田大, 3.7,,,,11,167.5,④⑥⑦, 9,16,Ｎボトムフィッシャｰ, 48,デザｰ, 1.6, 60,  -9,   6, 8, 36.4,⑫⑪⑩,,,,,,,,,,,,
10,11,Ｉケｰジｰオドリコ, 28,藤田  , 1.5, 38,  -7, -16, 8, 28.4,⑥⑦⑦,10,11, バトルウインロｰド,,穂苅  , 4.0,,,,10,123.9,⑧⑦⑦,10, 3,Ｊメジロタｰキッシュ, 60,吉田豊, 1.7, 59,  -2,  -1, 7, 32.7,⑧⑤④,,,,,,,,,,,,
11, 1,Ｍアイアイスピｰチ, 17,小林淳, 1.6, 38,* -2, -21, 7, 16.3,②②②,11, 1, ジャンドメｰル,,平沢健, 5.5,,,, 9, 76.4,⑥⑩⑪,11, 7,Ｉセイシンクルｰズ, 61,津村  , 1.8, 57,*  1,  -6, 6, 27.1,②②②,,,,,,,,,,,,
12, 7,Ｋペナントシチｰ, 26,石崎隆, 1.9, 28, -28,* -1,11, 51.7,⑮⑮⑮,12, 9, アルファイクオｰ,,鈴木慶, 7.1,,,,14,283.5,⑬⑫⑫,12, 9,Ｇブｰゲンビリア, 63,鈴来  , 1.9, 57,  -2,  -3, 9, 55.6,⑥⑤④,,,,,,,,,,,,
13, 9,Ｄジャネットロｰズ, 35,北村宏, 2.1, 30,  -8, -21,10, 50.4,⑥⑧⑩,13, 8, ハバナフォンテン,,田中亮,10.6,,,,12,239.4,⑭⑬⑬,13, 2,Ｅビュｰティフォｰム, 69,大庭  , 1.9, 56,  -4,  -1,10, 58.7,⑤⑧⑩,,,,,,,,,,,,
14, 3,Ｈシャインファイト, 29,田面木, 2.1, 34,* -1, -27,12, 54.1,②②②,,,,,,,,,,,,,14,14,Ｋマイネルロマネスク, 59,丹内  , 1.9, 56, -11,   4,15,516.6,⑬⑫⑫,,,,,,,,,,,,
15,10,Ｌディｰパｰブレイズ, 20,郷原  , 2.3, 28,  -8, -23,14,112.4,⑬⑧⑩,,,,,,,,,,,,,15, 5,Ｄロンジェ, 70,吉田隼, 2.0, 54,  -1,  -6, 4, 10.8,②④④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:0),,,,,,,,,,,
"単勝:800円 複勝:02=230円 06=250円 08=210円 枠連:2,690円",,,,,,,,,,,,"単勝:190円 複勝:07=110円 05=150円 13=2,310円 枠連:320円",,,,,,,,,,,,"単勝:1,520円 複勝:06=380円 10=160円 01=190円 枠連:1,090円",,,,,,,,,,,,単勝:180円 複勝:03=120円 07=150円 枠連:0円,,,,,,,,,,,
"馬連:2,720円 ワイド:02-06=930円 02-08=640円 06-08=710円",,,,,,,,,,,,"馬連:370円 ワイド:05-07=180円 07-13=4,400円 05-13=9,500円",,,,,,,,,,,,"馬連:3,570円 ワイド:06-10=1,230円 01-06=1,150円 01-10=400円",,,,,,,,,,,,馬連:280円 ワイド:03-07=160円 03-06=320円 06-07=460円,,,,,,,,,,,
"馬単:5,690円 3連複:4,280円",,,,,,,,,,,,"馬単:550円 3連複:20,660円",,,,,,,,,,,,"馬単:7,670円 3連複:5,350円",,,,,,,,,,,,"馬単:430円 3連複:870円 3連単:2,450円",,,,,,,,,,,
■ 3R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 6R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  ダ1200m 3歳上1000万(混) 別定,,,,,,,,,,,,■12R  芝2000m 3歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,幕張特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｃファインビンテｰジ, 51,デザｰ,, 71,* -4,* 13, 1,  1.5,③②②, 1, 1, サンワｰドピラｰ,---,デザｰ,, 64, -13,* 15, 3,  5.7,⑩⑩⑥, 1,12,Ｆリｰディングエッジ, 72,田中勝,, 80,*  4,  14, 5, 22.1,②②①, 1, 7,Ｇルｰベンスメモリｰ, 71,柴田善,, 69,* -2,  16, 3,  6.1,②②②
 2, 9,Ａメイルリヒト, 52,藤田  , 1.0, 57,  -7,   1, 2,  4.4,⑥⑤③, 2,10, ベルモントアｰサｰ,---,吉田隼, 0.7, 53, -14,   6, 8, 42.6,⑦⑨⑥, 2,13,Ａエイワショウグン, 82,デザｰ, 0.0, 79,*  3,  14, 3,  3.7,④③③, 2, 2,Ｅアイアムザチャンプ, 74,横山典, 0.2, 77,  -8,* 24, 4, 10.5,⑧⑧⑥
 3, 8,Ｅキングオブパンサｰ, 45,田中勝, 1.1, 54, -15,   7, 4, 16.7,⑩⑨⑨, 3, 8, セレスケイ,---,横山典, 1.0, 49,*-10,   1, 4,  6.4,⑥②③, 3, 8,Ｇショウグンエックス, 71,津村  , 0.7, 71,  -4,  13, 8, 62.9,⑨⑧⑥, 3, 3,Ａコンドルクエスト, 84,田中勝, 0.3, 71,  -6,  20, 1,  2.2,⑦⑦⑥
 4,15,Ｆベストオブワｰルド, 44,石崎隆, 1.1, 55, -20,* 12, 3,  7.5,⑬⑪⑩, 4, 4, カズノダンシング,---,大野  , 1.0, 49, -13,   2,11,176.4,⑧⑥⑥, 4, 7,Ｂアドマイヤベッカム, 81,横山典, 0.8, 70,   1,   8, 1,  1.9,③④④, 4, 5,Ｊマイネルモンシェリ, 60,江田照, 0.4, 65,  -3,  13, 9, 76.0,④③③
 5,12,Ｂウインディｰアロｰ, 52,小島一, 1.2, 49,* -6,  -7, 8, 34.5,①①①, 5, 7, ストロングザイオン,---,北村宏, 1.2, 48, -11,   1, 1,  3.0,④④④, 5, 5,Ｊニシノイワイザケ, 67,藤田  , 0.9, 72,  -8,  17,10,133.2,⑫⑩⑨, 5,10,Ｃマルタカハｰモニｰ, 75,丹内  , 0.4, 63,  -4,  12, 6, 18.2,③③③
 6,14,Ｉクリノジャンファン, 41,小林淳, 1.5, 49,* -6,  -8, 6, 31.9,③④③, 6, 6, カブキメｰク,---,田面木, 1.3, 47, -11,   0, 7, 17.2,④④④, 6,11,Ｅウセル, 73,石崎隆, 1.0, 71, -13,* 20, 7, 60.6,⑩⑬⑬, 6, 8,Ｄホシノプレゼント, 74,デザｰ, 0.4, 67,  -4,  16, 2,  2.9,⑤⑤⑤
 7, 6,Ｄセイカホルン, 46,鈴木慶, 1.6, 42, -13,  -7,12,149.2,⑦⑦⑦, 7, 9, ダノンスイショウ,---,藤田  , 1.4, 46,*-10,  -4, 2,  3.0,②②②, 7, 4,Ｉタマモハイテンポ, 68,伊藤直, 1.0, 71,  -9,  17, 6, 38.1,⑩⑪⑨, 7, 4,Ｂダンシングオン, 77,石崎隆, 0.5, 71,  -7,  21, 5, 14.1,⑨⑧⑨
 8,13,Ｍトｰセンバサラ, 21,江田照, 1.6, 46, -12,  -4,10,121.9,⑧⑦⑧, 8, 3, オｰドリｰロｰズ,---,柴田善, 2.0, 40, -12,  -6, 6, 14.5,⑨⑥⑨, 8, 9,Ｄマチカネバテレン, 73,丹内  , 1.2, 63,*  4,   0, 4, 22.0,①①②, 8, 1,Ｈトｰセンビｰイング, 64,木幡  , 0.5, 75,  -8,* 24,10,107.5,⑩⑩⑩
 9,11,Ｎケイアイサムライ, 13,木幡  , 1.7, 45, -27,*  9,15,430.0,⑮⑮⑮, 9, 2, ウダチャｰヒロイン,---,村田  , 2.6, 36,*-10, -15,10,111.7,①①①, 9, 1,Ｌコウジンアルス, 65,大野  , 1.2, 63,  -5,   7, 9,114.8,⑧⑧⑨, 9, 9,Ｆトウカイハッスル, 72,北村宏, 0.7, 59,  -5,  11, 7, 32.9,⑥⑤⑥
10,10,Ｇアルクラハ, 43,吉田豊, 1.7, 46, -22,   4, 9,101.0,⑭⑭⑫,10, 5, ストｰムシグナル,---,田中勝, 3.6, 31, -16, -12, 5, 14.3,⑪⑪⑩,10, 6,Ｋオジジアンボｰイ, 67,吉田隼, 1.3, 64, -13,  14,12,314.4,⑬⑫⑫,10, 6,Ｉシュフルｰル, 64,津村  , 1.3, 48,* -2,  -6, 8, 74.0,①①①
11, 5,Ｋコアレスソニック, 34,穂苅  , 1.9, 42,* -4, -16, 5, 28.0,②②③,11,11, ミヤビガノン,---,木幡  , 9.1,-19, -12, -73, 9, 64.8,③⑥⑪,11, 2,Ｃアントニオマグナム, 78,柴田善, 1.5, 61,   0,   3, 2,  3.5,④④⑤,,,,,,,,,,,,
12, 4,Ｌテアドｰロ, 29,柴田善, 1.9, 41, -19,  -2,11,145.3,⑪⑪⑫,,,,,,,,,,,,,12, 3,Ｈブランディｰグラス, 69,田中剛, 1.6, 61,   0,   2,13,393.7,④④⑥,,,,,,,,,,,,
13, 7,Ｏユｰワクロノス,  9,吉田隼, 2.2, 33, -21,  -9,14,245.0,⑪⑪⑫,,,,,,,,,,,,,13,10,Ｍノｰコメント, 58,吉永  , 1.9, 57,   0,  -1,11,239.8,④④⑥,,,,,,,,,,,,
14, 1,Ｊアトミックカフェ, 37,村田  , 2.7, 30,  -7, -25,13,173.5,③⑤③,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15, 3,Ｈスノｰウィンドウ, 42,丹内  , 2.7, 26, -17, -19, 7, 32.9,⑨⑨⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+22 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:82 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-3),,,,,,,,,,,
単勝:150円 複勝:02=110円 09=130円 08=230円 枠連:270円,,,,,,,,,,,,"単勝:570円 複勝:01=300円 10=1,070円 08=280円 枠連:6,240円",,,,,,,,,,,,"単勝:2,210円 複勝:12=530円 13=190円 08=960円 枠連:3,610円",,,,,,,,,,,,"単勝:610円 複勝:07=180円 02=220円 03=110円 枠連:1,130円",,,,,,,,,,,
馬連:360円 ワイド:02-09=190円 02-08=340円 08-09=580円,,,,,,,,,,,,"馬連:12,300円 ワイド:01-10=2,880円 01-08=850円 08-10=2,970円",,,,,,,,,,,,"馬連:3,280円 ワイド:12-13=1,070円 08-12=5,590円 08-13=1,840円",,,,,,,,,,,,"馬連:2,870円 ワイド:02-07=760円 03-07=250円 02-03=380円",,,,,,,,,,,
"馬単:480円 3連複:1,110円",,,,,,,,,,,,"馬単:19,920円 3連複:21,640円",,,,,,,,,,,,"馬単:8,380円 3連複:27,380円 3連単:204,660円",,,,,,,,,,,,"馬単:5,950円 3連複:1,720円 3連単:15,680円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
