05年12月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年12月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(抽) 馬齢,,,,,,,,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1600万(混) 別定,,,,,,,,,,,
 9, 4,Ｆヤマニンデクスタｰ, 37,武幸  , 2.7, 32, -16, -12, 7, 40.1,⑤⑥⑧, 9, 1, ルポルタｰジュ,,今村  , 4.5,,,, 2,  5.4,⑩⑪⑩, 9, 8, ダンスグランドゥ,---,荻野  , 1.0, 48, -14,   1,11, 67.0,⑬⑬⑬, 9, 8,Ｂゼンノストライカｰ, 84,角田  , 1.4, 76,  11,   1, 5, 17.3,⑦⑥⑩
,,,,,,,,,,,,10, 8, オｰゴンプリンス,,熊沢  , 6.4,,,, 4, 15.6,⑥⑤⑪,10,11, ユニゾンアタック,---,飯田  , 1.0, 47, -12,  -4,15,164.2,⑪⑫⑩,10,12,Ｎスズジャパン, 73,本田  , 1.4, 78,* 12,  -2,11, 88.2,⑦②②
,,,,,,,,,,,,11,13, ロッキｰワンダｰ,,金子光, 7.9,,,,11, 75.9,⑫⑫⑫,11, 5, デンコウマシｰン,---,芹沢  , 1.1, 43,  -8, -11,12, 92.5,③⑤⑥,11, 3,Ｋマンジュデンツルギ, 77,渡辺薫, 1.6, 75,   9,   2,13,139.7,⑭⑩⑫
,,,,,,,,,,,,12,14, ナイスグロｰリアス,,難波  , 9.8,,,,13,141.2,⑭⑬⑬,12, 6, ビッグロイヤル,---,川島信, 1.5, 40, -12, -11, 8, 33.1,⑧⑩⑩,12, 2,Ｌダンシングテン, 76,北沢  , 1.6, 76,   8,   5,16,468.6,⑩⑭⑮
,,,,,,,,,,,,13, 7, エフジｰストロング,,蓑島  ,15.0,,,,14,184.3,⑬⑭⑭,13,15, メイケイハンタｰ,---,本田  , 1.7, 35,* -7, -22,14,126.7,⑥②④,13,13,Ｃウェルバランス, 84,小牧太, 2.4, 69,* 12, -12, 3,  4.8,④②②
,,,,,,,,,,,,,,,,,,,,,,,,14, 7, デザｰトワｰルド,---,石橋守, 2.7, 22,* -5, -40,13,123.1,①①②,14,15,Ｇメイショウオキナ, 81,石橋守, 3.0, 64,   9, -13,14,146.2,⑫⑩⑫
,,,,,,,,,,,,,,,,,,,,,,,,15, 4, ヒシオｰシャン,---,藤岡  , 2.9, 18,* -6, -44, 7, 24.3,①②②,15, 5,Ｍラヴァｰズレｰン, 75,野元  , 3.2, 60,* 12, -18,15,234.2,③②⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 6,Ｐテイエムヒットベ, 68,熊沢  , 6.0, 39,   7, -37, 9, 54.5,⑤⑩⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:3),,,,,,,,,,,
単勝:130円 複勝:01=100円 07=170円 03=130円 枠連:560円,,,,,,,,,,,,"単勝:160円 複勝:09=100円 03=670円 05=720円 枠連:1,040円",,,,,,,,,,,,"単勝:940円 複勝:01=310円 12=350円 03=250円 枠連:2,040円",,,,,,,,,,,,単勝:200円 複勝:09=130円 11=240円 04=980円 枠連:750円,,,,,,,,,,,
馬連:580円 ワイド:01-07=250円 01-03=140円 03-07=530円,,,,,,,,,,,,"馬連:2,020円 ワイド:03-09=920円 05-09=1,250円 03-05=9,640円",,,,,,,,,,,,"馬連:7,030円 ワイド:01-12=1,910円 01-03=1,220円 03-12=1,420円",,,,,,,,,,,,"馬連:1,030円 ワイド:09-11=430円 04-09=2,360円 04-11=4,800円",,,,,,,,,,,
馬単:710円 3連複:700円,,,,,,,,,,,,"馬単:2,610円 3連複:18,680円",,,,,,,,,,,,"馬単:13,830円 3連複:16,390円",,,,,,,,,,,,"馬単:1,310円 3連複:20,830円 3連単:56,770円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 5R  芝2000m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(混) 別定,,,,,,,,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鳴尾記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｈセブンゴｰルデン, 38,野元  ,, 55,* -4,  -4, 5, 13.8,②②②, 1, 7,Ｅサンヴィクトワｰル, 55,安藤勝,, 69,  -2,*  5, 1,  2.2,⑪⑪②, 1, 2,Ｈアサクサソネット, 58,横山典,, 77,*  0,* 14, 7, 18.5,①①①, 1, 8,Ｉメジロマントル, 82,吉田豊,, 77,* 13,   0,10, 51.2,①①①
 2, 5,Ａビッグポパイ, 60,藤岡  , 0.1, 53,  -7,* -2, 1,  1.7,④⑤⑥, 2, 5,Ａトウショウシロッコ, 59,吉田豊, 0.9, 56,   0, -13, 2,  3.2,⑤⑤②, 2,11,Ａマルイチライデン, 69,幸    , 1.2, 69,  -1,   7, 4,  6.9,⑥⑥⑤, 2, 5,Ｈカンファｰベスト, 82,安藤勝, 0.4, 84,   7,  16, 7, 14.8,④④④
 3,10,Ｆタガノレオニｰド, 43,武幸  , 0.2, 54,  -7,* -2, 8, 57.0,⑦⑦⑥, 3, 2,Ｉテイエムセイラン, 31,小牧太, 1.2, 54,  -4,* -7, 3,  6.6,⑫⑫⑦, 3, 9,Ｄメイショウアズｰロ, 67,武幸  , 1.5, 67,  -5,   9, 5, 11.0,⑪⑩⑨, 3, 7,Ｂキョウワスプレンダ, 90,幸    , 0.4, 80,   3,  16, 5, 10.3,⑦⑤⑤
 4, 1,Ｃジェントルルｰラｰ, 52,幸    , 0.3, 53,* -3,  -9, 4, 12.0,①①①, 4, 6,Ｄトウカイワンダｰ, 55,熊沢  , 1.9, 42,  -1, -25, 4,  7.3,⑦⑦⑨, 4, 8,Ｂタマモコンチェルト, 68,小牧太, 1.5, 65,  -2,   4, 1,  2.6,⑦⑦⑦, 4, 1,Ｆトウカイトリック, 84,芹沢  , 0.4, 76,   7,   9, 4,  9.8,③③③
 5, 2,Ｂシベリアンスパｰズ, 53,本田  , 0.4, 52,  -5,  -7, 2,  4.0,③③③, 5, 1,Ｊタガノグロｰリｰ, 27,石橋守, 2.1, 43,*  1, -33,10,162.2,⑤⑤②, 5, 6,Ｇフジタカモニュマン, 58,野元  , 2.1, 61,  -1,  -3, 9, 55.1,④③③, 5, 6,Ｄアサカディフィｰト, 89,秋山  , 0.4, 95,   2,* 28, 6, 10.5,⑬⑬⑬
 6,12,Ｉブラックカイザｰ, 35,川島信, 0.9, 48,  -6, -11,10, 96.2,⑥⑤③, 6,10,Ｂサンレイキング, 58,渡辺薫, 2.1, 42,  -1, -28, 5,  9.4,⑨⑧⑦, 6, 7,Ｋアスカノエナリｰ, 54,石橋守, 2.7, 55,  -2,  -7,10,167.8,⑦⑦⑦, 6,11,Ｃコイントス, 89,横山典, 0.5, 87,   6,  19, 2,  3.9,⑥⑦⑤
 7,11,Ｄマイネルクｰゲル, 51,上野翔, 1.1, 42,  -9, -11, 6, 26.4,⑩⑨⑧, 7, 3,Ｆキンショｰハヤテ, 47,幸    , 2.9, 32,*  2, -46, 7, 40.7,③③②, 7, 1,Ｅサｰボライアン, 66,金折  , 2.7, 56,  -4,  -3, 8, 48.1,⑩⑩⑩, 7,13,Ａヤマニンシュクル, 93,小牧太, 0.8, 80,   4,  15, 3,  4.5,⑩⑩⑦
 8,14,Ｍシンメイシロフネ, 30,柴山  , 1.2, 44, -13,  -5, 9, 59.1,⑪⑬⑪, 8,12,Ｃトｰセンカｰニバル, 55,上野翔, 3.1, 28,  -3, -45, 6, 27.7,⑦⑧⑥, 8, 3,Ｆシュアリｰゴｰルド, 62,柴山  , 3.0, 53,*  0, -14, 2,  3.6,②②②, 8,12,Ｇワンモアチャッタｰ, 84,柴山  , 0.9, 81,   3,  17, 1,  3.5,⑪⑩⑩
 9, 7,Ｇマｰムリップス, 41,中村将, 1.3, 40, -12,  -9,11,114.6,⑪⑫⑪, 9, 4,Ｇミシックキョウト, 47,小坂  , 3.4, 25,*  5, -61,12,337.9,①①①, 9, 4,Ｊインデュライン, 56,渡辺薫, 3.5, 50,   0, -17, 6, 15.8,③③③, 9, 4,Ｌスムｰスバリトン, 78,藤岡  , 1.0, 71,   3,   9,11, 70.5,⑤⑤⑦
10, 4,Ｎケイエスヨシキ, 22,難波  , 1.8, 37,  -7, -17,13,445.4,⑦⑦⑨,10, 8,Ｈダイゴピリカ, 38,小原  , 4.4, 17,  -4, -55,11,216.0,⑩⑩⑩,10, 5,Ｃトウショウパワｰズ, 67,上野翔, 3.6, 45,  -3, -19, 3,  5.2,④③⑤,10, 3,Ｊダディｰズドリｰム, 80,本田  , 1.0, 76,   2,  13, 9, 32.0,⑫⑩⑦
11, 3,Ｋゴｰルドホｰラｰ, 32,飯田  , 1.8, 38, -11, -13,12,182.8,⑬⑪⑪,11,11,Ｌテイエムマイスタｰ,  4,本田  , 5.9, -4,  -1, -84, 8,107.7,③④⑩,11,10,Ｉディオラシス, 57,熊沢  , 5.4, 35,  -3, -29,11,179.7,⑦⑦⑪,11,10,Ｋエイシンチャンプ, 79,石橋守, 1.4, 70,   3,   7,12,102.8,⑧⑧⑩
12, 9,Ｅエイシンバイキング, 46,安藤勝, 2.1, 36,  -5, -23, 3,  8.5,④③③,12, 9,Ｋメイショウシオカゼ, 24,飯田  , 8.4,-32,*  1, ---, 9,157.6,②②⑩,,,,,,,,,,,,,12, 2,Ｍイケハヤブサ, 68,岩崎  , 1.5, 54,* 10, -22,13,236.9,②②②
13, 8,Ｊアイファｰドラゴン, 33,熊沢  , 2.1, 35, -10, -17, 7, 37.0,⑨⑨⑨,,,,,,,,,,,,,,,,,,,,,,,,,13, 9,Ｅボｰンキング, 85,武幸  , 1.7, 65,   2,   2, 8, 20.7,⑨⑧⑩
14,13,Ｌゲッティングゼアｰ, 31,村山  , 2.5, 31, -13, -17,14,574.8,⑬⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:3),,,,,,,,,,,
"単勝:1,380円 複勝:06=280円 05=110円 10=760円 枠連:950円",,,,,,,,,,,,単勝:220円 複勝:07=100円 05=130円 02=150円 枠連:260円,,,,,,,,,,,,"単勝:1,850円 複勝:02=570円 11=240円 09=260円 枠連:6,600円",,,,,,,,,,,,"単勝:5,120円 複勝:08=1,310円 05=440円 07=390円 枠連:7,420円",,,,,,,,,,,
"馬連:890円 ワイド:05-06=420円 06-10=6,190円 05-10=1,040円",,,,,,,,,,,,馬連:350円 ワイド:05-07=180円 02-07=230円 02-05=290円,,,,,,,,,,,,"馬連:5,750円 ワイド:02-11=1,710円 02-09=1,960円 09-11=790円",,,,,,,,,,,,"馬連:35,040円 ワイド:05-08=7,100円 07-08=7,050円 05-07=2,070円",,,,,,,,,,,
"馬単:2,720円 3連複:9,550円",,,,,,,,,,,,馬単:630円 3連複:680円,,,,,,,,,,,,"馬単:13,290円 3連複:11,700円",,,,,,,,,,,,"馬単:87,020円 3連複:113,070円 3連単:1,037,230円",,,,,,,,,,,
■ 3R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 6R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝1600m 3歳上1000万(混) 別定,,,,,,,,,,,,■12R  ダ1400m 3歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,摂津特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｇユメノオｰラ, 52,吉田豊,, 67,  -2,*  8, 4,  6.6,⑬⑫⑪, 1, 7, キクノアロｰ,---,小牧太,, 58,* -8,   2, 3,  4.7,②②②, 1, 2,Ｋブリトン, 70,武幸  ,, 78,   2,  15, 3,  8.1,②③④, 1, 8,Ａアティｰナラビット, 79,柴山  ,, 84,* 13,   6, 3,  4.5,①①①
 2,15,Ｊマイネルウェルス, 42,藤岡  , 0.2, 63,   0,*  2,12, 64.4,⑨⑨⑧, 2, 3, グリュｰエント,---,柴山  , 0.4, 54,* -6,  -4, 1,  2.5,①①①, 2, 9,Ｅサンレイフレｰル, 78,熊沢  , 0.1, 87,  -2,* 24, 9, 42.5,⑪⑪⑨, 2,10,Ｄトシザヘネシｰ, 75,本田  , 0.0, 85,* 13,   6, 2,  4.4,①②②
 3, 9,Ｅトッケンショウブ, 52,横山典, 0.6, 59,   8, -13, 5,  6.7,③③④, 3, 5, リドルストｰリｰ,---,横山典, 1.1, 47, -16,  -1, 4,  9.6,③⑥⑥, 3,11,Ｇフィレンツェ, 76,芹沢  , 0.2, 76,*  4,   9, 6, 12.6,③③②, 3,16,Ｊエイシンニュｰトン, 73,安藤勝, 0.1, 83,   9,* 10, 1,  4.1,⑥⑥⑤
 4,14,Ｎコンドルウイング, 29,柴山  , 0.7, 57,  -7,*  5, 6, 10.5,⑮⑯⑬, 4, 6, メイショウシャフト,---,武幸  , 1.3, 45, -32,* 12, 7, 30.1,⑪⑪⑩, 4, 3,Ｈミルフィオリ, 74,横山典, 0.4, 72,*  6,   6, 5, 11.1,④②②, 4, 9,Ｉヤマノサンデｰズ, 74,上野翔, 0.2, 81,  10,   6, 7, 20.4,⑤⑤③
 5,10,Ｂゼットクレヴァ, 56,熊沢  , 0.8, 57,* 11, -20, 1,  4.1,②②②, 5, 9, スリｰフォｰトラン,---,幸    , 1.4, 44, -12,  -7, 2,  3.0,③⑤⑤, 5, 5,Ａインマイアイズ, 90,藤岡  , 0.4, 76,  -1,  15, 1,  2.2,⑧⑧⑥, 5, 4,Ｅボｰドスウィｰパｰ, 75,秋山  , 0.3, 80,   7,* 11, 4,  4.9,⑨⑨⑩
 6, 6,Ｐデンコウミサイル, 20,川島信, 1.0, 51,  -5,  -2,17,268.4,⑬⑬⑬, 6, 4, ヒカリクロメｰト,---,渡辺薫, 1.7, 41, -20,  -3, 9, 66.3,⑨⑧⑧, 6, 4,Ｆウインディグニティ, 77,秋山  , 0.4, 75,  -1,  15, 7, 21.0,⑧⑧⑨, 6, 6,Ｏタマモガルチ, 68,藤岡  , 0.5, 79,   5,* 11,15,129.6,⑫⑪⑩
 7,12,Ｆエイシンコテング, 52,安藤勝, 1.0, 55,   9, -20, 8, 18.9,③③③, 7,10, マヤノカタナ,---,藤岡  , 1.8, 38, -18,  -7, 8, 31.9,⑦⑥⑦, 7, 6,Ｃワディラム, 82,安藤勝, 0.4, 74,   1,  12, 2,  3.8,④⑤④, 7,13,Ｇミッキｰシャｰマン, 75,荻野  , 0.8, 77,   7,   6, 8, 21.0,⑫⑪⑧
 8, 3,Ａシルバｰトレイン, 56,石橋守, 1.0, 54,   4, -14, 3,  5.8,⑥⑥⑥, 8,11, タマモアンバサダｰ,---,小原  , 1.8, 40, -10, -13,10,112.4,⑥③③, 8, 7,Ｉエムティｰダイオｰ, 73,飯田  , 0.4, 70,*  6,   3, 8, 30.8,①①①, 8, 7,Ｍアイノグレｰス, 70,幸    , 0.9, 74,   4,   8,11, 58.8,⑪⑪⑬
 9,13,Ｈメイショウダンケン, 48,渡辺薫, 1.0, 53,  -4,  -4,14, 70.1,⑮⑬⑫, 9, 8, ナムラカエデジョウ,---,秋山  , 1.9, 39,  -9, -15, 6, 25.3,⑤③③, 9, 1,Ｂスプリングダボス, 83,柴山  , 0.4, 72,   1,  12, 4,  9.8,④⑥⑨, 9, 5,Ｎハリｰコマンド, 70,芹沢  , 0.9, 74,   4,  10,13, 82.1,⑮⑪⑮
10, 8,Ｑクレスコワンダｰ,  7,秋山  , 1.0, 53,   1, -10,10, 58.2,⑩⑨⑧,10, 2, ワンダｰヘクタｰ,---,野元  , 2.6, 30, -31,  -2, 5, 17.6,⑩⑩⑪,10, 8,Ｊアクトナチュラリｰ, 72,小牧太, 0.4, 80,  -2,* 19,11, 56.0,⑪⑪⑫,10, 1,Ｂコレデイイノダ, 77,川島信, 0.9, 76,  10,   3,12, 61.4,⑥⑥⑧
11, 1,Ｍメイショウモリゾｰ, 34,武幸  , 1.1, 48,  -6,  -2,16,134.5,⑩⑬⑰,11, 1, ヒミノエリカ,---,小坂  , 3.0, 27, -20, -15,11,174.9,⑦⑧⑧,11,12,Ｌビッグファントム, 68,石橋守, 1.1, 63,   0,   3,12,170.7,⑦⑥⑥,11, 2,Ｈシｰクェンス, 74,飯田  , 1.1, 75,   4,   8, 9, 21.7,⑫⑮⑬
12, 5,Ｃクロズキン, 55,幸    , 1.1, 52,* 11, -25, 2,  5.3,①①①,,,,,,,,,,,,,12,10,Ｄマイネエストレヤ, 79,幸    , 1.2, 63,   0,   2,10, 43.9,⑧⑧⑥,12,15,Ｃリワｰドパットン, 76,小牧太, 1.1, 74,  11,  -2,10, 28.9,④③③
13, 7,Ｏグレｰトカイウン, 24,本田  , 1.2, 51,   4, -17,15,132.8,⑦⑥⑥,,,,,,,,,,,,,,,,,,,,,,,,,13,12,Ｋアクトウエル, 72,渡辺薫, 1.4, 70,   1,   7,14, 90.6,⑯⑯⑮
14, 2,Ｋスプリングピオリア, 40,小牧太, 1.2, 50,   8, -22,13, 67.2,③③④,,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｐキクノハヤテ, 67,岩崎  , 1.5, 70,   9,  -3,16,197.9,⑧⑥⑤
15,11,Ｄメイショウイゴッソ, 53,飯田  , 1.4, 48,   2, -17, 7, 17.3,⑩⑨⑧,,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｆケイエススプリング, 75,熊沢  , 2.0, 65,  11, -11, 6, 18.6,①③⑤
16, 4,Ｉロフティソル, 48,小坂  , 1.4, 42,  -4, -10,11, 59.4,⑦⑧⑮,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｌナリタチャンピオン, 71,石橋守, 2.4, 62,   9, -10, 5, 16.0,⑨⑨⑩
17,17,Ｌナムラクニヒメ, 35,芹沢  , 1.7, 42,  -5, -13, 9, 19.9,⑰⑯⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+14 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:82 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:2),,,,,,,,,,,
"単勝:660円 複勝:16=260円 15=1,560円 09=230円 枠連:3,920円",,,,,,,,,,,,単勝:470円 複勝:07=170円 03=130円 05=230円 枠連:550円,,,,,,,,,,,,"単勝:810円 複勝:02=300円 09=1,150円 11=450円 枠連:6,830円",,,,,,,,,,,,単勝:450円 複勝:08=180円 10=150円 16=160円 枠連:940円,,,,,,,,,,,
"馬連:29,840円 ワイド:15-16=6,410円 09-16=1,150円 09-15=7,430円",,,,,,,,,,,,馬連:660円 ワイド:03-07=270円 05-07=740円 03-05=330円,,,,,,,,,,,,"馬連:13,360円 ワイド:02-09=3,670円 02-11=1,810円 09-11=5,620円",,,,,,,,,,,,"馬連:1,160円 ワイド:08-10=380円 08-16=580円 10-16=360円",,,,,,,,,,,
"馬単:57,520円 3連複:80,650円",,,,,,,,,,,,"馬単:1,280円 3連複:2,120円",,,,,,,,,,,,"馬単:26,330円 3連複:57,420円 3連単:362,060円",,,,,,,,,,,,"馬単:2,510円 3連複:1,950円 3連単:11,250円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
