05年10月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年10月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 別定,,,,,,,,,,,,■10R  芝2000m 3歳上1000万(混) 別定,,,,,,,,,,,
 9, 1,Ｈカオリファイタｰ,  4,吉永  , 3.1, 26, -18, -13,10,264.0,⑨⑨⑨, 9, 5, ダイシンツウィギｰ,,沢    , 4.5,,,,13,176.3,⑧⑩⑩, 9, 8,Ｌセイウンココロザシ, 57,郷原  , 1.7, 53,  -7,   3, 8, 46.8,⑥⑧⑨, 9, 3,Ｆセイコｰアカデミｰ, 77,柴田善, 1.3, 53,  -9,  10, 5, 19.8,⑧⑧⑦
10, 5,Ｉリュウスパイク,  1,郷原  , 3.4, 21, -11, -24, 8,208.3,⑦⑤⑤,10, 4, タイキロックオン,,蓑島  , 4.6,,,,10, 37.3,⑧⑧⑨,10,14,Ｋマルブツロバリｰ, 57,勝浦  , 1.8, 52,  -7,   1,10, 60.6,⑧⑥⑦,10, 5,Ｋトウショウヴォイス,  8,田中勝, 1.6, 47, -10,   4, 9, 86.9,⑨⑧⑦
,,,,,,,,,,,,11,13, スピｰディｰボｰイ,,三浦  , 5.1,,,, 4, 10.8,⑪⑭⑭,11, 5,Ｅニシノアイビｰム, 65,松岡  , 1.9, 53, -10,   5, 6, 23.5,⑭⑬⑬,11,11,Ｊニシノセレッソ, 71,石神  , 1.8, 44,  -8,  -1,11,209.5,③④⑤
,,,,,,,,,,,,12, 7, ブルｰボヌｰル,,五十雄, 5.6,,,, 7, 28.9,②②③,12, 3,Ｏダｰジリンクロス, 51,小林淳, 1.9, 54, -10,   5,15,292.8,⑭⑮⑬,,,,,,,,,,,,
,,,,,,,,,,,,13, 6, ノアティアラ,,矢原  , 5.6,,,,12,171.3,⑬⑬⑬,13, 7,Ｎトラストブラック, 54,蛯名  , 2.3, 49, -10,   2,12,111.1,⑫⑬⑬,,,,,,,,,,,,
,,,,,,,,,,,,14, 3, アルファイクオｰ,,菊池憲, 8.5,,,,14,192.8,⑭⑫⑫,14, 6,Ｍシルクセレクト, 55,塚田  , 2.3, 45, -10,  -2,13,227.2,⑬⑪⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,10,Ｉユメロマン, 60,田中勝, 2.5, 46,  -9,  -3, 7, 43.8,⑪⑪⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+22 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:82 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-5),,,,,,,,,,,
"単勝:1,740円 複勝:09=140円 03=100円 04=420円 枠連:200円",,,,,,,,,,,,"単勝:230円 複勝:11=120円 01=250円 02=190円 枠連:1,080円",,,,,,,,,,,,"単勝:600円 複勝:15=170円 02=230円 11=260円 枠連:2,120円",,,,,,,,,,,,単勝:160円 複勝:07=110円 10=150円 02=440円 枠連:410円,,,,,,,,,,,
"馬連:350円 ワイド:03-09=160円 04-09=1,110円 03-04=470円",,,,,,,,,,,,"馬連:1,090円 ワイド:01-11=500円 02-11=350円 01-02=770円",,,,,,,,,,,,"馬連:2,230円 ワイド:02-15=750円 11-15=690円 02-11=980円",,,,,,,,,,,,"馬連:420円 ワイド:07-10=200円 02-07=610円 02-10=1,170円",,,,,,,,,,,
"馬単:1,760円 3連複:1,700円",,,,,,,,,,,,"馬単:1,800円 3連複:2,130円",,,,,,,,,,,,"馬単:4,390円 3連複:6,160円",,,,,,,,,,,,"馬単:600円 3連複:2,350円 3連単:5,570円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 5R  ダ1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 3歳上500万 別定,,,,,,,,,,,,■11R  ダ1600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,武蔵野ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂリネンヤクシン, 46,南田  ,, 43,*-25,   9, 6, 17.0,①①①, 1, 5, ゼンノスカイブルｰ,---,蛯名  ,, 45, -16,*  1, 3,  5.1,⑨⑧⑧, 1,16,Ｆドラゴンキャプテン, 65,武豊  ,, 70,*  4,   3, 2,  4.6,⑤④②, 1, 4,Ｉサンライズバッカス, 81,佐藤哲,, 92,  13,* 18, 2, 12.5,⑬⑩⑨
 2,10,Ｃムジルシ, 45,内田博, 0.2, 54, -31,* 19, 1,  2.6,⑩⑩⑨, 2, 2, スズカイｰグル,---,小野  , 0.0, 42,*-12,  -5, 7, 19.3,①①①, 2, 9,Ｍカズノブラック, 57,勝浦  , 0.1, 69,  -1,* 10, 9, 24.3,⑨⑩⑨, 2, 8,Ｆカネヒキリ, 83,武豊  , 0.3, 92,  13,* 20, 1,  1.3,⑮⑬⑬
 3, 5,Ｇゴｰファイトウィン, 37,柴田善, 0.2, 44, -26,  10, 2,  2.8,③③③, 3, 4, インベスタｰ,---,後藤浩, 0.0, 45, -16,*  1, 4,  6.2,⑩⑧⑧, 3, 8,Ｈカガヤケラビット, 62,柴田善, 0.1, 69,*  5,   1,11, 64.8,②①①, 3, 6,Ａヒシアトラス, 88,小野  , 0.4, 91,  18,  10, 7, 30.8,⑦⑤⑤
 4, 8,Ｊミヤコミラクル, 16,北村宏, 0.5, 42, -29,  11,10,120.7,⑦⑦⑥, 4,12, アルスヴィド,---,横山典, 0.1, 42, -15,  -2, 6, 11.3,③④⑥, 4,15,Ｉエイワンタッチ, 60,内田博, 0.3, 65,  -4,*  9, 4,  8.6,⑫⑫⑫, 4, 3, アジュディミツオｰ,---,内田博, 0.7, 90,  18,   8, 5, 19.1,⑦⑤⑤
 5, 3,Ｆプラナグリｰン, 38,小野  , 0.8, 30,*-25,  -1, 4,  8.1,①②②, 5, 9, ハイエンドクォｰツ,---,佐藤哲, 0.1, 48, -19,*  5,10, 42.8,⑭⑭⑬, 5,13,Ｅブルｰベレッタ, 66,田中剛, 0.4, 66,*  3,   0, 6, 15.2,⑧④③, 5, 1,Ｈハギノベルテンポ, 82,横山典, 1.5, 79,  10,  10,10,103.2,⑪⑬⑭
 6, 4,Ｈフレアリングクイン, 34,ペリエ, 0.9, 28, -27,   1, 5,  9.4,③③⑤, 6,14, アドリアシチｰ,---,吉田豊, 0.3, 42, -16,  -2,12, 93.8,⑫⑪⑧, 6, 7,Ｎクリスタルバッハ, 54,小野  , 0.4, 64,  -7,* 12,12, 71.1,⑯⑯⑯, 6,14,Ｅマイネルモルゲン, 84,柴田善, 1.5, 81,  16,   3, 6, 19.7,②⑤⑦
 7, 9,Ａレオリズム, 51,江田照, 0.9, 31, -30,   4, 3,  6.2,⑦⑦⑥, 7, 7, トウショウアラジン,---,伊藤直, 0.4, 39, -14,  -6, 9, 40.5,⑥④④, 7, 4,Ａユｰワインパルス, 69,後藤浩, 0.5, 64,   2,   1, 1,  3.2,④④⑥, 7,15,Ｄサイレントディｰル, 85,ペリエ, 1.6, 80,  15,   4, 4, 13.6,⑩⑧⑨
 8, 6,Ｉソニックオｰ, 32,吉永  , 1.1, 27, -29,   2, 8, 53.1,⑥⑤⑥, 8,10, マイネルコレドｰル,---,ペリエ, 0.4, 38, -15,  -5, 2,  4.8,⑥④⑥, 8, 2,Ｂイエロｰポケット, 68,大庭  , 0.5, 66,  -3,   8, 3,  5.5,⑫⑭⑫, 8,11,Ｍベラｰジオ, 76,勝浦  , 1.7, 78,  13,   3,13,483.8,⑨⑩⑪
 9, 7,Ｄリワｰドティアン, 43,蛯名  , 1.4, 21, -26,  -9, 7, 38.2,③⑤③, 9,11, メイショウルイｰズ,---,武豊  , 1.1, 30, -14, -15, 5,  9.7,③③③, 9, 1,Ｃシンボリツヨシ, 67,蛯名  , 0.5, 65,   3,   0,10, 25.7,①②③, 9,16,Ｊトップオブワｰルド, 80,松岡  , 1.8, 77,  13,   2,12,209.8,⑪⑩⑪
10, 1,Ｅセイントクリスタル, 40,松岡  , 1.5, 18, -34,  -1, 9,109.4,⑦⑦⑨,10, 6, ペナントシチｰ,---,勝浦  , 1.3, 29, -14, -15,13,121.5,⑤④④,10,14,Ｌマイフラッグ, 57,松岡  , 0.6, 64,   1,   2, 8, 18.7,⑨⑦⑦,10, 7,Ｇドンクｰル, 82,後藤浩, 2.1, 76,* 19, -10, 8, 45.4,④②②
,,,,,,,,,,,,11, 1, ジョｰリュウショウ,---,柴田善, 1.4, 31, -18,  -9, 1,  3.0,⑩⑬⑫,11, 6,Ｇエンゲルジｰク, 64,横山典, 0.9, 60,  -1,   1, 7, 15.4,⑤⑦⑧,11,13,Ｌカフェオリンポス, 78,四位  , 2.2, 78,* 20, -10,11,149.2,②②②
,,,,,,,,,,,,12,13, タイアルディｰ,---,松岡  , 2.9, 13, -17, -27, 8, 32.8,⑬⑪⑪,12,12,Ｄマイネルピエｰル, 66,ペリエ, 2.0, 50,  -3,  -7, 5,  9.3,⑫⑫⑫,12,12,Ｃトウショウギア, 86,田中勝, 2.6, 72,* 23, -22, 3, 13.4,①①①
,,,,,,,,,,,,13, 3, シルバｰホｰプ,---,田中勝, 3.1, 10, -19, -25,11, 87.7,⑥⑧⑬,13,10,Ｊミオラシオン, 58,吉田豊, 2.1, 50,  -3,  -9,14,133.5,⑨⑩⑨,13, 5,Ｎエドモンダンテス, 75,吉田豊, 2.7, 71,  10,  -2,14,499.1,⑬⑮⑭
,,,,,,,,,,,,14, 8, スプリングシャモニ,---,内田博, 5.0,-12,*-14, -54,14,170.8,①②②,14, 3,Ｏサンマルムテキ, 48,横山義, 2.8, 42,  -2, -17,15,314.5,⑤⑦⑨,14, 2,Ｋトシザボス, 79,北村宏, 2.8, 68,   9,   0,16,717.9,⑯⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｐアンドレアシェニエ, 47,鈴木慶, 2.9, 40,  -5, -17,16,379.9,⑮⑭⑫,15,10,Ｏクｰカイ, 75,小林淳, 2.9, 69,  15, -11,15,653.3,⑥⑧⑦
,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｋベニｰバニヤン, 58,江田照, 2.9, 43,   3, -24,13, 82.9,③③③,16, 9,Ｂサンライズキング, 87,蛯名  , 3.0, 68,* 19, -19, 9, 49.2,④②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,700円 複勝:02=290円 10=110円 05=110円 枠連:1,930円",,,,,,,,,,,,"単勝:510円 複勝:05=210円 02=440円 04=230円 枠連:4,050円",,,,,,,,,,,,"単勝:460円 複勝:16=210円 09=590円 08=2,260円 枠連:3,070円",,,,,,,,,,,,"単勝:1,250円 複勝:04=160円 08=110円 06=290円 枠連:260円",,,,,,,,,,,
"馬連:2,390円 ワイド:02-10=670円 02-05=720円 05-10=170円",,,,,,,,,,,,"馬連:3,480円 ワイド:02-05=1,290円 04-05=540円 02-04=1,610円",,,,,,,,,,,,"馬連:5,520円 ワイド:09-16=1,790円 08-16=4,980円 08-09=14,550円",,,,,,,,,,,,"馬連:420円 ワイド:04-08=190円 04-06=1,490円 06-08=510円",,,,,,,,,,,
"馬単:5,830円 3連複:1,830円",,,,,,,,,,,,"馬単:5,970円 3連複:6,960円",,,,,,,,,,,,"馬単:8,920円 3連複:103,350円",,,,,,,,,,,,"馬単:1,770円 3連複:2,010円 3連単:16,400円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 6R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  ダ1600m 3歳上1000万(牝) 別定,,,,,,,,,,,,■12R  芝1600m 3歳上500万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,河口湖特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａオンファイア, 48,北村宏,, 66, -17,* 18, 1,  1.2,⑧⑦⑦, 1,10, フォルタレｰザ,---,横山典,, 58, -36,* 26, 1,  1.6,⑥⑤⑥, 1, 6,Ｄキｰプザフェイス, 73,田中勝,, 69,* -5,  15, 3,  5.3,②②②, 1, 4,Ａオルフェｰオ, 77,ペリエ,, 78,  -6,* 21, 2,  4.4,⑩⑬⑮
 2, 7,Ｄレオヴァｰサス, 38,江田照, 0.5, 51, -15,   7, 5, 24.7,④④⑤, 2, 5, ダンスフォｰウィン,---,田中勝, 0.0, 54, -33,* 22, 4, 10.6,④③④, 2, 2,Ａセクシｰシュｰズ, 78,横山典, 0.1, 79, -11,* 25, 2,  4.3,⑯⑮⑮, 2, 9,Ｂワイメアキャニオン, 75,四位  , 0.2, 70,  -2,  12, 1,  2.2,⑩⑨⑨
 3, 2,Ｂシルクスタｰシップ, 47,武豊  , 0.8, 43, -15,   1, 2,  5.5,⑤⑤③, 3, 3, ダノンウイングス,---,ペリエ, 0.3, 50, -37,* 22, 3,  7.9,⑦⑦⑥, 3, 7,Ｃラヴァｰズナット, 73,ペリエ, 0.2, 74,  -9,* 21, 1,  4.1,⑫⑫⑭, 3,12,Ｈジョウノマイボｰイ, 67,内田博, 0.2, 66,*  2,   4, 6, 13.5,⑤②②
 4, 1,Ｆトｰホウダンサリン, 36,蛯名  , 1.0, 37,*-12,  -7, 4, 21.2,①②②, 4,11, プリキュアアズサ,---,勝浦  , 0.8, 38, -40,  17,11,156.5,⑦⑨⑧, 4,13,Ｉランタナ, 70,江田照, 0.3, 71,  -8,  18, 6, 12.5,⑭⑭⑩, 4, 2,Ｆダイワカｰメル, 68,勝浦  , 0.4, 64,  -1,   7, 7, 14.4,②⑤⑥
 5, 8,Ｇジャックカチドキ, 25,横山典, 1.0, 39, -15,  -2, 6, 32.0,①②③, 5,12, スリｰセブンスピン,---,内田博, 1.0, 26, -31,   4, 5, 13.9,②②②, 5,11,Ｅフロムアップランド, 72,柴田善, 0.3, 68,  -6,  15, 5,  9.9,⑥⑤⑤, 5,13,Ｊハイビスカス, 66,松岡  , 0.4, 61,* -1,   3,11, 61.1,③②③
 6, 6,Ｃコスモベリュｰムト, 44,後藤浩, 1.1, 34,*-11, -11, 3, 10.2,①①①, 6, 2, ミスタｰドトウ,---,後藤浩, 1.1, 26, -35,   7, 9, 74.8,⑤⑤⑤, 6,16,Ｇマダムチェロキｰ, 71,四位  , 0.5, 64,  -6,  12, 9, 22.8,⑥⑤⑤, 6, 8,Ｄエアコムロｰ, 73,後藤浩, 0.4, 68,  -5,* 13, 3,  9.5,⑭⑬⑬
 7, 4,Ｈケイジｰウィザｰド, 23,南田  , 1.1, 35, -18,  -2, 9,304.9,⑦⑦⑦, 7, 8, ストロングラムダ,---,北村宏, 1.2, 31, -42,  15, 6, 15.0,⑩⑩⑩, 7,14,Ｆコパノスピｰキング, 72,石神  , 0.6, 67,  -8,  17,12, 59.8,⑫⑫⑬, 7,10,Ｃロｰリｰポｰリｰ, 74,蛯名  , 0.5, 63,*  1,   1, 5, 12.2,⑤⑤③
 8, 5,Ｉグラスクロｰザｰ, -1,小林淳, 1.5, 33, -16,  -7, 8,221.8,⑧⑨⑦, 8, 7, ホｰリｰミスト,---,四位  , 1.3, 23, -41,  11, 7, 21.6,⑩⑩⑩, 8,10,Ｂカメリアロｰズ, 75,後藤浩, 0.7, 64,  -6,  13, 4,  7.7,⑪⑨⑧, 8,11,Ｇカイシュウコンドル, 68,佐藤哲, 0.5, 68,  -3,  11,14,119.7,⑭⑬⑩
 9, 9,Ｅマイネルマキシマム, 36,郷原  , 1.8, 28, -15, -13, 7,182.1,⑤⑤⑤, 9, 9, フジミネシャトル,---,江田照, 1.3, 21, -39,   8,12,196.0,⑦⑦⑧, 9,15,Ｈグリシｰナ, 71,蛯名  , 0.8, 60,* -5,   8,10, 37.0,④②②, 9,18,Ｌランスオブグリｰン, 61,横山典, 0.5, 67,  -2,  10,12, 67.0,⑩⑪⑩
,,,,,,,,,,,,10, 1, プライドボｰイ,---,伊藤直, 1.9,  9, -31, -10, 8, 74.4,③③②,10, 3,Ｋスプリングボｰド, 68,吉田豊, 1.0, 60,  -8,  12,13, 65.5,⑥⑨⑩,10, 1,Ｒミフジハナフブキ, 46,柴田大, 0.5, 65,  -5,  12,18,304.6,⑩⑪⑬
,,,,,,,,,,,,11,13, コスモフリュｰゲル,---,松岡  , 2.0,  0,*-20, -28,10, 88.6,①①①,11, 9,Ｌキッズスタｰ, 68,北村宏, 1.0, 65, -11,  17,11, 38.0,⑮⑮⑮,11, 3,Ｉマイネルバイファル, 67,郷原  , 0.8, 58,  -1,  -1, 8, 26.4,⑤⑦⑥
,,,,,,,,,,,,12, 4, スウィｰプオｰバｰ,---,石神  , 2.3,  8, -45,   2,13,296.0,⑫⑫⑫,12, 4,Ｍシルクチャプタｰ, 67,松岡  , 1.3, 53,  -7,   6, 8, 18.6,③⑤⑧,12, 5,Ｍキイボ, 60,北村宏, 0.9, 58,  -4,   4,13,115.1,⑤⑨⑩
,,,,,,,,,,,,13, 6, ピｰタｰキャット,---,柴田善, 2.8,  3, -54,   7, 2,  6.4,⑬⑬⑬,13, 5,Ｎマリアｰジュシチｰ, 65,小林淳, 1.4, 56,  -8,   8,15,143.9,⑥⑨⑩,13,16,Ｏフラップジャック, 58,小野  , 1.1, 58,  -9,   9,15,120.8,⑱⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,14, 1,Ｐリメインフォレスト, 59,郷原  , 1.5, 52,* -3,  -1,16,192.9,①①①,14,17,Ｑリュウセイドラゴン, 57,柴田善, 1.1, 50,*  3, -12,10, 54.5,③①①
,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｏピクシｰダスト, 62,武豊  , 1.5, 52,* -5,   1, 7, 13.3,④②②,15,15,Ｅコパノスイジン, 68,武豊  , 1.1, 54,  -1,  -5, 4,  9.9,⑨⑦⑥
,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｊスズカブルｰム, 70,小野  , 1.6, 51,  -7,   2,14, 75.0,⑥⑤⑤,16,14,Ｋイストワｰル, 64,田中勝, 1.5, 51,  -7,   0, 9, 46.7,⑰⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 6,Ｐラブリｰマスタｰ, 58,秋山  , 1.7, 42,*  0, -16,17,173.8,①②③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 7,Ｎハイヤｰザンヘブン, 60,宗像  , 1.9, 46, -10,  -2,16,127.3,⑯⑰⑰
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+27 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-5),,,,,,,,,,,
"単勝:120円 複勝:03=100円 07=260円 02=140円 枠連:1,010円",,,,,,,,,,,,単勝:160円 複勝:10=110円 05=220円 03=190円 枠連:750円,,,,,,,,,,,,"単勝:530円 複勝:06=180円 02=150円 07=140円 枠連:1,260円",,,,,,,,,,,,単勝:440円 複勝:04=170円 09=120円 12=300円 枠連:440円,,,,,,,,,,,
馬連:960円 ワイド:03-07=380円 02-03=140円 02-07=610円,,,,,,,,,,,,馬連:730円 ワイド:05-10=330円 03-10=320円 03-05=830円,,,,,,,,,,,,"馬連:1,340円 ワイド:02-06=430円 06-07=480円 02-07=300円",,,,,,,,,,,,"馬連:640円 ワイド:04-09=270円 04-12=1,160円 09-12=710円",,,,,,,,,,,
"馬単:1,130円 3連複:990円",,,,,,,,,,,,"馬単:920円 3連複:1,560円",,,,,,,,,,,,"馬単:2,790円 3連複:1,640円 3連単:8,890円",,,,,,,,,,,,"馬単:1,530円 3連複:2,690円 3連単:13,960円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
