05年12月18日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年12月18日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 2 歳500万(混) 馬齢,,,,,,,,,,,,■10R  芝1200m 3歳上1600万(混) 別定,,,,,,,,,,,
12,11,Ｅアポロガイア, 49,北村宏, 2.8, 31,  -1, -26, 4, 14.3,②⑤⑨,12, 9, メグリアイ,---,山口竜, 1.7, 31,  -4, -22,13,133.2,⑨⑧⑧,12,13,Ｈエイワナギ, 50,蛯名  , 6.6, 41,   6, -33, 3,  8.3,⑤④⑥,12, 4,Ｈトップパシコ, 77,高山太, 1.0, 73,* 13,  -2, 8, 14.9,①①①
13,15,Ｎカシノスピリット, 25,大野  , 3.0, 26,  -6, -26,15,647.4,⑪⑧⑪,13,11, トレンドシチｰ,---,木幡  , 1.8, 34,   6, -31, 8, 26.9,⑦⑦⑦,13, 3,Ｋロックアウト, 45,松岡  , 6.7, 39,   3, -29, 5, 26.9,⑩⑩⑭,13, 1,Ｍヘイセイピカイチ, 67,江田照, 1.1, 71,   5,   4,14,139.3,⑤⑤⑤
14, 7,Ｊナンヨｰノジョｰ, 35,勝浦  , 3.0, 29,  -9, -20, 9,113.3,⑪⑬⑭,14, 7, デルマヘルメス,---,長谷川, 1.8, 24, -18, -10,10, 77.0,⑭⑭⑯,14, 5,Ｉチェアマン, 47,木幡  , 7.1, 37,   2, -30, 9, 73.9,⑩⑫⑮,14,15,Ｎモエレフェニックス, 67,山口竜, 1.4, 65,   6,  -3,15,259.2,⑮⑤⑤
15, 4,Ｐユウタｰアクセス,  7,張田  , 3.3, 26, -11, -22,13,329.1,⑮⑭⑫,15,12, ハロｰマイラブ,---,松岡  , 2.2, 31,* 12, -41, 5, 15.5,③②③,15, 6,Ｄヒシカｰド, 59,吉田隼, 7.3, 31,   5, -41,16,233.6,④④⑨,15, 9,Ｊメジャｰカフェ, 75,吉永  , 1.5, 65,   7,  -3,13, 89.6,⑧⑤⑩
16, 6,Ｋグランドビｰスト, 30,二本柳, 5.5,  0, -21, -34,14,585.3,⑭⑮⑯,16,16, ハイジトウショウ,---,デザｰ, 3.2, 23,* 13, -52, 2,  3.5,③②③,16,11,Ｇスズカイｰグル, 51,丹内  , 7.7, 30,   1, -36,10, 94.2,⑥⑫⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+27 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:+17 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:1),,,,,,,,,,,
"単勝:130円 複勝:02=110円 10=1,320円 16=220円 枠連:3,110円",,,,,,,,,,,,"単勝:320円 複勝:03=180円 08=320円 13=680円 枠連:1,900円",,,,,,,,,,,,単勝:210円 複勝:09=110円 07=110円 14=180円 枠連:260円,,,,,,,,,,,,"単勝:860円 複勝:10=300円 07=380円 05=850円 枠連:1,890円",,,,,,,,,,,
"馬連:5,410円 ワイド:02-10=1,700円 02-16=320円 10-16=6,270円",,,,,,,,,,,,"馬連:1,940円 ワイド:03-08=660円 03-13=1,080円 08-13=3,420円",,,,,,,,,,,,馬連:260円 ワイド:07-09=130円 09-14=400円 07-14=310円,,,,,,,,,,,,"馬連:4,910円 ワイド:07-10=1,610円 05-10=3,300円 05-07=5,150円",,,,,,,,,,,
"馬単:6,620円 3連複:16,840円",,,,,,,,,,,,"馬単:3,080円 3連複:16,260円",,,,,,,,,,,,馬単:460円 3連複:670円,,,,,,,,,,,,"馬単:10,000円 3連複:38,000円 3連単:190,690円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 5R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万 別定,,,,,,,,,,,,■11R  芝1200m 2 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌｪｱﾘｰｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｌビコｰジェネラル, 25,デザｰ,, 57,  -4,*  0, 1,  2.9,⑫⑧⑦, 1, 2, ディバイドバイゼロ,,村山  ,,,,, 5, 10.2,①①①, 1, 6,Ｂアドマイヤドゴｰル, 68,蛯名  ,, 75,* 11,*  1, 1,  2.0,②②②, 1, 3,Ｄダイワパッション, 62,長谷川,, 74,  12,*  1, 6, 18.5,⑨⑥⑤
 2, 4,Ｋマチカネノワキ, 27,蛯名  , 0.1, 56,*  2, -12, 3,  5.1,②②②, 2, 7, スｰパｰヒｰロｰ,,三浦  , 0.3,,,, 2,  3.8,⑥③②, 2,14,Ｃイブキペガサス, 66,大野  , 0.7, 65,  -3,*  4, 5, 13.0,⑯⑬⑤, 2, 4,Ｍウエスタンビｰナス, 47,蛯名  , 0.0, 74,  15,  -2, 7, 20.8,②②②
 3,15,Ｇマイネルコレドｰル, 37,山口竜, 0.4, 53,   0, -10, 9, 27.9,⑦④④, 3,11, コウセイバクシン,,江田勇, 3.0,,,, 7, 25.2,②②②, 3, 8,Ｇバスタｰヒリュウ, 63,石神  , 1.0, 63,   2,   0, 8, 26.1,⑩⑨⑨, 3, 1,Ｏサザンビュｰティｰ, 43,田嶋翔, 0.2, 69,   5,*  4,10, 29.8,⑬⑫⑩
 4, 5,Ｂベルベットボクサｰ, 46,大野  , 0.4, 52,  -8,*  0, 7, 18.2,⑬⑪⑧, 4,10, スガノグラスワン,,柴田大, 3.2,,,,13,149.8,③④④, 4,12,Ｄプライベｰトエリア, 65,木幡  , 1.0, 63,   8,  -6, 4, 10.2,③④④, 4, 5,Ｇアルジェナｰ, 58,山口竜, 0.6, 62,  -3,*  6,15,152.8,⑮⑯⑫
 5, 3,Ｃマルタｰズグレｰド, 44,江田照, 0.4, 53,*  2, -15, 5, 11.2,①①①, 5, 6, ジャガｰ,,穂苅  , 4.2,,,,11,101.2,⑩⑧⑦, 5, 5,Ｆエグゼリｰナ, 63,デザｰ, 1.1, 58,   0,*  1, 3,  6.3,⑨⑫⑬, 5,11,Ｂコスモミｰル, 68,木幡  , 0.7, 62,  12,  -9, 2, 10.5,⑪⑥⑦
 6, 9,Ｅメジログリフィｰ, 44,柴田善, 0.8, 51,*  2, -18, 2,  3.9,③③②, 6,12, シルバｰデュｰク,,柴田未, 4.6,,,, 6, 19.5,⑩⑤⑤, 6,10,Ａユｰワインパルス, 71,松岡  , 1.2, 62,* 10, -10, 2,  4.2,③③③, 6, 6,Ｆタイセイハニｰ, 60,張田  , 0.8, 62,* 16, -15, 9, 24.9,②②⑤
 7, 6,Ａグランレｰヴ, 48,張田  , 2.1, 40,   0, -26, 4,  6.8,⑤④⑤, 7, 4, コスモベルモット,,仲田  , 5.0,,,,10, 35.6,⑫⑫⑪, 7, 2,Ｎタイキエンデバｰ, 53,江田照, 1.4, 61,* 11, -13, 6, 24.1,①①①, 7, 7,Ｉグリｰンジュエリｰ, 57,デザｰ, 1.0, 56,   4,  -6, 3, 11.1,⑬⑭⑭
 8, 8,Ｄロックリヴァｰ, 44,松岡  , 3.2, 30,   0, -38, 6, 14.6,③④⑥, 8, 3, ナリタブラック,,林    , 5.5,,,, 3,  4.8,⑤⑨⑧, 8,16,Ｉダイワモントレｰ, 62,北村宏, 1.7, 56,   5, -10, 9, 50.3,⑥⑤⑤, 8,13,Ａエイシンアモｰレ, 72,柴田善, 1.0, 60,* 16, -19, 1,  1.6,⑥②②
 9, 7,Ｍミウラフェニックス, 24,大庭  , 3.5, 31,  -6, -28,15,349.4,⑩⑪⑫, 9, 8, スピｰディｰボｰイ,,浜野谷, 5.9,,,, 4,  5.1,⑥⑤⑤, 9, 3,Ｊナンヨｰワルツ, 59,山口竜, 1.7, 52,  -4,  -2, 7, 25.0,⑬⑯⑯, 9,12,Ｅプラチナロｰズ, 62,武士沢, 1.1, 58,* 16, -20, 4, 12.5,②②②
10,10,Ｊトッチンコボ, 31,岩部  , 4.0, 27,  -3, -38,10,133.3,⑧⑧⑧,10, 9, オンワｰドハヤブサ,,矢原  , 6.5,,,,12,109.0,⑧⑩⑩,10, 4,Ｌタツシャンハイ, 55,張田  , 1.9, 51,  -2,  -5,14,270.6,⑬⑬⑭,10,10,Ｎゴｰファイトウィン, 44,吉田隼, 1.4, 49,   1,  -9, 8, 24.3,⑮⑮⑮
11, 2,Ｎタカサンドリｰム, 24,木幡  , 4.5, 23,  -7, -37,12,215.4,⑪⑪⑫,11,13, ハヤツキラｰク,,菊池憲, 8.9,,,,14,358.1,⑬⑬⑬,11, 9,Ｅラストパｰトナｰ, 65,和田  , 1.9, 53,   4, -11,11,150.6,③⑥⑤,11, 2,Ｊフサイチプルミエ, 49,勝浦  , 1.4, 52,  10, -19,14, 82.7,⑧⑩⑦
12,14,Ｏダブルエイト, 20,吉田隼, 4.6, 19,  -6, -43,13,238.1,⑧⑩⑩,12, 5, オイカゼ,,山本  , 9.2,,,, 9, 31.1,⑨⑪⑫,12,11,Ｐオトメザプリンセス, 48,池田  , 2.0, 51,   1,  -9,13,239.9,⑪⑨⑨,12,15,Ｃラプタル, 65,松岡  , 1.6, 52,* 20, -31,11, 43.6,①①①
13, 1,Ｉプレミアファｰスト, 34,小林淳, 4.9, 21,  -9, -36,11,159.6,⑮⑭⑭,13,14, ダイワサイレンス,,横山義, 9.3,,,, 1,  3.6,③⑦⑨,13, 7,Ｋスイｰトオカリナ, 57,西田  , 2.4, 47,   1, -13,12,222.1,⑪⑨⑨,13, 9,Ｈメジロアニマｰト, 57,北村宏, 1.9, 43,   7, -23,12, 56.7,⑨⑫⑫
14,11,Ｐムッシュデアマンテ,-11,和田  , 5.7, 14,  -9, -42,14,263.2,⑭⑭⑭,,,,,,,,,,,,,14,13,Ｍゴウカケンラン, 54,吉田隼, 2.4, 46,   2, -16,16,494.6,⑧⑦⑤,14,16,Ｌジラソｰレ, 48,小林淳, 2.5, 34,  10, -35,16,221.0,⑫⑩⑩
15,16,Ｆプリキュアアズサ, 42,北村宏, 6.2, 10,  -1, -63, 8, 23.9,⑤⑦⑩,,,,,,,,,,,,,15, 1,Ｏヨシブリザｰド, 50,丹内  , 2.5, 43,   2, -17,15,378.2,⑥⑦⑨,15, 8,Ｐパセティックゴｰル, 42,二本柳, 2.7, 30,  12, -40,13, 80.4,⑥⑥⑨
,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｈカゼノユクエ, 62,郷原  , 2.9, 41,  -1, -16,10,134.2,⑮⑬⑭,16,14,Ｋジョウノナンシｰ, 49,江田照, 3.0, 25,  13, -46, 5, 12.7,⑤⑥⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,
単勝:290円 複勝:12=150円 04=190円 15=570円 枠連:590円,,,,,,,,,,,,"単勝:1,020円 複勝:02=260円 07=140円 11=520円 枠連:610円",,,,,,,,,,,,単勝:200円 複勝:06=120円 14=250円 08=450円 枠連:850円,,,,,,,,,,,,"単勝:1,850円 複勝:03=440円 04=550円 01=760円 枠連:6,150円",,,,,,,,,,,
"馬連:900円 ワイド:04-12=350円 12-15=1,350円 04-15=2,140円",,,,,,,,,,,,"馬連:1,130円 ワイド:02-07=450円 02-11=1,620円 07-11=1,030円",,,,,,,,,,,,"馬連:1,130円 ワイド:06-14=510円 06-08=740円 08-14=1,690円",,,,,,,,,,,,"馬連:6,640円 ワイド:03-04=1,820円 01-03=2,830円 01-04=3,520円",,,,,,,,,,,
"馬単:1,520円 3連複:7,430円",,,,,,,,,,,,"馬単:2,490円 3連複:4,770円",,,,,,,,,,,,"馬単:1,450円 3連複:4,100円",,,,,,,,,,,,"馬単:13,810円 3連複:29,990円 3連単:167,960円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 6R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 9R  ダ1800m 3歳上1000万(混) 別定,,,,,,,,,,,,■12R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,香取特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂビュｰティｰパｰル, 58,吉田隼,, 63,* 10, -12, 5, 12.8,①①①, 1, 4, トップガンマリｰ,---,勝浦  ,, 49,* -4,  -9, 4,  7.3,①①①, 1, 2,Ｋグランドハリケｰン, 66,吉永  ,, 76,* 11,   0,13, 75.3,②②①, 1,11,Ｍミヤビキララ, 71,蛯名  ,, 83,   9,  14, 3,  6.9,⑥⑥⑥
 2, 7,Ｄヒカルルｰジュ, 55,蛯名  , 0.0, 67,*  9,  -6, 3,  4.0,③③③, 2,13, トｰセンウイスパｰ,---,柴田善, 0.0, 51, -11,*  3, 7, 23.0,⑦⑦⑧, 2,13,Ｈダブルブラザｰ, 69,小林淳, 0.0, 76,   8,*  6, 7, 17.4,⑪⑥⑤, 2,13,Ｅフェスティヴナイト, 75,長谷川, 0.1, 81,   7,* 15,10, 31.1,⑧⑧⑧
 3, 1,Ｃダノンウイングス, 57,デザｰ, 0.1, 66,   0,*  6, 2,  3.8,⑮⑮⑬, 3, 3, リリコスピント,---,北村宏, 0.1, 48,  -8,  -5, 2,  4.3,④③④, 3, 9,Ｎメジログリｰン, 63,張田  , 0.2, 77,   6,*  9,10, 41.3,⑭⑬⑨, 3, 5,Ｇキングエクスプレス, 74,勝浦  , 0.3, 79,   7,  12, 9, 20.8,⑨⑧⑧
 4,16,Ｅシャイニｰボｰイ, 50,江田照, 0.1, 66,*  9,  -7, 4,  8.6,③③②, 4,15, ニュｰイザナミ,---,木幡  , 0.2, 49, -12,   1,13, 89.2,⑩⑦⑥, 4, 8,Ｂウザンホマレオｰ, 76,江田照, 0.3, 73,   8,   3, 1,  2.7,⑧⑥⑦, 4, 1,Ｄスペシャルバッハ, 75,柴田善, 0.3, 78,* 13,   0, 7, 13.2,②②②
 5, 8,Ｋホｰリｰミスト, 25,丹内  , 0.1, 64,   1,*  2, 8, 29.0,⑭⑫⑨, 5, 7, トｰホウカウンタｰ,---,デザｰ, 0.6, 44, -16,   1, 1,  2.9,⑫⑪⑨, 5,15,Ｇシャｰベットトｰン, 70,菊沢徳, 0.3, 74,* 11,  -2, 3,  6.7,③②②, 5, 6,Ｃシルキｰステラ, 76,村田  , 0.4, 80,  10,   9, 2,  5.0,⑥⑥⑥
 6, 3,Ａサトノソニック, 59,北村宏, 0.2, 65,   7,  -6, 1,  2.8,⑥⑤⑤, 6, 2, リネンミラクル,---,二本柳, 0.6, 43,  -9,  -9,12, 88.7,⑤⑤④, 6,16,Ｌストｰムタイガｰ, 64,和田  , 0.4, 72,  10,  -1, 8, 19.8,③④④, 6, 7,Ｉトウキュウトップ, 73,丹内  , 0.4, 77,  10,   5,11, 38.2,③④④
 7,15,Ｉシルクスタｰシップ, 44,村田  , 0.9, 55,   6, -15, 9, 35.8,⑨⑨⑩, 7, 6, ドミナントジｰン,---,江田照, 0.7, 44, -20,*  7,10, 47.4,⑮⑮⑪, 7,10,Ｃマストビｰエンゼル, 75,丹内  , 0.5, 71,   6,   4,12, 57.2,⑪⑨⑨, 7, 9,Ｐシャドウゲイト, 64,菊沢徳, 0.5, 79,* 16,  -3, 1,  3.2,①①①
 8, 5,Ｇマックスイマｰジュ, 47,柴田善, 1.0, 55,   6, -17, 6, 20.7,⑧⑨⑧, 8, 5, ミヤギワンダｰ,---,小林淳, 0.7, 41,  -9, -11, 9, 46.6,⑤⑤⑥, 8, 6,Ｊフェスティブシャン, 66,村田  , 0.6, 74,   4,*  8,15,208.5,⑯⑮⑫, 8,14,Ｆウインプレジｰル, 75,二本柳, 0.5, 79,   4,* 18,13,108.0,⑭⑬⑬
 9,14,Ｈシンハルカジョウ, 44,吉永  , 1.1, 53,   5, -17,14,324.2,⑦⑨⑩, 9,16, ツリｰオブライフ,---,菊沢徳, 0.9, 39, -14,  -6, 5,  8.8,⑦⑨⑪, 9, 5,Ｅシベリアンライオン, 72,吉田隼, 0.9, 65,   6,  -2, 9, 24.9,⑧⑨⑨, 9, 8,Ｋキャッスルブラウン, 73,和田  , 0.5, 78,  11,   4,12, 50.5,⑤④④
10, 9,Ｍコスモストライプ, 19,郷原  , 1.4, 49,   3, -18,10, 79.2,⑫⑫⑬,10, 8, スプリングベルン,---,松岡  , 0.9, 38,  -8, -18, 3,  5.2,③③②,10, 4,Ａイガノガイ, 80,武士沢, 1.3, 66,   6,  -2, 5, 10.0,⑪⑫⑫,10,15,Ｊダイワセレクション, 73,木幡  , 0.6, 77,  13,   0, 6, 12.4,④③③
11,12,Ｆタキオンシチｰ, 49,松岡  , 1.5, 47,   7, -28, 7, 24.7,⑤⑤⑤,11,10, レッドラバｰボｰル,---,吉田隼, 1.0, 35, -20,  -2,11, 83.0,⑬⑬⑭,11,12,Ｆスパｰクルキャット, 71,北村宏, 1.6, 63,* 11, -15, 6, 16.1,①①②,11,12,Ｌレディｰシップ, 72,松岡  , 0.6, 79,   7,  13, 8, 13.5,⑩⑩⑪
12, 4,Ｌミヤコノヒマワリ, 20,木幡  , 1.6, 46,  -1, -14,16,633.8,⑯⑯⑯,12, 1, プレステｰジピット,---,張田  , 1.0, 38, -20,   1, 6, 16.1,⑬⑬⑭,12, 7,Ｏボナパルト, 59,木幡  , 2.0, 60,   8, -13, 4,  8.2,⑥⑥⑦,12, 4,Ａウェルシュステラ, 79,北村宏, 0.7, 77,   7,  11, 4,  7.7,⑫⑩⑪
13,13,Ｊブレイブストｰリｰ, 42,張田  , 2.2, 40,   7, -36,13,229.2,⑪⑤⑤,13, 9, トミケンソリッド,---,丹内  , 1.1, 33,* -7, -24, 8, 29.2,②②②,13, 3,Ｄカオリエスペランサ, 73,長谷川, 2.7, 53,   4, -14, 2,  4.9,⑧⑬⑯,13,16,Ｈストレッチランナｰ, 73,石神  , 0.7, 72,   2,  13,14,165.6,⑫⑬⑭
14,11,Ｏサｰストンアリコ, 12,勝浦  , 2.5, 35,* 10, -45,12,207.2,②②③,14,11, コｰヒｰルンバ,---,石神  , 1.1, 37, -13, -11,14, 92.7,⑨⑨⑨,14,14,Ｍカフェフロリデアン, 63,松岡  , 3.2, 53,   9, -26,11, 42.4,⑥⑤⑤,14, 2,Ｂピサノデュエル, 77,張田  , 0.9, 76,   2,* 20, 5, 11.2,⑮⑮⑮
15,10,Ｐブバルディア,  6,山口竜, 2.9, 29,   8, -48,11,190.3,⑨⑤⑩,15,12, コスモアテナ,---,山口竜, 1.4, 33, -16, -11,15,219.1,⑪⑪⑪,15,11,Ｉハクリュウタケフジ, 66,高山太, 3.3, 53,   5, -18,14, 91.0,⑭⑮⑮,15, 3,Ｏユメノジェネラス, 66,武士沢, 1.2, 68,   5,   1,16,241.3,⑪⑩⑧
16, 2,Ｎオリオンガｰネット, 15,長谷川, 2.9, 28,   2, -42,15,402.1,⑫⑫⑬,16,14, モントレルド,---,武士沢, 6.3,-26, -34, -55,16,331.3,⑯⑯⑯,16, 1,Ｐトップアサティス, 58,西田  , 3.4, 49,   7, -23,16,403.2,⑤⑨⑭,16,10,Ｎセイウンドリｰム, 69,山口竜, 2.1, 59,  -3,   5,15,234.6,⑮⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
