05年12月18日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年12月18日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万 別定,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
単勝:840円 複勝:03=240円 08=470円 07=160円 枠連:530円,,,,,,,,,,,,"単勝:260円 複勝:14=160円 04=360円 12=1,040円 枠連:1,800円",,,,,,,,,,,,"単勝:1,220円 複勝:11=430円 15=270円 04=170円 枠連:2,880円",,,,,,,,,,,,,,,,,,,,,,,
"馬連:8,020円 ワイド:03-08=1,730円 03-07=470円 07-08=700円",,,,,,,,,,,,"馬連:1,480円 ワイド:04-14=650円 12-14=1,930円 04-12=4,110円",,,,,,,,,,,,"馬連:7,910円 ワイド:11-15=3,090円 04-11=940円 04-15=1,090円",,,,,,,,,,,,,,,,,,,,,,,
"馬単:13,660円 3連複:4,980円",,,,,,,,,,,,"馬単:2,320円 3連複:19,060円",,,,,,,,,,,,"馬単:15,440円 3連複:10,640円",,,,,,,,,,,,,,,,,,,,,,,
■ 3R  ダ1700m 3歳上500万(牝) 別定,,,,,,,,,,,,■ 6R  ダ1700m 3歳上500万 別定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｇアッチッチ, 62,中舘  ,, 71,  -7,* 15, 2,  3.5,⑥⑦⑥, 1, 8,Ｂパｰプルイｰグル, 73,赤木  ,, 66,* -1,   8, 4,  7.9,③②②,,,,,,,,,,,,,,,,,,,,,,,,
 2,15,Ｅケリｰズナカヤマ, 65,津村  , 0.6, 57,* -6,   5,11, 48.8,⑤②②, 2,12,Ａダブルスポット, 75,ルメｰ, 0.0, 69,  -4,* 12, 1,  1.7,⑤④⑦,,,,,,,,,,,,,,,,,,,,,,,,
 3,14,Ａタケカワルキュｰレ, 73,池添  , 0.6, 59,* -5,   5, 1,  2.2,①①①, 3,14,Ｅプレザントレイク, 69,石橋脩, 0.4, 61,* -2,   5, 8, 28.9,⑦③③,,,,,,,,,,,,,,,,,,,,,,,,
 4,11,Ｍニシノジャンヌ, 50,田中勝, 0.7, 63,  -9,* 12, 9, 30.6,⑦⑧⑦, 4,13,Ｍパワｰラン, 57,池添  , 0.4, 68,  -6,* 13, 9, 35.5,⑪⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,
 5,13,Ｂテンジンノジョオｰ, 68,塚田  , 0.8, 55,  -8,   5, 3,  7.4,③④④, 5, 3,Ｈハスフェル, 60,小牧太, 0.5, 62,  -4,   7,10, 43.1,③④④,,,,,,,,,,,,,,,,,,,,,,,,
 6,10,Ｆポｰトメリヨン, 62,松田  , 1.0, 60, -10,  10,15,175.7,⑬⑩⑧, 6,16,Ｄヒカリフォレスト, 69,本田  , 0.6, 61,  -3,   5, 2,  6.2,⑦④④,,,,,,,,,,,,,,,,,,,,,,,,
 7, 5,Ｉキタノフラワｰ, 58,川田  , 1.0, 55,  -7,   4, 8, 29.1,③④④, 7, 1,Ｉラッキｰサフロン, 60,四位  , 0.7, 66,  -8,* 13,11, 55.1,⑭⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
