05年12月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年12月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  ダ1700m 3歳上500万(牝) 別定,,,,,,,,,,,,■ 7R  芝1800m 2 歳未勝利(牝) 馬齢,,,,,,,,,,,,■10R  ダ1700m 3歳上1000万(混) 別定,,,,,,,,,,,
 5, 7,Ｄハヤチマル, 72,丹内  , 0.2, 61,  -3,   3, 5, 10.7,⑦⑧⑦, 5, 3,Ｅサクセスキｰワｰド, 67,小林徹, 0.5, 59,*  2,  -3, 6, 14.8,①①①, 5, 7, モエロキアイダ,---,二本柳, 0.7, 39, -20,  -3, 7, 25.8,⑩⑩⑨, 5, 1,Ｆイットウリョウダン, 77,丹内  , 0.3, 74, -18,* 27,15, 65.7,⑫⑮⑮
 6, 5,Ｊヤマカツピレネｰ, 63,田嶋翔, 0.4, 62,  -3,   4, 6, 12.6,⑫⑪⑫, 6, 2,Ｌアタゴタイヨウ, 56,村田  , 0.5, 60,  -8,   4,13,153.3,③⑨⑦, 6, 2, スリｰキセキ,---,生野  , 0.9, 32, -25,  -4, 9, 31.3,⑫⑫⑫, 6,15,Ｍオｰヴェｰル, 74,武士沢, 0.4, 69, -10,  18,14, 43.3,⑪⑦⑦
 7, 1,Ｇピサノダイチ, 66,塚田  , 0.4, 58,  -4,   2, 4, 10.5,⑦⑧⑨, 7, 4,Ｃレジｰナガｰル, 72,川田  , 0.6, 59, -13,*  5, 3,  8.5,⑮⑭⑨, 7,11, メイショウドｰバｰ,---,安田  , 0.9, 35, -14, -12, 4,  9.0,⑥⑤④, 7, 3,Ｄボストンゴｰルド, 81,和田  , 0.4, 71, -12,  21, 5,  8.3,⑫⑩⑩
 8,14,Ｌシンメイガルダン, 59,川田  , 0.6, 58,  -2,  -2,12, 90.0,④④④, 8,12,Ｇドルフィンダンス, 64,田辺  , 0.7, 58,  -4,   0, 7, 25.6,③③③, 8, 3, ルンバラプソディ,---,和田  , 1.0, 32, -12, -16,12, 66.4,④③③, 8, 4,Ｇヤマニンパンテｰル, 76,津村  , 0.5, 68, -19,* 23,13, 37.0,⑧⑮⑮
 9,11,Ｃリュウゴｰルド, 73,津村  , 0.7, 57,  -3,  -1, 3,  8.6,⑩⑧⑨, 9, 6,Ｊダスティサマｰ, 61,赤木  , 0.8, 56,  -9,   2,10, 52.8,③⑪⑨, 9, 8, メディアスナイパｰ,---,小林徹, 1.1, 31, -17, -12, 2,  4.3,⑧⑦⑥, 9, 2,Ｎマチカネエテンラク, 73,松田  , 0.5, 71, -11,  21, 6, 10.2,⑧⑩⑩
10, 4, ニシノワカガシラ,---,北村浩, 0.9, 54,*  0,  -8, 9, 55.2,②②①,10,10,Ｍゴｰルドガンダム, 54,武幸  , 1.0, 52, -16,   4, 9, 46.0,⑬⑮⑮,10, 5, トｰセンブリリアン,---,津村  , 1.2, 31, -41,*  6,10, 35.5,⑭⑭⑭,10, 6,Ａタケショウレジｰナ, 88,大西  , 0.6, 70, -15,  22, 2,  6.3,⑯⑭⑩
11,10,Ｋタヤスワカシオ, 61,田辺  , 1.0, 55,*  0,  -7,10, 64.0,②②②,11, 1,Ｏサンエムワｰルド, 48,生野  , 1.1, 49,  -4,  -7,14,246.9,③③③,11,10, ツルマルダイキチ,---,川田  , 1.3, 25, -14, -19, 8, 30.5,④⑤⑥,11,11,Ｏトｰセンザオｰ, 73,古川吉, 0.7, 66,* -1,   9, 9, 20.1,②②②
12,12,Ｉトｰセンマリノス, 64,鈴来  , 1.1, 55,  -2,  -5,14,124.6,⑦⑦⑦,12, 7,Ｋキングオザｰ, 60,石橋脩, 1.4, 46,  -8,  -6,12, 58.6,③⑨⑨,12,13, イシノプラウド,---,丹内  , 1.4, 24, -26, -11,14,120.8,⑫⑫⑫,12,10,Ｉエｰティｰホｰオｰ, 76,田嶋翔, 0.7, 59,  -6,   8, 7, 11.4,②④⑤
13,16,Ｈビッグトワイニング, 65,佐藤聖, 1.4, 51,  -5,  -7,11, 88.6,⑪⑪⑨,13,14,Ｎトｰセンザサン, 54,高野和, 1.5, 43, -10,  -6,15,448.5,③⑪⑭,13, 9, グランドコガネ,---,鈴来  , 1.7, 19, -17, -22,15,148.4,⑦⑦⑨,13, 9,Ｐメイショウブンゴ, 71,飯田  , 0.8, 60, -14,  14,10, 26.1,⑩⑩⑩
14, 8,Ｎジュリアスアロｰ, 54,高野和, 1.4, 51,  -6,  -4,16,394.7,⑮⑯⑮,14, 8,Ｈウインレックス, 64,塚田  , 1.7, 40,  -4, -13, 5, 14.3,③③③,14, 4, ランドゼット,---,赤木  , 2.6,  7, -43, -11, 5,  9.8,⑭⑮⑮,14,14,Ｊエイグレット, 75,北村浩, 0.9, 59, -13,  13,11, 28.8,⑫⑩⑩
15, 3,Ｏスズカヘイロｰ, 53,服部剛, 1.6, 49,*  1, -14,13,112.9,①①③,15,15,Ｆサクラファロス, 67,和田  , 1.9, 40,  -5, -11, 8, 34.9,③⑦⑨,15, 6, エプソムファルコン,---,野元  , 2.7,  1, -12, -42,13, 75.5,②③④,15,13,Ｌサクラプログレス, 75,安田  , 1.1, 56, -11,   9,12, 33.9,⑫⑦⑦
16,15,Ｍタマモワラワラ, 59,大野  , 1.7, 48,  -6,  -8,15,281.0,⑯⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,16,12,Ｅゲンパチミラクル, 78,二本柳, 1.7, 39,* -3, -11,16, 67.1,②②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:82 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-5),,,,,,,,,,,
"単勝:310円 複勝:06=180円 13=340円 09=940円 枠連:1,220円",,,,,,,,,,,,単勝:740円 複勝:09=200円 13=110円 05=240円 枠連:340円,,,,,,,,,,,,単勝:430円 複勝:01=180円 14=160円 15=970円 枠連:570円,,,,,,,,,,,,"単勝:800円 複勝:08=230円 07=170円 05=230円 枠連:2,370円",,,,,,,,,,,
"馬連:1,850円 ワイド:06-13=940円 06-09=2,000円 09-13=5,090円",,,,,,,,,,,,"馬連:560円 ワイド:09-13=250円 05-09=1,030円 05-13=250円",,,,,,,,,,,,"馬連:660円 ワイド:01-14=330円 01-15=2,910円 14-15=1,690円",,,,,,,,,,,,"馬連:2,290円 ワイド:07-08=800円 05-08=890円 05-07=800円",,,,,,,,,,,
"馬単:2,960円 3連複:17,420円",,,,,,,,,,,,"馬単:1,480円 3連複:2,050円",,,,,,,,,,,,"馬単:1,420円 3連複:6,860円",,,,,,,,,,,,"馬単:4,730円 3連複:5,170円 3連単:33,430円",,,,,,,,,,,
■ 3R  ダ1700m 3歳上500万(牝) 別定,,,,,,,,,,,,■ 6R  ダ1700m 3歳上500万 別定,,,,,,,,,,,,■ 9R  芝1200m 3歳上500万 別定,,,,,,,,,,,,■12R  芝1800m 3歳上500万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,尾張特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｊレディサクシｰド, 61,塚田  ,, 62,*-19,  18, 7, 35.2,③③③, 1,12,Ｂタガノコマンダｰ, 71,飯田  ,, 70,  -2,* 10, 2,  3.4,⑥⑥⑦, 1, 5,Ｈフレッチアドｰロ, 66,丹内  ,, 62,* -8,  10,11, 50.2,①②②, 1, 6,Ｅフェイトトリックス, 70,松田  ,, 78, -10,* 26, 1,  3.0,⑥⑤⑤
 2,10,Ｂモリトヴィｰナス, 67,村田  , 0.2, 62, -19,  19, 4,  5.9,③⑤③, 2, 2,Ｃイエス, 71,和田  , 0.1, 71,  -2,* 12, 3,  6.2,⑨⑧⑨, 2,13,Ｂスパイシｰクラウン, 71,鮫島良, 0.1, 63, -12,  14, 1,  1.6,③③③, 2,12,Ｉマドモアゼルドパリ, 66,大西  , 0.2, 67,* -7,  16, 8, 25.4,②②②
 3, 6,Ｃアルファｰワン, 67,二本柳, 0.2, 65, -20,* 21, 2,  3.8,⑤⑥⑤, 3,15,Ａトｰセンディバイン, 71,柴山  , 0.1, 68,* -1,   7, 1,  2.8,③③③, 3, 8,Ｅプリンセスゴｰルド, 68,赤木  , 0.1, 64, -10,  13, 8, 24.4,⑥③③, 3,14,Ｈサクラランサｰ, 66,武幸  , 0.4, 64,* -7,  15, 2,  4.4,④③③
 4,11,Ｈニシノイエロｰ, 62,小林徹, 0.4, 68, -23,* 25, 6, 19.4,⑪⑬⑬, 4,10,Ｍシルクデュｰク, 60,田島裕, 0.1, 66,*  0,   5,10, 36.8,②②②, 4, 2,Ｆシルクヴェルリッツ, 66,生野  , 0.1, 67, -24,* 24, 2,  8.9,⑭⑫⑩, 4, 1,Ａサイレンスゴｰルド, 78,赤木  , 0.5, 64,  -9,  16, 4,  7.1,④⑤⑤
 5,16,Ｉロｰズカクテル, 61,赤木  , 0.5, 50,*-16,  13, 1,  3.4,①①②, 5, 7,Ｇフミノブルｰスカイ, 65,北村浩, 0.2, 65,* -1,   6, 9, 36.5,④③③, 5, 4,Ａシシャモムスメ, 72,武士沢, 0.2, 65, -14,  17, 3, 10.0,⑧⑥⑥, 5, 3,Ｄロｰドスフィｰダ, 72,武士沢, 0.7, 57,* -7,  10, 6, 14.3,②③③
 6,13,Ｇチャｰミングノア, 62,高井  , 0.6, 53, -21,  15, 9, 37.8,⑧⑥⑧, 6, 4,Ｅキングオブウィナｰ, 70,津村  , 0.3, 63,*  0,   2, 5,  9.9,①①①, 6,10,Ｄカイシュウムサシ, 70,柴山  , 0.3, 61, -14,  15, 4, 12.0,⑦⑥⑥, 6,15,Ｌライクシモｰヌ, 65,津村  , 0.9, 61, -12,  16,13, 97.7,⑧⑧⑧
 7, 8,Ｍツルミベレイザ, 55,和田  , 1.0, 47, -19,  12,13, 67.3,⑤⑥⑤, 7,16,Ｋイソノサクセス, 61,川田  , 0.5, 64,  -2,   5,12,101.6,⑧⑥③, 7, 6,Ｋハイビスカス, 64,菊沢徳, 0.4, 62, -19,  18, 6, 17.9,⑧⑩⑧, 7,13,Ｂフレアリングベスト, 75,田辺  , 0.9, 71, -17,* 26, 3,  5.7,⑭⑬⑪
 8, 5,Ｌチャッティｰギャル, 59,柴山  , 1.0, 49, -20,  14, 5, 11.1,⑪⑨⑧, 8, 6,Ｊウリエル, 62,古川吉, 0.8, 62,  -3,   4, 8, 33.3,⑫⑧⑦, 8, 7,Ｇオｰシャンシチｰ, 66,大西  , 0.4, 66, -26,* 26, 7, 20.3,⑮⑮⑮, 8, 8,Ｎコアレスウィｰク, 58,和田  , 0.9, 52,* -5,   3,14,105.5,①①①
 9, 7,Ｄリンガフランカ, 66,長谷川, 1.2, 46, -22,  14, 3,  4.8,⑧⑪⑩, 9, 8,Ｉソリッドラヴ, 62,赤木  , 1.6, 54,  -3,  -4,13,160.1,⑥⑧⑨, 9,12,Ｊヴォｰクリンデ, 64,武幸  , 0.5, 59, -19,  16, 9, 40.7,⑧⑩⑩, 9, 9,Ｋホッカイショコラ, 65,鹿戸  , 1.0, 62, -14,  18,11, 49.7,⑩⑩⑧
10, 2,Ｏビコｰグレイス, 49,佐藤聖, 1.3, 48, -24,  14,15, 79.0,⑭⑬⑬,10, 3,Ｄパントマイミスト, 70,武幸  , 1.8, 53,*  0,  -9, 4,  7.5,④③③,10, 1,Ｍフェスティブスカイ, 60,酒井学, 0.5, 56,* -2,   2,16,172.6,①①①,10, 4,Ｆレディマｰメイド, 67,内田浩, 1.0, 62, -14,  18, 5, 10.8,⑩⑩⑪
11,12,Ｆテンザントップ, 62,伊藤直, 1.4, 44, -22,  12,14, 69.0,⑧⑪⑩,11, 9,Ｏメジロベッカム, 58,菊沢徳, 1.9, 55,  -6,   0,11, 93.6,⑮⑭⑬,11, 3,Ｐニホンピロザプラウ, 57,北村浩, 0.6, 52, -17,  10,10, 45.2,⑧⑨⑩,11, 2,Ｏフサイチミラクル, 56,鮫島良, 1.3, 52, -12,  10,12, 55.5,⑧⑧⑧
12, 3,Ａマイネヴィｰナス, 70,丹内  , 1.5, 40, -21,   9, 8, 36.0,⑬⑨⑩,12,14,Ｈウォｰタｰゼットン, 64,中村将, 2.2, 47,  -6,  -8,15,354.9,⑫⑪⑪,12,15,Ｏコスモスパｰブ, 59,西田  , 0.8, 53, -22,  15,15,103.2,⑧⑫⑬,12,11,Ｇサクラスティリｰ, 66,柴山  , 1.5, 52, -15,  13, 9, 30.8,⑫⑫⑬
12,14,Ｋパｰクリｰアケコ, 59,野元  , 1.5, 39,*-17,   2,11, 58.6,①②①,13,13,Ｆマイネルソユｰズ, 67,大西  , 2.5, 47,  -5,  -8, 6, 19.2,⑫⑪⑬,13, 9,Ｎアグネスリュウ, 59,二本柳, 0.9, 50, -21,  12,13, 78.5,⑬⑫⑬,13, 5,Ｃヤマニンスプラウト, 73,丹内  , 1.7, 49, -16,  12, 7, 21.7,⑬⑬⑮
14, 1,Ｎゴｰルドバニヤン, 53,石橋脩, 1.7, 47, -25,  15,10, 47.9,⑭⑮⑮,14,11,Ｌテイエムハヤブサ, 61,内田浩, 2.6, 47,  -6,  -8, 7, 27.0,⑪⑭⑬,14,11,Ｉコックニｰ, 64,田辺  , 1.1, 45, -10,   0,14,101.6,③③⑤,14, 7,Ｐエステヴァン, 50,安田  , 1.7, 51, -17,  13,10, 43.6,⑭⑬⑬
15, 9,Ｐマスカレｰド, 41,西田  , 1.8, 37,*-17,   2,16,525.2,⑤③⑤,15, 1,Ｐマイネルスピニッチ, 50,大庭  , 2.6, 46,  -5,  -9,14,209.8,⑨⑪⑪,15,14,Ｃテイエムジャンヌ, 71,田嶋翔, 1.2, 42, -14,   1, 5, 13.7,③⑥⑧,15,10,Ｍワｰドレスギフト, 65,二本柳, 1.8, 55, -20,  18,16,269.7,⑯⑯⑮
