14年 9月 7日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 9月 7日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:17,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
 9, 9,Ｉチャｰミングマオ, 49,阪野学, 1.9, 44, -12, -12,10, 73.8,⑫⑩⑨, 9,13,Ｅトウカイリｰブル, 65,三浦皇, 2.2, 55,   5, -13, 6, 15.6,⑬⑫⑪, 9, 4,Ｊシュウギン, 68,柴山雄, 0.7, 67,   0,   1,12, 33.0, ⑮⑭, 9,11,Ｂリタｰンストロｰク, 63,吉田隼, 1.1, 54,   6, -17, 6, 17.0, ⑥⑩
10, 1,Ｆマイネルアルマｰス, 52,丹内祐, 1.9, 44, -13, -12, 8, 48.0,⑧⑨⑧,10, 6,Ｉショｰファイア, 62,城戸義, 2.4, 56,   7, -21, 8, 21.4,③③⑨,10,15,Ａスマｰトレパｰド, 72,福永祐, 0.8, 66,   2,  -3, 1,  3.2, ⑫⑮,10, 2, ウｰルｰズ,---,井上俊, 1.4, 50,  -4, -10,15,252.6, ⑭⑭
11, 7,Ｎテイケイネクサス, 34,田中博, 2.1, 43, -16, -10,14,293.8,⑭⑬⑬,11, 7,Ｆマコトヴォカシオン, 64,福永祐, 2.5, 53,   8, -21, 3,  5.8,④④⑤,11,11,Ｆホオポノポノ, 69,城戸義, 0.8, 67,   3,  -4,11, 30.1, ⑥⑥,11, 7,Ｊイズモ, 44,福永祐, 1.5, 48,  -4, -12, 3,  8.6, ⑮⑬
12,12,Ｋケルソン, 40,水口優, 2.1, 42, -15, -11,13,232.5,⑩⑭⑭,12,10,Ｍフェンガリ, 45,荻野琢, 3.2, 49,   4, -21,13,448.9,⑪⑬⑬,12,10,Ｉユキノラムセス, 68,池添謙, 0.9, 64,   2,  -4,14, 38.5, ⑬⑫,12, 6, アオジャシン,---,服部茂, 1.8, 45,   1, -21,13, 68.0, ⑫⑫
13, 8,Ｊプリンセスルビｰ, 41,城戸義, 2.4, 36,* -6, -27,12,157.5,②③⑥,13, 9,Ｌフユハナビ, 54,黛弘人, 3.8, 47,   6, -29,12,401.8,⑤⑩⑫,13, 1,Ｏウェイトアンドシｰ, 63,松岡正, 1.1, 63,   5,  -9, 6, 16.2, ④④,13,10, ハタノガイスト,---,柴山雄, 2.6, 40,* 13, -42, 4,  9.3, ②③
14,10,Ｈクリノイｰソｰ, 50,古川吉, 2.8, 31,  -9, -30, 6, 26.1,③④⑩,,,,,,,,,,,,,14,14,Ｎエｰデルシュタイン, 65,三浦皇, 1.1, 63,   5,  -9,15, 56.1, ⑧⑧,14,13,Ｅココロノママニ, 54,松岡正, 2.9, 34,  -3, -31,10, 34.0, ⑬⑮
,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｐタオルチャン, 62,水口優, 1.2, 64,* 10, -15,16,219.1, ①①,15, 9,Ｄタマモクラリティｰ, 58,藤岡康, 3.2, 30,  10, -48, 2,  8.5, ⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｈエクスシア, 69,井上敏, 1.2, 61,   1,  -7,13, 36.5, ⑨⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:66 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:5),,,,,,,,,,,
"単勝:2,720円 複勝:06=2,080円 11=1,170円 04=470円 枠連:7,030円",,,,,,,,,,,,"単勝:4,910円 複勝:03=830円 12=310円 11=150円 枠連:10,320円",,,,,,,,,,,,"単勝:1,020円 複勝:08=240円 09=720円 13=480円 枠連:4,590円",,,,,,,,,,,,"単勝:6,770円 複勝:15=1,250円 14=300円 08=570円 枠連:16,800円",,,,,,,,,,,
"馬連:26,300円 ワイド:06-11=3,950円 04-06=1,250円 04-11=1,080円",,,,,,,,,,,,"馬連:25,070円 ワイド:03-12=6,760円 03-11=2,340円 11-12=630円",,,,,,,,,,,,"馬連:16,760円 ワイド:08-09=4,500円 08-13=1,660円 09-13=6,830円",,,,,,,,,,,,"馬連:17,160円 ワイド:14-15=4,410円 08-15=9,580円 08-14=1,950円",,,,,,,,,,,
"馬単:50,310円 3連複:29,630円 3連単:293,130円",,,,,,,,,,,,"馬単:46,800円 3連複:20,860円 3連単:257,890円",,,,,,,,,,,,"馬単:28,520円 3連複:66,880円 3連単:369,720円",,,,,,,,,,,,"馬単:45,880円 3連複:92,190円 3連単:691,650円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 5R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝2600m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,丹頂ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａレンイングランド, 64,中谷雄,, 68,   7,  -7, 4,  7.4, ③③, 1,16,Ｆハッピｰセｰラｰ, 62,三浦皇,, 67,   4,* -3, 7, 22.4,⑫⑪⑨, 1,11,Ｂハヤブサペコチャン, 75,吉田隼,, 67,*  9,  -2, 1,  2.1,①①①, 1, 9,Ｄタマモベストプレイ, 88,津村明,, 83,* 12,   1, 1,  3.8,③③③
 2, 2,Ｏシャトルソニック, 36,吉田隼, 0.1, 64,   3,* -4, 7, 15.2, ⑦⑤, 2,14,Ｃサンドラバロｰズ, 66,福永祐, 0.0, 67,   6,  -5, 1,  2.8,⑧⑧③, 2, 4,Ｄダブルファンタジｰ, 72,古川吉, 0.0, 67,*  8,  -1, 5, 15.1,③③③, 2,10,Ｍサトノシュレン, 76,秋山真, 0.0, 82,* 14,  -4, 8, 17.3,①①①
 3, 5,Ｂアルマクレヨン, 59,勝浦正, 0.1, 69,* 10, -11, 5,  9.9, ②②, 3, 5,Ｅショウナンアトラス, 65,四位洋, 0.0, 64,*  7, -11, 2,  4.8,⑤③②, 3,13,Ｅビッグギグ, 72,松田大, 0.0, 66,   6,*  3, 3,  6.1,⑩⑨⑨, 3,12,Ｉサクラボｰルド, 82,横山和, 0.3, 81,  11,*  3, 6, 11.4,⑬⑪⑦
 4, 7,Ｉユメノマイホｰム, 53,長岡禎, 0.3, 60,  -4,*  1, 3,  5.4, ⑬⑪, 4,15,Ｄレッドボルゲｰゼ, 65,横山和, 0.0, 66,   3,*  1, 8, 25.2,⑭⑭⑩, 4,10,Ｃコスモソｰク, 72,丹内祐, 0.1, 65,   7,   0, 7, 17.1,⑤⑤④, 4, 5,Ｎマイネルジェイド, 75,松岡正, 0.4, 82,  11,   1,11, 25.8,⑧⑨⑩
 5, 4,Ｇミュゼメルノワｰル, 54,柴山雄, 0.7, 56,   0,  -8, 1,  3.0, ⑩⑨, 5,13,Ｌストｰムインパクト, 56,菱田裕, 0.1, 66,   6,  -7,10, 29.4,⑥⑦⑤, 5, 9,Ｆニホンピロバロン, 71,秋山真, 0.2, 66,   4,*  5, 4, 13.2,⑫⑫⑪, 5, 8,Ｌマイネルサンオペラ, 79,丹内祐, 0.4, 83,  11,*  3, 9, 24.2,⑭⑫⑧
 6,16,Ｍペイシャランラン, 40,松岡正, 1.0, 53,  -3,  -9,12, 78.7, ⑮⑬, 6, 6,Ｇグロリアスカフェ, 62,藤田伸, 0.2, 63,*  8, -16, 3,  6.7,②②①, 6, 8,Ｌイノセンテス, 64,小崎綾, 0.2, 65,   7,   0, 6, 16.2,⑥⑦⑦, 6,14,Ｃサイレントメロディ, 88,吉田隼, 0.6, 77,* 14, -10, 7, 15.5,②②②
 7, 8,Ｅネミッサ, 57,津村明, 1.0, 56,   7, -18, 6, 12.5, ⑤④, 7, 2,Ｋシングンゴｰルド, 57,井上敏, 0.2, 65,   6,  -8,11, 42.2,⑦⑥⑧, 7, 1,Ｈトゥヴァビエン, 69,小林徹, 0.3, 64,   7,  -1,10, 54.7,⑦⑥⑤, 7, 3,Ｇサイモントルナｰレ, 84,丸田恭, 0.7, 77,* 12,  -6,13, 50.4,⑥⑤⑥
 8, 6,Ｋディｰプブルｰ, 46,小崎綾, 1.1, 53,   3, -17,10, 41.7, ⑧⑦, 8, 8,Ａプルママルカ, 69,吉田隼, 0.3, 62,   4,  -9, 4,  9.5,⑩⑨⑪, 8, 5,Ｋホクレアポパイ, 68,柴山雄, 0.5, 65,   4,*  5,12,139.8,⑬⑬⑬, 8, 6,Ａモビｰル, 96,勝浦正, 0.7, 80,  11,  -1, 4,  6.8,⑪⑬⑬
 9,12,Ｆトリアンドルス, 54,丸田恭, 1.1, 52,   2, -16, 9, 27.5, ⑨⑩, 9,12,Ｂウエスタンメグ, 66,藤岡康, 0.3, 65,   5,  -7, 5,  9.6,⑪⑫⑥, 9, 2,Ａセブンフォｰス, 77,福永祐, 0.6, 62,   7,  -3, 2,  4.2,⑨⑧⑧, 9, 4,Ｅスズカデヴィアス, 87,小崎綾, 0.8, 77,  11,  -5, 2,  5.7,⑦⑧⑨
10,10,Ｈニｰマルボス, 54,横山和, 1.2, 49,  -3, -12,11, 61.7, ⑭⑮,10, 9,Ｈマｰシャルシップ, 60,池添謙, 0.8, 59,   2,  -7, 6, 11.1,⑯⑮⑫,10,12,Ｉフィｰルザロマンス, 69,花田大, 0.8, 61,* 10,  -8,11, 64.8,②②②,10, 1,Ｂミッキｰパンプキン, 89,三浦皇, 0.8, 78,* 13,  -9,12, 27.7,④④④
11, 9,Ｄゴットモｰニング, 57,古川吉, 1.3, 48,  -7,  -9, 8, 22.8, ⑯⑯,11,11,Ｉパラプリュイ, 60,小崎綾, 0.9, 57,*  7, -21, 9, 26.8,④⑤④,11, 6,Ｍエスティロックオン, 56,菅原隆, 1.1, 60,   6,  -5,13,282.5,⑧⑩⑫,11,13,Ｈフラアンジェリコ, 84,柴山雄, 0.8, 77,  11,  -5,10, 25.0,⑨⑩⑫
12,11,Ｎラブミｰフウジン, 39,城戸義, 1.7, 44,   0, -21,15,264.4, ⑪⑭,12, 4,Ｐミレニアムソング, 42,長岡禎, 1.2, 54,*  7, -27,15,183.2,③④⑦,12, 3,Ｇワンダｰブラザウン, 70,藤田伸, 1.3, 60,   5,  -6, 8, 23.9,⑪⑪⑩,12, 7,Ｊフミノヤマビコ, 82,長岡禎, 0.9, 77,  10,  -2,14, 61.8,⑫⑭⑭
13,13,Ｐポッドウェｰブ, 19,菱田裕, 2.1, 40,   0, -26,14,227.3, ⑫⑫,13, 1,Ｊスペシャルフォｰス, 59,荻野琢, 1.3, 54,   0, -13,12, 43.5,⑮⑯⑯,13, 7,Ｊジュｰヴルエｰル, 68,藤岡康, 1.6, 56,   8, -14, 9, 26.5,④④⑥,13, 2,Ｋシャドウパｰティｰ, 79,福永祐, 1.3, 73,  11, -12, 3,  6.0,⑩⑦⑤
14, 1,Ｃアトリエ, 58,四位洋, 2.1, 44,* 11, -37, 2,  4.8, ①①,14, 7,Ｎワンダフルバディ, 54,古川吉, 1.4, 54,   4, -18,14,164.7,⑬⑬⑮,,,,,,,,,,,,,14,11,Ｆアドマイヤバラｰド, 85,四位洋, 1.4, 72,* 12, -16, 5,  9.6,⑤⑥⑪
15,15,Ｊプリンシアソｰレ, 48,井上敏, 2.8, 33,   6, -41,16,272.8, ⑥⑧,15, 3,Ｏノｰワンズレシピ, 50,勝浦正, 2.1, 48,   3, -31,16,191.5,⑨⑩⑭,,,,,,,,,,,,,,,,,,,,,,,,
16,14,Ｌパパラヴズマンボ, 41,黛弘人, 2.9, 32,   8, -43,13,147.0, ④⑥,16,10,Ｍディアメドゥｰサ, 55,秋山真, 4.1, 36,*  9, -71,13, 43.7,①①⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:5),,,,,,,,,,,
単勝:740円 複勝:03=230円 02=510円 05=320円 枠連:520円,,,,,,,,,,,,"単勝:2,240円 複勝:16=360円 14=150円 05=170円 枠連:1,210円",,,,,,,,,,,,"単勝:210円 複勝:11=130円 04=240円 13=180円 枠連:1,160円",,,,,,,,,,,,"単勝:380円 複勝:09=170円 10=510円 12=280円 枠連:4,990円",,,,,,,,,,,
"馬連:4,800円 ワイド:02-03=1,910円 03-05=800円 02-05=1,400円",,,,,,,,,,,,"馬連:2,630円 ワイド:14-16=790円 05-16=1,440円 05-14=360円",,,,,,,,,,,,"馬連:1,450円 ワイド:04-11=450円 11-13=290円 04-13=1,160円",,,,,,,,,,,,"馬連:5,190円 ワイド:09-10=1,840円 09-12=930円 10-12=3,950円",,,,,,,,,,,
"馬単:9,260円 3連複:9,960円 3連単:69,410円",,,,,,,,,,,,"馬単:7,120円 3連複:3,730円 3連単:33,000円",,,,,,,,,,,,"馬単:2,020円 3連複:2,410円 3連単:10,650円",,,,,,,,,,,,"馬単:7,450円 3連複:18,600円 3連単:81,470円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 6R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 9R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,釧路湿原特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｈトワノトップガン, 58,藤田伸,, 63,   1,*  5, 9, 30.1,⑪⑦④, 1,10,Ｇアイナマｰリエ, 68,井上敏,, 69,   5,   2, 8, 22.0, ⑥⑤, 1, 5,Ａガリバルディ, 80,福永祐,, 78,*  7,*  4, 1,  1.4,③③②, 1,12,Ｇサンバビｰン, 77,城戸義,, 83,* 11,*  8, 7, 20.3,①①①
 2, 3,Ａグレイスビクトリア, 69,長岡禎, 0.1, 62,  -1,*  8, 2,  6.0,⑫⑪⑩, 2, 5,Ｈノボキャビア, 67,藤田伸, 0.1, 68,   3,*  3, 6, 15.7, ⑧⑦, 2, 1,Ｃシングンジョｰカｰ, 73,藤田伸, 0.2, 77,*  9,  -2, 2,  6.2,①①①, 2, 8,Ｄトミケンユｰクアイ, 79,古川吉, 0.2, 81,* 11,*  7, 3,  5.2,②②②
 3, 8,Ｃホトトヤエ, 64,津村明, 0.2, 59,*  4,  -3, 3,  6.4,①①①, 3, 8,Ａディアゴッホ, 73,柴山雄, 0.3, 65,   5,   0, 2,  3.8, ⑤③, 3,10,Ｆノアミラクル, 68,松田大, 0.8, 72,   5,   0,10, 66.8,⑪⑪⑨, 3, 3,Ｃシグナルプロシｰド, 79,勝浦正, 0.6, 76,   8,*  8, 2,  4.4,⑤⑨④
 4,11,Ｄトｰセンクラウド, 63,福永祐, 0.2, 58,   2,  -1, 1,  1.6,④④③, 4, 3,Ｄトウカイチャｰム, 70,丸山元, 0.4, 63,  -4,*  5, 7, 20.4, ⑪⑪, 4,12,Ｄピサノベッテル, 70,小崎綾, 0.9, 71,   3,*  1, 4, 15.5,⑫⑫⑬, 4, 7,Ｆアｰサｰバロｰズ, 78,菱田裕, 1.0, 74,  10,   3,11, 73.8,④③③
 5, 2,Ｉゴｰルデンフェザｰ, 56,松岡正, 0.4, 58,   2,  -2,11, 68.3,③③⑤, 5,12,Ｃピンクプリンセス, 71,小崎綾, 0.5, 63,   2,   0, 3,  5.0, ⑨⑧, 5, 6,Ｂウインリバティ, 74,松岡正, 1.0, 69,*  7,  -9, 3,  8.6,⑥⑤⑦, 5, 4,Ｅセフティｰエムアイ, 79,藤岡康, 1.3, 73,   6,   6, 4,  7.2,⑪⑫⑪
 6,12,Ｂノルウェｰノモリ, 66,村田一, 0.5, 58,   2,  -1, 7, 22.0,⑤⑤⑥, 6,11,Ｊサクラドラジェ, 59,松田大, 0.7, 66,* 11,  -8,10, 41.6, ①①, 6, 8,Ｎヴィンセンツイヤｰ, 49,丸山元, 1.0, 69,   5,  -5,13,242.6,⑨⑩⑫, 6, 1,Ｋスワンボｰト, 72,丹内祐, 1.5, 72,   7,   4, 8, 35.2,⑧⑩⑨
 7, 4,Ｆウインバレリｰナ, 62,黛弘人, 0.6, 60,  -2,*  6, 8, 27.0,⑬⑬⑫, 7, 2,Ｋコウヨウチャンス, 59,古川吉, 0.7, 59,  -6,*  5, 9, 32.2, ⑫⑫, 7, 3,Ｌレッドルシアン, 63,三浦皇, 1.2, 68,   2,  -2, 6, 21.1,⑬⑬⑥, 7,11,Ｂメイショウオオカゼ, 80,丸山元, 1.6, 71,   9,  -3, 6, 12.1,⑫④⑤
 8, 5,Ｊプレイフォｰマザｰ, 55,吉田隼, 0.7, 57,   1,  -1,12,131.9,⑧⑥⑦, 8, 6,Ｌアイディンビュｰ, 46,横山和, 0.9, 57,  -3,   0,12,163.7, ⑩⑩, 8,14,Ｇマデュｰロ, 67,四位洋, 1.3, 65,*  7, -13, 8, 34.1,⑤⑥⑤, 8,13,Ｈイｰグルカザン, 77,中谷雄, 1.8, 69,   8,  -3,12, 74.0,⑥⑦⑦
 9, 9,Ｌエアジャモｰサ, 53,松田大, 1.0, 53,*  4,  -8, 6, 20.8,②②②, 9, 9,Ｂサンマルヴィグラス, 72,城戸義, 1.1, 61,*  8,  -9, 4,  6.3, ②④, 9, 2,Ｅワクワクキリシマ, 68,勝浦正, 1.3, 68,   1,   0, 7, 31.5,⑭⑭⑩, 9, 2,Ｉメイショウドゥｰマ, 76,松田大, 1.8, 69,   7,   0, 5,  8.7,⑩⑪⑩
10, 7,Ｋセイウンコレット, 54,阪野学, 1.1, 54,  -1,  -2, 4, 15.7,⑨⑨⑨,10, 1,Ｉサビｰナクレスタ, 66,丸田恭, 1.2, 56,   5,  -7,11, 67.4, ⑦⑨,10, 7,Ｊハプスブルク, 65,長岡禎, 1.4, 65,   5,  -9,12,172.2,⑩⑨⑭,10,10,Ｍフォンテｰヌブロｰ, 70,吉田隼, 1.8, 70,   4,   5,13,124.5,⑬⑬⑬
11,10,Ｇカクテルハット, 60,三浦皇, 1.3, 51,   0,  -4,10, 56.6,⑦⑧⑧,11, 4,Ｆサクラエルカミｰノ, 69,三浦皇, 1.3, 56,   6,  -9, 5, 11.2, ④⑥,11, 4,Ｈコスモレヴァｰタ, 65,丹内祐, 1.5, 64,   6, -13,11,112.1,⑦⑦⑪,11, 6,Ｊハヤブサフィｰバｰ, 73,丸田恭, 1.8, 67,   9,  -3, 9, 41.3,⑦⑥⑥
12, 1,Ｅスギノピクシｰ, 63,菱田裕, 1.7, 51,   0,  -5, 5, 18.2,⑩⑫⑪,12, 7,Ｅサトノプレシャス, 69,福永祐, 1.5, 56,*  8, -13, 1,  3.2, ③②,12,11,Ｉヤマニンシバルリｰ, 65,藤岡康, 1.5, 63,*  8, -17, 9, 58.2,④④④,12, 5,Ｌカネコメオスタｰ, 71,小崎綾, 3.0, 61,   9, -14,10, 48.2,③⑤⑫
13,13,Ｍハギノフェリス, 47,藤岡康, 8.3,  2,  -1, -63,13,151.0,⑥⑩⑬,,,,,,,,,,,,,13,13,Ｋライフトップガン, 64,池添謙, 1.6, 61,   6, -14, 5, 19.9,⑧⑧⑧,13, 9,Ａワイルドドラゴン, 83,福永祐, 3.9, 54,   8, -21, 1,  2.9,⑨⑧⑧
,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｍアンカジャポニカ, 51,井上敏, 2.0, 58,*  9, -26,14,255.0,②②③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
