14年 1月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 1月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1900m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
 1,15,Ａテｰオｰソルジャｰ, 68,藤岡康,, 66,*  4,   0, 2,  3.8, ①①, 1, 5,Ａヤマノフェアリｰ, 74,藤田伸,, 67,* 10, -16, 1,  1.3, ①①, 1, 5,Ｃレコンダイト, 74,川田将,, 77,  -1,*  6, 1,  3.5, ③③, 1, 8,Ｂウイングザムｰン, 87,秋山真,, 86,  11,   6, 1,  2.2, ⑥⑦
 2,11,Ｆアサカファルコン, 53,藤田伸, 0.3, 63,  -1,*  1, 4,  7.1, ④④, 2, 8,Ｌシンゼンタイガ, 47,鮫島良, 0.3, 64,   2,* -9,10,129.0, ⑩⑨, 2, 8,Ｈキングデザイヤｰ, 64,和田竜, 0.1, 72,*  2,  -3, 5,  9.5, ①①, 2,14,Ｐテイエムタイホｰ, 69,小坂忠, 0.0, 89,* 17,  -1,12, 65.7, ②①
 3, 9,Ｉライロア, 50,北村友, 0.4, 62,  -1,*  2, 5,  8.5, ⑤⑤, 3, 2,Ｇレッドラヴィｰタ, 52,川田将, 0.3, 63,   5, -13, 2,  7.3, ⑦⑥, 3, 7,Ａダノンシンフォニｰ, 81,小牧太, 0.2, 74,*  1,   0, 2,  3.8, ②②, 3, 7,Ｆマコトナワラタナ, 79,川田将, 0.2, 85,  12,   3, 2,  6.2, ⑦⑥
 4,16,Ｅタガノエｰクラス, 57,小牧太, 0.4, 62,*  2,  -2, 6, 11.8, ②②, 4,11,Ｃウィズアミッション, 63,秋山真, 0.4, 62,   6, -15, 3, 11.1, ⑤⑤, 4, 3,Ｇディアデラバンデラ, 65,秋山真, 0.5, 74,  -6,*  9, 9, 46.8, ⑨⑨, 4, 9,Ｃダイナミックガイ, 86,小林徹, 0.2, 84,  10,   6, 7, 16.4, ⑧⑧
 5, 8,Ｄヒカリセット, 58,森一馬, 0.5, 60,*  1,  -2, 1,  3.4, ③③, 5, 3,Ｂヤマニンエルフィン, 67,和田竜, 0.5, 61,*  8, -20, 5, 16.8, ③③, 5,10,Ｄマイネルアルティマ, 74,丹内祐, 0.5, 70,  -2,   0, 4,  5.2, ④④, 5, 3,Ｄメイショウヤタロウ, 82,藤田伸, 0.4, 82,   8,   5, 4,  6.8, ⑨⑨
 6,10,Ｏジュｰンブライトン, 41,荻野琢, 0.8, 58,  -3,   0,10, 47.3, ⑦⑦, 6, 9,Ｊデンコウガイア, 48,藤岡康, 0.8, 58,  -3,* -6,15,372.1, ⑯⑮, 6, 9,Ｊリッシュレｰヴ, 64,北村友, 0.6, 71,  -4,   1,10, 48.4, ⑥⑥, 6,12,Ｋアグネスウイッシュ, 77,菱田裕, 0.7, 76,   1,* 12, 6, 15.1, ⑯⑮
 7,14,Ｂシゲルビッチュウ, 64,和田竜, 0.9, 59,  -1,  -3, 3,  5.6, ⑥⑥, 7,10,Ｉサンレイロッキｰ, 50,森一馬, 1.0, 54,   4, -22,16,618.4, ⑧⑦, 7, 6,Ｉディｰプストｰリｰ, 64,鮫島良, 0.6, 71,  -3,   2, 6, 14.9, ⑤⑤, 7, 6,Ｊオｰルブランニュｰ, 77,森一馬, 0.7, 77,   7,   4,14,190.6, ⑪⑩
 8, 6,Ｇエイユｰビリオネア, 53,藤岡佑, 1.1, 55,  -8,*  2, 9, 27.6, ⑩⑩, 8,16,Ｄリングランドムｰン, 62,北村友, 1.0, 55,   7, -26, 4, 12.8, ④④, 8, 1,Ｅウインクルキラリ, 72,武幸四, 0.8, 69,  -5,   1, 7, 19.3, ⑦⑦, 8,13,Ｉフレデフォｰト, 78,小牧太, 0.7, 78,   7,   4, 8, 39.4, ⑩⑪
 9, 2,Ｊトットコ, 50,武幸四, 1.9, 53,  -8,  -3, 8, 27.6, ⑬⑫, 9, 6,Ｆクインズラッシュ, 53,小林徹, 1.4, 50,   1, -23, 6, 44.3, ⑪⑩, 9, 2,Ｆミッキｰマンデｰ, 69,菱田裕, 1.0, 66,  -5,   0, 8, 25.5, ⑧⑧, 9, 4,Ｇデンファレ, 79,国分恭, 0.8, 77,  13,  -7,10, 54.8, ⑤⑤
10,13,Ｈシアトルサンライト, 51,菱田裕, 2.0, 47,  -5,  -8,15,339.8, ⑨⑨,10,14,Ｐアンダルシアシチｰ, 43,川島信, 1.4, 50,  -2, -17,14,344.9, ⑭⑯,10,11,Ｂステイザコｰス, 75,藤岡康, 1.0, 67,  -6,   2, 3,  5.1, ⑩⑩,10,10,Ａシルクドリｰマｰ, 89,北村友, 0.8, 75,  -2,* 14, 3,  6.6, ⑮⑯
11, 3,Ｃナチュラライズ, 58,川島信, 2.2, 47,  -9,  -5,11,137.1, ⑪⑪,11, 4,Ｋナッハフォルガｰ, 48,国分恭, 1.5, 48,  -3, -17,12,304.2, ⑮⑭,11, 4,Ｋサンマルホｰム, 63,藤田伸, 1.6, 65,  -9,   0,11, 77.0, ⑪⑪,11,15,Ｅアルティシムス, 81,国分優, 0.9, 75,   5,   4, 9, 53.1, ⑫⑬
12, 7,Ｎハｰドモンラッシェ, 42,畑端省, 2.6, 42,  -6, -14,14,210.8, ⑧⑧,12, 7,Ｏミサキジュエル, 46,小牧太, 1.7, 47,*  8, -39, 8, 62.8, ②②,,,,,,,,,,,,,12,16,Ｈラｰストチカ, 79,藤岡康, 1.1, 75,  15, -12, 5, 11.7, ③④
13,12,Ｐミラノモｰダ, 27,丹内祐, 3.3, 35, -12, -15,13,158.4, ⑫⑬,13, 1,Ｅメイショウソフィア, 54,武幸四, 1.8, 47,   0, -25, 7, 49.2, ⑬⑫,,,,,,,,,,,,,13, 2,Ｍコスモアクセス, 74,鮫島良, 1.2, 74,  15, -13,11, 58.1, ④③
14, 5,Ｍカシノステイタス, 46,小林徹, 3.5, 35, -12, -15,16,593.8, ⑭⑭,14,13,Ｈエイシンボン, 52,国分優, 2.1, 44,   1, -32, 9, 84.7, ⑫⑬,,,,,,,,,,,,,14, 5,Ｌメイショウハガクレ, 75,武幸四, 1.2, 71,   3,   2,13, 77.2, ⑭⑭
15, 4,Ｋワｰドイズボンド, 49,鮫島良, 3.5, 35, -20,  -9, 7, 18.6, ⑯⑯,15,12,Ｍサンライズアルプス, 47,菱田裕, 2.2, 42,   4, -37,11,164.3, ⑨⑪,,,,,,,,,,,,,15,11,Ｏピｰスピｰス, 69,上村洋, 1.6, 66,   4,  -6,16,203.4, ⑬⑫
16, 1,Ｌティエスアｰク, 47,秋山真, 4.0, 29, -17, -14,12,139.5, ⑮⑮,16,15,Ｎマイネルアルテロ, 47,丹内祐, 2.2, 42,   5, -40,13,335.1, ⑥⑧,,,,,,,,,,,,,16, 1,Ｎラディアｰレ, 70,畑端省, 1.7, 68,* 17, -24,15,192.9, ①②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,
"単勝:380円 複勝:15=170円 11=240円 09=270円 枠連:1,020円",,,,,,,,,,,,"単勝:130円 複勝:05=110円 08=1,290円 02=190円 枠連:1,500円",,,,,,,,,,,,"単勝:350円 複勝:05=140円 08=250円 07=160円 枠連:1,430円",,,,,,,,,,,,"単勝:220円 複勝:08=140円 14=1,360円 07=190円 枠連:1,720円",,,,,,,,,,,
"馬連:1,830円 ワイド:11-15=670円 09-15=790円 09-11=1,560円",,,,,,,,,,,,"馬連:5,060円 ワイド:05-08=1,740円 02-05=230円 02-08=4,390円",,,,,,,,,,,,"馬連:1,570円 ワイド:05-08=580円 05-07=290円 07-08=640円",,,,,,,,,,,,"馬連:8,220円 ワイド:08-14=2,420円 07-08=300円 07-14=6,460円",,,,,,,,,,,
"馬単:3,440円 3連複:6,310円 3連単:31,890円",,,,,,,,,,,,"馬単:6,540円 3連複:5,990円 3連単:32,800円",,,,,,,,,,,,"馬単:2,330円 3連複:1,860円 3連単:12,750円",,,,,,,,,,,,"馬単:11,020円 3連複:16,620円 3連単:83,770円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  芝1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝2000m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  ダ1400m 4歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,北大路特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂマコトグロズヌイ, 64,川田将,, 64,*  6,* -8, 2,  3.5,②②②, 1, 2, トップアｰト,---,川田将,, 48,  -3, -21, 2,  3.7, ④④, 1, 5,Ｆアドマイヤブルｰ, 77,小牧太,, 81,*  9,*  1, 3,  4.8,①①①, 1,10,Ｈミッキｰヘネシｰ, 77,小牧太,, 81,   6,  11, 2,  4.6, ⑪⑪
 2, 8,Ｋモズスタｰ, 50,国分優, 0.1, 62,*  7,* -9, 9, 46.8,①①①, 2, 6, キュｰルエラピス,---,国分優, 0.0, 48,  -4, -22, 5, 12.8, ⑤⑥, 2, 2,Ｂマデイラ, 80,藤岡康, 0.3, 78,*  9,  -2, 5,  6.5,②②②, 2, 9,Ｅエスジｰブルｰム, 78,北村友, 0.2, 78,   9,   5,11, 25.1, ⑥⑥
 3, 5,Ｄグロリアスカフェ, 59,藤田伸, 0.7, 59,   5, -10, 1,  1.9,④⑤④, 3, 1, サンレイサムライ,---,藤岡康, 0.2, 45,* -1, -29, 7, 16.1, ①①, 3, 7,Ａスミデロキャニオン, 81,川田将, 0.4, 78,   8,   0, 1,  2.8,③③③, 3,11,Ｇバハドゥｰル, 77,藤岡康, 0.3, 79,   5,  10, 1,  4.3, ⑬⑫
 4, 2,Ａロワサｰブル, 66,藤岡佑, 0.9, 56,   3,* -9, 3,  5.9,⑩⑧⑧, 4,14, ヒラボクレジェンド,---,北村友, 0.3, 46,  -9,*-13, 9, 33.8, ⑮⑭, 4, 1,Ｅディオジェｰヌ, 79,菱田裕, 0.6, 76,   7,  -1, 4,  5.4,④④④, 4,13,Ｋシゲルケンシン, 76,秋山真, 0.5, 77,  -1,* 14, 7, 16.8, ⑭⑮
 5,14,Ｎアダムズアップル, 41,小牧太, 1.3, 55,*  6, -18, 4,  9.5,③③③, 5,12, トレジャｰマップ,---,秋山真, 0.3, 45,  -6,*-20, 1,  2.9, ⑬⑪, 5, 8,Ｈメイショウシレトコ, 72,丹内祐, 0.6, 76,   5,*  1, 8,111.7,⑦⑦⑤, 5,14,Ｂハヤブサ, 80,国分恭, 0.5, 76,   8,   5, 3,  5.5, ⑨⑨
 6,16,Ｆゼンノスサノヲ, 55,森一馬, 1.4, 53,   5, -17,12,315.6,⑥④⑤, 5, 7, メイショウトキムネ,---,和田竜, 0.3, 45,  -3, -25, 3,  5.7, ⑦⑧, 6, 4,Ｇマイファｰストラヴ, 75,武幸四, 0.7, 77,   5,*  3, 7, 49.0,⑧⑧⑧, 6, 6,Ｃモズマッテタワ, 79,荻野琢, 0.6, 75,   7,   5, 9, 21.1, ⑩⑩
 7,10,Ｈビクタｰミノル, 54,北村友, 2.0, 50,   3, -18, 6, 31.2,⑨⑩⑨, 7, 4, シュネｰル,---,藤田伸, 0.4, 44,  -4, -28, 6, 13.0, ⑥⑤, 7, 3,Ｃマイネルマエストロ, 80,和田竜, 0.7, 75,   7,  -2, 2,  3.5,⑥⑤⑥, 7,15,Ｉライブリシｰラ, 77,小坂忠, 0.6, 76,  -2,* 15,16,202.5, ⑯⑯
 8,11,Ｊメジャｰホｰプ, 51,丹内祐, 2.2, 48,   4, -23, 8, 39.1,⑤⑥⑦, 8, 9, ルアノヴァ,---,森一馬, 0.4, 45,  -3, -25,12,116.1, ⑨⑦, 8, 6,Ｄエアポｰトメサ, 79,川島信, 1.3, 68,   7, -10, 6, 26.8,⑤⑥⑦, 8, 4,Ｄナンヨｰカノン, 79,上村洋, 0.8, 74,   9,  -1,10, 24.5, ⑤⑤
 9,12,Ｍスリｰケｰザル, 43,国分恭, 2.2, 48,   1, -15,11,108.7,⑫⑫⑫, 9, 3, ホッコｰザムｰン,---,国分恭, 0.8, 39,  -6, -27,15,333.6, ⑫⑩,,,,,,,,,,,,, 9, 8,Ｆマｰクスマン, 77,和田竜, 0.8, 75,   0,  11, 4,  6.0, ⑮⑭
10, 1,Ｌヘッドクオｰタｰ, 48,川島信, 2.2, 50,   0, -13,13,350.2,⑯⑬⑬,10,11, グッドタルト,---,武幸四, 1.5, 35,  -5, -40,10, 49.6, ⑩⑫,,,,,,,,,,,,,10, 2,Ｎアグネスピンキｰ, 75,藤田伸, 0.9, 74,* 13,  -5, 8, 18.8, ②②
11, 6,Ｇウォｰタｰバンクス, 54,上村洋, 2.6, 47,   4, -23,15,558.5,⑧⑦⑥,11,10, メイショウロブロイ,---,菱田裕, 1.6, 33,  -5, -41, 4,  9.1, ⑪⑬,,,,,,,,,,,,,11,12,Ｐハッピｰストｰリｰ, 69,鮫島良, 0.9, 75,   5,   4,15,175.5, ⑫⑬
12, 9,Ｅトヨシゲ, 57,秋山真, 2.7, 45,   2, -21, 5, 30.6,⑭⑪⑩,12, 5, マイネルフンケルン,---,丹内祐, 1.7, 34,  -4, -43,11, 87.6, ⑧⑨,,,,,,,,,,,,,12, 5,Ａスズカジョンブル, 81,菱田裕, 1.0, 72,   8,   1, 5, 12.0, ⑧⑧
13, 7,Ｉメイショウハチマン, 52,武幸四, 3.3, 48,  -2, -20,14,462.5,⑮⑭⑭,13,13, オグリブライアン,---,上村洋, 2.0, 32,* -1, -53,14,187.6, ②②,,,,,,,,,,,,,13, 1,Ｍトウショウロジック, 75,丹内祐, 1.1, 70,  10,  -5,14, 81.9, ④④
14,15,Ｃヤマニンピエジェ, 59,和田竜, 3.5, 42,   2, -30, 7, 38.2,⑦⑨⑪,14,15, ハッピｰロｰド,---,荻野琢, 2.2, 30,* -2, -57,13,130.1, ③③,,,,,,,,,,,,,14, 7,Ｏウエスタンムサシ, 74,国分優, 1.2, 70,  11,  -7, 6, 15.0, ③③
15, 3,Ｐキングデジタル,  7,菱田裕, 4.7, 34,  -3, -29,10,103.1,⑬⑯⑮,15, 8, ゴットサｰガ,---,川島信, 2.6, 27,  -7, -50, 8, 17.5, ⑭⑮,,,,,,,,,,,,,15,16,Ｊタガノプリンス, 77,森一馬, 1.5, 68,   8,  -6,13, 53.5, ⑦⑦
16, 4,Ｏカシノピカロ, 35,小林徹, 9.3,  0,  -3, -69,16,687.2,⑪⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｌアイビｰフォｰルド, 75,川田将, 1.8, 66,* 16, -18,12, 37.2, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:1),,,,,,,,,,,
"単勝:350円 複勝:13=120円 08=560円 05=110円 枠連:5,140円",,,,,,,,,,,,単勝:370円 複勝:02=170円 06=360円 01=430円 枠連:900円,,,,,,,,,,,,単勝:480円 複勝:05=170円 02=170円 07=130円 枠連:0円,,,,,,,,,,,,"単勝:460円 複勝:10=200円 09=620円 11=170円 枠連:8,700円",,,,,,,,,,,
