14年10月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,観月橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:420円 3連複:480円 3連単:1,210円",,,,,,,,,,,,"馬単:9,670円 3連複:15,350円 3連単:83,160円",,,,,,,,,,,,"馬単:4,690円 3連複:8,940円 3連単:41,030円",,,,,,,,,,,,"馬単:1,930円 3連複:1,940円 3連単:10,090円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1200m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,室町ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａケンブリッジゴｰル, 63,藤田伸,, 55,* -5,   4, 1,  1.7, ①①, 1, 9, フミノムｰン,---,幸英明,, 78,  -2,* 14, 9, 17.4, ⑧⑦, 1,13,Ｄマｰティンオｰト, 76,和田竜,, 81,   0,* 17, 3,  7.2, ⑤④, 1, 9,Ｇダッシャｰワン, 85,浜中俊,, 87,  11,  13, 3,  6.6, ⑧⑦
 2, 2,Ｂツオイガナ, 55,池添謙, 0.0, 53, -10,* 10, 2,  3.3, ⑩⑥, 2, 4, ストｰンウェア,---,北村友, 0.2, 78,  -9,* 22, 1,  1.9, ⑭⑫, 2, 6,Ｆサトノユニコｰン, 76,岩田康, 0.4, 77,*  3,  11, 2,  7.1, ②②, 2,12,Ｋメイショウノｰベル, 84,幸英明, 0.2, 85,  14,   9, 9, 33.8, ⑤⑤
 3,12,Ｄアリエスジュｰゴｰ, 50,古川吉, 0.1, 53,  -7,*  6, 5, 20.6, ③③, 3,10, シャイニングスタｰ,---,川田将, 0.4, 72,   1,   3, 2,  7.1, ⑤⑤, 3,11,Ａキングズガｰド, 79,川田将, 0.6, 77,   0,  14, 1,  1.8, ⑧⑧, 3, 7,Ｅタイセイファントム, 85,岩田康, 0.3, 84,  11,  12, 4, 15.6, ⑨⑨
 4,10,Ｈヴェリタスキング, 39,川須栄, 0.2, 52,* -5,   3, 9,111.1, ②②, 4, 7, オヒア,---,ペロヴ, 0.6, 68,*  7,  -8, 5, 14.5, ①①, 4, 4,Ｅエミネントレコｰド, 76,幸英明, 0.8, 73,*  3,   7, 4,  7.4, ①①, 4, 6,Ｐニシケンモノノフ, 77,中谷雄, 0.3, 83,   9,  12,10, 53.5, ⑫⑫
 5, 3,Ｊモズレッドファｰム, 38,和田竜, 1.2, 45,  -9,  -1, 8, 87.9, ⑧⑨, 5, 6, ブチコ,---,浜中俊, 0.6, 68,*  4,  -4, 3,  8.9, ③③, 5, 7,Ｈゼンノロンゴ, 72,浜中俊, 0.8, 75,  -3,  14, 8, 19.7, ⑬⑬, 5, 8,Ｆスリｰボストン, 85,北村友, 0.4, 83,  15,   6,11, 60.2, ④④
 6,11,Ｅキクノコｰル, 45,幸英明, 1.3, 44,  -8,  -3, 7, 27.4, ⑥④, 6, 1, クロｰザｰ,---,岩田康, 0.7, 69,   0,   2, 4, 11.2, ⑥⑥, 6, 3,Ｇアドマイヤシェル, 76,藤岡佑, 0.9, 72,  -3,  13, 5, 14.6, ⑫⑫, 6, 5,Ｏアｰスソニック, 80,田中博, 0.4, 81,   5,* 16, 8, 26.6, ⑮⑬
