14年11月30日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月30日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,2014ﾌﾟﾛﾐﾈﾝﾄ ｼﾞｮｯｷｰｽﾞ ﾄﾛ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
14, 7,Ｌラブキッス, 31,井上敏, 2.8, 47,   1, -17,14,134.0, ⑧⑧,,,,,,,,,,,,,14, 2,Ｉケツァルコアトル, 76,マクド, 2.1, 64,   6,  -8,15, 91.0, ④⑤,14,11,Ｍトｰセンジョｰダン, 83,ブドｰ, 2.9, 79,  25, -34,16,169.9,⑤⑤⑥
15, 2,Ｐフジサンボンド, 20,的場勇, 2.9, 46,  -2, -13,15,240.8, ⑪⑫,,,,,,,,,,,,,15, 8,Ｌタイセイクルｰズ, 74,スマレ, 2.6, 61,   4,  -7,16,103.0, ⑯⑯,15,13,Ｉディサイファ, 88,ブノワ, 2.9, 79,  20, -22,14,138.5,⑩⑬⑮
16, 4,Ｏアンワンワｰルド, 28,石橋脩, 3.6, 41,*  8, -32,13,124.2, ②②,,,,,,,,,,,,,15, 3,Ｏサリレモンド, 72,パｰト, 2.6, 60,*  8, -15,10, 27.5, ①①,16, 7, アップウィズザバｰ,---,ダシル, 4.4, 70,  19, -41,15,159.2,⑰⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,14,Ｏサトノシュレン, 81,川島信, 7.2, 26,* 26, ---,18,279.8,①①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:95 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:1),,,,,,,,,,,
"単勝:510円 複勝:09=180円 12=1,540円 01=140円 枠連:1,160円",,,,,,,,,,,,"単勝:220円 複勝:01=120円 06=930円 03=170円 枠連:5,180円",,,,,,,,,,,,"単勝:330円 複勝:06=140円 14=780円 07=200円 枠連:1,770円",,,,,,,,,,,,単勝:890円 複勝:04=320円 01=320円 15=410円 枠連:970円,,,,,,,,,,,
"馬連:31,820円 ワイド:09-12=7,690円 01-09=380円 01-12=4,620円",,,,,,,,,,,,"馬連:4,410円 ワイド:01-06=1,540円 01-03=250円 03-06=3,260円",,,,,,,,,,,,"馬連:7,130円 ワイド:06-14=2,280円 06-07=450円 07-14=4,270円",,,,,,,,,,,,"馬連:4,120円 ワイド:01-04=1,780円 04-15=2,170円 01-15=1,980円",,,,,,,,,,,
"馬単:42,400円 3連複:23,950円 3連単:232,800円",,,,,,,,,,,,"馬単:5,690円 3連複:6,520円 3連単:32,290円",,,,,,,,,,,,"馬単:11,050円 3連複:15,060円 3連単:96,010円",,,,,,,,,,,,"馬単:7,800円 3連複:19,750円 3連単:91,790円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,,,,,,,,,,,,
