14年 7月 6日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 7月 6日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2750m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
11,10,Ｈタイセイバンデット, 52,武士沢, 1.2, 39, -18,*  0, 5, 17.3, ⑯⑯,11, 2, ラノララク,,小野寺,185.7,,,,11, 72.9,④⑨⑩,11,16,Ｎリトルトリンケット, 38,木幡初, 0.9, 53, -17,*  4,15,153.6,⑮⑮⑮,,,,,,,,,,,,
12,16,Ｌシャレｰドレジｰナ, 41,松若風, 1.3, 39,  -8,  -9,10, 78.0, ⑨⑪,12, 7, ファイアｰアゲン,,鈴木慶,186.1,,,,13,150.0,⑫⑬⑬,12,15, キネオイｰグル,---,戸崎圭, 1.1, 45, -14,  -7, 4,  6.7,⑯⑫⑬,,,,,,,,,,,,
13,13,Ｎメイショウエクサ, 29,池添謙, 1.7, 35, -17,  -4,11, 95.5, ⑮⑮,13,14, エクレウス,,上野翔,187.9,,,, 1,  2.8,①④⑨,13, 8, キネオブレイブ,---,西田雄, 1.1, 47, -13,  -5, 9, 32.7,⑫⑪⑫,,,,,,,,,,,,
14, 9,Ｍイｰサンアテナ, 35,江田照, 1.8, 35, -14,  -9,14,132.7, ⑬⑫,14,10, ナデシコホマレ,,大江原,199.5,,,,12, 91.9,⑭⑭⑭,14, 5,Ｉスイｰトイレｰヌ, 51,嶋田純, 1.5, 44, -15,  -7,14, 98.4,⑩⑭⑭,,,,,,,,,,,,
15,15,Ｉアルファルミエｰル, 49,原田和, 2.3, 30,  -1, -25, 9, 73.7, ⑤⑧,,,,,,,,,,,,,15, 4,Ｅプコナコナ, 55,古川吉, 1.7, 44, -18,  -4,13, 98.1,⑭⑯⑯,,,,,,,,,,,,
16, 8, ヤワタマｰチ,---,小島太, 3.4, 19, -13, -25,16,199.7, ⑫⑬,,,,,,,,,,,,,16,13,Ｆヒロソｰラｰ, 54,武士沢, 1.7, 39, -12, -17, 8, 31.9,⑬⑧⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-5),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-4),,,,,,,,,,,
"単勝:780円 複勝:03=220円 11=430円 06=130円 枠連:2,460円",,,,,,,,,,,,"単勝:350円 複勝:04=170円 12=590円 13=320円 枠連:1,870円",,,,,,,,,,,,単勝:230円 複勝:14=130円 12=420円 11=140円 枠連:400円,,,,,,,,,,,,単勝:170円 複勝:06=110円 02=230円 01=260円 枠連:920円,,,,,,,,,,,
"馬連:6,190円 ワイド:03-11=1,390円 03-06=330円 06-11=810円",,,,,,,,,,,,"馬連:5,410円 ワイド:04-12=1,650円 04-13=990円 12-13=3,470円",,,,,,,,,,,,"馬連:2,840円 ワイド:12-14=850円 11-14=210円 11-12=1,380円",,,,,,,,,,,,"馬連:890円 ワイド:02-06=410円 01-06=540円 01-02=1,390円",,,,,,,,,,,
"馬単:10,330円 3連複:3,880円 3連単:34,610円",,,,,,,,,,,,"馬単:8,800円 3連複:21,040円 3連単:101,500円",,,,,,,,,,,,"馬単:4,220円 3連複:3,570円 3連単:19,550円",,,,,,,,,,,,"馬単:1,190円 3連複:2,960円 3連単:7,780円",,,,,,,,,,,
■ 2R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-26,,,,,■ 5R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝1800m 3 歳ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ福島,,,,,,,,,,,,,,,,,,,,,,,,ﾗｼﾞｵNIKKEI賞 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａショウナンバクフウ, 60,大野拓,, 65,* -1,  -2, 2,  3.4, ①①, 1,16, フォワｰドカフェ,---,蛯名正,, 46,*-29,*  8, 1,  2.3,②②②, 1,10,Ｊソｰミラキュラス, 65,戸崎圭,, 77,   5,* 15, 1,  1.9,⑥⑥③, 1, 9,Ｉウインマｰレライ, 73,松岡正,, 82,* 10,   2, 5,  9.8,③②③
 2, 3,Ｃヨザクラオシチ, 50,田辺裕, 0.3, 60,  -4,  -3, 3,  5.3, ③③, 2, 9, タンタアレグリア,---,北村宏, 0.3, 48, -33,* 14, 2,  4.2,⑫⑨⑨, 2, 7,Ｃタイキグラミｰ, 70,吉田豊, 1.0, 69,*  9,  -1, 4, 11.7,①①①, 2, 4,Ａクラリティシチｰ, 84,内田博, 0.2, 81,   6,*  8, 1,  3.0,⑬⑭⑫
 3, 6,Ｂエルゴレア, 55,北村宏, 0.4, 59,  -9,*  1, 1,  2.2, ⑧⑥, 3, 3, カンデラ,---,戸崎圭, 0.6, 40, -32,   5, 3,  6.7,③⑤③, 3,11,Ｈリサプシュケ, 67,宮崎北, 1.0, 69,   3,*  9, 6, 22.2,⑫⑪⑧, 3, 3,Ｈウインフェニックス, 74,石橋脩, 0.2, 81,   9,   4, 7, 15.9,⑥⑦④
 4, 8,Ｄヤマホトトギス, 49,江田照, 0.5, 57,  -5,  -4, 5, 17.0, ⑥⑤, 4, 4, カズノテナンゴ,---,吉田豊, 0.7, 43, -33,   7, 5, 15.7,⑤⑦④, 4, 4,Ｂラクリモｰサ, 70,大野拓, 1.6, 68,   4,   4, 9, 47.7,⑨⑩⑩, 4, 2,Ｅオウケンブラック, 79,田中勝, 0.4, 79,   8,   4,10, 41.5,⑫⑪⑨
 5,15,Ｆテンテマリ, 44,宮崎北, 0.7, 56, -15,*  4, 9, 46.5, ⑪⑪, 5,12, ミスライト,---,江田照, 0.9, 32,*-29,  -5,15, 86.6,①①①, 5, 1,Ｅメテオレイン, 68,石橋脩, 1.8, 64,   4,   1, 7, 38.9,⑧⑧⑦, 5,15,Ｎラディウス, 70,柴田大, 0.5, 79,   5,*  7,16,103.1,⑭⑯⑯
 6, 2,Ｅアｰトプリズム, 44,柴田善, 0.9, 53, -13,  -1, 4, 15.6, ⑩⑧, 6,13, コメｰト,---,嘉藤貴, 0.9, 41, -36,* 10, 8, 21.4,⑪⑫⑩, 6, 8,Ｄブルｰバレット, 69,伴啓太, 1.9, 63,*  9,  -8, 2,  3.2,②②②, 6, 1,Ｊカウニスクッカ, 73,伊藤工, 0.6, 75,* 12,  -8,13, 57.1,②③②
 7,13,Ｉキッズアベリア, 39,内田博, 1.1, 50,  -4, -14, 8, 23.1, ⑤④, 7, 6, ソヴリンマンボ,---,池添謙, 1.2, 35, -36,   5,12, 55.2,⑧⑩⑦, 7, 9,Ａシェイプリｰ, 72,田辺裕, 1.9, 62,   3,   2, 5, 20.8,⑩⑨⑨, 7,12,Ｄミヤビジャスパｰ, 80,池添謙, 0.6, 74,   7,  -1, 6, 10.2,⑪⑬⑧
 8,10,Ｊクラウンマリリン, 35,古川吉, 1.6, 43,* -2, -21,11,141.7, ②②, 8,15, コスモアルドラ,---,松岡正, 1.3, 29,*-29,  -9, 4, 15.6,④③⑤, 8,14,Ｎアイヅラブリｰ, 60,武士沢, 2.5, 59,   2,  -2, 8, 44.6,⑪⑫⑬, 8,13,Ｃピオネロ, 82,蛯名正, 0.8, 75,   8,  -2, 2,  5.7,⑯⑫⑬
 9, 1,Ｈティエスヴァレｰ, 40,木幡初, 1.9, 40, -22,  -5,14,230.1, ⑬⑫, 9, 2, マイネルガｰデン,---,石橋脩, 1.3, 31, -30,  -6,10, 40.1,⑭⑥⑧, 9,13,Ｉメイショウポピュラ, 66,池添謙, 2.8, 58,   1,  -1,10, 85.8,⑬⑭⑫, 9, 5,Ｆベストドリｰム, 78,西田雄, 0.8, 74,   9,  -5,11, 48.5,⑩⑩⑦
10, 5, ペパ,---,的場勇, 2.1, 39, -24,  -5,13,183.9, ⑯⑭,10,11, サトノハンナ,---,川島信, 2.0, 31, -38,   0, 7, 19.2,⑬⑬⑬,10, 6,Ｇキンショｰキラ, 67,原田和, 2.9, 58,   0,   0,13,179.6,⑮⑮⑮,10,16,Ｂメドウヒルズ, 83,吉田豊, 1.1, 72,* 10, -13, 9, 31.7,⑧⑤⑥
11, 9, アイガウマレタヒ,---,武士沢, 2.6, 31, -20, -17, 6, 21.0, ⑫⑬,11, 8, タイセイアニマｰト,---,武士沢, 2.2, 18, -30, -20,11, 43.7,⑦④⑥,11, 3,Ｌアナンタン, 64,木幡初, 3.0, 56,   5, -11,15,283.5,③⑤④,11, 7,Ｇショウナンワダチ, 74,北村宏, 1.6, 65,* 10, -19, 4,  7.0,⑨⑥⑪
12,12,Ｋヤマニンポミエ, 30,伊藤工, 2.7, 29,  -9, -29,10,127.9, ⑨⑩,12, 1, スピリッツセカンド,---,柴田善, 2.4, 24, -39,  -5,13, 60.4,⑮⑯⑯,12, 2,Ｆデイジｰバロｰズ, 68,江田照, 3.3, 54,   5, -13,11, 87.9,⑦⑦⑤,12,11,Ｌラリングクライ, 72,戸崎圭, 1.7, 64,   5, -10, 3,  6.7,⑮⑮⑭
13,11,Ｍスズノユｰミン,-75,原田和, 2.7, 29,  -8, -31,16,242.4, ⑦⑨,13, 5, シンボリセザンヌ,---,田辺裕, 2.6, 13, -33, -21, 9, 33.3,⑥⑧⑪,13,12,Ｏトｰセンハナミズキ, 46,松岡正, 3.4, 53,   6, -16,14,183.6,④③⑥,13,10,Ｋハドソンヤｰド, 72,松若風, 1.8, 62,* 10, -23, 8, 24.4,⑤④⑤
14, 7,Ｇディナｰベル, 40,伴啓太, 2.9, 26, -21, -20,12,175.6, ⑭⑮,14,14, スペシャルヴォｰグ,---,石川裕, 2.6, 21, -39,  -8,16,103.5,⑩⑮⑫,14, 5,Ｍフロｰルシｰタ, 63,西田雄, 3.5, 53,   1, -10,12,100.4,⑭⑬⑭,14, 8,Ｍブレイヴリｰ, 71,古川吉, 2.1, 60,   9, -23,12, 52.5,⑦⑨⑮
15,14, コトブキシュガｰ,---,松若風, 2.9, 26, -24, -18, 7, 22.8, ⑮⑯,15, 7, ステツクテンテン,---,内田博, 3.1, 13, -37, -18,14, 61.4,⑯⑭⑭,15,15,Ｋプレミアステイタス, 65,石川裕, 3.9, 49,   6, -21, 3,  7.0,⑤④⑪,15,14,Ｐイダス, 61,川島信, 2.5, 56,   9, -31,15, 81.3,④⑧⑩
16,16,Ｌカヴァｰトウショウ, 29,石川裕, 3.4, 19,  -4, -44,15,240.7, ④⑦,16,10, スカｰレットデビル,---,横山典, 3.1,  7, -36, -22, 6, 15.9,⑨⑪⑮,,,,,,,,,,,,,16, 6,Ｏトシザキミ, 67,柴田善, 3.3, 48,* 12, -48,14, 60.0,①①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-4),,,,,,,,,,,
単勝:340円 複勝:04=130円 03=150円 06=120円 枠連:950円,,,,,,,,,,,,単勝:230円 複勝:16=120円 09=150円 03=180円 枠連:420円,,,,,,,,,,,,"単勝:190円 複勝:10=120円 07=210円 11=340円 枠連:1,080円",,,,,,,,,,,,"単勝:980円 複勝:09=280円 04=140円 03=310円 枠連:1,170円",,,,,,,,,,,
馬連:810円 ワイド:03-04=290円 04-06=200円 03-06=320円,,,,,,,,,,,,馬連:630円 ワイド:09-16=240円 03-16=460円 03-09=490円,,,,,,,,,,,,"馬連:1,120円 ワイド:07-10=460円 10-11=780円 07-11=2,030円",,,,,,,,,,,,"馬連:1,820円 ワイド:04-09=810円 03-09=1,320円 03-04=740円",,,,,,,,,,,
"馬単:1,380円 3連複:650円 3連単:3,750円",,,,,,,,,,,,"馬単:970円 3連複:1,300円 3連単:3,920円",,,,,,,,,,,,"馬単:1,200円 3連複:5,490円 3連単:13,430円",,,,,,,,,,,,"馬単:4,280円 3連複:6,020円 3連単:34,060円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 6R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1150m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ福島,,,,,,,,,,,,雄国沼特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｇフジマサクラウン, 57,北村宏,, 65,* -1,* 10, 4,  6.1,④③②, 1,15, クラウンノキミ,---,横山典,, 43,*-16,  -7, 2,  5.1, ①①, 1, 2,Ｊアｰトフェスタ, 61,柴田善,, 71,   2,*  4, 8, 57.3,⑦⑫⑪, 1, 8,Ｐボンジュｰルノゾミ, 40,戸崎圭,, 71,* -1,*  9, 5, 15.1, ④⑤
 2,11,Ｅガヤルド, 59,内田博, 0.1, 65,* -1,  10, 7, 20.7,⑤④③, 2, 6, ツクバレガｰロ,---,柴田善, 0.7, 36,*-24,  -8, 6, 15.7, ②②, 2, 9,Ｅアｰマｰクラッド, 69,蛯名正, 0.2, 69,   5,  -5, 2,  5.1,⑩⑨⑦, 2, 7,Ａエムエムアリオｰン, 82,吉田豊, 0.6, 65,*  1,   2, 1,  2.4, ②②
 3, 9,Ｂキネオストレッタ, 62,柴田大, 0.2, 67,  -4,* 13, 3,  4.4,③⑤⑤, 3, 8, ナイアガラモンロｰ,---,原田和, 1.2, 28, -25, -14,10, 47.6, ⑤④, 3, 6,Ｃディアデルレイ, 70,田辺裕, 0.2, 67,   6,  -8, 3,  5.5,⑨⑤⑤, 3,15,Ｃキョウワメロディｰ, 72,蛯名正, 0.6, 65,  -3,   5, 2,  3.2, ⑤⑥
 4, 2,Ａマウントマズル, 64,柴田善, 0.9, 57,  -3,   6, 2,  3.9,⑫⑥⑥, 4,14, ベリサマ,---,宮崎北, 1.3, 31, -39,* -2, 8, 28.4, ⑭⑫, 4, 5,Ｎオウエイバスタｰ, 50,吉田豊, 0.2, 71,   4,  -2,10,119.0,⑪⑪⑨, 4, 1,Ｅブライトシチｰ, 70,大野拓, 0.8, 64,  -5,   6, 8, 20.2, ⑥④
 5, 6,Ｎコスモロザラム, 40,松岡正, 1.0, 58,* -1,   3, 8, 47.7,①①①, 5, 9, パイナワレア,---,蛯名正, 1.3, 29, -32,  -8, 1,  2.6, ⑧⑦, 5, 8,Ｉヴァンデミエｰル, 63,柴田未, 0.2, 69,   2,*  1, 9, 62.1,⑫⑬⑬, 5,14,Ｇシベリアンスオｰド, 69,岩部純, 0.8, 64,  -4,   5, 4, 12.7, ⑦⑦
 6, 5,Ｃリムショット, 61,横山典, 1.5, 56,  -9,* 12, 5,  8.1,⑭⑬⑨, 6,11, エンクエントロス,---,松若風, 1.4, 28, -36,* -6, 5, 10.1, ⑪⑨, 6,10,Ｄレインボｰラヴラヴ, 69,大野拓, 0.2, 68,   6,  -8, 7, 14.9,③④③, 6,11,Ｆマンリｰ, 70,松岡正, 0.8, 63, -10,*  9, 3,  9.5, ⑬⑪
 7,14,Ｄゴｰルデンスピｰド, 59,田辺裕, 1.9, 50,* -1,  -5, 1,  3.7,②②④, 7, 4, ガルｰダ,---,戸崎圭, 1.4, 27, -29, -12, 3,  5.8, ⑥⑥, 7,13,Ｂシｰロア, 75,内田博, 0.3, 66,*  9, -15, 4,  6.9,④②②, 7, 5,Ｏドラゴンスズラン, 45,北村宏, 1.0, 62,  -2,   1,11, 34.8, ③③
 8, 3,Ｆライトサｰパス, 57,伴啓太, 2.6, 47,  -5,  -5, 9, 48.6,⑦⑧⑧, 8,12, シゲルルミナリエ,---,石橋脩, 1.5, 26, -29, -13,14,115.2, ⑦⑧, 8,14,Ｍウェルテクス, 56,石橋脩, 0.3, 66,* 12, -19, 6, 14.6,①①①, 8, 4,Ｉアイティダイヤ, 64,柴田大, 1.0, 63,*  1,  -2, 9, 27.6, ①①
 9,10,Ｈファイナルカヨ, 56,川島信, 2.7, 48,  -6,  -3,14,183.2,⑨⑩⑩, 9,13, エスティノｰヴァ,---,松岡正, 1.5, 28, -35,  -6, 9, 38.0, ⑫⑪, 9, 3,Ａマンインザムｰン, 75,北村宏, 0.6, 63,   8, -15, 1,  2.4,⑤③④, 9,16,Ｄアビスコ, 71,田中勝, 1.2, 61,  -5,   2, 6, 19.3, ⑧⑨
10,12,Ｉタｰゲットバスタｰ, 54,石川裕, 3.0, 46,  -9,  -2,12,149.3,⑮⑮⑬,10,10, サｰクルワルツ,---,大野拓, 1.6, 26, -39,* -6, 7, 23.5, ⑮⑬,10, 4,Ｆレッドグルック, 69,戸崎圭, 0.7, 62,   6, -13, 5,  7.9,⑧⑥⑥,10, 2,Ｍアキノアッパｰ, 54,石橋脩, 1.3, 58, -13,*  8,13, 95.3, ⑮⑮
11, 1,Ｍカワキタスキップ, 42,伊藤工, 4.3, 35,  -5, -18,13,166.4,⑥⑦⑦,11, 7, トミケンシェルフ,---,木幡初, 1.6, 23, -27, -18,13, 72.8, ④⑤,11, 1,Ｋセカイノカナ, 60,松岡正, 1.0, 61,   4, -13,14,159.6,⑥⑩⑩,11, 3,Ｈレッドジョｰカｰ, 65,柴田善, 1.6, 55,  -6,  -1,10, 32.6, ⑩⑧
12,13,Ｌトウカイフリｰト, 45,梶晃啓, 4.4, 35,  -5, -20,15,195.0,⑧⑨⑪,12, 3, ビバサンライズ,---,西田雄, 1.7, 22, -26, -19,16,153.5, ③③,12,11,Ｈテイエムブシドｰ, 63,古川吉, 1.6, 54,   7, -26,12,135.0,⑭⑦⑧,12,10,Ｎアイムオンファイア, 52,平野優, 1.9, 53,  -7,  -3,16,222.1, ⑪⑭
13, 8,Ｊダｰクインテジャｰ, 53,田中勝, 4.5, 35,  -7, -17, 6, 11.5,⑩⑪⑫,13, 5, クリスタルシップ,---,古川吉, 2.4, 14, -31, -22,12, 67.4, ⑨⑩,13, 7,Ｇエアギベオン, 66,伊藤工, 2.0, 50,   4, -26,11,126.9,⑬⑭⑫,13,12,Ｂプリティｰキャロル, 73,石川裕, 2.0, 52, -10,  -2, 7, 20.2, ⑭⑬
14, 4,Ｋアイティファｰスト, 50,江田照, 6.0, 25,  -9, -27,11, 86.3,⑬⑭⑭,14, 2, メッシュヘア,---,嘉藤貴, 2.8,  9, -39, -21, 4,  6.9, ⑬⑭,14,12,Ｌネオザイオン, 56,柴田大, 8.3,-27,   5, ---,13,154.7,②⑧⑭,14, 9,Ｋファイアキング, 57,伴啓太, 2.1, 51, -13,   0,14,107.0, ⑯⑯
15, 7,Ｏイングリデント, 36,吉田豊, 6.7, 20,  -7, -35,10, 86.3,⑪⑫⑮,15, 1, アサマ,---,武士沢, 5.3,-24, -58, -36,15,135.7, ⑯⑯,,,,,,,,,,,,,15,13,Ｊバｰニｰズ, 63,川島信, 2.3, 50,  -9,  -5,12, 79.5, ⑫⑩
,,,,,,,,,,,,16,16, セラフィｰナ,---,田中勝, 5.5,-28, -34, -60,11, 47.8, ⑩⑮,,,,,,,,,,,,,16, 6,Ｌディアアスペン, 56,松若風, 2.7, 46,  -6, -11,15,150.6, ⑨⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
