14年 9月28日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 9月28日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,寺泊特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8,13,Ｌデルマゴシンゾサン, 30,エスポ, 0.9, 44, -11,  -4,12, 74.9,   , 8, 2, メモリアルウッド,---,丸山元, 2.1,  4, -60,  -3, 9, 73.8, ⑧⑨, 8, 6,Ｇイルポスティｰノ, 70,西田雄, 1.5, 69,* 13, -12, 8, 52.5,①①①, 8,18,Ｌナカヤマナイト, 85,柴田善, 0.4, 85,  12,  14,16, 94.3,⑨⑨⑦
 9,15,Ｈナミカゼ, 37,伴啓太, 1.0, 42, -13,  -4, 4,  7.9,   , 9, 9, ユウシンガｰ,---,柴田善, 2.8, -8,*-57, -19, 8, 60.7, ③③, 9, 9,Ａビッグバンドジャズ, 78,エスポ, 1.6, 68,   9,  -6, 2,  3.4,⑧⑨⑩, 9,10,Ｏアドマイヤギャラン, 83,小牧太, 0.4, 87,  10,  21,10, 36.0,⑯⑮⑯
10, 9,Ｇキセキノブｰケ, 41,宮崎北, 1.0, 43,*  2, -13,14,118.6,   ,,,,,,,,,,,,,10,13,Ｃエルドリッジ, 77,柴田善, 1.7, 65,   8,  -5, 1,  2.0,⑫⑫⑫,10, 3,Ｊムスカテｰル, 86,北村友, 0.5, 84,* 14,  10,11, 39.9,②③⑤
11, 7,Ｏヨザクラフブキ, 27,柴田善, 1.0, 42, -20,* -1,11, 52.8,   ,,,,,,,,,,,,,11, 5,Ｅナムラショウリ, 72,戸崎圭, 2.0, 66,   7,  -3, 4, 10.1,⑬⑭⑭,11, 7,Ｄニュｰダイナスティ, 89,吉田隼, 0.5, 84,  12,  13, 9, 28.4,⑦⑧⑧
12,17,Ｊジュンナカヤマ, 32,吉田隼, 1.1, 41, -21,*  0, 7, 21.8,   ,,,,,,,,,,,,,12, 1,Ｎサトノキングベル, 62,蛯名正, 2.1, 65,   3,*  3,11, 67.3,⑮⑮⑮,12, 1,Ｇアスカクリチャン, 88,勝浦正, 0.5, 87,  11,  17,13, 51.7,⑩⑬⑬
13, 1,Ｆカシノタンバリン, 43,木幡初, 1.1, 39, -12,  -7,10, 43.1,   ,,,,,,,,,,,,,13, 3,Ｍエルシェロアスｰル, 65,伴啓太, 2.5, 60,* 12, -20,14,118.0,②②②,13, 2,Ｒエバｰブロッサム, 78,石橋脩, 0.5, 85,  12,  13,18,176.3,⑥⑦⑨
14, 8,Ｎラブセレナｰド, 29,長岡禎, 1.3, 38, -25,*  0,17,266.2,   ,,,,,,,,,,,,,14,10,Ｆベｰルグリｰン, 70,丸山元, 2.6, 61,  11, -18, 6, 30.0,④④④,14, 9,Ｈクランモンタナ, 87,田辺裕, 0.6, 82,* 14,   9, 3,  7.2,⑧⑤④
15, 3,Ｋホシヅキヨ, 31,嘉藤貴, 1.3, 37, -11,  -9,16,264.6,   ,,,,,,,,,,,,,15,12,Ｏコスモイノセント, 58,木幡初, 4.6, 49,  10, -33,15,183.5,⑥⑥⑦,15,12,Ｍセイクリッドバレｰ, 84,エスポ, 0.7, 84,  11,  14,17,166.9,⑭⑭⑭
16, 5,Ｃハッピｰピアス, 48,原田和, 1.3, 38, -17,  -5, 9, 30.7,   ,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｂサトノノブレス, 91,和田竜, 0.9, 80,* 14,   4, 1,  2.2,⑤④③
17,11,Ｂスｰパｰフレア, 50,嶋田純, 1.4, 35,  -9, -12, 8, 24.8,   ,,,,,,,,,,,,,,,,,,,,,,,,,17,14,Ｐトラストワン, 83,松岡正, 0.9, 83,  10,  16,15, 72.3,⑮⑰⑱
