14年 2月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 2月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■10R  芝1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
11,14, トウカイフリｰト,---,高倉稜, 2.7, 42,  -6, -16,12, 64.8,⑬⑩⑬,,,,,,,,,,,,,11, 1,Ｉライアンセンス, 57,小牧太, 3.2, 50,   2, -22,10, 56.5,⑫⑫⑫,11, 8,Ｈミリアグラシア, 74,松田大, 0.8, 70,   0,   7, 7, 17.9, ⑥⑥
12, 1, アロハフライデｰ,---,国分優, 2.7, 45, -11,  -6,15,103.9,⑭⑮⑭,,,,,,,,,,,,,12, 4,Ｌビバワｰルド, 47,デムｰ, 5.6, 39,   3, -64, 8, 23.6,⑧⑨⑪,12, 2,Ｋヤマニンブルジョン, 72,小牧太, 1.0, 70,  -3,   9,12, 32.5, ⑧⑨
13, 5, ベルモントケｰティ,---,古川吉, 2.9, 41,  -4, -23,10, 52.8,④⑥⑧,,,,,,,,,,,,,13, 3, クリスタルレｰヴ,---,尾島徹,10.1,-16, -13, -74,13,533.2,⑬⑬⑬,13,11,Ｌシゲルアケビ, 72,藤田伸, 1.3, 67, -12,  15, 8, 19.5, ⑬⑬
14, 8, シゲルサド,---,和田竜, 3.4, 39,  -5, -24, 6, 16.6,⑫⑨⑪,,,,,,,,,,,,,,,,,,,,,,,,,14,14,Ｎキングブラｰボ, 72,森一馬, 1.9, 60,  -9,   6,15,317.5, ⑫⑫
15,15, キタノナガレボシ,---,松山弘, 4.0, 37, -17,  -5,13, 83.8,⑯⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｏスマｰトアレンジ, 69,松山弘, 2.0, 61, -19,  15,13,111.0, ⑯⑮
16, 9, ラストアタック,---,北村友, 4.2, 34, -11, -18, 7, 20.7,⑦⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,16, 6,Ｐエスケイティアラ, 53,水口優, 3.2, 52, -17,   3,16,548.0, ⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-18 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-1),,,,,,,,,,,
"単勝:850円 複勝:02=300円 11=1,760円 04=1,300円 枠連:15,330円",,,,,,,,,,,,単勝:520円 複勝:10=140円 09=150円 02=110円 枠連:980円,,,,,,,,,,,,単勝:450円 複勝:10=150円 02=120円 09=190円 枠連:310円,,,,,,,,,,,,単勝:980円 複勝:07=270円 01=150円 03=510円 枠連:850円,,,,,,,,,,,
"馬連:31,640円 ワイド:02-11=7,710円 02-04=6,420円 04-11=18,070円",,,,,,,,,,,,馬連:920円 ワイド:09-10=320円 02-10=210円 02-09=230円,,,,,,,,,,,,馬連:500円 ワイド:02-10=220円 09-10=610円 02-09=310円,,,,,,,,,,,,"馬連:1,390円 ワイド:01-07=560円 03-07=2,820円 01-03=1,330円",,,,,,,,,,,
"馬単:53,570円 3連複:282,700円 3連単:1,082,090円",,,,,,,,,,,,"馬単:1,870円 3連複:580円 3連単:5,120円",,,,,,,,,,,,"馬単:1,160円 3連複:1,290円 3連単:5,660円",,,,,,,,,,,,"馬単:4,110円 3連複:9,890円 3連単:58,880円",,,,,,,,,,,
