14年 5月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 5月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ2100m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 7R  ダ1300m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
 9,15,Ｉシガｰロス, 53,横山和, 0.9, 52,  -7,  -3,10, 66.4, ⑨⑦, 9,14,Ｋタイセイデュｰク, 56,武士沢, 2.2, 56,   2,  -6, 8, 28.0,⑭⑭⑫, 9,14,Ｅオリアｰナ, 70,田中勝, 0.6, 64,  -5,   6, 5, 14.7, ⑤⑤, 9,15,Ｇヴァｰゲンザイル, 81,三浦皇, 0.7, 83,  -2,  20,10, 32.3,⑫⑫⑬
10,14,Ｆビビッドフレイム, 55,柴田善, 1.3, 49,  -5,  -8, 8, 35.7, ④⑤,10, 6,Ｉハワイアンブロｰ, 59,田中勝, 2.4, 55,   0,  -3, 6, 16.1,⑬⑬⑭,10, 6,Ａジツリキフォｰティ, 72,北村宏, 0.6, 64,  -6,   7, 1,  2.2, ⑥⑥,10, 5,Ｌシャドウバンガｰド, 75,田中勝, 0.7, 83,  -2,  20, 7, 16.8,⑩⑩⑫
11, 1,Ｎメデュｰサノヒトミ, 44,江田照, 1.5, 48,  -9,  -6,11,115.6, ⑪⑪,11, 9,Ｈリトルキング, 59,嘉藤貴, 2.7, 55,   3, -11,14,203.8,⑩⑩⑪,11, 2,Ｈシゲルリョウケンザ, 68,戸崎圭, 1.1, 59,  -6,   4, 3, 10.8, ⑧⑧,11, 7,Ｉネオブラックダイヤ, 77,柴田善, 0.7, 80,  -2,  17,12, 51.2,⑧⑧⑨
12,10,Ｂシゲルイシカリ, 62,石橋脩, 1.5, 48,  -6,  -8, 5, 13.8, ⑩⑧,12,11,Ｊワイマン, 58,柴田未, 2.7, 53,   4, -16,13,181.3,⑥⑥⑧,12,12,Ｉショウナンサッチモ, 68,嘉藤貴, 1.3, 59, -10,   6,13, 86.5, ⑮⑭,12, 2,Ｊマイネルサンオペラ, 77,柴田大, 0.8, 79,* -1,  12,13, 73.2,⑬⑬⑥
13, 3,Ｐインパルスガｰル, 38,田辺裕, 1.6, 47, -12,  -2,12,132.8, ⑯⑯,13, 4,Ｌウインドオブケン, 55,田辺裕, 3.4, 49,  -2,  -6, 7, 25.7,⑮⑮⑮,13, 8,Ｐカワキタテンザン, 56,西田雄, 1.3, 59,  -7,   3,16,373.9, ⑨⑩,13,13,Ｋメイショウジンム, 77,吉田豊, 0.9, 79,  -2,  14,14,185.6,⑨⑨⑩
14, 8,Ｏラララ, 43,大庭和, 1.6, 49, -11,  -3,16,369.2, ⑮⑭,14, 1,Ｎディｰプフォンテン, 51,三浦皇, 4.7, 43,*  6, -37,12,161.9,③③③,14, 7,Ｎクリｰンオトコギ, 58,江田照, 1.3, 59,  -8,   5,15,176.4, ⑬⑫,14, 1,Ｏトｰセンハルカゼ, 65,石橋脩, 1.0, 79,  -2,  15, 9, 27.7,⑮⑭⑭
15, 9,Ｍスズプリンセス, 44,武士沢, 2.5, 40, -10, -12,13,147.1, ⑭⑮,15, 8,Ｏハヤブサキセキ, 39,井上敏, 6.4, 37,   0, -39,15,287.2,⑨⑪⑬,15, 4,Ｍタニセンダイナスト, 65,武士沢, 1.4, 58,  -9,   5,14, 93.9, ⑫⑬,15, 9,Ａシャイニｰハｰツ, 92,内田博, 1.1, 80,  -4,  17, 6, 13.8,⑭⑮⑮
16,13,Ｌスズカプリティｰ, 48,二本柳, 2.6, 40,  -9, -14,14,170.7, ⑬⑬,,,,,,,,,,,,,16, 3,Ｏニシノニカ, 56,蛯名正, 1.9, 52,* -2,  -8,12, 68.1, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:1),,,,,,,,,,,
"単勝:1,070円 複勝:11=310円 07=280円 12=2,770円 枠連:3,070円",,,,,,,,,,,,単勝:250円 複勝:13=120円 02=200円 05=150円 枠連:520円,,,,,,,,,,,,単勝:340円 複勝:01=200円 05=770円 15=810円 枠連:280円,,,,,,,,,,,,"単勝:560円 複勝:04=230円 10=570円 08=210円 枠連:4,730円",,,,,,,,,,,
"馬連:3,140円 ワイド:07-11=1,030円 11-12=16,010円 07-12=19,200円",,,,,,,,,,,,"馬連:1,040円 ワイド:02-13=420円 05-13=240円 02-05=480円",,,,,,,,,,,,"馬連:5,580円 ワイド:01-05=1,830円 01-15=1,870円 05-15=8,140円",,,,,,,,,,,,"馬連:7,250円 ワイド:04-10=2,190円 04-08=830円 08-10=2,470円",,,,,,,,,,,
"馬単:8,180円 3連複:130,430円 3連単:591,900円",,,,,,,,,,,,"馬単:1,580円 3連複:1,080円 3連単:4,690円",,,,,,,,,,,,"馬単:8,110円 3連複:44,690円 3連単:171,230円",,,,,,,,,,,,"馬単:14,070円 3連複:21,690円 3連単:127,280円",,,,,,,,,,,
■ 2R  ダ1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  ダ1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾟﾘﾝｼﾊﾟﾙｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａキネオレジェンド, 67,北村宏,, 63,* -2,   4, 1,  2.0, ②②, 1, 4,Ｐメドウヒルズ, 41,吉田豊,, 74,*  3,*  2, 5, 12.9, ②②, 1, 4,Ａサンリットレイク, 76,北村宏,, 70,*  1,  10, 1,  2.8, ①①, 1, 9,Ａベルキャニオン, 84,戸崎圭,, 80,   1,* 18, 1,  1.6,⑧⑨⑧
 2, 5,Ｃオウトラヴェス, 63,石橋脩, 0.2, 63,  -3,   5, 2,  5.3, ④④, 2, 2,Ｅマイネルシェルト, 59,柴田大, 0.5, 69,  -2,*  4, 4,  8.5, ⑦⑧, 2, 3,Ｊエピロｰグブリッジ, 67,蛯名正, 0.2, 69,   0,  11, 4,  7.9, ③④, 2,11,Ｄキネオペガサス, 74,蛯名正, 0.1, 79,*  3,* 12, 2,  4.9,③④④
 3,14,Ｅガラパゴス, 61,横山典, 0.4, 61,  -4,   5, 4,  7.8, ⑧⑦, 3, 1,Ａゴｰストペッパｰ, 64,田辺裕, 0.7, 64,  -5,*  5, 1,  3.3, ⑭⑫, 3, 2,Ｄエルヘイロｰ, 73,内田博, 0.2, 71,  -3,* 16, 6, 11.5, ⑩⑩, 3, 5,Ｃメイクアップ, 77,内田博, 0.5, 76,   2,  10, 6, 17.8,⑥⑤⑤
 4,12,Ｂメイクザカット, 64,田辺裕, 0.4, 61,  -8,* 11, 5,  8.5, ⑭⑮, 4, 6,Ｄブルｰホｰル, 59,横山和, 0.7, 63,*  4,  -8, 7, 13.8, ①①, 4,11,Ｂニュｰハウン, 73,戸崎圭, 0.3, 67,  -1,  11, 2,  3.1, ⑦⑥, 4, 6,Ｌアンヴェイルド, 61,三浦皇, 0.5, 76,   1,* 12,11,111.2,⑨⑧⑩
 5,10,Ｄポッドジョｰカｰ, 62,戸崎圭, 0.5, 61,  -7,*  9, 3,  6.2, ⑬⑫, 5,18,Ｂサクラカルナバル, 63,田中勝, 0.8, 62,*  2,  -8, 2,  3.4, ④④, 5, 7,Ｅモンプレジｰル, 73,江田照, 0.4, 70,  -2,  13, 5,  8.8, ⑨⑨, 5,10,Ｇトップアｰト, 68,柴田善, 0.5, 76,   3,   9, 8, 42.0,⑦⑦⑦
 6,11,Ｈバイタルワンダｰ, 56,吉田豊, 0.7, 59,  -2,   0, 6, 21.0, ③③, 6,14,Ｇマルｰンドロップ, 50,三浦皇, 0.8, 64,  -5,*  3, 6, 13.2, ⑪⑬, 6, 9,Ｃアンルｰリｰ, 73,大野拓, 0.5, 68,  -1,   9, 3,  6.5, ⑥⑤, 6,12,Ｆシングンジョｰカｰ, 70,武士沢, 0.7, 74,   2,   7,10, 82.4,⑤⑥⑥
 7, 9,Ｆテイエムコンドル, 60,嘉藤貴, 0.8, 60,  -4,   3,13,156.7, ⑦⑧, 7, 3,Ｆディｰルフロｰ, 55,戸崎圭, 1.1, 60,  -6,*  2, 3,  7.3, ⑱⑱, 7, 8,Ｉアルマベルヴァ, 67,石橋脩, 0.6, 65,*  1,   6, 7, 27.9, ④③, 7, 2,Ｍタケルファラオ, 59,吉田豊, 0.8, 72,*  3,   2,14,249.1,④③③
 8, 1,Ｇキタサンダイチ, 57,大野拓, 1.4, 56,  -5,  -1, 7, 32.5, ⑩⑩, 8, 5,Ｉダイワインテンス, 47,北村宏, 1.4, 55,  -1, -13, 9, 17.8, ⑤⑥, 8, 6,Ｆクリノコトノオｰ, 71,井上敏, 0.6, 68,  -3,  11, 8, 31.9, ⑧⑧, 8, 8,Ｅワｰドイズボンド, 72,石橋脩, 0.8, 70,*  5,  -2, 3, 11.4,②②②
 9, 8,Ｎコクシブルｰス, 42,石川裕, 1.6, 52,*  0, -12,11,127.0, ①①, 9,10,Ｃダイメイグリン, 59,嘉藤貴, 1.5, 54,*  2, -17, 8, 15.7, ③③, 9,10,Ｇアプロｰチミｰ, 70,横山和, 0.8, 64,*  1,   4,10,176.0, ②②, 9, 4,Ｎアカノジュウハチ, 57,田中勝, 0.9, 72,  -1,  10,12,121.7,⑬⑫⑫
10,15,Ｉセンノイギダｰ, 55,武士沢, 1.7, 52,  -4,  -5,10,105.3, ⑨⑨,10,12,Ｈマスソングウインド, 48,二本柳, 1.7, 53,  -4, -11,12,184.4, ⑮⑭,10, 1,Ｋスズカロｰドスタｰ, 65,二本柳, 1.3, 63,  -1,   5, 9, 64.7, ⑤⑦,10,14,Ｋナイフリッジ, 61,横山和, 1.1, 69,   0,   8,13,158.5,⑫⑪⑪
11, 7,Ｌレッドロｰズキング, 46,柴田未, 2.0, 51,  -7,  -4,12,153.8, ⑫⑬,11,11,Ｑキンノタマゴ, 37,柴田善, 2.1, 50,  -5, -14,11, 65.4, ⑨⑮,,,,,,,,,,,,,11, 3,Ｂファｰガソン, 77,江田照, 1.2, 68,  -2,   8, 5, 15.8,⑭⑭⑭
12,16,Ｊバンダムギムレット, 49,横山和, 2.3, 49,  -3, -11,16,394.4, ⑥⑥,12,13,Ｎカシノバル, 44,西田雄, 2.3, 46,  -1, -24,16,239.7, ⑩⑦,,,,,,,,,,,,,12, 7,Ｊファドｰグ, 64,北村宏, 1.3, 68,  -2,   7, 4, 12.4,⑪⑬⑬
13,13,Ｍクラシックヤンキｰ, 46,江田照, 2.4, 47,  -4, -13,14,251.4, ⑤⑤,13,16,Ｍピｰクドラペル, 45,江田照, 2.6, 43,  -2, -25,18,381.5, ⑫⑪,,,,,,,,,,,,,13, 1,Ｉトｰセンミラｰジュ, 66,横山典, 1.5, 60,*  5, -12, 9, 44.6,①①①
14, 2,Ｏボンドマティｰニ, 38,田中勝, 2.4, 48,  -8,  -6, 9, 74.8, ⑮⑭,14, 9,Ｏハシルヨアカルク, 43,井上敏, 2.6, 44,  -2, -25,14,217.7, ⑧⑨,,,,,,,,,,,,,14,13,Ｈマリｰナベイ, 66,田辺裕, 2.0, 58,   1, -11, 7, 25.6,⑩⑩⑨
15, 3, ウインエタｰナル,---,柴田大, 2.8, 47, -11,  -5, 8, 34.0, ⑯⑯,15,15,Ｒピンクパｰル, 36,大庭和, 3.1, 37,*  2, -40,17,296.1, ⑬⑤,,,,,,,,,,,,,,,,,,,,,,,,
16, 4,Ｋブラックグランデ, 47,西田雄, 3.4, 41,  -5, -18,15,332.1, ⑪⑪,16, 8,Ｋドｰタン, 46,柴田未, 3.2, 37,  -6, -27,15,231.0, ⑰⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,17,Ｌブリリアントミノル, 45,武士沢, 3.4, 36,  -2, -37,10, 50.7, ⑥⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 7,Ｊトミケンユオスタ, 46,石川裕, 3.6, 32,  -7, -35,13,198.9, ⑯⑰,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,
単勝:200円 複勝:06=120円 05=140円 14=160円 枠連:500円,,,,,,,,,,,,"単勝:1,290円 複勝:04=380円 02=240円 01=170円 枠連:630円",,,,,,,,,,,,単勝:280円 複勝:04=140円 03=200円 02=210円 枠連:840円,,,,,,,,,,,,単勝:160円 複勝:09=110円 11=130円 05=240円 枠連:340円,,,,,,,,,,,
馬連:500円 ワイド:05-06=200円 06-14=290円 05-14=560円,,,,,,,,,,,,"馬連:4,840円 ワイド:02-04=1,740円 01-04=1,100円 01-02=550円",,,,,,,,,,,,"馬連:1,050円 ワイド:03-04=420円 02-04=510円 02-03=820円",,,,,,,,,,,,馬連:370円 ワイド:09-11=180円 05-09=370円 05-11=670円,,,,,,,,,,,
"馬単:740円 3連複:970円 3連単:2,930円",,,,,,,,,,,,"馬単:9,780円 3連複:6,110円 3連単:49,520円",,,,,,,,,,,,"馬単:1,730円 3連複:2,460円 3連単:9,200円",,,,,,,,,,,,"馬単:480円 3連複:1,180円 3連単:2,820円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  芝1800m 3 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 9R  芝1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1300m 4歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,高尾特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｄウラノスガッキ, 56,柴田善,, 58,*  1,  -7, 7, 34.8, ②②, 1,13,Ｅレッドシェリｰル, 65,田辺裕,, 75,  -5,* 16, 2,  3.5,⑬⑫⑫, 1,14,Ｈボンジュｰルココロ, 72,田中勝,, 77,  12,   5, 7, 17.4, ④④, 1,16,Ｊキタサンミカヅキ, 75,武士沢,, 75,   4,* 13, 8, 18.4, ⑫⑩
 2, 1,Ｅディアジｰスタｰ, 56,大野拓, 0.1, 58,  -2,  -3, 9, 48.1, ⑤④, 2, 8,Ｃハッピｰベリンダ, 69,三浦皇, 0.0, 75,  -4,* 14, 4, 15.5,⑧⑩⑨, 2,17,Ｂジョｰオリオン, 77,吉田豊, 0.1, 74,* 24, -15, 1,  3.8, ①①, 2,14,Ａノウレッジ, 82,蛯名正, 0.1, 74,   6,  10, 1,  2.9, ⑧⑧
 3, 4,Ｇハイエストスフィア, 55,北村宏, 0.1, 57,*  2,  -9, 8, 39.0, ①①, 3, 5,Ａアンジェリック, 75,横山典, 0.3, 68,  -2,   6, 3,  3.9,④⑤⑤, 3,10,Ｉラインロバｰト, 70,江田照, 0.4, 73,   4,  10,13, 79.6, ⑨⑧, 3, 5,Ｆミルキｰブロｰド, 78,大野拓, 0.2, 73,   7,   8, 2,  4.3, ④⑥
 4,11,Ａタニタニ, 67,田中勝, 0.2, 55,  -9,*  4, 2,  3.8, ⑪⑩, 4, 6,Ｂダイワレジェンド, 71,北村宏, 0.3, 71,  -4,   9, 1,  2.8,⑤⑧⑩, 4,11,Ｆレッドエレンシア, 74,三浦皇, 0.4, 74,   8,   5, 3,  6.2, ⑤⑤, 4,15,Ｄタガノトネｰル, 79,三浦皇, 0.4, 71,   8,   5, 3,  8.6, ⑤④
 5, 8,Ｈモリトハリウッド, 54,吉田豊, 0.2, 55,  -7,*  1, 6, 27.9, ⑨⑨, 5, 9,Ｆコスモツケマ, 63,柴田大, 0.3, 71,*  0,   2, 9, 29.3,⑥③③, 5,12,Ｎスズノフウジン, 67,石橋脩, 0.5, 72,   7,   5, 8, 20.4, ⑥⑥, 5,12,Ｎジョｰジジョｰジ, 71,嘉藤貴, 0.4, 72,   6,   7,15,150.6, ⑪⑦
 6,10,Ｍリネンアイアン, 47,柴田未, 0.7, 52,  -5,  -5,13,126.6, ⑧⑧, 6, 7,Ｉレインボｰラヴラヴ, 62,大野拓, 0.4, 68,*  1,  -1,11, 59.8,③②②, 6, 4,Ｊシャドウエミネンス, 70,戸崎圭, 0.5, 72,   2,  11, 6, 13.1, ⑩⑨, 6, 8,Ｈジャｰグラット, 77,石橋脩, 0.5, 72,   0,* 14, 9, 21.2, ⑭⑮
 7,14,Ｌタイキビスタ, 48,井上敏, 0.8, 50, -13,*  4,15,246.5, ⑮⑭, 7, 4,Ｇハツガツオ, 63,武士沢, 0.5, 68,*  2,  -4, 6, 23.9,①①①, 7,13,Ｇシルバｰレイショウ, 73,横山和, 0.6, 71,  -3,* 17,12, 48.9, ⑯⑯, 7, 3,Ｇビｰビｰボイジャｰ, 77,江田照, 0.5, 71,   5,   7,11, 30.8, ⑦⑨
 8,15,Ｂバリス, 65,横山典, 0.8, 51,*  0, -13, 1,  1.7, ③③, 8, 1,Ｄブライティアスタｰ, 67,江田照, 0.6, 66,  -1,   0, 7, 24.0,②④④, 8, 7,Ａショウナンダイチ, 79,柴田善, 0.6, 71,   4,   6, 2,  4.2, ⑧⑦, 8, 9,Ｅイｰグルカザン, 78,柴田大, 0.8, 69,   1,   9, 5,  9.8, ⑮⑭
 9,13,Ｃマルヨグラス, 57,田辺裕, 1.1, 49,  -7,  -4,12,122.1, ⑩⑪, 9, 3,Ｊアラマサクロフネ, 61,吉田豊, 0.9, 66,  -5,   3,10, 29.7,⑪⑪⑪, 9, 3,Ｃキネオピュｰマ, 76,北村宏, 0.9, 69,  -3,* 13, 4,  6.8, ⑬⑮, 9, 6,Ｌリバティｰアゲイン, 72,田中勝, 0.9, 68,   2,   7,10, 28.8, ⑬⑬
10,16,Ｐスズカプリオｰル, 34,武士沢, 1.2, 47, -11,  -1,11, 82.4, ⑫⑫,10,10,Ｍベストリｰダｰ, 57,蛯名正, 1.6, 56,  -2, -11, 8, 26.3,⑩⑨⑦,10, 9,Ｍアブマｰシュ, 69,内田博, 1.0, 67,   0,   7,10, 30.6, ⑫⑫,10, 1,Ｏスワンボｰト, 69,横山典, 1.2, 65,  -5,* 13,12, 36.7, ⑯⑯
11, 5,Ｉトウカイリｰブル, 54,江田照, 1.2, 48,  -4, -11,10, 57.0, ⑦⑦,11,11,Ｌエスティレジェンド, 60,内田博, 1.7, 55,  -1, -16,12, 65.8,⑨⑥⑥,11, 8,Ｐキンショｰユウジャ, 63,柴田未, 1.1, 63,  13, -13,15,106.1, ③③,11, 2,Ｍオリオンザプラズマ, 72,田辺裕, 1.3, 64,   3,   4,13, 93.2, ⑨⑪
12,12,Ｋサクラスマｰト, 48,戸崎圭, 1.4, 45,  -3, -15, 4, 20.0, ④⑥,12,12,Ｈカッテ, 62,田中勝, 2.2, 50,  -5, -16,13,159.3,⑫⑬⑬,12,15,Ｌプロスペラスマム, 70,井上敏, 1.1, 65,   3,   2,17,415.1, ⑪⑩,12,11,Ｂアランルｰス, 80,井上敏, 1.5, 62,   8,  -4, 7, 16.4, ⑥⑤
13, 6,Ｊダイワアンビシャス, 49,三浦皇, 2.7, 36,  -2, -27, 3,  7.0, ⑥⑤,13, 2,Ｋマイネグラティア, 60,戸崎圭, 2.3, 49,  -3, -20, 5, 15.8,⑦⑦⑧,13, 6,Ｏダイワスペシャル, 65,柴田大, 1.1, 67,   0,   6, 9, 20.9, ⑭⑪,13, 7,Ｋトｰホウペガサス, 73,吉田豊, 1.5, 62,   8,  -5,14, 95.7, ②③
14, 3,Ｎゴｰルデンドラゴン, 39,横山和, 2.7, 35, -15, -10,14,178.7, ⑯⑮,,,,,,,,,,,,,14,16,Ｋブリリアントアスク, 70,武士沢, 1.1, 67,   1,   6,14, 96.8, ⑮⑬,14, 4,Ｐブライテン, 65,石川裕, 1.5, 62,   3,   1,16,151.7, ⑩⑫
