14年11月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ2100m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｉメイショウサワヤカ, 51,柴田善,, 62,  -4,* -5, 3,  6.4, ④⑥, 1, 8, マｰセラス,---,柴山雄,, 61, -21,*  9, 1,  3.3, ④④, 1,15,Ｋラジオデイズ, 66,北村宏,, 72,   1,* 11, 3,  6.4, ⑥⑥, 1,11,Ｂジョヴァンニ, 92,藤岡佑,, 89,  10,  19,10, 27.6, ④③
 2,14,Ａホワイトウインド, 65,柴田大, 0.2, 61,*  0, -13, 4,  7.3, ③②, 2, 7, リュウノｰスジョイ,---,北村宏, 0.0, 60,*-20,*  6, 8, 22.6, ③②, 2, 4,Ｆエルシェロアスｰル, 70,井上敏, 0.0, 71,*  2,   9, 9, 25.0, ②②, 2, 2,Ｄレｰザｰバレット, 90,横山典, 0.1, 89,   8,* 21, 6, 14.6, ⑧⑩
 3, 4,Ｇスマイルミｰティア, 52,内田博, 0.4, 58,  -3,*-10, 1,  2.5, ⑧⑦, 3,12, トエハタエ,---,横山和, 0.7, 48,*-17,  -6, 2,  3.3, ①①, 3, 1,Ｇコンプリｰトゲｰム, 69,後藤浩, 0.3, 68,   1,   8, 5, 12.4, ⑤⑤, 3, 5,Ｅシセイオウジ, 90,丸田恭, 0.6, 85,   4,* 22, 9, 23.2, ⑯⑮
 4,11,Ｈクリｰミｰボイス, 51,戸崎圭, 0.4, 58,* -1, -12, 2,  5.5, ⑥④, 4, 1, シングンパワｰ,---,武士沢, 0.8, 51, -21,  -2, 5,  9.3, ②③, 4,16,Ｃショウナンマルシェ, 72,柴田善, 0.5, 65,   1,   5, 1,  2.6, ④④, 4,15,Ｉキクノストｰム, 87,内田博, 0.7, 84,   9,  13, 5,  9.7, ⑨⑥
 5, 5,Ｅタイムフォラヴ, 57,柴山雄, 0.6, 55,  -2, -14, 6, 14.0, ⑤⑤, 5, 6, サンチェロキｰ,---,田中博, 0.9, 52, -29,*  7, 6, 14.7, ⑩⑪, 5, 8,Ｄファストソング, 70,丸田恭, 0.6, 66,  -3,* 11,11, 46.3, ⑪⑩, 5, 6,Ｎシンボリエンパイア, 82,柴田善, 0.7, 84,   7,  18, 3,  7.1, ⑪⑫
 6, 7,Ｂモンサンビアンカ, 61,横山典, 0.8, 52,  -3, -15, 5,  8.7, ⑨⑧, 6, 2, キタノリュウセイ,---,吉田豊, 1.1, 47, -22,  -4, 3,  7.0, ⑤⑤, 6,12,Ｂグランドサッシュ, 73,津村明, 0.7, 69,  -1,   8, 2,  4.2, ⑧⑨, 6,10,Ｈカネトシイナｰシャ, 87,後藤浩, 0.7, 84,   9,  15,12, 42.7, ⑫⑨
 7, 8,Ｃプラチナムスタング, 60,横山和, 0.8, 50,  -9,* -9,12,107.1, ⑬⑬, 7, 5, ドｰテ,---,江田照, 1.2, 48, -27,   2, 9, 28.3, ⑨⑩, 7, 5,Ｉコアレスキング, 67,大野拓, 0.7, 66,   1,   3,13, 57.9, ③③, 7,13,Ａブライトライン, 92,丸山元, 0.8, 83,   9,  13, 2,  4.2, ⑦⑤
 8,13,Ｋハｰベストソング, 47,松岡正, 1.0, 53,*  2, -24, 9, 31.9, ①①, 8, 4, トキメキグレｰス,---,丸田恭, 1.4, 43, -26,  -3, 7, 22.2, ⑦⑧, 8, 2,Ｅホクレアポパイ, 70,木幡初, 0.7, 70,  -4,* 15, 6, 21.5, ⑮⑮, 8, 9,Ｇエアウルフ, 88,北村宏, 1.0, 82,  10,  12, 4,  7.1, ⑥⑧
 9,12,Ｏコｰリンブリリアン, 40,石橋脩, 1.0, 50,  -9,*-10,10, 59.9, ⑯⑰, 9, 9, ラインキュｰト,---,的場勇, 1.4, 47, -31,   4,11, 43.8, ⑫⑫, 9, 9,Ａブルｰバレット, 74,長岡禎, 0.8, 66,*  3,   0, 4,  7.4, ①①, 9, 3,Ｆツクバコガネオｰ, 89,吉田豊, 1.0, 81,   5,  17,11, 33.4, ⑭⑭
10,10,Ｊプラセンタ, 51,二本柳, 1.1, 49,  -9, -13,14,160.6, ⑰⑮,10,11, ショウナンランボ,---,戸崎圭, 1.7, 39, -26,  -7, 4,  7.4, ⑪⑨,10,11,Ｎホワイトクリスマス, 61,柴山雄, 1.2, 61,  -1,   3,15,169.2, ⑨⑦,10, 4,Ｊナイトフッド, 86,大野拓, 1.0, 83,   6,  16,14, 64.5, ⑮⑬
11, 6,Ｐポッドウェｰブ, 37,大野拓, 1.3, 47,  -8, -14,18,512.7, ⑮⑯,11, 3, スｰパｰテノｰル,---,大野拓, 2.3, 29, -24, -19,12, 54.5, ⑥⑥,11, 7,Ｌデスティニｰラブ, 64,石川裕, 1.8, 58,  -1,  -2, 8, 24.8, ⑦⑧,11,12,Ｍメイショウマシュウ, 85,柴田大, 1.1, 82,   8,  13,13, 42.8, ⑩⑪
12, 1,Ｄエイプリルラヴ, 57,西田雄, 1.3, 49,*  0, -24,11, 78.6, ②③,12,10, シゲルヨサコイ,---,後藤浩, 2.8, 22, -24, -26,10, 29.8, ⑧⑦,12,13,Ｏベストブライアン, 58,石橋脩, 1.9, 58,  -2,   0,14,123.3, ⑫⑫,12,14,Ｃガンジス, 90,戸崎圭, 1.2, 80,  10,   8, 1,  3.8, ③④
13,18,Ｎヒノキノカホリ, 42,丹内祐, 1.4, 45,  -6, -19,13,158.1, ⑪⑩,,,,,,,,,,,,,13,14,Ｐラクルｰス, 52,伴啓太, 2.0, 58,  -4,   2,16,409.6, ⑭⑭,13, 8,Ｌサトノプライマシｰ, 86,石橋脩, 1.6, 76,   9,   6, 7, 16.8, ⑤⑦
14,15,Ｆカレリア, 56,木幡初, 1.4, 45,  -5, -21, 8, 31.5, ⑩⑫,,,,,,,,,,,,,14, 6,Ｊベｰルグリｰン, 67,丸山元, 2.3, 55,  -3,  -3, 7, 22.5, ⑬⑬,14, 1,Ｐサクラインザスカイ, 79,四位洋, 1.9, 76,* 12,  -1, 8, 19.9, ①①
15,17,Ｑウインニルヴァｰナ, 37,原田和, 1.4, 45,  -6, -19,16,267.0, ⑫⑪,,,,,,,,,,,,,15,10,Ｍランザン, 63,内田博, 2.3, 55,  -3,  -3,12, 56.3, ⑩⑪,15, 7,Ｏナリタスプリング, 82,高倉稜, 2.3, 72,   4,   6,15, 82.6, ⑬⑯
16, 9,Ｍキタノマドンナ, 42,北村宏, 1.5, 44,  -9, -18, 7, 14.2, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｋシゲルソウサイ, 86,松岡正, 2.6, 68,* 12,  -6,16,147.9, ②②
17, 3,Ｌカナラズカナラズ, 43,伴啓太, 2.1, 38,  -5, -30,15,169.6, ⑦⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,16,Ｒジャイアントレｰヌ, 33,岩部純, 2.2, 37, -12, -22,17,482.9, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,
"単勝:640円 複勝:02=170円 14=190円 04=120円 枠連:1,600円",,,,,,,,,,,,"単勝:330円 複勝:08=140円 07=420円 12=150円 枠連:4,040円",,,,,,,,,,,,"単勝:640円 複勝:15=310円 04=680円 01=550円 枠連:1,440円",,,,,,,,,,,,"単勝:2,760円 複勝:11=840円 02=590円 05=500円 枠連:7,980円",,,,,,,,,,,
"馬連:2,080円 ワイド:02-14=570円 02-04=250円 04-14=360円",,,,,,,,,,,,"馬連:4,000円 ワイド:07-08=1,080円 08-12=290円 07-12=1,560円",,,,,,,,,,,,"馬連:9,910円 ワイド:04-15=3,290円 01-15=2,260円 01-04=4,470円",,,,,,,,,,,,"馬連:23,980円 ワイド:02-11=5,850円 05-11=8,530円 02-05=4,610円",,,,,,,,,,,
"馬単:3,940円 3連複:1,520円 3連単:13,690円",,,,,,,,,,,,"馬単:5,890円 3連複:4,310円 3連単:30,780円",,,,,,,,,,,,"馬単:15,510円 3連複:49,530円 3連単:223,290円",,,,,,,,,,,,"馬単:46,440円 3連複:152,900円 3連単:846,430円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1600m 2 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,赤松賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,17,Ｍキングイマデショウ, 40,横山典,, 57,*-11,  -4,12, 69.7,①①①, 1, 7, ノンコノユメ,---,石川裕,, 66, -14,* 19, 2,  3.6, ⑧⑦, 1, 3,Ｄディアマイダｰリン, 60,横山典,, 71, -12,* 15, 4,  6.6, ⑥⑤, 1, 3,Ｂロンギングゴｰルド, 81,横山和,, 76,  11,*  2, 3,  6.5,⑧⑩⑩
 2,11,Ｄヴァンガｰドシチｰ, 52,後藤浩, 0.1, 57, -14,  -1, 1,  2.2,⑫④④, 2, 9, ラテラス,---,北村宏, 0.1, 64,*-11,* 14, 1,  2.9, ③③, 2, 2,Ｃテンダリｰヴォイス, 63,北村宏, 0.0, 72, -11,  12, 3,  5.7, ③③, 2, 2,Ｃスパｰブデイ, 79,大野拓, 0.0, 76,* 16,  -9, 4,  7.0,①②②
 3, 4,Ｃレイニングバイオ, 52,大野拓, 0.1, 60, -14,   0, 2,  5.0,⑭⑨⑥, 3, 3, ハｰランズキング,---,戸崎圭, 0.9, 57,*-11,   7, 4,  8.0, ②②, 3, 6,Ｅカｰビングパス, 59,柴山雄, 0.1, 71, -12,* 15, 1,  2.4, ⑦⑥, 3,11,Ｇウインオリアｰト, 72,戸崎圭, 0.0, 78,  10,*  6, 5,  7.8,⑫⑬⑭
 4,16,Ｇダイアウルフ, 48,松岡正, 0.1, 62, -15,*  3, 3,  7.9,⑱⑪⑨, 4,11, マイグレｰトレルム,---,大野拓, 1.1, 58, -14,  10, 3,  4.9, ⑦⑧, 4, 1,Ｉメイショウメイゲツ, 54,柴田善, 0.3, 70, -15,* 15, 8, 22.7, ⑩⑨, 4, 1,Ｅシャンボｰルフィズ, 73,柴田善, 0.1, 77,* 15,  -7,10, 25.0,③④④
 5, 1,Ｋミュゼゴｰスト, 44,北村宏, 0.3, 58, -15,   0, 6, 15.1,⑤⑤⑦, 5, 5, トｰアチチカカ,---,藤岡佑, 1.1, 55, -12,   7, 6, 13.4, ④⑤, 5, 4,Ｆホワイトエレガンス, 56,松岡正, 0.3, 66,* -7,   2,10, 43.8, ①①, 5,17,Ａパリカラノテガミ, 82,松岡正, 0.1, 78,  11,   1, 2,  5.2,⑬⑪⑪
 6,13,Ａソルティコメント, 54,柴山雄, 0.3, 57, -15,  -1, 7, 20.2,⑧⑧⑧, 6,10, スマｰトガｰル,---,後藤浩, 1.8, 49, -12,   0, 5,  8.7, ⑤④, 6, 5,Ｇギンザヴィクトリア, 56,吉田豊, 0.5, 70, -15,  14, 9, 33.8, ⑧⑩, 6,16,Ｈマイネルコランダム, 71,嘉藤貴, 0.2, 75,   8,*  5,15, 94.5,⑮⑮⑮
 7,12,Ｌレオロフティｰ, 43,江田照, 0.4, 54,*-12,  -7,11, 60.7,④③②, 7, 2, ボｰディシア,---,石橋脩, 1.9, 48,*-11,  -2, 8, 22.5, ①①, 7, 9,Ａダイワバｰチュｰ, 66,後藤浩, 0.5, 63, -11,   6, 2,  4.6, ④④, 7, 8,Ｆマイネルイルミナル, 73,柴田大, 0.3, 75,  14,  -7,11, 29.6,⑥⑥⑦
 8, 2,Ｑマイネルガｰデン, 32,丹内祐, 0.6, 56, -18,   0,15,277.1,⑩⑦⑩, 8, 8, ブラッシングスタｰ,---,内田博, 2.7, 43, -13,  -6, 7, 21.2, ⑥⑥, 8,11,Ｂノットフォｰマル, 65,戸崎圭, 0.7, 65, -18,* 15, 6, 17.5, ⑪⑪, 8,10,Ｑドリｰムリヴァｰル, 63,原田和, 0.3, 75,  10,   0,16,144.3,⑭⑭⑫
 9,18,Ｆマイネルインプレス, 49,柴田大, 0.6, 60, -20,*  6, 8, 26.5,⑯⑰⑯, 9, 1, コスモブレイクスル,---,柴田大, 3.4, 40, -16,  -8,10, 83.5, ⑨⑩, 9,10,Ｈアドマイヤピンク, 56,内田博, 0.8, 63, -14,   6, 5, 12.6, ⑨⑧, 9, 4,Ｍキｰンソｰド, 67,柴山雄, 0.5, 70,* 15, -14, 8, 22.0,②③③
10, 3,Ｂナンヨｰピュｰピル, 52,柴田善, 0.8, 54, -19,   0, 4,  8.2,⑥⑫⑫,10, 6, ソラトブライオン,---,丸山元, 3.9, 35, -15, -13,11,131.2, ⑩⑨,10, 7,Ｊテイエムフタエマル, 52,大野拓, 1.0, 56,*-10,  -4,11, 69.8, ②②,10,12,Ｉマンインザムｰン, 71,後藤浩, 0.5, 70,* 15, -13, 1,  4.1,⑤⑤⑤
11, 7,Ｈタマヨリモハヤク, 45,丸山元, 0.9, 47, -14, -13,14,245.5,②②③,11, 4, アポロムサシ,---,長岡禎, 6.1, 21, -19, -26, 9, 83.4, ⑪⑪,11, 8,Ｋマラケシュ, 48,柴田大, 1.7, 49, -13, -10, 7, 21.1, ⑤⑦,11, 5,Ｊノアミラクル, 71,江田照, 0.6, 72,  10,  -4,14, 63.8,⑩⑫⑬
12,14,Ｒトｰセンバラｰド, 29,菅原隆, 1.1, 49, -18,  -6,17,421.8,⑨⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,,12, 9,Ｒマサノマリリン, 62,長岡禎, 0.7, 68,  13, -15,12, 30.1,④⑦⑥
13, 8,Ｉクワドルｰプル, 45,内田博, 1.1, 46, -14, -14, 9, 33.5,③⑥⑤,,,,,,,,,,,,,,,,,,,,,,,,,13,14,Ｏエクスペリエンス, 64,木幡初, 0.8, 69,  13, -13,17,173.9,⑦⑨⑨
14,15,Ｏワンパクチョウサン, 33,戸崎圭, 1.2, 49, -19,  -4,10, 37.3,⑮⑮⑭,,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｄアドマイヤイチバン, 75,内田博, 0.9, 68,  12, -14,13, 45.4,⑨⑧⑧
15, 6,Ｐディアジグムント, 32,石川裕, 2.5, 32, -21, -22,18,428.6,⑪⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｎクワトロガッツ, 67,北村宏, 1.0, 68,   7,  -4, 6, 12.5,⑯⑯⑯
16, 9,Ｊリバティ, 45,藤岡佑, 2.5, 32, -22, -19,13,197.5,⑰⑱⑰,,,,,,,,,,,,,,,,,,,,,,,,,16,18,Ｐサクラプレミア, 64,横山典, 1.7, 57,* 16, -35, 9, 24.2,⑪①①
17, 5,Ｎウエイブ, 33,小野寺, 2.6, 34, -21, -18,16,359.8,⑬⑯⑱,,,,,,,,,,,,,,,,,,,,,,,,,17, 7,Ｋスマｰトルピナス, 68,丸山元, 2.0, 58,   3,  -8,18,217.5,⑱⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 6,Ｌモンサンカノｰプス, 68,四位洋, 2.7, 50,   5, -25, 7, 16.6,⑰⑰⑰
