14年 3月30日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 3月30日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  芝2200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝1400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
 9,15,Ｄモネノカガヤキ, 54,小牧太, 1.7, 53,   5, -24, 8, 29.0,⑩④⑤, 9,11,Ｏストレイトウェザｰ, 44,国分恭, 1.4, 52,  -3,  -5,12, 87.0, ⑩⑩,,,,,,,,,,,,, 9,13,Ｎヒラボクインパクト, 78,中井裕, 0.6, 76,  19,*-10,13, 36.1, ⑯⑯
10, 1,Ｋリｰブイットゥミｰ, 44,中井裕, 2.2, 49,   2, -24,14,244.8,⑫⑫⑫,10,16,Ｍヒシエクストリｰム, 49,北村友, 1.5, 53,   0, -10, 8, 13.4, ⑦⑧,,,,,,,,,,,,,10,18,Ｃキョウエイアシュラ, 85,中谷雄, 0.7, 76,  23, -16,16, 97.7, ⑪⑪
11, 4,Ｊクｰルエンゲｰジ, 47,小林徹, 2.4, 45,*  5, -33,13,143.2,②②②,11, 7,Ｂセンティグレｰド, 62,藤岡佑, 1.5, 51,  -8,   1, 4,  7.8, ⑭⑬,,,,,,,,,,,,,11, 3,Ｐサカジロロイヤル, 77,鮫島良, 0.7, 79,* 31, -27, 9, 29.0, ④③
12, 3,Ｈヤマニンジゼル, 53,城戸義, 3.6, 39,   3, -39,10, 55.4,④⑦⑪,12, 4,Ｊシゲルオウミ, 51,秋山真, 2.8, 42,   2, -23,14,155.1, ④⑤,,,,,,,,,,,,,12, 2,Ｄシルクオフィサｰ, 84,国分優, 0.8, 75,  26, -21,11, 34.6, ⑧⑨
13,12,Ｅグロｰバルシップ, 54,ペドロ, 4.1, 36,   1, -39, 5, 16.0,⑥⑪⑭,13, 2,Ｎデクラレｰション, 45,岩崎翼, 3.0, 40,  -3, -18,13,106.2, ⑪⑫,,,,,,,,,,,,,13, 5,Ｇハングリｰジャック, 82,北村宏, 0.8, 78,* 33, -32, 7, 18.2, ①①
14,13, ベリｰベリｰタイム,---,岩崎翼, 4.7, 32,   4, -49, 9, 39.9,⑦⑥⑧,14,14,Ｉニシノナｰガ, 52,義英真, 3.8, 34,   0, -29, 6, 11.5, ⑧⑨,,,,,,,,,,,,,14, 6,Ｑクッカｰニャ, 76,藤懸貴, 0.9, 74,  26, -23,12, 35.2, ⑨⑩
15,14,Ｌオンマイラブ, 41,義英真, 4.7, 33,   0, -41,15,266.8,⑨⑭⑮,15, 6,Ｋスズカレビン, 50,松若風, 3.9, 33,  -7, -21,15,257.2, ⑬⑭,,,,,,,,,,,,,15, 9,Ｌアンヴァルト, 78,高倉稜, 0.9, 73,  21, -15,15, 59.6, ⑬⑮
,,,,,,,,,,,,16,12,Ｐマヤステファニｰ, 33,中井裕, 4.1, 33,  -9, -20,16,271.8, ⑮⑯,,,,,,,,,,,,,16,15,Ｉサトノヒｰロｰ, 79,城戸義, 1.0, 72,  22, -19,14, 39.0, ⑭⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 1,Ｊエンドレスノット, 79,川島信, 1.1, 74,  29, -30, 4,  8.3, ⑤④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11,Ｒラディアｰレ, 69,岡田祥, 1.4, 70,* 31, -35,17, 99.1, ③⑤
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:不良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:不良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:-27 馬場:不良(指数:10),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:+15 ﾚｰｽｱｶﾞﾘ指数:-18 馬場:重(指数:10),,,,,,,,,,,
"単勝:2,440円 複勝:02=540円 08=150円 07=340円 枠連:1,280円",,,,,,,,,,,,"単勝:1,220円 複勝:05=230円 09=180円 13=220円 枠連:1,880円",,,,,,,,,,,,単勝:800円 複勝:01=200円 02=160円 04=160円 枠連:0円,,,,,,,,,,,,"単勝:440円 複勝:16=190円 12=700円 14=350円 枠連:4,210円",,,,,,,,,,,
"馬連:3,180円 ワイド:02-08=870円 02-07=3,910円 07-08=860円",,,,,,,,,,,,"馬連:4,440円 ワイド:05-09=690円 05-13=1,150円 05-15=720円",,,,,,,,,,,,"馬連:1,350円 ワイド:01-02=440円 01-04=640円 02-04=360円",,,,,,,,,,,,"馬連:7,140円 ワイド:12-16=2,510円 14-16=1,040円 12-14=3,530円",,,,,,,,,,,
"馬単:10,220円 3連複:13,480円 3連単:115,400円",,,,,,,,,,,,"馬単:9,040円 3連複:6,930円 3連単:49,210円",,,,,,,,,,,,"馬単:2,890円 3連複:1,970円 3連単:13,230円",,,,,,,,,,,,"馬単:12,130円 3連複:25,630円 3連単:131,520円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 5R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 8R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝1600m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,六甲ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｃテイエムロカビリｰ, 62,岩崎翼,, 63,  -8,*  6, 4,  6.4, ⑥③, 1,17,Ｎナインテイルズ, 39,川島信,, 60,   2,*-18,10, 60.1, ⑪⑤, 1, 3,Ａエｰシンザヘッド, 81,北村友,, 81,   7,* 13, 1,  1.5,④④②, 1, 1,Ａフィエロ, 90,藤岡佑,, 90,  17,*  2, 2,  4.2, ⑬⑬
 2, 8,Ｉアップルシェア, 53,城戸義, 0.1, 63,* -5,   2, 8, 52.7, ①①, 2, 6,Ａワクワクカンヲ, 61,松若風, 0.2, 57,*  4, -24, 1,  2.7, ⑤④, 2, 4,Ｅワｰスムｰン, 72,中井裕, 0.6, 78,   5,   9, 3,  7.5,⑤⑤⑤, 2,13,Ｄラトルスネｰク, 86,秋山真, 0.4, 84,  21, -10, 6,  9.9, ⑫⑨
 3,15,Ｄイロリ, 62,義英真, 0.3, 61,* -6,   2, 6, 13.9, ③④, 3, 9,Ｂクリノダイコクテン, 58,小牧太, 0.3, 56,*  4, -25, 2,  2.7, ④③, 3, 8,Ｂヒドゥンブレイド, 77,ペドロ, 0.6, 76,   6,   8, 2,  5.1,③③④, 3,14,Ｃサトノギャラント, 87,北村宏, 0.7, 82,  16,* -5, 1,  3.1, ⑯⑮
 4,13,Ａスイｰプアロｰ, 70,国分恭, 0.6, 58,* -4,  -3, 1,  3.0, ②②, 4, 1,Ｄユウキファイタｰ, 56,北村宏, 0.7, 53,   0,*-22, 6, 16.0, ⑱⑫, 4, 7,Ｆシゲルラシンバンザ, 71,義英真, 1.7, 68,*  7,  -3, 5, 13.4,②②①, 4, 6,Ｅサンレイレｰザｰ, 86,川須栄, 0.7, 81,  20, -13, 4,  8.8, ⑨⑩
 5,14,Ｐマコトヴィガラス, 44,川須栄, 0.8, 57, -15,*  5, 9, 73.0, ⑩⑨, 5, 7,Ｍシップウハヤト, 42,北村友, 0.9, 52,  -3,*-19, 8, 36.8, ⑮⑭, 5, 1,Ｃブリスコｰラ, 75,藤岡佑, 1.7, 68,   5,   2, 4, 12.9,⑥⑥⑥, 5, 4,Ｑカネトシディオス, 76,国分恭, 0.8, 80,  22, -16,17,231.4, ⑥⑥
 6,10,Ｅワンダｰバリデス, 58,小坂忠, 1.0, 56, -10,   1,11, 98.5, ⑧⑦, 6, 5,Ｆプリンセスゼット, 52,国分恭, 0.9, 50,   0, -25, 9, 39.2, ⑫⑩, 6, 9,Ｈメイショウヤギュウ, 67,古川吉, 2.2, 67,   4,  -1, 9, 89.7,⑧⑧⑨, 6,17,Ｉミッキｰドリｰム, 84,北村友, 1.0, 79,  22, -19,12, 64.7, ⑦⑦
 7, 3,Ｊニシノソラカラ, 49,中井裕, 1.1, 54, -10,  -2,10, 79.7, ⑦⑧, 7, 4,Ｃスヴァラッシｰ, 58,藤岡佑, 1.0, 50,   3, -30, 3,  7.4, ⑧⑦, 7, 2,Ｄオｰバｰヘッド, 75,国分恭, 2.3, 64,   4,  -2, 7, 50.1,⑨⑨⑧, 7,15,Ｎテイエムイナズマ, 79,古川吉, 1.0, 79,  17, -13,11, 52.5, ⑮⑭
 8, 1,Ｎハｰドモンラッシェ, 47,畑端省, 1.4, 51,  -8,  -6,14,178.6, ④⑤, 8,10,Ｈウインボナンザ, 48,国分優, 1.6, 44,   2, -39, 4, 13.2, ⑦⑨, 8, 6,Ｇアｰクペガサス, 69,岩崎翼, 2.6, 61,   4,  -6, 8, 76.5,⑦⑦⑦, 8,11,Ｇヒストリカル, 85,小牧太, 1.2, 78,  16, -12, 3,  8.0, ⑰⑯
 9, 9,Ｂダンツトｰラス, 70,藤岡佑, 1.5, 50, -18,   2, 2,  3.5, ⑬⑪, 9,18,Ｋマイネルセプタｰ, 43,高倉稜, 1.7, 43,*  5, -46, 5, 13.2, ②②, 9, 5,Ｉトリガｰ, 62,小牧太, 5.5, 46,*  8, -36, 6, 14.3,①①③, 9, 3,Ｈタムロスカイ, 84,川島信, 1.4, 75,* 24, -29,10, 47.4, ⑤③
10, 6,Ｆサトピｰオスカル, 56,北村宏, 1.5, 50, -16,   1, 7, 15.6, ⑪⑫,10,11,Ｇヒロノアドバンス, 52,義英真, 1.8, 43,   0, -38,13,106.2, ⑨⑪,,,,,,,,,,,,,10, 8,Ｏオｰトドラゴン, 79,藤懸貴, 1.4, 74,  15, -14,18,369.8, ⑭⑰
11, 7,Ｈワキノハクリュウ, 55,ペドロ, 2.0, 46,  -8, -11, 3,  5.8, ⑤⑥,11, 3,Ｏメイショウダッシュ, 36,小林徹, 2.5, 38,   3, -52,11, 89.7, ⑥⑥,,,,,,,,,,,,,11,16,Ｍセイクリッドセブン, 80,鮫島良, 1.4, 77,  13, -11,15, 89.1, ⑱⑱
12, 2,Ｍシャンディロメラ, 47,鮫島良, 2.2, 47, -13,  -8,12,119.2, ⑨⑩,12,14,Ｅルアノヴァ, 54,川須栄, 2.8, 36,  -2, -45, 7, 30.7, ⑩⑬,,,,,,,,,,,,,12, 9,Ｊティアップゴｰルド, 84,荻野琢, 1.6, 72,  22, -27,13, 65.3, ⑪⑧
13,11,Ｌカポｰル, 47,北村友, 2.4, 42, -17,  -6,13,152.2, ⑭⑬,13, 8,Ｐザナイトビフォｰ, 35,岩崎翼, 2.9, 34,  -4, -43,17,208.9, ⑰⑯,,,,,,,,,,,,,13, 5,Ｌシャイニｰホｰク, 80,国分優, 2.1, 66,  17, -28,14, 79.0, ⑩⑫
14, 5,Ｏロックショｰ, 45,小林徹, 2.7, 40, -25,  -2,16,393.1, ⑮⑮,14, 2,Ｊテイエムファラオ, 43,水口優, 2.9, 35,  -4, -44,15,161.2, ⑯⑮,,,,,,,,,,,,,14, 2,Ｐウインプリメｰラ, 79,中井裕, 2.2, 66,  23, -39, 9, 31.5, ④⑤
15,16,Ｋカリスマベガ, 48,高倉稜, 2.8, 40, -21,  -5,15,252.7, ⑯⑭,15,16,Ｑメイズ, 31,岡田祥, 4.2, 11,*  6, -81,18,283.2, ①①,,,,,,,,,,,,,15,12,Ｒコスモセンサｰ, 75,岡田祥, 2.9, 58,* 25, -54,16,144.9, ②②
16, 4,Ｇシゲルイガ, 55,秋山真, 3.8, 29, -24, -12, 5, 11.2, ⑫⑯,16,13,Ｌルジェリ, 42,秋山真, 5.0,  4,  -7, -68,12,104.2, ⑭⑰,,,,,,,,,,,,,16,18,Ｂリルダヴァル, 89,ペドロ, 3.2, 56,* 24, -55, 5,  9.6, ③④
,,,,,,,,,,,,17,15,Ｉテイエムヒッカッタ, 45,古川吉, 5.0,  4,  -8, -66,16,197.3, ⑬⑱,,,,,,,,,,,,,17, 7,Ｆドリｰムバスケット, 86,中谷雄, 3.4, 54,  19, -48, 8, 19.4, ⑧⑪
,,,,,,,,,,,,18,12,Ｒインタｰナショナル, 30,藤懸貴, 6.3,-14,   3, ---,14,119.7, ③⑧,,,,,,,,,,,,,18,10,Ｋタイキパｰシヴァル, 82,高倉稜, 4.7, 44,* 25, -79, 7, 18.5, ①①
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:不良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-19 馬場:不良(指数:10),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:不良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-17 馬場:重(指数:10),,,,,,,,,,,
"単勝:640円 複勝:12=220円 08=1,230円 15=400円 枠連:1,860円",,,,,,,,,,,,"単勝:6,010円 複勝:17=790円 06=130円 09=130円 枠連:1,310円",,,,,,,,,,,,単勝:150円 複勝:03=110円 04=150円 08=140円 枠連:410円,,,,,,,,,,,,単勝:420円 複勝:01=170円 13=300円 14=140円 枠連:460円,,,,,,,,,,,
"馬連:12,830円 ワイド:08-12=3,710円 12-15=1,130円 08-15=5,270円",,,,,,,,,,,,"馬連:8,790円 ワイド:06-17=2,460円 09-17=2,050円 06-09=220円",,,,,,,,,,,,馬連:450円 ワイド:03-04=180円 03-08=180円 04-08=370円,,,,,,,,,,,,"馬連:2,450円 ワイド:01-13=990円 01-14=340円 13-14=650円",,,,,,,,,,,
"馬単:16,820円 3連複:31,690円 3連単:159,700円",,,,,,,,,,,,"馬単:25,460円 3連複:6,050円 3連単:90,520円",,,,,,,,,,,,"馬単:550円 3連複:500円 3連単:1,480円",,,,,,,,,,,,"馬単:3,840円 3連複:2,560円 3連単:14,610円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 6R  ダ1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  芝1800m 4歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■12R  ダ1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,四国新聞杯,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｄタマモセナタｰ, 60,鮫島良,, 65,*  7, -13, 4,  8.7,②②①, 1, 3,Ｆアレット, 67,川須栄,, 68,   4,   0, 2,  4.3, ⑤⑤, 1, 4,Ｄアンレｰル, 78,北村宏,, 77,  13,*-11, 2,  3.6, ⑩⑩, 1,15,Ｉマラネロ, 76,中井裕,, 77,   3,   9, 6, 14.6, ④③
 2,11,Ａアクアマリンブレス, 64,高倉稜, 0.1, 61,*  5, -10, 3,  4.7,⑦④③, 2, 9,Ａペイシャモンシェリ, 73,国分優, 0.0, 68,*  8,  -3, 3,  4.8, ②②, 2, 1,Ｇマイネアルナイル, 75,中井裕, 0.2, 76,   9,* -5, 9, 25.3, ⑫⑪, 2,10,Ｏサトノアビリティ, 73,小牧太, 0.0, 77,   3,   9, 7, 16.1, ⑤④
 3, 4,Ｇシャイニンシｰザｰ, 57,藤懸貴, 0.7, 60,   1,* -5,10,138.3,⑬⑫⑪, 3, 1,Ｉハニｰドント, 65,松若風, 0.1, 66,   6,  -3,12,107.7, ④④, 3,11,Ａイリュミナンス, 82,高倉稜, 0.2, 74,* 17, -21, 1,  3.4, ③③, 3,12,Ｂバハドゥｰル, 80,北村友, 0.0, 77,  -3,* 17, 3,  4.6, ⑮⑮
 4,12,Ｋカイザｰヴァルツァ, 51,松若風, 0.7, 57,   5, -15, 8, 65.2,④⑤④, 4, 6,Ｇトリックデック, 66,岩崎翼, 0.2, 65,   1,   1, 8, 19.3, ⑥⑥, 4, 5,Ｈスリｰカｰニバル, 75,古川吉, 0.5, 71,  16, -22, 7, 18.8, ⑧⑦, 4, 2,Ｄコリンブレッセ, 80,北村宏, 0.1, 74,*  5,   6, 2,  4.5, ②②
 5,15,Ｊジュｰンヴィエナ, 53,義英真, 0.8, 59,   0,* -4,11,142.4,⑭⑭⑬, 5,10,Ｄカネトシビバｰチェ, 70,藤岡佑, 0.2, 66,   0,   3,10, 32.6, ⑧⑨, 5, 7,Ｌショウナンバｰキン, 71,国分恭, 0.5, 70,  16, -23,10, 59.8, ④⑤, 5,14,Ｆライオンズバイツ, 79,川須栄, 0.3, 76,   2,   9, 4,  6.9, ⑨⑤
 6, 5,Ｃオｰルドバルディｰ, 61,藤岡佑, 0.9, 55,*  5, -18, 1,  2.1,⑥③②, 6,13,Ｊアｰネストミノル, 62,中谷雄, 0.4, 65,   0,   2,11, 47.0, ⑨⑦, 6, 9,Ｆニシノテキｰラ, 76,北村友, 0.9, 68,  16, -28, 6, 12.0, ⑥⑥, 6, 9,Ｅシゲルケンシン, 79,国分恭, 0.5, 72,   0,   9, 9, 29.6, ⑪⑨
 7, 3,Ｅゴッドエンペラｰ, 59,北村宏, 0.9, 55,   4, -14, 6, 17.4,⑧⑨⑨, 7, 5,Ｍエンドレスシャイン, 60,高倉稜, 0.5, 64,  -3,   3,13,158.0, ⑩⑫, 7, 6,Ｉアランロド, 75,秋山真, 1.0, 68,   7,* -9,12, 74.6, ⑪⑫, 7, 5,Ｌヒショウ, 75,川島信, 0.5, 72,   2,   7,15,207.1, ⑥⑩
 8, 6,Ｌネクストロｰド, 49,国分優, 0.9, 56,   4, -15,13,235.7,⑨⑧⑦, 8, 8,Ｈトラストフェアリｰ, 65,ペドロ, 0.5, 64,  -2,   2, 9, 19.4, ⑫⑪, 8,10,Ｃサンレガｰロ, 79,藤岡佑, 1.1, 66,  14, -26, 3,  5.8, ⑨⑨, 8, 6,Ａスマｰトレパｰド, 82,ペドロ, 0.6, 71,   3,   4, 1,  3.2, ③⑥
 9, 1,Ｆウィステリアカフナ, 57,古川吉, 1.2, 55,   5, -18, 7, 31.2,⑤⑥⑤, 9, 2,Ｌキネオキャノン, 61,小牧太, 0.6, 63, -10,*  8, 5, 16.2, ⑭⑭, 9, 3,Ｋアルアマｰナ, 73,川須栄, 1.2, 64,  14, -27,11, 74.4, ⑦⑧, 9, 8,Ｈリバｰタイキ, 77,藤岡佑, 0.8, 70,   0,   6, 5, 13.4, ⑩⑪
10,13,Ｂオンワｰドハンタｰ, 64,秋山真, 1.8, 49,   4, -22, 2,  4.6,⑩⑦⑥,10,14,Ｅサカジロヴィグラス, 70,義英真, 0.8, 60,*  9, -13, 4,  6.7, ①①,10, 2,Ｊフェｰタルロｰズ, 74,川島信, 1.6, 62,* 17, -42, 5,  8.5, ②②,10,16,Ｐウォｰタｰサムデイ, 73,高倉稜, 0.9, 70,  -1,   6,16,238.5, ⑬⑫
11, 9,Ｈアインス, 55,小坂忠, 1.9, 51,   0, -14,15,476.1,⑫⑬⑫,11, 4,Ｃチｰフアセスメント, 71,国分恭, 0.8, 59,  -3,  -1, 1,  3.1, ⑪⑩,11,12,Ｅケイティバロｰズ, 77,小牧太, 1.7, 60,* 17, -43, 4,  7.7, ①①,11, 4,Ｎトｰワフォｰエバｰ, 74,古川吉, 1.0, 70,  -4,  10,13,198.2, ⑯⑯
12, 8,Ｍサトノパテック, 35,岡田祥, 3.5, 40,   1, -31, 5, 11.4,⑪⑩⑩,12, 7,Ｎクリノプリムラ, 60,川島信, 0.9, 59,  -6,   2,14,256.2, ⑬⑬,12, 8,Ｂラシンティランテ, 79,ペドロ, 3.3, 49,* 17, -64, 8, 24.3, ⑤④,12,11,Ｍコスモパルダ, 75,鮫島良, 1.0, 71,  -1,   6,14,198.5, ⑫⑭
13, 2,Ｉゴｰルドパｰル, 53,国分恭, 7.2,  8,*  6, -72,12,145.5,①①⑧,13,12,Ｋヴェルメンティｰノ, 61,秋山真, 1.1, 57,   1,  -7, 7, 18.2, ⑦⑧,,,,,,,,,,,,,13, 3,Ｃタイキソレイユ, 80,岡田祥, 1.0, 69,  -1,   6,10, 43.7, ⑭⑬
14,10,Ｎセイウンアネゴ, 35,川島信, 7.2, 22,  -2, -56,14,355.0,③⑪⑭,14,11,Ｂマッドアバウトユｰ, 71,古川吉, 1.2, 57,   7, -13, 6, 18.1, ③③,,,,,,,,,,,,,14, 1,Ｋテイクファイア, 75,国分優, 1.4, 65,*  6,  -6,11, 67.6, ①①
15, 7, ラガｰビックヒｰロ,---,北村友,14.0,-25, -32, -54, 9, 98.3,⑮⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｊスズカジョンブル, 76,森一馬, 1.6, 64,   3,  -3,12,193.1, ⑧⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｇマルカファイン, 78,秋山真, 2.2, 58,   2,  -9, 8, 18.1, ⑦⑧
