14年12月 6日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年12月 6日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
15, 7,Ｌトシフェアリｰ, 33,大庭和, 4.1, 36, -13, -13,14,290.8, ⑯⑯,,,,,,,,,,,,,15,12,Ｃノボピュアリティ, 75,柴田大, 2.3, 58,   8,  -9, 9, 27.3, ⑥⑧,15,14,Ｅイチエイクリッパｰ, 81,武士沢, 1.5, 63, -10,  13,15,229.4, ⑬⑭
16, 2,Ｎサンオｰギ, 31,松岡正, 4.7, 29,   6, -36,11,169.0, ⑥⑦,,,,,,,,,,,,,16, 5,Ｈレッツサッチャｰ, 71,三浦皇, 2.8, 52,   7, -12,14, 78.4, ⑨⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-2),,,,,,,,,,,
"単勝:390円 複勝:12=160円 08=220円 15=610円 枠連:1,470円",,,,,,,,,,,,"単勝:370円 複勝:07=170円 04=660円 08=180円 枠連:4,290円",,,,,,,,,,,,"単勝:260円 複勝:01=150円 14=220円 08=550円 枠連:1,440円",,,,,,,,,,,,"単勝:350円 複勝:10=140円 08=1,100円 05=160円 枠連:1,890円",,,,,,,,,,,
"馬連:1,420円 ワイド:08-12=550円 12-15=1,390円 08-15=2,330円",,,,,,,,,,,,"馬連:7,600円 ワイド:04-07=2,150円 07-08=400円 04-08=2,800円",,,,,,,,,,,,"馬連:1,590円 ワイド:01-14=630円 01-08=1,340円 08-14=2,930円",,,,,,,,,,,,"馬連:11,170円 ワイド:08-10=2,450円 05-10=270円 05-08=3,110円",,,,,,,,,,,
"馬単:2,500円 3連複:8,880円 3連単:33,400円",,,,,,,,,,,,"馬単:13,430円 3連複:11,850円 3連単:83,480円",,,,,,,,,,,,"馬単:2,330円 3連複:11,260円 3連単:44,190円",,,,,,,,,,,,"馬単:16,420円 3連複:10,260円 3連単:64,680円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝3210m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  芝3600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ｲﾙﾐﾈｰｼｮﾝｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,ｽﾎﾟｰﾂﾆｯﾎﾟﾝ賞ｽﾃｲﾔｰｽﾞｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｄバイオンディップス, 54,三浦皇,, 56,* -1,  -2, 1,  2.7,⑤③③, 1, 1, ゴｰルドシャンティ,---,大野拓,, 60, -17,*  8, 6, 16.8, ⑧⑧, 1, 6, レッドキングダム,,西谷誠,,,,, 3,  8.0,④④④, 1, 8,Ｈデスペラｰド, 82,横山典,, 92,   7,* 21, 3,  5.2,④④③
 2, 7,Ｂハイヴォルテｰジ, 59,木幡初, 0.2, 55,  -2,* -1, 7, 18.7,⑥⑥⑥, 2,10, デルマチョウスケ,---,丸田恭, 0.1, 58, -13,*  3, 7, 17.5, ⑦⑦, 2,11, マサライト,,植野貴,215.7,,,, 6, 16.4,①①①, 2,12,Ａファタモルガｰナ, 90,戸崎圭, 0.1, 89,*  8,  16, 4,  7.8,②②②
 3,16,Ａコパノアルディｰ, 60,柴田善, 0.3, 52,  -3,* -1, 2,  4.7,⑬⑧⑨, 3, 6, ブロッサムヒル,---,戸崎圭, 0.2, 56, -10,  -1, 3,  7.9, ⑤⑤, 3, 7, ダノンゴｰルド,,横山義,216.5,,,, 1,  2.2,⑥⑥⑥, 3, 2,Ｂクリｰルカイザｰ, 90,吉田豊, 0.4, 91,   6,* 18, 1,  3.4,⑤⑧⑤
 4, 9,Ｋコマクサ, 42,武士沢, 0.3, 53,  -3,* -1,12, 57.1,⑮⑦④, 4, 3, クラウンテイラｰ,---,柴田善, 0.4, 54, -14,   0,12, 77.5, ⑥⑥, 4,12, カシマシンセイ,,山本康,216.5,,,, 5, 10.2,⑤⑤⑤, 4, 5,Ｅスズカデヴィアス, 82,藤岡佑, 0.6, 87,   6,  17, 6,  9.4,⑧⑨⑦
 5, 1,Ｈトｰセンラブリｰ, 48,横山典, 0.4, 51,* -1,  -6, 3,  7.3,①①①, 5,16, マダムヤッコ,---,津村明, 0.5, 53,* -2, -13, 8, 31.2, ①①, 5, 8, オベロン,,五十嵐,216.6,,,, 4,  9.8,⑧⑦⑦, 5,13,Ｉホッコｰブレｰヴ, 82,田辺裕, 0.7, 88,   5,  17, 2,  4.8,⑭⑫⑧
 6,14,Ｅブラックブリｰズ, 52,北村宏, 0.6, 53,  -4,  -2, 6, 13.7,⑦⑩⑧, 6,15, ヨットマン,---,北村宏, 0.7, 51,* -6, -12, 2,  4.4, ③③, 6,14, カリスマミッキｰ,,熊沢重,216.6,,,, 2,  3.4,③③②, 6,11,Ｆネオブラックダイヤ, 82,柴田善, 1.0, 79,*  8,   3,10, 36.1,①①①
 7, 2,Ｍジョコｰソ, 39,江田照, 0.6, 52,  -2,  -5,16,198.7,③④⑤, 7, 7, スガノデュランダル,---,吉田豊, 0.8, 51,* -3, -15, 1,  2.0, ②②, 7, 4, マッキｰバッハ,,北沢伸,217.0,,,, 7, 20.2,⑩⑧⑧, 7, 6,Ｍスノｰドン, 77,津村明, 1.1, 84,   5,  13,12, 65.3,⑬⑪⑬
 8,15,Ｇチェリｰポセイドン, 50,津村明, 0.9, 52,  -4,  -5,10, 27.9,⑨⑨⑦, 8, 2, ジョｰキｰパｰソン,---,三浦皇, 0.8, 49, -10,  -9, 5, 13.3, ④④, 8,10, フリｰダムシチｰ,,石神深,217.8,,,,10, 84.7,②②③, 8, 3,Ｋサイモントルナｰレ, 79,丸田恭, 1.1, 86,   5,  17,15,271.0,⑫⑭⑭
 9,13,Ｃロマンホｰプ, 55,田中勝, 0.9, 52,  -4,  -4, 5, 11.9,⑪⑪⑭, 9,12, ユウヅツ,---,柴田大, 1.2, 45, -27,*  3,13, 82.0, ⑫⑫, 9, 2, テｰオｰゼウス,,佐久間,218.0,,,,12,103.0,⑨⑨⑨, 9, 7,Ｃセイクリッドバレｰ, 85,三浦皇, 1.1, 87,   5,  17, 8, 27.4,⑮⑮⑮
10, 6,Ｏツクバイｰメｰカｰ, 34,戸崎圭, 1.2, 48,  -4,  -7, 4,  7.7,⑯⑫⑪,10, 8, ミルキｰプリン,---,石川裕, 1.3, 43, -27,   2, 9, 41.5, ⑪⑪,10, 9, カントリｰスノｰ,,原田和,218.0,,,,11, 86.9,⑫⑩⑩,10,15,Ｄスカイディグニティ, 84,北村宏, 1.2, 80,   6,   5, 5,  7.9,⑥⑤⑥
11, 8,Ｌスズカハイヤｰ, 39,藤岡佑, 2.1, 40,  -6, -12, 9, 23.9,⑫⑭⑬,11,14, サンセドナ,---,松岡正, 1.3, 43, -24,  -3,15, 96.9, ⑩⑨,11, 3, プレミアムパス,,金子光,218.6,,,,13,186.8,⑪⑪⑪,11, 4,Ｊケイアイチョウサン, 80,田中勝, 1.3, 84,   6,  12, 7, 19.4,⑩⑬⑫
12, 5,Ｐマイネルスウェルテ, 21,柴田大, 2.2, 43,  -5, -13,15,188.6,⑩⑬⑫,12,13, シャイニｰメドｰ,---,横山典, 1.4, 40, -18,  -9,10, 62.0, ⑨⑩,12, 1, マイネルガヴロシュ,,平沢健,221.7,,,, 8, 35.7,⑬⑫⑫,12, 9,Ｎマイネルメダリスト, 76,柴田大, 1.6, 75,*  8,  -3, 9, 33.5,⑪③④
13,10,Ｊヴェルトフリｰデン, 43,熊沢重, 2.2, 43,* -1, -21,11, 29.4,②②②,13,11, レクスタｰズ,---,藤岡佑, 2.2, 30, -35,  -4, 4, 11.3, ⑭⑭,13,13, サンマルボス,,高野和,222.2,,,,14,203.1,⑭⑬⑬,13,14,Ｏアップルジャック, 64,江田照, 1.9, 74,   6,  -2,14,129.0,③⑦⑩
14,11,Ｉツクバグランディｰ, 47,吉田豊, 2.8, 36,  -5, -19,13, 73.8,⑭⑮⑮,14, 9, イガノシャロン,---,武士沢, 3.2, 19, -34, -17,14, 87.4, ⑬⑬,,,,,,,,,,,,,14, 1,Ｌメイショウタマカゼ, 78,大野拓, 2.1, 74,   6,   0,13, 95.4,⑦⑩⑪
15, 3,Ｆダイゴマサムネ, 52,大野拓, 3.9, 31,  -2, -33, 8, 22.4,④⑤⑩,15, 5, ハッピｰウルフ,---,大庭和, 4.2,  7, -50, -14,11, 74.4, ⑮⑮,,,,,,,,,,,,,15,10,Ｇモビｰル, 82,後藤浩, 3.2, 61,   7, -23,11, 41.5,⑨⑥⑨
16,12,Ｎクリノジュンチャン, 37,石川裕, 4.1, 30,  -7, -26,14,136.1,⑧⑯⑯,16, 4, トｰセンキュｰティ,---,小野寺, 4.5,  0, -57, -12,16,147.9, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,
"単勝:270円 複勝:04=140円 07=350円 16=160円 枠連:1,230円",,,,,,,,,,,,"単勝:1,680円 複勝:01=430円 10=320円 06=260円 枠連:3,220円",,,,,,,,,,,,"単勝:800円 複勝:06=210円 11=410円 07=130円 枠連:1,960円",,,,,,,,,,,,単勝:520円 複勝:08=180円 12=210円 02=140円 枠連:700円,,,,,,,,,,,
"馬連:1,950円 ワイド:04-07=630円 04-16=340円 07-16=1,030円",,,,,,,,,,,,"馬連:8,960円 ワイド:01-10=2,510円 01-06=1,420円 06-10=2,040円",,,,,,,,,,,,"馬連:6,430円 ワイド:06-11=1,910円 06-07=430円 07-11=990円",,,,,,,,,,,,"馬連:1,830円 ワイド:08-12=690円 02-08=430円 02-12=460円",,,,,,,,,,,
"馬単:2,550円 3連複:3,010円 3連単:13,270円",,,,,,,,,,,,"馬単:22,070円 3連複:17,190円 3連単:123,980円",,,,,,,,,,,,"馬単:10,560円 3連複:4,940円 3連単:51,540円",,,,,,,,,,,,"馬単:3,650円 3連複:2,180円 3連単:13,910円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 6R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  芝2000m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,葉牡丹賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａナリノパシオン, 56,田辺裕,, 56,   6,  -9, 4,  6.4,⑧⑥⑤, 1, 8,Ｃヤンキｰソヴリン, 74,木幡初,, 75,*  6,*  4, 2,  5.5,②②②, 1, 6,Ａトｰセンバジル, 74,戸崎圭,, 75,  10,*  2, 1,  1.8,⑩⑩⑨, 1, 8,Ｅウエスタンメルシｰ, 76,後藤浩,, 79, -10,  20,11, 34.3,⑨⑨⑩
 2,11,Ｂスタｰチェイサｰ, 55,戸崎圭, 0.2, 54,   3,  -8, 2,  4.4,⑩⑨⑧, 2,15,Ｂビッグバンドジャズ, 76,後藤浩, 0.6, 69,   6,   2, 4,  7.0,⑥⑥⑥, 2, 4,Ｇカカドゥ, 60,後藤浩, 0.0, 74,  11,  -1, 6, 19.7,⑥⑥⑥, 2,12,Ｄマイネルアウラｰト, 76,松岡正, 0.2, 78,  -7,  15, 5, 11.3,⑥⑦⑦
 3,16,Ｅウインエスパシオ, 54,松岡正, 0.3, 53,* 10, -22, 1,  4.4,②②②, 3, 4,Ｆストロングバルドル, 72,田辺裕, 0.7, 71,   3,*  6, 5,  7.5,⑫⑫⑩, 3, 1,Ｈバイガエシ, 60,藤岡佑, 0.0, 73,* 12,  -4, 4, 11.9,③④③, 3, 7,Ｆゴｰルドカルラ, 75,大野拓, 0.3, 72,* -3,   6, 4, 11.3,③②②
 4, 8,Ｇディリジェンテ, 53,横山典, 0.3, 52,   3,  -9, 3,  6.0,⑦⑦⑩, 4, 1,Ｇアップルハウス, 72,平野優, 0.7, 71,   4,   4,11, 55.4,⑧⑦⑤, 4, 5,Ｄニシノオタケビ, 65,田辺裕, 0.2, 73,   8,*  0, 5, 18.5,⑧⑨⑧, 4,14,Ｊエデンロック, 73,田中勝, 0.3, 74,  -6,  10, 6, 11.5,⑦⑤④
 5, 2,Ｏマイネルプレアデス, 28,丹内祐, 0.4, 53,   6, -14,15,149.0,④④⑥, 5, 3,Ａエタｰナルヒｰロｰ, 78,柴田大, 0.9, 70,   4,   2, 1,  3.6,⑩⑨⑦, 5, 2,Ｆラブユアマン, 61,北村宏, 0.3, 72,* 13, -11, 3,  6.4,④②①, 5,11,Ｃケイティｰプライド, 79,三浦皇, 0.3, 73,  -6,   9, 1,  3.9,④④③
 6,13,Ｉブレイクエｰス, 48,三浦皇, 0.4, 53,   0,* -5, 6, 10.7,⑫⑫⑨, 6,14,Ｄグリュｰネヴォッヘ, 74,北村宏, 0.9, 69,   3,   3, 3,  6.4,⑬⑪⑨, 6, 7,Ｃミュゼエイリアン, 68,横山典, 0.4, 69,* 14, -14, 2,  3.7,②③②, 6, 6,Ｎコスモトゥルｰラヴ, 69,丹内祐, 0.5, 68,* -3,   1,10, 30.4,①①①
 7,15,Ｍパピｰラヴ, 39,北村宏, 0.5, 53,  -1,* -3,10, 23.8,⑮⑭⑬, 7,10,Ｍモリミヤビ, 64,津村明, 1.2, 68,   6,  -4,16,248.8,⑤④③, 7,10,Ｉアサクサリｰダｰ, 56,吉田豊, 1.2, 65,   8, -14, 8, 51.7,⑨⑧⑦, 7, 9,Ａフジマサエンペラｰ, 80,横山典, 0.5, 78, -17,* 26, 2,  4.1,⑭⑫⑫
 8, 3,Ｊジャジャンケン, 47,丸田恭, 0.5, 49,   7, -19, 9, 22.1,③③③, 8, 7,Ｅコスモナチュラル, 73,丹内祐, 1.2, 66,*  7,  -7, 8, 20.6,①①①, 8, 3,Ｊゴッドバロｰズ, 51,石橋脩, 2.1, 56,* 13, -36, 9, 62.2,①①⑤, 8, 1,Ｂカグニザント, 79,丸田恭, 0.5, 73, -11,  16, 9, 22.3,⑫⑩⑧
 9, 7,Ｈニシノプレシャス, 51,大野拓, 0.5, 52,   2,  -7,11, 29.5,⑪⑪⑫, 9, 2,Ｉイデアオブクィｰン, 68,石川裕, 1.3, 68,   4,   0,10, 34.3,④⑩⑧, 9, 8,Ｂジュヒョウ, 73,柴田善, 2.1, 57,* 13, -34, 7, 21.2,⑤⑤④, 9,13,Ｉサトノネプチュｰン, 74,戸崎圭, 0.6, 73, -11,  16, 3,  5.3,⑩⑪⑪
10, 4,Ｆショウナンアイ, 53,吉田豊, 0.5, 53,   4, -13, 8, 21.0,⑥⑧⑦,10, 5,Ｈファストソング, 71,丸田恭, 1.3, 65,   1,   3,12, 82.8,⑭⑭⑮,10, 9,Ｅリヴゴｰシュ, 63,江田照, 2.4, 52,  11, -36,10, 63.8,⑦⑦⑩,10, 3,Ｈシｰギリヤガｰル, 74,柴田大, 0.6, 72,  -7,   9, 7, 15.1,⑤⑥⑥
11, 5,Ｌシゲルマツリダ, 44,後藤浩, 0.6, 50,  -2,* -2, 7, 20.4,⑯⑯⑭,11, 9,Ｐアポロマｰベリック, 52,五十嵐, 1.4, 66,   2,   1, 7, 13.7,⑪⑬⑬,,,,,,,,,,,,,11, 2,Ｌタケルハヤテ, 71,原田和, 0.8, 68, -10,   9,16,126.3,⑧⑧⑨
12,12,Ｋアヤミｰチャン, 46,柴田善, 0.7, 51,   2, -10,12, 38.6,⑨⑩⑪,12, 6,Ｋマスソングウインド, 65,二本柳, 1.5, 67,   0,*  6,13,128.3,⑯⑯⑯,,,,,,,,,,,,,12, 5,Ｇトｰセンジャステス, 75,石橋脩, 0.8, 77, -20,* 27, 8, 17.9,⑯⑯⑯
13, 9,Ｃアルファキンバレｰ, 54,嘉藤貴, 0.9, 46,   6, -23,14,113.7,⑤⑤④,13,12,Ｊゲンパチケンザン, 65,岩部純, 1.5, 66,   1,   2, 9, 29.1,⑮⑮⑭,,,,,,,,,,,,,13,15,Ｍプレノタｰト, 71,藤岡佑, 0.9, 73, -18,* 23,15, 80.9,⑬⑮⑭
14, 1,Ｄマイネルデアデビル, 54,柴田大, 1.4, 42,* 11, -42, 5,  8.8,①①①,14,13,Ｏペイシャゴンジセ, 56,江田照, 2.6, 56,*  6, -18, 6,  7.6,⑦③④,,,,,,,,,,,,,14, 4,Ｐエメラルスピｰド, 67,北村宏, 1.1, 63,  -6,  -1,13, 47.0,②③⑤
15,10,Ｎガルフスタｰ, 34,石川裕, 1.5, 41,  -1, -18,16,298.4,⑬⑬⑮,15,11,Ｌサンマルスピリット, 64,小島太, 2.6, 58,   4, -12,14,158.9,⑨⑧⑫,,,,,,,,,,,,,15,16,Ｋビｰムライフル, 73,田辺裕, 1.1, 70, -16,  16,14, 71.4,⑪⑬⑬
16,14,Ｐミエノサンキュｰ, 28,田中勝, 2.3, 34,  -2, -25,13, 89.9,⑭⑮⑯,16,16,Ｎアイアムライジング, 61,嘉藤貴, 4.9, 40,   5, -34,15,172.7,③⑤⑪,,,,,,,,,,,,,16,10,Ｏプリサイスエｰス, 69,吉田豊, 1.1, 73, -20,  21,12, 38.5,⑮⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
