14年11月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,渡月橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 3, 9,Ｃベステンダンク, 62,武豊  , 0.2, 55,  -4,   2, 4, 16.5, ④④, 3, 6, ビｰチパラソル,---,ルメｰ, 1.4, 55, -12,   0, 2,  3.2, ⑨⑧, 3, 9, オベロン,,五十嵐,212.8,,,, 6, 27.3,⑥④④, 3, 9,Ａウインソワレ, 70,ルメｰ, 0.1, 68,  -5,  11, 3,  6.9, ⑦⑦
 4, 1,Ｄジェネラルゴジップ, 58,秋山真, 0.4, 54,  -7,*  5, 3,  6.9, ⑪⑨, 4, 8, ロｰドヘラクレス,---,酒井学, 1.5, 54,  -8,  -6, 7, 17.4, ⑥⑤, 4,10, ミヤコデラックス,,横山義,213.5,,,,10,117.6,②②②, 4, 4,Ｍエフェクト, 56,国分優, 0.2, 66,  -4,   7,11, 33.2, ⑤⑤
 5, 5,Ｈパンプキンパイ, 46,小牧太, 1.0, 48,  -6,  -4, 8,102.0, ⑨⑧, 5,11, イサチルホｰプ,---,義英真, 1.5, 53,* -3, -13, 6, 14.8, ②②, 5, 1, ホッコｰゼニト,,難波剛,213.8,,,, 4, 12.3,⑦⑦⑦, 5, 5,Ｌムｰンエクスプレス, 58,松山弘, 0.2, 67,  -1,   4,13, 41.9, ④④
 6, 4,Ｆリアルプロジェクト, 49,藤岡康, 1.2, 44,* -1, -16, 6, 37.4, ②②, 6, 1, カフジムｰン,---,国分優, 1.7, 52, -11,  -5,11,100.7, ⑦⑦, 6, 4, トウカイルｰチェ,,北沢伸,213.8,,,, 5, 26.3,④⑥⑤, 6,13,Ｃレオパルディナ, 67,武豊  , 0.2, 67,  -9,  14, 2,  4.3, ⑬⑪
 7,10,Ｅヘイムダル, 51,熊沢重, 1.3, 42,  -4, -14, 5, 23.4, ③③, 7, 5, ルミナスギャラン,---,川須栄, 1.9, 51, -17,   1, 9, 40.1, ⑪⑪, 7, 7, テイエムセイリュウ,,植野貴,216.1,,,,11,134.4,⑨⑨⑧, 7,10,Ｊタガノヴェルリｰ, 61,武幸四, 0.2, 68,  -5,  10, 8, 23.1, ⑨⑧
 8,11,Ｋアスタキサンチン, 36,小坂忠, 1.6, 40,  -8, -11, 9,143.6, ⑧⑩, 8, 4, エスペランサルル,---,松山弘, 2.1, 49, -17,  -2,10, 81.2, ⑩⑩, 8, 8, テイエムブユウデン,,林満明,216.1,,,, 9,112.4,⑩⑩⑨, 8, 3,Ｅペルフィカ, 63,秋山真, 0.3, 66, -10,* 15, 5, 11.0, ⑪⑫
 9, 7,Ｇミュトスレディ, 47,藤岡佑, 1.6, 38,  -5, -16, 7, 46.5, ⑥⑥, 9,12, ミカエルシチｰ,---,小牧太, 2.2, 45,  -7, -17, 3,  6.5, ⑤⑥, 9,11, リアルブラック,,小坂忠,216.7,,,,12,177.6,⑪⑫⑫, 9,11,Ｄオｰルオブユｰ, 66,藤岡佑, 0.3, 64,  -4,   6,12, 41.1, ⑥⑥
10, 8,Ｉマヤジョワイユ, 40,酒井学, 2.2, 33,  -5, -24,11,351.7, ⑤⑦,10, 7, コモドｰ,---,福永祐, 2.4, 43,  -6, -21, 4, 11.8, ④④,10, 5, トｰセンプラチナ,,石神深,217.2,,,, 8, 78.2,⑤⑤⑥,10, 7,Ｇルアンジュ, 62,川須栄, 0.4, 65, -13,* 18,10, 29.4, ⑭⑭
11, 6,Ｊメイショウヒグラシ, 38,森一馬, 2.5, 31,  -8, -23,10,283.0, ⑩⑪,11,10, ドリス,---,太宰啓, 3.0, 36, -12, -21,12,107.2, ⑧⑨,11, 6, エムエムベレッタ,,浜野谷,217.4,,,,13,214.1,⑫⑪⑪,11, 2,Ｈダイワプロパｰ, 61,浜中俊, 0.4, 64,  -9,  11, 4,  7.8, ⑩⑩
,,,,,,,,,,,,12, 9, オｰパンバル,---,北村友, 3.3, 34, -24,  -9, 8, 26.1, ⑫⑫,12, 2, クリノテンペスタ,,大江原,217.5,,,,14,299.4,⑬⑬⑬,12,14,Ｎニュｰエディション, 56,福永祐, 0.5, 64, -10,  12, 9, 27.6, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,13,13, マイネルガヴロシュ,,熊沢重,217.6,,,, 7, 43.8,③⑧⑩,13,12,Ｂシゲルチャグチャグ, 69,太宰啓, 0.5, 61,*  2,  -5, 7, 21.5, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 8,Ｆシンフォニア, 62,四位洋, 0.7, 59,*  3, -10, 6, 21.1, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-2),,,,,,,,,,,
単勝:530円 複勝:02=120円 03=100円 09=160円 枠連:280円,,,,,,,,,,,,"単勝:240円 複勝:02=120円 03=260円 06=140円 枠連:1,250円",,,,,,,,,,,,単勝:690円 複勝:14=140円 03=110円 09=280円 枠連:250円,,,,,,,,,,,,"単勝:9,230円 複勝:06=1,780円 01=140円 09=230円 枠連:4,760円",,,,,,,,,,,
馬連:300円 ワイド:02-03=140円 02-09=480円 03-09=220円,,,,,,,,,,,,"馬連:1,190円 ワイド:02-03=480円 02-06=190円 03-06=630円",,,,,,,,,,,,馬連:270円 ワイド:03-14=170円 09-14=850円 03-09=450円,,,,,,,,,,,,"馬連:20,040円 ワイド:01-06=5,800円 06-09=6,670円 01-09=460円",,,,,,,,,,,
"馬単:1,270円 3連複:720円 3連単:6,240円",,,,,,,,,,,,"馬単:1,710円 3連複:1,090円 3連単:4,850円",,,,,,,,,,,,"馬単:1,240円 3連複:1,300円 3連単:9,350円",,,,,,,,,,,,"馬単:53,620円 3連複:35,130円 3連単:380,480円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 6R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1400m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,近江特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｅアルバｰトドック, 60,藤岡康,, 69, -12,*  9, 3,  6.8,⑧⑦⑥, 1, 9,Ｃセレッソレアル, 74,国分優,, 77,*  9,   3, 2,  4.6,⑦②①, 1, 9,Ａベリｰフィｰルズ, 82,酒井学,, 78,   8,* 11, 7, 18.6, ⑪⑪, 1, 4,Ｋロｰブデソワ, 75,ルメｰ,, 78,* -1,  15, 6,  9.4, ②②
 2, 7,Ｂウェスタｰルンド, 66,浜中俊, 0.0, 71, -13,* 13, 2,  2.8,⑫⑩⑧, 2, 6,Ｂゲｰムフェイス, 77,幸英明, 0.7, 74,   8,   0, 3,  5.1,③④②, 2,11,Ｂヒルノマテｰラ, 81,藤田伸, 0.0, 78,   8,   9, 1,  2.1, ⑧⑦, 2, 3,Ｇリュクスメジャｰ, 77,浜中俊, 0.1, 78,*  0,  13, 5,  8.2, ①①
 3, 9,Ｈグレイスミノル, 50,武豊  , 0.1, 65,* -9,   3, 7, 26.0,①①①, 3, 1,Ｅアマノウインジｰ, 70,福永祐, 0.7, 75,   4,*  9, 7, 14.0,⑨⑨⑨, 3,12,Ｋサングップ, 71,浜中俊, 0.2, 75,   9,   5,11, 64.8, ⑦⑧, 3,15,Ａルミナスパレｰド, 83,福永祐, 0.2, 78,  -7,* 21, 3,  5.7, ⑬⑬
 4, 2,Ｉアウトゼアｰ, 50,水口優, 0.4, 65, -14,   7,14,387.3,⑤⑧⑨, 4, 8,Ｈスカイグラフィティ, 65,川田将, 0.9, 73,   7,   0, 9, 30.8,④⑤⑥, 4, 1,Ｆゴｰルドブライアン, 76,和田竜, 0.2, 78,   5,* 14, 9, 38.0, ⑫⑫, 4, 5,Ｉカネトシビバｰチェ, 76,武豊  , 0.3, 77,  -2,  15, 7, 10.2, ④④
 5, 3,Ａシャイニングスタｰ, 72,川田将, 0.4, 61,*-11,   0, 4,  7.5,②②②, 5,10,Ｄリバｰソウル, 72,岩田康, 0.9, 73,   7,   0, 5,  7.1,⑥⑥④, 5, 6,Ｄシルクキングリｰ, 77,松山弘, 0.2, 77,   7,   9, 6, 18.5, ⑩⑨, 5, 9,Ｅマｰティンオｰト, 80,和田竜, 0.4, 76,  -2,  13, 4,  7.7, ⑤⑤
