14年 4月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 4月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
 9,14, モントランブラン,---,城戸義, 2.0, 48,  -2, -11, 8, 32.0, ⑥⑦, 9, 1,Ｄリリカルホイッスル, 58,古川吉, 1.6, 54,   0,  -7, 8, 24.1,⑤⑧⑨, 9, 2,Ｎメイショウダビンチ, 52,森一馬, 1.1, 63,   3,  -3,10,110.1, ⑥⑦, 9, 9,Ｇサンライズマルス, 75,川須栄, 2.6, 56,   6, -25, 7, 40.9,②②⑦
10, 5,Ｇルナレインボｰ, 52,酒井学, 2.1, 49,  -1, -12,15,248.9, ⑤⑥,10, 9,Ｎホクセツヒｰロｰ, 33,城戸義, 1.8, 51,*  4, -18,14,344.6,①①③,10, 6,Ｂデアリングプライド, 74,浜中俊, 1.5, 60,   3,  -7, 1,  1.7, ⑤⑤,,,,,,,,,,,,
11, 4, ナジェｰナ,---,国分恭, 2.1, 48, -12,  -2,13,170.4, ⑭⑮,11, 8,Ｊソネットライタｰ, 44,松山弘, 1.8, 53,   2, -13,12,252.1,⑥⑤⑦,11, 9,Ｌトゥイｰドルダム, 59,北村友, 1.6, 60,  -6,   4,13,251.3, ⑭⑭,,,,,,,,,,,,
12, 8,Ｉパトカｰ, 49,岩崎翼, 2.2, 47,  -4, -10,11,157.8, ⑧⑪,12,15,Ｋバタｰカップ, 44,武幸四, 2.0, 53,  -4,  -3,11,244.6,⑭⑭⑭,12,13,Ｊクｰデタｰ, 65,和田竜, 1.6, 59,*  7, -12, 7, 41.6, ②②,,,,,,,,,,,,
13,15,Ｊワンダｰベレｰザ, 42,和田竜, 2.2, 51,  -4,  -7,12,160.4, ⑪⑨,13, 2, リｰサムケンケン,---,武豊  , 2.6, 46,  -6,  -8, 6, 23.7,⑯⑯⑯,13,12,Ｅムニン, 69,岩崎翼, 1.7, 57,  -1,  -4, 9, 61.7, ⑪⑪,,,,,,,,,,,,
14, 2, マイスクエアワン,---,太宰啓, 3.2, 40, -27,   3,10,111.3, ⑯⑯,14, 5,Ｈスカラブルｰ, 50,義英真, 3.3, 38,   2, -35,13,272.8,③④⑥,14, 8,Ｍネオジェネラル, 56,城戸義, 1.7, 58,   1,  -7,14,443.8, ⑨⑨,,,,,,,,,,,,
15,12, チクタク,---,松若風, 3.6, 35, -11, -16,14,244.1, ⑮⑭,15,13,Ｏニホンピロエアｰ, 26,酒井学, 3.8, 34,  -4, -28,16,499.4,⑮⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
16, 1,Ｋサチノクイｰン, 39,畑端省, 4.0, 31,  -7, -24, 9, 37.4, ⑩⑫,16,10,Ｌシェｰンブリッツ, 41,高倉稜, 4.3, 30,   1, -48,15,433.2,⑧⑥⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:1),,,,,,,,,,,
"単勝:500円 複勝:03=140円 06=340円 11=130円 枠連:3,250円",,,,,,,,,,,,単勝:650円 複勝:07=170円 16=120円 04=220円 枠連:590円,,,,,,,,,,,,"単勝:5,020円 複勝:04=1,330円 10=410円 01=300円 枠連:13,910円",,,,,,,,,,,,単勝:350円 複勝:08=120円 02=110円 03=120円 枠連:160円,,,,,,,,,,,
"馬連:2,700円 ワイド:03-06=790円 03-11=300円 06-11=780円",,,,,,,,,,,,馬連:590円 ワイド:07-16=300円 04-07=680円 04-16=360円,,,,,,,,,,,,"馬連:17,280円 ワイド:04-10=4,470円 01-04=2,350円 01-10=880円",,,,,,,,,,,,馬連:160円 ワイド:02-08=140円 03-08=230円 02-03=170円,,,,,,,,,,,
"馬単:4,910円 3連複:2,430円 3連単:18,370円",,,,,,,,,,,,"馬単:1,680円 3連複:1,320円 3連単:7,630円",,,,,,,,,,,,"馬単:46,510円 3連複:31,960円 3連単:273,190円",,,,,,,,,,,,馬単:390円 3連複:320円 3連単:870円,,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 8R  芝3140m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1400m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,三木ﾎｰｽﾗﾝﾄﾞﾊﾟｰｸｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,ｺｰﾗﾙｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃエクストラゴｰルド, 65,福永祐,, 68,* -2,* 11, 2,  3.9,②②②, 1, 5,Ｍフジインザスカイ, 59,川島信,, 70,   5,*  4,13,109.9,⑬⑪⑩, 1,10, マｰリンシチｰ,,植野貴,,,,,13, 70.5,⑦④④, 1,15,Ａエアハリファ, 95,福永祐,, 89,   5,* 22, 1,  1.9, ⑧⑦
 2,14,Ｅセンタｰポイント, 62,浜中俊, 0.7, 67,  -3,*  9, 5, 12.6,⑤⑦④, 2, 9,Ｈアカリロンドン, 63,松山弘, 0.0, 71,   2,*  9,12, 48.6,⑮⑮⑭, 2,11, ショウナンカミング,,エノン,212.5,,,, 4, 15.7,④③②, 2, 7,Ｃナガラオリオン, 87,四位洋, 0.2, 89,   3,* 23, 3,  6.7, ⑬⑪
 3, 5,Ｉサウザンドエｰス, 55,岩田康, 0.7, 65,* -2,   5, 6, 19.0,①①①, 3, 7,Ｋテｰオｰイｰジス, 62,シュタ, 0.0, 69,   6,   0, 6, 13.9,⑦⑨⑧, 3,12, シゲルキョクチョウ,,草野太,212.6,,,, 7, 23.6,⑧⑥③, 3, 4,Ｉエｰシンビｰトロン, 84,武幸四, 0.4, 88,*  9,  13, 6, 16.8, ②②
 4, 9,Ｂアラｰトミノル, 66,和田竜, 0.7, 67,  -4,* 10, 1,  2.9,⑧⑧⑦, 4, 1,Ｃロｰレルストｰム, 68,小牧太, 0.2, 68,* 11, -11, 1,  2.6,①①①, 4, 5, ヴィｰヴァギブソン,,西谷誠,212.8,,,, 8, 29.9,②①⑤, 4, 6,Ｅセイカプリコｰン, 87,川須栄, 0.6, 86,   6,  15, 8, 26.5, ⑥⑨
 5, 7,Ａキｰアシスト, 66,秋山真, 1.2, 62,  -6,* 10, 4,  6.7,⑮⑮⑨, 5,13,Ｂパッシングブリｰズ, 71,岩田康, 0.3, 67,* 10,  -9, 4,  8.7,⑫③③, 5, 2, ニジブルｰム,,小坂忠,212.9,,,, 3,  5.3,①②①, 5, 5,Ｏシゲルソウサイ, 82,幸英明, 0.8, 83,   7,  11,13, 82.5, ④③
 6, 6,Ｄワンダｰアジル, 63,武豊  , 1.3, 63,* -2,   2, 3,  4.2,⑥⑤⑤, 6, 2,Ａハナズリベンジ, 72,川須栄, 0.5, 67,*  9, -10, 3,  6.2,③④④, 6, 1, オンワｰドデュｰク,,難波剛,213.1,,,, 6, 22.6,⑬⑨⑧, 6,13,Ｆサンライズブレット, 87,藤岡康, 1.0, 81,   6,  10,11, 63.6, ⑤⑤
 7,11,Ｆジョウイチロウ, 59,武幸四, 1.7, 61,* -2,  -2, 7, 21.6,⑬⑥③, 7,12,Ｆレッドロンメル, 66,福永祐, 0.5, 65,   6,  -4, 5,  8.7,⑥⑦⑦, 7, 4, アドマイヤツバサ,,横山義,213.3,,,, 2,  5.0,⑩⑦⑥, 7,14,Ｈツクバコガネオｰ, 85,古川吉, 1.0, 82,   2,  16,16,294.5, ⑫⑭
 8, 3,Ｇフドｰシン, 59,藤岡佑, 1.8, 57,  -5,   3, 9, 41.4,⑦⑨⑧, 8, 6,Ｅダンツキャッチ, 68,和田竜, 0.6, 67,   4,   0, 8, 31.3,⑭⑬⑫, 8, 9, トウシンボルト,,中村将,214.8,,,,10, 41.9,⑪⑩⑩, 8,16,Ｋネオザウイナｰ, 84,松山弘, 1.1, 80,   4,  13, 9, 42.6, ⑩⑧
 9,12,Ｈモズノハナミチ, 57,松若風, 2.3, 55,  -6,   1,10, 83.4,⑨⑩⑩, 9,14,Ｌエイシンソニック, 62,太宰啓, 0.9, 65,   7, -10, 9, 32.1,⑤⑤⑥, 9, 7, シュンケイリ,,平沢健,215.4,,,,11, 46.7,③⑤⑦, 9, 9,Ｊフィｰルドシャイン, 84,酒井学, 1.1, 80,   6,  10,14,187.5, ⑦⑥
10,15,Ｐサンライズジャパン,  2,北村友, 2.7, 53,  -7,  -1, 8, 36.8,⑫⑬⑪,10, 8,Ｊケンブリッジベスト, 62,義英真, 1.3, 60,   5,  -9,10, 33.2,⑨⑩⑨,10,14, マッキｰバッハ,,高田潤,215.5,,,, 5, 18.5,⑤⑧⑨,10, 2,Ｌレｰザｰバレット, 84,川田将, 1.2, 80,*  8,   7, 4, 10.6, ③④
11, 1,Ｋヤマニンアルブル, 44,岩崎翼, 3.4, 45,  -3, -14,11,143.1,④③⑥,11,10,Ｉウォｰタｰフレアｰ, 62,武幸四, 1.4, 63,* 10, -20,11, 48.4,②②②,11, 3, ルｰルプロスパｰ,,白浜雄,216.6,,,, 9, 41.0,⑨⑪⑪,11, 1,Ｄエｰシンレンジャｰ, 87,秋山真, 1.2, 79,   4,  11, 2,  6.6, ⑨⑩
12,16,Ｊエイシンボン, 52,太宰啓, 4.1, 45,  -6, -13,12,279.5,⑩⑪⑫,12, 3,Ｇサンレイデジタル, 65,難波剛, 1.5, 59,   7, -15, 7, 14.5,④⑥⑤,12, 8, テイエムブユウデン,,林満明,217.2,,,,12, 53.1,⑭⑫⑫,12,11,Ｇメテオロロジスト, 86,シュタ, 1.5, 78,   0,  15, 7, 24.6, ⑭⑯
13, 4,Ｏキングウイン, 37,小牧太, 4.2, 45,  -6, -14,13,340.1,⑪⑫⑬,13, 4,Ｏキｰストライプ, 54,藤岡康, 1.9, 57,   2,  -8,15,187.9,⑪⑭⑬,,,,,,,,,,,,,13, 3,Ｂクリｰンエコロジｰ, 89,岩田康, 1.5, 77,* 10,   2, 5, 12.2, ①①
14, 2,Ｎキラリルイ, 37,鮫島良, 5.2, 40,  -7, -21,15,591.2,⑭⑭⑮,14,15,Ｎマッサロｰザ, 57,岩崎翼, 2.9, 49,   4, -20,14,140.7,⑧⑫⑮,,,,,,,,,,,,,14, 8,Ｍナリタスプリング, 84,高倉稜, 1.6, 77,   3,  10,10, 49.8, ⑪⑫
15,13,Ｌテイエムスイフト, 40,竹之下, 6.6, 30, -16, -15,16,598.3,⑯⑯⑯,15,11,Ｄサトノキングベル, 68,浜中俊, 3.7, 46,   5, -31, 2,  5.4,⑩⑧⑪,,,,,,,,,,,,,15,10,Ｐザラストロ, 79,藤岡佑, 1.6, 77,   1,  13,12, 63.9, ⑮⑬
16,10,Ｍクラウンマリリン, 39,古川吉, 7.1, 26,  -5, -42,14,439.5,③④⑭,,,,,,,,,,,,,,,,,,,,,,,,,16,12,Ｎアｰリｰデイズ, 83,小牧太, 2.1, 75,  -1,  10,15,211.5, ⑯⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,
"単勝:390円 複勝:08=180円 14=360円 05=480円 枠連:2,070円",,,,,,,,,,,,"単勝:10,990円 複勝:05=2,260円 09=1,400円 07=400円 枠連:24,470円",,,,,,,,,,,,"単勝:7,050円 複勝:10=1,540円 11=550円 12=570円 枠連:4,690円",,,,,,,,,,,,単勝:190円 複勝:15=120円 07=190円 04=320円 枠連:690円,,,,,,,,,,,
"馬連:2,640円 ワイド:08-14=960円 05-08=1,200円 05-14=2,270円",,,,,,,,,,,,"馬連:179,470円 ワイド:05-09=32,140円 05-07=14,200円 07-09=6,170円",,,,,,,,,,,,"馬連:37,230円 ワイド:10-11=7,090円 10-12=7,560円 11-12=2,560円",,,,,,,,,,,,"馬連:780円 ワイド:07-15=330円 04-15=600円 04-07=1,280円",,,,,,,,,,,
"馬単:4,890円 3連複:13,100円 3連単:48,240円",,,,,,,,,,,,"馬単:310,800円 3連複:480,500円 3連単:2,864,770円",,,,,,,,,,,,"馬単:106,270円 3連複:130,070円 3連単:1,043,050円",,,,,,,,,,,,"馬単:1,120円 3連複:3,090円 3連単:9,520円",,,,,,,,,,,
■ 3R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  芝1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  芝2400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｱｻﾞﾚｱ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15, セウアズｰル,---,川田将,, 67, -10,*  7, 2,  6.9, ⑫⑪, 1, 8,Ｅメイショウライナｰ, 69,岩田康,, 72,*-10,  11, 2,  3.7, ②②, 1, 9,Ｉダンディｰズムｰン, 59,川田将,, 75,*  8,   9, 7, 19.5,②②②, 1,15,Ａノボリドリｰム, 84,高倉稜,, 77,*  8,  11, 3,  5.9,②②②
 2,13,Ａインタｰンシップ, 66,浜中俊, 0.1, 64,  -9,*  4, 1,  1.4, ⑩⑩, 2,11,Ｊハギノブシドウ, 62,松山弘, 0.0, 72,*-11,  12, 9, 66.3, ④③, 2, 3,Ｃコルサｰレ, 72,菱田裕, 0.2, 74,   5,  11, 4,  9.4,④⑤⑤, 2, 7,Ｅダノンクリエｰタｰ, 80,和田竜, 0.1, 76,*  7,  10, 7, 12.9,③③③
 3, 7,Ｆランガｰジュ, 50,福永祐, 0.3, 59,  -8,  -3, 4, 12.8, ⑥⑥, 3,12,Ｂタガノリバレンス, 76,酒井学, 0.3, 69, -14,  12, 3,  5.4, ⑥⑥, 3, 7,Ａデルカイザｰ, 81,四位洋, 0.4, 71,   5,   9, 5,  9.4,⑤④④, 3, 8,Ｄブラインドサイド, 82,四位洋, 0.2, 76,   4,* 16, 2,  5.1,⑯⑩⑨
 4, 2,Ｄミッキｰラブソング, 55,小牧太, 0.3, 59,* -6,  -4, 3, 10.9, ④④, 4, 4,Ａディｰプサウス, 77,浜中俊, 0.3, 70, -16,* 15, 1,  2.2, ⑧⑧, 4, 4,Ｆオリハルコン, 69,シュタ, 0.4, 73,   3,* 14, 2,  3.1,⑨⑨⑨, 4, 6,Ｐナムララオウ, 72,原田敬, 0.4, 74,   5,  12,14,137.8,⑧⑧⑧
 5,16,Ｂファイアｰシチｰ, 58,岩崎翼, 0.4, 61, -12,*  5, 6, 26.1, ⑭⑭, 5, 1,Ｃベアトリッツ, 74,福永祐, 0.4, 69, -13,  12, 4,  8.7, ⑤④, 5, 2,Ｅマテンロウボス, 70,松田大, 0.5, 73,   4,* 13, 9, 62.0,⑦⑧⑧, 5,11,Ｂエイコｰンパス, 83,川田将, 0.4, 76,   6,  11, 1,  2.7,⑦⑦⑦
 6, 8, ウィステリアメジロ,---,武豊  , 0.6, 57, -11,  -1,11,106.3, ⑪⑫, 6, 2,Ｋレｰヴドプランス, 59,幸英明, 0.4, 70, -18,* 15,10, 69.0, ⑦⑦, 6, 6,Ｈアルティメイタム, 59,福永祐, 0.8, 67,   6,   0, 8, 21.4,③③③, 6, 1,Ｊマイネルハルカゼ, 77,シュタ, 0.6, 71,*  8,   4, 6, 12.1,①①①
 7, 3,Ｊタガノクルクス, 45,松田大, 0.6, 56,  -9,  -4,13,189.4, ⑧⑧, 7,10,Ｈトップルビｰ, 67,菱田裕, 0.5, 67, -15,  11, 7, 43.5, ⑨⑨, 7, 5,Ｂモンドシャルナ, 77,浜中俊, 0.8, 70,   5,   6, 1,  2.5,⑧⑥⑥, 7, 3,Ｌカトラス, 75,松若風, 0.8, 71,   6,   7,12,115.9,⑥⑥⑥
 8, 1,Ｃスズカグランデ, 58,岩田康, 0.7, 59, -13,   2, 5, 14.8, ⑬⑮, 8, 5,Ｆノｰブリｰ, 68,藤岡康, 0.5, 68, -18,* 15,11, 72.8, ⑪⑪, 8, 8,Ｇウイントゥモロｰ, 66,和田竜, 1.0, 63,*  9, -11, 6, 19.2,①①①, 8, 5,Ｏメイショウキラリ, 73,武豊  , 0.8, 73,   6,   6, 4,  6.7,⑤⑤⑤
 9, 5,Ｉエイシンルフィｰ, 46,秋山真, 0.8, 49,* -4, -16, 8, 38.1, ①①, 9, 6,Ｄニシノモンクス, 69,小牧太, 0.6, 67, -18,  14, 5,  9.2, ⑫⑫, 9, 1,Ｄトウキョウタフガイ, 70,岩田康, 1.3, 64,   4,   0, 3,  7.0,⑥⑦⑦, 9, 4,Ｇバｰチャルトラック, 78,藤岡佑, 0.9, 73,   2,* 15,16,298.0,⑬⑭⑬
10,12,Ｇオｰミバンビｰナ, 48,小坂忠, 0.8, 58, -16,*  5,17,547.8, ⑮⑯,10, 7,Ｉケｰジｰサクランボ, 64,和田竜, 0.7, 65, -13,   7,12,114.8, ③⑤,,,,,,,,,,,,,10,10,Ｃタマモベルモット, 82,岩崎翼, 1.2, 69,   1,  13, 9, 44.2,⑮⑮⑮
11, 6,Ｍトウケイアロｰ, 29,松山弘, 1.0, 50,  -8, -13,16,412.7, ⑤⑤,11, 9,Ｇメイショウムロト, 68,藤田伸, 0.8, 64, -16,   9, 8, 50.9, ⑩⑩,,,,,,,,,,,,,11,13,Ｆマノワｰル, 79,小牧太, 1.4, 71,   5,   5, 5, 10.3,⑩⑨⑩
12, 4,Ｋモズワトウナイ, 42,高倉稜, 1.0, 51,  -9, -10,12,120.2, ⑨⑨,12, 3,Ｌビｰマイラブ, 58,シュタ, 1.5, 51,*-10,  -8, 6, 33.7, ①①,,,,,,,,,,,,,12,14,Ｍキンショｰタイム, 75,義英真, 1.4, 68,   2,   9,15,221.5,⑪⑬⑭
13,11,Ｅモンスタｰバロｰズ, 52,菱田裕, 1.0, 53, -12,  -4, 9, 41.1, ⑯⑬,,,,,,,,,,,,,,,,,,,,,,,,,13, 2,Ｎタイキガラハッド, 74,菱田裕, 1.4, 65,   6,   1,13,130.5,④④④
14,18, ワンダｰビゴロｰソ,---,藤岡康, 1.4, 50, -18,  -1,15,228.5, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,,14,12,Ｉコスモアケルナル, 77,幸英明, 1.5, 68,   4,   5,10, 58.3,⑨⑪⑪
15,17,Ｈナムラユリア, 46,国分恭, 1.7, 40,  -8, -22, 7, 35.9, ⑦⑦,,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｈトゥルｰフレンド, 78,国分恭, 1.5, 67,   3,   8, 8, 30.2,⑫⑫⑫
16,10,Ｌシャンティ, 33,太宰啓, 2.4, 31,* -6, -36,18,576.2, ③③,,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｋライブリシｰラ, 76,松田大, 1.8, 66,   0,   9,11,102.1,⑭⑯⑯
17,14, サマｰヴィｰナス,---,岡田祥, 2.8, 34, -22, -14,14,191.4, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18, 9, エスティｰエｰス,---,和田竜, 3.8, 21,* -5, -58,10, 68.6, ②②,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:1),,,,,,,,,,,
