14年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾚｼﾞｪﾝﾄﾞﾄﾚｰﾅｰｽﾞｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 3, 6,Ｅエンクエントロス, 47,柴山雄, 0.8, 53,*-10, -10, 7, 36.9, ③③, 2, 2,Ｊメリｰウィドウ, 66,吉田豊, 0.2, 67,   5,   1, 6,  8.2, ⑦⑧, 3, 6, オｰスミムｰン,,中村将,207.5,,,, 5, 14.7,⑦③③, 3,15,Ａゴｰルスキｰ, 93,柴田善, 0.3, 84,  15,  14, 7, 13.6, ⑪⑪
 4,12,Ｂシｰドパｰル, 56,田辺裕, 0.8, 58, -18,*  4, 2,  3.6, ⑮⑭, 4, 4,Ｅマｰブルケｰキ, 68,北村宏, 0.2, 69,   6,  -1, 1,  4.5, ④⑤, 4, 2, エイブルブラッド,,石神深,207.5,,,, 7, 31.4,⑥⑦⑤, 4,14,Ｌキクノストｰム, 83,勝浦正, 0.3, 85,  16,  13,13, 94.8, ⑫⑩
 5,11,Ａジェンツィアｰナ, 59,柴田大, 0.8, 56, -12,  -5, 6, 25.9, ⑦⑧, 5, 5,Ｄプレシャスムｰン, 69,木幡初, 0.3, 68,   2,*  4, 3,  6.3, ⑭⑮, 5, 8, ソンブレロ,,高田潤,207.7,,,, 6, 24.1,②⑥⑨, 5,13,Ｄシセイオウジ, 90,丸田恭, 0.5, 82,  12,* 17,12, 56.6, ⑮⑮
 6,17,Ｆアンジェリｰ, 46,柴田善, 0.9, 51,* -9, -11,10, 52.3, ⑤④, 6,13,Ｉヤマニンミミック, 66,伊藤工, 0.7, 64,   2,   1,16, 98.8, ⑮⑭, 6, 1, アポロマｰベリック,,五十嵐,208.0,,,, 2,  2.4,①①①, 6, 6,Ｅアドマイヤサガス, 89,吉田豊, 0.5, 83,  17,   9, 8, 27.1, ⑥⑥
 7,15,Ｃウインエスパシオ, 51,松岡正, 1.1, 50, -12, -10, 3,  6.5, ⑩⑨, 7, 6,Ｎマックスユｰキャン, 60,武士沢, 0.9, 62,   3,  -3,10, 44.9, ⑨⑪, 7, 5, シャイニｰブラック,,浜野谷,208.1,,,,11, 88.6,④⑩⑩, 7, 9,Ｋアスコットシチｰ, 84,江田照, 0.8, 83,* 20,   2, 6, 12.5, ④③
 8, 3,Ｉモントレｰベイ, 42,ベリｰ, 1.1, 55, -19,*  2,11, 57.1, ⑯⑯, 8,16,Ｋデルマサリｰチャン, 64,井上敏, 0.9, 63,   6,  -7, 4,  6.8, ⑥⑥, 8, 9, ケイアイドウソジン,,江田勇,208.5,,,, 3,  9.6,⑤④④, 8, 8,Ｊフィｰルドシャイン, 85,武士沢, 0.8, 80,  13,  11,15,135.3, ⑩⑫
 9, 9,Ｌスルｰプオブウォｰ, 34,北村宏, 1.2, 51, -17,  -4, 4, 14.9, ⑫⑬, 9, 8,Ｂオフショア, 70,三浦皇, 1.0, 63,   5,  -6, 8, 15.9, ⑪⑦, 9, 4, マイネルフィエスタ,,熊沢重,208.6,,,, 9, 63.5,⑨⑤⑥, 9,16,Ｏモグモグパクパク, 80,北村宏, 0.8, 81,  11,* 16, 2,  4.3, ⑯⑯
10, 8,Ｈトｰセンギガ, 44,菅原隆, 1.6, 46, -16, -10,13,180.2, ⑪⑫,10, 1,Ｈルナレディ, 67,藤岡佑, 1.2, 60,   3,  -5, 7, 15.3, ⑬⑫,10, 3, メジロサンノウ,,原田和,209.9,,,, 8, 44.4,⑬⑪⑪,10, 3,Ｉカネトシイナｰシャ, 86,柴山雄, 0.8, 80,  16,   8,14,117.7, ⑨⑧
11,14,Ｊコスモミザｰル, 41,三浦皇, 1.7, 44, -15, -14, 8, 40.9, ⑬⑪,11,15,Ｌスズカプリティｰ, 62,村田一, 1.3, 60,*  7, -12,12, 53.5, ②②,11,11, アポロドｰロス,,小野寺,210.4,,,,14,204.9,⑫⑨⑧,11,10,Ｍネオザウイナｰ, 82,田中勝, 1.1, 79,  16,   6,16,171.6, ⑧⑨
12, 4,Ｏカナラズカナラズ, 27,伴啓太, 2.1, 34,* -8, -32,16,314.5, ①①,12, 3,Ａエンドレストライ, 74,伴啓太, 1.4, 57,   6, -12, 2,  5.1, ③③,12,14, セイエイ,,高野和,211.4,,,,12,108.0,⑩⑫⑫,12,11,Ｎホクセツキングオｰ, 81,松岡正, 1.2, 78,  17,   3,10, 44.1, ⑦⑦
13,16,Ｍザキス, 32,嘉藤貴, 2.3, 32,*-10, -33,12,174.6, ②②,13, 9,Ｃナルミチャン, 70,横山和, 1.8, 56,   6, -15, 9, 21.6, ⑤④,13,10, ティリアンパｰプル,,金子光,214.7,,,,10, 72.8,⑭⑭⑬,13, 4,Ｐサマリｰズ, 80,藤岡佑, 1.6, 75,  18,  -2, 9, 29.9, ③④
14, 1,Ｋシｰユｰアゲン, 35,黛弘人, 2.3, 40, -20, -12, 9, 48.3, ⑰⑰,14,10,Ｍオペラフォンテン, 62,柴田大, 3.0, 49,*  7, -28,13, 75.7, ①①,,,,,,,,,,,,,14, 1,Ｈメイショウマシュウ, 86,丸山元, 2.1, 71,  13,   1,11, 50.5, ⑬⑬
15, 2,Ｒメモリアルウッド,  3,丸山元, 2.7, 32, -19, -22,14,207.7, ⑭⑮,15,12,Ｐクイｰンラズベリ, 49,丸田恭, 4.8, 33,   3, -36,14, 76.2, ⑩⑬,,,,,,,,,,,,,15, 5,Ｇサクラレグナム, 87,田辺裕, 2.2, 71,* 21, -12, 4,  8.9, ②①
16,10,Ｐポントス, 26,長岡禎, 2.7, 28, -11, -35,18,447.6, ④⑥,,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｂエｰシンビｰトロン, 90,三浦皇, 2.5, 70,* 21, -12, 5, 11.6, ①②
17,13,Ｑカンタベリｰバロン, 21,二本柳, 2.9, 33, -21, -21,15,311.8, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18, 5,Ｎマリンブルｰ, 30,木幡初, 2.9, 29, -12, -36,17,359.0, ⑥⑦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
