14年10月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神奈川新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 2R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1300m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ｻｳｼﾞｱﾗﾋﾞｱﾛｲﾔﾙｶｯﾌﾟ富士ｽﾃｰｸ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂイｰデンホｰル, 61,吉田豊,, 61,  -7,* 17, 2,  4.4, ②②, 1,10, サトノクラウン,---,福永祐,, 59, -23,* 10, 2,  2.7,⑦⑦⑧, 1, 8,Ｃカワキタシャウト, 73,横山典,, 68, -10,  16, 2,  4.6, ⑤③, 1,16,Ｇステファノス, 87,戸崎圭,, 89,  -5,* 20, 2,  6.1, ⑪⑪
 2,11,Ａオホｰツク, 71,三浦皇, 0.0, 60,* -4,  10, 1,  1.1, ①①, 2, 3, アンタラジｰ,---,戸崎圭, 0.2, 58, -25,* 12, 1,  2.2,⑩⑪⑬, 2, 3,Ａジｰニアイ, 74,ベリｰ, 0.0, 68,* -9,  16, 3,  5.4, ②②, 2, 7,Ｊシャイニｰプリンス, 84,柴田大, 0.0, 88,  -2,  16,12, 37.1, ⑨⑨
 3, 8,Ｋレベニュｰ,-23,嘉藤貴, 0.9, 52,  -8,  10, 8,174.7, ④⑤, 3,13, ヴァンガｰドシチｰ,---,北村宏, 0.5, 49,*-20,  -3, 4, 12.9,⑪⑧④, 3, 2,Ｂキョウエイマグマ, 73,蛯名正, 0.4, 67, -12,  16, 1,  2.2, ④⑥, 3,11,Ｂレッドアリオン, 91,小牧太, 0.1, 89,  -6,* 22, 5,  9.1, ⑫⑬
 4,10,Ｆバイオンディップス, 39,ベリｰ, 1.2, 51, -10,   9, 4, 20.0, ⑥⑥, 4,11, オｰマイホｰス,---,ブドｰ, 0.5, 53, -25,   6,14,127.3,⑬⑫⑪, 4, 1,Ｆブリッツ, 69,吉田豊, 0.4, 65,* -8,  11, 7, 16.9, ①①, 4, 4,Ｈロサギガンティア, 87,柴田善, 0.1, 84,   1,  10, 3,  7.6, ⑥⑥
 5, 5,Ｇネコソラ, 37,大野拓, 1.9, 48,  -9,   1, 6, 70.3, ⑤④, 5,16, ショウナンハルカス,---,ベリｰ, 0.6, 49, -22,  -2, 7, 29.0,⑧⑥⑦, 5, 5,Ｅロレｰヌクロス, 70,石川裕, 0.4, 66, -11,  15, 6, 14.6, ⑦⑤, 5, 9,Ｌエキストラエンド, 82,田辺裕, 0.1, 89,  -4,* 21, 9, 22.8, ⑬⑫
 6, 2,Ｄメイショウワゴコロ, 43,武豊  , 2.2, 48, -11,   4, 3, 14.2, ⑦⑧, 6, 7, クラレンスハウス,---,松岡正, 0.8, 50, -23,   0,10, 50.9,⑤⑩⑩, 6, 4,Ｉドラゴンスパン, 66,田辺裕, 0.5, 66, -16,* 19, 5, 11.1, ⑪⑩, 6,12,Ｃミトラ, 87,ベリｰ, 0.2, 84,   1,   9, 7, 13.5, ⑦⑦
 7, 4,Ｃビレッジトプテム, 52,柴田大, 2.5, 44,  -9,  -4, 5, 44.9, ③③, 7,15, コパノハミルトン,---,田辺裕, 0.9, 42,*-20,  -9, 8, 35.7,⑫③③, 7,10,Ｄフロリダブルｰ, 73,柴山雄, 0.5, 66, -16,* 20, 4,  7.9, ⑩⑪, 7,14,Ａダノンシャｰク, 93,福永祐, 0.3, 81,*  3,   5, 1,  2.9, ④③
 8, 9,Ｊポントス, 27,大庭和, 2.7, 46, -13,   3, 7,129.5, ⑩⑩, 8, 9, トゥｰハｰツシチｰ,---,柴山雄, 1.0, 50, -27,   6,15,164.5,⑯⑭⑭, 8, 6,Ｇチュウワワンダｰ, 68,大野拓, 0.6, 65, -10,  12, 8, 27.6, ③④, 8,10,Ｏメイショウヤタロウ, 80,吉田豊, 0.5, 83,  -3,  12,16,216.7, ⑩⑩
 9, 1,Ｈタｰンブルブルｰ, 37,江田照, 4.2, 31, -10, -15,10,228.1, ⑧⑦, 9, 2, ブラウンウィナｰ,---,田中勝, 1.2, 44, -25,  -3, 9, 44.0,⑨⑬⑫, 9, 9,Ｈリｰサムダイチ, 68,江田照, 1.9, 53, -13,   3,10,199.0, ⑥⑦, 9, 8,Ｎダノンヨｰヨｰ, 81,江田照, 0.5, 85,  -9,* 20,15,188.5, ⑮⑭
10, 6,Ｅエマｰブルバタｰユ, 40,村田一, 4.3, 33, -17,  -3, 9,216.1, ⑪⑪,10, 1, ロジダｰリング,---,三浦皇, 1.5, 37, -22, -13, 5, 16.9,③④⑤,10,11,Ｊパナシュドｰル, 63,福永祐, 1.9, 54, -15,   6, 9, 37.1, ⑨⑧,10, 2,Ｆキングズオブザサン, 87,蛯名正, 0.5, 79,   1,   3, 4,  8.6, ③④
11, 3,Ｉイトスギ, 32,梶晃啓, 4.4, 29, -14, -12,11,301.8, ⑨⑨,11, 5, ニシノマジック,---,村田一, 1.6, 35, -22, -16,13,122.0,②⑤⑥,11, 7,Ｋデサフィナｰド, 51,梶晃啓, 2.1, 52, -14,   3,11,236.5, ⑧⑨,11, 6,Ｍコスモソｰンパｰク, 82,松岡正, 0.6, 77,*  4,  -2,14,149.6, ①①
,,,,,,,,,,,,12,14, コスモウオモ,---,柴田大, 1.9, 30,*-20, -24,16,191.0,⑥②②,,,,,,,,,,,,,12, 5,Ｋクラリティシチｰ, 83,北村宏, 0.8, 73,*  2,  -3, 6, 13.1, ②②
,,,,,,,,,,,,13, 6, ステラグレイス,---,藤岡康, 2.2, 29, -23, -21, 6, 17.7,④⑨⑨,,,,,,,,,,,,,13,13,Ｅブレイズアトレイル, 87,藤岡康, 0.8, 80,  -8,  15,10, 24.2, ⑭⑮
,,,,,,,,,,,,14,12, ヴィンテｰジドｰル,---,蛯名正, 2.3, 33, -29, -11,11, 63.7,⑭⑮⑮,,,,,,,,,,,,,14, 1,Ｄトｰセンレｰヴ, 87,ブドｰ, 0.9, 74,   0,   1,11, 25.8, ⑧⑧
,,,,,,,,,,,,15, 4, メイショウスタｰク,---,武豊  , 3.2, 17,*-20, -43, 3, 10.2,①①①,,,,,,,,,,,,,15,15,Ｉシェルビｰ, 86,武豊  , 1.1, 68,   1,  -6, 8, 14.7, ⑤⑤
,,,,,,,,,,,,16, 8, セレスティｰヌ,---,大野拓, 3.5, 20, -32, -20,12, 84.9,⑮⑯⑯,,,,,,,,,,,,,16, 3,Ｐインパルスヒｰロｰ, 76,田中勝, 1.5, 72, -10,   9,13,112.2, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-4),,,,,,,,,,,
単勝:440円 複勝:07=100円 11=100円 08=630円 枠連:150円,,,,,,,,,,,,単勝:270円 複勝:10=120円 03=110円 13=220円 枠連:310円,,,,,,,,,,,,"単勝:460円 複勝:08=140円 03=130円 02=110円 枠連:1,630円",,,,,,,,,,,,"単勝:610円 複勝:16=250円 07=760円 11=350円 枠連:8,370円",,,,,,,,,,,
"馬連:150円 ワイド:07-11=110円 07-08=2,640円 08-11=1,560円",,,,,,,,,,,,馬連:330円 ワイド:03-10=170円 10-13=560円 03-13=490円,,,,,,,,,,,,"馬連:1,400円 ワイド:03-08=410円 02-08=240円 02-03=190円",,,,,,,,,,,,"馬連:14,780円 ワイド:07-16=4,370円 11-16=1,600円 07-11=4,310円",,,,,,,,,,,
