14年 1月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 1月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
 9, 7,Ｈシゲルエッチュウ, 56,城戸義, 1.2, 57,  -7,   5,12, 50.9,⑬⑮⑬, 9, 8, ショウナンパレット,,浜野谷,204.3,,,,12,115.6,⑩⑩⑩, 9,16,Ｍアルテミシア, 60,藤岡康, 1.2, 60,  -1,   3,13, 87.8, ⑬⑬, 9,11,Ｅアマノウインジｰ, 67,川須栄, 0.9, 62,  -5,   7, 8, 36.9, ⑨⑨
10, 2,Ｐデュｰイ, 38,丸山元, 1.3, 54,  -6,   2, 7, 21.0,⑥⑨⑨,10,11, シゲルハンベイ,,草野太,206.0,,,,13,118.9,⑥⑧⑨,10,14,Ｎブロンドヒロイン, 58,吉田隼, 1.3, 61,   5,  -5,12, 78.8, ⑩⑨,10, 6,Ｊアロｰズグリｰム, 56,勝浦正, 1.0, 61,  -8,   9, 7, 33.6, ⑩⑩
11, 1,Ｌブラウンネプチュｰ, 47,西田雄, 1.6, 54,  -7,   2,14,189.6,⑪⑭⑪,11, 1, ナムララオウ,,難波剛,206.4,,,, 6, 18.1,⑬⑫⑫,11,12,Ｏアナンタン, 56,中舘英, 1.4, 60,  -1,   3,16,334.2, ⑭⑭,11, 7,Ｌトウシンムサシ, 53,藤岡康, 1.0, 60,  -4,   4, 9, 51.5, ⑥⑦
12,12,Ｉラッキｰハンタｰ, 56,高倉稜, 1.7, 52,  -7,   0, 8, 21.7,⑯⑫⑫,12,13, ウインバンディエラ,,山本康,206.8,,,, 5, 16.3,④⑤⑦,12,13,Ｃケリｰダノビア, 74,松山弘, 1.4, 62,* 13, -15, 3,  6.2, ①①,12,13,Ｆクｰルジョジョ, 67,太宰啓, 1.3, 56,   0,  -5,10, 90.8, ③④
13, 8,Ｍベルモントタイム, 46,菅原隆, 2.3, 48,  -6,  -6,16,379.9,⑧⑩⑩,13, 4, メイショウゲンキ,,蓑島靖,209.9,,,,14,208.1,⑭⑭⑭,13, 6,Ｈフェアリｰガｰデン, 67,花田大, 1.5, 59,   5,  -7, 9, 31.8, ⑨⑩,13,12,Ｈヴィンテｰジロｰズ, 60,小牧太, 2.6, 44, -16,   1, 6, 31.0, ⑬⑬
14,14,Ｋセンスオブオナｰ, 51,藤岡佑, 2.4, 44,* -4, -12,13,144.3,⑫⑤⑧,14,10, メイショウヤギュウ,,北沢伸,209.9,,,, 8, 39.0,⑫⑬⑬,14,10,Ｌアルマシャウラ, 60,柴山雄, 2.4, 50,  -3,  -4, 8, 27.8, ⑮⑮,14, 8, ゴｰルドソレイユ,---,吉井友, 3.0, 39, -20,   0,14,529.5, ⑭⑭
15,15,Ｎスズカレビン, 45,太宰啓, 3.3, 43,  -7, -14,11, 35.6,⑭⑬⑮,,,,,,,,,,,,,15, 2,Ｐノｰブルシャトル, 53,伴啓太, 2.5, 49, -15,* 10,15,219.2, ⑯⑯,,,,,,,,,,,,
16,16,Ｏマｰシャラｰ, 41,松田大, 4.1, 36,  -6, -22,15,202.3,⑩⑪⑭,,,,,,,,,,,,,16,11,Ｋトｰセンスタッフ, 60,杉原誠, 4.3, 37,  10, -37,11, 44.4, ④⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-4),,,,,,,,,,,
単勝:240円 複勝:03=130円 10=220円 04=490円 枠連:540円,,,,,,,,,,,,"単勝:240円 複勝:06=150円 02=130円 09=1,450円 枠連:380円",,,,,,,,,,,,単勝:680円 複勝:04=190円 08=210円 03=140円 枠連:560円,,,,,,,,,,,,"単勝:210円 複勝:04=120円 02=240円 05=250円 枠連:1,340円",,,,,,,,,,,
"馬連:1,080円 ワイド:03-10=490円 03-04=1,520円 04-10=3,450円",,,,,,,,,,,,"馬連:370円 ワイド:02-06=190円 06-09=1,990円 02-09=1,690円",,,,,,,,,,,,"馬連:2,590円 ワイド:04-08=760円 03-04=340円 03-08=460円",,,,,,,,,,,,"馬連:1,330円 ワイド:02-04=380円 04-05=420円 02-05=900円",,,,,,,,,,,
"馬単:1,700円 3連複:8,980円 3連単:33,200円",,,,,,,,,,,,"馬単:600円 3連複:5,410円 3連単:19,590円",,,,,,,,,,,,"馬単:4,710円 3連複:1,970円 3連単:14,720円",,,,,,,,,,,,"馬単:1,650円 3連複:2,390円 3連単:7,690円",,,,,,,,,,,
■ 2R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝3330m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 8R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中京ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｄミスマｰプル, 72,川島信,, 68,  -4,* 18, 8, 41.2,⑨⑦⑦, 1, 7, メイショウヨウドウ,,西谷誠,,,,, 2,  3.7,⑤④④, 1, 7,Ａクレスコモア, 76,菱田裕,, 70,*  6,   8, 1,  2.3,②②②, 1, 5,Ｄエｰシンシャラク, 76,小牧太,, 71,  -3,   4, 3,  6.4, ④④
 2, 5,Ｅクリノアマダブラム, 71,小牧太, 0.0, 69,  -4,  17, 3, 12.0,⑤⑥⑤, 2, 1, アドマイヤトライ,,北沢伸,220.0,,,, 3,  4.5,③③②, 2, 5,Ｆフリｰクエンシｰ, 72,水口優, 0.2, 74,*  6,   7, 4,  8.6,①①①, 2,15,Ａスピｰクソフトリｰ, 81,武幸四, 0.0, 73, -12,* 13, 1,  3.3, ⑮⑮
 3, 2,Ａトゥザレジェンド, 81,川須栄, 0.1, 69,  -7,* 19, 1,  1.8,⑧⑧⑧, 3,10, コスモソユｰズ,,石神深,220.2,,,, 9, 44.2,④⑥⑥, 3, 3,Ｄレッドエンブレム, 73,杉原誠, 0.2, 70,   5,  11, 2,  3.8,⑦⑥⑤, 3, 8,Ｊアブマｰシュ, 70,勝浦正, 0.1, 71,  -7,   7, 8, 15.5, ⑧⑧
 4, 8,Ｆアルティメイトラブ, 71,黛弘人, 0.1, 66,* -3,  13, 4, 12.0,①①①, 4, 6, メイショウヨシミツ,,田村太,220.5,,,, 5, 13.3,⑨⑩⑧, 4, 6,Ｃユキノスライダｰ, 74,城戸義, 0.3, 71,   2,* 14, 3,  8.1,⑩⑩⑪, 4,11,Ｃカシノランナウェイ, 76,柴山雄, 0.2, 71, -20,* 19, 5, 13.7, ⑰⑰
 5, 7,Ｉキャニオンバレｰ, 66,菱田裕, 0.2, 64,* -3,  13, 5, 15.9,④③③, 5, 9, ウォｰクラウン,,林満明,220.5,,,,10, 53.5,⑦⑦⑦, 5,13,Ｊメイショウソレイユ, 67,西村太, 0.6, 70,   2,* 14,13,248.3,⑫⑫⑫, 5, 4,Ｍアグネスキズナ, 70,中舘英, 0.2, 68,  -5,   4,12, 38.3, ⑦⑦
 6, 6,Ｃフィアレス, 73,中井裕, 0.2, 68,  -4,  14, 6, 16.5,⑦④⑥, 6,14, マッキｰバッハ,,高田潤,220.5,,,, 1,  2.6,②②③, 6, 2,Ｂブロｰドスタｰ, 75,原田敬, 0.7, 67,   4,   7, 5,  9.3,⑤⑦⑦, 6, 9,Ｏワイルドジョイ, 69,長岡禎, 0.2, 71, -12,  11,18,188.7, ⑬⑭
 7,11,Ｌタマモマナムスメ, 55,松田大, 0.7, 63,* -3,   9, 9, 48.3,②②②, 7, 8, トｰセンプラチナ,,五十嵐,220.6,,,, 6, 17.6,①①①, 7,11,Ｇオｰタムカラｰ, 68,長岡禎, 0.8, 67,   3,   9, 8, 33.4,⑨⑨⑨, 7, 7,Ｌワキノキセキ, 70,藤岡佑, 0.3, 68,  -8,   6, 4,  8.9, ⑪⑪
 8, 4,Ｂショウナンアズサ, 76,藤岡康, 0.8, 62,  -5,  10, 2,  3.4,③⑤④, 8,13, シャイニｰブラック,,浜野谷,220.7,,,, 4, 11.9,⑥⑤⑤, 8, 8,Ｍトキノサコン, 64,平野優, 1.1, 66,   2,   8, 7, 33.2,⑪⑪⑩, 8, 2,Ｆシェルエメｰル, 74,藤岡康, 0.3, 72, -22,* 20, 6, 14.0, ⑱⑱
 9,10,Ｈパリｰナチャン, 69,伴啓太, 0.9, 64,  -9,* 19,11,153.3,⑫⑪⑪, 9,12, リリｰスバｰジョン,,横山義,221.1,,,,14,219.5,⑬⑪⑩, 9, 4,Ｌシゲルラシンバンザ, 64,田中健, 1.3, 63,   5,   1, 9, 42.9,③④④, 9,13,Ｐグレカｰレ, 65,菱田裕, 0.4, 66,*  3,  -6,16,115.3, ②②
10, 9,Ｇナンヨｰノキョｰ, 71,杉原誠, 1.4, 59,  -8,  12, 7, 29.3,⑪⑩⑩,10, 4, レｰザｰインパクト,,中村将,221.5,,,,12, 83.0,⑧⑨⑨,10,12,Ｅリンガスクリフ, 73,中井裕, 1.6, 63,*  6,  -4, 6, 11.4,⑧③③,10,18,Ｒタイセイマテンロウ, 62,吉田隼, 0.4, 65,*  6,  -9,11, 37.3, ①①
11, 1,Ｊワンダｰエレメント, 59,城戸義, 2.0, 57, -11,  13,10,146.6,⑩⑫⑫,11,11, ユニバｰサルアゲン,,草野太,222.6,,,,11, 79.5,⑪⑫⑫,11, 1,Ｉアグネスグロｰリｰ, 67,菅原隆, 1.7, 61,   3,   2,12,175.0,⑥⑧⑧,11,10,Ｅアｰベントロｰト, 75,松山弘, 0.4, 67,  -9,   6,15,109.6, ⑫⑫
12,12,Ｋテイエムレオネッサ, 57,吉田隼, 2.1, 54,  -6,   2,12,163.6,⑥⑨⑨,12, 3, フサイチアソｰト,,難波剛,222.7,,,, 8, 28.5,⑫⑬⑬,12, 9,Ｈバロンミノル, 67,花田大, 1.8, 62,  -1,   7,10, 67.7,⑬⑬⑬,12, 6,Ｂオｰスミマイカ, 78,古川吉, 0.4, 68, -16,  12, 2,  5.3, ⑯⑯
,,,,,,,,,,,,13, 2, ゴｰルデンガッツ,,植野貴,223.7,,,, 7, 24.6,⑩⑧⑪,13,10,Ｋドラグレスク, 66,伴啓太, 2.1, 57,   5,  -6,11, 67.8,④⑤⑥,13,14,Ｈフリｰアズアバｰド, 71,伊藤工, 0.4, 65,  -4,   0,14, 88.7, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｎタガノミュｰチャン, 70,田中健, 0.5, 64,  -8,   3, 9, 15.7, ⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｇストロングロビン, 72,高倉稜, 0.6, 64, -12,   6,13, 43.5, ⑭⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｋコンサｰトレディ, 70,丸山元, 0.6, 63,  -6,   0, 7, 14.3, ⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,Ｑキャストロメファ, 63,杉原誠, 0.9, 59,*  0, -10,17,135.9, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,12,Ｉマイネサヴァラン, 70,中井裕, 1.2, 55,  -4, -10,10, 24.4, ⑤⑤
ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-4),,,,,,,,,,,
"単勝:4,120円 複勝:03=400円 05=270円 02=110円 枠連:8,210円",,,,,,,,,,,,単勝:370円 複勝:07=170円 01=180円 10=590円 枠連:890円,,,,,,,,,,,,単勝:230円 複勝:07=110円 05=170円 03=130円 枠連:660円,,,,,,,,,,,,単勝:640円 複勝:05=210円 15=160円 08=370円 枠連:510円,,,,,,,,,,,
"馬連:14,660円 ワイド:03-05=2,210円 02-03=830円 02-05=350円",,,,,,,,,,,,"馬連:940円 ワイド:01-07=390円 07-10=1,650円 01-10=1,890円",,,,,,,,,,,,馬連:820円 ワイド:05-07=350円 03-07=190円 03-05=520円,,,,,,,,,,,,"馬連:1,320円 ワイド:05-15=570円 05-08=1,720円 08-15=970円",,,,,,,,,,,
"馬単:26,490円 3連複:3,520円 3連単:58,800円",,,,,,,,,,,,"馬単:1,620円 3連複:9,440円 3連単:30,540円",,,,,,,,,,,,"馬単:1,660円 3連複:1,150円 3連単:6,840円",,,,,,,,,,,,"馬単:2,820円 3連複:7,550円 3連単:37,250円",,,,,,,,,,,
■ 3R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  芝1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 9R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  芝2200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｄフィオリア, 70,中井裕,, 70,  -4,  10, 6, 12.8, ⑤⑤, 1, 3,Ｈテンシノホホエミ, 50,小牧太,, 64,*  6, -11, 2,  4.9, ④③, 1,15,Ｅヒショウ, 72,黛弘人,, 73,  -1,  15, 3,  6.7, ⑤⑤, 1, 4,Ａタイセイドリｰム, 78,小牧太,, 78,* 12,  -8, 1,  1.8,⑧③②
 2,12,Ｃシャンパンルｰジュ, 70,吉田隼, 0.2, 68,* -4,   7, 1,  3.3, ③③, 2, 6,Ｃマイネパシオｰネ, 58,柴山雄, 0.0, 64,*  7, -12, 3,  5.3, ③④, 2,13,Ｃケッキセヨ, 75,菱田裕, 0.0, 71,  -1,  14, 2,  3.8, ④③, 2,11,Ｂトｰセンウィンドウ, 75,松山弘, 0.0, 80,   6,* 12, 7, 30.7,⑬⑭⑭
 3,16,Ｂヒラボクダッシュ, 72,川須栄, 0.2, 68,  -6,  10, 3,  5.4, ⑦⑧, 3, 9,Ｇノｰブルサイレンス, 51,菱田裕, 0.7, 56,   6, -19, 7, 15.2, ⑤⑤, 3,12,Ａハッピｰヤングマン, 76,藤岡康, 0.2, 73,  -9,* 23, 7, 14.1, ⑮⑭, 3, 7,Ｏタイセイボルト, 63,川須栄, 0.2, 77,   6,*  8, 9, 45.3,⑮⑮⑬
 4, 7,Ｉジｰブラック, 67,藤岡佑, 0.3, 66,  -4,   7, 4,  7.9, ④④, 4, 8,Ｎラヴクレｰジｰ, 42,丸山元, 0.8, 54,   4, -19,15,125.0, ⑦⑦, 4, 8,Ｇトウショウタイド, 70,古川吉, 0.4, 69,  -4,  14,10, 38.7, ⑦⑥, 4, 5,Ｃアｰカイブ, 74,丸山元, 0.2, 78,   7,*  6, 2,  5.8,⑫⑬⑪
 5, 1,Ａロｰレルボルケｰノ, 75,藤岡康, 0.3, 66,  -7,  10, 2,  4.8, ⑧⑥, 5,14, キクノユニゾン,---,川島信, 0.9, 51,  -4,* -9, 9, 19.5, ⑭⑭, 5, 4,Ｄアチｰヴ, 72,松山弘, 0.6, 68,  -6,  15, 4, 11.4, ⑪⑩, 5, 8,Ｄオムニバス, 74,吉田隼, 0.3, 75,  11,  -7, 3,  7.1,③⑤④
 6, 6,Ｆヴァルナビット, 68,小牧太, 0.4, 66, -13,* 14, 7, 15.8, ⑮⑮, 6, 4,Ｂヤマカゲ, 60,中井裕, 0.9, 53,   4, -20, 5,  7.2, ⑥⑥, 6, 6,Ｆドルモン, 72,丸山元, 0.6, 69, -13,* 25, 9, 30.5, ⑯⑯, 6,15,Ｈタイセイグルｰヴィ, 72,勝浦正, 0.3, 78,   7,   4, 4, 11.9,⑭⑫⑩
 7, 4,Ｈホッコｰジョイフル, 67,熊沢重, 0.4, 68, -10,* 12, 9, 19.0, ⑪⑨, 7, 2,Ｑシャルマンウｰマン, 34,川須栄, 0.9, 54,*  9, -27,10, 35.3, ②②, 7, 1,Ｍマルトクスパｰト, 64,中舘英, 0.7, 67,*  2,   6,12, 77.0, ①①, 7,10,Ｋボｰイフレンド, 69,武幸四, 0.5, 74,* 13, -15, 8, 40.7,⑪①①
 8,11,Ｎウタヒメ, 61,川島信, 0.5, 64,  -6,   7,14,139.2, ⑥⑦, 8,16,Ｉヤマニンルポ, 49,杉原誠, 1.0, 50,  -5,* -9,14, 78.6, ⑮⑮, 8,14,Ｂシンキングマシｰン, 76,川須栄, 0.7, 68,  -4,  13, 1,  2.6, ⑩⑨, 8, 2,Ｅセプテントリオ, 73,柴山雄, 0.6, 72,   8,  -4, 6, 15.6,⑥⑧⑧
 9, 2,Ｍアンテインテッド, 62,丸山元, 0.5, 64,* -3,   4,12, 73.5, ①①, 9,15,Ａエイシンノｰティス, 61,藤岡佑, 1.2, 49,   1, -20, 4,  7.0, ⑨⑨, 9, 9,Ｏキングズウェザｰ, 58,武幸四, 0.8, 68,  -3,  10, 5, 13.2, ⑥⑦, 9,16,Ｆレイトライザｰ, 73,高倉稜, 1.4, 66,   6,  -8,15,143.5,⑩⑪⑮
10, 3,Ｋアｰクペガサス, 66,松田大, 0.7, 63, -13,* 11,13,109.9, ⑭⑬,10,12,Ｋマイネプレセア, 48,黛弘人, 1.2, 48,  -1, -16, 6, 13.7, ⑫⑪,10,16,Ｈショウナンアポロン, 69,高倉稜, 0.8, 65,  -4,  11,14,100.5, ⑧⑧,10,14,Ｌジリオン, 68,太宰啓, 1.6, 63,  10, -21,14, 99.2,⑤⑦⑦
11, 5,Ｅバルトロメオ, 69,菱田裕, 0.8, 61,  -9,   7,10, 27.1, ⑨⑩,11,18,Ｍテムル, 42,西田雄, 1.2, 49, -10,* -4,17,158.9, ⑱⑱,11, 2,Ｉコウユｰサムライ, 69,勝浦正, 0.9, 64,  -1,   7, 8, 26.0, ③④,11, 9,Ｍヴェイパｰコｰン, 65,中舘英, 1.8, 62,   7, -17,12, 93.7,④⑨⑫
12, 9,Ｊキャメロンロｰド, 67,黛弘人, 0.9, 61, -11,   8,11, 60.6, ⑬⑭,12,10,Ｅヤマホトトギス, 54,松山弘, 1.3, 48,   3, -24,11, 54.2, ⑧⑧,12, 3,Ｌモオプナツヨシ, 65,太宰啓, 0.9, 67,  -7,  15, 6, 13.6, ⑫⑫,12, 6,Ｊテンカイチ, 70,黛弘人, 1.8, 63,   5,  -9,13, 98.7,⑯⑯⑯
13, 8,Ｏエルクイｰン, 49,武幸四, 0.9, 63,* -3,   1, 8, 16.4, ②②,13,11,Ｐレディゴｰルド, 37,吉田隼, 1.3, 47,  -4, -15,16,141.9, ⑬⑬,13, 5,Ｊパスティ, 67,西田雄, 1.1, 64,*  1,   4,13, 81.4, ②②,13, 3,Ｇマイネルハｰトレｰ, 72,中井裕, 2.0, 62,   9, -24,11, 62.0,⑨⑩⑨
14,14,Ｇサンダｰオｰシャン, 67,中舘英, 1.3, 58, -10,   3, 5, 11.3, ⑫⑫,14,17,Ｊサクラスマｰト, 49,勝浦正, 1.5, 46,  -1, -20, 8, 16.0, ⑪⑫,14, 7,Ｋサンデｰコア, 66,竹之下, 1.3, 63,  -9,  14,16,200.1, ⑭⑮,14,12,Ｎセルリアンディンゴ, 64,藤岡康, 2.1, 60,* 13, -35,10, 57.8,⑦②③
15,15,Ｌエバｰグレｰズ, 64,長岡禎, 1.3, 57,  -9,   3,15,393.3, ⑩⑪,15, 1,Ｌシゲルウゴ, 42,高倉稜, 1.7, 45,* 10, -39,18,160.8, ①①,15,11,Ｎガムザッティ, 59,城戸義, 1.7, 58,  -5,   5,11, 62.6, ⑨⑪,15, 1,Ｉテｰオｰレジェンド, 70,藤岡佑, 2.1, 60,  11, -33, 5, 13.5,①④⑤
16,10,Ｐアイファｰアクセス, 38,吉井友, 2.8, 43, -16,  -4,16,559.5, ⑯⑯,16, 5,Ｆベニノラブリｰ, 52,花田大, 1.9, 41,  -6, -19,13, 75.2, ⑯⑯,16,10,Ｐアヴェンタドｰル, 56,中井裕, 1.9, 59,  -7,   6,15,168.5, ⑬⑬,16,13,Ｐテイエムオオラジャ, 59,菱田裕, 2.5, 57,  10, -34,16,219.2,②⑥⑥
,,,,,,,,,,,,17, 7,Ｏホッコｰムサシ, 38,熊沢重, 2.2, 38,   0, -32,12, 66.3, ⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,13,Ｄベストゴｰル, 55,中舘英, 2.5, 37,  -6, -26, 1,  4.6, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
