14年 8月 9日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 8月 9日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1500m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
 1, 3,Ｆブルザンインディゴ, 60,吉田隼,, 65,* -2,* 15, 3,  5.6,④⑥④, 1,12, フロｰレスダンサｰ,---,四位洋,, 58,*-21,* 11, 1,  1.8,②②②, 1, 5,Ｋエイシンヴァラｰ, 68,藤岡康,, 71,*  7,*  2, 3,  8.8,①①①, 1, 5,Ｂイントレピッド, 79,藤岡康,, 85,* 16,  -4, 7, 14.0,⑤②②
 2, 4,Ｈエンジェルラダｰ, 56,藤岡康, 0.3, 60,* -1,   8, 5, 12.4,①①①, 2, 4, シンキングロｰジス,---,三浦皇, 0.0, 57,*-21,  10, 4, 11.5,①①①, 2, 4,Ｇフィｰルドメジャｰ, 70,松岡正, 0.5, 69,*  6,  -1,10, 25.9,⑤③②, 2, 3,Ｃディｰプストｰリｰ, 78,三浦皇, 0.2, 83,  15,* -2, 9, 17.0,⑦⑥③
 3,10,Ｊエンジェルピｰス, 53,丸山元, 0.3, 59,* -2,   8, 2,  3.8,⑩②②, 3, 7, サンインディアナ,---,松岡正, 0.3, 56,*-22,  10,11, 63.6,③③③, 3,11,Ｌファイトユアソング, 52,黛弘人, 0.7, 69,   2,*  5,11, 70.0,⑬⑪⑩, 3, 7,Ａトニｰポケット, 81,松田大, 0.5, 80,  13,* -3,12, 27.2,⑪⑨④
 4, 5,Ａシュタインベルガｰ, 68,ロｰウ, 0.4, 62,  -3,* 13, 1,  2.5,⑤⑧⑦, 4,10, ドリｰムチェイサｰ,---,池添謙, 0.3, 54,*-22,  10, 3,  7.3,⑤④④, 4, 9,Ｂスマｰトダイバｰ, 74,松田大, 0.7, 66,   5,  -1, 2,  4.6,④⑤③, 4, 2,Ｉセミニョン, 75,津村明, 0.5, 80,  13,* -3,11, 23.7,⑨⑩⑦
 5, 8,Ｅカフジスタｰ, 60,古川吉, 0.5, 61,* -2,   9, 9, 27.2,⑥④⑤, 5, 2, パイロキネシスト,---,勝浦正, 0.5, 55, -24,  10,10, 62.7,⑥⑦⑥, 5, 8,Ｆシップウ, 70,柴山雄, 0.9, 64,   3,   0, 8, 21.6,⑩⑨⑦, 5, 8,Ｋカンタベリｰナイト, 70,菱田裕, 0.6, 80,  12,* -1,13, 43.5,⑫⑫⑧
 6,12,Ｉダンスｰルクレｰル, 55,長岡禎, 0.7, 59,* -2,   7, 8, 23.0,②③③, 6, 1, グリュｰヴァイン,---,吉田隼, 0.6, 54, -26,* 13, 2,  4.5,⑨⑩⑩, 6, 7,Ａニュｰハウン, 75,三浦皇, 1.1, 63,   3,  -2, 1,  1.9,⑧⑧⑥, 6,11,Ｅエスペリア, 78,池添謙, 0.9, 77,  12,* -2, 6, 11.3,⑬⑬⑩
 7, 6,Ｂコマノアスリｰト, 65,柴山雄, 0.8, 59,  -4,  12, 7, 21.1,⑧⑨⑨, 7, 6, デヴァスタシオン,---,藤岡康, 0.7, 51, -24,   7, 5, 13.9,⑦⑨⑦, 7,12,Ｈキングスクルｰザｰ, 69,秋山真, 1.1, 65,   2,   1, 7, 21.4,⑪⑫⑫, 7, 4,Ｄフィルハｰマジック, 78,丸田恭, 1.0, 74,  13, -12, 3,  7.4,⑩⑧⑥
 8,11,Ｃマルカブラン, 64,藤田伸, 0.8, 59,  -3,   9, 4, 10.8,⑨⑦⑥, 8, 5, ミュゼダルタニアン,---,柴山雄, 1.1, 44,*-22,  -2, 7, 24.1,⑫⑥⑤, 8,10,Ｃアイアムナチュラル, 72,藤田伸, 1.2, 65,   4,  -4, 4, 13.4,⑨⑥⑤, 8, 6,Ｍヒルノドンカルロ, 69,藤田伸, 1.0, 76,* 16, -21, 2,  5.7,①①①
 9, 1,Ｄタイセイオｰシャン, 60,勝浦正, 2.4, 48,* -2,  -6, 6, 15.9,③⑤⑧, 9, 9, キタサンアカツキ,---,丸田恭, 1.3, 45, -28,   5, 6, 18.2,⑪⑫⑨, 9, 3,Ｊショウナンガッチャ, 68,勝浦正, 1.3, 62,   1,  -1, 9, 25.4,⑫⑬⑨, 9,10,Ｇルミナスレッド, 76,黛弘人, 1.5, 72,  14, -22, 5, 10.2,⑧⑤⑤
10, 7,Ｇザッツフェイマス, 56,黛弘人, 2.4, 51,  -4,  -1,10, 34.9,⑪⑩⑩,10,11, アモｰレエテルノ,---,長岡禎, 1.3, 42, -24,  -2, 8, 35.1,④⑧⑧,10, 1,Ｅシャドウシティｰ, 70,菱田裕, 1.4, 61,   3,  -5, 6, 17.7,⑥⑦⑧,10,13,Ｎサクラキングオｰ, 62,松岡正, 2.2, 68,  13, -27,14,105.9,⑥⑪⑪
11, 2,Ｋマサノサｰパス, 51,小崎綾, 3.0, 46,  -4,  -6,11, 58.6,⑦⑪⑪,11, 8, テイエムキュアオウ,---,荻野琢, 2.5, 27, -25, -16, 9, 44.7,⑩⑪⑫,11, 6,Ｄニシノマテンロウ, 71,吉田隼, 1.5, 61,   5,  -8, 5, 13.4,③④④,11, 9,Ｈストｰミング, 75,勝浦正, 4.1, 61,* 16, -62, 4,  7.5,④③⑨
12, 9,Ｌトウカイソレイユ, 49,桑村真, 5.0, 36,  -7, -15,12,120.7,⑫⑫⑫,12,13, トｰセンラブリｰ,---,菱田裕, 3.1, 18,*-22, -30,12, 91.2,⑧⑤⑪,12, 2,Ｉキセキノチャンス, 69,城戸義, 1.7, 61,   2,  -5,12,108.5,⑦⑩⑬,12, 1,Ｌトップボンバｰ, 70,小崎綾, 5.4, 56,  13, -74, 8, 16.2,③⑦⑫
,,,,,,,,,,,,13, 3, アイガットリズム,---,津村明, 4.7,  2, -30, -36,13,126.1,⑬⑬⑬,13,13,Ｍダンツキャノン, 45,古川吉, 4.0, 45,*  6, -32,13,117.9,②②⑪,13,12,Ｊトｰセンワｰプ, 75,吉田隼, 6.0, 22,  15, -85,10, 21.2,②④⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-1),,,,,,,,,,,
"単勝:560円 複勝:03=190円 04=300円 10=160円 枠連:4,230円",,,,,,,,,,,,単勝:180円 複勝:12=120円 04=230円 07=960円 枠連:640円,,,,,,,,,,,,"単勝:880円 複勝:05=320円 04=550円 11=2,130円 枠連:8,020円",,,,,,,,,,,,"単勝:1,400円 複勝:05=450円 03=470円 07=710円 枠連:1,110円",,,,,,,,,,,
"馬連:4,270円 ワイド:03-04=1,220円 03-10=490円 04-10=1,140円",,,,,,,,,,,,"馬連:1,010円 ワイド:04-12=350円 07-12=1,970円 04-07=4,260円",,,,,,,,,,,,"馬連:7,500円 ワイド:04-05=2,440円 05-11=9,980円 04-11=13,970円",,,,,,,,,,,,"馬連:11,500円 ワイド:03-05=3,050円 05-07=4,630円 03-07=6,100円",,,,,,,,,,,
"馬単:7,510円 3連複:5,760円 3連単:38,490円",,,,,,,,,,,,"馬単:1,380円 3連複:14,060円 3連単:36,130円",,,,,,,,,,,,"馬単:14,710円 3連複:159,080円 3連単:806,970円",,,,,,,,,,,,"馬単:21,250円 3連複:74,070円 3連単:457,440円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 6R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 9R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,桑園特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂベルプラｰジュ, 68,勝浦正,, 66,*  2,* 13, 1,  2.4,②②②, 1, 9,Ｉロｰレルトルネｰド, 60,小林徹,, 63,* -1,  -6,10, 19.8,①①①, 1, 3,Ａツクバアズマオｰ, 77,勝浦正,, 69,   5,* -4, 1,  2.0,⑫⑫⑥, 1, 9,Ａモンドクラッセ, 91,三浦皇,, 78,* -1,* 20, 1,  1.2,①①①
 2, 6,Ｃエヴォリュｰション, 66,城戸義, 0.4, 65,*  2,   8, 3,  5.8,①①①, 2, 2,Ｇショウナンアトラス, 63,小崎綾, 0.2, 62,  -5,* -1, 4,  9.0,⑤⑦⑤, 2, 4,Ｅカッパドキア, 68,松田大, 0.1, 67,   5,* -6, 2,  3.9,⑩⑪⑬, 2,11,Ｆバイタルフォルム, 71,西村太, 1.1, 71,* -1,  12, 6, 25.5,②②②
 3, 4,Ｉテイエムペガサス, 57,古川吉, 1.1, 61,   1,   6,12, 72.1,⑦⑤③, 3,15,Ｂウエスタンメグ, 65,秋山真, 0.6, 59,  -5,  -3, 8, 15.4,⑧⑩⑧, 3,10,Ｈライフトップガン, 63,池添謙, 0.2, 66,   4,* -3, 7, 27.6,⑬⑬⑪, 3, 2,Ｅディｰエスコマンド, 72,勝浦正, 1.4, 68,  -2,  10, 2,  6.7,⑤③③
 4, 8,Ｈクイズリングテラス, 58,井上敏, 1.1, 61,  -2,* 10,11, 65.7,⑩⑦⑤, 4,11,Ｆビキニスタイル, 63,菱田裕, 0.6, 61,  -8,*  4, 6, 13.2,⑫⑭⑫, 4,12,Ｊマイネルバランシン, 57,松岡正, 0.5, 63,   6, -13,11, 46.5,⑪⑩⑩, 4, 5,Ｂメイショウドゥｰマ, 77,菱田裕, 1.4, 69,  -3,  13, 4, 17.4,⑥⑥⑤
 5,10,Ａウィアｰワン, 69,藤田伸, 1.4, 58,   0,   2, 2,  3.0,④③④, 5, 3,Ａアワフレイム, 67,吉田隼, 0.7, 55,  -3, -11, 1,  3.1,④⑥⑦, 5, 2,Ｆデスティニｰシチｰ, 68,秋山真, 0.6, 61,*  9, -20, 4, 11.2,④⑤④, 5, 4,Ｉグレｰトヴァリュｰ, 69,松田大, 1.7, 66,  -2,   8, 9, 75.1,④④④
 6,12,Ｍホトトヤエ, 48,津村明, 1.6, 56,   0,   2,10, 62.0,⑤⑥⑦, 6, 1,Ｌクインズフロｰリｰ, 54,丸田恭, 0.9, 55,  -7,  -3,11, 41.3,⑩⑫⑨, 6,14,Ｉマイネルゾンネ, 60,丹内祐, 0.6, 61,* 10, -23,10, 34.8,③②②, 6, 8,Ｈケンブリッジギルド, 70,藤田伸, 2.1, 67,  -5,  10, 5, 22.9,⑨⑨⑨
 7, 5,Ｋアロハエコモマイ, 51,長岡禎, 1.8, 55,  -1,   0,13,124.4,③④⑥, 7,16,Ｄニシノチャステティ, 64,村田一, 0.9, 55,* -2, -16, 3,  7.9,⑦④③, 7,13,Ｂインストアイベント, 71,横山和, 0.7, 61,   2,  -7, 8, 29.4,⑭⑭⑭, 7, 3,Ｊキャメロンロｰド, 66,黛弘人, 2.3, 64,  -3,   4,11,200.3,③⑤⑥
 8, 9,Ｄノルウェｰノモリ, 65,村田一, 1.8, 57,  -3,   5, 6, 15.3,⑬⑩⑨, 8,14,Ｎサンタンドレ, 50,三浦皇, 1.0, 55,  -8,  -5, 5, 11.1,⑪⑬⑩, 8,11,Ｇスマｰトマｰチ, 66,城戸義, 0.7, 60,*  9, -22, 9, 34.0,⑥⑥⑤, 8, 1,Ｃティｰポイズン, 73,藤岡康, 2.5, 61,  -5,   5, 3, 17.3,⑧⑧⑦
 9,11,Ｇトｰセンパピｰ, 60,柴山雄, 2.0, 52,  -2,   1, 7, 25.3,⑫⑧⑧, 9,12,Ｅセイウンコレット, 63,横山和, 1.2, 49,* -2, -22, 9, 19.0,③③②, 9, 1,Ｃハギノブシドウ, 70,ロｰウ, 1.0, 57,*  9, -26, 3,  9.7,⑤④③, 9,10,Ｄサクラテイオｰ, 73,ロｰウ, 2.5, 61,  -4,   4, 7, 29.3,⑦⑦⑧
10, 3,Ｌエイユｰバｰチョ, 49,小崎綾, 2.2, 53,  -3,   2, 8, 54.1,⑥⑨⑩,10, 8,Ｊエンプレスアイル, 59,丸山元, 1.3, 53, -10,  -4,13, 56.2,⑭⑯⑮,10, 9,Ｎエムエムロゼオ, 53,長岡禎, 1.1, 57,   8, -24,14,223.1,⑨⑦⑫,10, 6,Ｋミスズモンブラン, 65,池添謙, 2.6, 61,  -7,   9,10, 75.8,⑩⑩⑩
11, 2,Ｅキナウ, 63,松岡正, 2.3, 53,  -5,   4, 5, 14.7,⑧⑫⑬,11, 4,Ｃコパノミクス, 65,藤岡康, 1.4, 49,* -2, -23, 2,  5.3,⑮⑤⑥,11, 8,Ｋシャインシュラｰク, 57,中谷雄, 1.1, 57,   8, -24,12,102.9,⑧⑨⑨,11, 7,Ｇストライクルｰト, 70,丸田恭, 2.9, 58,  -6,   6, 8, 69.2,⑪⑪⑪
12,13,Ｊロゴマｰク, 54,松田大, 2.8, 48,  -4,  -2, 9, 57.8,⑨⑪⑪,12,10,Ｍマナスル, 50,城戸義, 1.4, 50,  -6, -14,16,111.8,⑨⑪⑭,11, 7,Ｍエタｰナルトルｰス, 55,小崎綾, 1.1, 57,* 10, -28, 6, 15.9,②③⑦,,,,,,,,,,,,
13, 1,Ｆカネトシタシナミ, 60,藤岡康, 3.1, 47,  -4,  -4, 4, 11.4,⑪⑬⑫,13, 7,Ｋスプリングアップ, 56,勝浦正, 1.4, 50,* -2, -23,15, 74.0,②②④,13, 6,Ｄヴィオラｰネ, 69,丸山元, 1.4, 54,   8, -29, 5, 12.4,⑦⑧⑧,,,,,,,,,,,,
,,,,,,,,,,,,14,13,Ｐイントゥレジェンド, 48,四位洋, 1.5, 49,  -5, -18,14, 60.8,⑬⑨⑪,14, 5,Ｌバクシンパワｰ, 55,井上敏, 2.2, 46,* 10, -47,13,150.4,①①①,,,,,,,,,,,,
,,,,,,,,,,,,15, 5,Ｏヴィルヌｰヴ, 49,松岡正, 2.1, 45,  -9, -19,12, 42.3,⑯⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 6,Ｈポッシブルドリｰム, 61,ロｰウ, 3.7, 32,  -5, -49, 7, 14.3,⑥⑧⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:-4),,,,,,,,,,,
"単勝:240円 複勝:07=130円 06=180円 04=1,230円 枠連:720円",,,,,,,,,,,,"単勝:1,980円 複勝:09=510円 02=400円 15=530円 枠連:10,750円",,,,,,,,,,,,単勝:200円 複勝:03=120円 04=130円 10=390円 枠連:360円,,,,,,,,,,,,単勝:120円 複勝:09=110円 11=270円 02=120円 枠連:530円,,,,,,,,,,,
