14年10月18日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月18日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
 5,16,Ｂコスモピンパｰネル, 56,ベリｰ, 0.7, 57, -11,   5, 4, 19.4, ⑩⑩, 5, 6,Ｆトウショウマナｰズ, 68,田中勝, 2.5, 58,* 12, -26, 6, 16.1,②①①, 5, 7,Ｆヤサカオディｰル, 71,的場勇, 0.4, 71,* 12,   0, 8, 35.8, ①①, 5, 6,Ｅアイスフォｰリス, 87,三浦皇, 0.3, 88,  14,  12, 7, 19.7,⑩⑩⑨
 6,12,Ｄラインレジェンド, 48,的場勇, 0.7, 52,* -4,  -7, 8, 47.9, ①①, 6, 3,Ｉエフティマルス, 56,柴田大, 3.8, 52,  10, -34, 7, 81.8,③④④, 6,14,Ｋシｰギリヤガｰル, 67,柴田大, 0.4, 72,*  9,   2,13,108.4, ②②, 6, 9,Ｊスイｰトサルサ, 79,田中勝, 0.3, 88,  12,  15, 6, 15.6,⑫⑪⑪
 7, 8,Ｎサトノハンナ, 30,石川裕, 0.9, 50,* -5,  -7,11,193.4, ②②, 7, 2,Ｈユｰルドゥｰ, 59,伊藤工, 5.1, 46,   9, -41, 8, 92.3,⑧⑧⑦, 7,11,Ａルミニズム, 75,北村宏, 0.5, 70,   8,   3, 4,  6.6, ④④, 7,10,Ｈレイカｰラ, 84,戸崎圭, 0.4, 86,  14,  11, 9, 32.1,⑥⑧⑧
 8, 1,Ｇフロイラインシチｰ, 44,田辺裕, 1.3, 47,  -9,  -5, 7, 33.5, ⑧⑧, 8, 7,Ｇアクシア, 68,蛯名正,13.7,-20,   3, -99, 5, 10.6,①⑤⑧, 8, 9,Ｉゴｰルドカルラ, 69,大野拓, 0.6, 70,   3,   8,11, 75.3, ⑨⑨, 8, 4,Ｉウリウリ, 82,浜中俊, 0.4, 85,  15,   6, 5, 10.4,⑤④③
 9, 3,Ｃクラウンロベルト, 49,三浦皇, 1.5, 47, -12,  -4, 5, 19.4, ⑪⑪,,,,,,,,,,,,, 9, 3,Ｇブルジュオン, 71,三浦皇, 0.6, 71,   0,* 13, 7, 23.6, ⑩⑬, 9, 1,Ｌアミカブルナンバｰ, 79,大野拓, 0.6, 85,  12,  11,10, 32.7,⑪⑨⑩
10, 6,Ｋクリノトイトイ, 40,伴啓太, 1.5, 47, -14,  -3,12,362.1, ⑬⑬,,,,,,,,,,,,,10, 5,Ｊプロスペラスマム, 68,伴啓太, 0.7, 69,  -1,* 12,15,379.6, ⑭⑭,10, 8,Ｇウイングドウィｰル, 84,伊藤工, 0.7, 81,  15,   3,13,134.2,③⑤⑤
11,10,Ｅアイナ, 46,柴田大, 1.6, 46, -12,  -5, 3, 17.5, ⑫⑫,,,,,,,,,,,,,11,12,Ｌラインロバｰト, 67,江田照, 0.8, 68,   3,   6,14,142.7, ⑪⑩,11, 7,Ｆマコトブリジャｰル, 85,秋山真, 1.2, 77,  16,  -4,11, 42.9,②③④
12,15,Ｍコマクサ, 34,武士沢, 1.9, 45, -15,  -4,13,405.0, ⑭⑭,,,,,,,,,,,,,12,10,Ｍトｰセンシルエット, 66,柴田善, 0.8, 67,   5,   2,10, 38.4, ⑥⑦,12,13,Ｋオツウ, 79,柴田善, 1.3, 74,* 18, -13, 8, 23.9,①①①
13, 2,Ｏシゲルオフネマツリ, 30,菱田裕, 2.0, 40,  -9, -15,14,405.6, ⑨⑨,,,,,,,,,,,,,13, 8,Ｄナオミノユメ, 72,ベリｰ, 1.1, 64,   2,   4, 6, 21.6, ⑬⑫,13,11,Ｍクッカｰニャ, 74,北村宏, 1.9, 69,  14, -13,12,123.0,⑧⑥⑦
14,11,Ｆゴｰルデンコリｰダ, 45,嘉藤貴, 2.1, 34,* -5, -24,10,168.1, ③③,,,,,,,,,,,,,14, 6,Ｏエバｰダンシング, 64,菱田裕, 1.4, 61,   0,   1,12, 82.0, ⑫⑪,,,,,,,,,,,,
15, 9,Ｌシテｰル, 35,岩部純, 3.0, 30, -19, -13,16,527.4, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,14,Ｐポントス, 28,大庭和, 3.2, 29, -22, -12,15,470.3, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-17 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:1),,,,,,,,,,,
単勝:110円 複勝:07=110円 05=150円 13=230円 枠連:400円,,,,,,,,,,,,単勝:560円 複勝:09=120円 08=110円 04=110円 枠連:540円,,,,,,,,,,,,単勝:330円 複勝:04=130円 02=130円 15=200円 枠連:490円,,,,,,,,,,,,単勝:800円 複勝:05=230円 03=150円 12=160円 枠連:860円,,,,,,,,,,,
"馬連:450円 ワイド:05-07=200円 07-13=350円 05-13=1,030円",,,,,,,,,,,,馬連:690円 ワイド:08-09=220円 04-09=210円 04-08=150円,,,,,,,,,,,,馬連:500円 ワイド:02-04=230円 04-15=550円 02-15=400円,,,,,,,,,,,,"馬連:1,380円 ワイド:03-05=530円 05-12=660円 03-12=350円",,,,,,,,,,,
"馬単:500円 3連複:1,330円 3連単:2,760円",,,,,,,,,,,,"馬単:1,780円 3連複:380円 3連単:3,590円",,,,,,,,,,,,"馬単:960円 3連複:1,060円 3連単:4,560円",,,,,,,,,,,,"馬単:3,100円 3連複:1,900円 3連単:12,400円",,,,,,,,,,,
■ 3R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 6R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  ダ1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■12R  ダ2100m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾟﾗﾀﾅｽ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5, ナリタスタｰワン,---,福永祐,, 65,  -9,*  7, 2,  4.3, ⑧⑧, 1, 6,Ｊレッドファルクス, 66,北村宏,, 78,   4,* 10, 2,  4.3, ④④, 1,14,Ａタップザット, 74,福永祐,, 66,  -7,  11, 1,  2.1, ⑥⑥, 1, 6,Ｂケイジｰタイタン, 80,岩部純,, 83,* 12,*  8, 7, 14.1,①①①
 2, 1, ブラウンゴッデス,---,蛯名正, 0.2, 63,* -2,  -5, 4,  8.6, ①①, 2, 7,Ａトｰセンマイティ, 73,菱田裕, 0.3, 74,*  6,   5, 1,  4.3, ②②, 2,13,Ｃデヴァスタシオン, 70,柴田大, 0.1, 67,  -8,  12, 2,  5.1, ⑨⑨, 2,13,Ｎアｰルプロセス, 73,北村宏, 0.0, 84,* 11,* 12, 1,  3.0,⑪⑪⑥
 3,10, マリオｰロ,---,戸崎圭, 0.3, 62,  -9,*  3, 1,  3.3, ⑨⑨, 3, 4,Ｇヤマトダイアンサス, 67,松岡正, 1.0, 69,*  7,  -2, 4,  8.5, ①①, 3, 6,Ｈスピリッツセカンド, 60,柴田善, 0.1, 64, -10,* 14, 7, 16.8, ⑫⑪, 3,11,Ｃホワイトフリｰト, 80,蛯名正, 0.4, 82,  11,* 10, 4,  9.0,⑦⑦⑦
 4,15, クラウンシトラス,---,吉田豊, 0.6, 59,* -4,  -7, 3,  7.0, ②②, 4,14,Ｋポｰルシッタｰ, 65,伊藤工, 1.3, 69,  -8,* 15,14,115.0, ⑯⑮, 4,11,Ｉノｰスヒｰロｰ, 56,吉田豊, 0.3, 62,* -6,   6,12, 52.0, ③③, 4, 5,Ｄランブリングマン, 79,田中勝, 1.0, 77,  10,   6, 5, 10.7,⑩⑩⑨
 5, 6, シグラップジュエル,---,的場勇, 0.9, 57, -10,   0,15, 97.5, ⑪⑪, 5, 8,Ｌマンハッタンヘンジ, 64,石橋脩, 1.5, 65,*  5,  -4,10, 33.4, ③③, 5, 8,Ｆディアドムス, 60,三浦皇, 0.3, 63,  -7,   7, 3,  9.3, ⑤⑤, 5,16,Ｅショウナンアポロン, 79,伴啓太, 1.1, 76,* 12,  -1, 9, 25.6,②②②
 6,13, ファイアリシンゾウ,---,浜中俊, 0.9, 54,* -5, -10, 9, 26.5, ③③, 6,11,Ｆアサクサゴｰルド, 67,三浦皇, 1.7, 65,  -2,   4, 7, 13.5, ⑪⑪, 6,10,Ｌタイセイアニマｰト, 52,田辺裕, 0.4, 63,  -8,   9,10, 31.2, ⑧⑧, 6, 3,Ｇガムラン, 77,三浦皇, 1.6, 73,   9,   4, 6, 12.3,⑬⑫⑫
 7, 9, カポスクオｰラ,---,横山典, 0.9, 55, -14,   2, 5,  9.9, ⑭⑬, 7,16,Ｂカリスマアキラ, 73,ベリｰ, 1.7, 62,   4,  -4, 8, 14.3, ⑤⑤, 7, 1,Ｇストロングトリトン, 60,北村宏, 0.7, 61,* -5,   1, 6, 13.8, ①①, 7,15,Ｌネオヴェリｰブル, 74,秋山真, 1.7, 73,   8,   6,15,139.6,⑯⑮⑭
 8,16, アルファキンバレｰ,---,藤岡康, 1.0, 55, -16,*  5,16,154.5, ⑯⑭, 8, 2,Ｄフェアリｰガｰデン, 69,石川裕, 2.0, 62,  -1,   0,11, 55.9, ⑩⑨, 8, 5,Ｎリヴゴｰシュ, -9,江田照, 0.8, 58,* -6,   1, 9, 20.4, ②②, 8, 4,Ｋオメガラヴィｰタ, 75,勝浦正, 1.9, 71,* 11,  -5,13, 76.8,④④④
 9,11, カンヌ,---,柴田大, 1.3, 52, -11,  -6, 7, 14.0, ⑫⑫, 9,13,Ｅシゲルホウオウザ, 68,戸崎圭, 2.0, 62,   0,  -1, 6, 12.4, ⑨⑩, 9,12,Ｅスマｰトボムシェル, 65,戸崎圭, 0.8, 62, -13,* 13, 8, 18.7, ⑭⑭, 9,12,Ｆアドマイヤダリヤ, 77,福永祐, 2.0, 71,  10,  -3, 3,  5.4,⑧⑧⑧
10, 8, ユメガアナタニ,---,北村宏, 1.3, 50,  -7, -13, 8, 19.0, ⑥⑤,10, 3,Ｍコスモイノセント, 58,木幡初, 2.2, 61,  -4,   2,13, 98.1, ⑬⑫,10, 9,Ｊクイｰンマグノリア, 53,大野拓, 1.0, 61,  -9,   6,11, 39.8, ⑪⑩,10, 1,Ｈエｰペックス, 76,嘉藤貴, 2.1, 68,* 11,  -7,16,228.3,③③③
11,14, シｰセクション,---,松岡正, 2.2, 40,  -7, -24, 6, 11.1, ⑤⑥,11, 9,Ｈヒマラヤタカコ, 67,武士沢, 2.2, 60,  -6,   4, 9, 18.8, ⑮⑭,11, 2,Ｍトｰセンミッション, 51,武士沢, 1.0, 58, -10,   7,13,116.1, ⑩⑫,11,14,Ａモンサンアルビレオ, 80,的場勇, 2.2, 70,   7,   4, 2,  5.3,⑮⑭⑯
12, 3, イプノｰズ,---,大野拓, 2.4, 39, -21,  -7,13, 73.8, ⑮⑯,12,12,Ｃゴｰルドキセキ, 69,福永祐, 2.4, 58,   2,  -8, 3,  4.7, ⑦⑦,12, 4,Ｄヘニｰスウィフト, 66,蛯名正, 1.4, 55,  -7,  -2, 4, 11.7, ④④,12, 2,Ｊアムｰルスキｰ, 75,大野拓, 2.9, 66,   9,  -8, 8, 17.5,⑥⑨⑪
13,12, テイエムスサノオｰ,---,横山和, 2.5, 36, -10, -24,14, 92.8, ⑩⑩,13,10,Ｉオニノシタブル, 67,江田照, 2.4, 58,   3,  -8, 5, 10.1, ⑥⑥,13, 7,Ｂレンイングランド, 70,中谷雄, 1.6, 55, -11,   4, 5, 13.1, ⑬⑬,13, 8,Ｏコスモナイスガイ, 72,柴田大, 4.0, 60,   7, -12,11, 44.0,⑭⑯⑮
14,17, オレンジガｰネット,---,勝浦正, 2.6, 36,  -7, -29,11, 41.1, ⑦⑦,14, 1,Ｏエフティコゼット, 44,柴田大, 3.7, 50,  -5, -10,12, 90.6, ⑫⑬,14, 3,Ｋディアタイガ, 53,勝浦正, 2.2, 48,  -8,  -6,14,189.7, ⑦⑦,14, 9,Ｍレッドジャクソン, 74,伊藤工, 5.0, 53,* 11, -32,12, 65.7,⑨⑥⑤
15, 7, カニングウｰマン,---,嘉藤貴, 3.5, 25,  -6, -43,17,251.0, ④④,15, 5,Ｐカシノリｰベ, 39,的場勇, 4.0, 45,   2, -22,15,209.2, ⑧⑧,,,,,,,,,,,,,15,10,Ｐロｰドランパｰト, 69,吉田豊, 5.1, 53,   9, -25,10, 31.6,⑫⑬⑬
16, 2, トウショウカプリス,---,田辺裕, 3.7, 26, -35,  -5,10, 41.0, ⑰⑰,16,15,Ｎクリノグランデ, 51,伴啓太, 4.2, 44,  -8, -11,16,244.7, ⑭⑯,,,,,,,,,,,,,16, 7,Ｉオパｰルパワｰ, 75,江田照, 7.1, 45,   9, -45,14,101.6,⑤⑤⑩
17, 4, クラウンエンジェル,---,田中勝, 4.0, 21, -17, -33,12, 50.3, ⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,
