14年11月 2日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月 2日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ｳｵｯｶｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:2,930円 3連複:2,740円 3連単:16,410円",,,,,,,,,,,,"馬単:3,180円 3連複:2,370円 3連単:14,460円",,,,,,,,,,,,"馬単:2,310円 3連複:8,580円 3連単:35,430円",,,,,,,,,,,,"馬単:8,970円 3連複:24,550円 3連単:129,020円",,,,,,,,,,,
■ 2R  ダ1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,精進湖特別,,,,,,,,,,,,天皇賞(秋) ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａスカｰボロフェア, 56,松岡正,, 58,   3,* -2, 4,  8.7, ⑭⑬, 1, 8, ウェルブレッド,---,ルメｰ,, 60,*-23,  13, 3,  5.2,⑭⑥③, 1, 8,Ａトｰセンマタコイヤ, 82,田辺裕,, 86,   7,* 13, 1,  2.9,⑨⑦⑨, 1, 4,Ｊスピルバｰグ, 86,北村宏,, 93,   9,* 17, 5, 11.0,⑬⑮⑭
 2, 2,Ｈスラリｰアイス, 38,武士沢, 0.3, 54,   7, -11,15,263.8, ⑤③, 2,11, シップｰコウライ,---,武豊  , 0.1, 55,*-22,   7, 6, 13.0,②②②, 2, 4,Ｈアグネスドリｰム, 70,戸崎圭, 0.2, 81,* 10,   1, 6, 12.9,①①①, 2, 1,Ａジェンティルドンナ, 92,戸崎圭, 0.1, 89,* 13,   7, 2,  4.7,③③③
 3, 9,Ｂエグランティｰナ, 48,ルメｰ, 0.4, 53,   5, -11, 2,  4.2, ⑨⑦, 3, 5, ブライトバロｰズ,---,福永祐, 0.1, 65, -28,* 21, 1,  3.2,⑩⑫⑪, 3, 2,Ｆキネオペガサス, 74,蛯名正, 0.4, 80,* 10,  -1, 2,  4.3,③②②, 3,15,Ｄイスラボニｰタ, 89,ルメｰ, 0.1, 90,* 13,   7, 1,  2.8,④④④
 4,13,Ｌモアアピｰル, 35,岩田康, 0.6, 53,   5, -11, 3,  5.8, ⑪⑩, 4, 1, ケｰスバイケｰス,---,戸崎圭, 0.5, 53, -25,   8, 2,  3.9,④③④, 4, 5,Ｄパシャドｰラ, 79,北村宏, 0.4, 80,   8,   1, 3,  4.8,⑥⑤④, 4,11,Ｉラブイズブｰシェ, 87,古川吉, 0.2, 89,  12,   9,16,119.3,⑦⑦⑦
 5,14,Ｇレディゴｰラウンド, 41,北村宏, 1.1, 50,   7, -18, 5,  9.9, ④⑤, 5, 7, シャドウチェイサｰ,---,ベリｰ, 0.5, 59, -28,* 15, 5, 11.0,⑪⑩⑩, 5, 7,Ｂダイワリベラル, 82,柴田善, 0.5, 80,   9,   2, 4,  5.7,⑧⑧⑦, 5, 2,Ｋヒットザタｰゲット, 86,武豊  , 0.2, 90,   9,* 15,10, 34.6,⑮⑭⑮
 6,12,Ｅジョリｰアップ, 42,石川裕, 1.5, 46,   5, -21,12,111.8, ⑥⑥, 6,12, エドノジョンソン,---,岩田康, 0.5, 56, -28,  13, 8, 28.1,⑥⑧⑧, 6, 3,Ｃタブレットピｰシｰ, 81,田中勝, 0.5, 79,   9,   1, 5,  6.3,④④⑤, 6, 5,Ｅエピファネイア, 89,福永祐, 0.2, 90,  10,  11, 4,  8.0,⑨⑩⑩
 7, 3,Ｉパンプルムｰス, 37,戸崎圭, 2.0, 41,*  8, -29, 1,  2.1, ①①, 7, 6, クラウンジｰニアス,---,江田照, 0.7, 58, -29,* 15, 7, 18.0,⑨⑪⑭, 7, 1,Ｉヴァンデミエｰル, 70,松岡正, 0.6, 80,   9,   1, 9, 70.6,⑤⑥⑥, 7, 3,Ｇデニムアンドルビｰ, 87,浜中俊, 0.2, 91,   9,* 14, 6, 18.7,⑩⑪⑫
 8, 6,Ｆオｰラクィｰン, 42,横山典, 2.5, 39,  -6,  -9, 6, 19.1, ⑯⑯, 8, 4, エリオットベイ,---,柴山雄, 0.7, 53, -28,   9, 9, 31.8,⑦⑦⑦, 8, 9,Ｅビｰムライフル, 75,武豊  , 0.8, 76,   7,   1, 7, 28.3,⑦⑨⑧, 8, 7,Ｌサトノノブレス, 85,岩田康, 0.3, 88,  11,   7,11, 47.8,⑤⑤⑥
 9, 4,Ｊベリサマ, 37,吉田豊, 2.7, 36,*  9, -35, 9, 78.3, ②②, 9,17, アフェットゥオｰソ,---,横山典, 0.8, 48, -25,   4, 4,  9.5,③⑤⑥, 9, 6,Ｇマグメル, 71,吉田豊, 1.2, 73,   9, -11, 8, 62.5,②③③, 9,13,Ｐカレンブラックヒル, 84,秋山真, 0.3, 86,* 14,   0, 9, 32.8,①①①
10,15,Ｄウインヴァンノ, 46,大野拓, 2.7, 38,   4, -28,13,226.7, ⑫⑪, 9, 3, アンリオ,---,浜中俊, 0.8, 51, -28,   8,10, 34.4,⑧⑨⑨,,,,,,,,,,,,,10, 6,Ｍダｰクシャドウ, 85,ベリｰ, 0.5, 87,  10,   7,12, 88.1,⑥⑧⑨
11, 1,Ｋマｰスクィｰン, 36,田辺裕, 2.8, 37,   3, -27,11, 90.6, ⑩⑫,11, 9, ブリエアヴェニｰル,---,石川裕, 0.8, 56, -29,  14,13, 97.8,⑫⑬⑬,,,,,,,,,,,,,11,18,Ｑマイネルラクリマ, 83,柴田大, 0.5, 86,* 14,  -2,13, 91.2,②②②
12, 7,Ｎジャイアントレｰヌ, 31,岩部純, 3.7, 32,  -1, -27,16,278.9, ⑮⑭,12,16, サンベイル,---,松岡正, 1.1, 55, -32,  14,14,127.9,⑰⑯⑯,,,,,,,,,,,,,12, 8,Ｆディサイファ, 88,四位洋, 0.6, 86,  10,   7, 8, 31.6,⑪⑬⑬
13, 8,Ｃナンゴクマｰメイド, 47,柴田大, 3.8, 32,   5, -39, 8, 52.0, ⑦⑧,13,14, ウインヴァポレット,---,石橋脩, 1.2, 53, -30,  10,17,194.6,⑮⑮⑫,,,,,,,,,,,,,13,14,Ｈマｰティンボロ, 87,川田将, 0.6, 86,* 13,   2, 7, 19.1,⑧⑥⑤
14, 5,Ｏシャンディキｰル, 30,横山和, 4.5, 26,   4, -44,10, 85.1, ⑧⑨,14, 2, ニシノエルドｰル,---,北村宏, 1.4, 43, -24,  -4,12, 74.9,⑤④⑤,,,,,,,,,,,,,14, 9,Ｂフェノｰメノ, 92,蛯名正, 0.7, 85,  10,   4, 3,  4.9,⑭⑫⑪
15,10,Ｍアンワンワｰルド, 34,石橋脩, 4.6, 25,   6, -50, 7, 24.9, ③④,15,15, トｰセンモバイル,---,三浦皇, 1.5, 46, -29,   4,15,158.0,⑬⑭⑮,,,,,,,,,,,,,15,12,Ｃフラガラッハ, 91,高倉稜, 0.8, 85,   9,   8,14,103.6,⑰⑯⑯
16,16,Ｐトレイケイトカフェ, 23,四位洋, 7.4,  4,  -2, -60,14,237.8, ⑬⑮,16,13, ブレイブトｰラス,---,蛯名正, 1.9, 43, -32,   2,11, 44.2,⑯⑰⑰,,,,,,,,,,,,,16,10,Ｒペルｰサ, 83,柴田善, 0.8, 86,   6,* 12,15,117.7,⑱⑱⑱
,,,,,,,,,,,,17,10, スリルオブジョイ,---,大野拓, 2.2, 27,*-23, -24,16,185.5,①①①,,,,,,,,,,,,,17,16,Ｎトｰセンジョｰダン, 85,ブドｰ, 1.0, 81,  12,  -3,17,139.6,⑫⑨⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,Ｏアスカクリチャン, 85,三浦皇, 4.2, 53,   7, -38,18,250.3,⑯⑰⑰
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:95 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,
"単勝:870円 複勝:11=240円 02=4,850円 09=180円 枠連:19,880円",,,,,,,,,,,,"単勝:520円 複勝:08=170円 11=260円 05=130円 枠連:1,110円",,,,,,,,,,,,"単勝:290円 複勝:08=160円 04=310円 02=150円 枠連:2,380円",,,,,,,,,,,,"単勝:1,100円 複勝:04=260円 01=180円 15=130円 枠連:1,340円",,,,,,,,,,,
"馬連:70,560円 ワイド:02-11=12,480円 09-11=560円 02-09=11,650円",,,,,,,,,,,,"馬連:3,470円 ワイド:08-11=1,270円 05-08=330円 05-11=760円",,,,,,,,,,,,"馬連:3,190円 ワイド:04-08=1,290円 02-08=410円 02-04=780円",,,,,,,,,,,,"馬連:3,140円 ワイド:01-04=980円 04-15=580円 01-15=340円",,,,,,,,,,,
"馬単:123,140円 3連複:62,350円 3連単:360,920円",,,,,,,,,,,,"馬単:6,210円 3連複:3,080円 3連単:23,860円",,,,,,,,,,,,"馬単:5,030円 3連複:4,180円 3連単:21,960円",,,,,,,,,,,,"馬単:6,780円 3連複:2,850円 3連単:23,290円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 6R  ダ1300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■12R  ダ1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,国立特別,,,,,,,,,,,,三峰山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｂシンボリタピット, 53,北村宏,, 63,  -8,*  6, 2,  4.8, ⑦⑥, 1,13,Ｈノウレッジ, 69,蛯名正,, 70,   0,  12, 3,  7.1, ⑥⑤, 1, 4,Ｊピｰクトラム, 71,横山典,, 79,   8,   9, 3,  7.7, ⑧⑧, 1, 2,Ｃグランフィデリオ, 80,ルメｰ,, 75,  10,   6, 2,  4.4, ④③
 2,11,Ｐニシノユウキ, 23,田辺裕, 0.3, 63, -15,* 14,10, 36.7, ⑯⑯, 2,11,Ａサダムコｰテイ, 74,川田将, 0.1, 70,  -3,* 14, 4,  8.7, ⑦⑥, 2, 7,Ｃタガノザイオン, 79,武豊  , 0.1, 78,   4,* 14, 8, 22.7, ⑭⑭, 2, 3,Ｄスノｰモンキｰ, 79,岩田康, 0.0, 77,   8,*  9, 1,  4.3, ⑥⑥
 3, 6,Ｃエンクエントロス, 52,柴山雄, 0.3, 57,* -7,  -1, 6, 10.6, ②②, 3,10,Ｉカレイファンタジア, 69,田中勝, 0.2, 68,   0,  10, 2,  4.7, ④④, 3, 5,Ｇボンジュｰルココロ, 72,ベリｰ, 0.1, 79,  12,   2, 7, 21.8, ④④, 3, 6,Ａクラｰロデルナ, 84,横山典, 0.1, 73,   8,*  6, 3,  6.0, ⑤⑤
 4, 3,Ｉアキトクレッセント, 40,浜中俊, 0.4, 57,* -7,  -1, 4,  6.3, ③③, 4, 3,Ｆメイショウボンロク, 70,北村宏, 0.2, 68,  -1,  11, 8, 16.3, ③③, 4,10,Ａシンデレラボｰイ, 82,福永祐, 0.2, 77,   0,* 18, 2,  6.3, ⑯⑯, 4,12,Ｆショウナンラムジ, 77,松岡正, 0.2, 73,* 12,  -1,10, 40.3, ①①
 5, 1,Ａプルガステル, 55,ブドｰ, 0.4, 57,  -9,   2, 1,  4.6, ⑤⑦, 5, 1,Ｄクレイジｰジョｰ, 70,岩田康, 0.4, 66,  -4,  12, 5,  9.2, ⑤⑦, 5, 9,Ｈカシノピカチュウ, 72,蛯名正, 0.2, 78,   8,   6, 9, 24.8, ⑨⑨, 5, 4,Ｂオメガスパｰキング, 81,柴田善, 0.5, 70,   7,*  6, 6,  8.9, ⑨⑧
