14年 6月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 6月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ2100m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
 9, 2,Ｉスノｰレパｰド, 50,横山和, 0.4, 53,*  4, -17,10, 70.5, ②②, 9,17,Ｊシガｰロス, 53,木幡初, 1.3, 52,   4, -28,11, 43.5,⑧⑦⑦, 9,11,Ｄクｰルジャイロ, 74,三浦皇, 2.6, 61,*  8, -11, 5, 16.7,①①①, 9,18,Ｍヤサカオディｰル, 65,的場勇, 1.5, 61,   8, -21,18,298.6, ⑦⑦
10,16,Ｇプレｰル, 55,田中勝, 0.5, 51,   2, -15, 7, 14.6, ⑦⑦,10, 5,Ａニシノカザブエ, 66,井上敏, 1.7, 50,   0, -25, 7, 14.8,⑨⑫⑭,10, 3,Ｍブライテストソｰド, 62,石川裕, 3.1, 61,   4,  -4,10, 54.2,⑧⑨⑨,10,17,Ｊカシノワルツ, 69,二本柳, 1.6, 60,   9, -25,11, 58.8, ④④
11, 7,Ｅコアクマ, 60,嘉藤貴, 0.6, 51,   0, -11, 6, 14.1, ⑨⑧,11,18,Ｇグロリアストレイル, 57,北村宏, 1.8, 49,   4, -35, 4,  7.3,⑮⑧⑧,11, 1,Ｊコスモナイスガイ, 70,柴田大, 3.1, 63,   1,   3, 9, 49.1,⑬⑬⑬,11, 3,Ｆリュクサンブｰル, 73,三浦皇, 2.0, 54,   3, -21, 6, 11.0, ⑮⑭
12, 1,Ｄニシノサヤ, 61,石川裕, 0.7, 48,  -6,  -7, 5, 12.7, ⑪⑬,12, 1,Ｐカシマムンムｰン, 32,江田照, 2.9, 41,*  7, -55,15,119.8,①②②,12, 8,Ｌフュｰジリア, 65,木幡初, 3.1, 62,   3,   0,13,153.5,⑩⑫⑪,12,15,Ｃショウナンダイチ, 75,柴田善, 2.6, 49,   3, -29, 3,  7.9, ⑬⑮
13, 3,Ｎフジノマユサン, 32,黛弘人, 0.7, 49,  -4,  -9,15,259.0, ⑫⑩,13, 3,Ｑスイｰトソフィｰ, 32,長岡禎, 3.1, 38,  -3, -39,18,264.2,⑬⑯⑰,13, 7,Ｂケイジｰタイタン, 79,岩部純, 3.3, 61,   2,   0, 2,  9.5,⑫⑩⑫,13, 1,Ｒトミケンジェスト, 49,大野拓, 2.6, 48,   1, -25,17,246.7, ⑰⑰
14, 9,Ｋアンビションバイオ, 49,宮崎北, 0.8, 50,   3, -18, 9, 57.1, ⑤⑤,14, 6,Ｏブラックグランデ, 42,松岡正, 3.1, 40,   2, -49,17,227.3,⑩⑬⑫,,,,,,,,,,,,,14,12,Ｐクリノイザナミ, 63,丸田恭, 2.8, 47,* 13, -44,14, 72.2, ①①
15, 6,Ｌムｰンパスラブ, 45,井上敏, 1.4, 44,  -2, -17,13,202.4, ⑧⑨,15, 4,Ｉマルケットリｰ, 53,的場勇, 3.3, 39,*  6, -63, 6, 14.6,③①①,,,,,,,,,,,,,15,10,Ｉスズノフウジン, 69,松岡正, 2.8, 47,   7, -37, 7, 14.5, ⑥⑩
16,12,Ｏララマドンナ, 31,長岡禎, 1.9, 39, -13,  -9,16,306.4, ⑯⑯,16,11,Ｌセピア, 51,村田一, 3.5, 38,   4, -59,14,119.4,⑦⑥⑥,,,,,,,,,,,,,16,13,Ｎアクアライン, 65,吉田豊, 3.1, 45,   4, -36,10, 55.0, ⑩⑬
,,,,,,,,,,,,17, 2,Ｒジョウノロｰズ, 30,田辺裕, 5.3,  4,*  5, -86,10, 42.1,②⑤④,,,,,,,,,,,,,17,14,Ｈエスユｰハリケｰン, 70,津村明, 3.8, 37,   6, -48, 9, 22.0, ⑪⑪
,,,,,,,,,,,,18,10,Ｍベストクオリティｰ, 50,吉田隼, 7.2,-13,  -8, -85,13, 92.9,⑰⑱⑱,,,,,,,,,,,,,18, 8,Ｑオリバｰバロｰズ, 61,江田照, 5.0, 28,   2, -57,16,175.8, ⑯⑯
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:不良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:不良(指数:20),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:不良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:不良(指数:20),,,,,,,,,,,
"単勝:11,750円 複勝:08=2,720円 05=670円 15=190円 枠連:8,820円",,,,,,,,,,,,単勝:470円 複勝:07=170円 08=150円 12=590円 枠連:800円,,,,,,,,,,,,単勝:140円 複勝:12=110円 06=170円 05=210円 枠連:250円,,,,,,,,,,,,"単勝:340円 複勝:05=170円 06=250円 07=250円 枠連:2,510円",,,,,,,,,,,
"馬連:151,600円 ワイド:05-08=23,970円 08-15=6,490円 05-15=1,150円",,,,,,,,,,,,"馬連:730円 ワイド:07-08=330円 07-12=1,750円 08-12=2,180円",,,,,,,,,,,,"馬連:600円 ワイド:06-12=250円 05-12=370円 05-06=1,310円",,,,,,,,,,,,"馬連:2,440円 ワイド:05-06=770円 05-07=640円 06-07=1,220円",,,,,,,,,,,
"馬単:199,570円 3連複:150,410円 3連単:2,137,750円",,,,,,,,,,,,"馬単:1,510円 3連複:7,280円 3連単:27,030円",,,,,,,,,,,,"馬単:720円 3連複:1,870円 3連単:4,410円",,,,,,,,,,,,"馬単:4,210円 3連複:5,130円 3連単:24,140円",,,,,,,,,,,
■ 2R  ダ1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝3100m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,青富士ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,麦秋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃビックナジョｰカｰ, 63,田辺裕,, 61,* -5,*  5, 2,  3.5, ④③, 1, 3, マコトダッソｰ,---,蛯名正,, 60,*  3, -15, 2,  5.1, ①①, 1, 3, ソンブレロ,,高田潤,,,,, 3,  6.2,③③②, 1, 1,Ｂデザｰトオアシス, 83,北村宏,, 82,* 12,   8, 1,  2.0, ①①
 2, 9,Ｅライトオブホｰプ, 61,津村明, 0.2, 60,* -3,   0, 3,  5.0, ①①, 2, 5, スマｰトプラネット,---,丸田恭, 0.1, 56,  -3,* -7, 9, 25.6, ④⑦, 2, 1, テンジンキヨモリ,,江田勇,216.9,,,, 7, 14.1,①①①, 2, 8,Ａドリｰムコンサｰト, 84,蛯名正, 0.3, 79,* 12,   6, 3,  4.7, ②②
 3,14,Ｉコスモラヴコｰル, 53,石橋脩, 1.0, 53,* -5,  -4, 5, 15.8, ⑤④, 3, 6, サンクタリリアス,---,津村明, 0.2, 57,   1, -14, 4,  9.8, ③④, 3, 6, サンレイデュｰク,,難波剛,219.3,,,, 1,  2.7,⑥⑥⑤, 3, 5,Ｄキョウエイバサラ, 81,石橋脩, 0.4, 77,  10,   8, 7, 25.8, ⑦⑤
 4,13,Ａブラウ, 66,江田照, 1.0, 56,  -6,  -2, 1,  2.6, ⑦⑦, 4, 9, リミットブレイク,---,北村宏, 0.8, 49,  -5, -14, 1,  2.2, ⑩⑩, 4, 4, ナンデヤネン,,上野翔,219.5,,,, 4,  6.9,⑦⑦⑥, 4, 4,Ｇリックムファサ, 79,丸田恭, 0.7, 75,   9,   7, 9, 37.4, ⑤⑥
 5,10,Ｈコｰジャラティ, 53,大野拓, 1.2, 56, -12,*  5,10, 46.8, ⑫⑫, 5,11, トｰセンラｰク,---,横山典, 1.0, 45,  -9,*-11, 5, 14.1, ⑬⑪, 5, 2, トｰセンタイガｰ,,山本康,220.2,,,, 8, 19.9,⑤⑤⑦, 5, 6,Ｊケンエンブレム, 77,横山和, 0.7, 75,   4,* 13, 5, 17.4, ⑪⑪
 6, 8,Ｆフユハナビ, 56,長岡禎, 1.3, 52,* -4,  -9, 8, 39.6, ②②, 6,10, テンマイキララ,---,田辺裕, 1.1, 48,  -1, -22, 6, 14.9, ⑤⑥, 6, 7, トップミノル,,熊沢重,220.8,,,, 5, 10.2,②②③, 6,10,Ｆインディｰズゲｰム, 79,田中勝, 0.9, 75,  11,   3, 2,  4.7, ④④
 7, 6,Ｏタイセイフラッシュ, 39,柴田善, 1.6, 49,  -7,  -7,11, 53.2, ③⑥, 7,13, マイネルリｰド,---,柴田大, 1.4, 44,  -4, -23, 7, 16.3, ⑨⑨, 7, 8, エｰシンイグアス,,黒岩悠,220.9,,,, 2,  4.0,④④④, 7, 2,Ｉヴィンテｰジイヤｰ, 77,吉田豊, 1.1, 72,  11,   0, 6, 19.8, ③③
 8,15,Ｂコスモチャイム, 65,柴田大, 1.7, 51,  -7,  -8, 4, 11.2, ⑥⑤, 8, 7, ザキス,---,勝浦正, 1.6, 42,  -3, -26, 8, 24.5, ⑧⑧, 8, 5, ミヤコデラックス,,金子光,225.7,,,,10, 66.4,⑧⑧⑧, 8, 3,Ｅダノンハラショｰ, 81,三浦皇, 1.4, 70,   7,   4,10, 48.0, ⑨⑧
 9, 3,Ｄライトサｰパス, 61,伴啓太, 2.0, 49, -11,  -4, 6, 19.1, ⑪⑩, 9,14, リタｰンストロｰク,---,吉田豊, 1.9, 40,*  3, -39,13, 60.0, ⑥②, 9,10, スカイアクセス,,高野和,227.2,,,, 9, 49.8,⑨⑨⑨, 9, 9,Ｃクロタカ, 83,嶋田純, 1.5, 68,   4,   5, 8, 36.0, ⑩⑩
10, 4,Ｌヨウザンフウ, 48,丸田恭, 2.0, 48, -12,   0,15, 95.7, ⑭⑭,10, 4, ロックフォｰル,---,村田一, 2.1, 37,   1, -37,12, 58.6, ②③,10, 9, クリスクリングル,,石神深,227.9,,,, 6, 11.3,⑩⑩⑩,10,11,Ｈキングヒｰロｰ, 78,熊沢重, 1.8, 68,   6,   0, 4,  9.2, ⑧⑨
11, 5,Ｍアダチヤマ, 47,武士沢, 2.1, 48, -13,  -1,13, 63.5, ⑮⑮,11, 1, レディｰムｰン,---,武士沢, 2.3, 37, -12, -22,10, 32.0, ⑭⑭,,,,,,,,,,,,,11, 7,Ｋトｰセントレジャｰ, 70,江田照, 3.2, 55,   8, -15,11, 69.4, ⑥⑦
12,16,Ｋセイカシャルマン, 51,伊藤工, 2.4, 44,  -8, -10,16,194.8, ⑧⑧,12,15, ライメイ,---,大野拓, 2.6, 33,  -9, -31,15,137.3, ⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,
13,11,Ｇビリオネアズロウ, 55,松岡正, 2.4, 46, -12,  -5,12, 54.7, ⑬⑬,13, 8, マイドリｰム,---,田中勝, 2.9, 31,  -9, -32,11, 54.0, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,
14, 2, グラズヘイム,---,北村宏, 2.5, 47, -16,   0, 7, 29.8, ⑯⑯,14,12, ワキノヒビキ,---,松岡正, 3.1, 27,   0, -49, 3,  8.1, ⑦⑤,,,,,,,,,,,,,,,,,,,,,,,,
15,12,Ｊメチャンコハヤイヨ, 52,勝浦正, 2.6, 44,  -7, -13, 9, 41.8, ⑩⑨,15, 2, シゲルエイサｰ,---,江田照, 9.4,-76, -59, -46,14, 81.0, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
16, 7,Ｎエメラルタイガｰ, 42,横山和, 3.1, 40, -11, -12,14, 93.4, ⑨⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:不良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:不良(指数:20),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:不良(指数:-8),,,,,,,,,,,
単勝:350円 複勝:01=150円 09=170円 14=340円 枠連:720円,,,,,,,,,,,,"単勝:510円 複勝:03=190円 05=540円 06=270円 枠連:4,000円",,,,,,,,,,,,"単勝:620円 複勝:03=180円 01=340円 06=150円 枠連:6,310円",,,,,,,,,,,,単勝:200円 複勝:01=120円 08=170円 05=330円 枠連:430円,,,,,,,,,,,
"馬連:700円 ワイド:01-09=380円 01-14=1,080円 09-14=1,210円",,,,,,,,,,,,"馬連:5,570円 ワイド:03-05=1,810円 03-06=840円 05-06=2,770円",,,,,,,,,,,,"馬連:5,280円 ワイド:01-03=1,310円 03-06=290円 01-06=760円",,,,,,,,,,,,"馬連:470円 ワイド:01-08=250円 01-05=730円 05-08=1,380円",,,,,,,,,,,
"馬単:1,540円 3連複:4,000円 3連単:13,600円",,,,,,,,,,,,"馬単:9,720円 3連複:14,730円 3連単:78,130円",,,,,,,,,,,,"馬単:8,380円 3連複:4,500円 3連単:38,130円",,,,,,,,,,,,"馬単:680円 3連複:3,640円 3連単:10,970円",,,,,,,,,,,
■ 3R  ダ1300m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  芝2400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 9R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  ダ1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,稲村ヶ崎特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｃサマｰラヴ, 64,江田照,, 62,   0,  -1, 2,  4.3, ⑦⑦, 1,13,Ｃトゥインクル, 65,田辺裕,, 69,* 15,*-32, 1,  2.4,⑩④③, 1, 6,Ｂサムソンズプライド, 77,田辺裕,, 75,* 20, -18, 2,  3.2,①①①, 1, 6,Ｈフランチャイズ, 68,吉田豊,, 78,   2,* 16, 9, 68.2, ⑧⑤
 2, 3,Ｂシゲルシモウサ, 65,蛯名正, 0.2, 59,  -3,*  1, 3,  5.5, ⑪⑪, 2, 7,Ｑエンジェルピｰス, 39,大野拓, 1.3, 61,  12,*-41, 9, 29.6,⑨⑪⑩, 2, 1,Ａダｰビｰフィズ, 83,田中勝, 0.0, 77,  17,* -8, 1,  1.8,⑦⑦⑥, 2,15,Ａバｰディｰイｰグル, 79,北村宏, 0.4, 75,   4,  10, 1,  2.3, ④④
 3, 2,Ｉロングアンドリｰン, 47,黛弘人, 0.6, 58,   4, -12,14,131.9, ④④, 3, 4,Ｎラフィナｰト, 50,江田照, 1.4, 61,  11,*-39,15, 80.7,⑬⑬⑬, 3, 4,Ｅリルバイリル, 76,北村宏, 0.6, 70,* 19, -23, 3,  7.1,④②②, 3, 5,Ｃタマモマズルカ, 75,蛯名正, 0.8, 72,  -2,* 15, 5, 11.7, ⑪⑫
 4, 7,Ａダイワコンシｰド, 65,北村宏, 1.0, 56,*  8, -20, 1,  2.7, ①①, 4, 9,Ｋエルトント, 58,横山和, 1.5, 60,* 14, -47,14, 60.8,④⑥⑥, 4, 7,Ｆコスモグレｰスフル, 66,柴田大, 1.8, 62,* 19, -41, 5, 12.6,②③③, 4, 7,Ｇフォｰルティテｰル, 69,田辺裕, 0.8, 69,   4,   6, 7, 17.9, ③③
 5,12,Ｇアサヤケ, 55,松岡正, 1.0, 52,  -2,  -9, 5, 15.5, ⑨⑧, 5, 5,Ｄマイケルチョウサン, 64,松岡正, 1.8, 61,* 14, -54, 6, 16.1,③⑤④, 5, 3,Ｃゴｰルドブライアン, 77,吉田隼, 2.1, 58,  18, -40, 4,  9.0,⑥⑤⑤, 5, 9,Ｍサンマルスピリット, 62,小島太, 1.0, 69,*  7,  -1,14,166.3, ①①
 6,10,Ｅスパｰキｰドリｰム, 55,丸田恭, 1.3, 46, -19,*  8,12, 69.5, ⑮⑮, 6, 8,Ｈデルママツタロウ, 60,吉田豊, 1.9, 61,* 15, -58, 5, 13.9,②②②, 6, 2,Ｄウィケットキｰパｰ, 76,蛯名正, 2.8, 55,  18, -51, 6, 15.1,③④④, 6,13,Ｐポンデザムｰル, 50,松岡正, 1.3, 70,  -2,  12,10, 75.2, ⑬⑬
 7, 9,Ｍブリリアントミノル, 40,田辺裕, 1.3, 48,  -8,  -4, 9, 49.1, ⑬⑫, 7, 2,Ｉディｰエスプロパｰ, 58,武士沢, 2.4, 59,  10, -50,13, 40.0,⑰⑱⑯, 7, 5,Ｇリバｰキャッスル, 51,宮崎北, 5.4, 17,  15, -80, 7, 92.8,⑤⑥⑦, 7, 1,Ｆドラゴンキングダム, 71,田中勝, 1.4, 69,  -4,  13, 3,  5.5, ⑭⑭
 8, 5,Ｆリネンプルｰフ, 55,井上敏, 1.8, 47,   2, -20,11, 67.2, ⑥⑤, 8,12,Ｅプコナコナ, 63,伴啓太, 2.4, 57,  10, -50,12, 38.8,⑮⑮⑮,,,,,,,,,,,,, 8,12,Ｊホクレアポパイ, 67,木幡初, 1.6, 70,  -5,  14,13,162.2, ⑯⑯
 9, 1,Ｌテンノハゴロモ, 41,石川裕, 1.9, 47,*  5, -25, 7, 23.4, ③③, 9,18,Ｐプリンスタラスコン, 40,丸田恭, 2.6, 55,* 14, -62,16, 80.7,⑧⑦⑧,,,,,,,,,,,,, 9, 8,Ｅクラウドチェンバｰ, 73,大野拓, 1.7, 66,   4,   0, 4,  8.9, ⑤⑥
10, 8,Ｊウインクラｰジュ, 45,大野拓, 1.9, 45,  -4, -14,13, 93.4, ⑩⑩,10,14,Ｌコスモアイオライト, 58,柴田大, 2.6, 59,* 14, -62,10, 30.6,⑦⑧⑤,,,,,,,,,,,,,10, 4,Ｉスペシャルリッチ, 68,石橋脩, 1.9, 63,  -1,   5,12,150.8, ⑫⑪
11, 4, ナンヨｰルｰク,---,木幡初, 1.9, 44, -19,*  3, 8, 34.3, ⑭⑭,11,11,Ｍゴｰルドリｰガル, 51,柴田未, 2.8, 56,  11, -58,11, 32.0,⑫⑫⑫,,,,,,,,,,,,,11,11,Ｂツクバロｰレル, 76,横山典, 2.1, 60,  -2,   3, 2,  4.1, ⑩⑩
12,15,Ｈヴィヴァルディ, 54,村田一, 2.7, 40,  -2, -23,10, 61.4, ⑧⑨,12,10,Ｊミッキｰウエルカム, 58,横山典, 3.0, 55,  13, -65, 8, 20.6,⑱⑯⑨,,,,,,,,,,,,,12,14,Ｌケイアイホクトセイ, 67,吉田隼, 2.1, 63,   1,  -2, 8, 66.1, ⑨⑧
13,14,Ｄサンタレジｰナ, 59,吉田隼, 2.9, 38,   2, -30, 4,  5.6, ⑤⑥,13,17,Ｏフォトンベルト, 49,長岡禎, 3.3, 54,   8, -57,18,206.1,⑯⑰⑱,,,,,,,,,,,,,13,16,Ｄテスティコ, 74,丸田恭, 2.3, 57,   0,  -2, 6, 13.5, ⑥⑨
14,11,Ｎスプリｰムサンダｰ, 34,吉田豊, 3.1, 37,*  7, -37, 6, 16.8, ②②,14, 3,Ｇショウカンロン, 60,木幡初, 5.3, 11,  10, -90,17, 88.0,⑥⑨⑭,,,,,,,,,,,,,14, 2,Ｋトキノユウ, 67,柴田善, 2.5, 60,  -4,   4,15,209.7, ⑮⑮
15,16,Ｋアルマシェダル, 42,勝浦正, 3.7, 30,  -7, -27,15,132.6, ⑫⑬,15, 6,Ａブリｰジョ, 68,石橋脩, 5.8,  5,* 15, ---, 2,  4.8,①①①,,,,,,,,,,,,,15,10,Ｎモリミヤビ, 61,木幡初, 2.6, 59,*  5, -11,16,308.3, ②②
16, 6, ダイワジェントル,---,長岡禎,15.1,15.1---, -83, -43,16,141.8, ⑯⑯,16,15,Ｂゲンパチスカイ, 65,田中勝, 5.9,  7,  13, ---, 3,  9.3,⑭⑩⑪,,,,,,,,,,,,,16, 3,Ｏコスモリトライ, 52,柴田大, 3.3, 54,   1, -12,11,115.0, ⑦⑦
,,,,,,,,,,,,17,16,Ｆプラウドウルフ, 62,木幡初, 6.0,  5,  13, ---, 4, 13.0,⑤③⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 1, ヴィリエルバクル,---,北村宏, 8.8,-22,  10, ---, 7, 16.8,⑪⑭⑰,,,,,,,,,,,,,,,,,,,,,,,,
