14年 7月19日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 7月19日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 4R  芝3330m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1900m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
 9, 7, タマモパンテオン,,植野貴,211.0,,,,11,125.1,⑩⑩⑩,,,,,,,,,,,,, 9,10,Ｈウインボナンザ, 53,岩崎翼, 1.6, 54,  -3,  -5, 7, 26.1, ⑮⑮, 9, 5,Ｃブライトジェム, 81,国分恭, 1.2, 72,   5,*  7,15,162.9,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,10,16,Ｋホッコｰファイン, 51,中井裕, 1.6, 55,  -2,  -4,11, 72.2, ⑯⑯,10, 4,Ｌメイショウオトコギ, 76,太宰啓, 1.2, 75,   5,   5,16,197.8,⑬⑮⑩
,,,,,,,,,,,,,,,,,,,,,,,,11, 3,Ｌクロスドミナンス, 50,北村友, 1.8, 53,   0,  -9, 9, 35.7, ⑩⑫,11,13,Ｎクロフネフリｰト, 74,武豊  , 1.8, 69,   8,  -4, 1,  3.6,⑪⑩⑧
,,,,,,,,,,,,,,,,,,,,,,,,12, 2,Ｇモンスタｰバロｰズ, 54,川須栄, 2.1, 50,   4, -20, 8, 29.1, ⑧⑨,12, 7,Ｋメイショウビリｰヴ, 76,松山弘, 1.9, 68,   6,  -2,11, 73.2,⑮⑭⑫
,,,,,,,,,,,,,,,,,,,,,,,,13,13,Ｉバレｰナボス, 52,国分優, 2.2, 48,  -4,  -9,16,142.8, ⑱⑰,13,15,Ｊフォンテｰヌブロｰ, 77,酒井学, 2.6, 62,   6,  -9,12, 90.9,⑭⑬⑮
,,,,,,,,,,,,,,,,,,,,,,,,14,11,Ｐアグネスカクシン, 38,国分恭, 2.4, 47,  -4, -10,18,287.9, ⑰⑱,14, 3,Ｐセレブリティモデル, 68,川須栄, 3.9, 57,   8, -22,10, 34.8,⑤⑧⑬
,,,,,,,,,,,,,,,,,,,,,,,,15, 7, サトノブレゲ,---,酒井学, 2.8, 42,   4, -27,12, 72.9, ⑪⑩,15,10,Ｉエｰペックス, 77,小坂忠, 3.9, 55,   7, -21,14,144.8,⑧⑫⑭
,,,,,,,,,,,,,,,,,,,,,,,,16,18,Ｆジェットセッタｰ, 54,幸英明, 2.8, 43,*  8, -33, 4, 16.0, ⑥④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,12, サトノクリｰド,---,高倉稜, 3.5, 35,  -1, -30,13, 96.0, ⑭⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 1,Ｏフェスティヴァｰロ, 45,義英真, 4.8, 23,   6, -56,14,106.0, ②⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:10),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:-6),,,,,,,,,,,
単勝:130円 複勝:05=110円 06=140円 09=280円 枠連:330円,,,,,,,,,,,,単勝:680円 複勝:07=170円 04=150円 02=410円 枠連:0円,,,,,,,,,,,,"単勝:180円 複勝:09=110円 04=1,780円 05=180円 枠連:1,850円",,,,,,,,,,,,"単勝:2,060円 複勝:06=440円 16=280円 09=230円 枠連:5,680円",,,,,,,,,,,
馬連:320円 ワイド:05-06=170円 05-09=460円 06-09=740円,,,,,,,,,,,,"馬連:1,340円 ワイド:04-07=470円 02-07=1,640円 02-04=1,620円",,,,,,,,,,,,"馬連:11,070円 ワイド:04-09=3,330円 05-09=290円 04-05=7,290円",,,,,,,,,,,,"馬連:7,220円 ワイド:06-16=2,280円 06-09=1,850円 09-16=890円",,,,,,,,,,,
"馬単:420円 3連複:1,270円 3連単:2,740円",,,,,,,,,,,,"馬単:3,180円 3連複:8,130円 3連単:36,910円",,,,,,,,,,,,"馬単:11,390円 3連複:16,750円 3連単:75,230円",,,,,,,,,,,,"馬単:16,790円 3連複:14,630円 3連単:90,800円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,,,,,,,,,,,,,ﾏﾚｰｼｱｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｉタイガｰクラウン, 55,太宰啓,, 66,   2,* -2, 5, 14.2,④⑤⑤, 1, 2, タガノヴェルリｰ,---,パｰト,, 77,*  9,  -2, 2,  6.0, ①①, 1, 5,Ｂエｰシンマックス, 75,酒井学,, 84,* -7,  27, 2,  3.5,①①①, 1,10,Ｃクランモンタナ, 81,浜中俊,, 76,   1,   6, 1,  2.5,④④④
 2,11,Ｈエスケイキング, 56,川須栄, 0.1, 65,   3,  -5, 9, 50.4,③④④, 2,13, ムｰンエクスプレス,---,松山弘, 0.3, 71,   2,*  2, 5, 13.1, ④⑥, 2,10,Ｄウィズアミッション, 72,福永祐, 0.1, 87, -11,* 34, 1,  2.5,⑤⑥⑥, 2, 2,Ｂダノンフェニックス, 81,福永祐, 0.1, 75,   1,   4, 4,  7.9,③③③
 3, 8,Ｂレッドフォｰス, 69,福永祐, 0.6, 60,  -1,* -3, 3,  5.1,⑩⑧⑦, 3, 7, ハルマッタン,---,武豊  , 0.5, 69,*  7,  -7, 1,  1.5, ②②, 3, 8,Ｆモンドシャルナ, 70,武豊  , 0.8, 80, -11,  26, 3,  3.7,⑥⑦⑦, 3, 8,Ｆロンギングダンサｰ, 76,武豊  , 0.3, 75,  -1,   6, 5,  8.2,⑥⑧⑧
 4, 9,Ａタマモホルン, 71,義英真, 0.6, 59,   2, -10, 1,  2.5,②③③, 4, 8, ジョウショｰエガオ,---,国分恭, 0.8, 61,  -8,*  4, 9, 83.2, ⑩⑧, 4, 6,Ａサダムダイジョウブ, 76,松山弘, 0.9, 76, -10,  20, 5, 10.6,④④④, 4, 7,Ａマイネルアイザック, 82,幸英明, 0.5, 69,*  4,  -6, 6, 13.6,①①①
 5,13,Ｇファンタスマゴリア, 59,岩崎翼, 0.8, 59,  -2,* -2, 7, 21.0,⑫⑪⑨, 5, 9, モントルルシュマン,---,和田竜, 1.5, 57,   5, -17, 3,  7.6, ③④, 5,11,Ｅクリｰルハヤテ, 72,幸英明, 1.1, 76, -13,  23, 4, 10.1,⑦⑧⑧, 5, 3,Ｅロｰレルブレット, 76,松山弘, 0.6, 76,  -4,* 11, 7, 24.7,⑪⑪⑪
 6,10,Ｆセルリアンジェダイ, 60,幸英明, 1.0, 58,   2, -11, 8, 22.3,⑥⑥⑥, 6, 4, クインズロンペｰル,---,幸英明, 1.9, 49,   2, -20, 4, 10.4, ⑤⑤, 6, 4,Ｇフェイマスエンド, 70,松若風, 1.1, 71,* -9,  14, 7, 32.9,②③③, 6, 9,Ｉリヤンドファミユ, 73,パｰト, 0.6, 73,  -2,   4, 3,  5.4,⑧⑦⑦
 7, 7,Ｄカツラッシュ, 65,松若風, 1.4, 53,*  4, -20, 4,  6.2,①①①, 7, 6, メイショウオオラカ,---,酒井学, 1.9, 48,  -8,  -9,11,116.8, ⑦⑦, 7, 2,Ｈペプチドウインド, 59,義英真, 1.6, 66,* -9,   9, 9,117.1,③②②, 7, 4,Ｇロｰゼンケｰニッヒ, 76,北村友, 0.7, 70,  -1,   0, 8, 25.4,⑤⑤⑤
 8, 6,Ｊエヴェレストバイオ, 51,国分優, 1.8, 52,   0, -15,11,129.7,⑤⑦⑧, 8,10, ディｰプブルｰ,---,松若風, 2.2, 47,   4, -25, 6, 23.2, ⑥③, 8,12,Ｉスリｰダッシュ, 59,川須栄, 2.4, 61, -14,   9,10,128.0,⑩⑩⑪, 8, 6,Ｋトウシンイｰグル, 70,和田竜, 0.7, 72,  -2,   2, 9, 49.7,⑦⑥⑥
 9,12,Ｅメイショウセイウン, 64,武幸四, 2.5, 49,  -1, -19, 6, 17.3,⑪⑨⑩, 9, 1, ナンシｰ,---,国分優, 2.5, 42, -10, -14, 8, 81.8, ⑧⑨, 9, 1,Ｊアドマイヤアｰス, 58,和田竜, 2.4, 58, -10,   1, 6, 19.7,⑧⑤⑤, 9, 1,Ｄアトム, 76,武幸四, 1.4, 64,  -3,  -5, 2,  4.3,⑩⑩⑨
10, 4,Ｃリリｰヒｰロｰ, 66,浜中俊, 2.7, 47,*  4, -31, 2,  4.2,⑧②②,10, 3, シゲルアワオドリ,---,太宰啓, 2.6, 42, -19,  -7,13,180.5, ⑫⑪,10, 7,Ｋヴォルスング, 50,北村友, 2.8, 56, -13,   2, 8, 52.1,⑪⑪⑩,10, 5,Ｈフサイチアソｰト, 75,下原理, 1.4, 65,  -4,  -2,11,219.2,⑨⑨⑩
11, 2,Ｍオブラディオブラダ, 23,鮫島良, 2.8, 50,  -3, -17,12,153.3,⑨⑫⑫,11,12, モズレッドファｰム,---,浜中俊, 3.0, 39, -24,  -7, 7, 35.3, ⑬⑬,11, 9,Ｌブレイヴハンタｰ, 49,下原理, 3.1, 51, -12,  -3,11,294.1,⑨⑨⑨,11,11,Ｊロｰドロックスタｰ, 72,川須栄, 3.4, 42,*  2, -43,10, 60.5,②②②
12, 5,Ｋライブリアヴニｰル, 47,和田竜, 3.2, 44,  -3, -20,13,175.6,⑬⑬⑬,12, 5, シュンイキ,---,高倉稜, 3.2, 35, -13, -21,10, 93.6, ⑨⑩,,,,,,,,,,,,,,,,,,,,,,,,
13, 1,Ｌアラビアンサｰカス, 36,下原理, 3.3, 43,  -2, -24,10,116.4,⑦⑩⑪,13,11, ウインドファｰスト,---,北村友, 3.6, 14, -22, -17,12,150.7, ⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:10),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:稍重(指数:10),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:10),,,,,,,,,,,
"単勝:1,420円 複勝:03=500円 11=1,230円 08=200円 枠連:10,490円",,,,,,,,,,,,"単勝:600円 複勝:02=140円 13=190円 07=110円 枠連:1,860円",,,,,,,,,,,,単勝:350円 複勝:05=120円 10=110円 08=120円 枠連:320円,,,,,,,,,,,,単勝:250円 複勝:10=120円 02=180円 08=190円 枠連:850円,,,,,,,,,,,
"馬連:36,150円 ワイド:03-11=8,280円 03-08=1,360円 08-11=3,210円",,,,,,,,,,,,"馬連:3,130円 ワイド:02-13=820円 02-07=220円 07-13=370円",,,,,,,,,,,,馬連:400円 ワイド:05-10=190円 05-08=270円 08-10=240円,,,,,,,,,,,,馬連:860円 ワイド:02-10=340円 08-10=400円 02-08=680円,,,,,,,,,,,
"馬単:57,580円 3連複:49,770円 3連単:328,980円",,,,,,,,,,,,"馬単:5,310円 3連複:1,410円 3連単:15,480円",,,,,,,,,,,,"馬単:950円 3連複:380円 3連単:2,670円",,,,,,,,,,,,"馬単:1,290円 3連複:1,640円 3連単:6,100円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 6R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,ﾀｲﾗﾝﾄﾞｶｯﾌﾟ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｇシュテルングランツ, 58,福永祐,, 67,* -7,* 14, 3,  6.9,②②②, 1, 7, グラブザフラッグ,---,松山弘,, 49, -15,*  6, 5, 11.2, ⑭⑭, 1,16,Ｇマイネノンノ, 68,和田竜,, 74,  15,   1, 8, 19.6, ⑥④, 1, 6,Ｂロｰドヴォルケｰノ, 77,福永祐,, 77,   3,* 14, 4,  8.4, ⑫⑪
 2, 7,Ｂトリビュｰン, 62,和田竜, 0.7, 63,* -7,   9, 1,  1.6,③③③, 2, 5, ニホンピロサンダｰ,---,酒井学, 0.3, 48,  -3, -12, 6, 16.5, ⑦⑦, 2, 4,Ｃラヴァｰズポイント, 73,小坂忠, 0.0, 73,* 16,  -1, 7, 16.4, ④③, 2, 5,Ｅトｰタルヒｰト, 76,松山弘, 0.0, 78,   5,* 11, 7, 19.7, ⑧⑤
 3,10,Ｈタイマツリ, 58,岩崎翼, 0.7, 62,* -6,   7, 8, 35.0,①①①, 3,10, タイユｰル,---,北村友, 0.3, 48,  -2, -14, 4, 10.7, ⑤④, 3, 7,Ｂサトノネネ, 74,パｰト, 0.1, 71,  11,*  5, 6, 16.2, ⑧⑦, 3, 1,Ｈワディ, 75,岩崎翼, 0.1, 76,*  8,   6, 3,  6.5, ②②
 4, 3,Ｅグレイトハスラｰ, 59,北村友, 1.0, 61,  -9,   9, 4, 14.8,⑤⑥⑤, 4,16, メイショウカシュウ,---,太宰啓, 0.5, 49,*  2, -20,10, 33.4, ③③, 4,10,Ｅタイセイゼニス, 72,川島信, 0.2, 73,* 19,  -7,11, 31.6, ①①, 4, 9,Ｆタマモプラネット, 75,義英真, 0.5, 73,   6,   4, 5, 10.6, ⑥⑦
 5, 4,Ａシゲルエッチュウ, 65,幸英明, 1.2, 61,* -7,   5, 2,  4.9,④④④, 5, 6, ブレｰヴストｰリｰ,---,浜中俊, 0.6, 47,  -1, -17, 2,  4.9, ④⑤, 5, 8,Ｋトウカイメリｰ, 66,松若風, 0.2, 69,   8,* 10,12, 40.1, ⑯⑯, 5, 3,Ｄサトノアビリティ, 76,浜中俊, 0.6, 73,*  9,  -1, 1,  2.7, ①①
 6, 2,Ｃシゲルエチゴ, 61,国分恭, 1.5, 57,  -7,   4, 9, 43.7,⑥⑤⑥, 6, 9, ワイルドサルｰト,---,幸英明, 0.7, 47,*  4, -23, 9, 24.6, ①①, 6,11,Ｄヴィルジニア, 72,福永祐, 0.3, 70,  15,  -2, 1,  3.9, ⑤⑤, 6, 7,Ｃハナズインパルス, 77,国分恭, 0.7, 72,   0,* 11,11, 42.4, ⑮⑮
 7,13,Ｄモズワトウナイ, 60,高倉稜, 2.0, 56,  -9,   3, 6, 17.4,⑫⑩⑩, 7, 3, アイファｰサラオｰ,---,熊沢重, 1.1, 43,  -7, -15, 3,  6.0, ⑪⑧, 7,17,Ｍディレットリｰチェ, 64,国分優, 0.4, 67,  11,   0,13, 53.7, ⑭⑨, 7, 8,Ｌラヴァズアゲイン, 71,武豊  , 0.7, 73,   1,   9, 9, 27.5, ⑬⑬
 8, 6,Ｉマイスクエアワン, 56,太宰啓, 2.2, 55,  -8,  -1,10, 53.8,⑧⑦⑦, 8,15, マツリダアンバタｰ,---,国分恭, 1.3, 40,  -4, -20,13, 47.1, ⑧⑩, 8, 3,Ｆエインセル, 71,川須栄, 0.4, 66,   8,*  6, 5, 11.2, ⑰⑮, 8,15,Ａサトノユニコｰン, 79,北村友, 1.0, 70,*  9,  -2, 2,  4.9, ④③
 9,11,Ｆクイズリングテラス, 58,義英真, 2.3, 52, -10,   1,11, 96.3,⑬⑬⑪, 9,11, ハｰトフルモトヒメ,---,中井裕, 1.4, 40,  -6, -18,12, 44.8, ⑨⑨, 9, 5,Ａハッピｰアビラ, 76,浜中俊, 0.5, 66,  11,   1, 3,  5.4, ⑪⑪, 9, 2,Ｋノアオｰカン, 72,幸英明, 1.1, 70,   1,   7,15, 95.6, ⑭⑫
10, 8,Ｊグランドリビエｰル, 55,川須栄, 2.3, 56, -10,   2,12,179.9,⑪⑪⑬,10,13, キンシノホマレ,---,武豊  , 1.5, 40,*  3, -30, 1,  2.7, ②②,10,15,Ｊレッドオｰラム, 66,北村友, 0.6, 65,  11,  -2, 4,  6.2, ⑨⑧,10, 4,Ｊヒナアラレ, 74,高倉稜, 1.3, 67,  -1,   6, 8, 25.8, ⑯⑯
11, 5,Ｌフアヒキリ, 54,浜中俊, 2.9, 49,  -9,  -6, 5, 15.5,⑨⑧⑧,11, 2, ボナフォルトゥｰナ,---,福永祐, 2.1, 34, -21,* -5,11, 35.6, ⑯⑯,11,14,Ｒインヴォｰク, 56,下原理, 0.6, 68,* 18,  -9,16,112.7, ③②,11,16,Ｉビバハイタッチ, 74,国分優, 1.8, 62,   6,  -8,12, 43.5, ⑦⑧
12, 1,Ｋロｰレルゼフィｰロ, 54,森一馬, 3.7, 42,  -9, -12,13,262.6,⑦⑨⑨,12, 4, ドリｰムマオ,---,松若風, 2.4, 32,  -3, -30, 8, 24.3, ⑥⑥,12, 6,Ｌオｰルオブナイト, 64,武豊  , 0.6, 65,  10,   1, 2,  5.0, ⑫⑫,12,11,Ｏハルシュタット, 64,藤懸貴, 2.0, 62,   4,  -5,16,307.8, ⑩⑨
13, 9, ネオヴィｰタロｰザ,---,松若風, 4.0, 39, -11, -14, 7, 33.9,⑩⑫⑫,13, 8, ダンスアンドボイス,---,高倉稜, 2.9, 30, -17, -17,16,166.8, ⑮⑮,13,18,Ｑヨッテウタッテ, 59,松山弘, 0.6, 66,  14,  -5,10, 28.8, ⑩⑥,13,10,Ｐラフィネシチｰ, 63,太宰啓, 2.7, 57,   4, -11,10, 38.6, ⑪⑭
,,,,,,,,,,,,14,12, シゲルワッショイ,---,岡田祥, 3.2, 28,  -5, -34,14, 65.8, ⑩⑪,14,13,Ｎミキノティｰタイム, 64,酒井学, 0.8, 62,   9,  -1,14, 77.4, ⑮⑭,14,14,Ｇスリｰエスペラント, 75,酒井学, 3.2, 51,*  8, -22,13, 51.9, ⑤④
,,,,,,,,,,,,15,14, ロｰレルベルカント,---,川須栄, 3.6, 26, -13, -28, 7, 16.6, ⑬⑬,15, 9,Ｏテイエムリヴィエラ, 62,国分恭, 1.0, 59,   4,   3,15, 96.4, ⑱⑱,15,12,Ｍラブリｰプラネット, 71,松若風, 3.4, 50,   5, -19, 6, 12.6, ⑨⑩
,,,,,,,,,,,,16, 1, トウケイワイルド,---,義英真, 4.3, 19,  -8, -40,15,115.1, ⑫⑫,16, 2,Ｉスイｰトブライアｰ, 67,高倉稜, 1.6, 54,  10, -12,17,166.8, ⑦⑩,16,13,Ｎイイデフュｰチャｰ, 67,和田竜, 3.5, 50,*  8, -24,14, 94.5, ③⑥
,,,,,,,,,,,,,,,,,,,,,,,,17,12,Ｐエイユｰモモチャン, 62,熊沢重, 1.9, 50,   9, -15,18,196.4, ⑬⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 1,Ｈマチルダ, 67,幸英明, 4.2, 27,   5, -39, 9, 26.8, ②⑰,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:10),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-6),,,,,,,,,,,
単勝:690円 複勝:12=200円 07=110円 10=430円 枠連:330円,,,,,,,,,,,,"単勝:1,120円 複勝:07=470円 05=450円 10=410円 枠連:2,680円",,,,,,,,,,,,"単勝:1,960円 複勝:16=600円 04=490円 07=550円 枠連:2,750円",,,,,,,,,,,,"単勝:840円 複勝:06=250円 05=510円 01=280円 枠連:6,530円",,,,,,,,,,,
"馬連:550円 ワイド:07-12=280円 10-12=2,840円 07-10=860円",,,,,,,,,,,,"馬連:7,700円 ワイド:05-07=2,270円 07-10=1,890円 05-10=2,140円",,,,,,,,,,,,"馬連:10,500円 ワイド:04-16=3,520円 07-16=3,810円 04-07=3,380円",,,,,,,,,,,,"馬連:7,170円 ワイド:05-06=2,250円 01-06=1,300円 01-05=2,960円",,,,,,,,,,,
"馬単:1,680円 3連複:6,160円 3連単:32,270円",,,,,,,,,,,,"馬単:15,750円 3連複:27,930円 3連単:185,800円",,,,,,,,,,,,"馬単:23,800円 3連複:52,110円 3連単:379,860円",,,,,,,,,,,,"馬単:12,980円 3連複:19,900円 3連単:131,500円",,,,,,,,,,,
