14年12月28日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年12月28日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
 6,18,Ｎエスジｰプログレス, 43,勝浦正, 0.7, 58,  -9,* 13,11, 74.2, ⑯⑯, 6, 5, シゲルサンノウサイ,---,義英真, 1.3, 50, -12,  -6, 8, 61.1, ⑥⑤, 6, 3,Ｌスタｰマイン, 71,川島信, 0.8, 76,   1,  12,10, 60.1, ⑬⑫, 6, 2,Ｎカネトシマｰシャル, 76,松山弘, 0.5, 78,   7,   3,12, 48.0,⑥⑦⑨
 7,14,Ｈマｰシフルハｰト, 49,小崎綾, 0.8, 56,   3,  -4, 3,  8.0, ⑤⑤, 7, 8, ニホンピロピｰス,---,酒井学, 1.5, 48,  -9, -12, 4,  7.3, ③③, 7, 7,Ｆジャコカッテ, 76,和田竜, 0.9, 75,   8,   4, 1,  3.2, ③③, 7, 4,Ｃダノンフェニックス, 81,四位洋, 0.5, 77,   7,   4, 1,  3.6,⑧⑩⑧
 8, 6,Ｇアグネスエンジェル, 49,松若風, 0.9, 55,  -9,*  9,17,325.3, ⑮⑮, 8, 4, ギャラリスト,---,小崎綾, 2.0, 44, -21,  -2, 3,  4.4, ⑨⑨, 8,11,Ｉカクシアジ, 73,尾島徹, 1.0, 75,  -2,  13,15,133.6, ⑭⑬, 8, 5,Ｏハナノシンノスケ, 74,岡田祥, 0.5, 75,*  9,  -4,16,145.3,①①①
 9, 3,Ｄデンコウハシャ, 57,高倉稜, 0.9, 54,   3,  -5, 5, 11.6, ⑥⑥, 9, 9, シャドウリクルｰト,---,小林徹, 2.7, 35, -17, -17, 9, 82.3, ⑧⑧, 9, 8,Ｈハニｰドント, 75,国分優, 1.0, 74,   8,   3, 7, 19.6, ④⑤, 9,10,Ｊダイシンブラック, 78,北村友, 0.6, 75,   8,   1, 9, 23.1,⑪⑨⑦
10, 7,Ｋヒメキヨヒダカ, 48,和田竜, 0.9, 56,  -5,   6, 9, 45.3, ⑬⑪,,,,,,,,,,,,,10,14,Ｄイキ, 77,小崎綾, 1.1, 73,   4,   5, 4,  9.2, ⑨⑦,10, 1,Ｂテンペル, 82,藤田伸, 0.7, 77,   4,*  8, 7, 13.6,⑯⑮⑭
11,12,Ｅリリｰヴィクトリｰ, 54,酒井学, 1.2, 49,*  6, -15, 6, 13.5, ②②,,,,,,,,,,,,,11, 1,Ｐキョウワリベラル, 65,酒井学, 1.3, 71,   7,   1,13,119.8, ⑦④,11, 7,Ｇサクラボｰルド, 79,勝浦正, 0.8, 76,   5,   5, 4,  7.2,⑫⑬⑬
12,13,Ｏマイネルシアトル, 42,幸英明, 1.3, 51,  -8,   3,10, 71.3, ⑭⑭,,,,,,,,,,,,,12,12,Ｋネオアレクサンドラ, 73,北村友, 1.6, 68,  -4,   9,14,125.5, ⑮⑯,12, 9,Ｉスマｰトリバティｰ, 78,古川吉, 1.1, 69,*  9,  -9,14, 68.7,⑦⑥⑤
13, 5,Ｌグロウミングティア, 47,義英真, 1.3, 49,  -1,  -5,15,249.5, ⑨⑨,,,,,,,,,,,,,13, 9,Ｅアレット, 77,川須栄, 1.8, 67,   5,  -2, 6,  9.6, ⑤⑧,13,15,Ｈアイウォントユｰ, 79,国分恭, 1.1, 72,   3,   5,10, 39.8,⑭⑯⑯
14, 9,Ｉメイショウハイネス, 48,国分恭, 1.9, 43,  -5,  -8,12, 96.2, ⑪⑫,,,,,,,,,,,,,14,15,Ｊミラクルルｰマｰ, 73,幸英明, 2.0, 65,   4,  -3, 9, 42.6, ⑥⑩,14,12,Ｋベリｰフィｰルズ, 77,藤懸貴, 1.2, 72,   5,  -1, 8, 22.3,⑮⑭⑮
15, 2,Ｒパティ, 37,岩崎翼, 2.1, 40,  -1, -16,16,258.7, ⑧⑧,,,,,,,,,,,,,15, 4,Ｏレッドグラサｰジュ, 68,国分恭, 2.1, 63,  -4,   4,12, 85.3, ⑯⑮,15,16,Ｐメイショウリョウマ, 68,国分優, 1.4, 67,*  9, -15,15,109.4,③②②
16,10,Ｑロザムンデ, 38,松田大, 2.4, 37,  -5, -15,13,108.2, ⑫⑬,,,,,,,,,,,,,16,10,Ｎノボピュアリティ, 71,高倉稜, 2.3, 63,   1,  -2,11, 64.1, ⑩⑭,16,13,Ａスミデロキャニオン, 82,松若風, 1.6, 65,   5,  -9, 2,  4.9,⑨⑫⑫
17,15,Ｍツジスｰパｰハヤテ, 45,藤田伸, 3.7, 25, -21, -10,18,367.6, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,16,Ｐサンセットビｰチ, 39,松山弘, 4.2, 20, -28,  -7,14,166.8, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:5),,,,,,,,,,,
単勝:200円 複勝:17=110円 04=170円 11=140円 枠連:440円,,,,,,,,,,,,"単勝:3,210円 複勝:01=370円 06=120円 03=150円 枠連:2,800円",,,,,,,,,,,,"単勝:320円 複勝:05=150円 16=220円 02=220円 枠連:1,150円",,,,,,,,,,,,"単勝:5,120円 複勝:08=1,210円 03=290円 11=410円 枠連:770円",,,,,,,,,,,
馬連:930円 ワイド:04-17=320円 11-17=250円 04-11=640円,,,,,,,,,,,,"馬連:3,050円 ワイド:01-06=1,200円 01-03=1,340円 03-06=240円",,,,,,,,,,,,"馬連:1,420円 ワイド:05-16=530円 02-05=540円 02-16=1,350円",,,,,,,,,,,,"馬連:12,970円 ワイド:03-08=4,070円 08-11=6,920円 03-11=1,500円",,,,,,,,,,,
"馬単:1,250円 3連複:1,290円 3連単:4,960円",,,,,,,,,,,,"馬単:8,350円 3連複:3,310円 3連単:38,680円",,,,,,,,,,,,"馬単:2,120円 3連複:4,150円 3連単:16,050円",,,,,,,,,,,,"馬単:37,560円 3連複:49,480円 3連単:439,230円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 6R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■12R  ダ1400m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,千両賞,,,,,,,,,,,,2014ﾌｧｲﾅﾙｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｑアクセラレｰト, 34,幸英明,, 64, -13,* 13, 9, 26.1, ⑯⑯, 1, 2,Ｆグレンガイル, 70,四位洋,, 78,*  4,* 16, 2,  5.9,⑤④②, 1, 9,Ｄアンビシャス, 64,松山弘,, 76, -15,* 17, 1,  3.4, ⑧⑦, 1, 7,Ｋコｰリンベリｰ, 84,松山弘,, 91,*  5,* 22, 2,  5.6, ①①
 2, 6,Ｒブロウユアマインド, 26,北村友, 0.0, 59, -10,   6, 5,  9.0, ⑥⑥, 2,12,Ａラウンドロビン, 79,和田竜, 0.4, 74,   2,  16, 1,  1.7,⑦⑥④, 2,16,Ｐジェルブドｰル, 44,藤岡佑, 0.1, 71, -13,  13,11, 44.1, ⑥⑥, 2, 2,Ｄニシケンモノノフ, 87,中谷雄, 0.6, 86,   4,  19, 9, 24.9, ⑤④
 3,16,Ｌコスモジョイジョイ, 55,松若風, 0.1, 54,* -7,  -3,15,182.2, ②②, 3,14,Ｈメイショウクロｰバ, 67,岩崎翼, 0.7, 66,*  5,   6,11, 54.3,①①③, 3, 6,Ｈアイファｰサンディ, 62,秋山真, 0.2, 72, -16,* 16,10, 32.7, ⑦⑨, 3, 6,Ａシンボリエンパイア, 90,ブノワ, 0.8, 82,   3,  19, 6,  9.7, ⑦⑦
 4,15,Ｍサウンドギャツビｰ, 49,秋山真, 0.1, 55,* -8,   0,12, 42.6, ④④, 4, 9,Ｃカノヤプレジデント, 75,中村将, 0.8, 70,   0,* 16, 6, 22.1,⑪⑩⑧, 4,13,Ｇペガサスボス, 63,松田大, 0.4, 69, -15,  11, 5, 12.3, ⑨⑧, 4,13,Ｆキョウワダッフィｰ, 86,四位洋, 0.8, 88,   3,  19, 1,  2.8, ⑨⑧
 5, 8,Ｏチャパラ, 39,太宰啓, 0.1, 55,* -8,   0,14, 77.1, ③③, 5, 4,Ｎタニノマンボ, 61,義英真, 0.8, 70,  -2,* 20,14,147.2,⑩⑫⑫, 5, 3,Ｃロｰドフェリｰチェ, 66,四位洋, 0.4, 71, -17,* 15, 6, 13.4, ⑩⑩, 5, 9,Ｉキズマ, 85,藤田伸, 1.0, 82,*  5,  13,10, 27.7, ②②
 6,12,Ｎガロファノ, 42,松山弘, 0.2, 58,  -9,   1, 2,  6.3, ⑧⑧, 6, 3,Ｐアドマイヤアｰス, 59,ブノワ, 1.3, 60,   3,   6, 3,  7.7,⑥⑤⑤, 6,10,Ａフミノムｰン, 78,幸英明, 0.5, 69, -17,  13, 2,  4.2, ⑪⑪, 6, 4,Ｊセイカプリコｰン, 84,川須栄, 1.1, 84,  -2,* 22,13, 75.3, ⑭⑭
 7,14,Ｇアズマクィｰン, 57,藤田伸, 0.2, 53,* -6,  -6, 3,  7.0, ①①, 7, 7,Ｄハギノウィッシュ, 75,柴田未, 1.4, 65,  -1,  12, 5, 18.7,⑫⑪⑩, 7, 2,Ｅアドマイヤゴッド, 63,松若風, 0.6, 63, -13,   4, 8, 24.4, ④④, 7,15,Ｈナリタスｰパｰワン, 85,幸英明, 1.1, 82,   4,  15, 5,  9.3, ④⑥
 8, 1,Ｂトップディｰヴォ, 60,四位洋, 0.3, 57, -12,   4, 1,  2.6, ⑨⑩, 8,15,Ｅサンエルピス, 71,小崎綾, 1.6, 64,  -1,  10, 8, 34.0,⑨⑨⑪, 8, 4,Ｏキャンディｰハウス, 57,北村友, 0.6, 63,*-11,   1,13,164.1, ②②, 8, 3,Ｅキクノストｰム, 87,勝浦正, 1.2, 81,   1,  17,11, 42.7, ⑪⑩
 9,13,Ｉユキヒョウ, 56,国分優, 0.3, 55, -11,   1,10, 27.6, ⑫⑨, 9, 6,Ｇレイズオブザサン, 67,松田大, 1.6, 64,   1,   8,12, 62.7,④⑦⑨, 9, 5,Ｎサトノフラム, 58,ブノワ, 0.8, 61, -13,   1, 3,  4.9, ⑤⑤, 9, 1,Ｌデザｰトオアシス, 84,北村友, 1.2, 81,   1,  17, 7, 22.1, ⑩⑨
10,10,Ｄブルロｰネ, 59,義英真, 0.4, 57, -15,*  8, 7, 16.8, ⑭⑰,10, 1,Ｍレｰザｰビｰム, 62,藤懸貴, 1.7, 62,   1,   6,16,212.2,⑧⑧⑦,10,12,Ｊグラブザフラッグ, 61,川島信, 0.9, 67, -19,  11,12, 61.6, ⑯⑮,10,16,Ｍネオザウイナｰ, 83,松田大, 1.2, 81,*  5,  13,15,147.0, ③③
11,11,Ｐタガノヴェリテ, 37,古川吉, 0.4, 55, -12,   4,17,262.6, ⑮⑬,11, 8,Ｊサトノミラクル, 65,藤岡佑, 1.9, 61,  -4,  14, 7, 24.8,⑮⑮⑭,11,14,Ｂヤマニンマンドｰル, 69,勝浦正, 1.0, 65, -19,  10, 4,  6.3, ⑬⑭,11,10,Ｎスズカロジック, 82,秋山真, 1.3, 80,  -2,  20,14,137.5, ⑮⑮
12, 3,Ｊゼットスマイル, 56,藤岡佑, 0.5, 55, -13,   5, 8, 20.3, ⑰⑮,12,11,Ｌデルマコテツ, 63,松若風, 1.9, 65,  -3,  14,13, 84.3,⑯⑯⑯,12,15,Ｆグレイトチャｰタｰ, 63,和田竜, 1.0, 62, -18,   6, 9, 27.3, ⑭⑫,12,12,Ｇゴｰルスキｰ, 86,和田竜, 1.4, 81,   0,  18, 8, 22.8, ⑫⑬
13, 2,Ｋオマケ, 56,尾島徹, 0.5, 54, -10,   0,13, 72.8, ⑩⑪,13,13,Ｂゲｰムフェイス, 76,幸英明, 2.1, 58,*  3,  -2, 4,  9.0,③③①,13, 8,Ｌネイチャｰクルｰズ, 61,尾島徹, 1.0, 63, -19,   9,15,281.9, ⑫⑬,13, 8,Ｐカオスモス, 80,尾島徹, 1.4, 79,   3,  13, 4,  7.5, ⑥⑤
14,17,Ａアウトゼアｰ, 61,水口優, 0.7, 48,* -8,  -9,11, 37.5, ⑤⑤,14,10,Ｉエスタｰブレ, 66,川須栄, 2.3, 61,  -2,   8,15,162.4,⑭⑬⑬,14, 1,Ｉキモンイｰグル, 61,小崎綾, 1.2, 54,*-10,  -9,14,173.4, ①①,14, 5,Ｂメイショウマシュウ, 89,藤岡佑, 1.5, 79,  -3,  20,12, 49.9, ⑯⑯
15, 4,Ｈカフジムｰン, 57,高倉稜, 0.8, 52, -13,   1,16,249.0, ⑬⑭,15, 5,Ｋヤマカツマｰフィ, 64,国分優, 3.2, 52,  -3,   2,10, 53.3,⑬⑭⑮,15, 7,Ｍグランアルマダ, 58,酒井学, 1.2, 63, -22,  11, 7, 23.1, ⑮⑯,15,14,Ｃナガラオリオン, 88,太宰啓, 1.6, 79,   0,  15, 3,  7.3, ⑬⑪
16, 9,Ｅウインガニオン, 58,国分恭, 0.8, 48, -11,  -6, 4,  8.2, ⑦⑦,16,16,Ｏウイントゥモロｰ, 61,松山弘, 3.3, 50,*  3, -13, 9, 47.1,②②⑥,16,11,Ｋナムラオウテ, 61,古川吉, 1.5, 51,*-12, -10,16,301.0, ③③,16,11,Ｏシゲルソウサイ, 82,国分優, 2.2, 73,   2,   8,16,210.8, ⑧⑫
