14年 4月20日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 4月20日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2750m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
 9, 5,Ｇフリメｰル, 55,原田和, 0.6, 46, -11,  -1,13,115.8, ④④, 9,10, クリノメダリスト,,大江原,186.9,,,,13, 74.5,⑬⑬⑬, 9, 3,Ｇマｰヴェリックス, 68,岡田祥, 1.7, 59,   0,   7, 8, 27.0,⑩⑫⑭, 9, 5,Ｃナスケンリュウジン, 66,横山和, 0.4, 61, -16,*  9, 6, 17.8, ⑭⑪
10, 1, リネンアイアン,---,柴田未, 0.7, 45, -21,*  6,12, 93.4, ⑫⑫,10,13, フクノアトリア,,上野翔,186.9,,,, 9, 25.9,①④⑧,10,12,Ｋポイントキセキ, 63,丹内祐, 2.0, 55,   2,  -1,13,131.7,⑭⑥⑧,10,11,Ｆデンコウウノ, 65,田中博, 0.4, 62, -16,*  9, 5,  8.5, ⑮⑮
11,11,Ｄサウンドグランデ, 60,川須栄, 0.7, 47,* -9,  -4, 6, 17.1, ②②,11,14, キュウシュウソダチ,,草野太,187.0,,,,12, 59.1,②③⑨,11, 5,Ｊリアライズクレア, 66,西田雄, 2.2, 53,*  3,  -5, 5, 15.8,⑫④⑤,11, 2,Ｉアポロデイライト, 62,勝浦正, 0.5, 60, -10,   2, 7, 18.3, ⑩⑧
12, 8,Ｌイｰジスコンゴウ, 43,吉田隼, 0.8, 44, -17,   2, 4, 15.3, ⑩⑩,12, 6, ショウナンパレット,,山本康,187.2,,,,11, 46.4,⑪⑫⑫,12,14,Ｃレディメイアン, 73,菱田裕, 2.3, 53,   0,  -1, 3,  9.5,⑨⑩⑩,12, 7, スｰパｰスタｰ,---,木幡初, 0.6, 59,* -4,  -5,11, 41.4, ②②
13, 2, ウィンディｰウィン,---,嘉藤貴, 1.4, 39, -23,   3,15,199.8, ⑭⑬,13, 5, メイライト,,林満明,187.4,,,,14, 82.0,③⑧⑩,13, 4,Ｍスリｰキャピトル, 61,松田大, 2.5, 51,*  3,  -7, 7, 17.8,①①③,13,12,Ｍナムラユキヒメ, 58,宮崎北, 0.7, 58,* -5,  -5,15,104.8, ④⑥
14,12,Ｊラストシャングリラ, 52,嶋田純, 1.7, 35, -23,   0, 9, 22.8, ⑮⑮,,,,,,,,,,,,,14, 9,Ｎサマｰフェニックス, 59,伴啓太, 2.8, 51,  -1,  -2,15,429.8,⑪⑬⑮,14,13,Ｏデサフィナｰド, 52,長岡禎, 0.9, 54, -10,  -2,16,270.6, ⑪⑬
15,10,Ｎトライバル, 34,中舘英, 3.0, 26, -21, -14,14,138.0, ⑬⑭,,,,,,,,,,,,,15,13,Ｏハｰトアンドハｰト, 53,勝浦正, 3.1, 47,   1,  -9,12,122.6,⑥⑨⑬,15, 8,Ｌマリカ, 59,杉原誠, 1.2, 51,* -5, -12,10, 31.1, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｎチｰフテン, 58,松田大, 1.4, 49, -21,   1,14, 69.2, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:4),,,,,,,,,,,
"単勝:610円 複勝:13=160円 06=120円 04=110円 枠連:1,010円",,,,,,,,,,,,"単勝:1,680円 複勝:08=540円 04=410円 07=610円 枠連:1,220円",,,,,,,,,,,,単勝:600円 複勝:06=160円 08=110円 10=170円 枠連:490円,,,,,,,,,,,,"単勝:1,840円 複勝:06=470円 15=190円 09=220円 枠連:940円",,,,,,,,,,,
馬連:960円 ワイド:06-13=350円 04-13=320円 04-06=180円,,,,,,,,,,,,"馬連:10,550円 ワイド:04-08=3,020円 07-08=3,550円 04-07=2,940円",,,,,,,,,,,,馬連:550円 ワイド:06-08=250円 06-10=610円 08-10=310円,,,,,,,,,,,,"馬連:4,380円 ワイド:06-15=1,510円 06-09=1,790円 09-15=770円",,,,,,,,,,,
"馬単:2,110円 3連複:760円 3連単:5,460円",,,,,,,,,,,,"馬単:25,210円 3連複:52,690円 3連単:327,700円",,,,,,,,,,,,"馬単:1,740円 3連複:1,430円 3連単:9,330円",,,,,,,,,,,,"馬単:11,250円 3連複:9,190円 3連単:85,030円",,,,,,,,,,,
■ 2R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 5R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 8R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝2600m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,奥の細道特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｈクラウンデュナミス, 43,勝浦正,, 67,* -5,*  6, 6, 11.0, ②②, 1,13,Ｄユアメモリｰ, 57,菱田裕,, 66,* 11,  -4, 3,  6.3,①①①, 1,16,Ｄキｰパップ, 68,伴啓太,, 66,   1,   2, 2,  5.1, ③③, 1, 1,Ａメイショウブシン, 81,丸田恭,, 83,  -5,* 24, 2,  4.3,⑧⑦⑤
 2, 4,Ｃブリッツカイザｰ, 53,黛弘人, 0.2, 63,* -4,   2, 1,  3.6, ①①, 2,11,Ｅアドマイヤアロマ, 54,藤岡康, 0.1, 66,   4,*  8, 4, 11.5,⑧⑦③, 2,10,Ｂスｰパｰアｰス, 70,花田大, 0.1, 65,   0,   2, 1,  3.7, ⑤⑤, 2, 5,Ｃアドマイヤネアルコ, 76,丸山元, 0.2, 76,* -3,  13, 5,  7.3,①①①
 3, 3,Ａサビｰナクレスタ, 62,丸田恭, 0.3, 61,  -8,   5, 2,  4.2, ③③, 3, 7,Ａウインオリアｰト, 63,津村明, 0.3, 63,*  8,  -3, 2,  3.6,③②②, 3, 9,Ｇトミケンフィアブル, 63,勝浦正, 0.1, 66,  -9,* 11, 8, 14.1, ⑯⑯, 3, 8,Ｄトルｰクマクト, 75,柴山雄, 0.4, 77,  -4,  14, 1,  3.6,⑦⑤④
 4, 5,Ｄヒｰラブズミｰ, 52,中井裕, 0.3, 64, -12,*  9, 5, 10.0, ⑨⑩, 4, 3,Ｂスパｰクルキャット, 62,勝浦正, 0.3, 64,   5,*  3, 1,  1.9,⑥④⑤, 4, 5,Ａランパスキャット, 72,嘉藤貴, 0.3, 62,  -3,   2, 4,  6.5, ⑥⑥, 4, 4,Ｇセミニョン, 73,勝浦正, 0.5, 75,* -3,  10, 6,  9.3,④④③
 5, 1,Ｅフヨウアｰミｰデｰ, 48,柴田未, 0.4, 61, -11,*  6, 8, 16.4, ⑦⑤, 5,16,Ｆエンジェルフォｰス, 54,吉田隼, 1.0, 56,   3,  -1, 7, 37.9,⑬⑩⑦, 5, 1,Ｊエｰティｰガンダム, 61,古川吉, 0.4, 62,   0,  -1, 9, 35.9, ④④, 5, 7,Ｆカンタベリｰナイト, 73,二本柳, 0.5, 77,  -6,  17, 7, 16.5,⑩⑧⑨
 6,10, サザンライツ,---,川須栄, 0.7, 57, -13,   5, 3,  6.1, ⑪⑨, 6, 4, メドウスラヴ,---,石川裕, 1.7, 48,   5, -16, 6, 33.4,⑦⑥⑥, 6, 7,Ｈアルマシャウラ, 62,柴山雄, 0.4, 62,  -4,   3,14,103.4, ⑧⑧, 6,11,Ｈスノｰストｰム, 73,菱田裕, 0.6, 76,  -4,  14, 4,  6.8,⑥⑨⑧
 7,12,Ｌクラバウタｰマン, 29,大野拓, 0.7, 57,* -7,  -2,14,160.3, ④④, 7,10,Ｈグレｰスグランド, 48,横山和, 1.7, 46,*  8, -21, 8, 42.6,④③④, 7, 6,Ｅオｰファメイ, 67,藤岡康, 0.4, 61,  -5,   4, 6, 11.7, ⑪⑩, 7, 9,Ｅゴｰルデンヒｰロｰ, 75,松田大, 0.6, 80,  -7,* 21, 9, 18.8,⑨⑩⑩
 8,14,Ｇキネオメジャｰ, 44,津村明, 0.9, 54, -10,   0, 4,  9.3, ⑧⑧, 8,12,Ｃデザｰトオブムｰン, 59,丸山元, 2.1, 44,   4, -19, 5, 16.8,⑪⑧⑨, 8,15,Ｃザゲｰムイズオン, 69,吉田隼, 0.4, 61,*  5,  -7, 3,  5.5, ②②, 8, 2,Ｋパッシフロｰラ, 68,吉田隼, 0.6, 71,* -3,   7, 8, 17.9,②②②
 9, 9,Ｂトゥルｰスカイ, 55,菱田裕, 1.0, 53, -13,   1, 7, 14.1, ⑩⑪, 9, 8,Ｇチリトテチン, 53,大庭和, 2.5, 42,   2, -19, 9, 69.2,⑩⑫⑧, 9, 4,Ｉジェネクラｰジュ, 62,中舘英, 0.7, 58,  -5,   0, 7, 13.6, ⑩⑨, 9, 3,Ｉフィルハｰマジック, 70,高倉稜, 0.7, 71,* -3,   7,11,101.1,③③⑥
10, 6,Ｊカシノクロｰネ, 39,小崎綾, 1.7, 43,  -9, -12,13,136.1, ⑤⑦,10,15, ロｰクワット,---,黛弘人, 2.5, 41,  -5,  -9,11,137.1,⑮⑮⑮,10,12,Ｋエイユｰモモチャン, 61,川須栄, 0.8, 56,  -4,  -3,10, 37.1, ⑨⑪,10, 6,Ｂカｰマイン, 78,中舘英, 0.8, 73,  -4,  10, 3,  6.5,⑤⑥⑦
11,13,Ｆメイズバｰスデｰ, 47,松田大, 1.9, 42,  -9, -14,10, 26.7, ⑥⑥,11,14,Ｋピンキｰカフェ, 30,柴山雄, 2.5, 42,  -1, -13,12,222.7,⑭⑭⑬,11,13,Ｍジャパンイモン, 58,黛弘人, 0.8, 57,  -6,   0,11, 37.2, ⑬⑭,11,10,Ｊテンカイチ, 70,黛弘人, 1.0, 77,  -6,  17,10, 50.6,⑪⑪⑪
12, 7, デルマゴクウ,---,原田和, 2.0, 42, -29,   3,15,170.5, ⑯⑭,12, 6,Ｉヒトシレズ, 42,小崎綾, 2.7, 38,  -2, -17,13,237.7,⑫⑬⑭,12,11,Ｌアグネスアンジュ, 59,杉原誠, 0.8, 57,  -7,   0,16,161.2, ⑫⑬,,,,,,,,,,,,
13, 2,Ｋロココ, 38,中舘英, 2.1, 39, -17,  -9, 9, 22.5, ⑬⑫,13, 5,Ｍエリｰスプラッシュ, 12,丹内祐, 2.7, 39,   1, -22,16,358.0,⑨⑪⑫,13, 8,Ｆエイティグロｰリｰ, 65,中井裕, 0.8, 57,  -1,  -5, 5, 10.6, ⑦⑦,,,,,,,,,,,,
14,15,Ｉメイショウキセキ, 43,古川吉, 2.5, 34, -16, -16,12, 67.9, ⑫⑬,14, 1,Ｊティエスリｰナ, 36,高倉稜, 3.7, 29,   3, -39,14,241.3,⑤⑨⑪,14, 2,Ｎセイントデジタル, 58,高倉稜, 1.0, 53,  -9,   0,13, 90.1, ⑭⑫,,,,,,,,,,,,
15,16, カネトシプロシｰド,---,高倉稜, 3.0, 27, -25, -13,11, 31.4, ⑮⑯,14, 2, ユナリナ,---,中谷雄, 3.7, 31,  -8, -15,10, 81.6,⑯⑯⑯,15,14,Ｐエクスプロｰラｰ, 56,丸田恭, 1.7, 44,*  5, -24,12, 48.2, ①①,,,,,,,,,,,,
16, 8,Ｍビバサクラサクラ, 26,小島太, 4.5, 10, -16, -39,16,260.9, ⑭⑮,16, 9,Ｌワｰルドスロｰン, 21,木幡初, 4.5, 25,   5, -55,15,245.0,②⑤⑩,16, 3,Ｏスマｰトジュメイラ, 57,小崎綾, 1.9, 42,  -8, -13,15,125.7, ⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:4),,,,,,,,,,,
"単勝:1,100円 複勝:11=250円 04=140円 03=180円 枠連:1,100円",,,,,,,,,,,,"単勝:630円 複勝:13=270円 11=270円 07=180円 枠連:1,720円",,,,,,,,,,,,単勝:510円 複勝:16=200円 10=180円 09=330円 枠連:450円,,,,,,,,,,,,"単勝:430円 複勝:01=160円 05=190円 08=140円 枠連:1,350円",,,,,,,,,,,
"馬連:2,010円 ワイド:04-11=730円 03-11=900円 03-04=340円",,,,,,,,,,,,"馬連:3,520円 ワイド:11-13=920円 07-13=630円 07-11=510円",,,,,,,,,,,,"馬連:1,280円 ワイド:10-16=400円 09-16=1,090円 09-10=820円",,,,,,,,,,,,"馬連:1,230円 ワイド:01-05=450円 01-08=320円 05-08=440円",,,,,,,,,,,
"馬単:5,060円 3連複:2,960円 3連単:23,510円",,,,,,,,,,,,"馬単:7,860円 3連複:4,600円 3連単:30,380円",,,,,,,,,,,,"馬単:2,570円 3連複:4,470円 3連単:20,050円",,,,,,,,,,,,"馬単:2,350円 3連複:1,360円 3連単:8,240円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  ダ1150m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浄土平特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａパフュｰムボム, 60,川須栄,, 70,   2,*  3, 1,  1.5,⑪⑥③, 1,10,Ａキタサンウンリュｰ, 78,丸山元,, 65,* -3,   6, 1,  2.0, ②②, 1,14,Ｇキングスクルｰザｰ, 71,藤懸貴,, 70,*  2,* 12, 7, 17.0,⑩⑤⑤, 1, 6,Ｃアメリカンダイナｰ, 73,津村明,, 78,* -5,* 25, 2,  3.6,①①①
 2,13,Ｆキレイナオヒメサマ, 53,丸田恭, 0.8, 59,*  4,  -6, 8, 31.3,⑧①①, 2, 5,Ｅフィンデルムンド, 67,吉田隼, 0.2, 63, -11,* 11, 2,  3.2, ⑪⑦, 2, 6,Ｅダｰクブレイズ, 72,松田大, 0.0, 67,*  3,   9, 3,  9.6,①①①, 2,15,Ａマトリックスコｰド, 81,吉田隼, 0.5, 71,* -7,  21, 1,  2.3,⑤③③
 3,10,Ｄラフェットデメｰル, 56,中舘英, 1.7, 58,*  3, -13, 4, 14.4,⑬③②, 3, 6,Ｂサｰシスリｰフ, 68,川須栄, 0.2, 64,  -7,   7, 3,  8.4, ⑤⑤, 3, 4,Ｂカレングラスジョｰ, 74,川須栄, 0.2, 71,  -1,* 14, 2,  4.0,⑨⑫⑪, 3,11,Ｆエイダイポイント, 69,岩部純, 0.6, 74,  -7,  24, 5, 19.3,⑩⑩⑩
 4,11,Ｂディｰプリアン, 57,勝浦正, 2.1, 52,   2, -14, 3,  7.8,④⑤⑤, 4, 7,Ｄハドソンシチｰ, 67,水口優, 0.3, 65, -17,* 16, 7, 27.6, ⑭⑭, 4,13,Ｎゴｰイングストｰン, 65,高倉稜, 0.3, 67,*  2,   9, 9, 35.9,④④④, 4, 8,Ｂジェラテリアバｰル, 74,丸田恭, 0.7, 69,* -6,  20, 3,  6.4,④⑤⑤
 5, 1, アロマフレグランス,---,中井裕, 2.1, 56,  -2,  -7,10, 65.3,⑭⑬⑦, 5,11,Ｊエクセレンフレｰル, 63,藤岡康, 0.5, 60,  -5,   2, 5, 23.8, ④④, 5,15,Ｍマグナムボｰイ, 67,嘉藤貴, 0.3, 66,*  3,   7, 4,  9.8,②②②, 5, 3,Ｇアイアムライジング, 69,柴山雄, 0.9, 67,* -7,  17, 7, 30.5,③④④
 6, 7,Ｌキョウエイカプリス, 38,中谷雄, 2.3, 51,   2, -16, 7, 30.8,①④④, 6, 3,Ｃアタッキングゾｰン, 67,平野優, 0.7, 58,  -9,   5,13, 87.0, ⑧⑨, 6, 7,Ｆビットプレスト, 72,石神深, 0.4, 67,*  2,   9, 8, 32.0,⑥③③, 6, 5,Ｎテイエムブシドｰ, 59,勝浦正, 0.9, 73,  -9,  23,10, 67.4,⑨⑪⑪
 7, 6,Ｉビュｰティガッキ, 51,吉田隼, 3.5, 45,   0, -22, 5, 25.1,⑫⑧⑥, 7,14,Ｆイッセキニチョウ, 66,岩部純, 0.8, 58,  -7,   3,12, 46.0, ⑥⑥, 7,11,Ｈメイショウエジソン, 70,古川吉, 0.5, 66,   0,   9,10, 36.9,⑪⑨⑧, 7,16,Ｅマイネルカｰミン, 72,丹内祐, 1.0, 67,* -6,  16, 4,  6.7,⑦⑥⑥
 8,12,Ｅマリオンフォンテン, 54,木幡初, 4.1, 40,   0, -26, 9, 61.9,⑤⑨⑧, 8,13,Ｇスズノライジン, 65,勝浦正, 0.9, 56, -13,   7,10, 34.6, ⑬⑬, 8, 2,Ｊサワヤカユウタ, 69,竹之下, 0.6, 67,  -2,* 14,14,119.1,⑫⑭⑬, 8, 2, スティルレｰベン,---,黛弘人, 1.0, 71, -10,  24, 9, 60.2,⑫⑬⑫
 9, 2,Ｇコンフォｰタブル, 51,村田一, 7.0, 25,  -3, -49,13, 99.5,⑨⑪⑨, 9, 9,Ｍブライトシチｰ, 61,津村明, 0.9, 56, -12,   6, 6, 24.2, ⑩⑫, 9, 8,Ｌサンマルヴィエント, 68,柴山雄, 0.8, 64,  -1,   9,12,104.0,⑬⑬⑫, 9, 9,Ｏエバｰルｰジュ, 58,菱田裕, 1.1, 65,* -5,  11,14,153.5,②②②
10, 3,Ｈクイｰンベジタブル, 51,松田大,15.3,-45,  -1, ---, 6, 29.6,③⑦⑩,10, 4,Ｌトロピカルメジャｰ, 63,伴啓太, 1.1, 55,  -6,  -2, 8, 28.1, ③③,10,10,Ａステｰジジャンプ, 77,長岡禎, 0.8, 63,   0,   7, 1,  2.2,⑧⑧⑩,10, 4,Ｍスタｰポケット, 60,西田雄, 1.2, 65,  -8,  16,15,224.2,⑧⑧⑧
,,,,,,,,,,,,11,12,Ｋシゲルカイチョウ, 63,藤懸貴, 1.1, 55, -10,   3, 9, 34.5, ⑨⑩,11, 9,Ｋヤマニンミミック, 68,伊藤工, 1.0, 62,  -2,  10,13,111.8,⑭⑮⑭,11, 7,Ｈアメイジングアスク, 65,岡田祥, 1.3, 64,* -6,  13, 8, 44.9,⑥⑨⑨
,,,,,,,,,,,,12, 8,Ｎアスタｰキング, 60,中井裕, 1.2, 55,* -2,  -5,11, 41.9, ①①,12, 5,Ｄコパノツイテル, 72,伴啓太, 1.1, 62,   1,   3, 6, 14.6,③⑥⑥,12,12,Ｋシャイボｰイ, 60,松田大, 1.4, 71, -14,* 28,12, 83.5,⑮⑯⑯
,,,,,,,,,,,,13, 1,Ｈマルイチワンダｰ, 65,古川吉, 1.2, 55, -13,   5, 4, 22.4, ⑫⑪,13, 3,Ｉライフトップガン, 69,菱田裕, 1.1, 61,   0,   5, 5, 10.5,⑤⑦⑦,13, 1,Ｄドラゴントｰク, 73,丸山元, 1.4, 62,* -6,  10, 6, 21.5,⑭⑦⑦
,,,,,,,,,,,,14, 2,Ｉコウヨウエンプレス, 64,西田雄, 2.2, 45,  -9,  -8,14,105.3, ⑦⑧,14, 1,Ｃサンライズドバイ, 72,中井裕, 1.4, 62,   0,   2,11, 76.3,⑮⑩⑨,14,13,Ｉマイネルイグアス, 63,川須栄, 1.6, 67, -13,  23,11, 80.8,⑯⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｏコｰリンヴァレロ, 57,西田雄, 2.8, 50,  -2,  -7,15,401.4,⑦⑪⑮,15,10,Ｌリネンハウス, 60,石神深, 1.6, 65, -11,  18,16,332.8,⑬⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｊレッドレガｰロ, 63,横山和, 1.8, 57,  -9,  11,13,124.5,⑪⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
