14年12月 6日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年12月 6日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
12, 8,Ｌデルマチハヤ, 41,藤懸貴, 2.7, 41, -10, -10,10,101.9, ⑬⑬,12,11,Ｌコウエイサムライ, 46,松田大, 1.1, 51, -15,   1,10, 43.1, ⑫⑭,,,,,,,,,,,,,12, 6,Ｆセフティオリビエト, 82,東川公, 1.5, 73,   4,  10,15,228.1,⑥⑩⑩
13, 1,Ｏエルフベレｰザ, 30,西田雄, 2.8, 41,  -5, -17,14,276.3, ⑧⑨,13,17,Ｊタガノロビンソン, 48,岡田祥, 1.1, 55, -21,* 11,14, 96.3, ⑱⑱,,,,,,,,,,,,,13,12,Ｎシゲルモトナリ, 74,小牧太, 1.9, 71,   3,   8,13,133.2,⑫⑫⑭
14,13,Ｎパティ, 34,松田大, 2.9, 39, -15,  -8,13,250.2, ⑮⑮,14, 4,Ｈモズフリムカナイデ, 51,小牧太, 1.4, 44, -10, -12,11, 52.0, ⑧⑦,,,,,,,,,,,,,14,15,Ｊビタミンエｰス, 78,国分恭, 2.6, 63,*  7,  -6,10, 43.2,⑦①①
15,10,Ｍサンディアタッチ, 35,川須栄, 2.9, 39, -11, -11,11,184.6, ⑭⑭,15, 7,Ｎオｰミエルサ, 37,畑端省, 1.4, 41,* -6, -19,18,414.2, ⑤④,,,,,,,,,,,,,15, 9,Ｍスズカキングダム, 76,松田大, 2.6, 64,*  7,  -4,11, 48.1,②③③
16, 6,Ｋカシノノゾミ, 41,国分優, 3.1, 37, -19,  -6,12,189.7, ⑯⑯,16, 3,Ｃバルビｰナ, 55,武幸四, 1.6, 38,* -5, -24, 3,  6.6, ②②,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,14,Ｒアナザｰデイ,  8,西田雄, 2.1, 38, -19,  -8,17,318.9, ⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,16,Ｍパｰプルオンリｰ, 38,国分優, 2.1, 40, -20,  -5,16,216.8, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+20 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:稍重(指数:1),,,,,,,,,,,
"単勝:2,970円 複勝:07=330円 15=110円 14=420円 枠連:1,830円",,,,,,,,,,,,単勝:770円 複勝:13=190円 05=140円 02=410円 枠連:880円,,,,,,,,,,,,単勝:330円 複勝:03=150円 08=200円 02=430円 枠連:390円,,,,,,,,,,,,"単勝:390円 複勝:13=160円 02=210円 11=140円 枠連:1,730円",,,,,,,,,,,
"馬連:1,670円 ワイド:07-15=740円 07-14=3,650円 14-15=800円",,,,,,,,,,,,"馬連:1,130円 ワイド:05-13=440円 02-13=1,660円 02-05=850円",,,,,,,,,,,,"馬連:960円 ワイド:03-08=390円 02-03=1,010円 02-08=1,520円",,,,,,,,,,,,"馬連:1,580円 ワイド:02-13=590円 11-13=310円 02-11=610円",,,,,,,,,,,
"馬単:5,690円 3連複:8,830円 3連単:76,410円",,,,,,,,,,,,"馬単:2,760円 3連複:4,750円 3連単:27,740円",,,,,,,,,,,,"馬単:1,560円 3連複:5,950円 3連単:20,950円",,,,,,,,,,,,"馬単:2,640円 3連複:1,870円 3連単:10,760円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 8R  ダ2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■11R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,逆瀬川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａオｰルマンリバｰ, 59,浜中俊,, 59, -10,*  7, 1,  1.4,⑨⑨④, 1, 5,Ｋアｰスライズ, 43,川須栄,, 60,*-21,   9, 6, 22.2, ②②, 1, 9,Ｃトウケイウイン, 78,藤田伸,, 78,   6,* 15, 3,  5.0,⑥⑤⑤, 1, 3,Ｃアクションスタｰ, 82,北村友,, 82,   5,*  9, 4,  9.8, ⑨⑧
 2, 4,Ｇワｰルドリｰスタｰ, 49,岩田康, 0.4, 54,* -9,   1, 2,  7.0,③③③, 2, 3,Ａウェスタｰルンド, 68,浜中俊, 0.0, 62, -23,* 13, 1,  1.6, ④④, 2, 5,Ｂラウンドロビン, 79,岩田康, 0.0, 78,   7,* 15, 1,  2.7,④④④, 2,10,Ｇダノンフェニックス, 78,福永祐, 0.1, 81,   7,   6, 9, 41.7, ⑥⑥
 3, 8,Ｎマサノアウトバｰン, 35,川須栄, 0.5, 55, -10,   1,12, 91.6,⑥⑤⑤, 3,13,Ｂレｰゲンヴァルト, 60,武幸四, 0.2, 59, -23,   9, 3,  5.6, ⑤⑤, 3, 3,Ｇサンライズカラｰ, 74,国分優, 0.4, 72,*  8,   6,10, 40.5,②②②, 3, 9,Ｂテイエムイナズマ, 83,小牧太, 0.1, 81,   3,* 10, 7, 30.0, ⑩⑩
 4, 3,Ｈブライトボイス, 49,北村友, 0.6, 50,* -8,  -5, 4, 13.6,①①①, 4, 9,Ｆトップディｰヴォ, 52,四位洋, 0.4, 60, -25,* 13, 2,  4.2, ⑧⑨, 4,11,Ｈエンキンドル, 73,岡田祥, 0.4, 75,   5,  12, 4,  9.8,⑧⑥⑥, 4,12,Ｊスズカヴァンガｰド, 75,西田雄, 0.2, 78,*  8,   0, 6, 29.0, ②②
 5, 1,Ｋコスモポッポ, 39,柴田未, 0.7, 53, -10,   0,14,189.0,⑤⑦⑦, 5, 4,Ｊデトロイトカフェ, 46,岩田康, 0.4, 59, -24,  10, 7, 44.2, ⑦⑥, 5, 6,Ｄダンツキャッチ, 77,太宰啓, 0.6, 76,   4,* 15, 5, 15.9,⑩⑩⑩, 5, 1,Ｌミヤジタイガ, 71,和田竜, 0.2, 79,   6,   3,10, 57.1, ④④
 6, 5,Ｂコンゴウヒｰロｰ, 58,義英真, 1.0, 47,* -9,  -6, 3, 12.0,②②②, 6,10,Ｃシンボリシャガｰル, 54,川島信, 0.6, 59, -27,  12, 8, 50.5, ⑫⑩, 6,10,Ａフミノスナイパｰ, 80,浜中俊, 0.7, 74,   5,  13, 2,  3.5,⑨⑨⑧, 6, 7,Ａサトノアラジン, 85,浜中俊, 0.2, 78,   6,   3, 1,  1.5, ⑤⑤
 7,10,Ｍメイショウケイウン, 38,川島信, 1.1, 55, -16,*  7,15,210.0,⑯⑯⑯, 7, 7,Ｇミスズダンディｰ, 51,北村友, 0.7, 57, -28,* 13,10, 88.7, ⑩⑪, 7, 4,Ｋステｰジジャンプ, 71,和田竜, 0.7, 72,*  7,   5, 8, 23.6,①①①, 7, 2,Ｋアイウォントユｰ, 74,国分恭, 0.4, 78,   4,*  8,12,152.0, ⑪⑪
 8,15,Ｃワンダｰプレジｰル, 54,小牧太, 1.2, 52, -12,   2, 9, 33.1,⑮⑮⑬, 8,11,Ｅフォｰスフィｰルド, 53,和田竜, 0.7, 52,*-21,   1, 5, 21.7, ③③, 8, 8,Ｉサンライズブルｰ, 71,北村友, 0.9, 69,   6,   6, 6, 16.0,③③③, 8,11,Ｄレッドルｰファス, 80,ブノワ, 0.7, 73,   5,  -1, 2,  5.4, ⑦⑨
 9, 7,Ｅシゲルホウネンサイ, 50,国分恭, 1.4, 47, -12,  -3, 7, 24.2,⑪⑪⑫, 9,12,Ｄブロｰドキャスト, 53,福永祐, 0.9, 51, -24,   3, 4, 14.5, ⑨⑦, 9, 7,Ｅコウユｰアンドレ, 76,国分恭, 1.3, 69,   5,   7, 7, 18.8,⑦⑧⑦, 9, 6,Ｉロｰゼンケｰニッヒ, 77,武幸四, 0.9, 72,*  9, -11,11, 75.9, ①①
10, 9,Ｌシゲルテンジンサン, 39,太宰啓, 1.6, 48, -12,  -4,13,143.8,⑬⑬⑭,10, 6,Ｌコスモツバサ, 38,柴田未, 1.0, 45,*-19,  -8,12,229.1, ①①,10,12,Ｆヤマノボンバｰ, 75,義英真, 1.4, 68,   2,  11,11,133.9,⑫⑫⑪,10, 5,Ｈセセリ, 77,藤田伸, 0.9, 71,*  8,  -9, 3,  9.2, ③③
11,11,Ｏスズカプレスト, 31,松田大, 1.6, 46, -11,  -6, 6, 19.3,⑧⑧⑩,11, 8,Ｈダンスアンドボイス, 49,国分恭, 1.3, 49, -27,   3, 9, 74.3, ⑬⑫,11, 2,Ｊハワイアンソルト, 71,小牧太, 2.2, 65,   2,   4, 9, 25.9,⑪⑪⑫,11, 8,Ｆラウンドワｰルド, 78,岩田康, 1.0, 72,   4,  -1, 5, 17.0, ⑫⑫
12,14,Ｆアマノジョｰジア, 49,福永祐, 1.6, 46, -11,  -5, 8, 28.1,⑫⑫⑧,12, 1,Ｉトミｰスマイル, 49,義英真, 1.3, 47, -27,   2,11,213.0, ⑥⑧,12, 1,Ｌペプチドウインド, 65,畑端省, 2.5, 60,   5,  -5,12,149.9,⑤⑦⑨,12, 4,Ｅデリッツァリモｰネ, 79,松田大, 1.3, 67,   5, -10, 8, 39.1, ⑧⑦
13,12,Ｄダンツカペラ, 53,和田竜, 1.8, 47, -13,  -5, 5, 18.1,⑭⑭⑮,13, 2,Ｍウエイブ, 34,東川公, 1.6, 50, -30,   7,13,279.4, ⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,
14, 2,Ｉウォｰタｰライラ, 44,武幸四, 1.9, 45, -11,  -8,11, 77.4,⑩⑩⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15, 6,Ｊヤマノレッカｰ, 43,小林徹, 3.8, 30,*-10, -28,16,257.3,④④⑥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,13,Ｐナムラカンベイ, 23,国分優, 5.4, 21, -11, -41,10, 63.8,⑦⑥⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:2),,,,,,,,,,,
"単勝:140円 複勝:16=110円 04=190円 08=1,260円 枠連:280円",,,,,,,,,,,,"単勝:2,220円 複勝:05=300円 03=110円 13=150円 枠連:1,060円",,,,,,,,,,,,単勝:500円 複勝:09=160円 05=130円 03=740円 枠連:240円,,,,,,,,,,,,"単勝:980円 複勝:03=500円 10=1,610円 09=1,060円 枠連:4,500円",,,,,,,,,,,
"馬連:490円 ワイド:04-16=300円 08-16=1,830円 04-08=7,340円",,,,,,,,,,,,"馬連:1,370円 ワイド:03-05=530円 05-13=1,300円 03-13=210円",,,,,,,,,,,,"馬連:660円 ワイド:05-09=310円 03-09=3,040円 03-05=1,460円",,,,,,,,,,,,"馬連:12,750円 ワイド:03-10=2,570円 03-09=2,580円 09-10=5,880円",,,,,,,,,,,
"馬単:690円 3連複:13,520円 3連単:30,630円",,,,,,,,,,,,"馬単:4,490円 3連複:2,100円 3連単:24,060円",,,,,,,,,,,,"馬単:1,520円 3連複:9,680円 3連単:41,510円",,,,,,,,,,,,"馬単:24,620円 3連複:69,710円 3連単:452,120円",,,,,,,,,,,
■ 3R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 6R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,万両賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｂタマモワカサマ, 58,岩田康,, 62,  -2,*  7, 1,  3.1, ④③, 1, 1, メナスコ,---,浜中俊,, 60,*-16,* 12, 2,  6.0, ②②, 1, 7,Ｃタガノアザガル, 60,四位洋,, 67,   0,   9, 2,  3.7, ⑤⑤, 1,13,Ｊオメガヴェンデッタ, 72,浜中俊,, 81,  -2,* 21, 2,  6.0, ⑥⑥
 2, 9,Ａカジノプレイヤｰ, 60,浜中俊, 0.0, 62,* -1,*  5, 2,  3.7, ②②, 2, 7, エイシンダンサｰ,---,和田竜, 0.0, 61,*-16,* 13, 3,  6.1, ④④, 2, 3,Ａマコトグナイゼナウ, 65,岩田康, 0.0, 67,*  3,   5, 3,  4.2, ①①, 2,14,Ｋサチノクイｰン, 69,国分優, 0.2, 74,*  8,   5,11, 33.1, ①①
 3,16,Ｅアドマイヤジャズ, 56,和田竜, 0.7, 57,*  1,  -3, 3,  4.2, ①①, 3, 4, ヤマイチキセキ,---,太宰啓, 0.3, 57,*-14,   8, 4,  7.6, ①①, 3, 1,Ｆヤマニンナジャｰハ, 57,福永祐, 0.0, 67,   1,   8, 1,  2.9, ③④, 3, 3,Ｏトシザキミ, 60,尾島徹, 0.3, 77,  -1,  16,13, 73.9, ⑤⑤
 4, 3,Ｇドリス, 49,小林徹, 1.2, 52,  -5,   0,10, 51.5, ⑦⑥, 4, 3, エルラディユｰ,---,岩田康, 0.4, 56,*-16,  10, 1,  1.9, ③③, 4, 4,Ｂグランドポピｰ, 60,和田竜, 0.3, 63,*  2,   2, 4,  6.4, ②②, 4,15,Ｅダンツカナリｰ, 76,太宰啓, 0.4, 72,*  3,   8, 6, 11.2, ②②
 5, 7,Ｈスマｰトゾロ, 43,福永祐, 1.4, 50,  -3,  -4, 4,  8.4, ⑤⑤, 5, 2, ラインシュナイダｰ,---,国分優, 0.4, 56, -19,* 13, 6, 14.5, ⑦⑦, 5, 8,Ｈグラブザフラッグ, 51,川島信, 0.4, 65, -12,* 19, 7, 28.1, ⑨⑧, 5, 4,Ｂステイウェル, 79,義英真, 0.5, 72,   2,  10,10, 26.9, ③③
 6,10,Ｆメイショウハイネス, 55,国分恭, 1.6, 48,  -5,  -4, 7, 18.1, ⑥⑦, 6,13, ウニヴェルソ,---,小牧太, 1.3, 50, -20,   6, 5, 13.9, ⑧⑧, 6, 6,Ｅキモンイｰグル, 57,東川公, 0.4, 64,  -4,  10, 8, 88.1, ⑥⑥, 6, 9,Ｇシルヴァｰグレイス, 75,ブノワ, 0.5, 76,  -6,* 20, 9, 18.6, ⑬⑬
 7,11,Ｋコウザンヒキリ, 40,川須栄, 1.8, 49,  -9,  -1, 8, 34.2, ⑩⑩, 6, 5, ギョイ,---,義英真, 1.3, 49, -21,   9, 7, 20.8, ⑨⑨, 7, 5,Ｇアグネスユｰリヤ, 54,藤田伸, 0.5, 61,*  2,   0, 5,  7.2, ④③, 7, 2,Ｆダイナミックガイ, 76,東川公, 0.5, 76,  -6,* 20, 4,  6.5, ⑫⑪
 8, 2,Ｃシｰクロム, 58,太宰啓, 1.9, 48,  -2, -10, 5, 11.8, ③④, 8,10, ボブ,---,小林徹, 1.4, 48, -19,   3,13,176.4, ⑥⑤, 8, 9,Ｄダンツメガヒット, 57,北村友, 0.6, 61, -11,* 15, 6, 16.4, ⑦⑦, 8, 5,Ｎホッコｰアムｰル, 67,川島信, 0.5, 76,  -4,  18,15,120.2, ⑦⑧
 9, 6,Ｄキクノコｰル, 56,松田大, 2.0, 46,  -6,  -6, 6, 16.1, ⑧⑧, 9,11, ララオムドゥクｰ,---,荻野琢, 1.7, 46, -22,   6, 9, 76.2, ⑩⑩, 9, 2, ナナチャン,---,尾島徹, 1.9, 47, -12,   1, 9, 96.7, ⑧⑨, 9,10,Ｍクロイゼリンチャン, 68,和田竜, 0.6, 72,   1,  10,12, 45.1, ④④
10,13,Ｎアルボルデヴィダ, 31,川島信, 2.4, 44, -13,  -1,11, 78.5, ⑬⑫,10, 9, ハクユウゼウス,---,岡田祥, 2.1, 44, -23,   4,12,150.2, ⑪⑪,,,,,,,,,,,,,10,11,Ｄラインハｰト, 79,岩田康, 0.7, 72,  -4,  15, 1,  4.3, ⑨⑨
11, 1,Ｉモアザンイナフ, 41,小牧太, 2.5, 44, -16,*  3, 9, 43.9, ⑯⑮,11, 6, ゼットウオリア,---,武幸四, 2.9, 37, -24,  -2,10, 77.8, ⑫⑫,,,,,,,,,,,,,11,12,Ｃタガノザイオン, 79,藤田伸, 0.8, 72,  -5,  15, 3,  6.5, ⑪⑩
12, 5,Ｌタケルクラウン, 37,国分優, 2.8, 40, -10,  -8,14,229.5, ⑪⑪,12, 8, テイエムジャック,---,花田大, 3.0, 36, -17, -11, 8, 26.4, ⑤⑥,,,,,,,,,,,,,12, 7,Ｌアルトゥｰナ, 68,北村友, 0.9, 73,  -8,  19,14,114.3, ⑭⑮
13, 8,Ｐランドプレジデント, -9,北村友, 2.9, 38,  -6, -14,12,137.3, ⑨⑨,13,12, クリノサン,---,北村友, 6.3, 12, -28, -23,11,116.4, ⑬⑬,,,,,,,,,,,,,13, 8,Ａアドマイヤコリン, 81,福永祐, 1.0, 71,  -8,  17, 5,  6.8, ⑮⑭
14,12,Ｍセイブアス, 31,西田雄, 3.0, 39, -13,  -6,16,307.8, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,14, 1,Ｉダｰクマレイン, 73,小牧太, 1.0, 69,  -4,  11, 8, 15.4, ⑧⑦
15,14,Ｏヴェンティミリア, 30,藤田伸, 4.1, 30, -13, -15,13,139.5, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｈサクラエｰル, 75,川須栄, 1.1, 68,  -6,  12, 7, 13.3, ⑩⑫
16, 4,Ｊティｰエスヘリオ, 40,花田大, 4.2, 30, -14, -14,15,245.9, ⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:2),,,,,,,,,,,
単勝:310円 複勝:15=120円 09=130円 16=150円 枠連:260円,,,,,,,,,,,,"単勝:600円 複勝:01=190円 07=180円 04=190円 枠連:1,740円",,,,,,,,,,,,単勝:370円 複勝:07=120円 03=130円 01=120円 枠連:810円,,,,,,,,,,,,"単勝:600円 複勝:13=260円 14=1,030円 03=2,080円 枠連:1,280円",,,,,,,,,,,
