14年 1月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 1月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,若駒ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 5R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝1600m 4歳上ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京都牝馬ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂゴｰザトップ, 69,幸英明,, 70,*  5,* -2, 2,  4.1,①①①, 1, 8,Ｂトウキョウタフガイ, 61,川田将,, 62,  -9,* -4, 2,  6.4, ⑥⑥, 1, 2,Ｃキクノソル, 84,和田竜,, 79,*  2,  15, 1,  2.6,③③③, 1,14,Ｇウリウリ, 83,浜中俊,, 95,  -1,* 24, 2,  4.2, ⑫⑪
 2, 3,Ｅタガノエッヴィｰバ, 63,横山典, 0.4, 64,   3,* -2, 5, 10.4,⑦⑥⑤, 2, 1,Ｆブレイヴリｰ, 59,ギュイ, 0.0, 60,  -8,  -7, 3,  9.6, ③④, 2, 9,Ｄサンライズスマｰト, 83,武豊  , 0.1, 81,   0,* 17, 5, 11.5,⑩⑩⑨, 2, 3,Ｂドナウブルｰ, 90,福永祐, 0.1, 92,   5,  14, 1,  3.2, ④④
 3,11,Ａロｰレルラシｰム, 72,福永祐, 0.7, 62,*  5,  -8, 3,  4.1,④②②, 3, 6,Ａメイショウチギリ, 61,武豊  , 0.2, 60, -10,* -3, 1,  1.8, ⑪⑪, 3, 1,Ａグッドマイスタｰ, 86,ルメｰ, 0.2, 76,   1,  15, 2,  3.6,⑥⑦⑦, 3,10,Ｈノｰブルジュエリｰ, 82,ルメｰ, 0.3, 87,   5,  11, 5, 10.6, ⑥⑥
 4, 6,Ｃデンコウエポック, 68,岩田康, 0.9, 63,   1,* -1, 9, 31.8,⑨⑩⑦, 4,13,Ｇティｰエスネオ, 58,幸英明, 0.3, 60, -12,* -3, 4, 10.3, ⑫⑫, 4, 4,Ｂラフィングインメイ, 85,浜中俊, 0.3, 76,   1,  13, 3,  6.0,⑤⑤⑤, 4, 2,Ｄミッドサマｰフェア, 85,四位洋, 0.3, 90,   2,  17, 7, 17.4, ⑨⑨
 5, 5,Ｍマイネルエアダクス, 49,丹内祐, 1.1, 60,   3,  -8, 6, 24.9,⑧⑤⑥, 5, 3,Ｈリノリオ, 55,酒井学, 0.3, 58,  -9,  -7,10, 61.7, ⑦⑧, 5,10,Ｅスズカウラノス, 82,幸英明, 0.5, 79,  -1,* 16, 6, 14.2,⑬⑬⑫, 5,12,Ｅエアジェルブロワ, 84,武豊  , 0.4, 83,*  8,   3, 6, 16.4, ②②
 6, 8,Ｈロｰドガンブラック, 56,浜中俊, 1.2, 60,*  4, -10, 8, 29.9,⑪④③, 6, 2,Ｊオｰスミフブキ, 52,岩田康, 0.4, 55,* -5, -17, 7, 14.2, ①①, 6, 3,Ｋノブオズボｰン, 72,藤田伸, 0.7, 73,*  2,   7, 7, 15.4,②②②, 6,13,Ａゴｰルデンナンバｰ, 91,横山典, 0.4, 90,  -4,* 24, 3,  5.4, ⑯⑯
 7,13,Ｎクイズリングテラス, 32,鮫島良, 1.8, 61,   0,  -6,13,341.0,⑫⑫⑪, 7,10,Ｎクリノダイコクテン, 45,上村洋, 0.8, 51,  -9, -16,16,590.1, ⑩⑩, 7, 8,Ｇトップオブカハラ, 80,森一馬, 0.7, 73,   0,  11,11,126.8,⑨⑨⑩, 7,16,Ｎロｰブティサｰジュ, 72,岩田康, 0.6, 81,* 11,  -2, 9, 24.3, ①①
 8, 2,Ｌメイショウシシマル, 53,森一馬, 1.8, 55,*  4, -16,12,232.2,②③④, 8,11,Ｄホッコｰファイン, 59,国分恭, 0.8, 53, -13,  -7, 8, 16.8, ⑬⑬, 8,11,Ｍテｰオｰサクセス, 58,横山典, 0.9, 69,*  3,   4, 9, 65.5,①①①, 8, 1,Ｌノボリディアｰナ, 79,幸英明, 0.6, 86,   4,   9, 4,  7.9, ⑦⑦
